AC Session I,College - Men ,8,3,2014
https://play.usaultimate.org/events/AC-Session-I/schedule/Men/CollegeMen/
Queens-Kingston,1
00,Tyler Small
00,CODY CORDAY
00,Justin Weaver
00,John Bocian
00,Connor Dearth
00,Jared Seyler
00,Richie McClatchy
00,Scott Gerber
00,Nicholas Diehl
00,DANIEL SANSOM
00,CHRIS EASLEA
00,Owen Thomas
00,Joshua McCune
00,RYAN YOUNG
00,Elmer Russchen
00,NICHOLAS TURCHETTA
00,JOSH CESCHINI
65,Robert Yu
b,r,e,a,k
Columbia,6
0,Nathan Abrams
0,DEREK YAN
0,NICHOLAS SUN
0,Benjamin Zhu
0,JAMES PAGE
0,Jacob Shellenberger-Bessmann
0,Kevin Murphy
0,Paul Michael Custodio
0,Daniel Miron
0,Savvas Petridis
0,Adam Richardson
0,Sidney Perkins
0,Samuel Heavenrich
0,Daniel Barg
0,Winston Lin
0,MICHAEL YAN
0,MATTHEW SUOZZO
0,REUBEN AKABAS
0,ADAM JAFFE
0,MAKSIM GRINCHENKO
0,Mark Greenan
0,PEIXUAN GUO
0,Bryce Harlan
0,Devon Harvey
0,Sean Wong
0,VICTOR CASTANO
4,Dennis Bienstock
5,MAX VAN DER WEERD
12,CAMERON BRUGGEMAN
15,Alexander Isik
17,Matthew Sagianis
19,Tim Gilboy
22,Richard Roberts
27,Diego Delgado
71,Jonathan Wong
74,Edward Tang
b,r,e,a,k
Rochester,14
0,Gabriel Werman
7,LUKE KORTEPETER
03,Matt Bandes
09,Matthew McCormick
10,JOSEPH RICCI
11,JOSHUA KANTERMAN
13,ZACHARY LEJA
15,THOMAS RZATKIEWICZ
15,BLAKE SILBERBERG
18,HOLDEN DIAMOND
19,David McFarland-Porter
22,ALEXANDER NEE
23,Nathan Freeman
24,Christopher Wong
27,DENNIS CAMPBELL
28,ARI STOLER
29,EZRA PORTER
32,TOMMY MCANDREW
33,MICHAEL ECHTER
45,Christopher Dawson
52,Paul Szewczyk
64,Benjamin Soiefer
99,Hassler Thurston
99,Cormac Assink
99,SAMUEL DESANTIS
99,Chandler Woo
99,Sam VanNoy
99,Alec Girten
99,Sam Horenstein
99,Benjamin Parkinson
99,Jacob Margolis
99,Seth Schober
99,Merrill Preska Steinberg
b,r,e,a,k
Syracuse,11
0,Michael Zivik
0,ETHAN REQUARDT
0,Jeffrey Spivack
0,Maxwell Arnold
0,Mark Skinner
0,Aaron Harvey
0,Brian Walsh
0,Alexander Fisher
0,SPENCER ARBIGE
0,DANIEL FREEDA
8,Greg Bjornstad
11,Andrew Gotham
13,NICHOLAS PLUMMER
21,David Ascher
27,Alexander Cluff
29,Brandon Stevens
33,Charlie Reiff
44,Paul Campbell
69,Jeff Goldberg
70,Girolamo Mammolito
77,Brian Erwin
88,Danny Feinman
b,r,e,a,k
Messiah,13
4,TAYLOR SCHOCK
11,Christian Becker
12,Michael Stephan
18,AARON SWARR
20,Daniel Rusling
24,Ethan Peck
25,JOSEPH BANKERT
26,CONNOR POWER
28,TREVOR LANDIS
29,JM Rallo
34,JOSHUA SCHEA
42,MARK LARSEN
44,COREY FISHER
55,Shawn Marker
56,Peter Burt
72,Zachary Sizemore
92,PETER WARREN
99,Eric Witmer
b,r,e,a,k
Shippensburg,4
1,Eric Scanlan
3,KEITH ROSENBERGER
9,AARON MYERS
10,Ryan Dealy
12,DANIEL HILL
14,Spenser Strickler
18,Sean Traube
20,Bryan Walter
33,CHRIS HILL
39,TIM LYNOTT
44,REECE LAUFFER
48,Ryan Weaver
50,MICHAEL VENDETTI
78,ALEC RABEDEAU
86,COLLIN CRAWFORD
b,r,e,a,k
Wheaton (Illinois),12
1,Preston Howell
4,Mitchell McElroy
7,Don Gates
9,Skyler Aspegren
11,Jonathan Hric
12,JONATHAN BARBALAS
18,John Limkeman
19,Luke Rynbrandt
22,JUSTIN PROVENCHER
23,Marty Dekker
33,David Barbalas
34,Colin McLaughlin
51,SAMUEL SMITH
b,r,e,a,k
Towson,5
0,DAMIAN MALAGARI
0,Jeff Kunkle
0,Dan  Henry
0,MATTHEW MANZO
0,PATRICK JANUS
0,Viktor Polyak
0,Daniel Baumann
0,John Brown
0,Alexander Antolick
0,Chase Turner
0,Nathan Cromer
0,Mike McComiskey
0,Bradley Sheahin
0,Andrew Burlin
0,James Collins
0,Patrick Peluso
0,Daniel Kaste
10,BRENNAN MCPHERSON
13,Jack Wong
17,ERIC FELTON
32,Nick Malagari
69,Kevin Baker
77,Austin Davis
84,Rob Bowersox
93,TJ Sebastian
b,r,e,a,k
Brown (B),20
0,Jacob Douglas
0,AUSTIN MERTZ
0,SAMUEL MASSION
0,STEVEN MENG
0,MICAH SWANN
0,Michael Rowland
0,GEORGE STEELE
0,JONAH CADER
0,Justin Semonsen
0,Leland Kirshen
0,CHRISTOPHER MOYNIHAN
0,Jonathan Sheinfeld
0,BRANT HOFFMAN
0,Yotam Tubul
0,Quinn Slotnick
0,Max Lesser
0,Vincent Lau
0,Jacob Coonin
0,SIMON HOCHBERG
11,Finn van Krieken
29,Jaime Jimenez
77,Matthew Wong
87,Matthew Knowlton
b,r,e,a,k
Delaware (B),17
0,Patrick Witterschien
0,Jonathon Diep
0,MICHAEL SHERMAN
0,Eric Stein
0,PHILIP SCHEIBE
0,JARED WASILEFSKY
0,Julian Baseman
01,STEVEN DONLEVIE
12,Rob McMahon
19,ANDREW BLEMINGS
24,Matt Norden
30,Austin Doucette
31,CHRISTOPHER NUNN
32,Ian Kondek
48,Robert Weber
78,CHRISTOPHER MAY
92,ARTHUR ETHGEN
b,r,e,a,k
Shippensburg (B),21
7,Mitchell Nickerson
11,Mason Friel
19,Garrett Hall
26,andy Dixon 
27,Joe Garver
32,Dylan Brisbane
34,CHRIS KJELDGAARD
69,NICK GALBO
71,Doulton Campbell
85,TYLER SCHWIND
88,Nathan Ressler
99,BRIAN HOERTZ
b,r,e,a,k
Messiah (B),24
0,Alex Reinhard
6,Josiah Peck
19,ROB GAFFNEY
21,SEAN TEAGER
23,Anders Laub
27,ANDREW FLORO
36,Ben Kragt
37,Jed Berry
39,Cody Meassick
54,JARED VENTO
83,Justin Baitinger
95,Andrew Brubaker
b,r,e,a,k
Maryland (B),22
0,Andrew Coleman
0,ERIC CORAGGIO
0,Austin Moon
0,ROBERT VAN FLEET
1,Daniel Haber
2,DANIEL STECKER
7,JORDAN SACHS
8,Jack Lotkowski
10,CHRISTOPHER RUBINO
14,Egburonu Uduka
17,RYAN KLASKY
19,Colin Versteeg
21,KENNETH JARVIS
24,Daniel Chang
33,MATTHEW KELLEHER
82,ZACHARY ANSTETT
b,r,e,a,k
Cumberland County,18
07,Ryan Clapp
29,"Patrick DeRiso, II"
34,TIMOTHY FRICK
41,Anthony Sapichino
54,TOM WOSPIL
55,STEVE BRISTOWE
b,r,e,a,k
Hofstra,19
0,Zach Zain
0,Eric Katzen
0,Graham Potters
0,Ryan Lopez
0,Sam Casadevall
0,Danny Lee
0,Zach Sakaan
0,Kyle Meranus
0,SAMUEL KAPLAN
0,Ryder Moriarty
0,Ryan Reyes
0,Brian Stieglitz
0,ETHAN MAGEE
0,Joseph Murphy
0,Julio Macario
0,Brandon Ciappina
2,Brian Kelly
3,RICH DEMAIO
4,Anthony Giambrone
7,Eric Moore
10,THOMAS BUTLER
15,Kenton Scott
22,TYLER GRIES
26,COLIN ADAMS
27,KRISHNA DAVE
28,THOMAS CARUANA
66,SPENCER RIGGINS
85,Patrick Francois
b,r,e,a,k
Rowan (B),23
0,STEPHEN COWEN
0,KYLE CLARKE
0,ROBERT VANCO
0,Nick Murphy
0,ZACHARY HUNT
0,KEVIN KLINGENSMITH
0,NICK HOUGHTON
0,James Pleban
0,Kevin Desmond
0,Daniel Bede
0,KEVIN SPERLING
0,ALEX AZAR
0,Luke Hayduk
0,ANTHONY SANCHEZ
0,Brandon Bergman
0,MICHAEL MAERTEN
0,NICHOLAS COSTANTINI
7,Doug Petro
9,Ian Fletcher
30,Michael McKendry
35,NICHOLAS PYTLOWANY
46,MATTHEW BOWE
78,Dean Kullmann
83,John Boyko
92,JOSEPH NALBACH
b,r,e,a,k
s,t,a,g,e,s
pools,Power Pool Play
pool,Pool A
Queens-Kingston,Maryland-Baltimore County,15,3,"03/08/2014, 09:00",Pool A
Queens-Kingston,SUNY-Albany,11,3,"03/08/2014, 10:40",Pool A
SUNY-Albany,Maryland-Baltimore County,12,4,"03/08/2014, 14:00",Pool A
pool,Pool B
Central Connecticut State,Stockton,13,9,"03/08/2014, 09:00",Pool B
Army,MIT,10,8,"03/08/2014, 09:00",Pool B
Central Connecticut State,MIT,9,3,"03/08/2014, 10:40",Pool B
Army,Stockton,12,9,"03/08/2014, 10:40",Pool B
Central Connecticut State,Army,10,11,"03/08/2014, 14:00",Pool B
MIT,Stockton,8,14,"03/08/2014, 14:00",Pool B
pool,Pool C
Millersville,Syracuse,15,11,"03/08/2014, 09:00",Pool C
Columbia,Rochester,12,11,"03/08/2014, 09:00",Pool C
Millersville,Columbia,11,7,"03/08/2014, 12:20",Pool C
Syracuse,Rochester,8,9,"03/08/2014, 12:20",Pool C
Millersville,Rochester,8,6,"03/08/2014, 14:00",Pool C
Columbia,Syracuse,15,7,"03/08/2014, 14:00",Pool C
pool,Pool D
Shippensburg,Wheaton (Illinois),15,9,"03/08/2014, 09:00",Pool D
Towson,Messiah,9,15,"03/08/2014, 09:00",Pool D
Shippensburg,Towson,15,7,"03/08/2014, 12:20",Pool D
Wheaton (Illinois),Messiah,8,13,"03/08/2014, 12:20",Pool D
Shippensburg,Messiah,9,10,"03/08/2014, 14:00",Pool D
Towson,Wheaton (Illinois),7,9,"03/08/2014, 14:00",Pool D
b,r,e,a,k
pools,Development Pool Play
pool,Pool E
Delaware (B),Shippensburg (B),15,7,"03/08/2014, 10:40",Pool E
Brown (B),Messiah (B),11,4,"03/08/2014, 10:40",Pool E
Delaware (B),Messiah (B),15,3,"03/08/2014, 12:20",Pool E
Brown (B),Shippensburg (B),7,5,"03/08/2014, 12:20",Pool E
Delaware (B),Brown (B),3,10,"03/08/2014, 14:00",Pool E
Shippensburg (B),Messiah (B),11,7,"03/08/2014, 14:00",Pool E
pool,Pool F
Cumberland County,Maryland (B),10,15,"03/08/2014, 10:40",Pool F
Hofstra,Maryland (B),12,15,"03/08/2014, 12:20",Pool F
Cumberland County,Hofstra,15,5,"03/08/2014, 14:00",Pool F
b,r,e,a,k
clusters,Crossovers
cluster,Crossovers
Towson,Rochester,7,10,"03/08/2014, 15:40",
Wheaton (Illinois),Syracuse,9,6,"03/08/2014, 15:40",
b,r,e,a,k
brackets,Bracket Play
bracket,Championship
Central Connecticut State,Wheaton (Illinois),5,13,"03/09/2014, 09:00",1st Prequarters
MIT,Columbia,9,11,"03/09/2014, 09:00",1st Prequarters
Shippensburg,Stockton,15,0,"03/09/2014, 09:00",1st Prequarters
SUNY-Albany,Rochester,8,11,"03/09/2014, 09:00",1st Prequarters
Queens-Kingston,Wheaton (Illinois),12,7,"03/09/2014, 10:40",1st Quarters
Columbia,Messiah,2,15,"03/09/2014, 10:40",1st Quarters
Millersville,Shippensburg,9,12,"03/09/2014, 10:40",1st Quarters
Rochester,Army,11,6,"03/09/2014, 10:40",1st Quarters
Queens-Kingston,Messiah,12,7,"03/09/2014, 12:20",1st Semis
Shippensburg,Rochester,5,13,"03/09/2014, 12:20",1st Semis
Queens-Kingston,Rochester,12,6,"03/09/2014, 14:00",1st Finals
bracket,3rd Place
Messiah,Shippensburg,1,0,"03/09/2014, 15:40",3rd Place
bracket,7th Place
Columbia,Millersville,0,1,"03/09/2014, 15:40",7th Place
bracket,9th Place
Central Connecticut State,MIT,15,10,"03/09/2014, 12:20",9th Semis
Stockton,SUNY-Albany,3,10,"03/09/2014, 12:20",9th Semis
Central Connecticut State,SUNY-Albany,5,10,"03/09/2014, 14:00",9th Final
bracket,15th Place
bracket,17th Place
Hofstra,Rowan (B),1,0,"03/09/2014, 14:00",17th Semis
Cumberland County,Brown (B),15,12,"03/09/2014, 14:00",17th Semis
Hofstra,Cumberland County,0,1,"03/09/2014, 15:40",17th Finals
bracket,19th Place
bracket,21st Place
Delaware (B),Messiah (B),15,8,"03/09/2014, 12:20",21st Semis
Delaware (B),Shippensburg (B),8,14,"03/09/2014, 14:00",21st Finals
bracket,23rd Place
bracket,13th Place
Maryland (B),Messiah (B),15,3,"03/09/2014, 09:00",13th PreQuarters
Cumberland County,Shippensburg (B),15,6,"03/09/2014, 09:00",13th PreQuarters
Towson,Hofstra,12,6,"03/02/2014, 10:40",13th Quarters
Syracuse,Cumberland County,17,16,"03/09/2014, 10:40",13th Quarters
Maryland-Baltimore County,Brown (B),15,10,"03/09/2014, 10:40",13th Quarters
Maryland (B),Towson,10,11,"03/09/2014, 12:20",13th Semis
Syracuse,Maryland-Baltimore County,10,15,"03/09/2014, 12:20",13th Semis
Towson,Maryland-Baltimore County,12,13,"03/09/2014, 14:00",13th Finals
bracket,13th Prequarter
Delaware (B),Hofstra,15,11,"03/09/2014, 09:00",13th Prequarter
b,r,e,a,k
