Motown Throwdown,Club - Men ,26,7,2014
Sylvania,OH,2014-07-26,2014-07-27
https://play.usaultimate.org/events/Motown-Throwdown-2014/schedule/Men/Club-Men/
Brickyard,8
15,NATHAN SHELLY
16,Jake Marrapode
17,Reno Brinn
18,Anthony Vattimo
23,Hector Moreno
25,Adam Wong
27,MICHAEL HANNIGAN
62,Kyle Krukowski
89,Michael Sandstrom
91,Aiden Frank
b,r,e,a,k
Grimace,22
0,LINCOLN OLIVER-ONEIL
0,Alex Lin
0,Matthew Schiffman
4,William Horwitz
9,Michael Hamburger
12,Nicholas Hall
13,Jeremy Piech
16,Yiding Hou
24,Kedric Daly
25,Jonathan Piech
38,Benjamin Walker
41,Christian Rozolis
52,Jun Shinohara
57,Bif Reiser
b,r,e,a,k
SEMI (YCC-MI),24
01,MITCHELL MANNINEN
03,Caleb May
04,Daniel Fonte
06,Alan Theisen
07,Daniel Hochster
11,Tessa Champoux
12,Daniel Brown
14,Andrew Suchezky
18,Robert (Bobby) Moyer
42,Nathan Champoux
b,r,e,a,k
Bear Jordan,18
8,GARRETT MCLINN
03,Justin Prevost-Schultz
05,BRADLEY MATOLA
10,RYAN KOLEGAS
11,TIMOTHY KRUMLAND
12,Scott Sivright Jr
17,Filip Wilk
19,John Morton
21,Dan Holley
22,MICAH SUSSMAN
23,Jonathan Burrell
28,Alexander McEachin
29,Ross Price
31,Daniel Miller
33,DAVID IRWIN
37,Steve Janda
45,Matt West
47,BRIAN PORRETT
91,PATRICK KIMUTIS
b,r,e,a,k
Mesozoic Minnow,21
00,Alex buddemeyer
00,TIM SHREEVE
00,Ryan Moore
00,Timothy Chrzanowski
00,AARON COOLMAN
00,Nick Holliday
00,Joshua Lyder
00,MICHAEL SMITH
00,Tim Jackson
00,John Akers
00,Michael Diehl
00,Ross Osborn
b,r,e,a,k
Hippie Mafia,19
0,Wyatt Meyer
0,JOHN TOMKIEWICZ
0,JOE SCHLATER
0,David Kaftan
0,JACK SUSSMAN
0,Daniel Kress
0,John Devine
2,Shane Mueller
3,RYAN MCHUGH
12,PATRICK MULLEN
23,Matt Scholz
25,Sean Andryauskas
28,MARK MAURER
33,Jakub Jezusek
94,LOGAN MCDERMOTT
99,Matt Hulsether
b,r,e,a,k
Kettnetic Thunder,23
2,Landon Cathers
07,Jake Harris
08,Kyle Spengler
09,Brandon Aho
10,Robert Connolly
23,Thomas Ferguson
28,Seth Hillaker
31,Jeffrey Mahieu
33,Austin Reihmer
42,Andrew Moehring
b,r,e,a,k
s,t,a,g,e,s
pools,Pool Play
pool,Pool A
Beachfront Property,Enigma,11,9,"07/26/2014, 09:00",Pool A,Final
Brickyard,Super Phun Tyme,13,5,"07/26/2014, 09:00",Pool A,Final
Beachfront Property,Super Phun Tyme,13,7,"07/26/2014, 10:40",Pool A,Final
Brickyard,Enigma,13,7,"07/26/2014, 10:40",Pool A,Final
Beachfront Property,Brickyard,11,13,"07/26/2014, 12:20",Pool A,Final
Enigma,Super Phun Tyme,13,11,"07/26/2014, 12:20",Pool A,Final
pool,Pool B
City Park Ultimate,Jurassic Shark,13,4,"07/26/2014, 09:00",Pool B,Final
MKE,Hustle,13,6,"07/26/2014, 09:00",Pool B,Final
City Park Ultimate,Hustle,13,5,"07/26/2014, 10:40",Pool B,Final
MKE,Jurassic Shark,13,6,"07/26/2014, 10:40",Pool B,Final
City Park Ultimate,MKE,6,13,"07/26/2014, 12:20",Pool B,Final
Jurassic Shark,Hustle,13,8,"07/26/2014, 12:20",Pool B,Final
pool,Pool C
Black Market,CAKti,12,13,"07/26/2014, 09:00",Pool C,Final
Smokestack,Flying Pig,13,4,"07/26/2014, 09:00",Pool C,Final
Black Market,Flying Pig,10,13,"07/26/2014, 10:40",Pool C,Final
Smokestack,CAKti,13,5,"07/26/2014, 10:40",Pool C,Final
Black Market,Smokestack,13,12,"07/26/2014, 12:20",Pool C,Final
CAKti,Flying Pig,13,12,"07/26/2014, 12:20",Pool C,Final
pool,Pool D
Layons,Impulse,13,12,"07/26/2014, 09:00",Pool D,Final
BroCats,Spoiler,12,9,"07/26/2014, 09:00",Pool D,Final
Layons,Spoiler,9,10,"07/26/2014, 10:40",Pool D,Final
BroCats,Impulse,13,4,"07/26/2014, 10:40",Pool D,Final
Layons,BroCats,2,13,"07/26/2014, 12:20",Pool D,Final
Impulse,Spoiler,10,13,"07/26/2014, 12:20",Pool D,Final
pool,Pool E
Midnight Meat Train,Grimace,13,7,"07/26/2014, 09:00",Pool E,Final
Chicago YCC U-19,SEMI (YCC-MI),13,9,"07/26/2014, 09:00",Pool E,Final
Midnight Meat Train,SEMI (YCC-MI),13,11,"07/26/2014, 10:40",Pool E,Final
Chicago YCC U-19,Grimace,13,8,"07/26/2014, 10:40",Pool E,Final
Midnight Meat Train,Chicago YCC U-19,13,8,"07/26/2014, 12:20",Pool E,Final
Grimace,SEMI (YCC-MI),13,10,"07/26/2014, 12:20",Pool E,Final
pool,Pool F
Bear Jordan,Mesozoic Minnow,13,4,"07/26/2014, 09:00",Pool F,Final
Hippie Mafia,Kettnetic Thunder,13,1,"07/26/2014, 09:00",Pool F,Final
Bear Jordan,Kettnetic Thunder,13,5,"07/26/2014, 10:40",Pool F,Final
Hippie Mafia,Mesozoic Minnow,7,13,"07/26/2014, 10:40",Pool F,Final
Bear Jordan,Hippie Mafia,13,7,"07/26/2014, 12:20",Pool F,Final
Mesozoic Minnow,Kettnetic Thunder,13,3,"07/26/2014, 12:20",Pool F,Final
b,r,e,a,k
clusters,Crossovers
cluster,Power Pool winners
Brickyard,BroCats,6,13,"07/26/2014, 14:00",,Final
MKE,Smokestack,7,13,"07/26/2014, 14:00",,Final
cluster,Championship bracket crossovers
Beachfront Property,Layons,13,5,"07/26/2014, 14:00",,Final
City Park Ultimate,Flying Pig,13,6,"07/26/2014, 14:00",,Final
CAKti,Jurassic Shark,12,13,"07/26/2014, 14:00",,Final
Spoiler,Enigma,8,13,"07/26/2014, 14:00",,Final
cluster,Middle bracket crossovers
Super Phun Tyme,Midnight Meat Train,13,15,"07/26/2014, 14:00",,Final
Hustle,Bear Jordan,11,8,"07/26/2014, 14:00",,Final
Black Market,Chicago YCC U-19,15,4,"07/26/2014, 14:00",,Final
Impulse,Mesozoic Minnow,13,3,"07/26/2014, 14:00",,Final
cluster,Lower bracket crossovers
Grimace,Kettnetic Thunder,13,2,"07/26/2014, 14:00",,Final
Hippie Mafia,SEMI (YCC-MI),13,11,"07/26/2014, 14:00",,Final
b,r,e,a,k
brackets,Championship Bracket
bracket,Championship Bracket
BroCats,Smokestack,12,10,"07/27/2014, 13:30",Finals,Final
BroCats,MKE,13,8,"07/27/2014, 11:50",Semis,Final
Brickyard,Smokestack,8,13,"07/27/2014, 11:50",Semis,Final
BroCats,City Park Ultimate,13,10,"07/27/2014, 10:10",Quarters,Final
MKE,Enigma,15,14,"07/27/2014, 10:10",Quarters,Final
Brickyard,Jurassic Shark,13,4,"07/27/2014, 10:10",Quarters,Final
Smokestack,Beachfront Property,13,8,"07/27/2014, 10:10",Quarters,Final
bracket,3rd place
MKE,Brickyard,7,13,"07/27/2014, 13:30",3rd place,Final
bracket,5th place
City Park Ultimate,Beachfront Property,7,13,"07/27/2014, 13:30",5th finals,Final
City Park Ultimate,Enigma,13,5,"07/27/2014, 11:50",5th semis,Final
Jurassic Shark,Beachfront Property,6,13,"07/27/2014, 11:50",5th semis,Final
bracket,7th place
Enigma,Jurassic Shark,9,13,"07/27/2014, 13:30",7th place,Final
b,r,e,a,k
brackets,9th Place Bracket
bracket,9th Place
Black Market,Midnight Meat Train,13,7,"07/27/2014, 13:30",9th Place finals,Final
Black Market,Impulse,13,7,"07/27/2014, 11:50",9th Place Semis,Final
Midnight Meat Train,Spoiler,13,10,"07/27/2014, 11:50",9th Place Semis,Final
Layons,Black Market,6,13,"07/27/2014, 10:10",9th Place quarters,Final
Flying Pig,Impulse,2,7,"07/27/2014, 10:10",9th Place quarters,Final
CAKti,Midnight Meat Train,11,13,"07/27/2014, 10:10",9th Place quarters,Final
Spoiler,Hustle,13,7,"07/27/2014, 10:10",9th Place quarters,Final
bracket,11th Place
Impulse,Spoiler,11,7,"07/27/2014, 13:30",11th Place,Final
bracket,13th Place
Layons,Hustle,1,0,"07/27/2014, 13:30",13th Place finals,Final
Layons,Flying Pig,1,0,"07/27/2014, 11:50",13th place semis,Final
CAKti,Hustle,12,13,"07/27/2014, 11:50",13th place semis,Final
bracket,15th Place
Flying Pig,CAKti,0,1,"07/27/2014, 13:30",15th Place,Final
b,r,e,a,k
brackets,17th Place Bracket
bracket,17th Place
Super Phun Tyme,Chicago YCC U-19,7,13,"07/27/2014, 13:30",17th Finals,Final
Super Phun Tyme,Grimace,13,7,"07/27/2014, 11:50",17th Semis,Final
Chicago YCC U-19,Mesozoic Minnow,13,7,"07/27/2014, 11:50",17th Semis,Final
Super Phun Tyme,Hippie Mafia,13,7,"07/27/2014, 10:10",17th Quarters,Final
Bear Jordan,Grimace,10,13,"07/27/2014, 10:10",17th Quarters,Final
Chicago YCC U-19,SEMI (YCC-MI),13,4,"07/27/2014, 10:10",17th Quarters,Final
Mesozoic Minnow,Kettnetic Thunder,13,3,"07/27/2014, 10:10",17th Quarters,Final
bracket,19th Place
Grimace,Mesozoic Minnow,11,13,"07/27/2014, 13:30",19th Place,Final
bracket,21st Place
Bear Jordan,SEMI (YCC-MI),1,0,"07/27/2014, 13:30",21st Finals,Final
Hippie Mafia,Bear Jordan,10,12,"07/27/2014, 11:50",21st Semis,Final
SEMI (YCC-MI),Kettnetic Thunder,13,3,"07/27/2014, 11:50",21st Semis,Final
bracket,23rd Place
Hippie Mafia,Kettnetic Thunder,0,0,"07/27/2014, 13:30",23rd,Scheduled
b,r,e,a,k
