Chicago Invite College,College - Women ,28,3,2014
Chicago,IL,2014-03-28,2014-03-30
https://play.usaultimate.org/events/Chicago-Invite-College/schedule/Women/CollegeWomen/
North Park,8
0,Kristin Baxter
9,Sara Rudolph
17,Erica Bindas
20,Sophia Knowles
94,Julie Sebastian
b,r,e,a,k
Valparaiso,31
04,Brenna Zaplatynsky
07,ERIN WATKINS
08,Emma Barnes
09,CARLY CRAVE
12,Mackenzie Carpenter
13,MIRANDA SPRENGER-MAHAL
14,Kelly Hopps
17,NED KING
20,JESSICA LYZA
26,Jordan Eissner
27,TERYN GEHRED
30,Jordan Bauer
32,ABBY MATTER
38,ELLEN GUISFREDI
47,Kathryn Merkling
b,r,e,a,k
Northern Iowa,15
0,Payten Hughes
2,Kayla Baird
5,Samantha Cameron
6,Cassara Higgins
7,ALYSSA BOHLENDER
8,Michelle Stille
11,Allison  Twedt
12,ELIZABETH REUTER
32,JAIME FRAHM
50,ERIN KAISER
b,r,e,a,k
Purdue,3
0,Ali Johnson
0,Lea Skuteris
0,KRISTA GARRETT
0,MONICA LASLEY
0,Abigail Hallow
0,BRIDGET  WELLMAN
0,Serene Hsu
2,Amanda Postolowski
3,Brittany Stuart
6,Zoe Burgin
8,Anastasia Foster
9,Stephanie Bauer
11,Anne Hemmelgarn
12,Emily Beasley
13,Kristin Dudley
14,Haley Bartolomei
15,KATHRYN HAGERTY
17,Lauren Glass
18,Kat Roeder
26,Kennedy Clark
34,Darien Rodriguez
97,Camilla Himmelstrup Trinderup
b,r,e,a,k
Marquette,14
03,Abby Snell
04,SYDNI ZAMARRON
08,TESSA DANIELSON
10,Amanda Wach
11,Devin Simonelli
13,Leah Roethle
16,Haley Buckingham
17,Zoriana  Telwak
20,Marisa Roman
23,ANJELICA MATIZ
24,Lindsay Boyer
28,Emma Howard
33,Katelyn Phillips
45,Isha Varshney
53,Abigail Lindsay
54,Lauren Guzman
84,CAROLINE MILLER
87,Paige Lloyd
b,r,e,a,k
Macalester,30
2,ALISON GERBER
3,ELIZABETH MAGNUSON
4,Caroline Wright
7,LEE BOOMER
9,ZOE WITHERED
11,NATALIE IZZO
12,REBECCA CHOI
13,Sarah Nichols
17,SARAH LANSKY
20,LYDIA LIPPOLD-GELB
31,eloise terry
33,MACKENZIE BARNWELL
36,ALEXANDRA GREENLER
64,ANALIESE SIGELKO
66,Elle Weeks
94,Molly Stark-Ragsdale
b,r,e,a,k
Drake,13
2,Sarah Schoeberle
3,Kat Carano
5,Nora Sullivan
9,Melissa Snavely
12,Katie Walther
13,KAITLYNN CARROLL
13,Erin Menardi
17,Cassandra Doody
18,Grace Boatman
19,Rebekah Reynolds
20,Lauren Perucco
21,Kristiana Preus
22,Alexis Rose
29,RACHEL COLLINS
33,Adrienne Howard
b,r,e,a,k
Wisconsin-Milwaukee,20
2,Tamar Tenenbaum
4,Erin Dugan
7,MONIKA ORAWIEC
9,ROSEMARY LAUGHRIN
08,Heather Vilbrandt
10,Nicole Beilke
11,Heather Posl
12,Tayler Clark
13,ANNA LARSON
14,TAYLOR  KOEHLING
18,Helen Koth
20,Justine Espisito
21,Mirissa Williamson
22,Sam Johnson
24,Lauren Williams
52,GEORGIA CURRAN
69,Kaleigh Wurster
70,MEGAN THORNTON
77,Madeline Rittgers
95,Anna Miller
99,CARLIE KERTZ
b,r,e,a,k
Loyola-Chicago,4
0,Haley Hudson
0,Meaghan Von Wahlde
0,Ann Cain
0,TANIA ORTIZ
0,Nora Keane
0,Andriana Tompary
0,BRIDGID DANAHY
0,Rebecca Sawatzki
0,Kylie O'Connell
0,ELLEN HAMEL
0,MONICA BOMBEN
0,MADELINE FIELD
8,GRETCHEN DAUSCH
07,Heather Kita
23,Katherine Sohn
b,r,e,a,k
Olivet Nazarene,29
5,Brooke Smith
7,Hannah Schmerschneider
11,Alynn Franklin
13,Megan Ralston
16,Alexandra Schoessler
18,MICHELLE DYKSTRA
19,Esther Paek
20,AMBER DEYOUNG
21,Alyssa Pifer
27,VICTORIA DEAN
44,Wanjiru Kinuthia
b,r,e,a,k
Illinois State,5
02,MELISSA SCHOPER
09,Alyssa Godek
14,Alexandria Krebs
15,CINNAMON PORTER
16,ANDREA MCDOWELL
17,Kristine Trygg
19,ELENA TOPPING
21,Melissa Dickey
22,SARAH MASTNY
27,ALYSSA NIELSON
33,MADELINE CALCAGNO
34,Morgan Brauer
b,r,e,a,k
Northern Michigan,12
0,Abigail Baranski
02,Justina Liss
03,STEPHANIE HEISE
04,KATIE CANFIELD
05,KENDRA NORTON
06,ABIGAIL ROBERTS
10,SAMANTHA Martin
13,Cassandra Hastings
15,Molly Snow
21,Karly Yablonski
22,GRETCHEN SPOELMAN
25,Audrey Kehoe
29,NICOLE TURNER
33,GENTIAN WALLER
68,JESSICA ULRICH
b,r,e,a,k
Bradley,21
0,MORGAN OCONNOR
0,Rachel Teague
0,Amy Thayer
0,JESSICA REVORD
0,JACKIE MAISH
0,Lea Sack
0,Melissa Hoerber
0,Mollie Thayer
21,TIFFANY WINTERS
27,REGINA MUHR
b,r,e,a,k
Wisconsin-La Crosse,28
0,HEATHER BARTZ
0,Morgan  Armstrong
0,Sarah Gang
0,OLIVIA WESTHOFF
0,Kellie Janski
0,Jamie  Brown
0,Victoria Brown
0,Rachel Wotruba
0,ABBY WERNER
0,EMILY PETERSEN
0,Rebecca Rutledge
0,LAUREN LARSON
0,Allison Johnson
0,RUTHANN AITCH
b,r,e,a,k
St Benedict,11
0,KELSEY JACOBSON
0,Alison Dudek
0,Bridget Adelmann
0,LISA KNAPEK
0,SARAH SCHNEIDER
0,RACHEL KILEY
0,LEAH KALGREN
0,JACQUELINE LISKA
0,Katelyn Zurn
0,BETHANI SIDLA
0,SIRI BERG-MOBERG
0,Katarina Wesche
0,MAGGIE MCGRAW
0,Alyssa Hoppe
4,SARA BRUMMER
7,Genavieve Lawler
13,Morgan Potter
17,Hannah Zobitz
17,KAYLEE MATHEWS
21,Elizabeth Schneider
36,Lexi Bernstein
52,Erynn Schroeder
b,r,e,a,k
Michigan (B),6
2,Hanna Berlin
3,RENEE JUREK
4,AMY CHIANG
5,Alice Murphy
6,Hannah Marcovitch
7,Elizabeth Benedetto
8,MEGHAN O'LEARY-KELLY
9,Nina Janjic
10,KELLY HILK
11,Talia Kula
12,Ann Oldani
13,Sarah Adams
14,Amanda Alexander
15,Leah Langhans
17,CAROLINE SMITH
18,Hannah Heyman
20,Alexis Wait
21,Sarah Hill
23,Gina Sancricca
27,JESSICA AXELROD
28,Leah Bar-On Simmons
36,BRIDGET COOK
42,Sydney Friedman
86,Layne Scherer
b,r,e,a,k
Xavier,27
04,Rachel Gast
07,Natalie stubbers
13,Brianna Smith
16,Kathleen Wiegand
18,Keirsten  Baumgartner
19,MICHELE BERENS
22,Samantha Pukys
26,Emilee Armbruster
44,Katie Purtee
70,Julia Hansen
b,r,e,a,k
Southern Illinois,23
0,Kelsey O'Brien
0,BRITTNEY SHILLER
0,Shawna McPherson
0,CATHERINE JEWERS
0,EMILY WEITEKAMP
0,Brookelyn Brown
0,Ruth Suddarth
7,JESSICA  STAPLETON
20,Elizabeth Wilson
b,r,e,a,k
DePaul,7
0,Audie Smith
0,Rachel Hunt
0,sofia fernandez
0,Liz Gulley
07,Amelia Lentz
13,Molly Ruffner
22,Anna Bifano
69,MICHELLE HAWKINS
b,r,e,a,k
St Olaf (B),26
0,SAMANTHA RUDE
0,VALKYRIA BAYER
0,MACKENZIE TOHER
0,Sara Swenson
0,KELSEY OKUNO
0,Madeline Haakenson
0,EMMA SHANAHAN
0,MARI HOUGEN-EITZMAN
0,LAURA NEWTON
2,Lauren Ostrem
10,Arielle Axelrod
11,ELLEN MESNIK
13,Hayley Madland
21,Amy Erlandson
25,Elizabeth Izaguirre
28,Madison Okuno
36,HANNAH WHITE
49,Hannah Gelle
b,r,e,a,k
Illinois (B),10
0,Chesca Calicdan
0,Megan O'Loughlin
0,Julie Kim
0,Sophia Ruiz-Gehrt
2,Candace Brahm
5,SHUAN TANG
7,Heike Hackbusch
8,Emily Sheridan
14,Courtney Rachke
16,Allison Chmaj
19,MOLLY MESSNER
72,Zaray Buenrostro
93,YUETONG XING
99,Rebecca Case
b,r,e,a,k
Central Michigan,9
b,r,e,a,k
Lewis,25
0,DANIELA INGRAM
0,Marissa Jones
2,Nicole Ware
5,Tiffany Szymanski
03,Margaret Lee
08,Kamille Martinez
09,Katie Skopec
12,Melissa Barrett
15,Lauren Collins
21,Laurel Hudson
23,theresa malanao
24,Jessica Fairhurst
27,Alyssa Bennett
45,Mady Stein
75,Julianne Truffa
b,r,e,a,k
Notre Dame (B),24
0,ALYSHA ZEMANEK
0,Marissa Ray
0,Mary DeTrempe
0,Kathryn Bernazzani
0,Lauren Zurawski
0,MARIA ALMANZA
0,Catalina Acosta
0,Kendall Burgett
0,Maeve Crowley
0,Erin Cobb
0,RUTH SULLIVAN
0,KAITLIN KRAEMER
0,Elizabeth Cichon
0,ALEJANDRA ALMANZA
0,NICOLE HODGINS
0,Caitlin McCreary
3,ELLEN CHALEFF
b,r,e,a,k
s,t,a,g,e,s
brackets,Friday Bonus
bracket,Friday Bonus #1
North Park,Michigan State,3,13,"03/28/2014, 16:00",Friday Bonus #1,Final
bracket,Friday Bonus #3
North Park,Eastern Michigan,4,10,"03/28/2014, 18:00",Friday Bonus #3,Final
bracket,Friday Bonus #2
Michigan State,Eastern Michigan,6,7,"03/28/2014, 17:00",Friday Bonus #2,Final
b,r,e,a,k
pools,Pool Play
pool,Pool A
Truman State,St Olaf,13,3,"03/29/2014, 09:00",Pool A,Final
Notre Dame,Fryz Ultimate,5,10,"03/29/2014, 09:00",Pool A,Final
Truman State,Fryz Ultimate,1,13,"03/29/2014, 12:00",Pool A,Final
Notre Dame,St Olaf,12,11,"03/29/2014, 12:00",Pool A,Final
Truman State,Notre Dame,8,10,"03/29/2014, 13:30",Pool A,Final
St Olaf,Fryz Ultimate,7,13,"03/29/2014, 13:30",Pool A,Final
pool,Pool B
Illinois,Case Western Reserve,13,5,"03/29/2014, 10:30",Pool B,Final
Northern Iowa,Valparaiso,8,13,"03/29/2014, 10:30",Pool B,Final
Illinois,Valparaiso,10,9,"03/29/2014, 12:00",Pool B,Final
Northern Iowa,Case Western Reserve,6,12,"03/29/2014, 12:00",Pool B,Final
Illinois,Northern Iowa,13,3,"03/29/2014, 15:00",Pool B,Final
Case Western Reserve,Valparaiso,11,7,"03/29/2014, 15:00",Pool B,Final
pool,Pool C
Purdue,Eastern Michigan,13,2,"03/29/2014, 09:00",Pool C,Final
Marquette,Macalester,9,8,"03/29/2014, 09:00",Pool C,Final
Purdue,Macalester,13,1,"03/29/2014, 10:30",Pool C,Final
Marquette,Eastern Michigan,9,8,"03/29/2014, 10:30",Pool C,Final
Purdue,Marquette,13,3,"03/29/2014, 13:30",Pool C,Final
Eastern Michigan,Macalester,9,5,"03/29/2014, 13:30",Pool C,Final
pool,Pool D
Loyola-Chicago,Wisconsin-Milwaukee,4,7,"03/29/2014, 10:30",Pool D,Final
Drake,Olivet Nazarene,13,5,"03/29/2014, 10:30",Pool D,Final
Loyola-Chicago,Olivet Nazarene,12,3,"03/29/2014, 12:00",Pool D,Final
Drake,Wisconsin-Milwaukee,7,6,"03/29/2014, 12:00",Pool D,Final
Loyola-Chicago,Drake,4,12,"03/29/2014, 15:00",Pool D,Final
Wisconsin-Milwaukee,Olivet Nazarene,13,5,"03/29/2014, 15:00",Pool D,Final
pool,Pool E
Illinois State,Bradley,8,7,"03/29/2014, 09:00",Pool E,Final
Northern Michigan,Wisconsin-La Crosse,13,1,"03/29/2014, 09:00",Pool E,Final
Illinois State,Wisconsin-La Crosse,13,2,"03/29/2014, 13:30",Pool E,Final
Northern Michigan,Bradley,10,7,"03/29/2014, 13:30",Pool E,Final
Illinois State,Northern Michigan,7,2,"03/29/2014, 15:00",Pool E,Final
Bradley,Wisconsin-La Crosse,10,5,"03/29/2014, 15:00",Pool E,Final
pool,Pool F
Michigan (B),Michigan State,11,7,"03/29/2014, 10:30",Pool F,Final
St Benedict,Xavier,10,5,"03/29/2014, 10:30",Pool F,Final
Michigan (B),Xavier,13,0,"03/29/2014, 12:00",Pool F,Final
St Benedict,Michigan State,13,5,"03/29/2014, 12:00",Pool F,Final
Michigan (B),St Benedict,6,12,"03/29/2014, 15:00",Pool F,Final
Michigan State,Xavier,11,1,"03/29/2014, 15:00",Pool F,Final
pool,Pool G
DePaul,Illinois (B),11,5,"03/28/2014, 13:30",Pool G,Final
DePaul,Southern Illinois,5,12,"03/29/2014, 09:00",Pool G,Final
Illinois (B),St Olaf (B),7,8,"03/29/2014, 09:00",Pool G,Final
DePaul,St Olaf (B),13,2,"03/29/2014, 12:00",Pool G,Final
Illinois (B),Southern Illinois,4,13,"03/29/2014, 12:00",Pool G,Final
Southern Illinois,St Olaf (B),13,0,"03/29/2014, 13:30",Pool G,Final
pool,Pool H
North Park,Notre Dame (B),13,1,"03/29/2014, 09:00",Pool H,Final
Central Michigan,Lewis,11,8,"03/29/2014, 09:00",Pool H,Final
North Park,Lewis,13,7,"03/29/2014, 10:30",Pool H,Final
Central Michigan,Notre Dame (B),11,8,"03/29/2014, 10:30",Pool H,Final
North Park,Central Michigan,13,1,"03/29/2014, 12:00",Pool H,Final
Notre Dame (B),Lewis,9,10,"03/29/2014, 12:00",Pool H,Final
b,r,e,a,k
clusters,Crossover Games
cluster,Crossover Games
St Olaf,Purdue,5,11,"03/29/2014, 16:30",,Final
Northern Iowa,Drake,4,13,"03/29/2014, 16:30",,Final
Valparaiso,Illinois State,W,F,"03/29/2014, 16:30",,Final
Truman State,St Benedict,8,10,"03/29/2014, 16:30",,Final
Marquette,Loyola-Chicago,9,7,"03/29/2014, 16:30",,Final
Wisconsin-Milwaukee,Eastern Michigan,7,9,"03/29/2014, 16:30",,Final
Northern Michigan,Michigan State,10,7,"03/29/2014, 16:30",,Final
Michigan (B),Bradley,10,5,"03/29/2014, 16:30",,Final
Macalester,Southern Illinois,6,11,"03/29/2014, 16:30",,Final
Olivet Nazarene,North Park,5,13,"03/29/2014, 16:30",,Final
Wisconsin-La Crosse,Central Michigan,W,F,"03/29/2014, 18:00",,Final
Xavier,DePaul,3,13,"03/29/2014, 18:00",,Final
St Olaf (B),Notre Dame (B),1,7,"03/29/2014, 18:00",,Final
Lewis,Illinois (B),W,F,"03/29/2014, 18:00",,Final
b,r,e,a,k
brackets,Brackets
bracket,Championship Bracket
Fryz Ultimate,Drake,13,7,"03/30/2014, 09:40",Champ Quarters,Final
Case Western Reserve,St Benedict,9,12,"03/30/2014, 09:40",Champ Quarters,Final
Illinois,Purdue,12,11,"03/30/2014, 09:40",Champ Quarters,Final
Notre Dame,Valparaiso,12,11,"03/30/2014, 09:40",Champ Quarters,Final
Fryz Ultimate,St Benedict,15,4,"03/30/2014, 11:20",Champ Semis,Final
Illinois,Notre Dame,11,9,"03/30/2014, 11:20",Champ Semis,Final
Fryz Ultimate,Illinois,13,5,"03/30/2014, 13:00",Champ Finals,Final
bracket,3rd Place
St Benedict,Notre Dame,11,7,"03/30/2014, 13:00",3rd Place,Final
bracket,5th Place Bracket
Drake,Case Western Reserve,7,5,"03/30/2014, 11:20",5th Place Semis,Final
Purdue,Valparaiso,9,8,"03/30/2014, 11:20",5th Place Semis,Final
Drake,Purdue,9,15,"03/30/2014, 13:00",5th Place Finals,Final
bracket,7th Place
Case Western Reserve,Valparaiso,10,9,"03/30/2014, 13:00",7th Place,Final
bracket,9th Place Bracket
St Olaf,Michigan (B),11,15,"03/30/2014, 08:00",9th Place Quarters,Final
Truman State,Marquette,15,2,"03/30/2014, 08:00",9th Place Quarters,Final
Northern Iowa,Northern Michigan,8,15,"03/30/2014, 08:00",9th Place Quarters,Final
Illinois State,Eastern Michigan,15,3,"03/30/2014, 08:00",9th Place Quarters,Final
Michigan (B),Truman State,6,9,"03/30/2014, 09:40",9th Place Semis,Final
Northern Michigan,Illinois State,15,10,"03/30/2014, 09:40",9th Place Semis,Final
Truman State,Northern Michigan,15,6,"03/30/2014, 11:20",9th Place Finals,Final
bracket,11th Place
Michigan (B),Illinois State,9,7,"03/30/2014, 11:20",11th Place,Final
bracket,13th Place Bracket
St Olaf,Marquette,15,5,"03/30/2014, 09:40",13th Place Semis,Final
Northern Iowa,Eastern Michigan,15,9,"03/30/2014, 09:40",13th Place Semis,Final
St Olaf,Northern Iowa,8,4,"03/30/2014, 11:20",13th Place Finals,Final
bracket,15th Place
Marquette,Eastern Michigan,12,7,"03/30/2014, 11:20",15th Place,Final
bracket,17th Place Bracket
Bradley,Southern Illinois,9,10,"03/30/2014, 09:40",17th Place Quarters,Final
Loyola-Chicago,DePaul,8,7,"03/30/2014, 09:40",17th Place Quarters,Final
Michigan State,North Park,14,9,"03/30/2014, 09:40",17th Place Quarters,Final
Wisconsin-Milwaukee,Wisconsin-La Crosse,9,5,"03/30/2014, 09:40",17th Place Quarters,Final
Southern Illinois,Loyola-Chicago,6,7,"03/30/2014, 13:00",17th Place Semis,Final
Michigan State,Wisconsin-Milwaukee,9,8,"03/30/2014, 13:00",17th Place Semis,Final
Loyola-Chicago,Michigan State,7,12,"03/30/2014, 14:40",17th Place Finals,Final
bracket,29th Place Bracket
St Olaf (B),Xavier,7,11,"03/30/2014, 11:20",29th Place Semis,Final
Illinois (B),Notre Dame (B),11,1,"03/30/2014, 11:20",29th Place Semis,Final
Xavier,Illinois (B),10,9,"03/30/2014, 13:00",29th Place Finals,Final
bracket,27th Place
Lewis,Olivet Nazarene,15,8,"03/30/2014, 13:00",27th Place,Final
bracket,31st Place
St Olaf (B),Notre Dame (B),1,0,"03/30/2014, 13:00",31st Place,Final
bracket,25th Place Bracket
Macalester,St Olaf (B),13,6,"03/30/2014, 08:00",25th Place Quarters,Final
Xavier,Lewis,9,11,"03/30/2014, 08:00",25th Place Quarters,Final
Olivet Nazarene,Illinois (B),10,9,"03/30/2014, 08:00",25th Place Quarters,Final
Central Michigan,Notre Dame (B),12,7,"03/30/2014, 08:00",25th Place Quarters,Final
Macalester,Lewis,14,8,"03/30/2014, 11:20",25th Place Semis,Final
Olivet Nazarene,Central Michigan,8,13,"03/30/2014, 11:20",25th Place Semis,Final
Macalester,Central Michigan,15,6,"03/30/2014, 13:00",25th Place Finals,Final
b,r,e,a,k
clusters,Sunday Bonus Games
cluster,Sunday Bonus Games
Eastern Michigan,Marquette,5,6,"03/30/2014, 13:00",,Final
Bradley,Wisconsin-La Crosse,13,4,"03/30/2014, 14:40",,Final
Michigan State,Wisconsin-Milwaukee,6,7,"03/30/2014, 16:20",,Final
b,r,e,a,k
