Cooler Classic,Club - Mixed ,16,8,2014
Hartland,WI,2014-08-16,2014-08-17
https://play.usaultimate.org/events/Cooler-Classic/schedule/Mixed/Club-Mixed
NOISE,1
Mad Udderburn,3
00,BRIAN NOVOTNY
01,Grace Compton
02,Kevin Pochatila
03,Eric Wallendal
04,James Kersten
07,Kate Fasbender
08,JESSE ROHOWETZ
09,KEVIN SHEA
10,Evan Doucett
11,BRIAN NELB
12,Martin Granick
13,Christopher Reichel
14,TAYLOR  KOEHLING
16,Frank Qin
17,Chris Schroeder
18,Brittany Faust
19,Annie McNally
23,Lizabeth Held
25,Nina Nelsestuen
26,Megan Wallendal
27,Clay Schelitzche
32,Adam Zingsheim
33,SARAH ZINGSHEIM
41,Molly Schelitzche
44,Laura Meyer
86,Christopher Chang
b,r,e,a,k
Omertà,7
01,CASSANDRA SAKAI
04,Jacob Ward
05,Alexandra Hasan
12,Alan Broering
13,Jimmy Robin
14,Kristen Turner
16,BRANDON TARBET
17,Kaetlynn Daoust
18,Tyler Claypool
21,Brendan Kremer
23,Cameron Hodgkinson
24,James Sykora
25,Bradley Johnson
26,Patrick Kaufmann
27,Sarah Schram
28,Richard Berger
31,VALERIE IEHL
36,Emily Fridberg
39,Phoebe Evans
49,BRIAN HERRMANN
64,Steven Stanish
77,DOUG CAPADONA
88,Samuel Fishman-Strait
91,Maggie Paoli
92,ANDREW FREDRICKSON
b,r,e,a,k
Cream City Crooks,13
02,Oliver Rytman
03,KELLY RIPPL
04,Daniel Fiorino
06,MAEVE DWYER
07,JEREMY MAJORS
08,MARYKAY DREISILKER
09,Joshua Wilson
10,Laura Nelson
11,Jacob Scobey-Polacheck
16,Andrew Patten
17,Dan Laurila
18,Rachel Burge
19,Michael Morrison
21,JESSICA BAHLING
22,ANDREA SAVAGLIO
23,MICHAEL KEMPF
24,Justin Simanson
27,MICHAEL LIANG
33,Jason Sauve
36,Henry Arends
37,Molly Lindsay
42,Austin Hinz
54,Lauren Guzman
82,Andrew Czekalski
87,Austin Prucha
88,TESSA DANIELSON
99,Kelsey Morrison
b,r,e,a,k
The Abusement Park,9
0,Max Shepherd
3,DAVID HOFFMAN
6,Alison Lanski
03,Kasey Kenealy
05,Thom Kenealy
06,Christine Huffer
09,AMY BILEK
13,Brian Keefe
14,KELSEY TAYLOR
16,Tom Carter
16,Ben Pries
17,John Goodwin
18,Sajed Dosenbach
19,ZACK WOODRUFF
20,RACHEL Barsella
21,Andrew Tang
23,KELLY TAYLOR
25,Jordan Lange
26,VICTORIA HADLOCK
27,Christopher Fuchs
32,MATTHEW ZENZ
33,DANIEL BUTLER
50,Kelsey Fink
85,DAN BOLIVAR
b,r,e,a,k
ELevate,12
0,Lisa Paluszkiewicz
0,ZARIN STONE
3,William Horwitz
6,KATELYN REYNOLDS
7,Brian Murphy
11,Jennifer Song
12,Pedrom Rejai
14,Matt Finley
16,Andrew Gubernick
16,Jefferson Day
19,KEVIN GOETSCH
21,MOLLY SCHULMAN
22,Molly Ruffner
25,Sean Mills
26,Scott Anding
29,Allison Hill
30,Austin Power
31,Alexandra Ulp
32,Sandra Helquist
36,Talia Fishman-Strait
42,Ryan Albright
66,Taylor Dall
71,Matt Gubernick
77,Amelia Lentz
91,Robert Geer
b,r,e,a,k
Mojo Jojo,16
0,Claire Cech
0,Meredith  Johnson
0,Hailey Bronson
0,Kathleen Burich
0,STEVEN FINN
0,Patrick Cashman
0,JACOB BRANDYS
2,Brian Wilson
5,Daniel Schultz
6,Ryan Fortune
10,Erin Mirocha
11,Grant Erickson
13,Michael Seffren
14,Ben Valley
16,Lisa Barnes
32,Beth Bernhardt
55,Patrick Jones
84,Jake Kretschmer
b,r,e,a,k
No Touching,10
0,Tony Michaelson
0,Jolien Munsterhuis
0,Paul Norgaard
0,Michael Tschida
0,Aaron Hushagen
0,Joe Andrighetti
0,Dan VanBergen
0,Graham Brayshaw
0,Jimmy James McDonald
0,Kirsten Walters
0,Sam Valesano
0,Vu Nguyen
0,Sheila Cheng
0,Michelle Waters
0,PAUL KRUSE
0,Reed Bailey
7,Brianna Andrighetti
9,Tyler McKean
77,G. Scott Walters
b,r,e,a,k
Boomtown Pandas,14
01,RICHARD PHANNENSTILL
02,Rebecca Roden
05,Ryan Pakula
07,Benjamin Hsu
08,Adam Ruffner
09,ASHLEY SATTERLEE
10,Kristen Brenner
11,JEFF POSKIN
12,Jon Fok
19,Sarah Edlund
21,John Schaefer
23,Debra Minahan
24,Matt Coogan
25,JENNIFER DAVIDSON
28,Emily Orner
34,Elise Garton
43,Toby Wex
44,ALEXANDRIA HALL
66,Laura Hsu
74,Daniel Rubenstein
84,Vincent Hsu
88,KARL BRENNER
96,John Bryan
98,Chris Davis
b,r,e,a,k
Cake,11
0,BRODY THOMAS
0,Mark Carr
2,Alex Hamilton
2,James Marsh
2,Nathan Huster
5,Matt Summers
7,JAY CUSTIS
8,Mary Zellmer
10,Megan Chan (Enyeart)
11,STEPHEN CHAN
12,NICHOLAS HECHT
15,Kevin Daley
17,Amanda Gellhaus
18,MICHELLE TIMMERMAN
18,Tess McGrew
20,Richard Salmon
21,zachary skaggs
22,NINA CAMERON
22,Rachel Huster
23,Xavier Payne
24,Courtney Montague
28,Heather Summers
44,Tracie Anderson
49,Reuben Griggs
49,Jennifer Naumovitz
54,RAY HUPFER
b,r,e,a,k
Stack Cats,15
00,Vincent Curkov
00,Matt Tansley
00,Melissa Dickey
00,Ian Crane
00,Michael Hyland
00,Matthew Bonges
00,Luke Joyner
00,Benton Fletcher
00,Alex Kim
00,Anthony Oplawski
00,Heather Kita
00,Matt Afryl
00,BOB WEDSTER
00,Saul Lipton
00,Timothy Scalzo
00,BETSY MERBITZ
00,David Lindsey
00,Krystle Ocampo
00,Halley McLean
00,CATIE NEWHOUSE
b,r,e,a,k
Prion,17
0,Thyra Sandstrom
1,MELISSA MATHEYS
4,Candace Brahm
02,Jeremy Goodsitt
03,Daniel McDonald
05,Angelo Ramos
09,Betsy Basch
12,JASON YUE
13,Noah Bindman
14,Samantha Bindman
16,CHRISTOPHER MELLON
17,Mikayla Yoder
18,Alexis Dettmer
19,Michael Mitchaner
21,ANDREW WEINER
22,JEFFREY ZHU
23,Alex Castillo
26,Erik Huemiller
31,Christopher Drew
36,Bianca Delgado
57,Jonathan Alton
72,Zaray Buenrostro
b,r,e,a,k
Mastodon,20
0,Katherine Ebensperger
0,Catherine Morita
0,COLLEEN MOSER
0,YUJIA HUO
0,Joel Malerba
0,Jennifer Lillie
4,Jonathan Davis
8,Evie Adams
01,Caitlin Clevenger
10,Joseph Anistranski
11,Phil Prosapio
11,Cam Keys
11,Paderic Driscoll
14,Nicholas Moore
16,Alec Li
17,Mark David
18,Patrick Miller
20,Noah Webster
21,Jessica Liu
23,BRIAN GOODELL
27,Kelly Bruce
27,Mei-Lien Converse
52,Michael Hagenow
82,PATRICK LAMMERT
94,Derek Weisberg
b,r,e,a,k
Happy Days,19
0,Grant Hellestad
0,Ashley Schlapper-Sevcik
0,Chris Chapman
0,MICHELLE HAWKINS
0,Luke Schedler
0,SEAN BRADLEY
3,Tyler Ignatowski
5,Matthew Pagel
10,DEVON ARMSTRONG
19,Nathaniel Wurzer
22,Evan Handley
23,Amanda Hellestad
28,AUSTIN LANDGRAF
29,Mike Armstrong
30,Jessica Johnson
37,Abby Butzen
40,Amanda Wach
55,CHRISTOPHER PEROUTKA
69,DANIEL FIX
84,CAROLINE MILLER
b,r,e,a,k
Pizza Party!,23
0,ADAM VELK
0,MATT RADES
0,Jackson Todd
1,Will Hsieh
4,Monica Oplawski
6,Shannon Clancy
7,Naomi Slaughter
8,Kamille Martinez
12,Ashley Betke
15,ZACHARY FRERICHS
15,CINNAMON PORTER
23,SHANE O'FARRELL
28,ANDREW BEROWSKI
36,Madison Olesen
44,ASHTON  FALDUTO
48,Kathryn Kembitzky
52,MEGAN WISNOWSKI
55,Stephen Gard
73,Michelle Mingay
88,KAITLIN KINAHAN
93,Nick Storter
b,r,e,a,k
SOUP Dynasty,21
00,LUKAS LEBENS
00,Rolf Bergford
00,Amy Erlandson
00,John Knapp
00,Weston Birnbaum
00,Andrew O'Neill
00,Nicholas Graanfox
00,JAMES HANSEN
00,ERIK JONES
00,EVAN WESELMANN
00,Kenny Harvey
00,Tanya Natwick
00,Martha (Mattie) Melin
12,Alison Schmitz
b,r,e,a,k
Free Ride,22
0,Aileen Murphy
0,CHAD MCCORMICK
1,JONATHAN ADAMS
4,MICAH FLETCHER
6,Jennifer Schimmel
11,Colin OBrien
12,Reese Rackets
13,Alexander Staelens
14,Devin Holland
23,Emily Armbruster
26,JOANNA ZHANG
27,DOUGLASS BUTLER
43,GAVIN MOORE
95,Joel Williams
97,Megan Asturias
b,r,e,a,k
Carlos Danger,18
0,MONICA MAZDA
0,JEFF BLEICHER
0,Katelyn Loscar
0,Bradley Hills
0,LISA BEACH
0,Jon Johnson
2,Robert Slemenda
10,Jenna Jarvis
11,Emma Sirkin
45,Adam Wagner
50,Kent Hiquet
89,David Stierwalt
92,Anthony Panozzo
b,r,e,a,k
s,t,a,g,e,s
pools,Pool Play
pool,Pool A
NOISE,panIC,12,7,"08/16/2014, 09:00",Pool A,Final
Love Tractor,Des Moines Metro,11,8,"08/16/2014, 09:00",Pool A,Final
NOISE,Des Moines Metro,11,13,"08/16/2014, 12:30",Pool A,Final
Love Tractor,panIC,13,5,"08/16/2014, 12:30",Pool A,Final
NOISE,Love Tractor,13,8,"08/16/2014, 14:15",Pool A,Final
panIC,Des Moines Metro,8,13,"08/16/2014, 14:15",Pool A,Final
pool,Pool B
Interrobang!,Minnesota Star Power,13,6,"08/16/2014, 10:45",Pool B,Final
Mad Udderburn,Omertà,13,11,"08/16/2014, 10:45",Pool B,Final
Interrobang!,Omertà,12,11,"08/16/2014, 12:30",Pool B,Final
Mad Udderburn,Minnesota Star Power,10,11,"08/16/2014, 12:30",Pool B,Final
Interrobang!,Mad Udderburn,10,8,"08/16/2014, 14:15",Pool B,Final
Minnesota Star Power,Omertà,12,11,"08/16/2014, 14:15",Pool B,Final
pool,Pool C
The Abusement Park,Cream City Crooks,10,12,"08/16/2014, 10:45",Pool C,Final
ELevate,Mojo Jojo,12,10,"08/16/2014, 10:45",Pool C,Final
The Abusement Park,Mojo Jojo,12,5,"08/16/2014, 12:30",Pool C,Final
ELevate,Cream City Crooks,7,11,"08/16/2014, 12:30",Pool C,Final
The Abusement Park,ELevate,10,8,"08/16/2014, 14:15",Pool C,Final
Cream City Crooks,Mojo Jojo,13,9,"08/16/2014, 14:15",Pool C,Final
pool,Pool D
No Touching,Boomtown Pandas,13,6,"08/16/2014, 09:00",Pool D,Final
Cake,Stack Cats,13,7,"08/16/2014, 09:00",Pool D,Final
No Touching,Stack Cats,13,3,"08/16/2014, 10:45",Pool D,Final
Cake,Boomtown Pandas,9,10,"08/16/2014, 10:45",Pool D,Final
No Touching,Cake,13,8,"08/16/2014, 14:15",Pool D,Final
Boomtown Pandas,Stack Cats,13,5,"08/16/2014, 14:15",Pool D,Final
pool,Pool E
Prion,Mastodon,12,6,"08/16/2014, 09:00",Pool E,Final
Happy Days,Pizza Party!,12,11,"08/16/2014, 09:00",Pool E,Final
Prion,Pizza Party!,13,4,"08/16/2014, 10:45",Pool E,Final
Happy Days,Mastodon,7,11,"08/16/2014, 10:45",Pool E,Final
Prion,Happy Days,13,3,"08/16/2014, 12:30",Pool E,Final
Mastodon,Pizza Party!,12,5,"08/16/2014, 12:30",Pool E,Final
pool,Pool F
SOUP Dynasty,Free Ride,17,10,"08/16/2014, 09:00",Pool F,Final
Carlos Danger,Free Ride,11,16,"08/16/2014, 11:15",Pool F,Final
Carlos Danger,SOUP Dynasty,10,17,"08/16/2014, 13:30",Pool F,Final
b,r,e,a,k
clusters,Crossovers
cluster,Crossover
NOISE,Interrobang!,11,12,"08/16/2014, 16:00",,Final
Des Moines Metro,Minnesota Star Power,13,8,"08/16/2014, 16:00",,Final
Happy Days,Carlos Danger,13,6,"08/16/2014, 16:00",,Final
b,r,e,a,k
brackets,Gold Bracket
bracket,1st Place
Interrobang!,NOISE,10,12,"08/17/2014, 15:00",Championship,Final
Interrobang!,Des Moines Metro,15,10,"08/17/2014, 13:00",Semis,Final
Minnesota Star Power,NOISE,11,15,"08/17/2014, 13:00",Semis,Final
Interrobang!,No Touching,13,7,"08/17/2014, 11:00",Quarters,Final
Mad Udderburn,Des Moines Metro,6,15,"08/17/2014, 11:00",Quarters,Final
Minnesota Star Power,Love Tractor,13,7,"08/17/2014, 11:00",Quarters,Final
panIC,NOISE,6,15,"08/17/2014, 11:00",Quarters,Final
No Touching,Omertà,12,9,"08/16/2014, 16:00",Gold Pre-Q,Final
Mad Udderburn,Boomtown Pandas,11,5,"08/16/2014, 16:00",Gold Pre-Q,Final
Love Tractor,The Abusement Park,13,6,"08/16/2014, 16:00",Gold Pre-Q,Final
panIC,Cream City Crooks,12,10,"08/16/2014, 16:00",Gold Pre-Q,Final
bracket,3rd Place
Des Moines Metro,Minnesota Star Power,15,8,"08/17/2014, 15:00",3rd,Final
bracket,5th Place
No Touching,Love Tractor,7,12,"08/17/2014, 15:00",5th,Final
No Touching,Mad Udderburn,15,12,"08/17/2014, 13:00",5th Semis,Final
Love Tractor,panIC,15,11,"08/17/2014, 13:00",5th Semis,Final
bracket,7th Place
Mad Udderburn,panIC,13,10,"08/17/2014, 15:00",7th,Final
b,r,e,a,k
brackets,Silver Bracket
bracket,9th Place
Cream City Crooks,Omertà,11,15,"08/17/2014, 13:00",Championship,Final
Cream City Crooks,Mastodon,15,9,"08/17/2014, 11:00",Semis,Final
The Abusement Park,Omertà,12,15,"08/17/2014, 11:00",Semis,Final
Cream City Crooks,SOUP Dynasty,15,7,"08/17/2014, 09:00",Quarters,Final
Mastodon,Boomtown Pandas,15,4,"08/17/2014, 09:00",Quarters,Final
The Abusement Park,Free Ride,15,2,"08/17/2014, 09:00",Quarters,Final
Prion,Omertà,7,15,"08/17/2014, 09:00",Quarters,Final
Stack Cats,SOUP Dynasty,7,12,"08/16/2014, 16:00",Silver Pre-Q,Final
ELevate,Mastodon,13,14,"08/16/2014, 16:00",Silver Pre-Q,Final
Cake,Free Ride,11,12,"08/16/2014, 16:00",Silver Pre-Q,Final
Mojo Jojo,Prion,5,13,"08/16/2014, 16:00",Silver Pre-Q,Final
bracket,11th Place
Mastodon,The Abusement Park,10,15,"08/17/2014, 13:00",11th,Final
bracket,13th Place
Boomtown Pandas,Prion,13,11,"08/17/2014, 13:00",13th,Final
SOUP Dynasty,Boomtown Pandas,10,14,"08/17/2014, 11:00",13th Semis,Final
Free Ride,Prion,8,15,"08/17/2014, 11:00",13th Semis,Final
bracket,15th Place
SOUP Dynasty,Free Ride,11,6,"08/17/2014, 13:00",15th,Final
b,r,e,a,k
brackets,Bronze Bracket
bracket,17th Place
ELevate,Mojo Jojo,11,14,"08/17/2014, 13:00",Championship,Final
Pizza Party!,ELevate,13,15,"08/17/2014, 11:00",Semis,Final
Cake,Mojo Jojo,9,15,"08/17/2014, 11:00",Semis,Final
Stack Cats,Pizza Party!,10,15,"08/17/2014, 09:00",Quarters,Final
ELevate,Happy Days,15,8,"08/17/2014, 09:00",Quarters,Final
Cake,Carlos Danger,13,1,"08/17/2014, 09:00",Quarters,Final
bracket,19th Place
Pizza Party!,Cake,14,15,"08/17/2014, 13:00",19th,Final
bracket,RR #1
Stack Cats,Carlos Danger,13,6,"08/17/2014, 11:00",RR #1,Final
bracket,RR #2
Stack Cats,Happy Days,12,14,"08/17/2014, 13:00",RR #2,Final
bracket,RR #3
Happy Days,Carlos Danger,10,11,"08/17/2014, 15:00",RR #3,Final
b,r,e,a,k
