Huck Buddy Invite,College - Men ,22,3,2014
Kingston,RI,2014-03-22,2014-03-23
https://play.usaultimate.org/events/Huck-Buddy-Invite/schedule/Men/CollegeMen/
Slap Grandma,1
48,HAROLD VEILLEUX
55,TYLER PARDEE
69,Joe Scully
70,Jon Malchiodi
99,Michael Bighinatti
b,r,e,a,k
Rensselaer Polytech,14
3,Michael Wentworth
04,JONATHAN SOUCY
06,CARL SPRINGLI
07,Andrew Sklar
11,Emet Schwartz
14,DAVID ROSENBERG
17,Charles Mehrotra
19,John Miller
21,GARY SHEA
22,Sean Murphy
23,RYAN MORIARTY
24,Matthew Lustbader
27,PHILIP WATTERS
33,JOHN GROVER
34,NOLAN RYAN
35,Russell Katz
42,AUGUST CORETTO
77,ZE QIN QIU
b,r,e,a,k
Keene State,6
00,Robert Lanfranchi
00,GREGORY SHANNON
00,GREGORY LEFKO
00,ANDREW WALLACE
00,JARED SUMNER
00,Brendan Morris
00,MYLES DUMAS
00,MITCHELL DENONCOURT
00,MATTHEW COLLINS
00,Timothy Smith
00,RENN BAUHAN
00,BRYAN LAKE
00,DAN AUNE
00,TJ Ledbury
00,JASON CYR
00,Sam Hovey
07,Daniel Bullard
b,r,e,a,k
Hofstra,11
0,Graham Potters
0,ETHAN MAGEE
0,Joseph Murphy
0,Ryan Lopez
0,Julio Macario
0,Danny Lee
0,Zach Sakaan
0,Kyle Meranus
0,Brian Stieglitz
0,Zach Zain
0,SAMUEL KAPLAN
0,Ryan Reyes
0,Eric Katzen
0,Brandon Ciappina
0,Sam Casadevall
0,Ryder Moriarty
2,Brian Kelly
3,RICH DEMAIO
4,Anthony Giambrone
7,Eric Moore
10,THOMAS BUTLER
15,Kenton Scott
22,TYLER GRIES
26,COLIN ADAMS
27,KRISHNA DAVE
66,SPENCER RIGGINS
85,Patrick Francois
b,r,e,a,k
Roger Williams,19
01,Matt Stearns
02,Brian Watterlond
03,Jake Deslandes
04,Taylor Sutherland
08,Tyler Perron
09,Jacob Evangelos
10,Tom Benton
11,Emerson Ball
12,Carmel James
13,Aiden Bohan
16,Nathan Canfield
17,Alex DeLalla
17,Eric Mosoff
19,Toby Adams-Cook
21,Charles Ahl
35,Matt Nemia
77,Frank Tobitsch
88,Edward Flynn
96,Dylan Schwarz
99,Isaac Burke
b,r,e,a,k
Boston University (B),22
0,Theodore kahn
9,Brian McGrath
12,Eric Heinrichs
13,DOUG LAPPE
18,Ryan Singh
21,STEVEN COHEN
25,TIMOTHY LAU
31,Daniel Kronenfeld
45,BOBBY DRAPER
87,Jason Gens
b,r,e,a,k
Worcester Polytech,4
0,August Beers
0,Louie Mistretta
0,Conrad Ruiz
0,Andrew Pic
0,JARRETT JACOBSON
0,Timothy Whitworth
3,Patrick Kane
4,NICHOLAS KEPKA CALVETTI
7,ANTHONY ROMEO
10,Ryan Turner
11,Joe Sabatino
12,Daniel Benson
17,JEFFREY PAQUETTE
25,STEPHEN COUITT
26,Jackson Gillenwaters
28,Alexander Carli-Dorsey
36,Ryan Thornhill
37,Daniel Murray
73,Timothy Defreitas
84,Michael Enko
87,Vincent Azzolino
b,r,e,a,k
Stonehill,5
0,Brandon Hazelton
0,Frank Mooney
0,Tyler Hall
0,ALEXANDER VENTOLA
0,Steven Villani
0,Michael Watts
0,Thomas Passano
0,DERICK ST.CYR
0,Terence McDonald
0,CHARLES BRADFORD
0,Matthew Marshall
0,Ryan Cooney
0,Mark Gambon
0,SHAWN CRONIN
0,Connor Hilbie
0,Christopher Whitten
42,Patrick  O'Hara
47,Andrew Bourque
b,r,e,a,k
Westfield State,13
0,Chris Fandel
0,Jake  Lehan
0,James Stamm
0,EVAN CRIMMINS
0,Daniel Mitchell
0,Darius Avellino
0,Daniel Powers
0,Sean Single
0,JUSTIN WRIGHT
0,Matt Dickson
0,PATRICK CHALMERS
2,Brian Aurelio
3,Zack Mazzone
8,LUKE AMIRAULT
12,Kathleen Bemis
14,SEAN LEARY
15,BEN ELLIS
33,Zach Bodnar
b,r,e,a,k
Boston College (B),20
0,Peter Urbanczyk
0,Matt Liu
0,Robert Clyatt
0,Jude Poku
0,BRIAN VARNELL
0,Benjamin Wiener
0,Darren Cedrone
0,Niraj Patel
0,DAVID JOYCE
0,ZACH BARON
0,Dylan Josephs
0,ANDREW DUNK
0,MICHAEL GRANATELLI
0,Assad Younas
0,William Hamilton
0,Michael Dillon
0,Joseph Dorion
0,GARRETT MONTAGUE
0,MICHAEL MCNULTY
0,Denny Lynch
0,ERIK HARVEY
0,Pierce Keegan
0,William Chamberlin
0,John Pugh
0,Mark Stansky
0,Javier Incera
9,Ryan White
15,CHRISTIAN AUSTIN
21,NICHOLAS WEGENER
24,PAUL HOWARD
41,Charles Lok
94,Samuel Zatkowski
b,r,e,a,k
Holy Cross,12
b,r,e,a,k
Bentley (B),21
00,Grant Bronfman
00,RICHARD FARAH
00,DANIEL PARROW
01,JAMES DONATO
03,Chris Jin
06,Johnny Monahan
10,Hassan Jaafar
14,NOAH COMEN
21,ANDREW CAYER
28,ALEX OHALLORAN
32,Sebastian Brunell
34,PETER YAHIA
35,Charles Noble
37,NICK POSSI-MOSES
39,Nicholas Morin
45,Daniel Lonardo
55,RICK FADDEN
56,EVAN PERKINS
57,JERROD ZIMMER
63,Peter Joelson
80,Pedro Cabrera
93,MATTHEW BUCK
b,r,e,a,k
s,t,a,g,e,s
pools,Pool Play
pool,Pool A
Dartmouth (B),Rhode Island,3,13,"03/22/2014, 09:00",Pool A,Final
Berklee,Rhode Island,7,12,"03/22/2014, 10:30",Pool A,Final
Slap Grandma,Berklee,13,5,"03/22/2014, 12:00",Pool A,Final
Slap Grandma,Dartmouth (B),W,L,"03/22/2014, 13:30",Pool A,Final
Slap Grandma,Rhode Island,13,7,"03/22/2014, 15:00",Pool A,Final
Dartmouth (B),Berklee,10,8,"03/22/2014, 15:00",Pool A,Final
pool,Pool B
Rhode Island  (B),Connecticut College,2,13,"03/22/2014, 09:00",Pool B,Final
Providence,Harvard (B),4,12,"03/22/2014, 09:00",Pool B,Final
Boston College,Connecticut College,13,4,"03/22/2014, 10:30",Pool B,Final
Rhode Island  (B),Providence,5,13,"03/22/2014, 10:30",Pool B,Final
Rhode Island  (B),Boston College,1,13,"03/22/2014, 12:00",Pool B,Final
Harvard (B),Connecticut College,8,5,"03/22/2014, 12:00",Pool B,Final
Rhode Island  (B),Harvard (B),3,13,"03/22/2014, 13:30",Pool B,Final
Providence,Boston College,5,13,"03/22/2014, 13:30",Pool B,Final
Harvard (B),Boston College,6,9,"03/22/2014, 15:00",Pool B,Final
Providence,Connecticut College,4,9,"03/22/2014, 15:00",Pool B,Final
pool,Pool C
Keene State,Hofstra,10,9,"03/22/2014, 09:00",Pool C,Final
Bryant,Roger Williams,11,0,"03/22/2014, 09:00",Pool C,Final
Rensselaer Polytech,Boston University (B),11,3,"03/22/2014, 09:00",Pool C,Final
Rensselaer Polytech,Hofstra,8,7,"03/22/2014, 10:30",Pool C,Final
Keene State,Bryant,1,11,"03/22/2014, 10:30",Pool C,Final
Roger Williams,Boston University (B),11,7,"03/22/2014, 10:30",Pool C,Final
Keene State,Roger Williams,9,7,"03/22/2014, 12:00",Pool C,Final
Boston University (B),Hofstra,4,10,"03/22/2014, 12:00",Pool C,Final
Bryant,Rensselaer Polytech,11,6,"03/22/2014, 12:00",Pool C,Final
Bryant,Boston University (B),11,0,"03/22/2014, 13:30",Pool C,Final
Keene State,Rensselaer Polytech,9,11,"03/22/2014, 13:30",Pool C,Final
Roger Williams,Hofstra,0,11,"03/22/2014, 13:30",Pool C,Final
Roger Williams,Rensselaer Polytech,2,11,"03/22/2014, 15:00",Pool C,Final
Bryant,Hofstra,11,3,"03/22/2014, 15:00",Pool C,Final
Keene State,Boston University (B),W,L,"03/22/2014, 15:00",Pool C,Final
pool,Pool D
Worcester Polytech,Stonehill,11,1,"03/22/2014, 09:00",Pool D,Final
Holy Cross,Boston College (B),9,10,"03/22/2014, 09:00",Pool D,Final
Westfield State,Bentley (B),11,2,"03/22/2014, 09:00",Pool D,Final
Worcester Polytech,Holy Cross,11,2,"03/22/2014, 10:30",Pool D,Final
Stonehill,Westfield State,11,6,"03/22/2014, 10:30",Pool D,Final
Boston College (B),Bentley (B),10,8,"03/22/2014, 10:30",Pool D,Final
Worcester Polytech,Westfield State,11,3,"03/22/2014, 12:00",Pool D,Final
Holy Cross,Bentley (B),7,4,"03/22/2014, 12:00",Pool D,Final
Stonehill,Boston College (B),11,5,"03/22/2014, 12:00",Pool D,Final
Worcester Polytech,Bentley (B),11,1,"03/22/2014, 13:30",Pool D,Final
Holy Cross,Stonehill,8,10,"03/22/2014, 13:30",Pool D,Final
Westfield State,Boston College (B),9,8,"03/22/2014, 13:30",Pool D,Final
Worcester Polytech,Boston College (B),11,5,"03/22/2014, 15:00",Pool D,Final
Holy Cross,Westfield State,8,10,"03/22/2014, 15:00",Pool D,Final
Stonehill,Bentley (B),11,6,"03/22/2014, 15:00",Pool D,Final
b,r,e,a,k
brackets,Bracket Play
bracket,1st Place
Connecticut College,Slap Grandma,5,15,"03/23/2014, 06:00",1st Quarters,Final
Harvard (B),Bryant,5,15,"03/23/2014, 06:00",1st Quarters,Final
Rensselaer Polytech,Worcester Polytech,5,15,"03/23/2014, 06:00",1st Quarters,Final
Rhode Island,Boston College,8,15,"03/23/2014, 06:00",1st Quarters,Final
Slap Grandma,Bryant,13,7,"03/23/2014, 06:00",1st Semis,Final
Worcester Polytech,Boston College,15,8,"03/23/2014, 06:00",1st Semis,Final
Slap Grandma,Worcester Polytech,13,10,"03/23/2014, 06:00",1st Finals,Final
Harvard (B),Westfield State,15,13,"03/23/2014, 09:00",1st Prequarters,Final
Rensselaer Polytech,Dartmouth (B),15,9,"03/23/2014, 09:00",1st Prequarters,Final
Rhode Island,Keene State,13,10,"03/23/2014, 09:00",1st Prequarters,Final
bracket,3rd Place
Bryant,Boston College,6,14,"03/23/2014, 06:00",3rd Finals,Final
bracket,5th Place
Harvard (B),Connecticut College,1,0,"03/23/2014, 09:00",5th Semis,Final
Rensselaer Polytech,Rhode Island,0,1,"03/23/2014, 06:00",5th Semis,Final
Rhode Island,Harvard (B),10,13,"03/23/2014, 06:00",5th Finals,Final
bracket,7th Place
bracket,9th Place
Dartmouth (B),Keene State,8,15,"03/23/2014, 09:00",9th Semis,Final
Stonehill,Westfield State,11,3,"03/23/2014, 09:00",9th Semis,Final
Stonehill,Keene State,7,11,"03/23/2014, 06:00",9th Finals,Final
bracket,11th Place
b,r,e,a,k
brackets,Consolation
bracket,13th Place
Berklee,Bentley (B),15,13,"03/23/2014, 06:00",13th Quarters,Final
Hofstra,Rhode Island  (B),1,0,"03/23/2014, 06:00",13th Quarters,Final
Roger Williams,Boston College (B),9,15,"03/23/2014, 06:00",13th Quarters,Final
Providence,Holy Cross,0,1,"03/23/2014, 06:00",13th Quarters,Final
Berklee,Hofstra,5,15,"03/23/2014, 06:00",13th Semis,Final
Boston College (B),Holy Cross,0,1,"03/23/2014, 06:00",13th Semis,Final
Hofstra,Holy Cross,0,1,"03/23/2014, 06:00",13th Finals,Final
bracket,15th Place
Berklee,Boston College (B),0,0,"03/23/2014, 08:00",15th Finals,Cancelled
bracket,17th Place
Bentley (B),Rhode Island  (B),15,3,"03/23/2014, 08:00",17th Semis,Final
Roger Williams,Providence,0,0,"03/23/2014, 08:00",17th Semis,Cancelled
bracket,19th Place
b,r,e,a,k
