Easterns Qualifier,College - Men ,22,2,2014
https://play.usaultimate.org/events/Easterns-Qualifier/schedule/Men/CollegeMen/
North Carolina-Wilmington,1
31,MICHAEL O'MALLEY
32,GREG KITCHIN
33,Torin Porter
34,Christopher Novielli
52,Ned Sieverts
60,Patrick King
79,Ryan Ayres
b,r,e,a,k
Michigan State,22
00,Tom O'Brien
01,Andrew Tang
02,Nate Boddy
03,Croix Jastrow
05,Braeden Emrick
06,Ian Stirton
07,BRAD PERRI
09,ERIC GAVIGLIO
12,Kyle Nussdorfer
14,Jay Andreani
19,Bjarne Laursen
22,William Lorick
26,Nathan Cottrell
31,James Guest
32,Daniel Egner
37,EITAN SPIVAK
39,BRIAN WYSS
42,Mohamadou Diatta
54,Sam Reenders
90,Michael Giles
91,GABRIEL VANHORSSEN
b,r,e,a,k
Indiana,14
0,Steven Eakle
3,Hank Havlin
5,Daniel Hamilton
6,Eric Johnson
06,MACKENZIE CONRAD
10,JONATHAN GANIYU
13,JAKE FRIEDLY
23,DOHHYUN KIM
24,ZACH MEKLER
28,Samuel Sohn
33,William Kasprzycki
40,Stanford Williams
42,Connor Regan
46,JAMES AUDRETSCH
51,Chris Ginet
58,NICHOLAS LEE
62,Ryan Opal
82,MARK YELLON
99,Dave Christopher
b,r,e,a,k
Penn State,20
0,Richard Devasagayaraj
02,Alexander Paulos
04,Adam Shrager
09,SAM DELL
11,David Sellers
15,Matt Duffy
17,Alex Liu
19,PAUL PHAM
20,Graham Walker
21,Codi Wood
22,Kevin Carbonnier
25,Marcus Thaw
32,Jacob Smith
33,Samuel May
44,KEIL TOSO
47,Matt Doughten
48,Benjamin Broser
51,Patrick Dougherty
71,TRISTAN BELLA
85,Richard Schaffer
86,Brett Wall
91,COLIN MCNULTY
99,MASON STRAWSER
b,r,e,a,k
Virginia Tech,21
00,Joe Novak
00,Chad Hoffpauir
00,Tim Slade
00,ERIK VAN PELT
00,JESSE MATTHEWS
00,WILLIAM WARD
00,JACOB EVERETT
00,Christopher Granito
00,Andrew Stutts
00,Brayton Maxson
00,Lucas Fenstermacher
00,Antoine Davis
