Metro East D-I College Men's Regionals,College - Men ,3,5,2014
https://play.usaultimate.org/events/Metro-East-D-I-College-Mens-Regionals/schedule/Men/CollegeMen/
Cornell,1
0,Devon Harvey
0,Winston Lin
0,MICHAEL YAN
0,MATTHEW SUOZZO
0,Savvas Petridis
0,Adam Richardson
0,Daniel Barg
0,NICHOLAS SUN
0,REUBEN AKABAS
0,Sidney Perkins
0,Samuel Heavenrich
0,MAKSIM GRINCHENKO
0,Bryce Harlan
0,Mark Greenan
0,Nathan Abrams
0,JAMES PAGE
0,Benjamin Zhu
0,Sean Wong
0,Paul Michael Custodio
0,Jacob Shellenberger-Bessmann
0,ADAM JAFFE
0,PEIXUAN GUO
0,Kevin Murphy
0,VICTOR CASTANO
0,Daniel Miron
4,Dennis Bienstock
5,MAX VAN DER WEERD
12,CAMERON BRUGGEMAN
15,Alexander Isik
17,Matthew Sagianis
19,Tim Gilboy
22,Richard Roberts
27,Diego Delgado
71,Jonathan Wong
74,Edward Tang
b,r,e,a,k
SUNY-Albany,11
0,Jeffrey Lasher
0,Harrison Spelman
0,VINCENT PETRUCCI
0,Colin Aldrich
0,William Rynn
0,JACOB BERGER
0,Bradley Clark
0,ADAM DUSENBERY
0,Sean Fagan
0,Dylan Bruhns
0,Jared Robinson
0,Eric Russo
0,William Thomas
0,PAUL TRAVERS
0,George Dalton
7,Isaiah Casiano
17,Kevin O'Brien
24,Steve Stavdal
36,Peter-John Ferrebee
81,MICHAEL WOODS
b,r,e,a,k
SUNY-Buffalo (B),14
0,JUSTIN BARLEBEN
0,JOSHUA GITTLEMAN
0,Mike Mayen
0,Dan Sauter
0,JOHN ONCHER
0,Jeffrey Woelfel
0,MATTHEW STOLLERMAN
0,CHRIS STARLING
0,Brendan Warner
0,Yu Hsuan (Chris) Lee
0,Jedidiah Kalmanofsky
0,Dan Bartoszek
12,WILLIAM EMMERT
21,Benjamin Arens
41,STEVEN KAHN
66,Cody Clement-Sanders
77,Max Hattem
99,DAN GARDNER
b,r,e,a,k
Rutgers,3
6,Jibran Mieser
7,ANDREW ZHANG
9,Jonathan Rosen
01,Che Stout
10,Shashank Alladi
11,Scott Xu
13,Alberto Alarcon
17,Curtis Wang
18,RICHARD WONG
19,Andrew Auyeung
20,KYLE POTKAY
21,Christian Weisenbacher
27,Kevin Wang
30,Justin Lamarche
32,ALEXANDER KONG
43,Josue Alorro
50,Drew Rasmussen
61,Matthew Weintraub
73,Brian Schumm
88,Sean Stratton
89,MICHAEL KICHURA
b,r,e,a,k
Yale,6
0,GREGORY MEYER
0,SAGAR RAJU
0,Sang Won Lee
0,JOSHUA JACOBS
0,DAVID KELLNER
0,MATT ANTOSZYK
0,ROBERT DAVIES
0,AVI ARFIN
0,VISHAAL PRABHU
0,Alexander Dobner
0,VINCENT KENNEDY
0,Patrick Kelleher
0,Tavis Leighton
0,Scott  Casleton
2,KEVIN SHAIN
5,Ulices Rodriguez
10,Jonathan Lao
13,Elton Zhou
18,JON DORSCH
55,Theodore Weisman
64,JEREMY LIU
69,Isaiah Lyons-Galante
91,Benjamin Scuton
b,r,e,a,k
Rochester,10
0,Gabriel Werman
3,Matt Bandes
7,LUKE KORTEPETER
01,HOLDEN DIAMOND
09,Matthew McCormick
10,Christopher Wong
11,JOSHUA KANTERMAN
13,ZACHARY LEJA
15,BLAKE SILBERBERG
15,THOMAS RZATKIEWICZ
19,David McFarland-Porter
22,ALEXANDER NEE
23,Nathan Freeman
25,JOSEPH RICCI
27,DENNIS CAMPBELL
28,ARI STOLER
29,EZRA PORTER
32,TOMMY MCANDREW
33,MICHAEL ECHTER
45,Christopher Dawson
52,Paul Szewczyk
64,Benjamin Soiefer
99,Sam VanNoy
99,Alec Girten
99,Cormac Assink
99,Sam Horenstein
99,Merrill Preska Steinberg
99,Hassler Thurston
99,SAMUEL DESANTIS
99,Benjamin Parkinson
99,Seth Schober
99,Chandler Woo
99,Jacob Margolis
b,r,e,a,k
Cornell (B),15
0,KYLE RUDGE
0,JOSEPH GOLDBERGER
0,Tristan Keil
0,Max Van Zile
0,Jesse Schloss
0,ALEXANDER AGNE
0,samuel katz
0,Benjamin Cohen
0,Bryan Warrington
0,Joseph Orselli
0,ELLIOTT CASPARIAN
0,Brendan Bloodnick
0,Greg Nostrand
0,CONRAD HAIN
0,Lee Blecher
0,Joshua Yeh
0,Yuchen Sun
0,Walker Grimshaw
0,Howard Weisz
0,Evan Barrientos
0,David Hargrove
0,Jacob Gaines
0,LEE CHANG
0,Kyle Darling
0,Curran Sinha
0,RYAN DOUMA
0,Kyle Easop
0,Philip Corriveau
0,WILLIAM PETTEE
0,Joseph Barron
1,Donald Quinones
3,Mikael Hammer
9,Ashwin Murthy
10,Samuel Hoffman
13,Daniel Vandam
21,AARON  BRODY
27,Mike Walker
32,KJ Edwards
b,r,e,a,k
SUNY-Buffalo,5
0,ETHAN GUTHMAN
0,Paul Sperr
0,Seth Wittlinger
0,Sian Ho Ng
0,Christopher Kizis
0,Sean Bowers
1,Robert Smith
2,Jeffrey Harvey
6,Miles Eckardt
7,Peter Barth
10,Sean Amundsen
13,CJ Colicchio
23,Jack Rossetti
43,HARBIR SINGH
45,Mark Falinski
92,Ian Dipace
95,Benson Chen
99,Jackson Donnelly
b,r,e,a,k
Queens-Kingston,4
0,Dylan Maxwell
0,Jordan McGregor
0,MATT WRIGHT
0,FELIX LASCELLES-PALYS
0,Enoch Chan
0,DYLAN CATTANACH
0,Cameron Nugent
0,Andrew Ma
0,RYAN WILSON
0,KYLE THOMPSON
0,BRIAN NIEPAGE
0,RYAN WALSH
0,ANDY (SUN JAE) KIM
0,JAKOB PUGI
0,David Wu
0,VICTOR LI
0,KENNETH DICK
0,Jared Westreich
0,BENJAMIN YEUNG
0,STEVEN JEFFERYS
0,Jason Duiella
0,Noah Liberman
0,Fraser Titley
0,RYAN EVIN
0,Graham Mount
0,Benjamin Blackford
0,DAVID MURRAY
0,MIHAJLO ANTONIJEVIC
3,Andrew Carroll
10,ANDREW HICKMAN
b,r,e,a,k
Princeton,9
0,Alex Fogg
1,Kiffa Conroy
2,JONATHAN CHEN
4,ROSS SMITH
5,DANIEL TEEHAN
10,STEPHEN WANG
11,Julian Helguero-Kelley
12,Sean Treacy
14,Peter Luo
15,ADAM SMYLES
16,Jae Lee
17,DEAN MAKINO
18,DAVID BECK
19,Zach Weed
21,Anthony Markowitz
27,Matthew Rogers
28,THOMAS KELLY
63,Jarred Mihalik
82,Malcolm Deck
88,MATTHEW MATL
99,Matine Yuksel
b,r,e,a,k
SUNY-Stony Brook,16
0,Seamus Maloney
0,Themi Koutavas
0,Dillon Boulton
0,Adam Arslanian
0,Thomas Heinlein
1,Justin Maldonado
8,Joseph (Joey) Mandarino
10,Sean McCoy
15,James Green
21,Christopher Cabot
24,Benjamin Sokolowsky
31,Collin Bartoldus
36,Patrick Liao
64,ROBERT BLAKE
b,r,e,a,k
s,t,a,g,e,s
pools,Pool Play
pool,Pool A
Cornell,Rowan,15,6,"05/03/2014, 09:00",Pool A
NYU,Hofstra,15,4,"05/03/2014, 09:00",Pool A
Cornell,Hofstra,15,2,"05/03/2014, 11:00",Pool A
NYU,Rowan,13,10,"05/03/2014, 11:00",Pool A
Cornell,NYU,15,5,"05/03/2014, 13:00",Pool A
Rowan,Hofstra,15,4,"05/03/2014, 13:00",Pool A
pool,Pool B
Connecticut,SUNY-Albany,15,14,"05/03/2014, 09:00",Pool B
Columbia,SUNY-Buffalo (B),15,4,"05/03/2014, 09:00",Pool B
Connecticut,SUNY-Buffalo (B),15,4,"05/03/2014, 11:00",Pool B
Columbia,SUNY-Albany,15,4,"05/03/2014, 11:00",Pool B
Connecticut,Columbia,14,11,"05/03/2014, 13:00",Pool B
SUNY-Albany,SUNY-Buffalo (B),13,12,"05/03/2014, 13:00",Pool B
pool,Pool C
Rutgers,Rochester,15,13,"05/03/2014, 09:00",Pool C
Yale,Cornell (B),15,4,"05/03/2014, 09:00",Pool C
Rutgers,Cornell (B),15,6,"05/03/2014, 11:00",Pool C
Yale,Rochester,15,10,"05/03/2014, 11:00",Pool C
Rutgers,Yale,15,4,"05/03/2014, 13:00",Pool C
Rochester,Cornell (B),15,4,"05/03/2014, 13:00",Pool C
pool,Pool D
Queens-Kingston,Princeton,14,15,"05/03/2014, 09:00",Pool D
SUNY-Buffalo,SUNY-Stony Brook,15,4,"05/03/2014, 09:00",Pool D
Queens-Kingston,SUNY-Stony Brook,15,4,"05/03/2014, 11:00",Pool D
SUNY-Buffalo,Princeton,15,7,"05/03/2014, 11:00",Pool D
Queens-Kingston,SUNY-Buffalo,13,10,"05/03/2014, 13:00",Pool D
Princeton,SUNY-Stony Brook,15,5,"05/03/2014, 13:00",Pool D
b,r,e,a,k
brackets,Bracket Play
bracket,1st Place Bracket
Cornell,Rutgers,11,12,"05/04/2014, 13:00",1st Place Finals
Cornell,SUNY-Buffalo,15,8,"05/04/2014, 11:00",1st Place Semis
Rutgers,Connecticut,15,9,"05/04/2014, 11:00",1st Place Semis
Cornell,Columbia,14,11,"05/04/2014, 09:00",1st Place Quarters
SUNY-Buffalo,SUNY-Albany,15,10,"05/04/2014, 09:00",1st Place Quarters
Rutgers,Queens-Kingston,15,7,"05/04/2014, 09:00",1st Place Quarters
Connecticut,NYU,10,9,"05/04/2014, 09:00",1st Place Quarters
Columbia,Rochester,15,8,"05/04/2014, 07:00",1st Place Prequarters
Yale,SUNY-Albany,12,14,"05/04/2014, 07:00",1st Place Prequarters
Rowan,Queens-Kingston,0,1,"05/04/2014, 07:00",1st Place Prequarters
Princeton,NYU,9,14,"05/04/2014, 07:00",1st Place Prequarters
bracket,3rd/4th Place
SUNY-Buffalo,Connecticut,1,0,"05/04/2014, 13:00",3rd/4th Place
bracket,5th/6th Place Bracket
SUNY-Albany,NYU,1,0,"05/04/2014, 11:00",5th/6th Place Finals
Columbia,SUNY-Albany,0,1,"05/04/2014, 09:00",5th/6th Place Semis
Queens-Kingston,NYU,0,1,"05/04/2014, 09:00",5th/6th Place Semis
bracket,7th/8th Place
Columbia,Queens-Kingston,1,0,"05/04/2020, 06:00",7th/8th Place
bracket,9th/10th Place Bracket
Rochester,Cornell (B),0,0,"05/04/2020, 06:00",9th/10th Place Finals
Rochester,SUNY-Stony Brook,15,6,"05/04/2020, 06:00",9th/10th Place Semis
SUNY-Buffalo (B),Cornell (B),8,15,"05/04/2020, 06:00",9th/10th Place Semis
Hofstra,Rochester,7,14,"05/04/2020, 06:00",9th/10th Place Quarters
SUNY-Stony Brook,Yale,1,0,"05/04/2020, 06:00",9th/10th Place Quarters
SUNY-Buffalo (B),Rowan,1,0,"05/04/2020, 06:00",9th/10th Place Quarters
Cornell (B),Princeton,1,0,"05/04/2020, 06:00",9th/10th Place Quarters
bracket,11th/12th Place
SUNY-Stony Brook,SUNY-Buffalo (B),0,1,"05/04/2020, 06:00",11th/12th Place
bracket,13th/14th Place Bracket
Hofstra,Yale,1,0,"05/04/2020, 06:00",13th/14th Place Semis
Rowan,Princeton,0,0,"05/04/2020, 06:00",13th/14th Place Semis
bracket,15th/16th Place
b,r,e,a,k
