D-I College Championships,College - Women ,23,5,2014
Mason,OH,2014-05-23,2014-05-26
https://play.usaultimate.org/events/USA-Ultimate-D-I-College-Championships/schedule/Women/CollegeWomen/
Ohio State,1
22,TASHA CAMERON
26,Paige Quinn
32,Danie Proby
71,JILLIAN OQUINN
77,Nicola Parker
81,Lillian Pham
92,MONICA WHITNEY-BROWN
b,r,e,a,k
Kansas,17
teamInfo,Betty Ultimate,"Lawrence, Kansas",https://bettyultimate.wordpress.com,https://www.facebook.com/pages/Betty-Ultimate/144061402213,https://twitter.com/bettyultimate
coaches,Loren Schieber,Jack Colicchio
00,Jordan Alonzo
02,Kate Eshelman
04,Kat Songer
08,Lilly Bakker
10,Christina Baker
11,Jordan Warren
12,Clare Frantz
14,Kelsey Akin
15,DUNG NGUYEN
16,TESS HOERLE
17,Caitlin Fitzgerald
19,Molly Welsh
20,Nadine Rowen
21,JORDAN KACZOR
22,Kailee Karr
23,Alexa Kaczor
24,Grace Roth
25,Miriam Delrahim
27,Megan Burns
31,Jennifer Corcoran
33,Annie Wangles
44,Claire Shanovich
45,Janie Reiter
47,ANDREA KELLY
b,r,e,a,k
Oregon,2
teamInfo,Fugue,"Eugene, Oregon",modules/common/pages.uoregon.edu/fugue/?,https://www.facebook.com/pages/Oregon-Fugue-Ultimate/480039102009173,https://twitter.com/OregonFugue
02,Jesse Shofner
03,LAETITIA GUILLET
04,LILY HERD
05,Gabrielle Aufderheide
06,Angela Tocchi
07,Alex Ode
08,Ashley Young
09,OLIVIA BARTRUFF
10,Sophie Darch
11,Bethany Kaylor
12,KASEY HARRIS
13,Amelia (Molly) Lanning
14,Sarafina Angstadt-Leto
15,ANDREA FONTENOT
16,Adrienne (Adie) Bovee
19,Lillian Weaver
20,Hope Zima
22,Rachel Hershey
25,Foley Galvin
27,Hayley Wahlroos
44,KAITLIN BRUNIK
b,r,e,a,k
Tufts,14
teamInfo,Elephant Women,"Medford, Massachusetts",http://sites.tufts.edu/tuftsewo/,,
02,SARA HANNEMAN
03,WINNIE ZHANG
07,Mia Greenwald
09,Jojo Emerson
10,Qxhna Titcomb
11,Michaela Fallon
12,Emily Eibl
15,Laura Fradin
16,HADLEY GREEN
18,Emily Shields
19,ALEXANDRA EARLE
21,Maeve O'Sullivan
22,JILLIAN GERKE
24,KATHRYN HOPKINS MCGILL
25,TAYLOR LENTZ
28,Rachel Kramer
42,Kei Thurber
44,HANNA BUECHI
80,Hannah Garfield
b,r,e,a,k
Colorado College,18
teamInfo,Lysistrata's Tools,"Colorado Springs, Colorado",,,
01,VIRGINIA  HILL
02,Christina Maruyama
03,NINA LUNDSTROM
04,MADISON ANDRES
05,Robin Fassett-Carman
06,Chloe Rowse
07,JESSI GARHART
08,RACHEL KATZOFF
12,Sarah Freeman
13,MOLLY SNELL
14,Jennifer Grossman
17,Patty Weicht
21,Elizabeth Alvin
22,JESSICA BADGELEY
27,Maggie Bailey
28,Monica Weindling
32,ALEXIE MILLIKIN
37,Rosa Baum
42,Lisi Lohre
64,Annie Brewster
81,Corey Baron
b,r,e,a,k
Western Washington,11
teamInfo,Chaos,"Bellingham, Washington",http://www.wwu.edu/wultimate/index.shtml,https://www.facebook.com/pages/WWU-Chaos-Ultimate/374278315920245,https://twitter.com/WWUchaos
coaches,Alyssa Weatherford
00,Anna Nakae
02,Jendy Edgerton
03,Alea Clymer
05,Tiffany Phan
06,JESSIE THORESON
07,Kaitlin Webster
08,Ariel  Edwards
09,Rosemary Widenor
10,Tessa Pettyjohn
11,Chehala Andriananjason
12,Callie Mah
18,Kylie Miyata
20,Mary Nozykowski
21,MICHELLE HANNEMAN
24,Allie Sanchez
27,Natalie Powell
33,Colleen Horntvedt
44,Abbie Abramovich
47,Hannah  Hyde
67,Brittany Vallene
82,Melina Edgerton
95,Maggie Graves
b,r,e,a,k
Stanford,7
teamInfo,Superfly),"Stanford, California",modules/common/ultimate.stanford.edu,,https://twitter.com/SuperflyUlti
coaches,Jenny Wang,Robin Davis,Jamie Nuwer
01,Jennie Lummis
02,Veronica Cruz
04,Claire Hawkins
05,Kellie Schueler
08,MAYA WHITE
09,Amanda Somvilay
10,Halsey Hoster
11,Rosemarie Sandino
12,HILARY VANCE
13,Stephanie Lim
14,Monisha White
15,Annee Rempel
16,CHRISTINA LI
17,Jennifer Schultz
24,Pooja Desai
27,Deanna Abrams
60,Caitlin Go
69,Taylor Martin
b,r,e,a,k
Central Florida,3
teamInfo,Central Florida,"Orlando, Florida",,,
00,Nicole Feldman
01,Erin Goding
03,Amy Walker
04,Jesse Baldwin
05,KALAH ST. PIERRE
06,Stephanie Williams
08,Shayna Brock
10,MORGAN FAYOCAVITZ
12,Mariel Hammond
13,Sara DeMonaco
15,EMMA DAVIDSEN
16,Carolina Gonzalez-Llanos
18,KATHERINE DAVIDSEN
20,LARISSA CURRAN
23,Sonya (Sunny) Harris
26,SHELBY SPENCE
27,FELICIA PEREZ
28,JODI DEARING
29,Alexa Wood
33,TERESA BADILLO
36,RACHEL ACUNA
45,JAYMI CURRAN
88,Emily Hayes
95,TIA PERSAUD
b,r,e,a,k
British Columbia,10
teamInfo,Thunderbirds,"Vancouver, British Columbia CA",,,
coaches,TASIA BALDING
02,Laurel Jay
04,Natalie Lim
06,BIRGIT ROGALLA
08,GERA STANCHEVA
11,Christine Liu
14,KIMBERLY HO
15,Amy Luo
17,Kathy (Kashi) Lee
19,MIRA DONALDSON
22,LEAH MULHOLLAND
25,Esther Au
27,TERYNN CHAN
31,Jessica Chung
32,Naomi Johnson
34,Zoe Suche
36,Emma  Madden-Krasnick
42,Devra Waldman
47,Victoria McCann
48,Lisa Wong
b,r,e,a,k
Carleton College,6
teamInfo,Syzygy,"Northfield, Minnesota",http://carletonsyzygy.weebly.com,,
03,LEAH CROMER
04,ARIELLE KOSHKIN
05,EMILY BUCKNER
07,Brianna Rick
08,Caroline Sheffield
10,LUCIA CHILDS-WALKER
11,Emma Nicosia
12,ELIZABETH BORDEN
13,ANNIKA ORD
14,Claire Rostov
15,Nami Sumida
21,Ahna Weeks
22,Megan Chavez
23,Emily Kampa
24,Hannah Tremblay
26,Clara Hazlett-Norman
27,Julia Snyder
34,Cameron Barton
35,Claire Thallon
45,Katie Ciaglo
63,Jamie Johnson
81,Sarah Robinson
b,r,e,a,k
Northeastern,15
teamInfo,Valkyries A,"Boston, Massachusetts",http://www.ultimate.neu.edu/men/newsite/blogs/index.php?blog=4,https://www.facebook.com/pages/Northeastern-Valkyries-Womens-Club-Ultimate-Frisbee/261962653833898?fref=ts,https://twitter.com/ValksUltimate
coaches,Jason Adams,COURTNEY MOORES
00,Hilda Doan
05,Lizzie Jones
06,JACLYN PHILLIPS
09,GRACE LIN
10,Shawn Zubin
11,ALEXANDRA ROSIN
12,Nicole Canning
13,Shelby Parton
14,Mei Bruist
16,Rachel Loo
20,Kathryn Flood
22,Melissa Ellis
31,Jenni Ladutko
33,Samantha Gray
37,Hannah Walter
38,Maggie Soto
43,TINA VIVIO
64,Tracey Lum
77,ALYSSA NEBORSKY
88,DELLA CHEN
b,r,e,a,k
Colorado,19
teamInfo,Kali,"Boulder, Colorado",http://www.kaliultimate.com/,https://www.facebook.com/ColoradoWomensUltimate,https://twitter.com/Kaliultimate
coaches,Jack (John) McShane
03,Amy Elizabeth Leder
04,Nhi Nguyen
05,Leilani Nelson
06,Jackie Turner
07,Karla Rosario
08,Jean Russell
09,Kirstin Johnson
13,Andrea Willson
14,SARAH SAFFARI
15,Dorothe Franklin
16,Megan Cousins
18,STEPHANIE FROST
19,Christina Mickle
20,Kenzie Weed
22,FRANCES OLIVER
42,KATHARINE HEIL
44,CLARA MOORE
65,Megan Ives
89,Rebecca Mitchell
99,Kelsey Bennett
b,r,e,a,k
Washington,4
teamInfo,Element,"Seattle, Washington",,,
coaches,Kyle Weisbrod,Moses Rifkin
02,Miranda Moore
03,Samantha Hing
04,ALYSIA LETOURNEAU
08,BARBARA HOOVER
09,MICHELLE HERMAN
10,Shira Stern
11,Nora Landri
12,Lucia Williams
13,Kit Carle
14,Nicole Cramer
16,Kate Wilburn
17,VICKIE SU
18,Allison Tjader
20,Grace Noah
21,Camille Canter
22,SARAH EDWARDS
25,Molly Boyd
36,GEORGIA SEYFRIED
37,BAILEY KILMER
47,Amanda Kostic
67,Kelley Hall
99,Noelle Takahashi
b,r,e,a,k
California-Santa Barbara,5
teamInfo,Burning Skirts,"Goleta, California",,,
coaches,Carolyn Finney,Tyler Bacon
05,Kieran Hughes
07,Rachel Johnston
08,WINNIE LAM
09,Talia Barth
11,Rukmini Basu
12,Angela Dong
14,Kristen Snyder
15,Audrey De Los Reyes
16,Joy Kang
17,KRISTIN ARAKAWA
19,Dana Patterson
20,KELLY GROSS
21,NOELLE  NEASON
26,Lisa Pitcaithley
27,Kelsey McClung
31,Samantha Kretchmar
33,LIZ HERNANDEZ
b,r,e,a,k
UCLA,16
teamInfo,BLU,"Los Angeles, California",,,
coaches,Alexander Korb,Caitlin Rugg
00,CELAENA POWDER
02,MEGAN BECK
03,Jamie Lam
04,Kristen Pojunis
06,Anjali Mehta
08,Alexa Cohen
12,Chip Chang
14,Julia Tang
16,Alyssa Worsham
17,Margot Stert
18,Camille Wilson
19,Ann Lee
20,Vivian Griffey
21,Ellen Smith
22,Kaitlin Swinnerton
23,BREANNA DIRKSE
25,Han Chen
31,Kathleen Lo
87,Kelcie Ralph
89,Tiana Rangchi
99,Maria Kazantsev
b,r,e,a,k
Whitman,9
teamInfo,Whitman Sweets,"Walla Walla, Washington",,,
02,Sarah Adams
04,Corinne Pingul
06,Jessica Shatkin
07,Arianne Lozano
08,Amanda Lu
09,Brenna Bailey
10,Julia Bladin
12,KATHERINE BENJAMIN
13,Lindsey Scott
16,Julia Gesenway
20,Annie Want
21,CELINE VALENTIN
22,Melanie Jochheim-Atkins
25,Alex Hardesty
26,JESSIE AUSTIN
28,Claire Revere
33,Margo Heffron
42,Elissa Picozzi
b,r,e,a,k
Cornell,20
teamInfo,Wild Roses,"Ithaca, New York",,,
00,Olivia Olson
04,Kimberly Brown
05,Lisa Levine
07,Helen Wedegaertner
09,KATY BLAND
10,MERYL KRUSKOPF
13,Christine Georgakakos
15,Elena Arnosky
18,Rebecca Baldwin
22,MARGARET ZIENTEK
23,Kelsey Cadagin
25,Sarah Zhao
26,POOJA DESAI
37,LIZ MINER
38,Sharon Chiu
56,DEIRDRE QUILLEN
74,Asia Peureux
79,Hannah Scrafford
b,r,e,a,k
s,t,a,g,e,s
pools,Pool Play
pool,Pool A
Victoria,Virginia,5,15,"05/23/2014, 10:30",Pool A,Final
Ohio State,Michigan,15,10,"05/23/2014, 10:30",Pool A,Final
Michigan,Virginia,14,13,"05/23/2014, 14:30",Pool A,Final
Victoria,Kansas,13,12,"05/23/2014, 14:30",Pool A,Final
Ohio State,Kansas,15,6,"05/23/2014, 16:30",Pool A,Final
Ohio State,Victoria,15,9,"05/24/2014, 08:30",Pool A,Final
Michigan,Kansas,15,6,"05/24/2014, 08:30",Pool A,Final
Michigan,Victoria,11,15,"05/24/2014, 12:30",Pool A,Final
Ohio State,Virginia,15,8,"05/24/2014, 12:30",Pool A,Final
Virginia,Kansas,15,13,"05/24/2014, 14:30",Pool A,Final
pool,Pool B
Oregon,Colorado College,15,10,"05/23/2014, 08:30",Pool B,Final
Stanford,Tufts,13,11,"05/23/2014, 08:30",Pool B,Final
Western Washington,Tufts,11,15,"05/23/2014, 12:30",Pool B,Final
Oregon,Stanford,15,13,"05/23/2014, 12:30",Pool B,Final
Western Washington,Colorado College,8,15,"05/23/2014, 16:30",Pool B,Final
Oregon,Western Washington,15,8,"05/24/2014, 10:30",Pool B,Final
Stanford,Colorado College,9,12,"05/24/2014, 10:30",Pool B,Final
Tufts,Colorado College,15,12,"05/24/2014, 12:30",Pool B,Final
Stanford,Western Washington,10,15,"05/24/2014, 14:30",Pool B,Final
Oregon,Tufts,15,5,"05/24/2014, 14:30",Pool B,Final
pool,Pool C
Carleton College,Northeastern,15,10,"05/23/2014, 10:30",Pool C,Final
British Columbia,Colorado,15,5,"05/23/2014, 10:30",Pool C,Final
British Columbia,Northeastern,13,14,"05/23/2014, 14:30",Pool C,Final
Central Florida,Carleton College,15,9,"05/23/2014, 14:30",Pool C,Final
Central Florida,Colorado,15,7,"05/23/2014, 16:30",Pool C,Final
Northeastern,Colorado,14,15,"05/24/2014, 08:30",Pool C,Final
Central Florida,British Columbia,15,10,"05/24/2014, 10:30",Pool C,Final
Carleton College,Colorado,15,9,"05/24/2014, 10:30",Pool C,Final
Carleton College,British Columbia,12,15,"05/24/2014, 14:30",Pool C,Final
Central Florida,Northeastern,13,15,"05/24/2014, 14:30",Pool C,Final
pool,Pool D
California-Santa Barbara,UCLA,15,9,"05/23/2014, 08:30",Pool D,Final
Whitman,Cornell,15,10,"05/23/2014, 08:30",Pool D,Final
Washington,Cornell,15,3,"05/23/2014, 12:30",Pool D,Final
Whitman,UCLA,11,15,"05/23/2014, 12:30",Pool D,Final
Washington,California-Santa Barbara,15,11,"05/23/2014, 16:30",Pool D,Final
Washington,Whitman,15,11,"05/24/2014, 08:30",Pool D,Final
UCLA,Cornell,14,11,"05/24/2014, 08:30",Pool D,Final
California-Santa Barbara,Cornell,15,5,"05/24/2014, 10:30",Pool D,Final
California-Santa Barbara,Whitman,15,4,"05/24/2014, 12:30",Pool D,Final
Washington,UCLA,14,10,"05/24/2014, 12:30",Pool D,Final
b,r,e,a,k
brackets,Championship Bracket
bracket,Championship Bracket
Ohio State,Oregon,15,11,"05/26/2014, 12:00",Finals,Final
Ohio State,Washington,15,9,"05/25/2014, 12:00",Semifinals,Final
Central Florida,Oregon,14,15,"05/25/2014, 14:30",Semifinals,Final
Carleton College,Ohio State,9,15,"05/25/2014, 08:30",Quarters,Final
British Columbia,Washington,13,15,"05/25/2014, 08:30",Quarters,Final
Michigan,Central Florida,7,15,"05/25/2014, 08:30",Quarters,Final
Virginia,Oregon,13,15,"05/25/2014, 08:30",Quarters,Final
Tufts,Carleton College,13,15,"05/24/2014, 17:00",Prequarters,Final
British Columbia,Colorado College,15,9,"05/24/2014, 17:00",Prequarters,Final
California-Santa Barbara,Michigan,14,15,"05/24/2014, 17:00",Prequarters,Final
Virginia,UCLA,15,9,"05/24/2014, 17:00",Prequarters,Final
b,r,e,a,k
brackets,Placement Brackets
bracket,Placement Game #1
Victoria,Cornell,15,13,"05/25/2014, 08:30",Placement Game #1,Final
bracket,Placement Game #2
Stanford,Northeastern,14,13,"05/24/2014, 17:00",Placement Game #2,Final
bracket,Placement Game #3
Whitman,Kansas,13,14,"05/24/2014, 17:00",Placement Game #3,Final
bracket,Placement Game #4
Colorado,Western Washington,13,11,"05/25/2014, 08:30",Placement Game #4,Final
b,r,e,a,k
