Motown Throwdown,Club - Mixed ,26,7,2014
https://play.usaultimate.org/events/Motown-Throwdown-2014/schedule/Mixed/Club-Mixed
Santa Maria,1
29,Mike Armstrong
30,Jessica Johnson
40,Amanda Wach
55,CHRISTOPHER PEROUTKA
69,DANIEL FIX
84,CAROLINE MILLER
b,r,e,a,k
Thoroughbred,5
2,Bryan Esmond
6,Kathleen Horton
7,Laura Reed
8,Kate Wilson
8,Patrick Austermann
13,Megan Epperson
16,Max Morgan
17,CEAD NARDIE-WARNER
18,Aaron Swaney
24,Chung Lee
28,Chase Johnson
33,Elizabeth Honigfort
42,Matt Francis
66,James McKenzie
79,Henry Samson
99,Spencer Hollenbach
b,r,e,a,k
The Abusement Park,4
0,Max Shepherd
3,DAVID HOFFMAN
6,Alison Lanski
02,Kasey Kenealy
05,Thom Kenealy
06,Christine Huffer
09,AMY BILEK
13,Brian Keefe
14,KELSEY TAYLOR
16,Ben Pries
17,John Goodwin
18,Sajed Dosenbach
19,ZACK WOODRUFF
20,RACHEL Barsella
21,Andrew Tang
23,KELLY TAYLOR
25,Jordan Lange
26,VICTORIA HADLOCK
27,Christopher Fuchs
32,MATTHEW ZENZ
33,DANIEL BUTLER
50,Kelsey Fink
85,DAN BOLIVAR
b,r,e,a,k
Food Fight,12
0,Mathew Peltier
0,WILLIAM TAUKE
0,MICHAEL SEROTA
0,Shannon Haupt
0,RICHARD WOODS
0,Maya Grumeretz
0,JOHN JAKIMIAK
0,DREW HOPPER
0,COLIN PRIEST
0,JANNA EMELANDER
0,GAVIN KONKEL
0,RICHARD VANAMBURG
0,Alissa Neff
0,AUDREY MICHNIAK
01,SARAH ALLARD
04,David Rhodes
06,Trevor  Wilson
11,Andrea Gutierrez
17,THEO CAMBERT
24,Charlotte Wilson
24,Patrick Abeli
50,Carl Aanestad
69,THOMAS AFTON
99,STEPHANIE  CARLSON
b,r,e,a,k
North Coast Disc Co,13
0,Bryan Javorek
0,ALEXANDER HUNT
0,IAN MCCURDY
0,REMY NIMAN
0,Brad Kotecki
0,William Baskin
0,Max Cormier
0,JOSHUA SEFCIK
0,Benjamin Cooper
0,Tesia Thomas
0,JACOB HOOKS
0,KEVIN VICK
0,Carter Wang
0,Michael Haney
0,Zoe Niman
0,Martin Oswald
0,Amanda Noonan
0,Danielle Swales
0,ANDREW AYLWARD
3,Brian Ward
10,Benjamin Poreh
22,Nathan Olszowy
23,Abbey Geib
23,Alexander Abbott
32,Christina DeAmicis
43,PAUL KLINGLER
b,r,e,a,k
s,t,a,g,e,s
pools,Pool Play
pool,Pool A
Santa Maria,Carlos Danger,13,2,"07/26/2014, 09:00",Pool A
ELevate,Cake,12,9,"07/26/2014, 09:00",Pool A
Santa Maria,ELevate,13,6,"07/26/2014, 10:40",Pool A
Boomtown Pandas,Cake,7,10,"07/26/2014, 10:40",Pool A
Cake,Carlos Danger,13,3,"07/26/2014, 12:20",Pool A
Boomtown Pandas,ELevate,9,7,"07/26/2014, 12:20",Pool A
Santa Maria,Cake,13,7,"07/26/2014, 14:00",Pool A
Boomtown Pandas,Carlos Danger,13,5,"07/26/2014, 14:00",Pool A
Santa Maria,Boomtown Pandas,13,4,"07/26/2014, 15:40",Pool A
ELevate,Carlos Danger,13,7,"07/26/2014, 15:40",Pool A
pool,Pool B
Omertà,Bob Marlin,13,6,"07/26/2014, 09:00",Pool B
Handlebar,Pizza Party!,13,6,"07/26/2014, 09:00",Pool B
Omertà,Handlebar,13,6,"07/26/2014, 10:40",Pool B
Cream City Crooks,Pizza Party!,13,4,"07/26/2014, 10:40",Pool B
Pizza Party!,Bob Marlin,7,13,"07/26/2014, 12:20",Pool B
Cream City Crooks,Handlebar,8,13,"07/26/2014, 12:20",Pool B
Omertà,Pizza Party!,13,6,"07/26/2014, 14:00",Pool B
Cream City Crooks,Bob Marlin,10,13,"07/26/2014, 14:00",Pool B
Omertà,Cream City Crooks,13,7,"07/26/2014, 15:40",Pool B
Handlebar,Bob Marlin,13,5,"07/26/2014, 15:40",Pool B
pool,Pool C
Mad Udderburn,Stack Cats,13,2,"07/26/2014, 09:00",Pool C
Liquid Hustle,Happy Days,13,2,"07/26/2014, 09:00",Pool C
Mad Udderburn,Liquid Hustle,13,8,"07/26/2014, 10:40",Pool C
Snow Day,Happy Days,13,4,"07/26/2014, 10:40",Pool C
Happy Days,Stack Cats,8,13,"07/26/2014, 12:20",Pool C
Snow Day,Liquid Hustle,13,8,"07/26/2014, 12:20",Pool C
Mad Udderburn,Happy Days,13,2,"07/26/2014, 14:00",Pool C
Snow Day,Stack Cats,13,2,"07/26/2014, 14:00",Pool C
Mad Udderburn,Snow Day,13,10,"07/26/2014, 15:40",Pool C
Liquid Hustle,Stack Cats,12,13,"07/26/2014, 15:40",Pool C
pool,Pool D
The Abusement Park,Food Fight,15,8,"07/26/2014, 10:20",Pool D
Thoroughbred,North Coast Disc Co,15,4,"07/26/2014, 10:20",Pool D
The Abusement Park,North Coast Disc Co,15,4,"07/26/2014, 12:20",Pool D
Thoroughbred,Food Fight,15,6,"07/26/2014, 12:20",Pool D
The Abusement Park,Thoroughbred,11,14,"07/26/2014, 14:20",Pool D
Food Fight,North Coast Disc Co,14,8,"07/26/2014, 14:20",Pool D
b,r,e,a,k
brackets,Championship Bracket
bracket,Championship Bracket
Santa Maria,Mad Udderburn,13,8,"07/27/2014, 13:30",Finals
Santa Maria,Thoroughbred,10,7,"07/27/2014, 11:50",Semis
Mad Udderburn,Omertà,13,7,"07/27/2014, 11:50",Semis
Santa Maria,Handlebar,10,9,"07/27/2014, 10:10",Quarters
Thoroughbred,Snow Day,13,9,"07/27/2014, 10:10",Quarters
Mad Udderburn,The Abusement Park,13,7,"07/27/2014, 10:10",Quarters
Omertà,ELevate,13,5,"07/27/2014, 10:10",Quarters
Food Fight,Handlebar,6,13,"07/27/2014, 08:30",Prequarters
The Abusement Park,Bob Marlin,13,8,"07/27/2014, 08:30",Prequarters
ELevate,Stack Cats,13,8,"07/27/2014, 08:30",Prequarters
Cake,Snow Day,7,13,"07/27/2014, 08:30",Prequarters
bracket,3rd place
Thoroughbred,Omertà,9,12,"07/27/2014, 01:30",3rd place
bracket,5th place
Handlebar,The Abusement Park,13,10,"07/27/2014, 13:30",5th place finals
Handlebar,Snow Day,13,8,"07/27/2014, 11:50",5th semis
The Abusement Park,ELevate,13,6,"07/27/2014, 11:50",5th semis
bracket,7th place
Snow Day,ELevate,13,5,"07/27/2014, 13:30",7th place
bracket,9th place
Food Fight,Stack Cats,10,11,"07/27/2014, 11:50",9th place finals
Food Fight,Cake,13,8,"07/27/2014, 10:10",9th semis
Bob Marlin,Stack Cats,12,13,"07/27/2014, 10:10",9th semis
bracket,11th place
Cake,Bob Marlin,13,12,"07/27/2014, 13:30",11th place
b,r,e,a,k
brackets,Consolation Bracket
bracket,13th place
Boomtown Pandas,Cream City Crooks,11,12,"07/27/2014, 13:30",13th finals
Boomtown Pandas,North Coast Disc Co,13,5,"07/27/2014, 11:50",13th semis
Liquid Hustle,Cream City Crooks,10,13,"07/27/2014, 11:50",13th semis
North Coast Disc Co,Carlos Danger,13,4,"07/27/2014, 10:10",13th quarters
Liquid Hustle,Pizza Party!,13,4,"07/27/2014, 10:10",13th quarters
Cream City Crooks,Happy Days,13,6,"07/27/2014, 10:10",13th quarters
bracket,15th place
North Coast Disc Co,Liquid Hustle,5,11,"07/27/2014, 13:30",15th place
bracket,17th place
Carlos Danger,Happy Days,6,11,"07/27/2014, 13:30",17th finals
Pizza Party!,Happy Days,8,12,"07/27/2014, 11:50",17th semis
b,r,e,a,k
