Queen City Tune-Up,College - Women ,8,2,2014
https://play.usaultimate.org/events/Queen-City-Tune-Up/schedule/Women/CollegeWomen/
Ohio State,1
2,SARAH HEYBORNE
6,Piper Curtis
7,Lillian Huang
00,MIKA NAKASHIGE
01,Patricia Neckowicz
03,Tracy d'Arbeloff
05,Qingyun Lu
08,Angela Zhu
09,Kathryn Peake
14,Emily Eisner
16,Gaby Javitt
18,Abigail Leibowitz
21,Eva Petzinger
42,Jaquille Jones
77, ELIZA HUNTINGTON
88,Rebecca Leong
b,r,e,a,k
Northwestern,16
3,JESSICA MUELLER
6,HOPE HELLMANN
9,ELLEN MCGRATH
02,Alexandra Hu
13,Phoebe Evans
16,Christina Sur
17,SOPHIA JELSMA
18,Jessica Hoffman
19,JEN WHITE
20,Alex Chudler
21,Jennifer Evans
23,STEPHANIE WANG
24,Elizabeth Mosier
26,Jenny Li
29,CASSANDRA WHITFORD
42,KATHY ZHANG
47,Anri Brod
48,SARAH SCHWARTZ
79,Mallorie Barber
94,SARAH MORTENSEN
b,r,e,a,k
Northeastern,10
00,Hilda Doan
05,Lizzie Jones
06,JACLYN PHILLIPS
09,GRACE LIN
10,Shawn Zubin
11,ALEXANDRA ROSIN
12,Nicole Canning
14,Mei Bruist
16,Rachel Loo
20,Kathryn Flood
22,Melissa Ellis
31,Jenni Ladutko
33,Samantha Gray
37,Hannah Walter
38,Maggie Soto
43,TINA VIVIO
64,Tracey Lum
88,DELLA CHEN
b,r,e,a,k
Carleton College,2
03,LEAH CROMER
04,ARIELLE KOSHKIN
05,EMILY BUCKNER
07,Brianna Rick
08,Caroline Sheffield
10,LUCIA CHILDS-WALKER
11,Emma Nicosia
12,ELIZABETH BORDEN
13,ANNIKA ORD
14,Claire Rostov
21,Ahna Weeks
23,Emily Kampa
24,Hannah Tremblay
27,Julia Snyder
34,Cameron Barton
45,Katie Ciaglo
63,Jamie Johnson
81,Sarah Robinson
b,r,e,a,k
Iowa State,7
6,Hailey Kromminga
02,Jean Colangelo
03,Kelly Hewitt
04,Brittnee Grimshaw
05,Liz Narmour
07,Jessica Mazzio
12,Linda Morton
16,CAMILLE NELSON
17,Janani Ragothaman
18,Sarah Leichty
19,Alyssa Maristela
20,Caitlin Durston
22,Kate Hunter
27,SAMANTHA SAUERBREI
32,MARTHA NELSON
33,KAYLA STAFFORD
48,Anna Underhill
71,CLAIRE Gunderson
84,Sara Stuedemann
97,Sarah Pesch
b,r,e,a,k
Maryland,18
01,Paige Nelson
02,Michaela Gramzinski
03,MEGHAN O'LONE
04,Anna Lieberman
05,Maria Kaplan
06,Maria Pascale
08,Hanna Finigan
09,Jessica O'Connor
12,Allyson McCarthy
15,Paige Cassell
17,HANNAH ZINNERT
18,Galen Reifsnider
19,Tori Queeney
22,SHANNON COOPER
23,Sarah Lord
25,KATHERINE (KATY) WELLINGTON
27,Jennifer Pridemore
33,Jackie Weiss
44,ROBIN GRABER
86,Charlotte Francoeur
b,r,e,a,k
North Carolina-Wilmington,15
0,Michelle Collopy
0,Paige Alford
0,KARLA BERRIOS
0,Sadie Gosselin
0,JANA HOLLIS
0,HANNAH SMITH
0,Cacey-Jane Bunch
0,Zoe Dorian
0,KRISTIN HOOPER
0,Lydia Manning
0,Paige Durham
0,HALLIE CRISTE
0,HEATHER SIMONS
4,Lyla Stanland
17,Madison Page
20,Emily Judd
22,SAGE  NARBONNE
55,Klara Calderon-Guthe
b,r,e,a,k
North Carolina,6
0,MARGARET HOPKINS
0,Lisa Couper
0,Julia Gallini
0,Megan Goldsby
0,KAYLEIGH THOMSON
0,Robin Lowe-Skillern
0,Bridget Walsh
0,RACHEL SIMPSON
0,HOPE THOMSON
0,MACKENZIE NEIGHBORS
0,AMELIA SCHIRMER
0,Shellie Cohen
0,Emma Johnson
0,Diana Lam
0,Megan Pera
0,ELENA WONG
0,CLAIRE PAULEY
0,ABIGAIL MARKLEW
10,Qing (Jenny) Wei
12,Joy Chen
13,Jocelyn Keung
17,Kendall Beadleson
23,Meg Duffy
b,r,e,a,k
Michigan,11
01,Alyssa Abbey
02,Maggie Price
03,Kati Turner
04,Becky Moore
11,Tracey Lo
12,NICOLE BILTZ
14,Theresa Zettner
17,Maya Grumeretz
20,Emma Boyd
21,Meeri Chang
22,Meghan Drews
24,Charlotte Wilson
27,Bailey Besser
34,Carolyn Vlach
37,Hannah Henkin
44,Grace Denney
72,Jacqueline Jarik
b,r,e,a,k
Tufts,3
02,SARA HANNEMAN
03,WINNIE ZHANG
07,Mia Greenwald
09,Jojo Emerson
10,Qxhna Titcomb
11,Michaela Fallon
12,Emily Eibl
15,Laura Fradin
16,HADLEY GREEN
18,Emily Shields
19,ALEXANDRA EARLE
21,Maeve O'Sullivan
22,JILLIAN GERKE
24,KATHRYN HOPKINS MCGILL
25,TAYLOR LENTZ
28,Rachel Kramer
42,Kei Thurber
44,HANNA BUECHI
80,Hannah Garfield
b,r,e,a,k
Pittsburgh,19
0,JACKIE BISSONETTE
0,SAGE LINCOLN
0,Jodi Lincoln
0,CAROLYN UBINGER
0,Vaughan Skinker
0,LINDSEY JONES
0,Carly Kleynen
0,Joanna Moore
0,MICHELLE BOTYRIUS
2,Megan MacGillivray
4,Marla Breitbarth
7,JESSICA  SHEEHAN
8,Linda Morse
9,Katelyn Stavinga
12,Sarah Russek
22,Caterina Pagano
23,Katie Cleveland
25,Rachel Olszewski
36,Carolyn Normile
56,Lauren Feder
b,r,e,a,k
Florida State,14
0,Lisa Fitton
9,Julia Gregory
03,Dana Bidot
04,ZOE STAPLETON
11,Natalie Burke
12,Larissa Ferreira
17,Megan Reeves
24,ALISON DAHL
28,KATE NOWLIN
32,Connie Barroso
33,KRISTIN LLOYD
37,RACHEL SELIG
38,Rebecca Holcombe
42,Alleigh Grover
46,Sarah Kibler
50,Gentry Maddox
52,SKYLAR SWORDS
71,CAROLINE DAVIS
76,LAUREN BRUNNER
81,KARI TOMARELLI
b,r,e,a,k
Central Florida,5
0,Shayna Brock
0,KALAH ST. PIERRE
0,Mariel Hammond
0,SHELBY SPENCE
0,Alexa Wood
0,Sara DeMonaco
0,JODI DEARING
0,CAITLIN CALHOUN
0,FELICIA PEREZ
0,Nicole Feldman
0,TIA PERSAUD
0,ZOE ROHR
0,KATHERINE DAVIDSEN
0,EMMA DAVIDSEN
0,TERESA BADILLO
0,KRISTINA CORNUET
0,ABAGAIL HART
0,JAYMI CURRAN
0,LARISSA CURRAN
0,Amy Walker
0,Sonya (Sunny) Harris
1,Erin Goding
6,Stephanie Williams
04,Jesse Baldwin
10,MORGAN FAYOCAVITZ
36,RACHEL ACUNA
88,Emily Hayes
b,r,e,a,k
Virginia,4
0,Audrey Isaac
0,MADELINE MCGOVERN
1,Emma Price
7,Janie Mockrish
8,Theresa Hackett
9,Laura Landis
10,Nada Tramonte
11,Kathryn Hannum
12,Emily Leivy
13,Alika Johnston
14,Amy Wedmore
18,Melanie Chastka
20,Anna Lockwood
22,Kiera Givens
23,Michele Derieux
24,Kelly Ross
27,Rebecca Meeker
31,Sarah Hansen
32,Rebecca Driver
34,IBBY HAN
36,Delia Goldin
36,Brogan Jones
44,Keila Strick
52,Tess Warner
54,Sarai Arbus
b,r,e,a,k
Kansas,13
02,Kate Eshelman
04,Kat Songer
10,Christina Baker
11,Jordan Warren
11,Jordan Alonzo
12,Clare Frantz
14,Kelsey Akin
15,DUNG NGUYEN
16,TESS HOERLE
17,Caitlin Fitzgerald
19,Molly Welsh
20,Nadine Rowen
21,JORDAN KACZOR
22,Kailee Karr
23,Alexa Kaczor
24,Grace Roth
27,Megan Burns
31,Jennifer Corcoran
44,Claire Shanovich
45,Janie Reiter
47,ANDREA KELLY
b,r,e,a,k
Georgia,12
0,Brianna Radl
3,OLIVIA KING
5,Gracie White
6,Jennifer Farrell
7,Lane Siedor
8,Hannah Leathers
9,MADISON WOCHELE
12,Erin Chun
13,LILY STOCKTON
14,LAUREN CASE
16,Molly Fisher
17,Katherine Jennings
18,SAHANA SRIVATSAN
19,ALYSSA SANDERS
21,MELISSA MERRILL
22,Suzannah Hope Blackshear
23,ALYSSA MULLIKIN
24,LAUREN MEREDITH
25,Katherine Hines
28,Erin Danzig
29,ALLY PIXLER
32,Michelle Yang
36,VALERIE RUTHERFORD
38,Julie Fulton
42,DEBORAH GAUL
99,HELEN CLARK
b,r,e,a,k
NYU,20
5,Jamie Ehrenfeld
03,Elizabeth (Cassie) Bradley
04,Serena Adlerstein
07,Kysa McSky
09,Julia Longinotti
11,Michelle Tao
13,Diana Gonzabay
15,HAYLEY MCCULLOUGH
18,Tiffani Teng
27,McKenna Shaw
28,Christina Ponce
33,Emmy Hammond
39,Sabina Sujak
73,Hannah Baek
88,Amelia Burger
94,Lucy Beni
b,r,e,a,k
s,t,a,g,e,s
pools,Pool Play
pool,Pool A
Ohio State,Dartmouth,13,6,"02/08/2014, 09:00",Pool A
James Madison,Northwestern,13,1,"02/08/2014, 09:00",Pool A
Ohio State,Colorado,13,4,"02/08/2014, 10:30",Pool A
Northwestern,Dartmouth,9,10,"02/08/2014, 10:30",Pool A
Colorado,Northwestern,13,5,"02/08/2014, 12:00",Pool A
James Madison,Dartmouth,11,10,"02/08/2014, 12:00",Pool A
Ohio State,Northwestern,13,3,"02/08/2014, 13:30",Pool A
James Madison,Colorado,4,13,"02/08/2014, 13:30",Pool A
Ohio State,James Madison,13,3,"02/08/2014, 15:00",Pool A
Colorado,Dartmouth,13,9,"02/08/2014, 15:00",Pool A
pool,Pool B
Carleton College,Maryland,12,8,"02/08/2014, 09:00",Pool B
Iowa State,North Carolina-Wilmington,13,11,"02/08/2014, 09:00",Pool B
Carleton College,Northeastern,9,12,"02/08/2014, 10:30",Pool B
North Carolina-Wilmington,Maryland,6,13,"02/08/2014, 10:30",Pool B
Northeastern,North Carolina-Wilmington,13,7,"02/08/2014, 12:00",Pool B
Iowa State,Maryland,11,7,"02/08/2014, 12:00",Pool B
Iowa State,Northeastern,6,13,"02/08/2014, 13:30",Pool B
Carleton College,North Carolina-Wilmington,12,4,"02/08/2014, 13:30",Pool B
Carleton College,Iowa State,13,12,"02/08/2014, 15:00",Pool B
Northeastern,Maryland,13,5,"02/08/2014, 15:00",Pool B
pool,Pool C
Tufts,Pittsburgh,13,8,"02/08/2014, 09:00",Pool C
North Carolina,Florida State,10,11,"02/08/2014, 09:00",Pool C
Tufts,Michigan,11,12,"02/08/2014, 10:30",Pool C
Florida State,Pittsburgh,5,9,"02/08/2014, 10:30",Pool C
Michigan,Florida State,9,4,"02/08/2014, 12:00",Pool C
North Carolina,Pittsburgh,12,6,"02/08/2014, 12:00",Pool C
North Carolina,Michigan,11,9,"02/08/2014, 13:30",Pool C
Tufts,Florida State,12,9,"02/08/2014, 13:30",Pool C
Tufts,North Carolina,9,11,"02/08/2014, 15:00",Pool C
Michigan,Pittsburgh,12,7,"02/08/2014, 15:00",Pool C
pool,Pool D
Virginia,NYU,13,1,"02/08/2014, 09:00",Pool D
Central Florida,Kansas,13,2,"02/08/2014, 09:00",Pool D
Virginia,Georgia,12,5,"02/08/2014, 10:30",Pool D
Kansas,NYU,13,3,"02/08/2014, 10:30",Pool D
Georgia,Kansas,6,13,"02/08/2014, 12:00",Pool D
Central Florida,NYU,13,2,"02/08/2014, 12:00",Pool D
Central Florida,Georgia,13,3,"02/08/2014, 13:30",Pool D
Virginia,Kansas,13,5,"02/08/2014, 13:30",Pool D
Virginia,Central Florida,9,11,"02/08/2014, 15:00",Pool D
Georgia,NYU,13,3,"02/08/2014, 15:00",Pool D
b,r,e,a,k
brackets,Brackets
bracket,Championship
Ohio State,Northeastern,15,4,"02/09/2014, 14:15",Champ Finals
Ohio State,Central Florida,10,8,"02/09/2014, 12:30",Champ Semis
Northeastern,Virginia,11,8,"02/09/2014, 12:30",Champ Semis
Carleton College,Kansas,11,12,"02/09/2014, 09:00",Champ Prequarters
Michigan,James Madison,14,9,"02/09/2014, 09:00",Champ Prequarters
Colorado,Tufts,12,15,"02/09/2014, 09:00",Champ Prequarters
Virginia,Iowa State,15,5,"02/09/2014, 09:00",Champ Prequarters
Ohio State,Kansas,14,4,"02/09/2014, 10:45",Champ Quarters
Central Florida,Michigan,11,7,"02/09/2014, 10:45",Champ Quarters
Northeastern,Tufts,12,10,"02/09/2014, 10:45",Champ Quarters
North Carolina,Virginia,11,12,"02/09/2014, 10:45",Champ Quarters
bracket,3rd Place
Virginia,Central Florida,5,15,"02/09/2014, 14:15",3rd Place
bracket,5th Place
Kansas,Michigan,9,13,"02/09/2014, 12:30",5th Place Semis
Tufts,North Carolina,12,10,"02/09/2014, 12:30",5th Place Semis
Michigan,Tufts,11,7,"02/09/2014, 14:15",5th Place Finals
bracket,7th Place
Kansas,North Carolina,3,11,"02/09/2014, 14:15",7th Place
bracket,9th Place
Carleton College,James Madison,10,5,"02/09/2014, 10:45",9th Place Semis
Colorado,Iowa State,13,9,"02/09/2014, 10:45",9th Place Semis
Carleton College,Colorado,10,13,"02/09/2014, 14:15",9th Place Finals
bracket,11th Place
James Madison,Iowa State,11,14,"02/09/2014, 14:15",11th Place
bracket,13th Place
Florida State,Maryland,11,4,"02/09/2014, 12:30",13th Place Finals
Georgia,Florida State,7,10,"02/09/2014, 09:00",13th Place Quarters
Dartmouth,North Carolina-Wilmington,15,8,"02/09/2014, 09:00",13th Place Quarters
Pittsburgh,NYU,15,2,"02/09/2014, 09:00",13th Place Quarters
Maryland,Northwestern,10,8,"02/09/2014, 09:00",13th Place Quarters
Florida State,Dartmouth,9,7,"02/09/2014, 10:45",13th Place Semis
Pittsburgh,Maryland,7,10,"02/09/2014, 10:45",13th Place Semis
bracket,15th Place
Dartmouth,Pittsburgh,10,4,"02/09/2014, 12:30",15th Place
bracket,17th Place
Georgia,North Carolina-Wilmington,8,13,"02/09/2014, 12:30",17th Place Semis
NYU,Northwestern,0,13,"02/09/2014, 12:30",17th Place Semis
North Carolina-Wilmington,Northwestern,2,15,"02/09/2014, 14:15",17th Place Finals
bracket,19th Place
Georgia,NYU,0,0,"02/09/2014, 14:15",19th Place
b,r,e,a,k
