Nor Cal Mixed Sectionals,Club - Mixed ,6,9,2014
Morgan Hills,CA,2014-09-06,2014-09-07
https://play.usaultimate.org/events/Nor-Cal-Mixed-Sectionals/schedule/Mixed/Club-Mixed
Groove,1
00,Emanuela Argilli
00,Chloe Carothers-Liske
00,Robin Anthony-Petersen
00,Melissa Slaughter
00,Amanda Khoo
00,Conor Bauman
00,ELIJAH FRENDBERG-MATES
00,Hannah Wells
00,Rocky Beach
00,Aaron Hom
00,Rafael Castro
00,Audrey Horn
00,Jasmine Der
00,Valerio Iani
00,Dylan Owens
00,Jasper Leto Niemetz
00,LAURA CINCOTTA
b,r,e,a,k
Blackbird,2
0,David Hoel
02,Eli Janin
03,Krista McDonald
04,Deanna Bjorkquist
06,Jessica Wilson
07,Rachel Holz
08,Hannah M Kreilkamp
09,Adam Farren
10,Jonathan (Tyler) Boyd-Meredith
11,Barrs Lang
12,Casey Ikeda
14,Mia Hagen
17,ANNE-FRANZISKA SINNER
21,ADAM SCOW
22,NICHOLAS SLOVAN
24,Daniel Daniel Gillick
26,KAREN KO
28,Sheeva Slovan
33,MONICA HEGER
34,PATRICK CORNEILLE
40,Mac Taylor
42,AARON CAULFIELD
50,Josh Wardle
51,Ryan Scribner
b,r,e,a,k
DR,8
0,Edward Lee
0,Danielle Gendron
1,Halleh Balch
2,Marianne Olson
3,Andrew Racle
5,Amy Chou
8,Danielle Murray
8,SARAH HONG
9,Joshua Rickert
11,WESLEY STRATTON
12,Kim Laflin
13,ALEC BERG
15,ASHLEIGH WARD
16,Charlie Hsu
22,Marisa Landicho
23,Kevin Wang
24,Joey Durkin
25,Jennifer Ames
26,Spencer Massey
28,Victoria Kaasa
28,Phillip Hailey
29,Maxwell Jacobs
34,Patrick Wong
79,Dan Dzoan
80,Scott Beamer
88,SHELBY DEMPSEY
89,Kimberly Long
b,r,e,a,k
Why So Serious?,15
0,Candace Adelberg
0,PETR SKODA
0,Laura Santos Ruiz
0,KEVIN SU
0,Xia Liu
0,Saul Howard
0,JEFFREY SHAM
0,LAURA SHIMMIN
0,PHIL STAHLFELD
0,Jacqueline Kay
0,JIE TANG
0,Meredith Silberstein
0,KATE KARDOSH
0,YI WEI
0,Hidemasa Kato
0,DORIS LIN
0,Weiyang Sun
0,BECKY LEICHTLING
0,LEONARD WEI
0,MO NGUYEN
0,Bryan Ng
55,Sean Sweetnam
b,r,e,a,k
Dinobots,9
0,HOLLY SCHWARZ
0,WILLIAM CHANEY
1,Stephanie Yee
4,Michael Dirda
7,Pradeep Nair
8,Peter Nachbaur
9,KIRSTEN CLEMMENSEN
10,Karen Inouye
11,Kristen LeFevre
13,Thomas Pineda
14,Matthew Christie
15,KATHERINE JOHNSON
17,Deborah Liu
19,Shadrick Small
21,MATHIAS GIBSON
23,Jason Schissel
24,SHANNON SPEAKER
26,Dave Kavulak
27,Jennifer Gross
28,Jill Coleman
32,Andy HUANG
42,JULIE CLEMMENSEN
49,KAREN BROHARD
69,Alice Barton
88,Jared Getzoff
99,Nicholas Davis
b,r,e,a,k
American Barbecue,3
0,NICK AUGER
0,Marlena Hartman-Filson
0,Kevin Manss
0,LYUDA GRIGORIEVA
0,Dan Parker
0,Brandon Kwock
0,RYAN HUNT
0,Mike Weil
0,Sarah Carnahan
0,ANGELA HUNT
0,Jake Coleman
0,Molica Anderson
0,Kyle McBard
0,Andrew Hooker
0,Caroline Loh
0,SAM KELLER
0,Alex Grande
0,James Sheridan
0,COLIN MORGAN-OUTHISACK
0,NICOLE WIRES
0,YVETTE FISHER
0,MEGAN MCCLAIN
0,JACK MOXON
0,Noel Arsenault
2,Damian Park
16,Jason Seidler
25,ALLISON FINK
b,r,e,a,k
Classy,5
0,KATRINA SCHWARTZ
0,Andrew Koerner
0,Lauren Sweeney
0,Joseph Bryan
0,Simone Stolzoff
0,ALLISON YOCHIM
0,Matthew Rubashkin
0,Ian Cutler
0,Angela Xiong
0,CRAIG RUBENS
0,Douglas Hannah
0,DANNY BROBERG
0,KATIE ROUSE
0,Eda Altiok
0,HENRY RIEKENA
0,Whitney Hannah
0,Nicolas Sayavedra
0,ELISABETH KORB
0,Josh Mitts
0,Tien-Tien Chan
0,Peter Bonanno
0,Dhwani Shah
0,SAMUEL HAYNOR
3,Jeffro Valeros
9,"Dana ""Zuul"" Nelson"
39,Dan Morris
43,MATT SCOTT
b,r,e,a,k
Greater Good,12
0,Chris Mahaffey
0,JOHNSON LEE
0,NGUYEN CAO
0,BRIAN ZIMMER
0,Lauren Carden
0,Shane Harris
0,Benjamin Iberle
0,KEVIN JOU
0,CHRISTINA TAKAHASHI
0,Konrad Chan
0,PIERRE CHIN-DICKEY
2,Scott Miller
18,Hannah Lerch
28,Judith Wang
b,r,e,a,k
Barbary Coast Dance Hall,14
0,Eli Menaker
0,BECKIE MENTEN
0,AMY LEMESSURIER
0,NICK COELIUS
0,Dani Carrillo
0,ISABEL KUNIHOLM
0,KATIE MYSZKA
0,GRAEME BRUNST
0,TOBY WAITE
0,HANNA BUECHI
0,FRANKLIN PEARSALL
0,Brian Kornobis
0,ELI LEVENSON-FALK
1,Alex Forman
3,DAVID WOLF
4,Gianna Tesler
25,TAYLOR LENTZ
32,MARK MISENER
55,Nikolas Radey
85,Jacqueline Lee
b,r,e,a,k
BW Ultimate,4
00,Halsey Hoster
00,Justin Hinman
02,Amy Chang
03,Matthew Natali
03,Elizabeth Dressler
04,Aubrey Davis
05,Radhika Bhargav
06,Laura Schott
07,Anna Liu
10,Jake Chang
11,Steven Guagliardo
12,KAREN NG
13,Chris Farina
15,Michael Lipman
17,Nicholas Raisch
18,Sayako Uchida
19,Beth Quisenberry
23,Nate Bosscher
25,Hugh King
27,Sunny Saini
28,Allan Jong
29,SOPHIE LEHMAN
30,Jeremy Kharrazi
34,Christine Gould
43,Bettina Chen
49,Robert Srinivasiah
99,Kyle Terriere
b,r,e,a,k
Capitol Punishment,6
0,Connor Levesque
0,DAVID SCHUSTER
0,ABIGAIL BATES
0,Veronica Chan
0,LINDSEY STRATTON
0,Joshua Bates
0,JENNIFER HSUEH
0,ARMAND DEBOSE
0,Warren Kinson
0,Neil Pallaver
0,Trevor Colton
0,LAUREN HUFTILL-Balzer
0,LANEY OLSON
0,JASON LUDDEN
0,Logan Greenwood
0,MAX KINKEAD
0,ANA PETERSON
0,Robert Mertz
0,Nicole McDaniel
0,ZACHARY DILLOW
8,JANELLE RILEY
9,Nina Vollmer
12,Trung Pham
15,Alison Griffith
23,Kristina Geddert
29,Chad Encinas
45,Michael Colton
b,r,e,a,k
Anarchy,11
0,Laura Franco
0,Chris Popeney
0,Mangpo Phothilimthana
0,Karin  Lin
0,Zoe Zaorski
0,Alex Brooks
0,Jacqueline Bonner
0,Noah Bernhardt
2,DEREK BOND
5,Caleb Tseng
6,Daniel Brooks
9,Tiffany Bucher
11,Natalie Bigman-Pimentel
12,Stefen Hillman
17,Chris Godek
82,Malcolm Deck
b,r,e,a,k
Feral Cows Sectionals 2014,13
0,KENDRA CONRAD
0,JUSTIN KO
0,Silja Paymer
0,Benjamin Renga
0,William Mark
0,Melanie Craxton
0,Satish Raj
0,Vincent Siao
0,LUKE MILNER
0,ANGELA KINGYENS
0,Alex Meyer
0,JANE ROSS
0,TRAVIS DUNCAN
0,LINDSEY SHINN
0,Samir Gupta
0,J Ishida
0,BREANNA STEIN
0,John Setzer
0,S. Alex Smith
0,JEFFREY COHEN
8,VICTOR KHOR
23,ADRIAN WOLFF
42,Steve Mahoney
65,Tom Nolan
b,r,e,a,k
s,t,a,g,e,s
pools,Pool Play
pool,Pool A
Groove,Mission Impossible,13,2,"09/06/2014, 09:00",Pool A,Final
Alchemy,Gummi Bears,13,6,"09/06/2014, 09:00",Pool A,Final
Groove,Gummi Bears,13,5,"09/06/2014, 10:30",Pool A,Final
Alchemy,Mission Impossible,9,7,"09/06/2014, 10:30",Pool A,Final
Groove,Alchemy,13,5,"09/06/2014, 13:30",Pool A,Final
Mission Impossible,Gummi Bears,11,13,"09/06/2014, 13:30",Pool A,Final
pool,Pool B
Blackbird,Dinobots,13,4,"09/06/2014, 09:00",Pool B,Final
DR,Why So Serious?,9,8,"09/06/2014, 09:00",Pool B,Final
Blackbird,Why So Serious?,13,4,"09/06/2014, 12:00",Pool B,Final
DR,Dinobots,10,9,"09/06/2014, 12:00",Pool B,Final
Blackbird,DR,13,4,"09/06/2014, 13:30",Pool B,Final
Dinobots,Why So Serious?,5,13,"09/06/2014, 13:30",Pool B,Final
pool,Pool C
American Barbecue,Greater Good,13,5,"09/06/2014, 10:30",Pool C,Final
Classy,Barbary Coast Dance Hall,13,3,"09/06/2014, 10:30",Pool C,Final
American Barbecue,Barbary Coast Dance Hall,13,1,"09/06/2014, 12:00",Pool C,Final
Classy,Greater Good,11,9,"09/06/2014, 12:00",Pool C,Final
American Barbecue,Classy,11,7,"09/06/2014, 13:30",Pool C,Final
Greater Good,Barbary Coast Dance Hall,13,5,"09/06/2014, 13:30",Pool C,Final
pool,Pool D
BW Ultimate,Anarchy,13,3,"09/06/2014, 10:30",Pool D,Final
Capitol Punishment,Feral Cows Sectionals 2014,13,5,"09/06/2014, 10:30",Pool D,Final
BW Ultimate,Feral Cows Sectionals 2014,13,5,"09/06/2014, 12:00",Pool D,Final
Capitol Punishment,Anarchy,12,6,"09/06/2014, 12:00",Pool D,Final
BW Ultimate,Capitol Punishment,13,5,"09/06/2014, 15:00",Pool D,Final
Anarchy,Feral Cows Sectionals 2014,10,8,"09/06/2014, 15:00",Pool D,Final
b,r,e,a,k
brackets,Bracket Play
bracket,1st Place
Groove,Blackbird,8,15,"09/07/2014, 11:00",1st Place,Final
Groove,BW Ultimate,15,9,"09/07/2014, 09:00",Semis,Final
American Barbecue,Blackbird,8,15,"09/07/2014, 09:00",Semis,Final
Groove,DR,12,6,"09/06/2014, 15:00",Quarters,Final
BW Ultimate,Classy,10,9,"09/06/2014, 16:30",Quarters,Final
American Barbecue,Capitol Punishment,11,5,"09/06/2014, 16:30",Quarters,Final
Blackbird,Alchemy,13,4,"09/06/2014, 15:00",Quarters,Final
bracket,2nd/3rd Place
Groove,BW Ultimate,15,9,"09/07/2014, 13:00",2nd Place,Final
American Barbecue,BW Ultimate,12,15,"09/07/2014, 11:00",2nd Place Qual,Final
bracket,4th/5th/6th Place
American Barbecue,Classy,13,10,"09/07/2014, 13:00",4th Place,Final
Alchemy,Classy,8,10,"09/07/2014, 11:00",4th Place Qual (Loser is 6th),Final
Alchemy,Capitol Punishment,11,8,"09/07/2014, 09:00",4th Place Entry,Final
Classy,DR,15,8,"09/07/2014, 09:00",4th Place Entry,Final
bracket,7th/8th Place
Capitol Punishment,Gummi Bears,13,12,"09/07/2014, 15:00",7th Place,Final
Capitol Punishment,Why So Serious?,15,8,"09/07/2014, 13:00",7th Semis,Final
Gummi Bears,DR,15,8,"09/07/2014, 13:00",7th Semis,Final
Why So Serious?,Feral Cows Sectionals 2014,14,9,"09/07/2014, 09:00",7th Pre-Semis,Final
Anarchy,Gummi Bears,2,15,"09/07/2014, 09:00",7th Pre-Semis,Final
Why So Serious?,Mission Impossible,13,6,"09/06/2014, 15:00",7th Quals,Final
Feral Cows Sectionals 2014,Greater Good,11,10,"09/06/2014, 16:30",7th Quals,Final
Anarchy,Barbary Coast Dance Hall,8,7,"09/06/2014, 16:30",7th Quals,Final
Dinobots,Gummi Bears,7,13,"09/06/2014, 15:00",7th Quals,Final
bracket,9th/10th Place
Why So Serious?,DR,0,1,"09/07/2014, 15:00",9th,Final
bracket,11th/12th Place
Greater Good,Dinobots,0,1,"09/07/2014, 15:00",11th,Final
Anarchy,Greater Good,10,12,"09/07/2014, 13:00",11th Semis,Final
Dinobots,Feral Cows Sectionals 2014,15,6,"09/07/2014, 13:00",11th Semis,Final
Mission Impossible,Greater Good,10,15,"09/07/2014, 11:00",11th Quals,Final
Barbary Coast Dance Hall,Dinobots,0,1,"09/07/2014, 11:00",11th Quals,Final
bracket,13th/14th Place
Anarchy,Feral Cows Sectionals 2014,10,6,"09/07/2014, 15:00",13th,Final
bracket,15th/16th Place
Mission Impossible,Barbary Coast Dance Hall,0,0,"09/07/2014, 15:00",15th,Final
b,r,e,a,k
