T-Town Throwdown X,College - Men ,25,1,2014
Tuscaloosa,AL,2014-01-25,2014-01-26
https://play.usaultimate.org/events/T-Town-Throwdown-X/schedule/Men/CollegeMen/
LSU,8
teamInfo,B.L.O.B.,"Cincinnati, Ohio",http://www.xavier.edu/clubsports/ultimate-frisbee/index.cfm,,https://twitter.com/BLOB_ultimate
01,ALEX TILFORD
03,Frank Ontaneda
05,Alexander Riahi
10,Hector Rivera
11,Michael Lopez
13,John Cassidy
15,Luke Byerly
17,Warren Jeff Ullery
18,BEN KELTY
21,DUSTIN ISOP
22,PATRICK MUELLER
23,Patrick Cannell
26,Jacob Lamier
27,DANIEL HEROLD
33,BRIAN FALLON
44,JACOB NOLL
55,NATE O'BRIEN
b,r,e,a,k
Southern Mississippi,12
teamInfo,Black Gold,"Hattiesburg, Mississippi",,,
00,CHRISTOPHER PARTIN
01,Garet lawson
02,Zachary Martin
03,Nathan Sims
04,LUCA ANTONI
07,David Walker
08,Kyle Stoner
10,Daniel Beck
11,Gary Lee
13,JOHN CHASTAIN
15,Dax Smith
17,Carter Kittrell
18,KEITH MEEK
20,Ignacio Landaverde 
25,Cody Shirley
27,KYLE GREEN
36,John Shows
57,JOSHUA BREGY
b,r,e,a,k
Vanderbilt,19
teamInfo,BrickHouse,"Nashville, Tennessee",,,
1,ROBERT LUX
2,Zach Berkowitz
3,MARTIN LU
11,Corey Lockridge
13,David Paisner
14,Mark Philipson
16,Andrew Reed
17,Benjamin Funkhouser
19,Daniel Scharf
21,James Leonard
32,MARK LIPNICKEY
42,MANUEL MARTINEZ
55,Evan Blum
66,Yifan Zhu
96,Vivek Shah
99,ERIC GEORGE
b,r,e,a,k
Harding,16
teamInfo,Harding Apocalypse,"Searcy, Arkansas",,,
coaches,Thomas Dockery
0,DAVIS PRUETT
0,Daniel Rigney
0,Luc Sutherland
0,JARED KNAPPE
0,Travis Duwe
0,Devin Benson
0,Dakota Brown
0,Greggory Downing
0,Marcus Gower
0,Ryan Whitman
0,GRAYSON ALLEN
0,Dakota Lamp
3,DAVID SIGLE
12,Robby Moore
14,Kendall Lowe
19,Zac Petty
21,Joshua Berry
24,Braxton Furlong
35,AARON WEBB
45,MICHAEL HARDISON
69,Colin English
99,Chris Dascalos
b,r,e,a,k
Mississippi State,15
teamInfo,Dark Horse,"Starkville, Mississippi",www.msuultimate.com,https://www.facebook.com/pages/MSU-Mens-Ultimate-Club/109943542442587?ref=hl,https://twitter.com/MSU_Ultimate
03,Mitchell Corder
06,Jason Case
11,Jon Thomas Williams
25,Jake Brouwer
27,RYAN CROSS
35,Steven Cummings
72,Jacob Griffin
b,r,e,a,k
Davidson,10
teamInfo,DUFF,"Davidson, North Carolina",bit.ly/19AHRuM,https://www.facebook.com/pages/Davidson-Ultimate/581610391871493,
0,GRAY YARBROUGH
0,Chris Peek
0,SAM CASTLE
0,Mikeie Reiland
0,BEN PFEFFER
0,Chris Johnson
0,Ben Whitfield
0,Robert Kuster
0,Henry Siebentritt
0,JOSHUA HENGEN
8,SAM GRAY
13,Graham Whittington
23,ROBERT STEVENS
27,Erol Cromwell
32,Kyle Taylor
b,r,e,a,k
Georgia State,11
teamInfo,Underground,"Atlanta, Georgia",gsuultimate.com,www.facebook.com/gsuultimate,https://twitter.com/GSUnderground
0,NEAL ANDREWS
0,Chunghyun Kim
0,Alex Waxman
0,Nigel Hagley
0,David Kandler
0,Kenneth Escoe
0,SEAN CLANCY
0,Kenta Kawaguchi
0,MIGUEL VELEZ
0,Christopher Walsh
0,JUSTIN JINKS
0,Karl Ekwurtzel
6,Aubrey Roberts
7,SEAN SOUTHARD
08,BRETT NELSON
09,Brian Boggs
11,Nate Washington
28,FRANK WILLIAMSON
42,Kyle Schade
44,NATHAN  HARDCASTLE
87,Trenton Spinks
b,r,e,a,k
Mississippi,13
teamInfo,Xanadu,"Oxford, Mississippi",,,
1,Joseph Bell
8,GREG BUTZ
9,CHRISTOPHER SAHLEN
11,Blake Sowers
11,Matthew Riddle
14,OMAR YASSIN
18,ANDREW JANSEN
26,CHRISTOPHER MOYER
33,Byron Head
34,Jason Teng
42,Robert Dalton Capps
b,r,e,a,k
Alabama-Birmingham,14
teamInfo,UAB,"Birmingham, Alabama",,,
0,Matthew Lathrop
0,DENNIS  STEVERSON JR.
0,Ramsey Archibald
0,Immanuel drew
02,Stevie Holloway
03,Robert James
04,Michael Burke
07,TAYLOR BROWN
08,Kevin Shrestha
11,Eryn Robbins
12,AUSTIN MURDAUGH
13,Ethan Downs
14,Darby Franklin
15,Jacob Hudson
16,Max Goldsmith
21,Richard Trieu
22,Alex Coffey
27,Jon Morgan
42,KERRY BISSET
43,Adam Hansen
44,DJ Leslie
89,Cory Potter
95,Akash Vakharia
b,r,e,a,k
Auburn (B),17
teamInfo,Auburn,"Auburn, Alabama",auburnultimate.wordpress.com,facebook.com/auburnultimate,@AuburnUltimate
0,Robert Alongi
10,PHILLIP LANGLAND
13,JONATHAN PHILIP
14,TED COOK
21,John Davidson
26,AARON FEICK
29,Chris Atchison
31,Andrew Dillon
33,Cody Kane
44,Hank Womble
83,Nathan Pass
94,Jimmie Taylor
95,Nathan Lovett
b,r,e,a,k
Alabama (B),18
teamInfo,Black Warrior Ultimate,"Tuscaloosa, Alabama",,,
0,Joseph Chapman
15,Karl Berry
16,George Uku
19,Thomas Yerby
22,Evan Dittmar
25,Malik Kaigler-Beasley
26,Patrick Gordon
30,Clayton Hightower
32,GEORGE PARKER
34,Erich Weaver
35,Doug  Heen
36,Karl Anderson
39,Evan Brannen
40,Daniel Smith
42,Dennis Dergunov
44,ETHAN HUDGINS
48,Henry McCabe
59,Timothy Ficken
74,Michael Kirkpatrick
75,James Stallworth
b,r,e,a,k
s,t,a,g,e,s
pools,Pool Play
pool,Power Pool A
Central Florida,Indiana,13,7,"01/25/2014, 08:30",Power Pool A,Final
Kennesaw State,LSU,10,11,"01/25/2014, 08:30",Power Pool A,Final
Central Florida,LSU,6,13,"01/25/2014, 10:15",Power Pool A,Final
Kennesaw State,Indiana,12,10,"01/25/2014, 10:15",Power Pool A,Final
Central Florida,Kennesaw State,13,4,"01/25/2014, 12:00",Power Pool A,Final
Indiana,LSU,13,10,"01/25/2014, 12:00",Power Pool A,Final
pool,Power Pool B
Auburn,Tennessee,13,9,"01/25/2014, 20:30",Power Pool B,Final
Arkansas,Alabama,12,11,"01/25/2014, 20:30",Power Pool B,Final
Auburn,Alabama,12,9,"01/25/2014, 22:15",Power Pool B,Final
Arkansas,Tennessee,11,9,"01/25/2014, 22:15",Power Pool B,Final
Auburn,Arkansas,10,11,"01/25/2014, 22:30",Power Pool B,Final
Tennessee,Alabama,11,7,"01/25/2014, 22:30",Power Pool B,Final
pool,Pool C
Xavier,Harding,12,4,"01/25/2014, 11:30",Pool C,Final
Mississippi State,Vanderbilt,6,9,"01/25/2014, 11:30",Pool C,Final
Southern Mississippi,Vanderbilt,13,6,"01/25/2014, 13:00",Pool C,Final
Xavier,Vanderbilt,11,4,"01/25/2014, 14:30",Pool C,Final
Harding,Vanderbilt,9,12,"01/25/2014, 14:30",Pool C,Final
Southern Mississippi,Mississippi State,9,8,"01/25/2014, 20:30",Pool C,Final
Xavier,Southern Mississippi,10,9,"01/25/2014, 20:30",Pool C,Final
Mississippi State,Harding,10,11,"01/25/2014, 21:30",Pool C,Final
Xavier,Mississippi State,11,8,"01/25/2014, 22:00",Pool C,Final
Southern Mississippi,Harding,13,12,"01/25/2014, 22:00",Pool C,Final
pool,Pool D
Georgia State,Auburn (B),11,2,"01/25/2014, 08:00",Pool D,Final
Mississippi,Alabama-Birmingham,10,8,"01/25/2014, 08:00",Pool D,Final
Davidson,Georgia State,11,6,"01/25/2014, 09:30",Pool D,Final
Alabama-Birmingham,Auburn (B),11,5,"01/25/2014, 09:30",Pool D,Final
Georgia State,Alabama-Birmingham,9,8,"01/25/2014, 10:00",Pool D,Final
Davidson,Alabama-Birmingham,11,1,"01/25/2014, 17:00",Pool D,Final
Mississippi,Auburn (B),7,5,"01/25/2014, 17:00",Pool D,Final
Alabama-Birmingham,Alabama (B),10,2,"01/25/2014, 20:30",Pool D,Final
Georgia State,Mississippi,8,7,"01/25/2014, 20:30",Pool D,Final
Davidson,Auburn (B),11,3,"01/25/2014, 20:30",Pool D,Final
Davidson,Mississippi,11,3,"01/25/2014, 21:30",Pool D,Final
Davidson,Alabama (B),11,1,"01/26/2014, 02:00",Pool D,Final
Auburn (B),Alabama (B),7,4,"01/26/2014, 03:30",Pool D,Final
Mississippi,Alabama (B),9,5,"01/26/2014, 03:30",Pool D,Final
Georgia State,Alabama (B),11,0,"01/26/2014, 05:00",Pool D,Final
b,r,e,a,k
brackets,Brackets
bracket,Championship
LSU,Central Florida,10,15,"01/26/2014, 14:00",Finals,Final
LSU,Auburn,15,10,"01/26/2014, 12:00",Semifinals,Final
Arkansas,Central Florida,11,15,"01/26/2014, 12:00",Semifinals,Final
Davidson,Alabama,12,15,"01/26/2014, 08:00",Pre-Quarters,Final
Southern Mississippi,Kennesaw State,9,15,"01/26/2014, 08:00",Pre-Quarters,Final
Xavier,Indiana,15,13,"01/26/2014, 08:00",Pre-Quarters,Final
Georgia State,Tennessee,13,14,"01/26/2014, 08:00",Pre-Quarters,Final
Alabama,LSU,8,15,"01/26/2014, 10:00",Quarterfinals,Final
Kennesaw State,Auburn,8,15,"01/26/2014, 10:00",Quarterfinals,Final
Xavier,Arkansas,5,15,"01/26/2014, 10:00",Quarterfinals,Final
Tennessee,Central Florida,4,15,"01/26/2014, 10:00",Quarterfinals,Final
bracket,3rd Place
Auburn,Arkansas,10,11,"01/26/2014, 14:00",Finals,Final
bracket,5th Place
Alabama,Xavier,8,13,"01/26/2014, 12:00",5th Semis,Final
Tennessee,Kennesaw State,0,1,"01/26/2014, 12:00",5th Semis,Final
Xavier,Kennesaw State,6,11,"01/26/2014, 14:00",5th Finals,Final
bracket,7th Place
Alabama,Tennessee,0,0,"01/26/2014, 14:00",Finals,Cancelled
bracket,9th Place
Davidson,Southern Mississippi,15,7,"01/26/2014, 10:00",9th Semis,Final
Georgia State,Indiana,8,15,"01/26/2014, 10:00",9th Semis,Final
Davidson,Indiana,8,15,"01/26/2014, 12:00",9th Finals,Final
bracket,13th Place
Vanderbilt,Harding,11,15,"01/26/2014, 12:00",Finals,Final
Vanderbilt,Alabama (B),14,7,"01/26/2014, 08:00",13th Quarters,Final
Alabama-Birmingham,Mississippi State,6,15,"01/26/2014, 08:00",13th Quarters,Final
Harding,Auburn (B),15,4,"01/26/2014, 08:00",13th Quarters,Final
Vanderbilt,Mississippi State,15,5,"01/26/2014, 10:00",13th Semis,Final
Mississippi,Harding,7,15,"01/26/2014, 10:00",13th Semis,Final
bracket,15th Place
Mississippi State,Mississippi,15,2,"01/26/2014, 12:00",Finals,Final
bracket,17th Place
Alabama (B),Alabama-Birmingham,5,11,"01/26/2014, 10:00",17th Semi,Final
Auburn (B),Mississippi,1,0,"01/26/2014, 10:00",17th Semi,Final
Alabama-Birmingham,Auburn (B),11,5,"01/26/2014, 12:00",Finals,Final
bracket,11th Place
Southern Mississippi,Georgia State,11,15,"01/26/2014, 12:00",11th Place,Final
b,r,e,a,k
clusters,Crossover Games
cluster,Crossover Games
LSU,Arkansas,9,13,"01/25/2014, 13:45",,Final
Central Florida,Auburn,13,6,"01/25/2014, 13:45",,Final
Indiana,Tennessee,11,4,"01/25/2014, 13:45",,Final
Kennesaw State,Alabama,11,7,"01/25/2014, 13:45",,Final
b,r,e,a,k
