Santa Barbara Invite,College - Men ,24,1,2014
Goleta,CA,2014-01-24,2014-01-26
https://play.usaultimate.org/events/Santa-Barbara-Invite/schedule/Men/CollegeMen/
Arizona State,9
teamInfo,Black Tide,"Goleta, California",,https://www.facebook.com/black.tide.50?fref=ts,https://twitter.com/UCSB_Ultimate
02,Jack Hamner
03,MIKE SALE
07,Reed McMullen
10,Sean Smith
11,SEAN O'MALLEY
12,Alexandre Kupelian
13,Grant Novins
14,William Turner
15,Alex Heinzen
17,Hunter Corbett
20,HAAKON ELLINGBOE
22,Adam Fischer
25,Brett Ploussard
26,BLAKE MCSUNAS
28,Kyle Rubin
31,Joseph Perry
42,Michael Airola
50,JAVIER VENEGAS
77,Daniel Charette
80,ADAM BOLENBAUGH
85,JOSHUA EUSTERBROCK
87,TAYLOR ROBERTS
b,r,e,a,k
Colorado State,15
teamInfo,Hibida,"Fort Collins, Colorado",,,
0,Easton Archibald
0,Trevor Corsello
0,Ry Weber
0,JENO SAGHI
0,NOAH BROWN
0,Dylan Orth
0,Thomas Theodorescu
0,LUKE DOYLE
0,TANNER GOSSACK
0,MARK SMITH
0,Mark Stratford
0,ALEXANDER EVANS
0,Noah Budd
0,DAVID NEUDER
0,ROY PENNY
0,STEPHEN GROSS
0,JERRY LANNING
0,connor hayward
0,MATTHEW MARRAPODE
0,MARSHALL RAWLEY
0,MITCHELL DOW
20,JORDAN TREPP
37,Scott Wheeler
55,OLIVER FEIND
b,r,e,a,k
California-Irvine,18
teamInfo,Nightlife,"Irvine, California",http://uciultimate.com/,https://www.facebook.com/groups/nightlifeultimate/,
0,KEEGAN CARROLL
0,JOHN LOUIE
0,KERRICK RYAN
0,TIMOTHY RYAN
0,Wayne Lu
6,TIMOTHY JOHNSON
12,ERIC SALAZAR
24,Zachary Gyugyi
36,Thomas Lord
55,MITCHEL MIKASA
b,r,e,a,k
Las Positas,6
teamInfo,Hawks,"Livermore, California",www.lpcultimate.com,,
0,Sonny Zaccaro
0,Nickolas  Winter
0,Seam Ham
0,Hidemasa Kato
0,Dan Dzoan
0,NICHOLAS RAFTER
0,Matthew May
0,Leighton Lim
0,Adam Meckel
0,Marcelo Sanchez-Heredia
1,Simon Higgins
7,Rio Chuck
27,Maximillian Renga
42,Alvin Feng
53,Jarrett Gentile
b,r,e,a,k
California,14
teamInfo,California-Berkeley,"Berkeley, California",www.ugmo.org,,
0,Andy Smith
3,WILLIAM CONNACHER
01,Handson Wu
02,Charles Cao
04,Andrew Lin
07,Zane Rankin
09,Tommy Adams
10,Kohji Sugioka
11,Michael Girard
12,Nick Sparago
13,Alireza Mirafzal
16,Christopher McKeag
17,Vincent Delgado
18,Sean Kilcullen
19,Eric Thewalt
20,Greg Salazar
21,Alexander Max
22,Andrew Ouyang
23,Patrick Lerchi
26,Ari van Schilfgaarde
35,Andrew Goldstein
37,LEE KITTAMS
42,Matt Jaffe
44,MACCALLUM ROBERTSON
49,TRENTON LOGAN
65,Erik Urban
69,Zun Zhang
b,r,e,a,k
Cincinnati,3
teamInfo,Cincinnati Ultimate,"Cincinnati, Ohio",,,https://twitter.com/GetBiscuits
0,SCOTT ALVERSON
01,Scott Schriner
02,Kieran Kelly
07,CHRIS KIESSLING
08,Timothy Hale
09,Brandon Cannell
10,IAN COLLINS
11,Christopher Misleh
14,Jacob Turner
15,Zachary Radcliff
16,Kyle Klingler
19,Joshua Fisher
21,Daniel Latz
22,ZACHARY WARNER
24,Alex Flamm
29,Grant  Dinan
31,Gregory Dinan
32,KEVIN STREET
33,Justin Latz
41,Adam Turner
98,Lucas Tarnowski
b,r,e,a,k
San Diego State,11
teamInfo,Federalis,"San Diego, California",,,
0,Max Monroe
0,ZEKE IVERS
0,Erik McCoy
0,NICHOLAS CROOKSTON
0,Beeman Rabut
0,Austin Clark
0,BENJAMIN LINDLEY
0,THOMAS BRADFORD
0,JEFF DIXON
0,STEVEN GREENE
0,Kyle Schmid
0,Josiah Reeve
0,Michael Baudino
0,EMERSON REVOLORIO
0,William Valle
3,Michael Tran
3,LUCAS DILLOW
5,ALEC ARATOW
7,KYLE GOOSSENS
32,Alec Benton
35,ELIJAH AUER
37,MATT MARNEY
38,ALAN GUARDADO
42,MARK SLADER
b,r,e,a,k
California-San Diego,4
teamInfo,Air Squids,"San Diego, California",,,
0,Kedar Pujara
0,Alistair McIntyre
0,Ben Kumler
0,Migal Manickaraj
0,Brendan Winnacott
0,Steven Chung
0,Glenn Allen
1,JAMES LAI
2,Nikhar ABBAS
4,Tyler Gates
5,Christopher Liu
6,Brent Lo
8,PAUL MORIMOTO
12,Aaron Lee
13,SEAN WILKINSON
21,CODY HEINER
22,Cody Kirkland
23,ZACHARY WU
28,JUSTIN LIN
40,JAMES LINSCHEID
44,Nicholas Smith
47,MARK BUNNELL
55,Trevor Purdy
84,Jesse Cohen
94,Zachary Spidell
97,Zachary Murez
99,Gavriel Gelbart
b,r,e,a,k
British Columbia,13
teamInfo,Thunderbirds,"Vancouver, British Columbia CA",http://ubcultimate.wordpress.com/,https://www.facebook.com/UBC.Ultimate,https://twitter.com/ubcmensultimate
0,ANTHONY PHAN
01,Kevin Wang
02,Alex Hackney
05,Allen Greer
07,Patrick Mavety
10,TYLER NG
11,KEVIN GREER
13,Kevin Chu
17,Bryce Jay
19,LIAM STOBART
21,NICHOLAS LIN
22,KEANE KNAPP
23,Fred Lam
24,Peter Yu
25,Eddison Ng
28,Bryan Young
29,ALEX JEW
38,SEAN MONTGOMERY
44,Sancho McCann
50,ALEXANDER FERGUSON
51,JOSHUA CUTLER
97,Edward Guo
b,r,e,a,k
California-Santa Cruz,12
teamInfo,Slugs,"Santa Cruz, California",,,
0,Adrian Unkeles
0,Loukas Stelyn
0,NICK FOX
2,GABRIEL TAYLOR
3,Nicholas Agler
4,BOGART LEVESQUE
5,DANIEL KIPNES
8,AARON KIM
9,Brett Petersen
10,Lior Givol
12,Zachary Kawagoe
13,Maxwell Friedmann
14,Dylan Lederle-Ensign
15,Elijah Newbrun-Mintz
16,Matthew Gamarra
17,Zachary Shamroukh
18,Gregory Cohen
20,SETH EISENBERG
22,DANNY ANGEL
24,JUSTIN BOALS
29,Benjamin Renga
33,Joseph Frelka
37,SAMMY ASTRACHAN
42,Patrick Denney
51,Joseph Tillson
81,Evan Cusack
b,r,e,a,k
Stanford,5
teamInfo,Stanford Bloodthirsty,"Stanford, California",smut.stanford.edu,,https://twitter.com/stanfordblood
01,Jamie Nakamura
03,Cody Mills
04,AXEL PALMSTROM
05,Bryan Cheng
06,BRENDAN FREUND
07,DAVID NEWCOMB
08,KEVIN DADE
09,Keaton Nager
11,JORDAN WILLIAMS
13,JOHN KADAVY
15,Michael Lipman
16,TREVOR HOWARTH
17,ROBERT JACKSON
19,GREG HEON
21,Joshuah Kapilivsky
22,ANDREW BLEICH
23,Xavier Jacque Mignot
25,Sam Kunz
27,SAMUEL SCHORR
32,Jordan Marcy
42,KEVIN SAHLIN
44,KELLEN ASERCION
46,Cyrus Ready-Campbell
71,NOLAN WALSH
73,Elliott Chartock
74,Alvin Kim
75,PETER MARACCINI
b,r,e,a,k
s,t,a,g,e,s
pools,Pool Play
pool,Pool A
California-Davis,Cal Poly-SLO,13,7,"01/25/2014, 08:00",Pool A,Final
Tulane,UCLA,13,12,"01/25/2014, 08:00",Pool A,Final
California-Davis,Arizona State,8,13,"01/25/2014, 09:45",Pool A,Final
UCLA,Cal Poly-SLO,13,10,"01/25/2014, 09:45",Pool A,Final
Arizona State,UCLA,13,3,"01/25/2014, 11:30",Pool A,Final
Tulane,Cal Poly-SLO,13,11,"01/25/2014, 11:30",Pool A,Final
California-Davis,UCLA,13,12,"01/25/2014, 13:15",Pool A,Final
Tulane,Arizona State,8,13,"01/25/2014, 13:15",Pool A,Final
California-Davis,Tulane,13,14,"01/25/2014, 15:00",Pool A,Final
Arizona State,Cal Poly-SLO,13,7,"01/25/2014, 15:00",Pool A,Final
pool,Pool B
Arizona,California-Irvine,13,4,"01/25/2014, 08:00",Pool B,Final
Washington,Colorado State,13,6,"01/25/2014, 08:00",Pool B,Final
Colorado State,California-Irvine,13,6,"01/25/2014, 09:45",Pool B,Final
Arizona,Washington,9,10,"01/25/2014, 09:45",Pool B,Final
California-Santa Barbara,Colorado State,13,6,"01/25/2014, 11:30",Pool B,Final
Washington,California-Irvine,13,9,"01/25/2014, 11:30",Pool B,Final
Arizona,Colorado State,13,6,"01/25/2014, 13:15",Pool B,Final
Washington,California-Santa Barbara,11,13,"01/25/2014, 13:15",Pool B,Final
California-Santa Barbara,California-Irvine,13,8,"01/25/2014, 15:00",Pool B,Final
Arizona,California-Santa Barbara,13,9,"01/25/2014, 15:00",Pool B,Final
pool,Pool C
Cincinnati,San Diego State,13,10,"01/25/2014, 08:00",Pool C,Final
Las Positas,California,13,11,"01/25/2014, 08:00",Pool C,Final
Cincinnati,California,12,14,"01/25/2014, 09:45",Pool C,Final
Cincinnati,Las Positas,14,15,"01/25/2014, 11:30",Pool C,Final
San Diego State,California,11,13,"01/25/2014, 11:30",Pool C,Final
Las Positas,San Diego State,12,14,"01/25/2014, 13:15",Pool C,Final
pool,Pool D
California-Santa Cruz,British Columbia,8,13,"01/25/2014, 08:00",Pool D,Final
California-San Diego,British Columbia,13,8,"01/25/2014, 09:45",Pool D,Final
Stanford,California-Santa Cruz,7,13,"01/25/2014, 09:45",Pool D,Final
California-San Diego,Stanford,13,9,"01/25/2014, 11:30",Pool D,Final
California-San Diego,California-Santa Cruz,13,9,"01/25/2014, 13:15",Pool D,Final
Stanford,British Columbia,10,13,"01/25/2014, 13:15",Pool D,Final
b,r,e,a,k
brackets,Brackets
bracket,Championship
California-San Diego,British Columbia,13,11,"01/26/2014, 13:15",Champ Finals,Final
Arizona State,California-San Diego,12,13,"01/26/2014, 11:30",Champ Semis,Final
Arizona,British Columbia,4,13,"01/26/2014, 11:30",Champ Semis,Final
Las Positas,California-Santa Barbara,13,11,"01/26/2014, 08:00",Champ Prequarters,Final
Washington,San Diego State,13,9,"01/26/2014, 08:00",Champ Prequarters,Final
California,California-Davis,14,12,"01/26/2014, 08:00",Champ Prequarters,Final
Tulane,Cincinnati,10,11,"01/26/2014, 08:00",Champ Prequarters,Final
Arizona State,Las Positas,13,8,"01/26/2014, 09:45",Champ Quarters,Final
California-San Diego,Washington,13,8,"01/26/2014, 09:45",Champ Quarters,Final
Arizona,California,13,10,"01/26/2014, 09:45",Champ Quarters,Final
British Columbia,Cincinnati,13,9,"01/26/2014, 09:45",Champ Quarters,Final
bracket,3rd Place
Arizona State,Arizona,13,11,"01/26/2014, 13:15",3rd Place,Final
bracket,5th Place
Las Positas,Washington,14,15,"01/26/2014, 11:30",5th Place Semis,Final
California,Cincinnati,11,12,"01/26/2014, 11:30",5th Place Semis,Final
Washington,Cincinnati,12,9,"01/26/2014, 13:15",5th Place Finals,Final
bracket,7th Place
Las Positas,California,13,12,"01/26/2014, 13:15",7th Place,Final
bracket,9th Place
California-Santa Barbara,San Diego State,11,12,"01/26/2014, 11:30",9th Place Semis,Final
California-Davis,Tulane,13,10,"01/26/2014, 11:30",9th Place Semis,Final
San Diego State,California-Davis,10,13,"01/26/2014, 13:15",9th Place Finals,Final
bracket,11th Place
California-Santa Barbara,Tulane,14,12,"01/26/2014, 13:15",11th Place,Final
bracket,13th Place
California-Santa Cruz,UCLA,7,13,"01/26/2014, 11:30",13th Place Finals,Final
Cal Poly-SLO,Colorado State,13,8,"01/26/2014, 08:00",13th Place Quarters,Final
California-Irvine,Stanford,5,13,"01/26/2014, 08:00",13th Place Quarters,Final
California-Santa Cruz,Cal Poly-SLO,13,11,"01/26/2014, 09:45",13th Place Semis,Final
UCLA,Stanford,11,10,"01/26/2014, 09:45",13th Place Semis,Final
bracket,15th Place
Cal Poly-SLO,Stanford,7,13,"01/26/2014, 13:15",15th Place,Final
bracket,17th Place
Colorado State,California-Irvine,13,11,"01/26/2014, 09:45",17th Place,Final
b,r,e,a,k
clusters,Crossover
cluster,Crossover
Las Positas,British Columbia,13,14,"01/25/2014, 15:00",,Final
Cincinnati,Stanford,13,8,"01/25/2014, 15:00",,Final
California-San Diego,California,13,10,"01/25/2014, 15:00",,Final
California-Santa Cruz,San Diego State,13,14,"01/25/2014, 15:00",,Final
b,r,e,a,k
