Heavyweights,Club - Mixed ,23,8,2014
Rockford,IL,2014-08-23,2014-08-24
https://play.usaultimate.org/events/Heavyweights/schedule/Mixed/Club-Mixed
Des Moines Metro,4
17,CEAD NARDIE-WARNER
18,Aaron Swaney
19,Cameron Sisler
22,Ryan Meinkoth
23,Laura Halfmann-Morris
24,Chung Lee
28,Chase Johnson
33,Elizabeth Honigfort
42,Matt Francis
66,James McKenzie
99,Spencer Hollenbach
b,r,e,a,k
The Abusement Park,23
0,Danica Keefe
0,Max Shepherd
6,Alison Lanski
02,Kasey Kenealy
03,DAVID HOFFMAN
05,Thom Kenealy
06,Christine Huffer
09,AMY BILEK
13,Brian Keefe
14,KELSEY TAYLOR
16,Tom Carter
16,Ben Pries
17,John Goodwin
18,Sajed Dosenbach
19,ZACK WOODRUFF
20,RACHEL Barsella
21,Andrew Tang
23,KELLY TAYLOR
25,Jordan Lange
26,VICTORIA HADLOCK
27,Christopher Fuchs
32,MATTHEW ZENZ
33,DANIEL BUTLER
50,Kelsey Fink
85,DAN BOLIVAR
b,r,e,a,k
ELevate,26
0,Lisa Paluszkiewicz
0,ZARIN STONE
4,Matthew Nickels
5,Ryan Dudgeon
8,Hannah Nickels
9,Jenna Peterson
11,Jennifer Song
12,Pedrom Rejai
13,ANNA SMYLIE
14,Matt Finley
16,Andrew Gubernick
17,Dylan Zeigler
18,DAVID SCHNAARS
19,KEVIN GOETSCH
22,Molly Ruffner
24,REBECCA LEDER
25,Sean Mills
30,Austin Power
31,Alexandra Ulp
32,Sandra Helquist
36,Talia Fishman-Strait
42,Ryan Albright
61,Jennifer Corcoran
66,Taylor Dall
71,Matt Gubernick
77,Amelia Lentz
91,Robert Geer
b,r,e,a,k
Snow Day,22
0,Joseph Sheets
0,Elliot Putman
1,Michael Mansfield
3,CONRAD BUDZYNSKI
9,Lindsey Kappen
02,Evan Winer
10,Sarah Dikeman
12,Holly Russell
14,Jenna Ray
15,Kimberly Sabo
16,KEVIN TARCZON
17,Logan Bollaert
17,Connor Lukas
18,Eric Kas
20,Zach Jawahir
22,ANDREW WADAGA
23,Tamara Kas
25,Justin Browne
31,MARISSA Korodan
48,Kaye Eshelman
98,Dan Donovan
b,r,e,a,k
RUA,11
0,William Axtell
0,DANIEL PERL
0,JOSH ANDERSON
0,ASHLEY PERL
0,DANIEL CAMPBELL
0,Alyssa Shanahan
0,Karl Doege
0,Olivia Harrington
0,Kaplan Maurer
1,Heather Ayers
3,KARA DICKEMANN
6,JACOB PERRY
7,Andrewa Ritchie
9,Victoria Lyda
11,Matt Jackson
12,APRIL JOHNSON
15,Abe Gambert
17,Nina Horne
21,ANDY PRIETO
31,Justin Adams
37,Jody Ayers
50,Sebastian Duffell
57,Andrew Dunn
69,Clayton Adams
b,r,e,a,k
Stack Cats,27
0,Rachel Hunt
0,Matt Tansley
0,Bethany Blackwood
0,ALYSSA DICOSOLA
0,Luke Joyner
0,Anthony Oplawski
0,ANDREW MALONE
0,Saul Lipton
0,BETSY MERBITZ
0,Krystle Ocampo
0,Halley McLean
3,David Lindsey
6,Vincent Curkov
7,Michael Hyland
7,Heather Kita
9,BOB WEDSTER
12,Sydney Olund
12,Matthew Bonges
17,MICHAEL NAGEL
20,Matt Afryl
24,Alex Kim
42,Benton Fletcher
71,CATIE NEWHOUSE
b,r,e,a,k
Prion,21
0,Ariel Choi
0,Thyra Sandstrom
1,MELISSA MATHEYS
2,Allycia Gariepy
4,Candace Brahm
02,Jeremy Goodsitt
03,Daniel McDonald
05,Angelo Ramos
09,Betsy Basch
12,JASON YUE
13,Noah Bindman
14,Samantha Bindman
16,CHRISTOPHER MELLON
17,Mikayla Yoder
18,Alexis Dettmer
19,Michael Mitchaner
21,ANDREW WEINER
22,JEFFREY ZHU
23,Alex Castillo
26,Erik Huemiller
27,CHRISTOPHER HIDAKA
31,Christopher Drew
36,Bianca Delgado
57,Jonathan Alton
72,Zaray Buenrostro
b,r,e,a,k
Identity Crisis,12
0,Ryan Opgenorth
01,Jarrod Hockett
02,Ivy Byun
03,Young Byun
04,Peter Doyle
05,Jonathan Daugherty
06,TYLER WACKER
07,ELLIE SENO
08,Jonathan Higgins
09,Samantha Gillen
11,Rob Doyle
12,Frank Macon
13,Senna Nilsson
14,MORGAN EPPERSON
17,Darren Phillips
23,CALEB GRACE
24,Jenna Bigbie
27,Daniel Richards
31,AMANDA NORTH
45,Patrick (Ted) Barnett
53,JANE LUCAS
77,Keya Davani
99,Paul Utesch
b,r,e,a,k
Troy's Bucket,28
0,RICHARD REID
0,Trevor Burnham
0,Ethan White
0,Jessie White
0,Joseph Seastrom
0,Dustin Tierney
0,Chad Bowers
0,Ashley Martin
7,Michael Faaborg
8,Kent Mastroianni
10,MICHAEL BLACKWELL
15,SHELBY ADAMS
21,CHRISTINA SWATERS
27,JOHNATHON STOKES
86,Amanda Johnson
b,r,e,a,k
Handlebar,13
0,Joseph Besser
0,Benjamin Murphy
0,Brian Syverud
0,Maggie Price
0,Bailey Besser
0,Grace Tummel
0,AMY CHIANG
0,Luke Denison
0,Anna Kilbourn
0,GARY GRANT
0,RYAN MARIOUW
0,SETH STEPHENS
0,EVAN PRIEST
0,Alyssa Abbey
0,ADAM TAYLOR
0,Austin Engel
3,Bryan Bush
11,Tracey Lo
13,Ryan Donnelly
16,Mitch Herz
31,Scott Hetu
41,Chelsea Grindle
74,Ariane Donnelly
b,r,e,a,k
Boomtown Pandas,20
01,RICHARD PHANNENSTILL
02,Rebecca Roden
05,Ryan Pakula
07,Benjamin Hsu
08,Adam Ruffner
09,ASHLEY SATTERLEE
10,Kristen Brenner
11,JEFF POSKIN
12,Jon Fok
19,Sarah Edlund
21,John Schaefer
23,Debra Minahan
24,Matt Coogan
25,JENNIFER DAVIDSON
28,Emily Orner
34,Elise Garton
36,Tristan McKittrick
43,Toby Wex
44,ALEXANDRIA HALL
66,Laura Hsu
74,Daniel Rubenstein
84,Vincent Hsu
88,KARL BRENNER
94,Todd Henderson
96,John Bryan
98,Chris Davis
b,r,e,a,k
Pizza Party!,29
0,ADAM VELK
0,MATT RADES
0,Jackson Todd
7,Naomi Slaughter
01,Will Hsieh
04,Monica Oplawski
06,Shannon Clancy
08,Kamille Martinez
12,Ashley Betke
15,ZACHARY FRERICHS
15,CINNAMON PORTER
23,SHANE O'FARRELL
28,ANDREW BEROWSKI
36,Madison Olesen
44,ASHTON  FALDUTO
48,Kathryn Kembitzky
52,MEGAN WISNOWSKI
55,Stephen Gard
73,Michelle Mingay
88,KAITLIN KINAHAN
93,Nick Storter
96,Nathan Cook
b,r,e,a,k
panIC,14
02,Rob Hirsch
04,Tyler Roberts
05,Alison Vandegrift
06,Audrey Sanchez
07,Ryan Spaulding
08,ERIC SIEVERS
09,CHRISTOPHER BROWN
11,Bryan Brooks
13,Rebekah Coenen
14,WILLIAM FLANARY
19,Nicole Johnson
21,James Hean
22,Nick Sanchez
23,Patrick Lansdon
28,Cole Stiegler
33,James (Drew) Walters
37,Thomas Kindred
42,Elizabeth Gronert
59,Dana Schrader
66,Tyler Stutzman
84,Nicole Havel
87,Hayley Dennison
88,WILLIAM DONNELLY
93,Lisa Lansdon
99,Dana Demmert
b,r,e,a,k
Mojo Jojo,30
0,KEVIN HELD
0,Meredith  Johnson
0,Kajsa Beatty
0,STEVEN FINN
0,Patrick Cashman
0,JACOB BRANDYS
0,Kelsey Mueller
0,Kathleen Burich
0,Hailey Bronson
0,SAMUEL BRICKWEDDE
2,Brian Wilson
5,Daniel Schultz
6,Ryan Fortune
10,Erin Mirocha
11,Grant Erickson
13,Michael Seffren
14,Ben Valley
55,Patrick Jones
84,Jake Kretschmer
b,r,e,a,k
Flying Dutchman,19
01,Trevor Wiltz
03,Richard Hornbuckle
05,WILL GILDEA
06,Austin Kososki
07,Austin Reed
08,Jeff Parker
09,Krystina Morris
10,David Yanniello
11,Matthew Davis
13,REBECCA PHILP
15,David Shields
16,ARON PHILLIPS
17,Kevin Graham
21,Daniel Brouwer
22,Bethani Eberhart
23,Carrie Kulp
25,Christopher Ball
29,Jessica Gamwell
33,Sally Ann Clark
43,Blake Abbott
55,HEATHER BRANDON
56,Jerome Price
60,Joe Sobansky
66,Margaret Caitlin Gallagher
72,Christina Jones
85,THOMAS YELLOW EYES
99,Delvin Kelly
b,r,e,a,k
Cream City Crooks,18
02,Oliver Rytman
03,KELLY RIPPL
04,Daniel Fiorino
06,MAEVE DWYER
07,JEREMY MAJORS
08,MARYKAY DREISILKER
09,Joshua Wilson
10,Laura Nelson
11,Jacob Scobey-Polacheck
16,Andrew Patten
17,Dan Laurila
18,Rachel Burge
19,Michael Morrison
21,JESSICA BAHLING
22,ANDREA SAVAGLIO
23,MICHAEL KEMPF
24,Justin Simanson
27,MICHAEL LIANG
33,Jason Sauve
36,Henry Arends
37,Molly Lindsay
42,Austin Hinz
54,Lauren Guzman
82,Andrew Czekalski
87,Austin Prucha
88,TESSA DANIELSON
99,Kelsey Morrison
b,r,e,a,k
Southern Revival,15
0,Matt Bledsoe
01,Lindsay Turner
02,Lauren Lee
03,Matt Theisen
05,MOLLY SNIPES
07,Brianna Chessin
08,MAGGIE ELLINGSON
09,Josh Moore
10,Shannon Allen
11,ERIN HACKMAN
12,Andrew Chung
13,MICHAEL WOOD
15,David Koch
16,Sarah Nawrocki
17,Victoria Thompson
18,Mati Chessin
19,Charles Loudermilk
21,Daniel Wang
39,MICHAEL PREUS
41,ZACHARY FOSTER
55,Stephanie Shane
82,Sam Batson
91,Alex Hodgson
96,Joseph Shea
99,Nathan Piechal
b,r,e,a,k
Liquid Hustle,31
0,Freddie Dixson
0,Kali Frost
0,Benjamin Hannan
0,Nathan Partenheimer
0,Jacob Landman
0,Daniel Clement
0,Julie Raduenz
0,Franklin Hankins
0,Kate Meiners
0,Kelly Kerker
0,HILTON HEINEKE
0,David Eddy
0,Brittney Ballard
5,KATHERINE SHIRO
13,Joshua Kemmerling
17,Robert Stasi
20,Chris Hensel
27,Emilie Garnier
34,Ben Lauer
35,Paul Avilez
55,Jason Cheek
59,Todd Miller
77,Rachel Clark
86,Dusty (Dustin) Hughes
b,r,e,a,k
Rubix,17
05,Dakota Lippincott
08,Aaron Harczynski
10,Alex Wendt
11,Emily Francia
13,Adam Carberry
14,ARIK SPAGAT
17,Erin Donahue
19,Clairissa Papa
22,Lindsey Doyle
23,Magen Rogers
24,Dan Brauch
27,Mark Borger
33,KELLY PAYNE
51,Dustin Doyle
78,Ryan Bleam
b,r,e,a,k
Jughandle,16
0,JOHN HOSMER IV
0,Michaela Dube
0,JULIA YUE
02,Tom Sum
04,Ryan Belline
05,Andrew Misthos
06,Rachel Chen
07,Thomas Johnson
11,Mason Compton
12,Nicole Himmelwright
14,Emily Czar
16,Christopher Fairfield
20,Rebecca Halleran
27,STEVEN MALPIEDI
28,Melissa Villars
29,JAMES BRENNAN
31,Jonathan (Johnny) Sisto
35,Christopher Gibbs
41,Tim Naumovitz
42,Bridget Compton
66,Christopher Barbieri
95,Colin Kochenash
b,r,e,a,k
Spirit Fowl,32
0,Frieda Manthei
0,JOHN MANTHEI
3,Brenna Sund
10,Anthony Poletto
17,JENNY ASTURIAS
19,Alyssa Belsito
22,ARDEN PIFER
29,Kelsey Peterson
33,Makella Daley
36,Ratih Sutrisno
37,Brian Kaiser
73,Charlie Enders
99,Tristan Van De Moortele
b,r,e,a,k
s,t,a,g,e,s
pools,Pools Tier 1
pool,Pool A
Steamboat,NOISE,13,8,"08/23/2014, 09:00",Pool A,Final
Des Moines Metro,Mesteño,13,10,"08/23/2014, 09:00",Pool A,Final
Steamboat,Mesteño,10,11,"08/23/2014, 10:45",Pool A,Final
Des Moines Metro,NOISE,13,10,"08/23/2014, 10:45",Pool A,Final
Steamboat,Des Moines Metro,8,9,"08/24/2014, 08:00",Pool A,Final
NOISE,Mesteño,9,6,"08/24/2014, 08:00",Pool A,Final
pool,Pool B
Santa Maria,Mad Udderburn,10,9,"08/23/2014, 09:00",Pool B,Final
Interrobang!,Bird,13,11,"08/23/2014, 09:00",Pool B,Final
Santa Maria,Bird,12,10,"08/23/2014, 10:45",Pool B,Final
Interrobang!,Mad Udderburn,11,6,"08/23/2014, 10:45",Pool B,Final
Santa Maria,Interrobang!,5,8,"08/24/2014, 08:00",Pool B,Final
Mad Udderburn,Bird,3,13,"08/24/2014, 08:00",Pool B,Final
b,r,e,a,k
pools,Pools Tier 2
pool,Pool C
Food Fight,Happy Days,13,8,"08/23/2014, 09:00",Pool C,Final
Omertà,Happy Days,13,2,"08/23/2014, 10:45",Pool C,Final
Omertà,Food Fight,12,2,"08/24/2014, 08:00",Pool C,Final
pool,Pool D
The Abusement Park,ELevate,13,5,"08/23/2014, 09:00",Pool D,Final
Thoroughbred,ELevate,13,9,"08/23/2014, 10:45",Pool D,Final
Thoroughbred,The Abusement Park,10,9,"08/24/2014, 08:00",Pool D,Final
pool,Pool E
Snow Day,Stack Cats,13,3,"08/23/2014, 09:00",Pool E,Final
RUA,Stack Cats,13,4,"08/23/2014, 10:45",Pool E,Final
RUA,Snow Day,7,9,"08/24/2014, 08:00",Pool E,Final
pool,Pool F
Prion,Troy's Bucket,12,10,"08/23/2014, 09:00",Pool F,Final
Identity Crisis,Troy's Bucket,13,1,"08/23/2014, 10:45",Pool F,Final
Identity Crisis,Prion,7,9,"08/24/2014, 08:00",Pool F,Final
pool,Pool G
Boomtown Pandas,Pizza Party!,13,11,"08/23/2014, 09:00",Pool G,Final
Handlebar,Pizza Party!,13,4,"08/23/2014, 10:45",Pool G,Final
Handlebar,Boomtown Pandas,10,8,"08/24/2014, 08:00",Pool G,Final
pool,Pool H
Flying Dutchman,Mojo Jojo,9,11,"08/23/2014, 09:00",Pool H,Final
panIC,Mojo Jojo,12,7,"08/23/2014, 10:45",Pool H,Final
panIC,Flying Dutchman,9,6,"08/24/2014, 08:00",Pool H,Final
pool,Pool I
Cream City Crooks,Liquid Hustle,11,13,"08/23/2014, 09:00",Pool I,Final
Southern Revival,Liquid Hustle,13,10,"08/23/2014, 10:45",Pool I,Final
Southern Revival,Cream City Crooks,5,8,"08/24/2014, 08:00",Pool I,Final
pool,Pool J
Rubix,Spirit Fowl,13,8,"08/23/2014, 09:00",Pool J,Final
Jughandle,Spirit Fowl,13,3,"08/23/2014, 10:45",Pool J,Final
Jughandle,Rubix,8,9,"08/24/2014, 08:00",Pool J,Final
b,r,e,a,k
clusters,Alt Tier 1 Crossovers
cluster,Sunday Placement
Des Moines Metro,Interrobang!,9,5,"08/24/2014, 09:15",,Final
Steamboat,Santa Maria,6,8,"08/24/2014, 09:15",,Final
NOISE,Bird,7,9,"08/24/2014, 09:15",,Final
Mesteño,Mad Udderburn,10,5,"08/24/2014, 09:15",,Final
b,r,e,a,k
brackets,Alt Tier 2 Sunday
bracket,Pool C-F Winners
Prion,Thoroughbred,5,8,"08/24/2014, 10:30",Sunday 1st Place,Final
Omertà,Prion,4,7,"08/24/2014, 09:15",Round Name,Final
Thoroughbred,Snow Day,11,5,"08/24/2014, 09:15",Round Name,Final
bracket,G-J Winners
Handlebar,Cream City Crooks,9,8,"08/24/2014, 10:30",Sunday 1st Place,Final
Handlebar,Rubix,8,7,"08/24/2014, 09:15",Round Name,Final
panIC,Cream City Crooks,8,10,"08/24/2014, 09:15",Round Name,Final
bracket,C-F Third Place
Omertà,Snow Day,7,8,"08/24/2014, 10:30",Third Place,Final
bracket,G-J Third Place
Rubix,panIC,8,7,"08/24/2014, 10:30",Third Place,Final
bracket,C-F Tier 2s
Identity Crisis,RUA,10,9,"08/24/2014, 10:30",2nd Place from Pool,Final
Food Fight,Identity Crisis,5,10,"08/24/2014, 09:15",Round Name,Final
The Abusement Park,RUA,7,11,"08/24/2014, 09:15",Round Name,Final
bracket,G-J 2nd Place from Pools
Jughandle,Southern Revival,9,4,"08/24/2014, 10:30",2s,Final
Boomtown Pandas,Jughandle,5,9,"08/24/2014, 09:15",Round Name,Final
Mojo Jojo,Southern Revival,6,10,"08/24/2014, 09:15",Round Name,Final
bracket,C-F 2s
Food Fight,The Abusement Park,7,10,"08/24/2014, 10:30",Third Place,Final
bracket,G-J 2s
Boomtown Pandas,Mojo Jojo,9,6,"08/24/2014, 10:30",Third Place,Final
bracket,Tier 2 Pool C-F 3s
Troy's Bucket,ELevate,4,9,"08/24/2014, 11:45",Finals,Final
Happy Days,Troy's Bucket,7,8,"08/24/2014, 09:15",Semis,Final
ELevate,Stack Cats,13,4,"08/24/2014, 09:15",Semis,Final
bracket,Tier 2 Pool G-J 3s
Spirit Fowl,Liquid Hustle,5,11,"08/24/2014, 11:45",Finals,Final
Pizza Party!,Spirit Fowl,6,12,"08/24/2014, 10:30",Semis,Final
Flying Dutchman,Liquid Hustle,5,13,"08/24/2014, 10:30",Semis,Final
bracket,C-F 3s
Happy Days,Stack Cats,8,13,"08/24/2014, 13:00",Final,Final
bracket,G-J 3s
Pizza Party!,Flying Dutchman,7,5,"08/24/2014, 14:15",Finals,Final
b,r,e,a,k
