Garden State IV,College - Men ,29,3,2014
Mercer,NJ,2014-03-29,2014-03-30
https://play.usaultimate.org/events/Garden-State-IV/schedule/Men/CollegeMen/
St Joseph's,17
28,Alexander Carli-Dorsey
36,Ryan Thornhill
37,Daniel Murray
73,Timothy Defreitas
84,Michael Enko
87,Vincent Azzolino
b,r,e,a,k
Rochester,12
0,HOLDEN DIAMOND
03,Matt Bandes
09,Matthew McCormick
10,JOSEPH RICCI
11,JOSHUA KANTERMAN
13,ZACHARY LEJA
15,THOMAS RZATKIEWICZ
15,BLAKE SILBERBERG
19,David McFarland-Porter
22,ALEXANDER NEE
23,Nathan Freeman
24,Christopher Wong
27,DENNIS CAMPBELL
29,EZRA PORTER
32,TOMMY MCANDREW
45,Christopher Dawson
52,Paul Szewczyk
64,Benjamin Soiefer
99,Sam VanNoy
99,Sam Horenstein
99,Cormac Assink
99,SAMUEL DESANTIS
99,Benjamin Parkinson
99,Jacob Margolis
99,Chandler Woo
b,r,e,a,k
SUNY-Albany,21
0,Jeffrey Lasher
0,Harrison Spelman
0,VINCENT PETRUCCI
0,PAUL TRAVERS
0,Colin Aldrich
0,George Dalton
0,William Rynn
0,Bradley Clark
0,JACOB BERGER
0,Sean Fagan
0,Dylan Bruhns
0,Jared Robinson
0,Eric Russo
0,ADAM DUSENBERY
0,William Thomas
7,Isaiah Casiano
17,Kevin O'Brien
24,Steve Stavdal
36,Peter-John Ferrebee
81,MICHAEL WOODS
b,r,e,a,k
Army,28
0,ROBERT FELIX
0,Joseph Woolfork
0,JULEN TOTORICA
0,Ian Betzel
0,adam childs
0,Philip Crawford
0,BERNARD WITSCHEN
1,ROBERT WINTERSTEEN
3,SAMUEL HARTFORD
4,NATE PIERINGER
5,CHRISTIAN CARRON
6,Lewis (Alec) Chosewood
7,Mackenzie Carter
9,FRANK FINK
11,CHASE PEDRON
12,ALEX MOORES
20,Michael Richardson
23,MITCHELL SMITH
25,ALEC HERRERA
35,RANGER KING
44,TYLER BERTLES
49,GEOFFREY MOORES
88,JACOB BATES
b,r,e,a,k
Hunter College,37
0,David Meretzky
0,PATRICK MOY
0,EMMANUEL APRILAKIS
0,Philip To
0,Jyothisraj Johnson
0,STANLEY CHEN
0,KEVIN LIN
0,Marc Liu
0,Logan King
0,LAWRENCE SANCHEZ
0,ANDRE AVALOS
0,Silvia Cohn
0,EARVIN CHEN
24,Ian McNally
33,Eric Lau
b,r,e,a,k
Bowdoin,11
3,Peter Nauffts
5,Samuel Shapiro
7,Alexander Roche
9,Salem Harry
02,ZACHARY MORRISON
10,Denis Maguire
11,Michael Pun
13,Josh Imhoff
15,Jordan Richmond
16,AUGUST MILLER
17,AIDAN PENN
19,TIMOTHY BOIT
22,Evan Hoyt
32,JEB POLSTEIN
34,Nick Benfey
66,Alex Ma
77,Isaac Merson
80,EDUARDO JARAMILLO
97,CODY STACK
b,r,e,a,k
Stevens Tech,6
0,Ira Seidman
0,Brandon Lynch
0,Matrix Arthur
0,Nicholas Minervini
0,ZACHARY SMITH
2,MATTHEW MELACHRINOS
5,Andrew Misthos
6,Jonah Mania
10,TOSHI SUZUKI
13,DAVID JOHNSTON
14,Miles Wascher
15,MOHD SYAFIQ ADDI SAIFUL RIZAL VOON
22,Jonathan Lee
28,Colin Aitken
44,Thomas Huckfeldt
82,Marques Brownlee
84,Luke Pacchiana
93,Nick Raguseo
99,VASILI PANTAZIS
b,r,e,a,k
SUNY-Binghamton,27
0,Adam Neu
0,Aaron Wida
0,Nicholas Cortina
0,Rafi Chesler
0,Evan Greenberg
0,CHRIS ROGERS
0,raghav goyal
1,Corey Vaccaro
10,GAVIN MORROW
13,Trey McIntyre
14,NATHAN HOLAHAN
15,Ryan O'Rourke
16,BEN FIEDLER
19,Joseph Howard
73,Caleb Fine
77,JOSEPH HAWTHORNE
77,Hunter Smith
80,Stephen Snelson
98,Timothy Bobrowski
b,r,e,a,k
Colgate,22
0,ELLIOT BROACH
1,JACK WILGER
2,John Patrick (JP) Letourneau
6,BRENDAN FINN
10,Andrew Philipson
11,Michael O'Brien
13,Zachary Lazow
15,Ben Krempley
17,William Sherwood
18,PETER DEBARTOLO
23,Peter Olson
25,Ethan Jones
27,DONGWOO KIM
29,Charlie Enberg
32,PETER FULTON
33,BRIAN CHERNAK
43,James Carroll
44,Ben Schick
54,Ben Harris
80,S H
b,r,e,a,k
Pittsburgh-Johnstown,38
00,GREG NOSAL
00,Brandon Hines
00,Benjamin Wojnarowski
00,Evan Johnson
00,Dustin Hallenbeck
00,ANTONIO WOLFE
00,Chris Weber
00,ZACHARY VOGEL
00,Andrew Barchowsky
20,NATHAN DUTE
23,Matthew McDaniel
36,PATRICK MILLER
58,STEVEN MADDEN
99,John Buss
b,r,e,a,k
Kean,41
b,r,e,a,k
Rutgers (B),44
00,SAM WALTER
00,BRIAN MONK
00,Francis Casimiro
00,PETER SHAW
00,Joe Zientek
00,MICHAEL TROIA
00,BENJAMIN VOSSLER
00,Stefan Groha
00,Ryan Mendoza
00,ANDREW LEE
00,Felix Keidel
b,r,e,a,k
Villanova (B),43
0,Brian Cullinan
0,William Dewey
17,Ryan Goethals
b,r,e,a,k
West Chester (B),42
0,Mike Patuk
0,Emanuel  Ramirez
7,Zach Owen
8,ADAM LASALLE
11,seth Robinson
12,Luke Reno
19,Daniel Monts
22,DANIEL BOEHER
24,Bobby Mohollen
38,MATTHEW COOPER
48,Steven Cwiakala
51,ERIC BOTTMEYER
68,Russ Convery
72,CHAD EISMAN
73,Andrew Galen
88,Emlyn Drake
91,Kevin Souser
94,Joshua Goldy
95,Brandon Baumeister
99,Patrick Brogan
b,r,e,a,k
Rowan (B),45
0,STEPHEN COWEN
0,KYLE CLARKE
0,ALEX AZAR
0,ROBERT VANCO
0,KEVIN SPERLING
0,Nick Murphy
0,ZACHARY HUNT
0,KEVIN KLINGENSMITH
0,NICK HOUGHTON
0,Luke Hayduk
0,James Pleban
0,Kevin Desmond
0,Brandon Bergman
0,MICHAEL MAERTEN
0,Daniel Bede
0,ANTHONY SANCHEZ
0,NICHOLAS COSTANTINI
7,Doug Petro
9,Ian Fletcher
30,Michael McKendry
35,NICHOLAS PYTLOWANY
46,MATTHEW BOWE
78,Dean Kullmann
83,John Boyko
92,JOSEPH NALBACH
b,r,e,a,k
Lehigh (B),49
01,Chris McTernan
02,Harrison Pfeiffer
03,Trevor Hayes
05,James (Jack) Lamberti
09,SEAN BROPHY
16,Jadon Sargeant
17,SAMUEL BERNSTEIN
28,Alec Marks
31,NITIS UDORNPIM
33,JACOB MOSER
37,Kevin Fogarty
42,Daniel Slesinski
52,Kevin Scales
55,JOHN LARSON
74,NATHANIEL CANNON
77,Ryan Santos
85,Aster Schmidt
88,William Delucia
89,Andrew Wagner
90,TROY WILLIAMS
92,ADAM POLLACK
94,Derek Weisberg
99,Brendan Eckardt
b,r,e,a,k
Penn State (B),46
0,KYLE HARMON
0,Lukas Hoffman
1,Joseph Hacker
2,MARK MCTIERNAN
3,David Rocco
00,KRAE STIEFFENHOFER
08,BRANDON DREESE
11,Andrew Trolio
13,Jordan Houck
18,DANIEL OFFLEY
22,Zach Perri
23,MAXWELL WNOROWSKI
26,ALEX MARMELSTEIN
28,TOMMY GONGOL
29,James (Jimmy) Futrell
33,BOBBY GOBAO
40,Matthew Maloch
45,Cody Demichele
47,Akshat Rajan
81,Ryan Boyle
b,r,e,a,k
SUNY-Buffalo (B),47
0,MATTHEW STOLLERMAN
0,Mike Mayen
0,JUSTIN BARLEBEN
0,Dan Sauter
0,JOSHUA GITTLEMAN
0,CHRIS STARLING
0,JOHN ONCHER
0,Dan Bartoszek
0,Brendan Warner
0,Jedidiah Kalmanofsky
0,Yu Hsuan (Chris) Lee
12,WILLIAM EMMERT
41,STEVEN KAHN
66,Cody Clement-Sanders
77,Max Hattem
99,DAN GARDNER
b,r,e,a,k
Amherst (B),48
0,Brian Beaty
0,TREVOR SMITH
0,Siraj Sindhu
0,Karthik Chetty
0,Shelton Cochran
0,RJ KERMES
0,Keshav Pant
0,Jax Reiff
0,Reynaldo Pena
0,Caleb Ki
0,Adrian Castillo
0,Andrew  Willis
0,Griffin Harris
12,Henry Landis
13,Cameron Wade
14,Barrett King
22,Lucas Zeller
41,Andrew Hurn
43,Kevin Goldberg
56,Matt Weinberg
59,Jake Vitale
b,r,e,a,k
Messiah (B),50
0,Alex Reinhard
6,Josiah Peck
19,ROB GAFFNEY
21,SEAN TEAGER
22,Tyler Wurtz
23,Anders Laub
27,ANDREW FLORO
36,Ben Kragt
37,Jed Berry
39,Cody Meassick
54,JARED VENTO
83,Justin Baitinger
95,Andrew Brubaker
b,r,e,a,k
Lehigh,10
04,Brendan Huber
06,Justin Carter
10,SHANE MCDEVITT
12,JEFFREY GILBERT
13,ADAM LONG
14,Jonathan Goldsmith
18,ANDREW HANNAH
21,Adam Kafka
23,Nicholas Mathison
30,David Bloodgood
34,CHRIS MCHUGH
35,ZIV ARZT
36,Tyler Kenney
46,DAVID DANKO
59,Kyle Fischer
70,DAVID BETZ
82,Dylan Petruskevicius
87,KYLE MEGATHLIN
98,DANIEL THAREJA
b,r,e,a,k
Liberty,39
0,Zachary Williams
0,JA'mhar Comena
0,Samuel Craig
0,Micah Davis
0,Joshua  Roper
0,Larry Spradley
0,Ethan Smith
0,Collin Seelen
0,Brendan Kinne
0,Lowe Bibby
0,Taylor Nelson
0,Julius Tallant
21,Mizraim Diaz Roman
26,Chad Calvert
37,JAMES ALLEN
38,Travis Felker
97,Zachary Richman
99,Johnathan Klingler
b,r,e,a,k
SUNY-Cortland,23
0,KYLE MCPADDEN
0,CALEB KNEESHAW
0,Cody Updike
0,Dylan Winter
0,Dan Grogan
0,Michael Ortiz
0,victor spadaro
0,Arjun Ramani
0,RANDY WERKMEISTER
0,Steven Malouf
0,Eric London
2,CHARLIE KENLINE
11,Tim Kominos
13,SCOTT CURRY
17,ANTHONY TERZOLO
21,MATTHEW ALMES
33,MICHAEL HILL
62,MATTHEW BISHOP
80,Anthony Coppola
91,PHILIP  RASCONA
94,James  O'Connell
b,r,e,a,k
Franklin & Marshall,26
01,Andrew Stuart
03,Marshall Tomat
05,Conor Harbeck
07,Reade Keelips
10,MICHAEL LATOURETTE
11,John Searer
12,CHRISTOPHER BACHE
14,Alexander Moog
20,Philip Sitver
21,Patrick Sheil
23,Max Azuelos
28,Mark Rooney
42,Sam Berk-Hinckley
45,Kurt Drottar
68,JAMES  ORTH
69,GREGORY OPPENHEIM
84,Josh McGinnis
88,Michael Lovisa
b,r,e,a,k
SUNY-Fredonia,7
0,Joseph Peabody
1,MAC JONES
2,Kurt Knoess
3,Dylan Leitner
3,Harry Jones
7,CHRIS  JONES
11,Thomas Benati
12,Zachary Pinti
14,BRIAN JACKSON
15,Craig McGowan
16,ZACHARY LAW
17,Christian Salvati
21,Mike Burns
22,brandon eddy
27,PJ Niegsch
28,COULTER MCPHAIL
29,Austin Darling
31,James McLaughlin
32,Max Kesselring
33,GREGORY WAKEMAN
41,Tyler Davis
49,TIM BANKER
69,Kolton Stow
83,Kevin Quinlan
b,r,e,a,k
Vermont,9
0,Barry Francoeur
0,Dylan Marino
0,ANDREW MCCUE
0,Justin Decatur
0,TIM SAYLER
0,Riley Quinn
0,Michael Voelpel
0,Ian Campbell
0,GABRIEL SWANSON HUTCHISON
0,DAVID DEWAHL
0,Micah Botkin-Levy
0,Ryan Colarusso
0,Jordan Kaufman
21,Jack Duncan
29,Samuel Hanlon
33,Samuel Hotaling
33,Andy Mogenson
78,Keith Zuckerman
b,r,e,a,k
James Madison,8
00,SAMUEL FENSTERMACHER
02,Bjorn Johnson
03,Cam Barnhardt
05,BRETT WOODWARD
06,James Friscia
07,MATT MURPHY
08,William Strauss
09,Griffin Lang
11,Andrew Crumpler
12,BRIAN SCHOLL
17,Kevin O'Malley
20,Kyle Woodward
21,Benjamin Green
25,John Dickerson
28,ABNER REYES
30,Quinn Bergeron
31,MICHAEL O'MALLEY
32,GREG KITCHIN
33,Torin Porter
34,Christopher Novielli
52,Ned Sieverts
60,Patrick King
b,r,e,a,k
Syracuse,25
0,Jeffrey Spivack
0,Maxwell Arnold
0,ETHAN REQUARDT
0,Michael Zivik
0,Brian Walsh
0,Aaron Harvey
0,JONATHAN BERK
0,Mark Skinner
8,Greg Bjornstad
11,Andrew Gotham
13,NICHOLAS PLUMMER
21,David Ascher
27,Alexander Cluff
29,Brandon Stevens
33,Charlie Reiff
44,Paul Campbell
69,Jeff Goldberg
70,Girolamo Mammolito
77,Brian Erwin
88,Danny Feinman
b,r,e,a,k
Navy,24
01,Jason Sherwood
03,ANDREW LEWANIAK
05,JOSEPH BRANT
06,Nicholas Ramzi
08,ANTHONY BROLL
10,ZACHARY   POWERS
11,Bernard Forney
12,John Tortorici
14,ANDREW GARCIA
16,Joseph Chilbert
19,Kieran Simonson
22,MATT SILBERBERG
23,W. PIERCE CHILTON
25,Austin Scigliano
31,SKYLER RAYBIN
34,Nicholas Moilanen
35,Andrew Anderson
40,Jonathan Goldberg
40,KEVIN LAKE
50,Jeremiah Harding
62,christopher hein
77,James Theodos
88,REMINGTON ROTH
99,Lawrence Wilson
b,r,e,a,k
Goucher,40
0,Jackson Hickey
0,John Stevenson
0,Micah Heaney-Forbes
0,Dylan McDonough
0,hans weih
0,Sam Kenney
0,Gregory Borodulin
0,Nadav Marcus
0,David  Jannotta 
45,Ben Saeks
b,r,e,a,k
s,t,a,g,e,s
pools,Bracket Play
pool,Pool A
NYU,Indiana (Pennsylvania),11,8,"03/29/2014, 09:00",Pool A,Final
Marist,Villanova,7,11,"03/29/2014, 09:00",Pool A,Final
NYU,St Joseph's,8,13,"03/29/2014, 10:25",Pool A,Final
Villanova,Indiana (Pennsylvania),8,10,"03/29/2014, 10:25",Pool A,Final
Marist,Indiana (Pennsylvania),7,12,"03/29/2014, 11:50",Pool A,Final
St Joseph's,Villanova,7,4,"03/29/2014, 11:50",Pool A,Final
NYU,Villanova,12,6,"03/29/2014, 13:15",Pool A,Final
Marist,St Joseph's,8,11,"03/29/2014, 13:15",Pool A,Final
NYU,Marist,W,F,"03/29/2014, 14:40",Pool A,Final
St Joseph's,Indiana (Pennsylvania),W,F,"03/29/2014, 14:40",Pool A,Final
pool,Pool B
Williams,West Chester,10,13,"03/29/2014, 09:00",Pool B,Final
Rowan,Temple,10,13,"03/29/2014, 09:00",Pool B,Final
Williams,Bucknell,11,8,"03/29/2014, 10:25",Pool B,Final
Temple,West Chester,5,8,"03/29/2014, 10:25",Pool B,Final
Bucknell,Temple,5,8,"03/29/2014, 11:50",Pool B,Final
Rowan,West Chester,10,13,"03/29/2014, 11:50",Pool B,Final
Rowan,Bucknell,12,8,"03/29/2014, 13:15",Pool B,Final
Williams,Temple,W,L,"03/29/2014, 13:15",Pool B,Final
Williams,Rowan,W,F,"03/29/2014, 14:40",Pool B,Final
Bucknell,West Chester,W,F,"03/29/2014, 14:40",Pool B,Final
pool,Pool C
SUNY-Geneseo,SUNY-Brockport,11,5,"03/29/2014, 09:00",Pool C,Final
Dickinson,Keene State,13,9,"03/29/2014, 09:00",Pool C,Final
SUNY-Geneseo,Ithaca,13,6,"03/29/2014, 10:25",Pool C,Final
Keene State,SUNY-Brockport,9,6,"03/29/2014, 10:25",Pool C,Final
Ithaca,Keene State,5,11,"03/29/2014, 11:50",Pool C,Final
Dickinson,SUNY-Brockport,13,7,"03/29/2014, 11:50",Pool C,Final
Dickinson,Ithaca,7,1,"03/29/2014, 13:15",Pool C,Final
SUNY-Geneseo,Keene State,13,5,"03/29/2014, 13:15",Pool C,Final
SUNY-Geneseo,Dickinson,0,0,"03/29/2014, 14:40",Pool C,Scheduled
Ithaca,SUNY-Brockport,13,11,"03/29/2014, 14:40",Pool C,Final
pool,Pool D
Pennsbury High School,Drexel,10,11,"03/29/2014, 10:00",Pool D,Final
Messiah,Cumberland County,13,1,"03/29/2014, 10:00",Pool D,Final
Amherst,Drexel,13,1,"03/29/2014, 11:25",Pool D,Final
Pennsbury High School,Cumberland County,13,1,"03/29/2014, 11:25",Pool D,Final
Amherst,Cumberland County,W,F,"03/29/2014, 12:50",Pool D,Final
Messiah,Pennsbury High School,13,0,"03/29/2014, 12:50",Pool D,Final
Amherst,Pennsbury High School,W,F,"03/29/2014, 14:15",Pool D,Final
Messiah,Drexel,W,F,"03/29/2014, 14:15",Pool D,Final
Drexel,Cumberland County,W,F,"03/29/2014, 15:40",Pool D,Final
Amherst,Messiah,12,11,"03/29/2014, 15:40",Pool D,Final
pool,Pool E
Worcester Polytech,Hunter College,13,0,"03/29/2014, 10:00",Pool E,Final
Rochester,Army,13,4,"03/29/2014, 10:00",Pool E,Final
Worcester Polytech,SUNY-Albany,10,6,"03/29/2014, 11:25",Pool E,Final
Army,Hunter College,6,5,"03/29/2014, 11:25",Pool E,Final
SUNY-Albany,Army,6,5,"03/29/2014, 12:50",Pool E,Final
Rochester,Hunter College,W,F,"03/29/2014, 12:50",Pool E,Final
Rochester,SUNY-Albany,6,4,"03/29/2014, 14:15",Pool E,Final
Worcester Polytech,Army,13,2,"03/29/2014, 14:15",Pool E,Final
Worcester Polytech,Rochester,7,4,"03/29/2014, 15:40",Pool E,Final
SUNY-Albany,Hunter College,W,F,"03/29/2014, 15:40",Pool E,Final
pool,Pool F
Stevens Tech,Pittsburgh-Johnstown,12,10,"03/29/2014, 10:00",Pool F,Final
Bowdoin,SUNY-Binghamton,10,5,"03/29/2014, 10:00",Pool F,Final
Stevens Tech,Colgate,12,4,"03/29/2014, 11:25",Pool F,Final
SUNY-Binghamton,Pittsburgh-Johnstown,9,8,"03/29/2014, 11:25",Pool F,Final
Colgate,SUNY-Binghamton,4,7,"03/29/2014, 12:50",Pool F,Final
Bowdoin,Pittsburgh-Johnstown,9,5,"03/29/2014, 12:50",Pool F,Final
Bowdoin,Colgate,8,0,"03/29/2014, 14:15",Pool F,Final
Stevens Tech,SUNY-Binghamton,12,4,"03/29/2014, 14:15",Pool F,Final
Stevens Tech,Bowdoin,7,9,"03/29/2014, 15:40",Pool F,Final
Colgate,Pittsburgh-Johnstown,W,F,"03/29/2014, 15:40",Pool F,Final
pool,Pool I
Kean,Rowan (B),13,5,"03/29/2014, 10:00",Pool I,Final
West Chester (B),Rutgers (B),5,11,"03/29/2014, 10:00",Pool I,Final
Kean,Villanova (B),13,0,"03/29/2014, 11:40",Pool I,Final
Rutgers (B),Rowan (B),9,1,"03/29/2014, 11:40",Pool I,Final
West Chester (B),Rowan (B),13,8,"03/29/2014, 13:20",Pool I,Final
Villanova (B),Rutgers (B),8,11,"03/29/2014, 13:20",Pool I,Final
Kean,Rutgers (B),12,9,"03/29/2014, 14:15",Pool I,Final
West Chester (B),Villanova (B),10,12,"03/29/2014, 14:15",Pool I,Final
Kean,West Chester (B),0,0,"03/29/2014, 15:40",Pool I,Cancelled
