Huck Finn,College - Men ,8,3,2014
https://play.usaultimate.org/events/Huck-Finn/schedule/Men/CollegeMen/
Missouri,3
Oberlin,Washington University,8,13,"03/08/2014, 19:00",Pool C
Iowa State,Washington University,13,11,"03/08/2014, 20:30",Pool C
Oberlin,Minnesota (B),11,5,"03/08/2014, 20:30",Pool C
pool,Pool D
Kansas State,Purdue,12,10,"03/08/2014, 14:30",Pool D
Luther,Kentucky,13,3,"03/08/2014, 14:30",Pool D
Missouri S&T,Washington University (B),13,4,"03/08/2014, 14:30",Pool D
Kansas State,Luther,4,15,"03/08/2014, 16:00",Pool D
Purdue,Missouri S&T,9,12,"03/08/2014, 16:00",Pool D
Washington University (B),Kentucky,9,13,"03/08/2014, 16:00",Pool D
Kansas State,Kentucky,12,8,"03/08/2014, 17:30",Pool D
Luther,Missouri S&T,13,7,"03/08/2014, 17:30",Pool D
Luther,Washington University (B),13,0,"03/08/2014, 19:00",Pool D
Kansas State,Missouri S&T,10,13,"03/08/2014, 19:00",Pool D
Purdue,Kentucky,13,4,"03/08/2014, 19:00",Pool D
Missouri S&T,Kentucky,12,8,"03/08/2014, 20:30",Pool D
Luther,Purdue,13,2,"03/08/2014, 20:30",Pool D
Kansas State,Washington University (B),10,8,"03/08/2014, 20:30",Pool D
b,r,e,a,k
brackets,Places 1-8
bracket,Championship
Brown,Luther,8,15,"03/09/2014, 18:00",Finals
Missouri,Kansas State,15,7,"03/09/2014, 14:00",Quarters
Brown,Washington University,15,10,"03/09/2014, 14:00",Quarters
Iowa State,Iowa,15,11,"03/09/2014, 14:00",Quarters
Luther,St Louis,15,8,"03/09/2014, 14:00",Quarters
Missouri,Brown,9,13,"03/09/2014, 16:00",Semis
Iowa State,Luther,12,14,"03/09/2014, 16:00",Semis
bracket,3rd Place
Missouri,Iowa State,16,14,"03/09/2014, 18:00",Finals
bracket,5th
Missouri S&T,Washington University,5,15,"03/09/2014, 16:00",Round Name
Iowa,St Louis,15,8,"03/09/2014, 16:00",Round Name
Washington University,Iowa,15,10,"03/09/2014, 18:00",Finals
bracket,7th Place
Missouri S&T,St Louis,13,9,"03/09/2014, 13:00",Finals
b,r,e,a,k
brackets,Places 9-16
bracket,9th Place
Pacific Lutheran,Oberlin,6,14,"03/09/2014, 13:00",9th Finals
Truman State,Purdue,16,17,"03/09/2014, 09:00",9th Quarters
Pacific Lutheran,Illinois State,15,9,"03/09/2014, 09:00",9th Quarters
Oberlin,Grinnell,15,6,"03/09/2014, 09:00",9th Quarters
Kansas State,Wisconsin-Stevens Point,8,15,"03/09/2014, 09:00",9th Quarters
Purdue,Pacific Lutheran,10,15,"03/09/2014, 11:00",9th Semis
Oberlin,Wisconsin-Stevens Point,15,11,"03/09/2014, 11:00",9th Semis
bracket,11th Place
Purdue,Wisconsin-Stevens Point,7,11,"03/09/2014, 13:00",11th Place
bracket,13th Place
Truman State,Illinois State,15,7,"03/09/2014, 11:00",13th Semis
Grinnell,Kansas State,14,5,"03/09/2014, 11:00",13th Semis
Truman State,Grinnell,15,12,"03/09/2014, 13:00",13th Finals
bracket,15th Place
Illinois State,Kansas State,15,11,"03/09/2014, 13:00",15th Place
b,r,e,a,k
brackets,17th Place
bracket,Game 1
John Brown,Washington University (B),15,6,"03/09/2014, 14:00",5A v 6D
bracket,Game 2
Illinois State (B),Minnesota (B),3,15,"03/09/2014, 14:00",5B v 5C
bracket,Game 4
Illinois State (B),Washington University (B),2,15,"03/09/2014, 11:00",5B v 6D
bracket,Game 5
John Brown,Minnesota (B),11,6,"03/09/2014, 13:00",5A v 5C
bracket,Game 6
Illinois State (B),Kentucky,1,15,"03/09/2014, 13:00",5B v 5D
bracket,Game 3
John Brown,Kentucky,13,15,"03/09/2014, 11:00",5 v 6
b,r,e,a,k
