Youth Club Championships,Youth Club U-20 - Boys ,9,8,2014
Blaine,MN,2014-08-09,2014-08-10
https://play.usaultimate.org/events/Youth-Club-Championships/schedule/Boys/youth-club-u-20-boys/
ATLiens,1
02,Robert Lincoln
04,Ryan Mann
06,AUSTIN RUEDIGER
07,Noah Weintraub
09,Andrew Rechenberg
10,Travis Terrell
11,Nadeem Demian
14,Nick Haser
15,SAHIL DADOO
17,Matthew Hanna
20,Richard Szabo
21,DEREK SANCHIOLI
22,KEVIN TRIMBLE
23,Jake Davis
33,Max Thompson
42,Ben Morgenstern
48,Jimmy Towle
49,JARED LANDIS
92,Wally Gaida
b,r,e,a,k
DiscNW,2
teamInfo,Salvo,"Seattle, Washington",,,
coaches,Alex Wells
0,Grant Mitchell
0,Adrian Golay
0,Nicholas Hirning
0,Michael Bartell
0,Nels Schimek
0,CHRISTIAN GOLDEN
0,Bryce Walsh
2,Robert Farwell
6,Maxwell Sheffield
7,Tremont Miller
8,Alex Olson
9,Samuel Lehman
14,Steven Benaloh
16,JOHN (JACK) BUCKNER
23,Tadhg Scully
23,Xander Cuizon Tice
24,Daniel Mah
31,Yu Wen Chen
38,Manuel Eckert
97,Kai Marcus
98,Aldous Root
b,r,e,a,k
Triforce,4
teamInfo,,"Raleigh/Durham/Chapel Hill, North Carolina",,,
coaches,Jonathan Nethercutt,Ben Snell,Ian Pratt
01,Terrence Mitchell
02,Solomon Yanuck
04,Jacob Warshauer
05,Nathan Kwon
07,Matt Gouchoe-Hanas
08,ALEC TOLENTINO
09,Valeri Kozarev
10,Marcus Rovner
11,Taek Lee
12,Kevin Mateer
13,Eli Miller
14,Alexander Tax
15,Henry Fisher
18,Spencer Beck
23,Walker Matthews
24,Elijah Long
32,Yuma Kobayashi
33,Liam Searles-Bohs
34,Dillon Lanier
64,Abraham Eichner
81,Rhys Gretsch
88,Jeffrey He
99,JOSHUA IRONS
b,r,e,a,k
BUDA Open,7
teamInfo,,"Boston, Massachusetts",,,
coaches,Anne Westcott
02,Jacob Kaplan
03,Mac Hecht
04,Daniel Moder
05,DANIEL MERCER
06,Nathaniel Dick
08,Ethan Fortin
09,Chandler Thoma
10,William Stewart
12,Tobias Harvey
13,JAVIER POZNAR
14,Tim Schoch
15,Dylan Best
17,ASHER KENEN
21,Tannor Johnson
22,Walter Esker
35,Reuben Hagen
36,Noah Fay
41,Oliver Fay
51,Jared Kannel
81,MICHAEL WOODS
b,r,e,a,k
Chicago YCC U-19,6
teamInfo,,"Schiller Park, Illinois",,,
coaches,ANTHONY MIOCIC
0,Tyler Barrett
01,MARK YELLON
02,JAMES BONGIOVANNI
03,Karl Beck
07,Jack Shanahan
10,Matthew Nelson
11,BRIAN HERRMANN
12,Jeremy Burril
16,Jake Marrapode
17,Reno Brinn
18,Anthony Vattimo
22,PARKER ALFORD
23,Hector Moreno
24,Dominick Peluso
25,Adam Wong
27,MICHAEL HANNIGAN
62,Kyle Krukowski
89,Michael Sandstrom
91,Aiden Frank
b,r,e,a,k
Flying Pig,9
teamInfo,,"Cincinnati, Ohio",www.cincyselectultimate.com,,@pigultimate
coaches,Joel Houmes,IAN COLLINS,Philip Hale
0,Blake Weaver
02,Stephen Babcock
03,Elliot Skindzier
05,Jake Kenniv
07,Anthony Lokar
08,Stephen Hale
09,Gage Edblom
10,Craig Kaiser
14,Michael Crouchley
15,Eric Taylor
17,Joe White
18,Kevin Parker
20,Austin Herriott
21,Geoffrey Hulsether
22,Dominic Schuster
24,JOHN PAUL BORT
28,Evan Wethington
30,Jordan Monnin
33,Tyler Morrison
43,Stephen Kenny
44,Landon Sagle
b,r,e,a,k
Nashvillains,17
teamInfo,,"Nashville, Tennessee",,https://www.facebook.com/groups/nashvillainultimate/,https://twitter.com/NashvillainsTN
coaches,Robert Owen
02,Mac McClellan
03,Joseph Brown
04,Grant Waldron
05,Chase Hammond
07,Beau Waldron
10,BOONE MCCLELLAN
13,Carter Rae
14,Caleb Whitley
15,Coleman Davis
18,Jacob Flowers
19,BRANDON TESTER
20,Miguel Hector
21,Tanner Niles
24,Matthew Sui
27,Grant Eidam
28,Nicholas Baldwin
37,GRANT GIVEN
44,LUKE HUDGIN
b,r,e,a,k
SEMI (YCC-MI),23
teamInfo,YCC-MI,"Plymouth, Michigan",,,
coaches,Jan Mueller
01,Daniel Brown
03,Caleb May
04,Daniel Fonte
07,Daniel Hochster
12,MITCHELL MANNINEN
13,David Fitch
15,Griffin Bergers
17,Jake Moyer
18,Conner Carrico
18,Robert (Bobby) Moyer
24,Pierre de Smet
55,James Smith
b,r,e,a,k
Nightmare Ultimate Boys U19,16
teamInfo,,"Naperville, Illinois",www.nvultimate.com,,@nvultimate
coaches,Robert Gross,BEN REHMANN
0,Joel Schleicher
01,SHERWIN SOLOMON
09,ALEX BISKIS
10,Jacob Kaindl
13,COREY DUFRESNE
14,Joseph Powell
15,CHAD FAHRENBACH
20,NICHOLAS PISTOLIS
21,RUCHIT PATEL
23,ADAM GERNES
32,Collin Spratt
33,THOMAS REIDY
42,Maddox Hill
44,MICHAEL NALLY
74,Bill Kellens
97,Alexander Diener
b,r,e,a,k
Connecticut Insomnia,22
teamInfo,,"Hartford, Connecticut",www.ctultimate.com,www.facebook.com/ctultimate,
coaches,Karl Schwoerke,Dylan-Ernst Schäfer
01,Keith Moya
03,Michael Rice
04,RYAN KELLY
05,Kyle Bonvouloir
09,Alexander Vazquez
13,NICK BUTLER
15,KENNETH VAUGHAN
16,J. Chapin Cheney
22,TIMOTHY TOZIER
25,Jake Hansen
31,Daniel Reilly
32,Zach Grappone
33,MARK BLOMBERG
47,Alex Kenworthy
b,r,e,a,k
INferno,18
teamInfo,,"Indianapolis, Indiana",,https://www.facebook.com/pages/Indiana-INferno/530641450321003,
coaches,John Rempel
00,Austin Keller
01,MATT BUTLER
03,SCOTT FLANNERY
04,Maxwell Leko
05,Connor Halloran
07,Levi Jacobs
08,JACOB THARP
10,SHAN ANTONY
11,Ben Lahr
13,Clark Barco
15,GRANT CARLSON
16,ELLIS MARTIN
17,Gabriel Wray
18,Aaron Weaver
33,Phillip Simcox
42,Shawn Owen
44,Donovan Triplett
55,Drew Okenfuss
77,Ethan Garcia
b,r,e,a,k
Rising Tide,15
teamInfo,,"Portland, Maine",www.maineultimate.org,https://www.facebook.com/groups/229767653726266/,
coaches,Tom Stoughton
01,Sage Tanner
03,Brandon Amundson
10,NICHOLAS PLUMMER
11,BEN DAVIS
18,Ethan Pierce
19,Ian Tait
22,Cameron Jack
24,Charlie Hepburn
26,JACOB BRADY
32,Jared DeWolfe
35,EBEN BAKER
36,Timothy Corsello
37,SAWYER WOOD
39,Henry Babcock
48,MATTHEW EDMONDS
b,r,e,a,k
DiscNY,10
teamInfo,,"New York, New York",http://discny.org/,https://www.facebook.com/NYC.Youth.Club.Ultimate,
coaches,Aman Nalavade,Sean Childers
0,A.J. SCHULLER
3,Thomas Tyson
01,Shane Watts
02,Timothy Barbella
06,Yuval Pearl
07,Shawn Watts
08,Zane Friedkin
12,Maximilian Kong
19,Benjamin Attal
20,TERRENCE KOO
27,Theo Morris
30,Mark Kharakh
39,Keiran Carpen
45,Matthew Cook
80,Eric Chen
99,CHRISTOPHER KELLY
b,r,e,a,k
Minnesota Superior A,11
teamInfo,,"Twin Cities, Minnesota",,,
coaches,Dan Rydel
0,ALEC BLUM
01,Jonah Malenfant
02,ALEX KUNZER
03,Nicholas Vogt
05,Charlie Schuweiler
06,RYAN FRANKLIN
07,Kristian Johnson
08,Cole Wallin
09,Isaac Chestler
10,Jared Klein
13,Alec McFarlane
14,Tyler Thomegreene
16,Alexander Ogren
18,James Nguyen
20,Marty Adams
24,Ryan Berg
25,Lucas Bulger
26,Mohammud Tilmo
27,Max Wolk
28,Matthew Greenstein
29,SAM HUFF
31,JACOB ELIAS
36,Donald Wood
71,CULLEN RAASCH
81,Tyler Meyer
99,NICK STASTNY
b,r,e,a,k
Carolina Sky,14
teamInfo,,"Chapel Hill, North Carolina",,,
coaches,Theran Riedel,Jinny Riedel
01,Nicholas Donahue
02,Corey Cox
04,Ethan Cole
05,Benjamin Bourret
07,Conor Chickos
09,Tristan Manturuk
11,Kaylen Alexis
12,Chathan Driehuys
13,Andrew Mouw
14,Sean Murray
15,Jeffrey Perkins
17,Everett Dang
18,Kyle Davis
20,Thomas Williams
21,Daniel Son
24,Pete Digre
25,Avery Acierno
26,Ethan Bloodworth
27,CHARLES SU
42,Austin von Alten
47,BRIAN MAULUCCI
b,r,e,a,k
Deadrise,21
teamInfo,,"Washington, District of Columbia",,,
coaches,Michael Lopresti,Jackson Dolan
0,Colin Smith
0,Victor Shen
0,SEAN HOLCOMB
0,William Xu
0,Ben Weinstein
0,Will Schossow
0,LINCOLN SWAINE-MOORE
2,HENRY TESSIER
4,Will Yetvin
4,Jack Corcoran
7,Ben Baden
13,Daniel Thomas
18,Nat Choate
19,MATTHEW  GRIFFITH
27,Joe Spaeth
32,Andrew Roy
69,Manuel Miranda
69,Kevin Versteeg
77,Max Shevchenko
b,r,e,a,k
South Dakota U19 Open,19
teamInfo,,"Spearfish, South Dakota",,,
coaches,Dennis Servaty,JEFF GOLDBERG
01,KIEFER GOLDBERG
02,JARED ANDERSON
03,VINCENT FURNISH
04,TRISTAN BLAIN
05,Samuel Evridge
07,SAMUEL MALLETT
08,TREVOR SIGMOND
09,Jacob Servaty
11,Taylor Barton
12,Keegan Howe
14,Nate Stadem
15,TREVOR ROMBOUGH
18,Leo Oygard
23,CONNOR SIGMOND
24,BILLY ROECKLEIN
28,Daniel Stork
33,Jacob West
44,AUSTIN WALKER
77,Ethan Knobloch
b,r,e,a,k
Texas Two Step,12
teamInfo,,"Dallas, Texas",,,
coaches,Darius Tse
0,Daniel Gray
02,Emmanuel Bilolo
03,Casey Aldridge
04,Alex Mudd
07,WEBBER BEALL
08,Michael Wilson
09,MATTHEW ANTHONY
10,Reese Walters
11,Brian Street
12,Luke Simerly
14,Andrew Lord
17,Clayton Howeth
18,Brett Gramann
19,Noah Chambers
20,IAN VICKERS
21,Sam Pastor
25,Bradley Pfeiffer
27,Brandon Dial
74,JOHN GOULAS
98,Simon Vickers
99,NICK LEE
b,r,e,a,k
Birmingham,13
teamInfo,Forge,"Birmingham, Alabama",,,
coaches,Chris Browning,Anne Lee Lavette
0,Jason Russell
0,John (Jack) Dowling
0,James  Poe
2,Kaleb Frames
5,Eric Sjostrom
00,WILLIS WOOD
00,Michael Volz
00,DYLAN KREBS
00,Harlin Brown
00,Payton Garlington
00,Elijah Jaime
10,Colby Chuck
13,Ellie Wood
13,Ethan Downs
14,Hill Balliet
19,KADEN FRAMES
28,HUNTER BONHAM
28,Reid Thackerson
b,r,e,a,k
Minnesota Superior B,20
teamInfo,,"Twin Cities, Minnesota",,,
coaches,Jesse Stratton,Christopher Hickman
2,KHALID WARD
03,TOM RHOADES
04,Anders Haroldson
05,Noah Betz-Richman
06,Jonah Resnick
07,Ian Hahn
08,MAX MARTIN
09,Tom Duret
10,Danny Langevin
11,Cole Jurek
12,Ben Pavelka
13,Michael Rydel
15,Matthew Dunn
16,Riley Siewert
17,KLAYTON ELLIOTT
18,ZACHARY SHEAR
19,Oscar Leinbach
32,GRANT SCHROEDER
44,Colin Williams
47,Christian Thomsen
50,Garrett Geib
71,Jonathan Lovagnini
79,MALONE MISCHKE
99,Kyle DeJesus
b,r,e,a,k
s,t,a,g,e,s
pools,Pool Play
pool,Pool A
ATLiens,Colorado Cutthroat,9,7,"08/09/2014, 10:45",Pool A,Final
DEVYL,Impulse,10,9,"08/09/2014, 10:45",Pool A,Final
ATLiens,Impulse,12,11,"08/09/2014, 14:45",Pool A,Final
DEVYL,Colorado Cutthroat,12,5,"08/09/2014, 14:45",Pool A,Final
ATLiens,DEVYL,11,8,"08/09/2014, 16:30",Pool A,Final
Impulse,Colorado Cutthroat,9,13,"08/09/2014, 16:30",Pool A,Final
pool,Pool B
DiscNW,BUDA Open,12,11,"08/09/2014, 10:45",Pool B,Final
Triforce,Chicago YCC U-19,11,10,"08/09/2014, 10:45",Pool B,Final
DiscNW,Chicago YCC U-19,12,9,"08/09/2014, 14:45",Pool B,Final
Triforce,BUDA Open,11,8,"08/09/2014, 14:45",Pool B,Final
DiscNW,Triforce,11,10,"08/09/2014, 16:30",Pool B,Final
Chicago YCC U-19,BUDA Open,6,13,"08/09/2014, 16:30",Pool B,Final
pool,Pool C
Flying Pig,Nashvillains,13,7,"08/09/2014, 09:00",Pool C,Final
Nightmare Ultimate Boys U19,SEMI (YCC-MI),9,10,"08/09/2014, 09:00",Pool C,Final
Flying Pig,Nightmare Ultimate Boys U19,13,5,"08/09/2014, 10:45",Pool C,Final
Nashvillains,SEMI (YCC-MI),13,3,"08/09/2014, 10:45",Pool C,Final
Flying Pig,SEMI (YCC-MI),13,4,"08/09/2014, 13:00",Pool C,Final
Nightmare Ultimate Boys U19,Nashvillains,3,13,"08/09/2014, 13:00",Pool C,Final
pool,Pool D
DiscNY,INferno,8,10,"08/09/2014, 09:00",Pool D,Final
Rising Tide,Connecticut Insomnia,10,13,"08/09/2014, 09:00",Pool D,Final
DiscNY,Rising Tide,9,10,"08/09/2014, 10:45",Pool D,Final
INferno,Connecticut Insomnia,4,13,"08/09/2014, 10:45",Pool D,Final
DiscNY,Connecticut Insomnia,3,13,"08/09/2014, 13:00",Pool D,Final
Rising Tide,INferno,9,10,"08/09/2014, 13:00",Pool D,Final
pool,Pool E
Minnesota Superior A,South Dakota U19 Open,13,6,"08/09/2014, 09:00",Pool E,Final
Carolina Sky,Deadrise,11,4,"08/09/2014, 09:00",Pool E,Final
Minnesota Superior A,Carolina Sky,11,9,"08/09/2014, 13:00",Pool E,Final
South Dakota U19 Open,Deadrise,6,9,"08/09/2014, 13:00",Pool E,Final
Minnesota Superior A,Deadrise,13,2,"08/09/2014, 14:45",Pool E,Final
Carolina Sky,South Dakota U19 Open,13,5,"08/09/2014, 14:45",Pool E,Final
pool,Pool F
Texas Two Step,Birmingham,14,10,"08/09/2014, 09:00",Pool F,Final
Texas Two Step,Minnesota Superior B,10,4,"08/09/2014, 13:00",Pool F,Final
Birmingham,Minnesota Superior B,10,6,"08/09/2014, 14:45",Pool F,Final
b,r,e,a,k
brackets,Championship Bracket
bracket,Championship
Triforce,Flying Pig,13,8,"08/10/2014, 14:15",1st Finals,Final
ATLiens,Triforce,8,9,"08/10/2014, 12:30",1st Semifinals,Final
BUDA Open,Flying Pig,9,13,"08/10/2014, 12:30",1st Semifinals,Final
ATLiens,Connecticut Insomnia,9,8,"08/10/2014, 10:45",1st Quarters,Final
Texas Two Step,Triforce,8,12,"08/10/2014, 10:45",1st Quarters,Final
Carolina Sky,BUDA Open,4,13,"08/10/2014, 10:45",1st Quarters,Final
Flying Pig,DiscNW,13,12,"08/10/2014, 10:45",1st Quarters,Final
ATLiens,Nashvillains,11,7,"08/10/2014, 09:00",1st Pre-Quarters,Final
Chicago YCC U-19,Connecticut Insomnia,5,13,"08/10/2014, 09:00",1st Pre-Quarters,Final
Colorado Cutthroat,Texas Two Step,7,9,"08/10/2014, 09:00",1st Pre-Quarters,Final
Triforce,Birmingham,9,7,"08/10/2014, 09:00",1st Pre-Quarters,Final
DEVYL,Carolina Sky,9,10,"08/10/2014, 09:00",1st Pre-Quarters,Final
BUDA Open,Minnesota Superior A,11,9,"08/10/2014, 09:00",1st Pre-Quarters,Final
Impulse,Flying Pig,10,13,"08/10/2014, 09:00",1st Pre-Quarters,Final
DiscNW,INferno,12,10,"08/10/2014, 09:00",1st Pre-Quarters,Final
Nashvillains,Rising Tide,13,10,"08/09/2014, 16:30",Sat Crossover,Final
Birmingham,Deadrise,11,10,"08/09/2014, 16:30",Sat Crossover,Final
Carolina Sky,Minnesota Superior B,13,7,"08/09/2014, 16:30",Sat Crossover,Final
INferno,SEMI (YCC-MI),13,8,"08/09/2014, 16:30",Sat Crossover,Final
b,r,e,a,k
brackets,Placement Brackets
bracket,5th Place (tie)
Connecticut Insomnia,Texas Two Step,6,12,"08/10/2014, 12:30",5th Finals,Final
bracket,5th Place (tie)
Carolina Sky,DiscNW,9,11,"08/10/2014, 12:30",5th Finals,Final
bracket,9th Place (tie)
Nashvillains,Chicago YCC U-19,8,9,"08/10/2014, 12:30",9th finals,Final
Nashvillains,Colorado Cutthroat,11,6,"08/10/2014, 10:45",9th Semis,Final
Chicago YCC U-19,Birmingham,10,7,"08/10/2014, 10:45",9th Semis,Final
bracket,13th Place (tie)
Colorado Cutthroat,Birmingham,7,6,"08/10/2014, 14:15",13th Finals,Final
bracket,9th Place (tie)
Minnesota Superior A,DEVYL,11,9,"08/10/2014, 12:30",9th Finals,Final
INferno,Minnesota Superior A,10,12,"08/10/2014, 10:45",9th Semis,Final
Impulse,DEVYL,10,11,"08/10/2014, 10:45",9th Semis,Final
bracket,13th Place (tie)
INferno,Impulse,7,11,"08/10/2014, 14:15",13th Finals,Final
bracket,17th Place
Minnesota Superior B,Rising Tide,0,0,"08/10/2014, 14:15",17th Finals,In Progress
SEMI (YCC-MI),Minnesota Superior B,9,10,"08/10/2014, 12:30",17th Semis,Final
DiscNY,Rising Tide,9,12,"08/10/2014, 12:30",17th Semis,Final
Minnesota Superior B,South Dakota U19 Open,13,8,"08/10/2014, 10:45",17th Quarters,Final
Deadrise,DiscNY,5,8,"08/10/2014, 10:45",17th Quarters,Final
Rising Tide,Nightmare Ultimate Boys U19,13,4,"08/10/2014, 10:45",17th Quarters,Final
bracket,19th Place
SEMI (YCC-MI),DiscNY,5,13,"08/10/2014, 14:15",19th Finals,Final
bracket,21st Place
Deadrise,South Dakota U19 Open,11,8,"08/10/2014, 14:15",21st Finals,Final
Deadrise,Nightmare Ultimate Boys U19,8,6,"08/10/2014, 12:30",21st Semi,Final
b,r,e,a,k
