Southwest D-I College Men's Regionals,College - Men ,3,5,2014
Long Beach,CA,2014-05-03,2014-05-04
https://play.usaultimate.org/events/Southwest-D-I-College-Mens-Regionals/schedule/Men/CollegeMen/
California-San Diego,1
0,Sonny Zaccaro
0,Seam Ham
0,Hidemasa Kato
0,Nickolas  Winter
0,Troy Martinez
0,Marcelo Sanchez-Heredia
0,Leighton Lim
0,Dan Dzoan
0,Adam Meckel
0,Matthew May
0,NICHOLAS RAFTER
1,Simon Higgins
7,Rio Chuck
27,Maximillian Renga
42,Bob Madden
42,Alvin Feng
53,Jarrett Gentile
b,r,e,a,k
UCLA,10
teamInfo,Smaug,"Los Angeles, California",http://smaugultimate.com/,https://www.facebook.com/UclaSmaugUltimate,https://twitter.com/uclaultimate
0,Thomas Murray
0,Andrew Tingley
0,NATHAN BURROUGHS
0,Jarett King
0,DANIEL SHINNERS
0,BEN KRAHENBUHL
0,Matthew Yee
0,TOMMY HUANG
0,JACK CRAMER
0,Alexander Julian
0,Michael Bergman
0,Jason Lee
06,Nils Clauson
08,Jeffrey Voss
09,ANDREW PADULA
12,Nicholas Alexander
14,SAM MCCLURE
15,AUSTIN ZEHR
18,Geoffrey Iyer
19,Joseph Schatzlein
20,Ryan Flamberg
22,Jackson Valler
26,Joshua Adler
34,Jacob Bartholomew
b,r,e,a,k
Southern California,15
teamInfo,USC Men's Ultimate,"Los Angeles, California",http://www.uscmensultimate.com/,,
0,Thomas Lin
0,JASON YUN
0,Bryan DeVore
0,Nick Manos
0,Andre Poon
0,Charles Hankins
0,ALLEN WANG
0,JACK KOPPA
0,VINCENT TSAO
0,Mike Schlesinger
0,TERRENCE  LIU
0,David Bell
0,Tyler Pullen
0,Reece Matsumoto
0,DARREN CHIU
0,VINCENT HUANG
0,Neil Santos
0,Eric Koo
0,Jason Hoffman
1,James Toh
1,CONOR FOX
4,JAMES MAINLAND
10,CHARLES MAI
12,STEVEN GAITTENS
13,Matt Burke
23,Michael Wilson
25,Douglas Jones
31,EVAN WRIGHT
45,Michael Sylvester
51,Akihiro Horie
b,r,e,a,k
California,5
teamInfo,California-Berkeley,"Berkeley, California",www.ugmo.org,,
0,Andy Smith
01,Handson Wu
02,Charles Cao
03,WILLIAM CONNACHER
04,Andrew Lin
07,Zane Rankin
09,Tommy Adams
10,Kohji Sugioka
11,Michael Girard
12,Nick Sparago
13,Alireza Mirafzal
16,Christopher McKeag
17,Vincent Delgado
18,Sean Kilcullen
19,Eric Thewalt
20,Greg Salazar
21,Alexander Max
22,Andrew Ouyang
23,Patrick Lerchi
26,Ari van Schilfgaarde
35,Andrew Goldstein
37,LEE KITTAMS
42,Matt Jaffe
44,MACCALLUM ROBERTSON
49,TRENTON LOGAN
65,Erik Urban
69,Zun Zhang
b,r,e,a,k
California-Santa Cruz,9
teamInfo,Slugs,"Santa Cruz, California",,,
0,Adrian Unkeles
0,NICK FOX
0,Loukas Stelyn
3,Nicholas Agler
4,BOGART LEVESQUE
5,DANIEL KIPNES
8,AARON KIM
9,Brett Petersen
02,GABRIEL TAYLOR
10,Lior Givol
12,Zachary Kawagoe
13,Maxwell Friedmann
14,Dylan Lederle-Ensign
15,Elijah Newbrun-Mintz
16,Matthew Gamarra
17,Zachary Shamroukh
18,Gregory Cohen
20,SETH EISENBERG
22,DANNY ANGEL
22,Louis Samuel
24,JUSTIN BOALS
29,Benjamin Renga
33,Joseph Frelka
37,SAMMY ASTRACHAN
42,Patrick Denney
51,Joseph Tillson
81,Evan Cusack
b,r,e,a,k
Stanford,4
teamInfo,Stanford Bloodthirsty,"Stanford, California",smut.stanford.edu,,https://twitter.com/stanfordblood
coaches,Daniel Silverstein
01,Jamie Nakamura
03,Cody Mills
04,AXEL PALMSTROM
05,Bryan Cheng
06,BRENDAN FREUND
07,DAVID NEWCOMB
08,KEVIN DADE
09,Keaton Nager
11,JORDAN WILLIAMS
13,JOHN KADAVY
15,Michael Lipman
16,TREVOR HOWARTH
17,ROBERT JACKSON
19,GREG HEON
21,Joshuah Kapilivsky
22,ANDREW BLEICH
23,Xavier Jacque Mignot
25,Sam Kunz
27,SAMUEL SCHORR
32,Jordan Marcy
42,KEVIN SAHLIN
44,KELLEN ASERCION
46,Cyrus Ready-Campbell
71,NOLAN WALSH
73,Elliott Chartock
74,Alvin Kim
75,PETER MARACCINI
b,r,e,a,k
Humboldt State,16
teamInfo,Humboldt State Buds,"Arcata, California",,,
0,Nicholas Welch
0,Donovan Davis
0,Thomas Oliver
0,JEFFREY WORCESTER
0,QUINN ROGERS
0,MATTHEW PARKER
0,darren  Lehman
0,Jonathan Whiting
0,JESSIAH MELLOTT
0,SEAN O'CONNELL
0,Travis Digennaro
0,John Mola
6,Christopher Johengen
19,Robert Reyes
29,Bryce Franklin
88,Michael Hoff
b,r,e,a,k
s,t,a,g,e,s
pools,Pool Play
pool,Pool A
California-San Diego,Chico State,13,10,"05/03/2014, 09:00",Pool A,Final
Arizona,Northern Arizona,13,6,"05/03/2014, 09:00",Pool A,Final
California-San Diego,Northern Arizona,13,8,"05/03/2014, 11:00",Pool A,Final
Arizona,Chico State,11,10,"05/03/2014, 11:00",Pool A,Final
California-San Diego,Arizona,13,8,"05/03/2014, 13:00",Pool A,Final
Chico State,Northern Arizona,13,15,"05/03/2014, 13:00",Pool A,Final
pool,Pool B
Arizona State,San Diego State,13,12,"05/03/2014, 09:00",Pool B,Final
California-Santa Barbara,California-Irvine,W,L,"05/03/2014, 09:00",Pool B,Final
Arizona State,California-Irvine,13,9,"05/03/2014, 11:00",Pool B,Final
California-Santa Barbara,San Diego State,W,L,"05/03/2014, 11:00",Pool B,Final
Arizona State,California-Santa Barbara,13,8,"05/03/2014, 13:00",Pool B,Final
San Diego State,California-Irvine,W,L,"05/03/2014, 13:00",Pool B,Final
pool,Pool C
California-Davis,UCLA,13,11,"05/03/2014, 09:00",Pool C,Final
Las Positas,Southern California,W,L,"05/03/2014, 09:00",Pool C,Final
California-Davis,Southern California,W,L,"05/03/2014, 11:00",Pool C,Final
Las Positas,UCLA,13,10,"05/03/2014, 11:00",Pool C,Final
California-Davis,Las Positas,W,L,"05/03/2014, 13:00",Pool C,Final
UCLA,Southern California,13,10,"05/03/2014, 13:00",Pool C,Final
pool,Pool D
Stanford,California-Santa Cruz,10,13,"05/03/2014, 09:00",Pool D,Final
California,Humboldt State,W,L,"05/03/2014, 09:00",Pool D,Final
Stanford,Humboldt State,W,L,"05/03/2014, 11:00",Pool D,Final
California,California-Santa Cruz,13,10,"05/03/2014, 11:00",Pool D,Final
Stanford,California,13,11,"05/03/2014, 13:00",Pool D,Final
California-Santa Cruz,Humboldt State,W,L,"05/03/2014, 13:00",Pool D,Final
b,r,e,a,k
brackets,Brackets
bracket,1st Place
California-Santa Barbara,UCLA,15,9,"05/03/2014, 15:00",Crossovers,Final
Las Positas,San Diego State,0,1,"05/03/2014, 15:00",Crossovers,Final
Northern Arizona,California-Santa Cruz,0,1,"05/03/2014, 15:00",Crossovers,Final
Stanford,Arizona,15,10,"05/03/2014, 15:00",Crossovers,Final
California-San Diego,California-Santa Barbara,15,8,"05/04/2014, 09:00",1st Place Quarters,Final
California,San Diego State,1,0,"05/04/2014, 09:00",1st Place Quarters,Final
California-Davis,California-Santa Cruz,15,14,"05/04/2014, 09:00",1st Place Quarters,Final
Arizona State,Stanford,15,8,"05/04/2014, 09:00",1st Place Quarters,Final
California-San Diego,California,14,13,"05/04/2014, 11:00",1st Place Semis,Final
California-Davis,Arizona State,14,10,"05/04/2014, 11:00",1st Place Semis,Final
California-San Diego,California-Davis,15,10,"05/04/2014, 13:00",1st Place Finals,Final
bracket,3rd Place
California,Arizona State,0,0,"05/04/2014, 13:00",3rd Place,Scheduled
bracket,5th Place
California-Santa Barbara,San Diego State,0,0,"05/04/2014, 11:00",5th Place Semis,Scheduled
California-Santa Cruz,Stanford,0,0,"05/04/2014, 11:00",5th Place Semis,Scheduled
bracket,9th Place
Chico State,UCLA,0,0,"05/04/2014, 09:00",9th Place Quarters,Scheduled
Humboldt State,Las Positas,0,0,"05/04/2014, 09:00",9th Place Quarters,Scheduled
California-Irvine,Northern Arizona,0,0,"05/04/2014, 09:00",9th Place Quarters,Scheduled
Southern California,Arizona,0,0,"05/04/2014, 09:00",9th Place Quarters,Scheduled
bracket,11th Place
bracket,13th Place
bracket,15th Place
b,r,e,a,k
