Southerns,College - Men ,21,3,2014
Statesboro,GA,2014-03-21,2014-03-23
https://play.usaultimate.org/events/Southerns/schedule/Men/CollegeMen/
LSU,1
teamInfo,MIT,"Cambridge, Massachusetts",,https://www.facebook.com/pages/MIT-Mens-Ultimate/129768873797702,https://twitter.com/MITultimate
01,ALEXANDER  JACKSON
03,BRANDON TRAN
04,JOEL BROOKS
06,Justin Carrus
08,DILLON GARDNER
11,Gil Goldshlager
17,HAO LI
20,Brandon Nadres
22,Jonathan Lambert
27,Douglas Chambers
55,THOMAS AVILA
b,r,e,a,k
Williams,2
teamInfo,Williams,"Williamstown, Massachusetts",,,
01,Conor Dowling
02,Douglas Wassarman
03,MATT ROCK
05,Victor Luo
06,Hartley Greenwald
08,JOSH NIMER
09,Llewellyn Smith
10,JACOB BLAU
11,THOMAS ENGLEBY
13,AMIR HAY
14,Brian Cintron
15,Willem Humes
17,Samuel Austin
19,DAVID KRUGER
21,Harrison Gatlin
25,Emmett Blau
31,Matthew Jang
37,JACKSON SCHER
42,Matt Radford
54,Chris Stefanik
72,Matthew Goss
91,DANIEL LEVINE
99,JOHN RUSSELL
b,r,e,a,k
UCLA,8
teamInfo,Smaug,"Los Angeles, California",http://smaugultimate.com/,https://www.facebook.com/UclaSmaugUltimate,https://twitter.com/uclaultimate
0,Thomas Murray
0,BEN KRAHENBUHL
0,NATHAN BURROUGHS
0,Matthew Yee
0,TOMMY HUANG
0,Jarett King
0,Andrew Tingley
0,JACK CRAMER
0,Alexander Julian
0,Michael Bergman
0,Jason Lee
0,DANIEL SHINNERS
08,Jeffrey Voss
09,ANDREW PADULA
12,Nicholas Alexander
14,SAM MCCLURE
15,AUSTIN ZEHR
18,Geoffrey Iyer
19,Joseph Schatzlein
20,Ryan Flamberg
22,Jackson Valler
23,Nils Clauson
26,Joshua Adler
34,Jacob Bartholomew
b,r,e,a,k
Georgia Southern,11
teamInfo,Eagles,"Statesboro, GA, Georgia",modules/common/gsultimate.com,,https://twitter.com/GASo_Ultimate
0,KALEB HUTTO
0,William Miller
0,Jones Durham
0,BRANDON PENATZER
0,Robert Wilson
0,JAMES NEEDHAM
1,James ONeal (Neal) Hollis
3,WILLIAM PAPLEACOS
4,Aidan Rogers
6,Philip Long
9,NATHANIEL ALBERS
10,CARVER WESTENDORFF
12,Blaine Brown
13,ANDREW ROBERTSON
14,NICK PAWLOWSKI
15,Blake Michal
16,Mathew Johnson
19,Rashad Weeks
21,Samuel Trent
22,AHMAD WEEKS
25,Andrew Bogle
28,THOMAS SOWELL
36,Logan Rice
47,Brannon Thompson
78,Matthew Smith
85,DANIEL STEVENSON
88,Tyler Hedges
b,r,e,a,k
Charleston,14
teamInfo,Palmetto Bums,"Charleston, South Carolina",,,
00,MICHAEL MILLER
00,Andrew Rodman
00,Tanner Wharton
00,Nicholas Hocking
00,Oddom Vong
00,Will Cretsinger
00,Matthew MacPhail
00,JAMES POOLE
00,Hunter Nadeau
00,Chris Bates
02,Ryan Saffa
05,Matthew Olivetti
13,GARRETT TIDSWORTH
b,r,e,a,k
Valdosta State,5
teamInfo,Antiques Throw Show,"Valdosta, Georgia",http://vstateultimate.weebly.com/,https://www.facebook.com/groups/143182232436822/,
01,Matthew Pigg
06,Matthew Langston
09,Adam Cross
10,Marc Rees
12,Matt Lardy
13,Justin Horne
15,Austin Kile
16,NICHOLAS COLLINS
17,Travis Matthews
19,Lyle Caballes
20,Damone Mitchell
21,CRAIG BELL
23,Jason Champ
25,Will Rozier
27,Damond Jenkins
28,William Tomlinson 
34,Jordan Hardee
b,r,e,a,k
Minnesota-Duluth,3
teamInfo,Northern Lights,"Duluth, Minnesota",,,
0,David Huber
01,JACOB ANDERSON
02,Adam Shearen
03,Andrew Pipp
05,DAVID MACH
06,BEN CAMMACK
07,Josh Lemieux
10,Tristan Grovender
12,Frank Fairchild
13,Jordan Vlastuin
14,JACOB PROVART
15,Dylan Brandell
22,Robert  Kostick
23,WILLIAM DOHERTY
24,ANDREW ROBERTS
28,Brian LaFrance
30,Curtis Cammack
34,James Kittlesen
35,Shaun LaFrance
42,Matt Burkhardt
55,Carlos Wolle
71,Chizoba Anosike
92,Martin Stecker
b,r,e,a,k
Tennessee-Chattanooga,4
teamInfo,Swamp Donkeys,"Chattanooga, Tennessee",,https://www.facebook.com/pages/UTC-Ultimate-Frisbee/688460324541637,https://twitter.com/UTCSwamp
0,David Thomas
3,Zack Avello
4,Blake Waldron
6,AUSTIN RUNYON
7,Brian Taylor
8,Tony Pier
11,Timothy Barczak
14,Cody Havens
27,Aaron Hazen
45,Foster Foy
62,David McKay
b,r,e,a,k
Miami,10
teamInfo,Miami Cartel,"Coral Gables, Florida AX",,https://www.facebook.com/UniversityOfMiamiUltimateClub,
0,NICHOLAS NOLAN
0,Charles Marokhovsky
0,SAMUEL MARTI
0,Eric Harkaway
0,MATTHEW KENYON
0,JEREMIAH HASSETT
0,KYLE EVANS-LEE
0,Daniel Scribner
0,Richard Hankins
0,Carlos Morales
5,Alex Zacharkiewicz
9,Benjamin O'Brien
10,Byron Fang
28,LUKE FRENTSOS
b,r,e,a,k
Towson,9
teamInfo,Pandamonium,"Towson, Maryland",,,
00,Rob Bowersox
00,DAMIAN MALAGARI
00,Dan  Henry
00,Viktor Polyak
00,Jeff Kunkle
00,MATTHEW MANZO
00,PATRICK JANUS
00,Daniel Baumann
00,Nathan Cromer
00,Jack Wong
00,Kevin Baker
00,BRENNAN MCPHERSON
00,John Brown
00,Nick Malagari
00,TJ Sebastian
00,Alexander Antolick
00,Chase Turner
00,ERIC FELTON
00,Bradley Sheahin
00,Mike McComiskey
00,Austin Davis
00,Andrew Burlin
00,James Collins
00,Patrick Peluso
00,Daniel Kaste
b,r,e,a,k
Florida State (B),15
teamInfo,DUF Lite,"Tallahassee, Florida",http://www.fsultimate.com/mens-ultimate,,
0,TYLER LEVESQUE
0,Kevin Wichlin
0,JAVIER LORES
1,DAVID WITMAN
2,Ari Lieberman
5,Jacob Larsen
7,MATTHEW ISABELLE
9,RUBEN LANE FORSMAN
10,Alexander Kristal
11,JAMES MUDGE
13,John T
16,COLE STADE
17,A.J. Vaughan
18,Brennan Fussman
21,KYLE GOSIEWSKI
22,Spencer Howett
23,Peter Backhaus
27,BRADLEY PATTERSON
30,JEREMY SANCHEZ
31,MATHEW MILLER
35,Michael (Dalton) Carter
93,HERBERT DESPAGNE
b,r,e,a,k
South Florida,16
teamInfo,ScallyWags,"Tampa, Florida",,modules/common/facebook.com/usfultimate,twitter.com/usfultimate
0,Shane Voshell
0,Ian Lynch
1,Jody Louis
2,JASON TACKETT
4,Rocco Davis
7,HANIF CARROLL
10,EVAN DYKE
21,Keith Patterson
23,ZACK BENHAM
25,Craig Johnson
33,JESSE GOLDSMITH
35,Joseph Stephenson
39,CHRISTIAN AVILA
40,ADAM WOODARD
43,JORDAN WILLIAMS
47,ALEX KNAPP
66,STEPHEN KAYWELL
87,TAD PALMER
88,Matt Chandler
99,Garth Reimann
b,r,e,a,k
Florida (B),21
teamInfo,Florida,"Gainesville, Florida",,,
0,TOM WILKEY
0,CORY ANDERSON
0,Brian Palmer
0,Parks Weatherford
3,Jose Varillas
6,Daniel Conrad
11,TROY BRYANT
20,LEE BOWMAN
21,Danny Wilson-Simpson
27,Brandon Smock
b,r,e,a,k
Georgia (B),22
teamInfo,Chillydawgs,"Athens, Georgia",,https://www.facebook.com/Chillydawgs,https://www.twitter.com/Chillydawgs
0,MICHAEL CHENG
3,JOEY LAMATTINA
4,BLAKE HIGHTOWER
5,TYLER CROMWELL
9,MICHAEL DELROSSI
10,Joel Medford
11,Thomas Nuckols
12,ALESSIO CALIGARIS
13,Robert Farrington
14,Avery Robinson
16,DANIEL SALTER
21,ADRIEN PORZIO
23,BEN WEINTRAUT
25,RYAN NELSON
27,Patrick Massey
31,AUSTIN DECUIR
33,CORIN ROGERS
42,Joe Morris
56,Eli LoCicero
73,RYAN CHITWOOD
94,JOSH (Kitty) ANDREWS
99,Alexander Lawrence
b,r,e,a,k
TEAM_NAME_NOT_FOUND,27
b,r,e,a,k
St Olaf,17
teamInfo,Berzerkers,"Northfield, Minnesota",,,
0,JAMES HANSEN
2,JORDAN SCHMITZ
3,MARK EMMONS
4,EVAN WESELMANN
5,VINH BUI
6,ISAAC RYSDAHL
7,Rolf Bergford
8,JOSEPH RYNASKO
9,JAMES GRACE
10,Samuel Brand
11,Benjamin Liska
12,Weston Birnbaum
13,Douglas  Binder
15,IAN WALLACE
17,DONNY HARDER
18,JEFFREY HUDSON
21,ERIK JONES
22,HANS CHRISTENSON
27,DAVID ANDERSON
33,Daniel Bynum
38,ANDREW HOISINGTON
48,John Knapp
50,BENJAMIN AASTUEN
54,MATTHEW GREENE
69,DOMINIC BOWER
b,r,e,a,k
Emory,20
teamInfo,Emory Juice,"Atlanta, Georgia",,,https://twitter.com/EmoryJuice
coaches,Matt Theisen
0,AARON FISHER
0,BENJI TRANGLE
0,KEVIN LEE
0,Ishaan Dave
0,JACOB WHITACRE
0,WILLIAM GODWIN
0,BENNETT OSTDIEK
0,JAMES CRISSMAN
0,Hersh Agarwal
0,NOAH ADLER
0,BRIAN BREEDEN JR
0,Christian Olsen
0,Gideon Weiss
0,JONATHAN PARK
0,Nathan Janick
0,Caleb Parsons
0,Bradley Mintz
0,Jeremy Zackon
0,JOSHUA BRZINSKI
0,MARCUS RILEY
0,Elijah Nwefo
1,DANIEL GILSTRAP
9,Zachary Schuyler
14,Emre Can
15,Joshua Feng
16,David Kim
69,Michael Mazursky
92,Matthew Cook
b,r,e,a,k
Old Dominion,23
teamInfo,Monarchs,"Newport News, Virginia",,,
b,r,e,a,k
Georgia Gwinnett,26
teamInfo,BÄR,"Lawrenceville, Georgia",modules/common/www.ggcultimate.com,https://www.facebook.com/ggcbears,https://twitter.com/GGCUltimate
0,Zachary Hart
1,WALTER DERBY
3,Jack Cantrell
6,Samuel Lannon
8,Omar Zuniga
10,Patrick Wortman
16,Benjamin  Johnson
17,Andrew (AJ) Johnson
18,Andrew Gerlach
19,Nicholas Llena
20,ZACHARY FOSTER
21,Jarrod Sinnock
23,Kyle Devins
24,Austin Schlosser
33,Mitch Weintraub
59,Tyler Thornton
69,Nghi Vo
71,Mitch Anderson
87,Gino Mattace
99,Ben Llena
b,r,e,a,k
Appalachian State,18
teamInfo,Nomads,"Boone, North Carolina",,,
0,Anthony Morlacci
0,JOSHUA RITCHIE
0,NILE LATOWSKY
0,BRYAN MAASS
0,Kevin Sewell
1,Justin Allen
2,Caleb Ritchie
3,Ryan  Schanz
4,Michael Haigh
5,RURICK KELLERMANN
8,Benj Thomsen
11,Adam Russell
12,CROSBY TAYMORE
12,Austin Olive
13,Mikko Rich-Voorhees
17,NICHOLAS GILLIAM
20,Alex Riek
23,Jeff Nordgren
27,KEVIN BYRLEY
29,Mark Stumpf
33,Jeffrey Colby
46,Brian Hee
47,Alexander Nicholos
49,Ryan Rhodes
72,ROB SPRANKLE
83,Ian Barry
93,Ian Combest
99,Santino Thornton
b,r,e,a,k
Georgia College,19
teamInfo,Disconnected,"Milledgeville, Georgia",http://www.gcultimate.com,https://www.facebook.com/GeorgiaCollegeDisconnected,
0,James Moore
0,TRAVER BATSON
0,NOLAN KLINKE
0,Justin Poole
0,TAYLOR RAY
0,GUNNAR MENDIOLA
0,Joseph Vives
0,Caleb Shorthouse
0,Patrick Gonzalez
0,Ian Agnew
0,Nicholas Borain
0,Raymond Haley
1,Charles Morris
2,Joshua Bush
7,Nathan Vickroy
10,Adam Burgess
11,james mitchell
22,Zachary Watford
25,Robert Hunt
47,ALEX KELLY
69,FELIX JAFFIN
b,r,e,a,k
Wake Forest,25
teamInfo,"Well Oiled Machine, Baby","Winston-Salem, North Carolina",http://groups.wfu.edu/ultimate/,https://www.facebook.com/groups/64778716459,https://twitter.com/WFUltimate
4,Matthew Bachner
6,Patrick McKendry
9,Tyler Dean
10,Taylor Peretz
11,John Kerman
12,ANTHONY BLEYER
13,Jay Sehgal
15,DAVID CRESPI
16,Nicholas Lepley
17,SEAN GANNON
18,Ismael Salgado
19,BEN ADAMS
20,LEE BEGELMAN
22,RYAN KOSKI-VACIRCA
23,JOHN ZMUDA
26,Tim Kreutzfeldt
27,Joel Diamond
32,FREDERICK LIU
33,Jesse Hynes
34,Cole Brewer
36,Sean McKeown
37,AARON LAZARUS
39,Matthew Avara
66,PETER ELLIS
76,PATRICK DOYLE
77,Will Enderle
87,Kevin Finnegan
b,r,e,a,k
Carleton College-GOP,24
teamInfo,Carleton GOP,"Northfield, Minnesota",,,
00,Eric Angell
00,Nelson Rohrbach
00,Michael Massad
00,GILAD EISBRUCH
00,Andy Rodgers
00,DANIEL BLACK
05,Matt Godfrey
08,DANIEL BARTER
09,Brandon Taitt
10,MICHAEL CHAPPELL
11,Kenny Harvey
14,DREW HOLMEN
20,Charles Cross
21,IAN FISCHER
23,SAMUEL WHITE
24,DEVON MANBER
25,Robert Yeagle
42,MAXWELL WILLARD
60,JAKE YANOVIAK
67,ANDERS BERGLUND
88,Benjamin Longchamp
99,Thomas Grodzicki
b,r,e,a,k
Georgia (C),35
teamInfo,Underdawgs,"Athens, Georgia",,,@ugaunderdawgs
04,Michael Salter
11,Joey Morrow
33,Edward Stephens
84,JAMES NEWTON
b,r,e,a,k
Luther (B),28
teamInfo,Pound,"Decorah, Iowa",,,https://twitter.com/LutherPound
02,Michael Espey
04,Colin Robinson
05,Aaron Hubler
06,ERIK DOTSETH
08,Hans Kittleson
09,JESSE HITZ GRAFF
11,BEN STOFFERAHN
13,Michael Callen
14,DANIEL HERMAN
16,JOSHUA DAVIS
17,Jarrod Klopp
18,MICHAEL LOHER
20,GRANT SWANSSON
21,Adam Winter
25,Tyler Crowe
29,ISAAC HITZ GRAFF
32,Gabriel Eide
42,Carter Holmes
50,JOSEPH LANE
77,Brian Eachus
93,Nicholas McGrory
99,Alec Henderson
b,r,e,a,k
South Florida (B),31
teamInfo,Scourge,"Tampa, Florida",,https://www.facebook.com/USFUltimate,@usfultimate
0,BRANDON THEBEAU
0,Brandon Shine
0,KEVIN KOVAC
0,Andrew Romero
0,Mohammed Judeh
0,Trevor Young
0,Scott DeLuca
0,Jared Sanchez
0,Connor Vice
0,RODRIGO ANGULO
0,Jared Varnum
12,MCGREGOR COYNE
18,Alex DeSouza
42,Jason Norwood
b,r,e,a,k
Chicago (B),32
teamInfo,Hedonism Bots,"Chicago, Illinois",,,
0,WILLIAM CRAMER
0,William Wilcox
0,John Haggerty
0,Ryan Thiermann
0,Matthew Schiffman
0,RYAN KROCKER
15,BRIAN RESZUTEK
b,r,e,a,k
Southern Polytech State,36
teamInfo,Pure Bliss,"Marietta, Georgia",http://ultimate.spsu.edu/,,
00,Micah Bates
05,Davis Elder
11,Isaac Smith
12,Michael Cave
14,Evan  Linek
21,Cody Meeks
23,WILLIAM ROWE
24,JORDAN FREEMAN
31,Waseem Lakhani
33,Lee Davis
36,Sebastian Perez Ramirez
51,Teshaun Francis
72,Alex  Daly
b,r,e,a,k
Armstrong Atlantic,30
teamInfo,Pirate Ultimate,"Savannah, Georgia",,,
0,Ashton Cubbedge
6,Robert Kirkum
7,Alex Butler
8,Luke Cobb
11,Brett Becker
15,Harrison Kirch
17,Skyler Pitts
18,Kevin  Huet
19,Nicholas Crump
20,JOSHUA LAFOND
22,Sean Farrell
29,Thomas Allen
36,Kathryn Ashmore
68,Anthony Keyes
99,Joshua Swain
b,r,e,a,k
Young Harris,34
teamInfo,Dies Irae,"Young Harris, Georgia",modules/common/n/a,modules/common/n/a,n/a
coaches,DEVEN SIESEL
0,Kyle Wade
4,Robert Payne
00,Kaleb Swanda
01,Fernando Serrano
03,Stephen  Kuni
06,TATE RIZOTI
07,Chase Blair
09,Brian Giafaglione
10,Andrew Postell
11,Tyler Gunnin
13,Cody Decker
16,Chris  Yenney
21,Trevor Rich
22,david finney
31,BRANDON RENNOLDS
53,Philip Uys
54,Jared Lee
66,DREW MILNER
b,r,e,a,k
St Olaf (B),29
teamInfo,SOB,"Northfield, Minnesota",,,
00,Andrew Yarger
00,Miller LaMotte
00,ROBERT WANKEL
00,Cole Conner
00,ROBERT SABOTA
00,Nick Wahl
00,Alexander Pham
00,Dimitri Culpepper
00,Carl Graefe
00,Nate LeBrun
00,SIMON SCHOLTEN
00,Nathan Luttenegger
00,Andrew O'Neill
00,Eric Peterson
00,LUKAS LEBENS
b,r,e,a,k
Princeton (B),33
teamInfo,Clockwork B,"Princeton, New Jersey",,,
00,Robert DeLuca
00,Blake Lawson
00,Eric Blum
09,THOMAS COLOCCI
13,James Almeida
24,Mark Tengi
26,Simon Gee
33,Jeremy Zullow
34,Hunter Rex
35,Ted Callon
57,Jesse Ramirez
93,Alec Jacob Ranzato
b,r,e,a,k
s,t,a,g,e,s
pools,A-C Pool Play
pool,Pool A
LSU,MIT,13,4,"03/22/2014, 08:20",Pool A,Final
Chicago,Princeton,13,10,"03/22/2014, 08:20",Pool A,Final
LSU,South Carolina,12,9,"03/22/2014, 10:00",Pool A,Final
Princeton,MIT,13,9,"03/22/2014, 10:00",Pool A,Final
Chicago,MIT,13,9,"03/22/2014, 11:40",Pool A,Final
South Carolina,Princeton,11,13,"03/22/2014, 11:40",Pool A,Final
LSU,Princeton,13,4,"03/22/2014, 13:20",Pool A,Final
Chicago,South Carolina,13,8,"03/22/2014, 13:20",Pool A,Final
LSU,Chicago,13,6,"03/22/2014, 15:00",Pool A,Final
South Carolina,MIT,13,6,"03/22/2014, 15:00",Pool A,Final
pool,Pool B
Williams,Charleston,13,0,"03/22/2014, 08:20",Pool B,Final
Valdosta State,Georgia Southern,8,13,"03/22/2014, 08:20",Pool B,Final
Williams,UCLA,13,10,"03/22/2014, 10:00",Pool B,Final
Georgia Southern,Charleston,13,5,"03/22/2014, 10:00",Pool B,Final
UCLA,Georgia Southern,12,10,"03/22/2014, 11:40",Pool B,Final
Valdosta State,Charleston,4,13,"03/22/2014, 11:40",Pool B,Final
Valdosta State,UCLA,4,13,"03/22/2014, 13:20",Pool B,Final
Williams,Georgia Southern,13,2,"03/22/2014, 13:20",Pool B,Final
Williams,Valdosta State,13,5,"03/22/2014, 15:00",Pool B,Final
UCLA,Charleston,12,8,"03/22/2014, 15:00",Pool B,Final
pool,Pool C
Tennessee-Chattanooga,Towson,13,5,"03/21/2014, 13:20",Pool C,Final
Minnesota-Duluth,Florida State (B),13,1,"03/22/2014, 08:20",Pool C,Final
Tennessee-Chattanooga,Miami,13,7,"03/22/2014, 08:20",Pool C,Final
Minnesota-Duluth,Towson,13,3,"03/22/2014, 10:00",Pool C,Final
Miami,Florida State (B),13,6,"03/22/2014, 10:00",Pool C,Final
Towson,Miami,9,13,"03/22/2014, 11:40",Pool C,Final
Tennessee-Chattanooga,Florida State (B),12,8,"03/22/2014, 11:40",Pool C,Final
Minnesota-Duluth,Miami,13,2,"03/22/2014, 13:20",Pool C,Final
Minnesota-Duluth,Tennessee-Chattanooga,13,4,"03/22/2014, 15:00",Pool C,Final
Towson,Florida State (B),13,10,"03/22/2014, 15:00",Pool C,Final
b,r,e,a,k
pools,D-F Pool Play
pool,Pool D
South Florida,Georgia (B),13,3,"03/22/2014, 08:20",Pool D,Final
Florida (B),TEAM_NAME_NOT_FOUND,W,F,"03/22/2014, 08:20",Pool D,Final
South Florida,TEAM_NAME_NOT_FOUND,W,F,"03/22/2014, 10:00",Pool D,Final
Florida (B),Georgia (B),11,7,"03/22/2014, 10:00",Pool D,Final
South Florida,Florida (B),12,11,"03/22/2014, 11:40",Pool D,Final
Georgia (B),TEAM_NAME_NOT_FOUND,W,F,"03/22/2014, 11:40",Pool D,Final
pool,Pool E
St Olaf,Old Dominion,13,5,"03/22/2014, 08:20",Pool E,Final
Emory,Georgia Gwinnett,13,10,"03/22/2014, 08:20",Pool E,Final
St Olaf,Georgia Gwinnett,13,6,"03/22/2014, 10:00",Pool E,Final
Emory,Old Dominion,13,9,"03/22/2014, 10:00",Pool E,Final
St Olaf,Emory,13,5,"03/22/2014, 11:40",Pool E,Final
Old Dominion,Georgia Gwinnett,13,11,"03/22/2014, 11:40",Pool E,Final
pool,Pool F
Appalachian State,Carleton College-GOP,7,13,"03/22/2014, 08:20",Pool F,Final
Georgia College,Wake Forest,11,8,"03/22/2014, 08:20",Pool F,Final
Appalachian State,Wake Forest,12,9,"03/22/2014, 10:00",Pool F,Final
Georgia College,Carleton College-GOP,14,13,"03/22/2014, 10:00",Pool F,Final
Appalachian State,Georgia College,10,8,"03/22/2014, 11:40",Pool F,Final
Carleton College-GOP,Wake Forest,10,13,"03/22/2014, 11:40",Pool F,Final
b,r,e,a,k
pools,G-H Pool Play
pool,Pool G
Luther (B),Southern Polytech State,13,8,"03/22/2014, 08:20",Pool G,Final
South Florida (B),Georgia (C),9,11,"03/22/2014, 08:20",Pool G,Final
Luther (B),Chicago (B),13,6,"03/22/2014, 10:00",Pool G,Final
Georgia (C),Southern Polytech State,13,5,"03/22/2014, 10:00",Pool G,Final
Chicago (B),Georgia (C),6,13,"03/22/2014, 11:40",Pool G,Final
South Florida (B),Southern Polytech State,12,5,"03/22/2014, 11:40",Pool G,Final
South Florida (B),Chicago (B),13,3,"03/22/2014, 13:20",Pool G,Final
Luther (B),Georgia (C),10,11,"03/22/2014, 13:20",Pool G,Final
Luther (B),South Florida (B),11,6,"03/22/2014, 15:00",Pool G,Final
Chicago (B),Southern Polytech State,12,8,"03/22/2014, 15:00",Pool G,Final
pool,Pool H
Armstrong Atlantic,Young Harris,12,4,"03/22/2014, 08:20",Pool H,Final
St Olaf (B),Princeton (B),13,9,"03/22/2014, 10:00",Pool H,Final
Princeton (B),Young Harris,5,13,"03/22/2014, 11:40",Pool H,Final
Armstrong Atlantic,Princeton (B),13,3,"03/22/2014, 13:20",Pool H,Final
St Olaf (B),Young Harris,5,13,"03/22/2014, 13:20",Pool H,Final
St Olaf (B),Armstrong Atlantic,7,13,"03/22/2014, 15:00",Pool H,Final
b,r,e,a,k
clusters,Crossovers
cluster,Crossovers
Appalachian State,Georgia Gwinnett,13,7,"03/22/2014, 15:00",,Final
South Florida,Wake Forest,13,11,"03/22/2014, 15:00",,Final
St Olaf,TEAM_NAME_NOT_FOUND,W,F,"03/22/2014, 15:00",,Final
Florida (B),Emory,13,12,"03/22/2014, 15:00",,Final
Georgia College,Georgia (B),13,11,"03/22/2014, 15:00",,Final
Old Dominion,Carleton College-GOP,3,13,"03/22/2014, 15:00",,Final
b,r,e,a,k
brackets,1-8 Bracket
bracket,Championship
Georgia (C),Armstrong Atlantic,11,10,"03/23/2014, 08:00",1st PrePreQuarters,Final
Miami,Wake Forest,8,15,"03/23/2014, 08:00",1st PrePreQuarters,Final
Georgia Southern,Old Dominion,13,15,"03/23/2014, 08:00",1st PrePreQuarters,Final
Princeton,Carleton College-GOP,5,15,"03/23/2014, 08:00",1st PrePreQuarters,Final
LSU,Georgia (C),15,4,"03/23/2014, 09:50",1st PreQuarters,Final
St Olaf,Wake Forest,12,9,"03/23/2014, 09:50",1st PreQuarters,Final
Minnesota-Duluth,Old Dominion,15,5,"03/23/2014, 09:50",1st PreQuarters,Final
UCLA,Tennessee-Chattanooga,11,14,"03/23/2014, 09:50",1st PreQuarters,Final
South Florida,Georgia College,15,5,"03/23/2014, 09:50",1st PreQuarters,Final
Appalachian State,Emory,16,14,"03/23/2014, 09:50",1st PreQuarters,Final
Chicago,Florida (B),15,8,"03/23/2014, 09:50",1st PreQuarters,Final
Williams,Carleton College-GOP,15,10,"03/23/2014, 09:50",1st PreQuarters,Final
LSU,St Olaf,13,9,"03/23/2014, 11:40",1st Quarters,Final
Minnesota-Duluth,Tennessee-Chattanooga,14,12,"03/23/2014, 11:40",1st Quarters,Final
South Florida,Appalachian State,10,13,"03/23/2014, 11:40",1st Quarters,Final
Chicago,Williams,11,14,"03/23/2014, 11:40",1st Quarters,Final
LSU,Minnesota-Duluth,8,12,"03/23/2014, 13:30",1st Semis,Final
Appalachian State,Williams,10,12,"03/23/2014, 13:30",1st Semis,Final
Minnesota-Duluth,Williams,15,9,"03/23/2014, 13:30",1st Finals,Final
bracket,3rd Place
LSU,Appalachian State,16,17,"03/23/2014, 15:20",3rd Finals,Final
bracket,5th Place
St Olaf,Tennessee-Chattanooga,11,12,"03/23/2014, 13:30",5th Semis,Final
South Florida,Chicago,15,10,"03/23/2014, 13:30",5th Semis,Final
Tennessee-Chattanooga,South Florida,15,14,"03/23/2014, 15:20",5th Finals,Final
bracket,7th Place
St Olaf,Chicago,12,7,"03/23/2014, 15:20",7th Finals,Final
b,r,e,a,k
brackets,9-16 Bracket
bracket,9th Place
Georgia (C),Wake Forest,3,11,"03/23/2014, 11:40",9th Quarters,Final
Old Dominion,UCLA,5,15,"03/23/2014, 11:40",9th Quarters,Final
Georgia College,Emory,9,6,"03/23/2014, 11:40",9th Quarters,Final
Florida (B),Carleton College-GOP,10,13,"03/23/2014, 11:40",9th Quarters,Final
Wake Forest,UCLA,12,14,"03/23/2014, 13:30",9th Semis,Final
Georgia College,Carleton College-GOP,0,1,"03/23/2014, 13:30",9th Semis,Final
UCLA,Carleton College-GOP,12,15,"03/23/2014, 15:20",9th Finals,Final
bracket,11th Place
Wake Forest,Georgia College,1,0,"03/23/2014, 15:20",11th Finals,Final
bracket,13th Place
Georgia (C),Old Dominion,0,1,"03/23/2014, 13:30",13th Semis,Final
Emory,Florida (B),15,14,"03/23/2014, 13:30",13th Semis,Final
Old Dominion,Emory,0,1,"03/23/2014, 15:20",13th Finals,Final
bracket,15th Place
Georgia (C),Florida (B),0,0,"03/23/2014, 15:20",15th Finals,Scheduled
b,r,e,a,k
brackets,17-27 Brackets
bracket,17th Place
