Revolution 2014,Club - Mixed ,19,7,2014
https://play.usaultimate.org/events/Revolution-2014/schedule/Mixed/Club-Mixed
Groove,3
0,ALLISON YOCHIM
0,Matthew Rubashkin
0,Ian Cutler
3,Jeffro Valeros
9,"Dana ""Zuul"" Nelson"
39,Dan Morris
43,MATT SCOTT
b,r,e,a,k
7 Figures,2
0,Carter Thallon
0,Jacob Bartholomew
0,Alisha Stoun
0,Caitlin Rugg
0,KAILY  SMITSON
0,Orin Moore
0,Emma Frankel
0,Sophie Hines
0,Connie Wang
0,Christopher Feeney
0,Erika Swanson
0,Lisa Welsh
2,Daniel Oettinger
3,Annie Lee
4,Kristen Pojunis
5,Joseph Forbes
7,Eric Brach
8,Gary Molano
9,Nils Clauson
11,Aaron Jacobs
12,Daniel Smeltzer
16,Ryan Plant
19,Ann Lee
30,Russell Gaskamp
32,Daniel Walton
80,Brandon Severson
84,Matthew Welsh
b,r,e,a,k
American Barbecue,4
0,Mike Weil
0,Noel Arsenault
0,Kevin Manss
0,JACK MOXON
0,Sarah Carnahan
0,James Sheridan
0,Molica Anderson
0,COLIN MORGAN-OUTHISACK
0,YVETTE FISHER
0,Dan Parker
0,ANGELA HUNT
0,Marlena Hartman-Filson
0,NICOLE WIRES
0,Andrew Hooker
0,Brandon Kwock
0,RYAN HUNT
0,Jake Coleman
0,NICK AUGER
0,Caroline Loh
0,MEGAN MCCLAIN
0,LYUDA GRIGORIEVA
2,Damian Park
16,Jason Seidler
25,ALLISON FINK
b,r,e,a,k
Seattle Freeze,8
1,Colin Clauset
2,CONSTANCE DUONG
3,Taesan Hose
4,ROSS O'BRIEN
5,CHRISTINA BRONSKY
6,Theodore Laws
7,CHESTER MILLISOCK
8,Hannah Sherwood
10,EMILY SLACK
12,ROB ATLAS
14,Dan  Greeley
17,Kristin Poinar
18,ERICA  CONRAD
22,CRAIG BECKER
23,STEPHEN ZAVALETA
27,Alpha Chen
47,Juliana Williams
64,AUGUSTUS LIDAKA
75,Riley O'Neill
84,Roman Ryan
b,r,e,a,k
Blackbird,5
0,David Hoel
03,Krista McDonald
07,Rachel Holz
08,Hannah M Kreilkamp
09,Adam Farren
10,Jonathan (Tyler) Boyd-Meredith
11,Barrs Lang
12,Casey Ikeda
14,Mia Hagen
17,ANNE-FRANZISKA SINNER
21,ADAM SCOW
22,NICHOLAS SLOVAN
24,KAREN KO
28,Sheeva Slovan
33,MONICA HEGER
42,AARON CAULFIELD
50,Josh Wardle
b,r,e,a,k
Capitol Punishment,9
0,MAX KINKEAD
0,Veronica Chan
0,Warren Kinson
0,LANEY OLSON
0,JENNIFER HSUEH
0,LINDSEY STRATTON
0,ANA PETERSON
0,Robert Mertz
0,Connor Levesque
0,ZACHARY DILLOW
0,JASON LUDDEN
0,ABIGAIL BATES
0,Logan Greenwood
0,DAVID SCHUSTER
0,ARMAND DEBOSE
0,LAUREN HUFTILL-Balzer
0,Joshua Bates
8,JANELLE RILEY
9,Nina Vollmer
12,Trung Pham
15,Alison Griffith
23,Kristina Geddert
29,Chad Encinas
45,Michael Colton
b,r,e,a,k
Sports Team,20
03,Michael Tseng
07,ANDREW HO
08,Alexa Cohen
11,Peter Zhou
15,Joyce Chen
18,Khristina Marumoto
35,Vinai Charoenwongsawang
45,Gregory Pettus
54,Bob Sanders
99,ERIN HOYT
b,r,e,a,k
Greater Good,16
0,NICHOLAS RAFTER
0,NGUYEN CAO
0,Lauren Carden
0,KEVIN JOU
0,BRIAN ZIMMER
0,CHRISTINA TAKAHASHI
0,GABRIELLE REEDY
0,PIERRE CHIN-DICKEY
0,Konrad Chan
0,Shane Harris
0,JOHNSON LEE
2,Scott Miller
18,Hannah Lerch
25,GRACE FLINTERMANN
28,Judith Wang
b,r,e,a,k
RevolutionCows,21
0,BREANNA STEIN
0,SAMMY LEE
0,Shannon Chase
0,Laurel Estes
0,Melanie Craxton
0,JESSE CIRIMELE
0,LUKE MILNER
0,TRAVIS DUNCAN
0,Benjamin Renga
0,John Setzer
5,Tianzhe Wang
8,VICTOR KHOR
22,JENNIE KIM
27,Maximillian Renga
b,r,e,a,k
Naughty Love,10
0,ANDREW BOYLE
0,Jennifer De la Torre
0,HEIDI WROBLICKY
0,NICOLE  KELDER
0,AIMEE BUTTERFIELD
0,Dan Desmond
0,KEN BOGLE
0,KRISTI LIN
0,KALIENTE TOMPROS
0,Chris Van Thiel
0,Philip Hansen
0,Kelsey Wittig
0,LISA WU
0,ADAM SILVER
0,RACHEL BROWN
0,ANDREW HELSETH
8,Steven Lowe
10,Ethan Scherch
17,Emily Harrington
20,MICAH SEABROOK
22,EDWARD REAMS
23,Enrique Carranza
38,PHILIP HANSEN
41,JOHN WONG
42,Jacob Baumer
b,r,e,a,k
Dinobots,15
0,WILLIAM CHANEY
4,Michael Dirda
01,Stephanie Yee
07,Pradeep Nair
08,Peter Nachbaur
09,KIRSTEN CLEMMENSEN
11,Kristen LeFevre
13,Thomas Pineda
14,Matthew Christie
17,Deborah Liu
19,Shadrick Small
21,MATHIAS GIBSON
23,Jason Schissel
24,SHANNON SPEAKER
26,Dave Kavulak
27,Jennifer Gross
32,Andy HUANG
42,JULIE CLEMMENSEN
49,KAREN BROHARD
69,Alice Barton
88,Jared Getzoff
99,Nicholas Davis
b,r,e,a,k
Mission Impossible,22
00,Brendan Champlin
00,AARON SOLOMON
00,Lauren Yamasaki-Liske
00,Patrick Huston
00,Robin Anthony-Petersen
00,Ian Sweeney
00,Hannah Wells
00,Joe Paulukonis
00,Aaron Hom
00,Nick Maher
00,Melissa Slaughter
00,Ben Chiu
00,Nick Tolfa
00,Chloe Carothers-Liske
00,Conor Bauman
b,r,e,a,k
Barbary Coast Dance Hall,19
0,Eli Menaker
0,ISABEL KUNIHOLM
0,NICK COELIUS
0,ELI LEVENSON-FALK
0,Dani Carrillo
0,TOBY WAITE
0,Brian Kornobis
0,GRAEME BRUNST
0,AMY LEMESSURIER
0,Alexander Morris
0,Adam Berman
0,FRANKLIN PEARSALL
0,Handson Wu
0,KATIE MYSZKA
1,Alex Forman
3,DAVID WOLF
4,Gianna Tesler
9,Audrey Lyman
09,BECKIE MENTEN
17,Joe Patton Barr
25,TAYLOR LENTZ
85,Jacqueline Lee
b,r,e,a,k
Dorado,14
02,Carlo Mosca
03,ALAN MARQUARDT
04,Julia Salvacion
05,Jillian Du
06,Kief Zangaro
07,Rebecca Zangaro
08,Alistair McIntyre
09,Will Dorn
10,MORGAN  HARTMANN
12,Aaron Lee
13,Aimee Speaker
16,Thomas Li
17,CORINNA  RUF
19,Garrett Yung
20,Alexa Kirkland
22,Cody Kirkland
26,Sheliemae Lai
27,NICK MINYEN
28,JUSTIN LIN
29,AMELIA WONG
75,Elizabeth Trenkwalder
80,Micah Blazar
89,Nicholas Woo-Hoogenstyn
b,r,e,a,k
Alchemy,11
01,AI TRAN
02,WILLIAM CARY
03,Patricia Li
04,Elizabeth Leon
05,Maya Ziv
07,Emily Paris
08,GABRIEL PEAL
09,LAUREN CHAIN
11,Ginger Wong
13,Brett Naul
14,Rachel Eastman
20,Eric Hartge
21,Jesse White
22,EDWARD PARSONS
26,Anthony Havens
27,CHASE BOWMAN
32,Harris Masket
36,Sara Nolan
37,STACIE DRESE
40,Michelle Levinson
47,MICHAEL LOPEZ
54,Nick Riker
55,Kwai Philpott
79,COLYN FLYNN
81,J Tyler Walker
b,r,e,a,k
Anarchy,18
0,Noah Bernhardt
0,Jacqueline Bonner
0,Karin  Lin
0,Alex Brooks
0,Chris Popeney
0,Laura Franco
2,DEREK BOND
5,Caleb Tseng
6,Daniel Brooks
9,Tiffany Bucher
12,Stefen Hillman
b,r,e,a,k
Aftershock,23
0,ANGELO PARAISO-ARROYO
0,Jack Weatherford
0,Devin Hom
0,Harlan Brawer
0,Zach Loran
0,ELIJAH FRENDBERG-MATES
0,Jake Thorne
2,Maxwell Tomsick
2,Cameron Beck
4,Michael Peng
6,Dylan Villeneuve
7,Kyle Lintao
9,Jeremy Dolezal-Ng
9,Marshall Doty
10,Efe Ustenci
88,Jasper Leto Niemetz
b,r,e,a,k
DR,13
0,Edward Lee
0,Danielle Gendron
01,Halleh Balch
02,Marianne Olson
03,Andrew Racle
05,Amy Chou
08,SARAH HONG
09,Joshua Rickert
11,WESLEY STRATTON
12,Kim Laflin
13,ALEC BERG
15,ASHLEIGH WARD
16,Danielle Ngo
16,Charlie Hsu
22,Marisa Landicho
23,Kevin Wang
23,SAMUEL NUDELMAN
25,Jennifer Ames
26,Spencer Massey
28,Victoria Kaasa
34,Patrick Wong
79,Dan Dzoan
80,Scott Beamer
88,SHELBY DEMPSEY
89,Kimberly Long
b,r,e,a,k
Dauntless,12
01,CALEB FERGUSON
02,Brennan Bryant
04,Chelsea Cotton
05,Jordan Hewitt
07,Yuri Kubo
09,Analise Huysentruyt
12,KEVIN SPERLING
14,Danielle Love
16,Thomas Konogeris
18,Joshua Ferguson
21,Nicole Love
22,Adam Fischlin
28,Joseph Gagliano
33,Mara McKown
37,Benjamin Kato
40,Joy Kang
44,Tim Okita
47,Joshua Fankhauser
48,Maya Joye
76,Alex Sobel
77,Monique Ferguson
82,Joel Anton
99,Joel Conn
b,r,e,a,k
Calypso,17
00,Andrew Russell
04,Shane Earley
09,Wiharjobudi Sosrodjojo
10,Stan Whitcomb
11,Amanda Khoo
14,ERIN HOOLIHAN
17,TYLER ELIEL
25,ERIC ROTH
28,Katelin Williams
40,Anthony Davis
44,Daniel Zakaria
45,SEAN DONOVAN
58,Peter Roguski
70,Max Herrmannsfeldt
81,Nina Roguski
b,r,e,a,k
s,t,a,g,e,s
pools,Washington
pool,Pool A
Mischief,BW Ultimate,13,8,"07/19/2014, 09:00",Pool A
Groove,Classy,13,6,"07/19/2014, 09:00",Pool A
Mischief,Classy,13,7,"07/19/2014, 11:00",Pool A
Groove,BW Ultimate,13,10,"07/19/2014, 11:00",Pool A
Mischief,Groove,8,10,"07/19/2014, 13:00",Pool A
BW Ultimate,Classy,12,9,"07/19/2014, 13:00",Pool A
pool,Pool B
7 Figures,Blackbird,12,9,"07/19/2014, 09:00",Pool B
American Barbecue,Seattle Freeze,13,6,"07/19/2014, 09:00",Pool B
7 Figures,Seattle Freeze,12,8,"07/19/2014, 11:00",Pool B
American Barbecue,Blackbird,11,7,"07/19/2014, 11:00",Pool B
7 Figures,American Barbecue,13,6,"07/19/2014, 13:00",Pool B
Blackbird,Seattle Freeze,12,13,"07/19/2014, 13:00",Pool B
b,r,e,a,k
pools,Adams
pool,Pool C
Capitol Punishment,Sports Team,9,6,"07/19/2014, 09:00",Pool C
Greater Good,RevolutionCows,13,8,"07/19/2014, 09:00",Pool C
Capitol Punishment,RevolutionCows,13,5,"07/19/2014, 11:00",Pool C
Greater Good,Sports Team,5,13,"07/19/2014, 11:00",Pool C
Capitol Punishment,Greater Good,13,5,"07/19/2014, 13:00",Pool C
Sports Team,RevolutionCows,13,6,"07/19/2014, 13:00",Pool C
pool,Pool D
Naughty Love,Barbary Coast Dance Hall,13,1,"07/19/2014, 09:00",Pool D
Dinobots,Mission Impossible,13,2,"07/19/2014, 09:00",Pool D
Naughty Love,Mission Impossible,13,7,"07/19/2014, 11:00",Pool D
Dinobots,Barbary Coast Dance Hall,13,3,"07/19/2014, 11:00",Pool D
Naughty Love,Dinobots,9,8,"07/19/2014, 13:00",Pool D
Barbary Coast Dance Hall,Mission Impossible,6,11,"07/19/2014, 13:00",Pool D
pool,Pool E
Alchemy,Anarchy,13,1,"07/19/2014, 09:00",Pool E
Dorado,Aftershock,13,4,"07/19/2014, 09:00",Pool E
Alchemy,Aftershock,13,2,"07/19/2014, 11:00",Pool E
Dorado,Anarchy,13,4,"07/19/2014, 11:00",Pool E
Alchemy,Dorado,5,11,"07/19/2014, 13:00",Pool E
Anarchy,Aftershock,13,4,"07/19/2014, 13:00",Pool E
pool,Pool F
Dauntless,Calypso,15,1,"07/19/2014, 08:30",Pool F
DR,Calypso,15,9,"07/19/2014, 08:31",Pool F
Dauntless,DR,11,14,"07/19/2014, 08:32",Pool F
b,r,e,a,k
clusters,Consolation Crossovers + Consolation Pool
cluster,Consolation Pool Winners
DR,Capitol Punishment,9,7,"07/19/2014, 15:30",
Dorado,Naughty Love,13,4,"07/19/2014, 15:30",
cluster,Consolation Bracket Entry + Pool
Barbary Coast Dance Hall,Aftershock,10,8,"07/19/2014, 15:30",
Anarchy,RevolutionCows,8,13,"07/19/2014, 15:30",
Mission Impossible,Greater Good,9,8,"07/19/2014, 15:30",
Greater Good,Aftershock,13,8,"07/20/2014, 13:50",
b,r,e,a,k
brackets,Sunday Championship Brackets
bracket,Championship Bracket
Groove,7 Figures,7,10,"07/20/2014, 13:50",Finals
Groove,American Barbecue,11,6,"07/20/2014, 12:05",Round Name
Mischief,7 Figures,8,9,"07/20/2014, 12:05",Round Name
Groove,Dorado,13,10,"07/20/2014, 10:20",Round Name
American Barbecue,BW Ultimate,12,11,"07/20/2014, 10:20",Round Name
Mischief,Seattle Freeze,13,7,"07/20/2014, 10:20",Round Name
7 Figures,Classy,9,8,"07/20/2014, 10:20",Round Name
Blackbird,Dorado,11,13,"07/20/2014, 08:35",Round Name
BW Ultimate,Capitol Punishment,12,10,"07/20/2014, 08:35",Round Name
Seattle Freeze,Naughty Love,13,12,"07/20/2014, 08:35",Round Name
Classy,DR,13,9,"07/20/2014, 08:35",Round Name
bracket,9th Place
Blackbird,Naughty Love,13,6,"07/20/2014, 13:50",9th
Blackbird,Capitol Punishment,13,10,"07/20/2014, 12:05",9th Entry
Naughty Love,DR,13,7,"07/20/2014, 12:05",9th Entry
bracket,11th Place
Capitol Punishment,DR,9,7,"07/20/2014, 13:50",11th
bracket,5th Place
BW Ultimate,Classy,11,13,"07/20/2014, 13:50",5th
Dorado,BW Ultimate,7,13,"07/20/2014, 12:05",Round Name
Classy,Seattle Freeze,13,7,"07/20/2014, 12:05",Round Name
bracket,7th Place
Dorado,Seattle Freeze,13,8,"07/20/2014, 13:50",7th
bracket,3rd Place
Mischief,American Barbecue,11,12,"07/20/2014, 13:50",3rd
b,r,e,a,k
brackets,Consolation Brackets
bracket,Consolation Champs
Alchemy,Dauntless,9,10,"07/20/2014, 13:50",1st
Alchemy,Dinobots,12,8,"07/20/2014, 12:05",Round Name
Sports Team,Dauntless,5,13,"07/20/2014, 12:05",Round Name
Alchemy,Barbary Coast Dance Hall,13,6,"07/20/2014, 08:35",Round Name
Dinobots,RevolutionCows,13,7,"07/20/2014, 08:35",Round Name
Sports Team,Calypso,13,3,"07/20/2014, 08:35",Round Name
Dauntless,Greater Good,13,7,"07/20/2014, 08:35",Round Name
bracket,Consolation 3rd
Dinobots,Sports Team,11,13,"07/20/2014, 15:35",3rd
Dinobots,Anarchy,10,9,"07/20/2014, 13:50",Round Name
Sports Team,Mission Impossible,1,0,"07/20/2014, 13:50",Round Name
Calypso,Anarchy,7,9,"07/20/2014, 12:05",Round Name
Mission Impossible,RevolutionCows,13,7,"07/20/2014, 12:05",Round Name
Aftershock,Calypso,12,13,"07/20/2014, 10:20",Round Name
Anarchy,Greater Good,9,8,"07/20/2014, 10:20",Round Name
Mission Impossible,Barbary Coast Dance Hall,13,6,"07/20/2014, 10:20",Round Name
b,r,e,a,k
