Founders Mixed Sectionals,Club - Mixed ,13,9,2014
Wilmington,DE,2014-09-13,2014-09-14
https://play.usaultimate.org/events/Founders-Mixed-Sectionals/schedule/Mixed/Club-Mixed
Jughandle,1
38,Stephanie Clark
56,Julia Lekht
66,Gene Price
67,MIKE VANDERVOORT
85,Justin Krebs
89,Eric Petrow
90,Tony Smith
99,Genevieve Foote
b,r,e,a,k
Muhlenberg,18
teamInfo,,"Allentown, Pennsylvania",,,
0,Seth Fried
0,Jessie Mitchell
0,Max Kaufman
0,Julie Koenigsberg
0,Michael  Seifert
0,Eliot Levitin
0,Jessica Chin
0,Laura VanArsdale
0,Alex Solomon
6,Jeremy Fus
7,Sam Evans
12,ZACHARY CHARREN-DIEHL
13,James Custer
16,EMILY SACHS
23,Emily Gorby
84,Matt Lubitz
b,r,e,a,k
The Bandits,2
teamInfo,,"Middletown, New Jersey",,,
0,Nora Buggy
0,ALLISON MCDONALD
2,Jamie Hembree
2,ERIC HUANG
3,KENDRA MCKECHNIE
3,John Denman
4,Jessica Schaub
9,Kelly Fonner
11,Sean Maxcy
14,Jeff Perosi
23,Chanelle Banta
24,Steven Willis
34,Megan Kuhfuss Golrick
40,Stephanie Coward
41,Anthony Sapichino
77,CRAIG SINKLER
80,Ken Calello
b,r,e,a,k
Hooray for Coed Hooray!,3
teamInfo,,"State College, Pennsylvania",,,
0,Karen Schulte
0,Tom Pribicko
0,DAVID MARCHAND
0,Robb Prescott
0,Robert Roos
0,Kelly Skrabacz
0,Matt Duffy
0,Hannah Shabanowitz
0,JILL ROE
0,Julie Bowers
0,Allison Milligan
0,Laura Prescott
0,Isaac Smith
0,KARI MORGAN
0,DAVID PUTS
2,Alexander Paulos
6,Malti McKinnon
10,Jeff Kiel
10,MATT OLAH
13,Brian Rowan
18,Brian Nevison
19,Amel Awadelkarim
21,Brendan Reed
30,Jordan Stone
44,JOHN HOPKINS
47,HERSCHEL TUBBS
69,ANDY MOG
b,r,e,a,k
Blowin Heat,6
teamInfo,,"Wilmington, Delaware",,,
00,Laura Newhard
00,Matthew Hale
00,Jeffrey White
00,ANTHONY BUSHEK
00,SARAH FLYNN
00,David Boyer
00,ELIZABETH PAPPA
00,MARY MARTIN
00,MARK LARSEN
00,JULIE LAUGHNER
00,Christopher Schulze
00,Daniel Hoppes
00,KYLE HEY
00,Jonathan Cohen
00,Alycia  Nieves
00,David Hampson
00,Brett Pfeil
00,Elise Colomb
00,Matthew Stilley
04,Dustin Damiano
47,Stacey Spencer
b,r,e,a,k
Tramp Stamp,14
teamInfo,,"Philly, Pennsylvania",,,
00,Sam Oberter
00,Ricky Katz
00,John Luong
00,Victoria Wischerth
00,Tyler Evans
00,ELIZABETH SCIME
00,Caitlin Conklin
00,ALBERT IP
00,Ben Wallace
00,CAROLYN JANTSCH
00,Aaron Bauman
00,Ryan Moyer
00,CASEY ALRICH
00,Julie Brask
00,BRIAN GLASSMAN
00,Allysha Dixon
00,DYLAN O'DONOGHUE
13,Sam Morgan
b,r,e,a,k
Key Party!,11
teamInfo,,"Lancaster, Pennsylvania",www.keypartyultimate.org,,
0,Sarah Johnson
0,JIM MENTZER
0,SAMANTHA BARTMAN
0,SETH MEISELMAN
0,JUSTIN SEVERINI
0,Meghan Gloyd
02,DANIEL NAYLOR
03,Kadi McCoy
04,Kristen Dean
05,Alexander Hoffer
06,Karin Rafaels
08,TAYLOR WHITNEY
10,Derek Rabold
12,Lindsey King
13,Justin Kratz
15,Rebecca Holmes
15,Christopher Man
17,DAVID NAYLOR
20,Timothy Holmes
22,Michael Dean
23,Matt McAlonis
25,Corryn Vento
33,Keala Tekolste
36,Matthew Rogers
37,Joanna Chen
89,Benjamin Holmes
99,JASON MCDERMOTT
b,r,e,a,k
Pan Fried Funk,19
teamInfo,,"Gettysburg, Pennsylvania",,,
00,STEPHEN LIN
00,Alexander Kotkiewicz
00,Brian Lonabocker
00,Eva Strobl
00,Jordan Adams
00,Julia Rentsch
00,Julie Schuldt
00,Kevin Olson
00,Liz Grimes
00,Louis Gorst
00,Noah Koester
00,Rachael  Pruitt
00,Samuel Wilensky
00,Sarah Connelly
00,ZACHARY MILLER
47,ANNE SKRABAK
b,r,e,a,k
The Muff 'n Men,4
teamInfo,,"Pittsburgh, Pennsylvania",www.themuffnmen.com,www.facebook.com/themuffnmen,twitter.com/muffnmen
3,Maria Bajzek
5,David Nernberg
10,Stephanie Kane
11,Jodi Lincoln
12,Nicole Fiorentino
14,Lauren Franke
17,Eric Page
19,MEGUMI MATSUSHITA
22,Mark Pitts
24,Megan Briggeman
25,Rachel Olszewski
26,Kelsey Cowles
27,STEVE OLDRATI
29,JOHN MONTOYA
31,Greg Wilson
33,Eliana Bonifacino
39,Taha Udyawar
47,CAROLYN NORWOOD
57,Bryan Bernard
58,Matthew Huber
66,DAVID BIGBEE
73,Svetlana Romanova
80,Jay Walker
82,Isaac Smith
86,Robert Paolini
88,BRYAN RUSSELL
90,Brady Zbikowski
b,r,e,a,k
Bang!,5
teamInfo,,"West Chester, Pennsylvania",,https://www.facebook.com/clickclickbangultimate,
0,Beata Artz
0,Kathryn Wert
0,DANIEL COLL
0,Andrew Landes
0,Sarah Roberts
0,RYAN ROBERTS
0,Meghan Wadlinger
0,Matt Stavinga
0,MATT HORNSTEIN
0,MIKE COUGHLAN
0,Matt Sherman
0,Greg Martin
0,Richard Robinson
0,KATHLEEN MCMULLIN
0,Christopher Pokorny
9,Katelyn Stavinga
11,PAUL PHAM
21,Regina Wilkinson
22,Jocelyn Corey
36,Carolyn Normile
37,Ryan Coughlan
43,Daniel O'Connor
48,Benjamin Broser
72,Michael Martin
86,Brett Wall
b,r,e,a,k
Dub Club,12
teamInfo,,"West Chester, Pennsylvania",,,
00,Danielle Byers
00,Nicholas Moon
00,Jessica Brand
00,Chris Schauble
00,Brandon Henshaw
00,Garrett Copeland
00,JESSICA COPELAND
00,Steven Broome
00,Hannah Short
00,Robert Yu
00,Ben Crescenzo
00,Dustin Sullivan
00,David Broome
00,Emily Smulowitz
00,Dylan Audette
00,CHRISTINA LAMMEY
00,Rachel Crew
00,Jonathan Dietrich
00,Joshua Romani
00,JONATHAN HOLLOWAY
b,r,e,a,k
Expendables,13
teamInfo,,"Bloomfield, New Jersey",,https://www.facebook.com/groups/201061749923290/,
0,DANIELLE DEGRAW
0,Eric Beier
0,Allison Friedman
0,Joseph Friedman
0,Rachel Parlock
0,Kim Burrows
0,Jakub Kozluk
0,Peggy Monkemeier
0,William Menges
0,ELLIOTT ANDERSON
0,DAVID MERTZ
3,George Liang
4,Alyssa Willis
7,Ryan Thorpe
11,DAVID GERARD
13,Christian Arenas
17,Devin Foster
25,Stephanie Cervino
27,Jason Pon
88,Nicole Hair
b,r,e,a,k
s,t,a,g,e,s
pools,Pool Play
pool,Pool A
BITMAP,Moorestown Meeples,13,6,"09/13/2014, 08:00",Pool A,Final
X-Panda,DEtox,13,3,"09/13/2014, 08:00",Pool A,Final
Jughandle,BITMAP,13,7,"09/13/2014, 09:40",Pool A,Final
Moorestown Meeples,DEtox,13,5,"09/13/2014, 09:40",Pool A,Final
Jughandle,X-Panda,13,9,"09/13/2014, 11:20",Pool A,Final
BITMAP,DEtox,13,5,"09/13/2014, 11:20",Pool A,Final
BITMAP,X-Panda,12,11,"09/13/2014, 13:00",Pool A,Final
Jughandle,Moorestown Meeples,13,4,"09/13/2014, 13:00",Pool A,Final
Moorestown Meeples,X-Panda,11,13,"09/13/2014, 14:55",Pool A,Final
Jughandle,DEtox,13,3,"09/13/2014, 14:55",Pool A,Final
pool,Pool B
Dix'Y'Chix,Muhlenberg,13,2,"09/13/2014, 08:00",Pool B,Final
Jagged Ice,Clue,12,11,"09/13/2014, 08:00",Pool B,Final
The Bandits,Clue,F,W,"09/13/2014, 09:40",Pool B,Final
Jagged Ice,Dix'Y'Chix,13,7,"09/13/2014, 09:40",Pool B,Final
The Bandits,Jagged Ice,F,W,"09/13/2014, 11:20",Pool B,Final
Clue,Muhlenberg,13,2,"09/13/2014, 11:20",Pool B,Final
The Bandits,Dix'Y'Chix,F,W,"09/13/2014, 14:55",Pool B,Final
Jagged Ice,Muhlenberg,13,3,"09/13/2014, 14:55",Pool B,Final
The Bandits,Muhlenberg,F,W,"09/13/2014, 16:50",Pool B,Final
Clue,Dix'Y'Chix,12,8,"09/13/2014, 16:50",Pool B,Final
pool,Pool C
Tramp Stamp,Pan Fried Funk,13,1,"09/13/2014, 08:00",Pool C,Final
Blowin Heat,Key Party!,12,9,"09/13/2014, 08:00",Pool C,Final
Hooray for Coed Hooray!,Key Party!,13,5,"09/13/2014, 09:40",Pool C,Final
Blowin Heat,Tramp Stamp,14,13,"09/13/2014, 09:40",Pool C,Final
Hooray for Coed Hooray!,Tramp Stamp,13,7,"09/13/2014, 11:20",Pool C,Final
Blowin Heat,Pan Fried Funk,13,0,"09/13/2014, 11:20",Pool C,Final
Hooray for Coed Hooray!,Blowin Heat,13,8,"09/13/2014, 13:00",Pool C,Final
Key Party!,Pan Fried Funk,13,4,"09/13/2014, 13:00",Pool C,Final
Hooray for Coed Hooray!,Pan Fried Funk,13,7,"09/13/2014, 16:50",Pool C,Final
Key Party!,Tramp Stamp,7,11,"09/13/2014, 16:50",Pool C,Final
pool,Pool D
The Muff 'n Men,Expendables,15,6,"09/13/2014, 13:00",Pool D,Final
Bang!,Dub Club,15,7,"09/13/2014, 13:00",Pool D,Final
The Muff 'n Men,Dub Club,15,2,"09/13/2014, 14:55",Pool D,Final
Bang!,Expendables,15,2,"09/13/2014, 14:55",Pool D,Final
The Muff 'n Men,Bang!,15,9,"09/13/2014, 16:50",Pool D,Final
Dub Club,Expendables,15,11,"09/13/2014, 16:50",Pool D,Final
b,r,e,a,k
brackets,Bracket Play
bracket,1st Place
The Muff 'n Men,Hooray for Coed Hooray!,15,12,"09/14/2014, 12:40",Round 3,Final
Jughandle,The Muff 'n Men,12,13,"09/14/2014, 08:30",Round 1,Final
Jagged Ice,Hooray for Coed Hooray!,7,15,"09/14/2014, 08:30",Round 1,Final
bracket,2nd Place
Hooray for Coed Hooray!,Bang!,15,8,"09/14/2014, 14:45",Round 4,Final
Bang!,Jughandle,13,12,"09/14/2014, 12:40",Round 3,Final
Jagged Ice,Bang!,6,15,"09/14/2014, 10:35",Round 2,Final
Blowin Heat,Jughandle,10,15,"09/14/2014, 10:35",Round 2,Final
BITMAP,Bang!,9,14,"09/14/2014, 08:30",Round 1,Final
Clue,Blowin Heat,12,14,"09/14/2014, 08:30",Round 1,Final
bracket,4th Place
Jughandle,Jagged Ice,13,6,"09/14/2014, 14:45",Round 4,Final
Jagged Ice,Blowin Heat,14,13,"09/14/2014, 12:40",Round 3,Final
bracket,6th Place
Blowin Heat,Clue,5,11,"09/14/2014, 14:45",Round 4,Final
Clue,Tramp Stamp,15,7,"09/14/2014, 12:40",Round 3,Final
Clue,X-Panda,12,7,"09/14/2014, 10:35",Round 2,Final
Tramp Stamp,BITMAP,14,11,"09/14/2014, 10:35",Round 2,Final
X-Panda,Dub Club,15,10,"09/14/2014, 08:30",Round 1,Final
Dix'Y'Chix,Tramp Stamp,5,15,"09/14/2014, 08:30",Round 1,Final
bracket,8th Place
Tramp Stamp,BITMAP,11,15,"09/14/2014, 14:45",Round 4,Final
X-Panda,BITMAP,8,15,"09/14/2014, 12:40",Round 3,Final
bracket,10th Place (at HS fields)
X-Panda,Key Party!,5,13,"09/14/2014, 14:45",Round 4,Final
Dix'Y'Chix,Key Party!,9,13,"09/14/2014, 12:40",Round 3,Final
Dix'Y'Chix,Moorestown Meeples,1,0,"09/14/2014, 10:35",Round 2,Final
Key Party!,Dub Club,13,12,"09/14/2014, 10:35",Round 2,Final
Moorestown Meeples,Expendables,15,11,"09/14/2014, 08:30",Round 1,Final
Muhlenberg,Key Party!,0,1,"09/14/2014, 08:30",Round 1,Final
bracket,12th Place
Dix'Y'Chix,Dub Club,1,0,"09/14/2014, 14:45",Round 4,Final
Moorestown Meeples,Dub Club,0,1,"09/14/2014, 12:40",Round 3,Final
bracket,15th Place
Pan Fried Funk,Expendables,11,15,"09/14/2014, 14:45",Round 4,Final
Pan Fried Funk,DEtox,15,7,"09/14/2014, 10:35",Round 2/3,Final
b,r,e,a,k
