Colorado Cup (TCT Elite-Select Challenge),Club - Mixed ,2,8,2014
https://play.usaultimate.org/events/Colorado-Cup-TCT-Elite-Select-Challenge/schedule/Mixed/Club-Mixed
7 Figures,1
D'oh! Abides,Santa Maria,12,11,"08/02/2014, 15:00",Prequarters
Ambiguous Grey,NOISE,10,13,"08/02/2014, 15:00",Prequarters
bracket,3rd Place
Steamboat,Mischief,13,14,"08/03/2014, 11:30",3rd Place
bracket,5th Place Bracket
Groove,NOISE,11,10,"08/03/2014, 11:30",5th Place Finals
Groove,7 Express,12,9,"08/03/2014, 09:45",5th Place Semis
D'oh! Abides,NOISE,9,13,"08/03/2014, 09:45",5th Place Semis
bracket,7th Place
7 Express,D'oh! Abides,9,13,"08/03/2014, 11:30",7th Place
bracket,9th Place Bracket
Cosa Nostra,Santa Maria,9,12,"08/03/2014, 09:45",9th Place Finals
Cosa Nostra,Ambiguous Grey,13,11,"08/03/2014, 08:00",9th Place Semis
Santa Maria,Lions,12,7,"08/03/2014, 08:00",9th Place Semis
bracket,11th Place
Ambiguous Grey,Lions,11,8,"08/03/2014, 09:45",11th Place
b,r,e,a,k
pools,Placement (4th Round Robin)
pool,Placement Pool
American Barbecue,RUA,13,5,"08/02/2014, 15:00",Placement Pool
Bird,Pleasuretown,13,9,"08/02/2014, 15:00",Placement Pool
American Barbecue,Pleasuretown,12,9,"08/03/2014, 11:30",Placement Pool
Bird,RUA,13,10,"08/03/2014, 11:30",Placement Pool
American Barbecue,Bird,7,11,"08/03/2014, 13:15",Placement Pool
Pleasuretown,RUA,6,8,"08/03/2014, 13:15",Placement Pool
b,r,e,a,k
