Club Terminus,Club - Men ,26,7,2014
Atlanta,GA,2014-07-26,2014-07-27
https://play.usaultimate.org/events/Club-Terminus1/schedule/Men/Club-Men/
Southern Hospitality,1
33,Devon Rogers
37,REID  ALMAND
41,Ryan Simmons
42,Devin Cox
50,JAMES COX
71,WILLIAM GORDON
82,Michael Price
83,Cardinal Clarke
86,Devin Waldrop
b,r,e,a,k
Freaks Uv Nature,4
0,Jason Cunningham
4,Jason Williams
9,Mark Daigle
05,Chris Brackbill
09,Riley Mog
10,COLBY ROBINSON
11,E.C. Gibbs
12,Ryan Manning
13,Andy Sieja
14,WILL STEVENSON
16,Michael Delp
17,Michael Robie
19,Matthew Radcliffe
22,Cameron Heck
24,Ethan Hodges
25,"Michael Guiles, Jr"
27,Michael Volz
28,Jake Brouwer
34,Isaiah Radcliffe
37,Keith Mize
39,PETER WILKERSON
43,Rob Ferguson
44,Jordan Matthews
55,Tom Radcliffe
88,MARTIN ROGERS
89,ANDREW MONTGOMERY
96,Mark Ullom
b,r,e,a,k
UpRoar,5
02,Charlie Muniz
03,Daniel Lee
04,Daniel Munsell
06,ALEX HESLEP
07,Jack Dupell
09,JASON TACKETT
10,Brian Shinners
11,Austin Simpson
13,KEVIN HALL
14,Boe Quisenberry
14,SETH RICHARDS
16,JONATHAN STREETMAN
17,Aron Andino
18,ADAM JAYNE
21,Jonathan Beilan
22,Peter Masone
27,Anthony Gutierrez
28,Ian Lynch
31,Keith Patterson
40,KEITH PENU
51,ERIC SIEGMUND
54,Nick Fletcher
55,Josh McKisic
69,Lawrence (Larz) Hanselman
88,Matt Chandler
99,Garth Reimann
b,r,e,a,k
Dune Cats,13
0,Neal Raines
1,PETER BOYLE
2,Joseph Lavine
3,Parker Bray
6,MICHAEL PETERS
7,Derek Cooper
8,Parker Greenway
11,Javid Aceil
15,Aidan Rogers
16,Sean Diller
17,Logan Ogletree
27,Sheryar Ali
38,SOHAUM PAUL
b,r,e,a,k
Blade,12
0,Daniel Caplan
0,HUGHES MILLER
0,Nathaniel Rosenberg
0,David Trett
0,Jared Fletcher
0,ARI STOLER
0,Russell Meade
0,MATT TUCKER
0,Leekon Wang
1,Scott Soule
2,PATRICK SIMS
3,CALEB GOFF
8,Patrick Parris
12,STEVEN GAITTENS
23,Robert Johnson
28,Will Mims
b,r,e,a,k
s,t,a,g,e,s
pools,Pool Play
pool,Pool A
Southern Hospitality,Humidity,13,4,"07/26/2014, 09:00",Pool A,Final
Pilot,Jello Yackets,13,8,"07/26/2014, 09:00",Pool A,Final
Southern Hospitality,Pilot,13,4,"07/26/2014, 10:30",Pool A,Final
Shrimp Boat,Jello Yackets,13,4,"07/26/2014, 10:30",Pool A,Final
Jello Yackets,Humidity,13,9,"07/26/2014, 12:00",Pool A,Final
Shrimp Boat,Pilot,12,7,"07/26/2014, 12:00",Pool A,Final
Southern Hospitality,Jello Yackets,13,2,"07/26/2014, 13:30",Pool A,Final
Shrimp Boat,Humidity,13,3,"07/26/2014, 13:30",Pool A,Final
Southern Hospitality,Shrimp Boat,13,10,"07/26/2014, 15:00",Pool A,Final
Pilot,Humidity,13,3,"07/26/2014, 15:00",Pool A,Final
pool,Pool B
Bullet,Strong Hand,13,8,"07/26/2014, 09:00",Pool B,Final
Ironmen,Shotgun,13,7,"07/26/2014, 09:00",Pool B,Final
Bullet,Shotgun,13,3,"07/26/2014, 10:30",Pool B,Final
Ironmen,Strong Hand,12,8,"07/26/2014, 10:30",Pool B,Final
Bullet,Ironmen,5,13,"07/26/2014, 12:00",Pool B,Final
Strong Hand,Shotgun,12,4,"07/26/2014, 12:00",Pool B,Final
pool,Pool C
Six Pack,Voodoo,12,13,"07/26/2014, 09:00",Pool C,Final
ShawShack Redemption,Queen City Thunder,9,13,"07/26/2014, 09:00",Pool C,Final
Six Pack,Queen City Thunder,13,5,"07/26/2014, 10:30",Pool C,Final
ShawShack Redemption,Voodoo,8,12,"07/26/2014, 10:30",Pool C,Final
Six Pack,ShawShack Redemption,9,12,"07/26/2014, 12:00",Pool C,Final
Voodoo,Queen City Thunder,6,8,"07/26/2014, 12:00",Pool C,Final
pool,Pool D
Freaks Uv Nature,Blade,13,6,"07/26/2014, 09:00",Pool D,Final
UpRoar,Dune Cats,13,7,"07/26/2014, 09:00",Pool D,Final
Freaks Uv Nature,Dune Cats,13,3,"07/26/2014, 10:30",Pool D,Final
UpRoar,Blade,13,4,"07/26/2014, 10:30",Pool D,Final
Freaks Uv Nature,UpRoar,13,6,"07/26/2014, 12:00",Pool D,Final
Blade,Dune Cats,10,13,"07/26/2014, 12:00",Pool D,Final
b,r,e,a,k
clusters,Crossover
cluster,Crossovers
Ironmen,Voodoo,11,9,"07/26/2014, 15:00",,Final
Queen City Thunder,UpRoar,6,13,"07/26/2014, 15:00",,Final
Freaks Uv Nature,Bullet,13,8,"07/26/2014, 15:00",,Final
Strong Hand,Six Pack,7,13,"07/26/2014, 15:00",,Final
ShawShack Redemption,Blade,13,12,"07/26/2014, 15:00",,Final
Dune Cats,Shotgun,12,13,"07/26/2014, 15:00",,Final
b,r,e,a,k
brackets,Bracket Play
bracket,Championship Bracket
Southern Hospitality,Bullet,13,9,"07/27/2014, 13:00",Finals,Final
Southern Hospitality,Freaks Uv Nature,9,7,"07/27/2014, 10:00",Semis,Final
Ironmen,Bullet,7,12,"07/27/2014, 10:00",Semis,Final
Southern Hospitality,Queen City Thunder,13,6,"07/27/2014, 08:30",Quarters,Final
Freaks Uv Nature,Voodoo,11,9,"07/27/2014, 08:30",Quarters,Final
Ironmen,Shrimp Boat,13,8,"07/27/2014, 08:30",Quarters,Final
UpRoar,Bullet,8,10,"07/27/2014, 08:30",Quarters,Final
bracket,3rd Place
Freaks Uv Nature,Ironmen,13,7,"07/27/2014, 11:30",3rd Place,Final
bracket,5th Place
Voodoo,Queen City Thunder,11,8,"07/27/2014, 11:30",5th Place,Final
UpRoar,Voodoo,6,8,"07/27/2014, 10:00",Round Name,Final
Shrimp Boat,Queen City Thunder,6,8,"07/27/2014, 10:00",Round Name,Final
bracket,7th Place
UpRoar,Shrimp Boat,13,6,"07/27/2014, 11:30",7th Place,Final
bracket,9th Place
Blade,Six Pack,9,13,"07/27/2014, 13:00",9th Place,Final
Blade,Strong Hand,9,8,"07/27/2014, 11:30",9th Semis,Final
Six Pack,ShawShack Redemption,13,9,"07/27/2014, 11:30",9th Semis,Final
Pilot,Blade,7,13,"07/27/2014, 10:00",9th Quarters,Final
Shotgun,Strong Hand,5,13,"07/27/2014, 10:00",9th Quarters,Final
Six Pack,Jello Yackets,13,9,"07/27/2014, 10:00",9th Quarters,Final
ShawShack Redemption,Dune Cats,13,4,"07/27/2014, 10:00",9th Quarters,Final
Humidity,Dune Cats,10,13,"07/27/2014, 08:30",9th Play In,Final
bracket,11th Place
Strong Hand,ShawShack Redemption,10,11,"07/27/2014, 13:00",11th Place,Final
bracket,Consolation 1
Shotgun,Jello Yackets,1,0,"07/27/2014, 13:00",Consolation 1,Final
Pilot,Shotgun,10,11,"07/27/2014, 11:30",Cons 1 Semis,Final
Jello Yackets,Humidity,13,5,"07/27/2014, 11:30",Cons 1 Semis,Final
bracket,Consolation 2
Dune Cats,Pilot,0,1,"07/27/2014, 13:00",Consolation 2,Final
b,r,e,a,k
