Midwest Throwdown 2020,College - Women ,7,3,2020
Columbia,MO,2020-03-07,2020-03-08
https://play.usaultimate.org/events/Midwest-Throwdown-2020/schedule/Women/CollegeWomen/
Northwestern,1
42,Cameron Reitan
b,r,e,a,k
Kansas,7
teamInfo,Betty Ultimate,"Lawrence, Kansas",www.bettyultimate.com,https://www.facebook.com/pages/Betty-Ultimate/144061402213,https://twitter.com/bettyultimate
0,Abigail Neill
0,Alexis Berra
0,Annie Patton
0,Hannah Heaton
0,Julia McElroy 
0,Kristen Knipp
0,Lauren Stich
0,Morgan Siemers 
0,Neelie Browne
0,Riley Taylor
0,Sarah Roberts
0,Tanna Carson
0,Tatum Boyer
0,Taylor Hicks
0,Yuvia Serna
2,Bailey Boswell
5,Chandler Olmstead
12,Laurel Thompson
14,Sowmya Ragothaman
15,Ella Nordell-Morris
29,Madison Foster
33,Chidera Okoye
70,Beth Arneson
94,Julia Roston
b,r,e,a,k
St Olaf,10
teamInfo,Vortex,"Northfield, Minnesota",http://vortexultimate.weebly.com/,https://www.facebook.com/VortexWomensUltimate/,https://twitter.com/STOWomensUlti
2,Isabel Sullivan
3,Jennika Paulson
4,Victoria Knutson
5,Grette Schmidt
6,Olivia Peer
7,Katie Sherer
8,Haley Challgren
10,Amelia Schneider
12,Lauren Johnson
13,Julia Himmelberger
16,Kaitlyn Mulhern
18,Anna Mulhern
21,Sally  Manninger
22,Elsa Anderson
24,Kelsey Halverson
25,Emily Wammer
26,Emma Purcell
27,Rebekah Reason
29,Anna Clements
30,Neina Abdulai
31,Carolina Schuster
33,Annika Challgren
41,Caroline McKnight
b,r,e,a,k
Tulsa,23
teamInfo,Coriolis Force,"Tulsa, Oklahoma",,https://www.facebook.com/tulsaCoriolis/,
coaches,Tyler Tiger
0,Annabelle Remy
0,Ashley Booe
0,Caroline Capellupo
0,Alida Kaufmann
0,Jessica Keys
0,Zoe Magee
6,Anna Wentling
11,Skylar Fuser
17,Jade Johnson
23,Christina Helgeson
27,Elise Saunders
42,Kacy Luker
b,r,e,a,k
Oklahoma,26
teamInfo,Never Mrs,"Norman, Oklahoma",https://orgsync.com/118641/chapter,,https://twitter.com/never_mrs
0,Sahar Hasan
4,Ivy Orban
04,Jewel Thompson
06,Abigail Baukus
07,Breanna Frederick
09,Vanessa Baldeon
12,Megan Medlicott
13,Michelle  Busch
17,Karen Molina Castro
21,Sophia Nottoli
25,Meredith Hendry
28,Theresa Elmore
33,Heather Holliday
46,Jessica  Scott 
48,Marilyn Anthony
62,Jessie Merrifield
64,Cora DeFrancesco
b,r,e,a,k
Chicago,8
teamInfo,Supersnatch,"Chicago, Illinois",,,@snatchsuper
coaches,Ryan Watson
0,Alicia Chu
0,Angelina Torre
0,Annie Yang
0,Astrid Braun
0,Bayle Smith-Salzberg
0,Briana Morales
0,Caitlyn Tien
0,Daisy Barbanel
0,Elizabeth Winkler
0,Emily Williams
0,Emily Pardo
0,Isabella Xu
0,Kavita Parekh
0,Lindsay Romano
0,Makenna Meyer
0,Melody Leung
0,Nancy Cheng
0,Sophia Kierstead
9,Cassandra Brown
13,Thara Nallamothu
28,Sofia Collins
82,Claire Schmitt
b,r,e,a,k
Carleton College,9
teamInfo,Eclipse,"Northfield, Minnesota",http://carletoneclipse.weebly.com/,,https://twitter.com/eclipsethedisc
0,Tess Barton
4,Charlotte Zinda
5,Sasha Mothershead
7,Emily Hall
8,Siena Leone-Getten
9,Ellie Mamantov
11,Anna Roberts
12,Julia Kenney
13,Laura Kiernan
14,Emma Korosei
15,Harper Brooks-Kahn
17,Maia Kosek
18,Colleen Milligan
19,Zoe Pharo
25,Dana Fried
26,Claire James
33,Katherine Taylor
33,Rose Newell
44,Helen Murphy
47,Alex Rowell
b,r,e,a,k
Nebraska,25
teamInfo,Cuddle Raptors,"Lincoln, Nebraska",,,
0,Allison Woodring
0,Bailey Frey
0,Isabella North
0,Jenna Knudtson
0,Olivia Froelicher
0,Shea Thompson
0,Zoey Doan
9,Ellie Stone
21,Sierra Schurman
24,Sarah Van Hare
31,Michaela Ott
33,Paige Steinbauer
36,Kaycee Davis
52,Amy Morris
79,Emma Dover
b,r,e,a,k
Wisconsin,24
teamInfo,Atropa,"Madison, Wisconsin",https://win.wisc.edu/organization/womensultimate,https://www.facebook.com/groups/421591531301929/?bookmark_t=group,
0,Angela Zheng
0,Anna Wozniak
0,Anna  Goforth
0,Emma Boehm
0,Heather Erickson
0,Isabel Rurka
0,Katherine Magruder
0,Kristina Geiger
0,Laura Borth
0,Megan Andrews
0,Poorva Halbe
0,Sam Kluck
0,Taylor Browne
2,Mya Schmitz
4,Lindsey Tushman
5,Kaden Mettel
9,Sarah Mancina
10,Tierney Bilstrom
10,Ansley Williams
13,Annalise Ho
17,Laura Coleman
20,Helen Walz
27,Erin Ranum
31,Amber Heffernan
b,r,e,a,k
Purdue,13
teamInfo,Xpress,"West Lafayette, Indiana",http://purduewomensultimate.weebly.com/,https://www.facebook.com/xpressultimate/,https://twitter.com/PurdueWomensUlt
0,Allison Bosshart
0,Amelia Leenig
0,Brynne Hunt
0,Emily Antes
0,Emma Lien
0,Indira Brown
0,Kelsey  Booth
0,Stephanie Nobbe
5,Danielle Peterson
21,Julie Eigenbrod
28,Emily Ashburn
34,Lauren Kitten
77,Hannah Rapp
b,r,e,a,k
Iowa State,4
teamInfo,Woman Scorned,"Ames, Iowa",,https://www.facebook.com/pages/Woman-Scorned-Ultimate/245315626189,https://twitter.com/ISUWomanScorned
coaches,"Mary ""Patty"" King",Erica Baken
0,Alice Wightman
0,Angela Clapp
0,Christiana-Jo Quinata
0,Faith Hall
0,Haley Glowik
0,Jillian Olson
0,Lindsey Klatt
0,Mia Charlson
0,Presley Philipp
0,Sara Swenson
0,Taylor Hanson
1,Clare Holden
2,Sydney Mier
3,Lisa Hansen
7,Ellen Reed
12,Abby Nissen
16,Gretchen Mathiason
19,Margaret Schnaufer
22,Nicole Wolf
25,Anna Erickson
27,Elizabeth Holan
27,Grace Carlson
28,Alex Gustafson
44,Anna Hanson
b,r,e,a,k
Arkansas,20
teamInfo,SoCo,"Fayetteville, Arkansas",,https://www.facebook.com/UARKWomensUltimate/?ref=aymt_homepage_panel,
0,Callie Zane
0,Claire Furlow
0,Grace Scognamiglio
0,Izabela Pavel
0,Julie Haley
0,Marilyn Meshach
0,Martha Arambel
0,Molly Coble
0,Sara Wolf
0,Sarah Denny
0,Sarah Watkins
0,Beatrice  Lacy
0,Bonnie Champion
27,Brynna Egge
b,r,e,a,k
Wisconsin-Oshkosh,30
teamInfo,Aviatrix ,"Oshkosh, Wisconsin",https://uwosh.presence.io/organization/aviatrix-womens-club-ultimate-frisbee,https://www.facebook.com/trixultimate/?ref=bookmarks,https://twitter.com/trixultimate
0,Alexandra Trombley
0,Allison Castellon
0,Cassandra Renforth
0,Haily  Sankovich
0,Heather Hagedorn
0,Katie Olson
0,Marlena Strasser
0,Natalie Walker
0,Paige Blumer
0,Sidney Rodriguez
0,Sylvia  Peterson 
19,Tristen Klitzke
81,Olivia Schilcher
b,r,e,a,k
s,t,a,g,e,s
pools,Women's Pool Play
pool,Pool A
Northwestern,Knox,13,0,"03/07/2020, 10:30",Pool A,Final
Wisconsin-Eau Claire,Washington University (B),8,9,"03/07/2020, 10:30",Pool A,Final
Northwestern,Washington University (B),13,0,"03/07/2020, 12:00",Pool A,Final
Wisconsin-Eau Claire,Knox,8,5,"03/07/2020, 12:00",Pool A,Final
Northwestern,Wisconsin-Eau Claire,13,1,"03/07/2020, 13:30",Pool A,Final
Knox,Washington University (B),4,9,"03/07/2020, 13:30",Pool A,Final
pool,Pool B
Truman State,Luther,12,2,"03/07/2020, 09:00",Pool B,Final
Minnesota-Duluth,Northwestern (B),10,2,"03/07/2020, 09:00",Pool B,Final
Truman State,Northwestern (B),9,1,"03/07/2020, 10:30",Pool B,Final
Minnesota-Duluth,Luther,8,3,"03/07/2020, 10:30",Pool B,Final
Truman State,Minnesota-Duluth,11,4,"03/07/2020, 12:00",Pool B,Final
Luther,Northwestern (B),8,3,"03/07/2020, 12:00",Pool B,Final
pool,Pool C
Colorado State,Illinois,7,4,"03/07/2020, 09:00",Pool C,Final
John Brown,Kansas State,13,2,"03/07/2020, 09:00",Pool C,Final
Colorado State,Kansas State,11,3,"03/07/2020, 10:30",Pool C,Final
John Brown,Illinois,13,3,"03/07/2020, 10:30",Pool C,Final
Colorado State,John Brown,10,5,"03/07/2020, 13:30",Pool C,Final
Illinois,Kansas State,12,5,"03/07/2020, 13:30",Pool C,Final
pool,Pool E
Texas-Dallas,Drake University,11,1,"03/07/2020, 09:00",Pool E,Final
Wisconsin-Milwaukee,Macalester,7,5,"03/07/2020, 09:00",Pool E,Final
Texas-Dallas,Macalester,11,4,"03/07/2020, 12:00",Pool E,Final
Wisconsin-Milwaukee,Drake University,12,5,"03/07/2020, 12:00",Pool E,Final
Texas-Dallas,Wisconsin-Milwaukee,7,5,"03/07/2020, 13:30",Pool E,Final
Drake University,Macalester,4,8,"03/07/2020, 13:30",Pool E,Final
pool,Pool F
Washington University,Grinnell,12,3,"03/07/2020, 10:30",Pool F,Final
Iowa,Missouri,10,1,"03/07/2020, 10:30",Pool F,Final
Washington University,Missouri,13,2,"03/07/2020, 12:00",Pool F,Final
Iowa,Grinnell,9,5,"03/07/2020, 12:00",Pool F,Final
Washington University,Iowa,12,2,"03/07/2020, 13:30",Pool F,Final
Grinnell,Missouri,11,3,"03/07/2020, 13:30",Pool F,Final
pool,Pool G
Kansas,Tulsa,13,3,"03/07/2020, 09:00",Pool G,Final
St Olaf,Oklahoma,13,2,"03/07/2020, 09:00",Pool G,Final
Kansas,Oklahoma,9,3,"03/07/2020, 10:30",Pool G,Final
St Olaf,Tulsa,13,2,"03/07/2020, 10:30",Pool G,Final
Kansas,St Olaf,8,3,"03/07/2020, 13:30",Pool G,Final
Tulsa,Oklahoma,8,5,"03/07/2020, 13:30",Pool G,Final
pool,Pool H
Chicago,Wisconsin,11,4,"03/07/2020, 09:00",Pool H,Final
Carleton College,Nebraska,10,1,"03/07/2020, 09:00",Pool H,Final
Chicago,Nebraska,13,2,"03/07/2020, 12:00",Pool H,Final
Carleton College,Wisconsin,12,2,"03/07/2020, 12:00",Pool H,Final
Chicago,Carleton College,8,7,"03/07/2020, 13:30",Pool H,Final
Wisconsin,Nebraska,6,8,"03/07/2020, 13:30",Pool H,Final
pool,Pool D
Iowa State,Arkansas,7,5,"03/07/2020, 09:00",Pool D,Final
Purdue,Wisconsin-Oshkosh,9,3,"03/07/2020, 09:00",Pool D,Final
Iowa State,Wisconsin-Oshkosh,10,3,"03/07/2020, 10:30",Pool D,Final
Purdue,Arkansas,12,4,"03/07/2020, 10:30",Pool D,Final
Iowa State,Purdue,7,11,"03/07/2020, 12:00",Pool D,Final
Arkansas,Wisconsin-Oshkosh,7,4,"03/07/2020, 12:00",Pool D,Final
b,r,e,a,k
brackets,Bracket Play
bracket,Championship Bracket
Northwestern,Truman State,10,4,"03/08/2020, 11:30",Finals,Final
Northwestern,Kansas,9,6,"03/08/2020, 10:00",Semis,Final
Truman State,Chicago,7,6,"03/08/2020, 10:00",Semis,Final
Northwestern,Texas-Dallas,8,4,"03/08/2020, 08:30",Quarters,Final
Colorado State,Kansas,5,6,"03/08/2020, 08:30",Quarters,Final
Truman State,Washington University,8,7,"03/08/2020, 08:30",Quarters,Final
Purdue,Chicago,6,7,"03/08/2020, 08:30",Quarters,Final
Northwestern,Carleton College,9,4,"03/07/2020, 15:10",Pre-Quarters,Final
Texas-Dallas,Iowa State,8,5,"03/07/2020, 15:10",Pre-Quarters,Final
Colorado State,Iowa,10,5,"03/07/2020, 15:10",Pre-Quarters,Final
Kansas,Minnesota-Duluth,13,5,"03/07/2020, 15:10",Pre-Quarters,Final
Truman State,St Olaf,9,4,"03/07/2020, 15:10",Pre-Quarters,Final
Washington University,John Brown,13,4,"03/07/2020, 15:10",Pre-Quarters,Final
Purdue,Wisconsin-Milwaukee,11,1,"03/07/2020, 15:10",Pre-Quarters,Final
Chicago,Washington University (B),13,1,"03/07/2020, 15:10",Pre-Quarters,Final
bracket,3rd Place
Chicago,Texas-Dallas,0,0,"03/08/2020, 14:30",3rd Place,Cancelled
Chicago,Washington University,7,5,"03/08/2020, 13:00",3rd Place Round 4,Final
Kansas,Texas-Dallas,6,7,"03/08/2020, 13:00",3rd Place Round 4,Final
Carleton College,Washington University,5,6,"03/08/2020, 11:30",3rd Place Round 3,Final
St Olaf,Texas-Dallas,7,8,"03/08/2020, 11:30",3rd Place Round 3,Final
Purdue,Carleton College,7,8,"03/08/2020, 10:00",3rd Place Round 2,Final
Washington University,Iowa,10,2,"03/08/2020, 10:00",3rd Place Round 2,Final
Colorado State,St Olaf,6,8,"03/08/2020, 10:00",3rd Place Round 2,Final
Texas-Dallas,Wisconsin-Milwaukee,9,2,"03/08/2020, 10:00",3rd Place Round 2,Final
Carleton College,Iowa State,12,5,"03/08/2020, 08:30",3rd Place Round 1,Final
Iowa,Minnesota-Duluth,10,1,"03/08/2020, 08:30",3rd Place Round 1,Final
St Olaf,John Brown,9,4,"03/08/2020, 08:30",3rd Place Round 1,Final
Wisconsin-Milwaukee,Washington University (B),10,2,"03/08/2020, 08:30",3rd Place Round 1,Final
bracket,5th Place
Washington University,Kansas,6,7,"03/08/2020, 14:30",5th Place,Final
bracket,7th Place
Carleton College,St Olaf,7,6,"03/08/2020, 14:30",7th Place,Final
bracket,9th Place
Purdue,Colorado State,8,4,"03/08/2020, 14:30",9th Place,Final
Purdue,Iowa,12,3,"03/08/2020, 13:00",Pre 9th Place,Final
Colorado State,Wisconsin-Milwaukee,13,2,"03/08/2020, 13:00",Pre 9th Place,Final
bracket,11th Place
Iowa,Wisconsin-Milwaukee,6,4,"03/08/2020, 14:30",11th Place,Final
bracket,13th Place
Iowa State,John Brown,8,6,"03/08/2020, 13:00",13th Place,Cancelled
Iowa State,Minnesota-Duluth,10,5,"03/08/2020, 11:30",Pre 13th Place,Final
John Brown,Washington University (B),10,6,"03/08/2020, 11:30",Pre 13th Place,Final
bracket,15th Place
Minnesota-Duluth,Washington University (B),6,7,"03/08/2020, 13:00",15th Place,Final
b,r,e,a,k
brackets,Consolation Play
bracket,Consolation Bracket
Illinois,Arkansas,8,5,"03/08/2020, 13:00",17th Place,Final
Macalester,Illinois,4,7,"03/08/2020, 11:30",Consolation Bracket Round 3,Final
Grinnell,Arkansas,3,9,"03/08/2020, 11:30",Consolation Bracket Round 3,Final
Wisconsin-Eau Claire,Macalester,6,7,"03/08/2020, 10:00",Consolation Bracket Round 2,Final
Illinois,Tulsa,8,6,"03/08/2020, 10:00",Consolation Bracket Round 2,Final
Oklahoma,Grinnell,6,7,"03/08/2020, 10:00",Consolation Bracket Round 2,Final
Arkansas,Knox,13,4,"03/08/2020, 10:00",Consolation Bracket Round 2,Final
Wisconsin-Eau Claire,Wisconsin,8,4,"03/07/2020, 15:10",Consolation Bracket Round 1,Final
Macalester,Wisconsin-Oshkosh,9,4,"03/07/2020, 15:10",Consolation Bracket Round 1,Final
Illinois,Missouri,1,0,"03/07/2020, 15:10",Consolation Bracket Round 1,Final
Tulsa,Northwestern (B),8,2,"03/07/2020, 15:10",Consolation Bracket Round 1,Final
Luther,Oklahoma,6,8,"03/08/2020, 08:30",Consolation Bracket Round 1,Final
Grinnell,Kansas State,7,5,"03/08/2020, 08:30",Consolation Bracket Round 1,Final
Arkansas,Drake University,8,1,"03/08/2020, 08:30",Consolation Bracket Round 1,Final
Nebraska,Knox,7,8,"03/08/2020, 08:30",Consolation Bracket Round 1,Final
bracket,19th Place
Macalester,Grinnell,8,5,"03/08/2020, 13:00",19th Place,Final
bracket,21st Place
Wisconsin-Eau Claire,Oklahoma,7,2,"03/08/2020, 13:00",21st Place,Final
Wisconsin-Eau Claire,Tulsa,8,4,"03/08/2020, 11:30",Pre 21st Place,Final
Oklahoma,Knox,7,3,"03/08/2020, 11:30",Pre 21st Place,Final
bracket,23rd Place
Tulsa,Knox,1,0,"03/08/2020, 14:30",23rd Place,Final
bracket,25th Place
Missouri,Luther,1,10,"03/08/2020, 14:30",25th Place,Final
Wisconsin-Oshkosh,Missouri,4,5,"03/08/2020, 11:30",Pre 25th Place,Final
Luther,Nebraska,7,4,"03/08/2020, 13:00",Pre 25th Place,Final
Wisconsin,Wisconsin-Oshkosh,4,7,"03/08/2020, 10:00",Consolation Bracket Round 1 Defeat,Final
Missouri,Northwestern (B),7,5,"03/08/2020, 10:00",Consolation Bracket Round 1 Defeat,Final
