Bring The Huckus 10 2020,College - Men ,22,2,2020
Vineland,NJ,2020-02-22,2020-02-23
https://play.usaultimate.org/events/Bring-The-Huckus-10-2020/schedule/Men/CollegeMen/
Villanova,1
26,Jack McShane
27,Justin Juchnewich
32,Luke Pohlman
42,Preston Atkins
44,Andrew  Rizzo
62,Benjamin Gutchess
64,Jonathan Ramos
99,Alex Python
b,r,e,a,k
MIT,2
teamInfo,Grim Beaver,"Cambridge, Massachusetts",http://mens-ult.mit.edu,https://www.facebook.com/pages/MIT-Mens-Ultimate/129768873797702,https://twitter.com/MITultimate
0,Eric Wong
0,Eshaan Nichani
0,Henrik Boecken
0,Ian McNally
0,Kuo-An Wei
0,Luka Govedic
0,Mathew (Ganatra) Ganatra
0,Matthew Landis
0,Michael Kural
0,Michael Ma
0,Nathan Ramesh
0,Nicolas Arons
0,Albert Wu
0,Andrew Churchill
0,Sean Elliott
28,Carlos Trevino
36,Peter Rowley
b,r,e,a,k
Dickinson,15
teamInfo,Junkyard Turkeys,"Carlisle, Pennsylvania",,,https://twitter.com/jfturks
1,Brendan Wilmot
3,Ian Ransom
8,Jackson Broich
9,Wray Meltmar
04,Andrew Healey
11,Joel Thompson
13,Peter Gaston
14,Ian Shull
15,Theo Bufferd
20,Olin Rhoads
21,James Duthie
23,Adam Fine
33,Coulson Hamblett
52,Nathaniel Chaves
73,Nickolas Bradbury
96,Grant Nitta
b,r,e,a,k
Yale,3
teamInfo,Süperfly,"New Haven, Connecticut",http://superfly.sites.yale.edu,https://www.facebook.com/SuperflyUltimate,https://twitter.com/yalesuperfly
0,Conrad Cuevas
0,Daniel Ortega
0,Ryan Chiao
0,Todd Warshawsky
1,Masayuki Nagase
4,Seho Young
11,Anthony Ji
12,Kent Perlmutter
17,Kosuke Tominaga
21,Andrew Weitzman
22,Joseph Lybik
28,Jake Levin
30,Colin McCloskey
32,Mac Schmidt
38,Robert  Luo
b,r,e,a,k
Massachusetts-Lowell,14
teamInfo,Riverhawks,"Lowell, Massachusetts",,,
0,Trent Linker
1,Aidan Cahill
2,Kevin Giordano
7,Zack Kingsley
8,Tim Hartman
11,Zachary Wisniewski
12,Alan Bulavsky
13,John Buchanan
15,Stephanie Esker
17,Shivam Garg
20,Kevin Murphy
25,Riley Hurley
33,Nathan Rousseau
34,Tanner Cohen
36,Devin LeConti
57,James Berliner
63,Michael Fedorchak
71,Nicholas Salerno
73,Shubham Garg
81,Marcus Lapointe
b,r,e,a,k
Northeastern (B),11
teamInfo,Beastern,"Boston, Massachusetts",http://www.ultimate.neu.edu,https://www.facebook.com/NUMensUltimate,https://twitter.com/NUMensUltimate
0,Alex Ma
0,Alex  Leonelli
0,Alfred Maler
0,Chris Yang
0,Colin Leonelli
0,Malcolm Scruggs
0,Miles Dupee
0,Nelson Barnes
0,Nicholas Sutton
0,Nicholas Yoon
0,Nicholas Rossitto
0,Russell  Montalbano
0,Jeffrey Zhang
0,JP Collins
0,Sebastian Wicke
0,Steven Tanguilig
0,Theo Jolly
5,Kevin Dunne
7,Jakob Farnham
12,Ryan Brady
42,Spencer Sochin
46,Thomas Purcell
52,Benjamin Rubasch
59,Logan Shore
63,Lukas Illion
85,Gabe Vordick
92,James Greytok
94,Daniel Krasnonosenkikh
b,r,e,a,k
Swarthmore,6
teamInfo,Earthworms,"Swarthmore, Pennsylvania",,,@WormsUltimate
0,Adam Lloyd-Jones
0,Benjamin Kussmaul
0,Caleb Scott-Joseph
0,Carlos Almeida
0,Elliott Hendricks
0,Jasper Ferncrombie
0,John Cote
0,Jonathan Lehr
0,Kento Yamada
0,Keshav Patel
0,Leo Posel
0,Geoffrey Cater
0,Jacob Weitzner
0,Matthew Tornquist
0,Nathan Moreno-Mendelson
0,Nathaniel Cox
0,Otis Peterson
0,Ray Sidener
0,Rory Schmidt
0,Rye Buckley
0,Sagnik Gayen
0,Shane Jones
0,Terrence Xiao
0,Thomas Dell
0,Vinay Keefe
2,Jonathan Solomon
3,Michael Trainor
33,Lucas Meyer-Lee
38,Evan McNall
43,Matthieu Chalifour
69,Jacob Brady
b,r,e,a,k
Skidmore,12
teamInfo,Skidmore ThoroughBears,"Saratoga Springs, New York",,,
0,Andre Pinkney
0,JT McAllister
0,Mateo Evaristo
0,Michael Lazar
0,Zachary Troyanovsky
2,Nick Massaro
00,Eli Koester
11,Isaac Appel
13,Jake Stark
17,Shane Fuller
22,Owen Kumasaka
23,Phil McCutcheon
27,Isaiah Perkins
47,Cam Angwin
88,Samuel Nidorf
b,r,e,a,k
West Chester,5
teamInfo,West Chester A,"West Chester, Pennsylvania",,,
0,Colin O'Connor
0,Dan Ruban
0,Dayton Boquist
0,Dylan Edelman
0,Frank Dalton III
0,Jonathan Romero
0,Keith Wood
0,Kevin Glatts
0,Pierce Mahon
0,Roman DErrico
0,Ryan Carr
0,Ryan Fowler
4,Jason Chen
10,Tyler Duncan
12,Andrew  Poulos
15,Evan Revta
17,Sean Laughlin
23,Shadow Deyo
24,Luke Jarvis
41,Charles Villano
59,Peter  Gerdt
b,r,e,a,k
Connecticut (B),13
teamInfo,Grind,"Storrs, Connecticut",,,https://twitter.com/UConnUltimateB
coaches,Matthew Kearney
0,Christopher Vassallo
0,Colin Daniels
0,Danny Hoang
0,David Bigos
0,Jehan Thurainaygam
0,Jesse Deluca
0,John Gebhard
0,Brandon Smith
0,Brendan O'Shaughnessy
0,Kevin Spichiger
0,Noah Sobel-Pressman
0,Richard Ira
0,Richard Gebhard
0,Robert Dampier
0,Nicholas Donelan
3,Thomas Ingram
10,Ashkon Rajaee
13,Brian Metro
14,Joseph Mikulewicz
19,Michael Rostenberg
21,Nicholas Saracco
30,Andong Li
30,John Higgins
42,Andrew Dubsky
43,Anthony Delucia
b,r,e,a,k
Army,4
teamInfo,Army West Point,"West Point, New York",http://www.usma.edu/ultimate/SitePages/Home.aspx,https://www.facebook.com/AWPUltimate/,https://twitter.com/AWPUltimate
0,Abigail Duzan 
0,Connor Cerda
0,Garrett Smoot
0,Joseph Palombi
0,Kelsie Edie
0,Nathan Jenkins
0,Onorino Tamburri
0,Ryan Griffin
0,Steven Andreen
0,Trevor Lynn
0,Tyler Radziewicz
3,Zachary Hall
4,Mark Jaskot
9,Benjamin Fernquist
03,Anthony Miller
10,Frank Wheaton
19,Joseph Waldron
21,Cameron Kinder
23,Brant Raleigh
23,Matthew Paulton
26,Stephen DeMoss
31,Zachary Riemer
b,r,e,a,k
Rutgers (B),20
teamInfo,Mystery Machine,"Piscataway, New Jersey",,,
0,Andrew Hu
0,Bryan Law
0,Jeffrey Yang
0,Justin Siss
0,Kyler McKee
0,Nicolaus Stalzer
0,Patrick Lippert
0,Robert Witkowski
0,Sukrut Sonty
0,Timothy Zhang
0,TJ Giarrusso
0,Casey Xu
12,Philip Meltzer
41,Kalea Dodge
b,r,e,a,k
Northeastern (C),17
teamInfo,Salty C Dogs,"Boston, Massachusetts",http://www.ultimate.neu.edu,https://www.facebook.com/NUMensUltimate,https://twitter.com/NUMensUltimate
0,Andrew Rutkowski
0,Benjamin Fox
0,Alex Lurie
0,Garrett Kremer
0,Viraj Shirodkar
0,Michael Ravikovitch
0,Nicholas Angelino
0,Tucker Zakon-Anderson
4,Camden Bickel
08,Jeremy Aibel
12,Drew Burfeindt
25,Alexander Paul
33,Max Steinman 
38,Morgan Daciuk
42,Gabe Dobles
42,Gabriel Jentis
50,Eric Pedersen
53,Kevin Lewis
77,Will Cooper
b,r,e,a,k
SUNY-Binghamton (B),21
teamInfo,SUNY-Binghamton B,"Binghamton, New York",https://sites.google.com/binghamton.edu/binghamtonultimate/,https://www.facebook.com/binghamtonultimate/,
0,Archit Kothari
0,Colton Krill
0,Justin Cabrera
0,Mathew Schneider
0,Ricky Chen
7,Michael Sheldon
19,Kyle Olstein
25,Brian Goldberg
35,Ryan Blazejewski
36,Billy Daniels
45,Devon Umeozor
b,r,e,a,k
Yale (B),24
teamInfo,Friends of Gravity,"New Haven, Connecticut",http://superfly.sites.yale.edu/,https://www.facebook.com/SuperflyUltimate/,
0,Andrew Kornfeld
0,Daniel Liu
0,Daniel Lu
0,Gabriel Broome
0,John Kuszmaul
0,Matthew Zhang
0,Neal Ma
0,Tai Michaels
14,Ryan Fuentes
32,Yichen Hao
b,r,e,a,k
Sacred Heart,23
teamInfo,Laces,"Fairfield, Connecticut",,,
coaches,Thomas Barnouw
0,John Curcio
0,Matt Geffert
0,Patrick Milner
0,Peter Milner
9,Evan Sigouros
11,Josh Belluche
15,Kevin Doyle
17,Jonathan Pitcher
23,Charles Fogie
32,Matthew Cestone
44,Van Lupardi
55,Christopher Perez
86,Joe Samilenko
b,r,e,a,k
Princeton (B),19
teamInfo,Clockwork B,"Princeton, New Jersey",http://www.princeton.edu/~clockwrk/roster.html#/roster/1,,
0,Aaron Lichtblau
0,Alex Kaplan
0,Andre Guest
0,Andres Larrieu
0,Andrew Arking
0,Ewan Curtis
0,Gilbert Spencer
0,Juan Nova
0,Juston Forte
0,Patrick Townsend
0,Theo Mitchell
0,Thomas Silldorff
0,Vignesh Panchanatham
0,Dan McGee
0,Daniel Carter
0,Yoo Shin Tanai
3,Yazan Mimi
8,Luke Begley
36,Elijah Pomerantz
70,Matthew Trotter
77,Bryant Hall
b,r,e,a,k
Lehigh (B),22
teamInfo,Lehigh-B,"Bethlehem, Pennsylvania",modules/common/lehighultimate.com,,
0,Benjamin Aulenbach
0,Drew Miller
0,Liam Kenneally
0,Nick Owens
4,Zachary Corcoran
10,Robin Maillard
17,Owen Davies
18,Jesse Galloway
21,Karch Klos
27,Robert DiMartino
28,Jacob Stocker
30,Max Ferstan
37,Matthew Briggs
43,Alex Outkou
45,Jordan Chang
46,Marley O'Neil
52,William Maghak
56,Lester Huang
60,Jake Noss
64,Jackson Nichols-Worley
69,Daniel Fay
72,Grant Zuver
78,Caleb Leaser
90,Mitchell Chandler
91,Simeon Krizan
92,Zachary Coriarty
99,Jeremy Hunter
b,r,e,a,k
MIT (B),18
teamInfo,Woodmunchers,"Cambridge, Massachusetts",,,
0,Daniel Wisdom
0,Jonas Cameron
0,Kevin Ren
0,Anders Olsen
0,Raymond Li
0,Seiji Engelkemier
0,Siam Muquit
11,Matthew Yuan
18,Aneesh Gupta
69,Pranav Krishna
b,r,e,a,k
s,t,a,g,e,s
pools,Pool Play
pool,Pool A
Villanova,Haverford,12,7,"02/22/2020, 09:00",Pool A,Final
Stevens Tech,SUNY-Cortland,12,7,"02/22/2020, 09:00",Pool A,Final
Villanova,SUNY-Cortland,11,1,"02/22/2020, 10:30",Pool A,Final
Stevens Tech,Haverford,11,8,"02/22/2020, 10:30",Pool A,Final
Villanova,Stevens Tech,12,6,"02/22/2020, 12:00",Pool A,Final
Haverford,SUNY-Cortland,6,5,"02/22/2020, 12:00",Pool A,Final
pool,Pool B
MIT,Amherst College,7,10,"02/22/2020, 09:00",Pool B,Final
Ithaca,Dickinson,13,3,"02/22/2020, 09:00",Pool B,Final
MIT,Ithaca,6,11,"02/22/2020, 12:00",Pool B,Final
Amherst College,Dickinson,13,3,"02/22/2020, 12:00",Pool B,Final
MIT,Dickinson,13,2,"02/22/2020, 13:30",Pool B,Final
Ithaca,Amherst College,7,13,"02/22/2020, 13:30",Pool B,Final
pool,Pool C
Yale,Northeastern (B),7,5,"02/22/2020, 09:00",Pool C,Final
Swarthmore,Massachusetts-Lowell,6,12,"02/22/2020, 09:00",Pool C,Final
Yale,Massachusetts-Lowell,9,7,"02/22/2020, 10:30",Pool C,Final
Swarthmore,Northeastern (B),7,5,"02/22/2020, 10:30",Pool C,Final
Yale,Swarthmore,11,5,"02/22/2020, 13:30",Pool C,Final
Northeastern (B),Massachusetts-Lowell,10,9,"02/22/2020, 13:30",Pool C,Final
pool,Pool D
Army,Connecticut (B),F,W,"02/22/2020, 10:30",Pool D,Final
West Chester,Skidmore,7,10,"02/22/2020, 10:30",Pool D,Final
Army,West Chester,F,W,"02/22/2020, 12:00",Pool D,Final
Skidmore,Connecticut (B),10,5,"02/22/2020, 12:00",Pool D,Final
Army,Skidmore,F,W,"02/22/2020, 13:30",Pool D,Final
West Chester,Connecticut (B),11,4,"02/22/2020, 13:30",Pool D,Final
pool,Pool E
Northeastern (C),Rutgers (B),8,9,"02/22/2020, 09:00",Pool E,Final
SUNY-Binghamton (B),Yale (B),13,3,"02/22/2020, 09:00",Pool E,Final
Northeastern (C),Yale (B),10,2,"02/22/2020, 10:30",Pool E,Final
Northeastern (C),SUNY-Binghamton (B),9,8,"02/22/2020, 12:00",Pool E,Final
Rutgers (B),Yale (B),11,1,"02/22/2020, 12:00",Pool E,Final
Rutgers (B),SUNY-Binghamton (B),11,5,"02/22/2020, 13:30",Pool E,Final
pool,Pool F
MIT (B),Lehigh (B),3,13,"02/22/2020, 09:00",Pool F,Final
MIT (B),Sacred Heart,4,12,"02/22/2020, 10:30",Pool F,Final
Princeton (B),Lehigh (B),13,12,"02/22/2020, 10:30",Pool F,Final
Princeton (B),Sacred Heart,2,13,"02/22/2020, 12:00",Pool F,Final
MIT (B),Princeton (B),5,12,"02/22/2020, 13:30",Pool F,Final
Lehigh (B),Sacred Heart,6,12,"02/22/2020, 13:30",Pool F,Final
b,r,e,a,k
brackets,Bracket
bracket,Championship
Villanova,Amherst College,15,9,"02/23/2020, 13:50",Championship,Final
Villanova,Stevens Tech,15,10,"02/23/2020, 12:00",Semis,Final
Yale,Amherst College,10,11,"02/23/2020, 12:00",Semis,Final
Villanova,Ithaca,11,8,"02/23/2020, 10:30",Quarters,Final
Stevens Tech,Skidmore,10,9,"02/23/2020, 10:30",Quarters,Final
Yale,West Chester,13,8,"02/23/2020, 10:30",Quarters,Final
Massachusetts-Lowell,Amherst College,9,11,"02/23/2020, 10:30",Quarters,Final
Swarthmore,Villanova,6,13,"02/23/2020, 09:00",Pre-Quarters,Final
Ithaca,Connecticut (B),13,6,"02/23/2020, 09:00",Pre-Quarters,Final
Stevens Tech,Northeastern (B),11,10,"02/23/2020, 09:00",Pre-Quarters,Final
Sacred Heart,Skidmore,3,13,"02/23/2020, 09:00",Pre-Quarters,Final
Yale,SUNY-Cortland,13,5,"02/23/2020, 09:00",Pre-Quarters,Final
MIT,West Chester,7,10,"02/23/2020, 09:00",Pre-Quarters,Final
Haverford,Massachusetts-Lowell,0,1,"02/23/2020, 09:00",Pre-Quarters,Final
Amherst College,Army,9,7,"02/23/2020, 09:00",Pre-Quarters,Final
Swarthmore,Northeastern (C),11,4,"02/22/2020, 15:15",Play In,Final
Army,Princeton (B),13,5,"02/22/2020, 15:15",Play In,Final
Dickinson,Sacred Heart,8,12,"02/22/2020, 15:15",Play In,Final
SUNY-Cortland,Rutgers (B),9,6,"02/22/2020, 15:15",Play In,Final
bracket,9th Place
Northeastern (B),Army,8,11,"02/23/2020, 13:30",9th Place Game,Final
Swarthmore,Northeastern (B),4,11,"02/23/2020, 12:00",9th - Semis,Final
MIT,Army,6,11,"02/23/2020, 12:00",9th - Semis,Final
Swarthmore,Connecticut (B),12,11,"02/23/2020, 10:30",9th - Quarters,Final
Northeastern (B),Sacred Heart,13,3,"02/23/2020, 10:30",9th - Quarters,Final
SUNY-Cortland,MIT,6,8,"02/23/2020, 10:30",9th - Quarters,Final
Army,Haverford,1,0,"02/23/2020, 10:30",9th - Quarters,Final
bracket,5th Place
Skidmore,West Chester,0,1,"02/23/2020, 15:00",5th Place,Final
Ithaca,Skidmore,0,1,"02/23/2020, 13:30",5th - Semis,Final
West Chester,Massachusetts-Lowell,9,8,"02/23/2020, 13:30",5th - Semis,Final
bracket,3rd Place
Stevens Tech,Yale,10,15,"02/23/2020, 13:50",3rd Place,Final
bracket,7th Place
Ithaca,Massachusetts-Lowell,0,1,"02/23/2020, 15:00",7th Place,Final
bracket,17th Place Bracket
Northeastern (C),Princeton (B),0,1,"02/23/2020, 15:00",17th Place,Final
Northeastern (C),SUNY-Binghamton (B),10,7,"02/23/2020, 13:30",17th - Semis,Final
Lehigh (B),Princeton (B),8,13,"02/23/2020, 13:30",17th - Semis,Final
Northeastern (C),Yale (B),13,5,"02/23/2020, 12:00",17th - Quarters,Final
SUNY-Binghamton (B),Dickinson,11,9,"02/23/2020, 12:00",17th - Quarters,Final
Rutgers (B),Lehigh (B),0,1,"02/23/2020, 12:00",17th - Quarters,Final
Princeton (B),MIT (B),12,4,"02/23/2020, 12:00",17th - Quarters,Final
Yale (B),Lehigh (B),4,13,"02/22/2020, 15:15",17th - Play In,Final
SUNY-Binghamton (B),MIT (B),13,3,"02/22/2020, 15:15",17th - Play In,Final
bracket,21st Place
Dickinson,Rutgers (B),0,0,"02/23/2020, 15:00",21st Place,Final
Yale (B),Dickinson,6,12,"02/23/2020, 13:30",21st - Semis,Final
Rutgers (B),MIT (B),12,5,"02/23/2020, 13:30",21st - Semis,Final
b,r,e,a,k
