Stanford Invite 2020,College - Men ,7,3,2020
https://play.usaultimate.org/events/Stanford-Invite-2020/schedule/Men/CollegeMen/
Washington,1
0,Chris Small
0,Jake Yuen
0,Jesse Watt
0,Kevin Tong
0,Levi Keay
0,Nicholas Cheng
0,Nicolas Choy
0,Nicolas Sanchez
0,Jordan Zhao
0,Justin Chan
0,Samuel Micklem
0,Ty Barbieri
1,Karim Jamal
8,Devon Bringeland-Powell
11,Filip Kragl
14,Cole Keffer
21,Trevor McCann
31,Noah Kent
42,Steve Farra
50,Jonah Lee-Ash
86,Yu Chi Lin
99,Vincent Bulloch
b,r,e,a,k
California-Santa Barbara,12
0,Aaron Parker 
0,Jonathan Vo
2,Stefan Crigler
3,Isaac Hsu
8,Ryan Ridenour
9,Erik Bedrosian
10,Lorenzo Yabut
11,Calvin Dougher
13,Ralph Martini
15,Brice Redmond
17,Robert Odum
19,Liam Ereneta
21,Jason Zeidman
22,Duncan Brin
22,Manu Kondapaneni
23,Patrick Godfrey
23,Grayson Arensdorf
27,Ryan Barry
32,Ryan Oswalt
37,Kyle Johnson
43,Xavier Prochaska
77,Charlie Rous
b,r,e,a,k
Utah,13
0,Zev Gorfinkle
01,Nathan Huff
02,Jace Duennebeil
03,Wiro Wink
04,Kevin Castell
06,Tony Robinson
08,Cole Stenseth
10,Dylan Keyte
11,Trey Taylor
12,Nicholas Peters
13,Branden Frieden
17,Austin Hasbrook
19,Kenneth Goler
21,Nat Evans
22,John Mismash
23,Dane Miller
25,Joey Ginsburg 
27,Simon Greenhalgh
32,Dylan Cox
35,Cameron Hartman
36,Will Ginsburg
41,Harrison Sucher
50,Patrick  Beckett 
51,Alexander Knock
77,Connor Hess
b,r,e,a,k
s,t,a,g,e,s
pools,Saturday Pool Play
pool,Pool A
Washington,Oregon State,12,9,"03/07/2020, 09:00",Pool A
California,Southern California,13,4,"03/07/2020, 09:00",Pool A
Washington,Southern California,13,2,"03/07/2020, 10:30",Pool A
California,Oregon State,9,10,"03/07/2020, 10:30",Pool A
Washington,California,13,9,"03/07/2020, 13:30",Pool A
Oregon State,Southern California,13,6,"03/07/2020, 13:30",Pool A
pool,Pool B
Colorado,California-Santa Cruz,11,8,"03/07/2020, 10:30",Pool B
UCLA,Tufts,10,8,"03/07/2020, 10:30",Pool B
Colorado,Tufts,13,11,"03/07/2020, 12:00",Pool B
UCLA,California-Santa Cruz,10,9,"03/07/2020, 12:00",Pool B
Colorado,UCLA,12,9,"03/07/2020, 13:30",Pool B
Tufts,California-Santa Cruz,12,6,"03/07/2020, 13:30",Pool B
pool,Pool C
Cal Poly-SLO,Whitman,13,4,"03/07/2020, 10:30",Pool C
Colorado State,Stanford,8,12,"03/07/2020, 10:30",Pool C
Cal Poly-SLO,Stanford,12,6,"03/07/2020, 12:00",Pool C
Colorado State,Whitman,12,7,"03/07/2020, 12:00",Pool C
Cal Poly-SLO,Colorado State,13,7,"03/07/2020, 13:30",Pool C
Whitman,Stanford,10,11,"03/07/2020, 13:30",Pool C
pool,Pool D
Oregon,California-Santa Barbara,13,6,"03/07/2020, 09:00",Pool D
British Columbia,Utah,9,7,"03/07/2020, 09:00",Pool D
Oregon,Utah,12,7,"03/07/2020, 10:30",Pool D
British Columbia,California-Santa Barbara,10,9,"03/07/2020, 10:30",Pool D
Oregon,British Columbia,10,9,"03/07/2020, 13:30",Pool D
California-Santa Barbara,Utah,9,8,"03/07/2020, 13:30",Pool D
b,r,e,a,k
brackets,Sunday Bracket Play
bracket,Sunday Championship
Oregon,Colorado,10,13,"03/08/2020, 11:00",Finals
Washington,Oregon,8,9,"03/08/2020, 09:30",Semifinals
Colorado,Cal Poly-SLO,12,11,"03/08/2020, 09:30",Semifinals
Washington,Colorado State,13,10,"03/08/2020, 08:00",Quarterfinals
Oregon,Tufts,13,12,"03/08/2020, 08:00",Quarterfinals
Colorado,California-Santa Barbara,11,7,"03/08/2020, 08:00",Quarterfinals
Cal Poly-SLO,California,13,9,"03/08/2020, 08:00",Quarterfinals
UCLA,Colorado State,11,13,"03/07/2020, 15:00",Pre-Quarterfinals
Stanford,Tufts,8,10,"03/07/2020, 15:00",Pre-Quarterfinals
Oregon State,California-Santa Barbara,8,10,"03/07/2020, 15:00",Pre-Quarterfinals
British Columbia,California,9,11,"03/07/2020, 15:00",Pre-Quarterfinals
bracket,3rd Place
Washington,Cal Poly-SLO,10,13,"03/08/2020, 11:00",3rd Finals
bracket,5th Place
Colorado State,Tufts,13,12,"03/08/2020, 12:30",5th Finals
Colorado State,California,10,8,"03/08/2020, 09:30",5th Semis
Tufts,California-Santa Barbara,9,8,"03/08/2020, 09:30",5th Semis
bracket,9th Place
British Columbia,Oregon State,11,9,"03/08/2020, 12:30",9th Finals
UCLA,British Columbia,6,11,"03/08/2020, 11:00",9th Semis
Stanford,Oregon State,7,12,"03/08/2020, 11:00",9th Semis
bracket,11th
UCLA,Stanford,9,7,"03/08/2020, 12:30",11th Finals
bracket,7th Place
California,California-Santa Barbara,10,7,"03/08/2020, 12:30",7th Finals
b,r,e,a,k
pools,Sunday Consolation
pool,Pool E
Utah,California-Santa Cruz,10,11,"03/08/2020, 08:00",Pool E
Whitman,Southern California,12,9,"03/08/2020, 08:00",Pool E
Utah,Southern California,6,9,"03/08/2020, 09:30",Pool E
Whitman,California-Santa Cruz,10,11,"03/08/2020, 09:30",Pool E
Utah,Whitman,11,10,"03/08/2020, 11:00",Pool E
California-Santa Cruz,Southern California,12,8,"03/08/2020, 11:00",Pool E
b,r,e,a,k
