FCS D-III Tune Up 2020,College - Men ,29,2,2020
https://play.usaultimate.org/events/FCS-D-III-Tune-Up-2020/schedule/Men/CollegeMen/
Richmond,15
b,r,e,a,k
Navy,11
0,Benjamin McLellan
0,Eric Alcorn
0,Jeffery Homan
0,Daniel Goddard
0,Michael Guertler
3,Charles Dunn
4,Jack Stevenson
9,Brendan Cummins
01,Justin Miller
02,Caleb Vargo
05,Samuel Little
10,Michael Pyle
11,Anders Wuolo-Journey
11,Jacob Lunn
13,Andre Hichue
14,Dean Cole
17,Larry Wineman
19,Anthony Armad
20,Samuel Barge
21,Brendan Gloyd
22,Andrew Beck
25,Cameron Douglas
26,Christian Moreno
28,Max Benedetti
31,Connor Caniglia
33,Richard Brophy
54,Sean Martineau
85,Tyler Reasner
96,Jake Sundermier
b,r,e,a,k
Oberlin,13
2,Parker Swanson
6,Eli Presberg
7,Colin Cahill
8,Elliott DeGrace
12,John Sieber
13,Zejian Huang
14,Xander Cox
17,Noah Zobel
19,Joshua Turner
20,Alex Khater
23,Joaquin Cardozo
25,Julian Bregstone
33,Alec Perlow
42,Oliver Vickers Batzdorf
49,Eamon McKeon
69,Ian Grochocinski
71,Sagana Ondande
78,Andrew Carpenter
80,Christopher Schmucki
88,Alex Martin
b,r,e,a,k
Franciscan,7
00,Joe Salitsky
05,Lucas Ulmer
06,Anthony Humphrey
07,Nick Judge
08,Peter Zampino III
09,Edmund Colliflower
10,David Wallace
11,Austin Volk
12,Ben Lyle
13,Andrew Lyle
14,Dominic Gabriele
20,Mark Schuster
23,Christian Steiner
24,Joe Recznik
32,Gaven Alcantara
42,Alex Spieldenner
47,Andrew Kurt
52,Luke Mahon
54,Matthew Muldoon
86,Matthew Evans
88,Michael Schuster
89,Justin Moon
97,Scott Forrester
b,r,e,a,k
Berry,2
0,Alex Killingsworth
06,Matthew Magill
09,Christopher Bauguss
11,Walter Ellard
12,Aidan Meek
14,Marshall Cornell
16,Tanner Gregory
18,Benjamin Hudson
28,Chris Gmeiner
45,Samuel Doster
69,Parker Trump
96,Christian Casteel
99,Caleb Enright
b,r,e,a,k
Air Force,1
01,Kristof Lotivio
02,Carson McLaughlin
06,Gordon McCulloh
07,Michael Delatte
08,Bradley Kim
09,Keanu Komar
13,Connor Grant
19,Wyatt Lake
21,Romel Spight
22,Solomon Hanson
24,Joshua Vaden
28,Ryan Porath
33,Aiden Francomb
42,Eric Kenes
46,Michael Higgins
48,Andrew Clapp
54,Frank Duvall
80,Devin Wasilefsky
88,Juan Ramos
b,r,e,a,k
Davidson,5
0,Brody McCurdy
0,Connor  O’Leary
0,Haiqing Wang
0,Jack Helweg
0,Michael Robertson
0,Michael Bauman
0,Mohammad Saad Farooq
0,Landon Schabes
0,Satyajit Banerjee
5,Max Vierling
6,Peter Rock
7,Harry Warren
8,Jonathan Phillips
9,Duncan Snider
12,Jacob Tice
14,Kevin Chen
17,John Rogers
22,Ari Maki
24,Joel Maury-Holmes
27,Jonah Pesikoff
30,Zach Neville
33,Drew Nickels
42,Aidan O'Neill
45,Dustin Smith
55,Ethan George
64,William Stifel
69,Pavel Sonkin
77,Kevin Escott
99,Jack Swinson
b,r,e,a,k
Elon,6
0,Angel Negron
0,Ben Helpin
0,Christofer Moreira
0,Christopher Ervin
0,Connor Foulke
0,Devin Lewis
0,Harrison Ornest-Leslie
0,Jake Brewster
0,Jansen Redler
0,Jesse Newman
0,Joshua  Wimer
0,Kyle Cho
0,Michael Lesmez
0,Mikey Golaski
0,Remy Benzel
2,Garrett Wibbelsman
2,Jacob Wagner
5,Andy Galkin
5,Josh Strauss
6,Jake Parrish
8,Jack Libby
9,Daniel Ryan
13,Daniel Byrne
20,Cullan Quitmeyer
38,Wyatt Allen
42,Ethan  Askarinam
55,Andrew Fox 
69,Josh Poland
69,Jeff Pinarchick
87,Jake Cisternelli
88,Jacob Green
89,Nicholas Stewart
b,r,e,a,k
Messiah,9
2,David Miller
5,Matthew O'Neil
6,Ryan Riegel
9,Isaac Lambert
01,Nate Blaskewicz
07,Daniel Vallette
10,Logan Knepper
11,Mitchell Lauer
16,Matthew Simmons
17,Nick Hamann
18,Reece Horne
25,Andrew Clancy
26,Nathan Henry
28,Josh Kripas
32,Matthew  Kraft
33,Evan Poust
42,Samuel Goertzen
56,Joshua Beiler
65,Geoffrey McClary
94,Nate Harnish
b,r,e,a,k
Campbell,4
0,Jenna  Parker
01,D'Andre Ward
03,Thomas Cameron
04,Tyler Pritchett
07,Logan  Dubin
08,Christian Dawson-Jackson
09,James Kornegay
10,Charles Spencer
15,Hunter Jackson
24,Steven Icard
27,Justin Holland
32,Edmund  Cameron
33,Jacob Richmond
34,Alec Dement
66,Brady Furey
b,r,e,a,k
North Carolina-Asheville,12
0,Mitchell Magas
1,Logan Dye
2,Quillan Manning
5,Alex Mancini
6,Collin Wilkes
7,Kavin Srikanth
10,Harrison Ungert
11,Wilson Matthews
13,Darius Anglin
18,Ethan Cole
21,Martin Phillips
22,Paul Ikenberry
23,Trevor Pentland
24,Ben Hollrah
28,Miguel Schwiderke
32,Roy Farrell
34,Dakota Herzig
42,Henry Hill
55,Dean Merritt
69,Evan Johnson
88,Bow Rudolph
99,Aaron Sumner
b,r,e,a,k
Samford,16
02,Steven Riemersma
03,David Yancey
05,Parker Freedman
07,Ian Wilson
08,Jordan Chambliss
10,Hunter Adams
12,Joshua Bowers
16,Davis  Smith
22,Camp Wilhelm
32,Daniel Maynard
49,Will Gatlin
56,Sam Harris
88,Garrett Payton
99,Matthew Fazzalaro
b,r,e,a,k
Wooster,18
0,Aidan Mason
0,Andrew Thompson
0,Griffin Suppa
0,Isaac Schwartz
0,Leo Weeks
0,Nick Harling
0,Yuchen Yang
1,Nicholas Scherson
4,Charles Quigley
5,Gregory  Bell
9,Michael Alber
11,Nathaniel Berle
14,Mason Minerva
17,Jonah Kadens
22,Nick Wyckoff
37,Curtis Kinnaman
45,Rephael Berkooz
53,Jack Felch
b,r,e,a,k
High Point,8
0,Michael Tesauro
1,Ryan Weigand
2,Ashley King
3,Joseph Crowley
4,Alex Smith
5,Ryan Willome
6,William Peters
7,Zach Williams
8,Madison Peterson
9,Danielle Hawkett
10,Christian Vellozzi
11,Austin Trevino
12,Braeden Thompson
13,Pete Isler
14,Angelina Harootunian
16,Delia Kenny
18,Marcus DeKnatel
19,Spencer Wong
20,Christopher Shea
21,Luke Verdeur
22,Conner Sager
23,Hunter Ayyad
24,Josh Noel
26,Christos Haramis
30,Gregory Elmokian
32,James Mauren
33,Will Murphy
55,McKinley Johnson
69,Rory Pako
77,Michael Castellana
97,Riley Mullen
99,John Hamilton
b,r,e,a,k
s,t,a,g,e,s
pools,Shootout
pool,Pool A
Messiah,North Carolina-Asheville,13,11,"02/29/2020, 09:00",Pool A
Xavier,Navy,13,8,"02/29/2020, 09:00",Pool A
Berry,Franciscan,9,13,"02/29/2020, 09:00",Pool A
Wooster,Elon,6,10,"02/29/2020, 09:00",Pool A
Samford,Campbell,10,5,"02/29/2020, 09:00",Pool A
Oberlin,Davidson,12,10,"02/29/2020, 09:00",Pool A
High Point,Shippensburg,7,11,"02/29/2020, 09:00",Pool A
Air Force,Samford,10,8,"02/29/2020, 10:45",Pool A
Brandeis,Missouri S&T,8,9,"02/29/2020, 10:45",Pool A
Richmond,Oberlin,13,11,"02/29/2020, 10:45",Pool A
Portland,North Carolina-Asheville,11,13,"02/29/2020, 10:45",Pool A
Wooster,High Point,10,6,"02/29/2020, 10:45",Pool A
Shippensburg,Franciscan,9,13,"02/29/2020, 10:45",Pool A
Messiah,Davidson,12,13,"02/29/2020, 10:45",Pool A
Campbell,Xavier,9,11,"02/29/2020, 10:45",Pool A
Franciscan,Missouri S&T,10,13,"02/29/2020, 12:30",Pool A
Brandeis,North Carolina-Asheville,11,10,"02/29/2020, 12:30",Pool A
Oberlin,Navy,11,13,"02/29/2020, 12:30",Pool A
Samford,Elon,7,11,"02/29/2020, 12:30",Pool A
Wooster,Berry,6,13,"02/29/2020, 12:30",Pool A
Air Force,Davidson,13,9,"02/29/2020, 12:30",Pool A
Portland,Richmond,10,9,"02/29/2020, 12:30",Pool A
Franciscan,Portland,10,13,"02/29/2020, 14:15",Pool A
Berry,Richmond,9,11,"02/29/2020, 14:15",Pool A
Campbell,Navy,3,13,"02/29/2020, 14:15",Pool A
Xavier,Messiah,8,10,"02/29/2020, 14:15",Pool A
Air Force,Oberlin,11,12,"02/29/2020, 14:15",Pool A
Missouri S&T,High Point,13,1,"02/29/2020, 14:15",Pool A
Davidson,Brandeis,6,12,"02/29/2020, 14:15",Pool A
Elon,Shippensburg,4,9,"02/29/2020, 14:15",Pool A
Brandeis,Wooster,13,5,"02/29/2020, 16:00",Pool A
Navy,Messiah,11,9,"02/29/2020, 16:00",Pool A
Portland,Campbell,13,4,"02/29/2020, 16:00",Pool A
Air Force,High Point,13,5,"02/29/2020, 16:00",Pool A
North Carolina-Asheville,Berry,13,10,"02/29/2020, 16:00",Pool A
Samford,Shippensburg,11,13,"02/29/2020, 16:00",Pool A
Elon,Xavier,4,13,"02/29/2020, 16:00",Pool A
Missouri S&T,Richmond,12,13,"02/29/2020, 17:00",Pool A
Elon,Oberlin,13,12,"03/01/2020, 08:30",Pool A
Richmond,Franciscan,12,7,"03/01/2020, 08:30",Pool A
Portland,Xavier,11,12,"03/01/2020, 08:30",Pool A
High Point,Berry,8,13,"03/01/2020, 08:30",Pool A
Missouri S&T,Shippensburg,11,13,"03/01/2020, 08:30",Pool A
Air Force,Brandeis,11,13,"03/01/2020, 08:30",Pool A
Messiah,Samford,13,9,"03/01/2020, 08:30",Pool A
Davidson,Wooster,10,9,"03/01/2020, 08:30",Pool A
Navy,North Carolina-Asheville,13,7,"03/01/2020, 08:30",Pool A
Davidson,Portland,11,13,"03/01/2020, 10:15",Pool A
Messiah,Missouri S&T,10,11,"03/01/2020, 10:15",Pool A
Xavier,Richmond,8,12,"03/01/2020, 10:15",Pool A
Brandeis,Elon,13,8,"03/01/2020, 10:15",Pool A
Wooster,Campbell,5,13,"03/01/2020, 10:15",Pool A
Navy,Franciscan,9,13,"03/01/2020, 10:15",Pool A
North Carolina-Asheville,Shippensburg,9,10,"03/01/2020, 10:15",Pool A
Oberlin,Samford,13,7,"03/01/2020, 10:15",Pool A
Air Force,Berry,8,13,"03/01/2020, 10:15",Pool A
Richmond,Messiah,11,9,"03/01/2020, 12:00",Pool A
Air Force,Navy,9,13,"03/01/2020, 12:00",Pool A
North Carolina-Asheville,Missouri S&T,9,13,"03/01/2020, 12:00",Pool A
Shippensburg,Davidson,6,12,"03/01/2020, 12:00",Pool A
Portland,Berry,13,11,"03/01/2020, 12:00",Pool A
Samford,Xavier,8,11,"03/01/2020, 12:00",Pool A
High Point,Campbell,2,13,"03/01/2020, 12:00",Pool A
Franciscan,Brandeis,13,11,"03/01/2020, 12:00",Pool A
b,r,e,a,k
