2020 Queen City Tune Up Youth Tournament,Youth Club U-20 - Boys ,7,3,2020
Pineville,NC,2020-03-07,2020-03-08
https://play.usaultimate.org/events/2020-Queen-City-Tune-Up-Youth-Tournament/schedule/Boys/youth-club-u-20-boys/
Grady High School,1
13,Flavius Penescu
14,Sam Hobbs
14,Erik Wolstenholme
24,David Romanelli
25,Collin Hill
27,Mason Myler
b,r,e,a,k
Edina High School,6
teamInfo,Edina High School Varsity,"Edina, Minnesota",modules/common/edinaultimate.org/,modules/common/facebook.com/edinaultimate,twitter.com/edinaultimate
coaches,Nate Wohl
01,James Harvey
02,Edward Rosenthal
04,Kai Bowen
05,Matthew Kompelien
07,Charlie Zdechlik
08,Nick Walker
10,Will Brandt
11,Joe Wohlford
12,Mason Platt
13,Peter Mans
15,Nicholas Grafe
16,Nathan Seymour
17,Connor Lund
19,J Calvin Rice-Slothower
21,Michael Wagner
23,Paul Krenik
25,Nate Pascale
26,Charlie Wagner
b,r,e,a,k
Apex High School,15
teamInfo,Apex,"Apex, North Carolina",,https://www.facebook.com/groups/1303017673209171/,
coaches,Spencer Weiss
0,Sean Wiles
0,Zach Dybal
00,Thomas Ketterer
00,Walker Brown
00,Colby O'Grady
00,Connor Langley
00,Ethan Burgess
00,Gavin Russell
00,Henry Greene
00,Jake Langenbach
00,John Rabb
00,Lance Gardner
00,Radek Kerr
00,Russell  Quaintance
07,Dylan Youngberg
14,Kurt Fox
69,Sean Brown
99,Daniel O'Connor
b,r,e,a,k
Paideia School,3
teamInfo,Gruel,"Atlanta, Georgia",,,
coaches,Michael Baccarini,Martin Aguilera
0,Will Orr
03,Jacob Croskey
04,Philip Painting
05,William Hagan
07,Theo Stein
09,Camilo Castrillon
10,James Russell
11,Jacob Lairson
12,Nicholas Lin
13,Javier Pardo
19,Jordan Leslie
23,Jack Krugler
24,Aiden Danzig
26,Lawson Paolini
29,Kai Diez
31,James Collins
32,Leonard Mayorga
34,August Draper
39,Chris Trowhill
40,AJ Dyer
41,Isaac Wallack
44,Ike Veal
b,r,e,a,k
Bethesda-Chevy Chase,10
teamInfo,Barons,"Bethesda, Maryland",,https://www.facebook.com/BCCBaronsUltimate,https://twitter.com/BCCUltimate
coaches,Andrew Nguyen
0,Alexander Kerr
0,Ari Siegel
0,Claire Wang
0,Drew Olsen
0,Henry Soffronoff
0,Leo Seidman
0,Max Posner
6,Gavin Crowell
7,Larissa Sakaria
10,Gabriel Scheck
11,Isabella Wahl
12,Griffin O'Neal-Freeman
13,Finian Zakas
14,Ryan Ward
17,Jonah Sparling
19,Adam Goldstein
21,Lucas Zutt
32,Oliver Kahn
37,Daniel Siegel
71,Aaron Knishkowy
b,r,e,a,k
Carrboro High School,5
teamInfo,Carrboro Clams,"Carrboro, North Carolina",,,@carrboroclams
coaches,Schuyler Kylstra
0,Aanand Yu
0,Akshay Mankad
0,Alexander Anderson
0,Andrew Hoffman
0,Anil Driehuys
0,Bryan Reed
0,Crosby Adair
0,Evan Selleck
0,Kevin Tanner
0,Nathan Adair
0,Nico Field
0,Ryan Norris
0,Sean Billy
0,Seiji Kakefuda
0,Warren Kinnaman
0,Watkins Parker
0,William Hand
0,Xander Wilcox
0,Jake Schwartz
3,Josh Singleton
14,Feliks Ciesielski
b,r,e,a,k
Wilson,4
teamInfo,Wilson Tigers,"Washington, District of Columbia",,,
coaches,David Ohls
0,Andy Burris
0,Aris Kurtz-Papadopoulos
0,Asher Rosen
0,Beckett Sessums
0,Brian Metzger
0,Jaden Morgan
0,Josh Solomon
0,Marcus Lee
0,Gabriel Solomon
0,Robert Jimenez
0,Ryan Cheney
0,Xavier Jackson
0,Ziaire Beckham
14,Aaron Bartlett
17,Riley Frey
21,Tamir Hill-Marshall
28,Claire Lee
33,Talyx Hochstein
57,Christopher O'Mara
58,Henry Frankel
b,r,e,a,k
East Chapel Hill,16
teamInfo,ECHHS,"Chapel Hill, North Carolina",http://eastchapelhillultimate.com/,,@ECHHSUltimate
0,Luca Mitran
0,Mason Hudnall
0,Matthew Sullivan
0,Max Moskovitz
0,Milo Moskovitz
0,Neal Zeng
0,Owen Pynn
0,Peter Xu
0,Rutledge Smith
0,Busbee Pace
0,Julian Morin-Kensicki
0,Vincent Zhang
0,Wade Buchheit
3,Sein  Thein
11,Evan Phillips
69,Ian Foley
72,Brandon Bass
76,Logan Heck
b,r,e,a,k
Catholic High School,9
teamInfo,Catholic High Bears,"Baton Rouge, Louisiana",,,
coaches,Kyle Breen
0,Andrew Sellers
0,Collin Casseri
0,Connor Sanders
0,Grant  LeSage
0,Jonah Stagg
0,Michael Bianca
0,Michael Gonzalez
1,Evan Bourgeois
3,Austin Savoy
11,Charles Gordon
12,Daniel Carter
15,Ben Watts
36,Josh Hollier
38,Sidney Keller
b,r,e,a,k
Green Hope,17
teamInfo,Green Hope High School,"Cary, North Carolina",,,
0,Dhruv Kaushal
0,Fletcher Hayden
0,Joshua Mills
0,Logan Talton
0,Matthew Foreman
0,Michael Herrera
0,Nate Scofield
0,Naveen Vridhachalam
0,Owen Charles Maddocks
0,Varun Iyer
0,Varun Pillai
5,Luke Berger
9,Enzo Arcuri
25,Allen MacMillan
27,Wilson Matsuo
88,Christopher Saacks
99,Dhairya Desai
b,r,e,a,k
Weddington High School,21
teamInfo,Weddington Warriors,"Charlotte, North Carolina",,,
coaches,Kurt Kuelz,Wesley Dudas
0,Adam Peterson
0,Alan Skufca
0,Alex Ballentine
0,Alexander Reese
0,Brandon Peters
0,Christian Peters
0,Christian Belus
0,Joel Holder
0,Max Greenberg
0,Quinn Scott
0,Ryan Manuel
0,Tanishq Kaushik
15,John Verbeck
33,Walker Terrell
b,r,e,a,k
Asheville High School,20
teamInfo,Cougars,"Asheville, North Carolina",,,
coaches,Richard Holder
0,Caleb Sizemore
0,Nolan Patenotte
0,Nolan Dunlap
2,Anthony  Garcia 
01,William Esmond
02,Riley Rundell
03,Caden Bennett-Werley
05,Bradley  Fagan
06,Amani Holder
09,Sam Woodworth
10,Noah Shearer
11,Evan Comer
18,Braden Young
19,Maxwell Butterworth
20,Graham Hunter
22,Henry Bick
b,r,e,a,k
East Chapel Hill (B),24
teamInfo,ECHHS B,"Chapel Hill, North Carolina",,,
0,Arjun Deshmukh
0,Benjamin Saterbak
0,Benjamin Van Duin
0,Carter Strong
0,Daniel Zhang
0,Helin Zhang
0,Henry Stander
0,Husam Salem
0,Joseph Xarlacos
0,Lucas Cardoso Correa
0,Alexander Van Duin
0,Xiaoshu Wang
0,Paul Lindner
8,Andrew Fan
26,Norman Xie
31,Charlie Van Winkle
b,r,e,a,k
Pine-Richland,19
teamInfo,Pine-Richland Boys,"Gibsonia, Pennsylvania",https://sites.google.com/view/pinerichlandultimate/about-us,,
coaches,Kelly Rigsbee
0,Brandon Wees
0,Devin McCue
0,Dylan Staples
0,Ethan Landis
0,Evan Grande
0,Jerek Stegman
0,Justin Waltrip
0,Luke Waltrip
0,Reid Duncan
8,Matthew Farmar
23,Eliot Duncan
25,Samuel Mahsoob
33,Aidan Pavlick
69,Grant Waltrip
75,Luke Gochis
97,Jacob Szafranski
b,r,e,a,k
Ardrey Kell High School,18
teamInfo,AKult,"Charlotte, North Carolina",,,
coaches,Cory McAvoy
0,Hari Shankar
0,Nicholas Perkins
0,Philip Vishnevsky
0,Utkarsh Varma
0,William Leach
3,Diego Collazo
9,Daniel Rabinovich
12,Logan Gately
15,Charan  Relangi
17,Malcolm Duellman
23,Tejas Sivarajakumar
29,Mahith Edula
31,Natalie Stricklin
37,Arjun Shukul
41,Joey Hughes
46,Ayush Padhi
59,Sathvik Avulapati
b,r,e,a,k
Grimsley High School,23
teamInfo,Grimsley Ultimate,"Greensboro, North Carolina",,,
coaches,Michael Ridge
0,Alex Gertz
0,Benjamin Peterson
0,Chris  Glebus
0,Mateo DeLisa
0,Matthew Wheaton
0,Dawit  Hadgu
0,Jacob Green 
0,Paul McManus
0,William Fredericks
5,Peter Geniac
13,Jake Moore
14,Jaden Parker
27,Zach Hutton
69,Max Goetz
69,Noah Smith
78,Dain Hutton
b,r,e,a,k
North Carolina School of Science and Math,22
teamInfo,Science and Math Ultimate Frisbee,"Durham, North Carolina",,,
coaches,Hart Matthews,Caroline Saul
0,Agnim Agarwal
0,Alvin Chen
0,David Nguyen
0,Dexter Andrews
0,Gabe Williams
0,Henry Chen
0,Kevin Chen
0,Trevor Wiedmann
0,Tyler Coyne
3,Charles Gottlieb
7,Daniel Fang
23,Martin Ha
86,Brian Hua
90,Luca Makarushka-Napp
b,r,e,a,k
Research Triangle Highschool,25
teamInfo,Raptors,"Durham, North Carolina",https://raptorultimate123.wixsite.com/website,,
coaches,Chris Goodrich
0,Andrew Brosnan
0,David Dixon
0,Elliott Salter
0,Noah Lipkus
0,Victor Navarro 
0,William Duke
10,Rafael Hopf
19,Will Cunningham
21,Chase Viscuse
69,Joshua Thome
b,r,e,a,k
s,t,a,g,e,s
pools,Pool Play
pool,Pool A
Grady High School,University School of Nashville,10,5,"03/07/2020, 09:00",Pool A,Final
Hopkins High School Varsity Boys,Jordan High School,8,9,"03/07/2020, 09:00",Pool A,Final
Grady High School,Jordan High School,9,8,"03/07/2020, 12:00",Pool A,Final
Hopkins High School Varsity Boys,University School of Nashville,6,7,"03/07/2020, 12:00",Pool A,Final
Grady High School,Hopkins High School Varsity Boys,9,6,"03/07/2020, 13:30",Pool A,Final
University School of Nashville,Jordan High School,1,13,"03/07/2020, 13:30",Pool A,Final
pool,Pool B
Carolina Friends School,Lakeside High School,5,4,"03/07/2020, 09:00",Pool B,Final
Chapel Hill High School,Madison,6,8,"03/07/2020, 09:00",Pool B,Final
Carolina Friends School,Madison,10,5,"03/07/2020, 12:00",Pool B,Final
Chapel Hill High School,Lakeside High School,8,6,"03/07/2020, 12:00",Pool B,Final
Carolina Friends School,Chapel Hill High School,9,6,"03/07/2020, 13:30",Pool B,Final
Lakeside High School,Madison,5,9,"03/07/2020, 13:30",Pool B,Final
pool,Pool C
Paideia School,Bethesda-Chevy Chase,7,6,"03/07/2020, 09:00",Pool C,Final
Edina High School,Apex High School,10,3,"03/07/2020, 09:00",Pool C,Final
Paideia School,Apex High School,3,10,"03/07/2020, 12:00",Pool C,Final
Edina High School,Bethesda-Chevy Chase,13,0,"03/07/2020, 12:00",Pool C,Final
Paideia School,Edina High School,1,13,"03/07/2020, 13:30",Pool C,Final
Bethesda-Chevy Chase,Apex High School,1,11,"03/07/2020, 13:30",Pool C,Final
pool,Pool D
Wilson,Catholic High School,9,4,"03/07/2020, 09:00",Pool D,Final
Carrboro High School,East Chapel Hill,9,4,"03/07/2020, 09:00",Pool D,Final
Wilson,East Chapel Hill,11,5,"03/07/2020, 10:30",Pool D,Final
Carrboro High School,Catholic High School,10,6,"03/07/2020, 10:30",Pool D,Final
Wilson,Carrboro High School,4,10,"03/07/2020, 13:30",Pool D,Final
Catholic High School,East Chapel Hill,6,9,"03/07/2020, 13:30",Pool D,Final
pool,Pool E
Green Hope,Weddington High School,9,8,"03/07/2020, 09:00",Pool E,Final
Asheville High School,East Chapel Hill (B),9,6,"03/07/2020, 09:00",Pool E,Final
Green Hope,East Chapel Hill (B),13,2,"03/07/2020, 10:30",Pool E,Final
Asheville High School,Weddington High School,4,8,"03/07/2020, 10:30",Pool E,Final
Green Hope,Asheville High School,10,2,"03/07/2020, 13:30",Pool E,Final
Weddington High School,East Chapel Hill (B),12,1,"03/07/2020, 13:30",Pool E,Final
pool,Pool F
Ardrey Kell High School,North Carolina School of Science and Math,9,6,"03/07/2020, 09:00",Pool F,Final
Pine-Richland,Grimsley High School,10,3,"03/07/2020, 09:00",Pool F,Final
Ardrey Kell High School,Grimsley High School,7,8,"03/07/2020, 10:30",Pool F,Final
Pine-Richland,North Carolina School of Science and Math,8,5,"03/07/2020, 10:30",Pool F,Final
Ardrey Kell High School,Pine-Richland,2,13,"03/07/2020, 13:30",Pool F,Final
North Carolina School of Science and Math,Grimsley High School,8,7,"03/07/2020, 13:30",Pool F,Final
b,r,e,a,k
brackets,U20 Boys DI
bracket,Championship Bracket
Carrboro High School,Edina High School,9,10,"03/08/2020, 13:30",Finals,Final
Grady High School,Carrboro High School,8,9,"03/08/2020, 12:00",Semis,Final
Edina High School,Carolina Friends School,10,7,"03/08/2020, 12:00",Semis,Final
Grady High School,Madison,11,7,"03/08/2020, 10:30",Quarters,Final
Carrboro High School,Apex High School,9,6,"03/08/2020, 10:30",Quarters,Final
Edina High School,Wilson,12,6,"03/08/2020, 10:30",Quarters,Final
Carolina Friends School,East Chapel Hill,11,8,"03/08/2020, 10:30",Quarters,Final
Madison,Paideia School,7,6,"03/07/2020, 16:40",Pre-Quarters,Final
Apex High School,Chapel Hill High School,10,8,"03/07/2020, 16:40",Pre-Quarters,Final
University School of Nashville,Wilson,2,9,"03/07/2020, 15:10",Pre-Quarters,Final
Jordan High School,East Chapel Hill,7,8,"03/07/2020, 15:10",Pre-Quarters,Final
bracket,3rd Place
Grady High School,Carolina Friends School,8,9,"03/08/2020, 13:30",3rd Finals,Final
bracket,5th Place
Apex High School,Wilson,9,6,"03/08/2020, 15:00",5th Finals,Final
Madison,Apex High School,6,8,"03/08/2020, 13:30",5th Semis,Final
Wilson,East Chapel Hill,9,6,"03/08/2020, 13:30",5th Semis,Final
bracket,7th Place
Madison,East Chapel Hill,8,9,"03/08/2020, 15:00",7th Final,Final
b,r,e,a,k
brackets,U20 Boys DII
bracket,Championship Bracket
Jordan High School,Chapel Hill High School,12,7,"03/08/2020, 13:30",Finals,Final
Paideia School,Jordan High School,5,13,"03/08/2020, 12:00",Semis,Final
Green Hope,Chapel Hill High School,7,9,"03/08/2020, 12:00",Semis,Final
Paideia School,Ardrey Kell High School,9,8,"03/08/2020, 09:00",Quarters,Final
Hopkins High School Varsity Boys,Jordan High School,7,9,"03/08/2020, 09:00",Quarters,Final
University School of Nashville,Green Hope,6,13,"03/08/2020, 09:00",Quarters,Final
Weddington High School,Chapel Hill High School,5,12,"03/08/2020, 09:00",Quarters,Final
Hopkins High School Varsity Boys,Pine-Richland,11,10,"03/07/2020, 15:10",Pre-Quarters,Final
Bethesda-Chevy Chase,Weddington High School,4,10,"03/07/2020, 15:10",Pre-Quarters,Final
Lakeside High School,Ardrey Kell High School,5,6,"03/07/2020, 15:10",Pre-Quarters,Final
bracket,3rd Place
Paideia School,Green Hope,9,7,"03/08/2020, 13:30",3rd Final,Final
bracket,5th Place
Hopkins High School Varsity Boys,University School of Nashville,1,0,"03/08/2020, 15:00",5th Finals,Final
Ardrey Kell High School,Hopkins High School Varsity Boys,3,13,"03/08/2020, 12:00",5th Semi,Final
University School of Nashville,Weddington High School,10,6,"03/08/2020, 12:00",5th Semi,Final
bracket,7th Place
Weddington High School,Ardrey Kell High School,8,10,"03/08/2020, 15:00",7th Finals,Final
b,r,e,a,k
brackets,U20 Boys DIII
bracket,Championship Bracket
Pine-Richland,Lakeside High School,9,5,"03/08/2020, 13:30",Finals,Final
Pine-Richland,Bethesda-Chevy Chase,10,7,"03/08/2020, 10:30",Semi,Final
Lakeside High School,Grimsley High School,8,5,"03/08/2020, 10:30",Semi,Final
Bethesda-Chevy Chase,North Carolina School of Science and Math,13,2,"03/08/2020, 09:00",Quarters,Final
Lakeside High School,East Chapel Hill (B),10,3,"03/08/2020, 09:00",Quarters,Final
Asheville High School,Grimsley High School,7,10,"03/08/2020, 09:00",Quarters,Final
Pine-Richland,Research Triangle Highschool,8,7,"03/08/2020, 09:00",Quarters,Final
bracket,3rd Place
Bethesda-Chevy Chase,Grimsley High School,0,1,"03/08/2020, 15:00",3rd Finals,Final
bracket,5th Place
Research Triangle Highschool,Asheville High School,1,0,"03/08/2020, 15:00",5th Finals,Final
East Chapel Hill (B),Asheville High School,5,13,"03/08/2020, 12:00",Semi,Final
Research Triangle Highschool,North Carolina School of Science and Math,7,3,"03/08/2020, 12:00",Semi,Final
bracket,7th Place
East Chapel Hill (B),North Carolina School of Science and Math,6,9,"03/08/2020, 15:00",7th Final,Final
b,r,e,a,k
clusters,Cross Over
cluster,Cross Over 1
Catholic High School,Edina High School,2,13,"03/07/2020, 15:10",,Final
Catholic High School,Carolina Friends School,8,4,"03/07/2020, 16:40",,Final
Grady High School,Carrboro High School,11,4,"03/07/2020, 16:40",,Final
East Chapel Hill (B),North Carolina School of Science and Math,3,9,"03/07/2020, 16:40",,Final
b,r,e,a,k
