Santa Barbara Invite 2020,College - Women ,25,1,2020
Santa Barbara,CA,2020-01-24,2020-01-26
https://play.usaultimate.org/events/Santa-Barbara-Invite-2020/schedule/Women/CollegeWomen/
California-San Diego,1
0,Lauren Kong
0,Lily Laugharn
0,Madison Ueland
1,Sidney Stevens
8,Hanna Yip
10,Sesha McMinn
11,Bridget Connor
14,Sarah Kratzer
15,Sarah Bloom
17,Daphne Guo
33,Margaret Coad
50,Maika Isogawa
55,Elena Kamas
84,Hallie Dunham
99,Xinzhi Zou
b,r,e,a,k
Washington University,13
00,Nina Mantegna
01,Isabella Singer
04,Kira Harris
05,Katie Madden
06,Kate Sands
10,Julia Wang
11,Sarah Stier
12,Ainsley Tran
16,Lindsey Hauck
18,Emily Lawrence
21,Maggie Zhang
27,Talia Paulson
29,Irene Zhou
31,Allison Murphy
45,Sophia Smith
54,Allie Periman
64,Isabel Shapiro
77,Margaret Eisfelder
81,Alli Levitas
b,r,e,a,k
California-Santa Barbara,2
0,Jennifer Bardwell
0,Kaitlyn Weaver
0,Kana Suzuki
0,Kate  Carroll
0,Kelsey Pennington
0,Kiera Plioplys
0,Kunzang Namgyal
0,Leah Forester
0,Lekha Haritsa
0,Mackenzie Miller
0,Makenna Gavcus
0,Marie Levisay
0,Mika Leslie
0,Nicki Yang
0,Riya Singh
0,Sophie Miller
0,Terra Dressler
0,Emily Youngblood
0,Emma Gallagher
0,Amanda Zabriskie
0,Claire Haddad
0,Victoria Hausch
0,Yu Ishii
4,Elsa Winslow
5,Felicia Cruz
11,Jasmine Childress
34,Tessa Cortez
b,r,e,a,k
Vermont,7
00,Emily Bridgers
03,Anna  Humphreys 
04,Greta Pellerin
05,Eliana Moskovitz
08,Caroline Green
09,Lane  Dibler
11,Allison Huresky
13,Bethany  Eldridge
14,Charlotte Laseter
15,Sarah Rose
16,Marina Godley-Fisher
19,Samantha Blumstein
20,Maya Fein-Cole
21,Alexandra Greer
23,Emily Wanzer
24,Bettina Fahndrich
27,Elizabeth Jamison
29,Juliana Landis
31,Emma Massey
33,Ashley Brogan
44,Sarah VonDoepp
77,Kennedy McCarthy
b,r,e,a,k
Northwestern,15
0,Jessica Esteves
0,Kate  Feldstein
0,Kylie Chesner
0,Lauren McDonnell
0,Lindsey Steeg
0,Natalie Dodson
0,Rachel Anderson
0,Rey Tang
0,Cindy Mei
0,Grace Hauser
0,Isabelle Johnson
7,Sydney Stelzer
01,Sarah Johnson
03,Sara Gnolek
20,Corinne Burger
28,Talia Willmert
29,Jade Hostein
88,Catherine Chen
b,r,e,a,k
Brigham Young,10
0,Tami Lee
01,Abigail Whitlock
02,Alley Lunsford
03,Kate Moulton
04,Tayler Raff
07,Noelle Whitney
08,Laura Voellger
12,Anna Tasso
13,Casstique Williams
15,Sailor Ong
17,Samantha Kulka
19,Robyn Watson
20,Allison  Correa
24,LiAnne Hammond
25,Madeline Paskett
28,Bryce Newman
30,Lauren  Hall
35,Alicia Seeley
44,Elli Dastrup
45,Sylvia Brown
97,Elisabeth Schloss
b,r,e,a,k
California-Santa Cruz,17
0,Adeleen Khem
0,Camila Grossman
0,Claire Deutsch
0,Emma Morimoto
0,Mara Baylis
0,Mariah Gehring
0,Roselene  Chen
0,Sylvie Amstutz
0,TaraBryn Grismer
7,Michelle Slaughter
17,Elena Neale
99,Emma Cosby
b,r,e,a,k
s,t,a,g,e,s
pools,Saturday
pool,Pool A
California-San Diego,California,13,7,"01/25/2020, 08:00",Pool A,Final
Washington,Victoria,13,5,"01/25/2020, 08:00",Pool A,Final
California-San Diego,Victoria,13,2,"01/25/2020, 09:45",Pool A,Final
Washington,California,12,10,"01/25/2020, 09:45",Pool A,Final
California-San Diego,Washington,13,8,"01/25/2020, 11:30",Pool A,Final
California,Victoria,11,10,"01/25/2020, 11:30",Pool A,Final
pool,Pool C
Wisconsin,Utah,13,8,"01/25/2020, 09:45",Pool C,Final
Cal Poly-SLO,California-Davis,6,13,"01/25/2020, 09:45",Pool C,Final
Wisconsin,California-Davis,10,11,"01/25/2020, 13:15",Pool C,Final
Cal Poly-SLO,Utah,12,13,"01/25/2020, 13:15",Pool C,Final
Wisconsin,Cal Poly-SLO,13,7,"01/25/2020, 15:00",Pool C,Final
Utah,California-Davis,9,7,"01/25/2020, 15:00",Pool C,Final
pool,Pool D
Northeastern,Stanford,12,11,"01/25/2020, 08:00",Pool D,Final
UCLA,Washington University,13,3,"01/25/2020, 08:00",Pool D,Final
UCLA,Stanford,13,11,"01/25/2020, 11:30",Pool D,Final
Northeastern,Washington University,13,2,"01/25/2020, 11:30",Pool D,Final
Stanford,Washington University,10,6,"01/25/2020, 13:15",Pool D,Final
Northeastern,UCLA,13,8,"01/25/2020, 13:15",Pool D,Final
pool,Pool B
California-Santa Barbara,Brigham Young,13,7,"01/24/2020, 18:00",Pool B,Final
California-Santa Barbara,California-Santa Cruz,13,8,"01/25/2020, 08:00",Pool B,Final
Brigham Young,Northwestern,7,13,"01/25/2020, 08:00",Pool B,Final
Vermont,Northwestern,11,4,"01/25/2020, 09:45",Pool B,Final
Brigham Young,California-Santa Cruz,11,10,"01/25/2020, 09:45",Pool B,Final
Vermont,Brigham Young,12,5,"01/25/2020, 11:30",Pool B,Final
California-Santa Barbara,Northwestern,11,7,"01/25/2020, 11:30",Pool B,Final
Northwestern,California-Santa Cruz,13,7,"01/25/2020, 13:15",Pool B,Final
California-Santa Barbara,Vermont,13,8,"01/25/2020, 13:15",Pool B,Final
Vermont,California-Santa Cruz,9,8,"01/25/2020, 15:00",Pool B,Final
b,r,e,a,k
brackets,Championship
bracket,Championship
California-San Diego,UCLA,12,10,"01/26/2020, 11:30",FINALS,Final
California-San Diego,Vermont,12,3,"01/26/2020, 09:45",Semis,Final
UCLA,California-Santa Barbara,11,9,"01/26/2020, 09:45",Semis,Final
California-San Diego,Northwestern,13,6,"01/26/2020, 08:00",Quarters,Final
Northeastern,Vermont,7,12,"01/26/2020, 08:00",Quarters,Final
Wisconsin,UCLA,11,13,"01/26/2020, 08:00",Quarters,Final
California-Santa Barbara,Washington,13,11,"01/26/2020, 08:00",Quarters,Final
Northwestern,California-Davis,13,8,"01/25/2020, 17:00",Prequarters,Final
California,UCLA,6,13,"01/25/2020, 15:00",Prequarters,Final
Washington,Stanford,13,9,"01/25/2020, 15:00",Prequarters,Final
Vermont,Utah,13,4,"01/25/2020, 17:00",Prequarters,Final
bracket,3rd
Vermont,California-Santa Barbara,12,6,"01/26/2020, 11:30",3rd,Final
bracket,5th
Northeastern,Washington,12,13,"01/26/2020, 11:30",5th,Final
Northwestern,Northeastern,8,13,"01/26/2020, 09:45",Quarters Defeat,Final
Wisconsin,Washington,9,13,"01/26/2020, 09:45",Quarters Defeat,Final
bracket,7th
Northwestern,Wisconsin,6,11,"01/26/2020, 11:30",7th,Final
bracket,9th
California-Davis,Stanford,7,8,"01/26/2020, 09:45",9th,Final
California-Davis,California,11,7,"01/26/2020, 08:00",Prequarters Defeat,Final
Utah,Stanford,10,11,"01/26/2020, 08:00",Prequarters Defeat,Final
bracket,11th
Utah,California,7,12,"01/26/2020, 09:45",11th,Final
b,r,e,a,k
brackets,Sunday - 13th
bracket,13th Place Bracket
Cal Poly-SLO,California-Santa Cruz,10,5,"01/26/2020, 13:15",13th,Final
Victoria,Cal Poly-SLO,11,12,"01/26/2020, 11:30",Round Name,Final
Washington University,California-Santa Cruz,8,9,"01/26/2020, 11:30",Round Name,Final
bracket,15th
Victoria,Washington University,9,10,"01/26/2020, 13:15",15th,Final
b,r,e,a,k
brackets,Friday Night - BYU
bracket,BYU v SLO
Cal Poly-SLO,Brigham Young,6,9,"01/24/2020, 19:30",BYU v SLO,Final
b,r,e,a,k
