Midwest Throwdown 2020,College - Men ,7,3,2020
Columbia,MO,2020-03-07,2020-03-08
https://play.usaultimate.org/events/Midwest-Throwdown-2020/schedule/Men/CollegeMen/
Iowa State,1
0,Isak Poulsen
0,Jacob Flignor
0,Matthew Smith-Erb
0,Oren Lieber-Kotz
0,Paul Ready
0,Will Gleason
0,Zach DiNardo
4,Aidan Wolff-King
7,Samuel Miles
20,Jack Rybarczyk
21,Ry Alexander
23,Gabriel Lobet
35,Alex Rafkin
b,r,e,a,k
Nebraska,15
0,Caleb Eiden
0,Dominic Vavala
0,Kaden Perala
0,Maria Goller
0,Nick Sedore
0,Ryan Dornbusch
0,Zachary Wynn
7,Matt Glissmann
14,Michael Kovash
15,Nich Rush
18,Tristan Mahler
25,Noah Johnson
26,Marty Praska
34,Joshua Adams
35,James Rowland
55,Jacob Morrow
b,r,e,a,k
Wisconsin-B (B),18
0,Cameron McCrary
0,Matt McNaught
0,Matthew Berkholtz
0,Sam Cain
5,Ben Lebowitz
19,Jay Taves
49,Benjamin Petersen
53,Thomas Hotvedt
63,Benjamin Rubin
77,Kyle Fruhling
b,r,e,a,k
UW-Eau Claire (B),31
0,Burhan Ali
0,Cole Parrish
0,Daniel Pelletier
0,Jack Schloesser
0,Nehemiah Senger
0,Sam Downing
0,Tyler Korhorn 
2,Chris Connoy
3,Anthony Gajeski
7,Evan Casper
7,Ben Schiltz
13,Hugh Olson
18,Michael Brandt
28,Christian Kiener
38,Beck Ruzicka
59,Zachary Miller
77,Patrick Eikens
88,Jacob Huffaker
b,r,e,a,k
Northwestern,3
0,Andrew Kindseth
0,Christopher Lee
0,Jack Wheeler
0,Nick Manting
0,Sam Jonas
0,Wyatt DeYoung
1,Benjamin Girard
5,Raul Rosenfeld
7,Keith Bohrer
10,Kevin Zhang
15,Kenneth Allen
16,Nathan Graber-Lipperman
17,Andrew Patel
17,Wilson Sprague
20,Jordan Parry
23,Eric Hochberger
24,Zaddeen Benaissa
32,Kenneth Xuan
33,Micah Thompkins
88,Jason Paul
88,John Surprenant
96,George Irving
b,r,e,a,k
Kansas State,14
0,Casey Dubois
0,Chance Kurzweil
0,Jonathan Chen
0,Kyle Bauer
0,Luke Grieger
4,John Winter
7,John Benfer
20,Karl Burg
27,Kyle Thompson
34,Colin Beauregard
35,Herman Griese
b,r,e,a,k
Wisconsin-Eau Claire,19
0,Tyler Klar
3,Jacob Ertz
4,Dalton Dowd
10,Adam Egemo
11,Cody Hansen
12,Simon Koeper
14,Micah Link
16,Donovan Stein
18,Andrew Cotter
21,Ben Leurquin
24,Spencer King
27,Josh Yira
33,Ryan Schultz
43,Andrew Bussen
47,Joseph Tirado
51,Joshua Benning
52,Joseph Quaal
56,Michael Ulbricht
69,Eric Holter
82,Anthony Doan
83,Joseph Schmitz
b,r,e,a,k
University of Missouri (B),30
0,Brian Jorgensen
0,Caleb Heeney
0,Cameron Sato
0,Christian Marble
0,Drew Winkeler
0,Kenneth Van Doren 
0,luke Dunbar
0,Noah  Kizzire
0,Owen Holliday
0,Paul  Odu 
81,Walter Fields
b,r,e,a,k
Missouri S&T,4
0,Alexander Fleming
0,Andrew Littlefield 
0,Eric Holtmeyer
0,Lioba Boveleth
0,Nicholas Gentry
0,Peyton Holden
0,Seth Gudeman
2,Ray Mauntel
3,Jake Welsh
5,Quinten Volz
6,Paul Knapp
7,Ryan Hays
8,Dustin Rolfe
10,Ezekiel Peterson
12,Brendan Carriel
16,Nate Clancy
20,Jared McKay
25,Nathan Kamp
26,Ben  Kilper
27,Cameron Leonard
28,Eric Chavez
32,Kyle Johnson
35,Matthew Gentry
40,Michael Lahmeyer
42,John Markiewicz
44,Lawrence Eastman
45,Jack Fletcher
48,Seth Day
56,Ethan Belau
66,Zachary Lopez
68,Dallas Buchanan
81,Zachary Szatkowski
b,r,e,a,k
St. Thomas,20
0,Ian Mathison
0,Jonathan Moen
0,Ryan Hermanstorfer
0,Tomas Edmundson
0,Xavier Abdullahi
1,Ethan Smith
3,Paul Youngblood
4,Isaac Ziglinski
5,Kyle Mullin
6,Andrew Steichen
8,Colby Flynn
12,Eric Volkmeier
13,Mitchell Allen
14,Nick Hughes
15,John Graumann
16,Noah Tews
24,Kaden Czech
32,Scott Dobberpuhl
39,Brendan Corbin
42,Jackson Gudorf
46,Joe Lagorio
99,Sam Danielson
b,r,e,a,k
Michigan (B),13
0,Caleb Bloodworth
0,Isaac Katongole
0,Jordan Mayor
0,Patrick Fulton
0,Roland Park
0,Rowan Kent
0,Martin Chown
0,Max Karnik
0,Samuel Canfield
22,Owen Talmadge
27,Samuel Ringold
31,Brendan Flannagan
32,Eli Friedman
36,Zachary Marmet
98,Logan Kroczaleski
b,r,e,a,k
Coe,29
0,James Reno
0,Kristjan Nixon
0,Simon Walker
0,Taichi Shimaya
0,Andrew Nunez
0,Anthony Bellmar
2,Paige Waskow
3,Henry Hoyhtya
6,Duy Pham
12,Tyler Bossom
18,Ronda Tannous
29,Zoe Bakken-Heck
b,r,e,a,k
Kansas,12
0,Aaron Johnson
0,Alex Smith
0,Andre Coates
0,Andrew Pottinger
0,Braeden Huslig
0,Bret Bergmeier
0,Brett Voth
0,Daniel Stahlhut
0,Hayden Smith
0,Keaton Bowers
0,Michael Ferjak
0,Reed Pfeifer
0,Rob Nickel
0,Nick Peterson
0,Tristan Pittenger
0,Henry Haw
4,Mitchell Seifert
5,Jake Niefeld
6,Gavin Walker
19,Robert Castaneda
21,Matt Kennedy
24,David Marx
29,Jack Vail
34,Peter Czerwinski
82,Spencer Carey
b,r,e,a,k
Wisconsin-Milwaukee,5
0,Elliott Blackburn
2,Anthony Sabatino
3,Jackson McCausland
5,Jack Kiel
6,Paul Weisser
8,Ryan Polka
9,Michael Van Haren
10,Noah  Stiles
11,Will Casperson
15,Charlie Benforado
18,Ryan Williamson
21,Kyle Gasiorowicz
22,Jack Loomis
24,Justin Stubbe
28,Frank Dore
29,Samuel Dirks
33,Joe M Rogers
42,Elliot Shager
47,John Poppe
52,Jared Matthews
55,Jonah Casimir
80,Easton Dobson
91,Austin Johnson
b,r,e,a,k
Northern Iowa,21
0,Jakob Schmidt
3,Richard TeKippe
7,Timothy Swanson
11,Matt Adams
13,Scott Sivola
15,Matthew Baird
16,Colin Stroehle-Durrah
17,Andrew McCartan
20,John Cannon
21,Casey Shanaberger
25,Matthew Langel
55,Michael Bonin
99,Mason Wirtz
b,r,e,a,k
Wisconsin-Oshkosh,28
03,Trey Anderson
07,Calvin Baumgartner
11,Korey Bloedorn
12,Eric Koran
16,Spencer Lebedun
18,Caleb Nolan
23,Anthony Blando
33,Jake Beno
46,Ryan Schohn
69,Joshua Van Abel
b,r,e,a,k
Minnesota-Duluth,11
0,William Johnson
1,Zac Larson
02,Brandon Wentworth
04,Mark Roos
06,Isaac Thompson
07,Max Stillman
12,Luke Howard
13,Joey Wozniak
15,Jacob WIlson
19,Luke Dickinson
23,Dalmas Omwoyo
24,Nick Vanderlinde
36,Reese Grailer
45,Aaron Kueffer
54,Leo Johnson 
55,Brandon Krekelberg
66,Jake Schisler
87,Trent Brunner
98,Ethan DeJesus
99,Kyle DeJesus
b,r,e,a,k
Luther,6
1,Blake Krapfl
2,Jacob Gonnerman
3,Edis Pajic
4,Joel Alvarado
5,Connor McBride
6,Marshall Creech
7,Kell Knutsen
9,Samuel Moyer
13,Benjamin Tuckman
15,Riley Peters
16,Blair Koontz
19,Calvin Harper
20,Chad Messerich
22,Jamison Schuh
24,Samuel Nelson
27,Isaac Habben
31,Brent Schaeffer
36,Sam Liska
50,Guthrie Pritchard
55,Christian Johnson
76,Jackson Meehan
b,r,e,a,k
Illinois (B),22
6,Amir Graupe
8,Henry Beuving
10,Mitchell Wojcik
12,Benjamin Miller
16,Suneal Tolliver
17,Conor Harrington
19,Dave Kiaupa
23,Maximus Nelson
25,Andrew Beusse
29,Roland Kim
30,Luka Karginov
34,Ayden Miller
35,Matthew Ruth
37,Pierce Lynch
44,Patrick Leah
45,Joseph Lederer
47,Sufyan Baig
50,Jacob Harris
56,Andrew Hunt
62,Gordon Anderson
63,Mitchell McMahon
65,Vasim Patel
66,Kyle Chong
69,Noah Jon
87,Michael Musial
88,Albert Xu
90,Francis Kim
97,Do Yeop Kwon
b,r,e,a,k
Wisconsin-Milwaukee (B),27
0,Blair Weber
0,Cesar Morales
0,Christian  Jensen
0,Connor Thissen
0,Joe Arnold
0,Josh Lopez
0,Nathan Kaplan
0,Shiv Patel
0,Timothy Romang
0,Will Nicholas
17,Zachary Kraus
21,Brett Zingler
39,Jared Bonack
40,Austin Danielewicz
82,Alex Martinich
96,Quinn Anderson
b,r,e,a,k
Truman State,10
0,Brent Perry
0,John Eritreo
0,Michael Lakey
0,Sam Heidemann
0,Sean Eberle
2,Nicholas Tran
3,Austin Heineman
5,Brennan Travis
8,Jacob Hearst
11,Jason Baltz
13,Andrew Hilliard
14,Riley Scott
16,Taylor Hession
18,Caleb Estes
19,Benjamin Willoughby
20,Andrew Richter
22,Hunter Madison
23,Jeremy Freese
24,Alexander Wegman
39,Dane Bossert
40,Ethan Conley
42,Benjamin Schmidt
88,Bryan Ritchey
96,Keegan Walsh
b,r,e,a,k
Chicago,7
0,Joseph Sifakis
0,William Jaffe
2,Miko Zeldes-Roth
2,Hiro Schmidt
3,Kaden Han
4,Matthias Ling
5,Michael Thew
7,Kevin Liu
9,Robin Erdakos
10,Mateo Garcia
11,Shravan Ravishankar
12,Josh Jiang
15,Samuel Nitkin
16,Jared Brodie
18,Dale Decatur
20,Patrick Kelly
21,Guilherme Soares
27,Alexander Franzese
27,Milan Rivas
32,Sean McSweeney
33,Graham Certain
40,Alan Countess
43,Will Stone
56,DeAngelo Barragan
66,Justin Bossenbroek
b,r,e,a,k
Carleton College Karls,23
0,Aashutosha Lele
0,Abraham Faber
0,Calvin Reinhardt-Ertman
0,Dawson Eriksen
0,Etienne Richart
0,Henry Edmonds
0,Michael Carlsen
0,Miles Tisserand
0,Mitchell Anderson
0,Rhys Lewis
0,Ryan Gilbert
0,Shaun Baron-Furuyama
0,Thomas Monson
0,James Uyeki
0,Joey Silknitter
0,Tom  Patterson
0,William Fleming
2,Tim Adler
3,Fin Ouweleen
7,Will Thompson
9,Ethan Ta
12,Ben Hafner
14,Eli Inkelas
16,Anders Brodnax
18,Ishmael Maxwell
21,Andrew Griffin
25,Finnian Tierney
33,Alek Rabago
34,Louis Stein
42,Caleb Rosen
66,Iain McCay
96,David Krakaur
b,r,e,a,k
Illinois State,26
0,Andrew Szydlo
0,Matthew Hunt
0,Peter Rotter
0,Shivam Boghra
3,Kollin Kaczynski
5,Aaron Zilinskas
8,Elliot Lohr
10,Jacob Kaindl
25,Charlie Pomrehn
26,Luke Graf
32,Jonathan Gancarczyk
34,Richard Morris
51,Austin Mitchell
74,Kyle Ooley
98,Mikey Williams
b,r,e,a,k
Wisconsin-Whitewater,9
1,Richard Bly
05,Jacob Dertz
08,Shane Otis 
10,Nick Trent
11,Nicholas McNulty
12,Andrew Wilks
13,Glenn Kaboskey
15,Jack Dipaolo
16,Benjamin Romnek
17,Grant Behrens
19,Cregan Berst
19,Zach Ostermann
20,Jack Weiland
23,Grant Good
24,Max Junga
25,Nikolas Yray
29,Nick Goran
31,Gino Pierangeli
33,Jonathan Humer
43,Kyle Ferris
44,Alex Kreuger
69,Josh Kuse
92,Matthew  McNulty
b,r,e,a,k
Missouri State,8
0,Ryan Steen
05,Ethan Harting
07,Chandler Davis
08,Cooper Thompson
13,Dustin Kohler
22,Michael Stokes
25,Trenton Krueger
41,Austin Yuan
42,Jaimasen Williams
44,Eric Melendez
87,Jameson Turnbow
99,Benjamin Alber
b,r,e,a,k
Northwestern (B),25
0,Stone Wang
2,John Baldan
8,Peter Walsh
25,William Sadowski
30,Kevin Lee
34,Peter Seymour
39,Weslly Pan
44,Conner Goodwin
52,Josh Ezrol
53,Benjamin Miller
60,Roman Gavrila
61,Paul Abascal
67,Gavin Rosengarten
70,Octavio Bruetman
71,Michael Chen
75,Davis Parks
77,Evan Nagareda
99,Alec Greenwald
b,r,e,a,k
Iowa State (B),24
0,Alex Berryhill
0,Andrew Grotenhuis
0,Gavin Charpentier
0,Jaden Alamsya
0,Jeremy Marchesani
0,Samuel Onsrud
0,Stephen Mann
0,Tyler Del Rose
0,Tyler Johnson
0,Wade Schaeffer
0,Zachary Biles
10,Marshall Penn
17,Joe Munkeby
21,Cam Hoag
36,Jackson Ferris
41,Brian Goode
57,Jason Luciani
72,Nick Rieger
87,Nicholas Wood
b,r,e,a,k
s,t,a,g,e,s
pools,Open Pool Play
pool,Pool A
Iowa State,Knox,13,3,"03/07/2020, 10:30",Pool A,Final
Missouri,Grinnell,11,1,"03/07/2020, 10:30",Pool A,Final
Iowa State,Grinnell,11,1,"03/07/2020, 12:00",Pool A,Final
Missouri,Knox,9,7,"03/07/2020, 12:00",Pool A,Final
Iowa State,Missouri,9,4,"03/07/2020, 13:30",Pool A,Final
Knox,Grinnell,7,9,"03/07/2020, 13:30",Pool A,Final
pool,Pool B
Carleton College-GoP,Wisconsin-B (B),12,6,"03/07/2020, 10:30",Pool B,Final
Nebraska,UW-Eau Claire (B),13,2,"03/07/2020, 10:30",Pool B,Final
Carleton College-GoP,UW-Eau Claire (B),13,0,"03/07/2020, 12:00",Pool B,Final
Nebraska,Wisconsin-B (B),11,8,"03/07/2020, 12:00",Pool B,Final
Carleton College-GoP,Nebraska,9,8,"03/07/2020, 13:30",Pool B,Final
Wisconsin-B (B),UW-Eau Claire (B),13,0,"03/07/2020, 13:30",Pool B,Final
pool,Pool C
Northwestern,Wisconsin-Eau Claire,11,2,"03/07/2020, 09:00",Pool C,Final
Kansas State,University of Missouri (B),13,2,"03/07/2020, 09:00",Pool C,Final
Northwestern,University of Missouri (B),13,2,"03/07/2020, 12:00",Pool C,Final
Kansas State,Wisconsin-Eau Claire,10,8,"03/07/2020, 12:00",Pool C,Final
Northwestern,Kansas State,13,2,"03/07/2020, 13:30",Pool C,Final
Wisconsin-Eau Claire,University of Missouri (B),13,1,"03/07/2020, 13:30",Pool C,Final
pool,Pool D
Missouri S&T,St. Thomas,10,7,"03/07/2020, 09:00",Pool D,Final
Michigan (B),Coe,13,0,"03/07/2020, 09:00",Pool D,Final
Missouri S&T,Coe,13,1,"03/07/2020, 12:00",Pool D,Final
Michigan (B),St. Thomas,11,12,"03/07/2020, 12:00",Pool D,Final
Missouri S&T,Michigan (B),13,4,"03/07/2020, 13:30",Pool D,Final
St. Thomas,Coe,13,1,"03/07/2020, 13:30",Pool D,Final
pool,Pool E
Wisconsin-Milwaukee,Northern Iowa,9,2,"03/07/2020, 09:00",Pool E,Final
Kansas,Wisconsin-Oshkosh,12,7,"03/07/2020, 09:00",Pool E,Final
Wisconsin-Milwaukee,Wisconsin-Oshkosh,12,2,"03/07/2020, 10:30",Pool E,Final
Kansas,Northern Iowa,11,7,"03/07/2020, 10:30",Pool E,Final
Wisconsin-Milwaukee,Kansas,6,11,"03/07/2020, 13:30",Pool E,Final
Northern Iowa,Wisconsin-Oshkosh,12,10,"03/07/2020, 13:30",Pool E,Final
pool,Pool F
Luther,Illinois (B),13,3,"03/07/2020, 09:00",Pool F,Final
Minnesota-Duluth,Wisconsin-Milwaukee (B),13,0,"03/07/2020, 09:00",Pool F,Final
Luther,Wisconsin-Milwaukee (B),11,2,"03/07/2020, 10:30",Pool F,Final
Minnesota-Duluth,Illinois (B),13,0,"03/07/2020, 10:30",Pool F,Final
Luther,Minnesota-Duluth,8,10,"03/07/2020, 13:30",Pool F,Final
Illinois (B),Wisconsin-Milwaukee (B),12,8,"03/07/2020, 13:30",Pool F,Final
pool,Pool G
Chicago,Carleton College Karls,13,1,"03/07/2020, 09:00",Pool G,Final
Truman State,Illinois State,13,7,"03/07/2020, 09:00",Pool G,Final
Chicago,Illinois State,13,2,"03/07/2020, 10:30",Pool G,Final
Truman State,Carleton College Karls,12,5,"03/07/2020, 10:30",Pool G,Final
Chicago,Truman State,10,13,"03/07/2020, 12:00",Pool G,Final
Carleton College Karls,Illinois State,11,10,"03/07/2020, 12:00",Pool G,Final
pool,Pool H
Missouri State,Iowa State (B),8,6,"03/07/2020, 09:00",Pool H,Final
Wisconsin-Whitewater,Northwestern (B),11,2,"03/07/2020, 09:00",Pool H,Final
Missouri State,Northwestern (B),9,7,"03/07/2020, 10:30",Pool H,Final
Wisconsin-Whitewater,Iowa State (B),13,5,"03/07/2020, 10:30",Pool H,Final
Missouri State,Wisconsin-Whitewater,8,13,"03/07/2020, 12:00",Pool H,Final
Iowa State (B),Northwestern (B),6,8,"03/07/2020, 12:00",Pool H,Final
b,r,e,a,k
brackets,Bracket Play
bracket,Championship Bracket
Northwestern,Missouri S&T,9,5,"03/08/2020, 11:30",Finals,Final
Kansas,Northwestern,6,12,"03/08/2020, 10:00",Semis,Final
Carleton College-GoP,Missouri S&T,4,9,"03/08/2020, 10:00",Semis,Final
Iowa State,Kansas,8,9,"03/08/2020, 08:30",Quarters,Final
Northwestern,Truman State,12,2,"03/08/2020, 08:30",Quarters,Final
Carleton College-GoP,Minnesota-Duluth,10,9,"03/08/2020, 08:30",Quarters,Final
Missouri S&T,Missouri,8,4,"03/08/2020, 08:30",Quarters,Final
Iowa State,Missouri State,13,1,"03/07/2020, 15:10",Pre-Quarters,Final
Kansas,St. Thomas,12,11,"03/07/2020, 15:10",Pre-Quarters,Final
Northwestern,Luther,11,2,"03/07/2020, 15:10",Pre-Quarters,Final
Truman State,Nebraska,10,5,"03/07/2020, 15:10",Pre-Quarters,Final
Carleton College-GoP,Chicago,8,5,"03/07/2020, 15:10",Pre-Quarters,Final
Minnesota-Duluth,Kansas State,11,5,"03/07/2020, 15:10",Pre-Quarters,Final
Missouri S&T,Wisconsin-Milwaukee,10,9,"03/07/2020, 15:10",Pre-Quarters,Final
Wisconsin-Whitewater,Missouri,9,10,"03/07/2020, 15:10",Pre-Quarters,Final
bracket,3rd Place
Missouri,Wisconsin-Milwaukee,6,8,"03/08/2020, 14:30",3rd Place,Final
Carleton College-GoP,Missouri,8,9,"03/08/2020, 13:00",3rd Place Round 4,Final
Kansas,Wisconsin-Milwaukee,7,8,"03/08/2020, 13:00",3rd Place Round 4,Final
Missouri,Luther,11,6,"03/08/2020, 11:30",3rd Place Round 3,Final
Chicago,Wisconsin-Milwaukee,6,11,"03/08/2020, 11:30",3rd Place Round 3,Final
Missouri,Missouri State,8,7,"03/08/2020, 10:00",3rd Place Round 2,Final
Minnesota-Duluth,Luther,5,6,"03/08/2020, 10:00",3rd Place Round 2,Final
Truman State,Chicago,8,13,"03/08/2020, 10:00",3rd Place Round 2,Final
Iowa State,Wisconsin-Milwaukee,6,9,"03/08/2020, 10:00",3rd Place Round 2,Final
Missouri State,St. Thomas,11,6,"03/08/2020, 08:30",3rd Place Round 1,Final
Luther,Nebraska,13,5,"03/08/2020, 08:30",3rd Place Round 1,Final
Chicago,Kansas State,13,4,"03/08/2020, 08:30",3rd Place Round 1,Final
Wisconsin-Milwaukee,Wisconsin-Whitewater,11,8,"03/08/2020, 08:30",3rd Place Round 1,Final
bracket,5th Place
Carleton College-GoP,Kansas,1,0,"03/08/2020, 14:30",5th Place,Final
bracket,7th Place
Luther,Chicago,6,13,"03/08/2020, 14:30",7th Place,Final
bracket,9th Place
Minnesota-Duluth,Iowa State,8,7,"03/08/2020, 14:30",9th Place,Final
Missouri State,Minnesota-Duluth,8,9,"03/08/2020, 13:00",Pre 9th Place,Final
Truman State,Iowa State,4,9,"03/08/2020, 13:00",Pre 9th Place,Final
bracket,11th Place
Missouri State,Truman State,6,9,"03/08/2020, 14:30",11th Place,Final
bracket,13th Place
Nebraska,Wisconsin-Whitewater,11,9,"03/08/2020, 13:00",13th Place,Final
St. Thomas,Nebraska,7,8,"03/08/2020, 11:30",Pre 13th Place,Final
Kansas State,Wisconsin-Whitewater,7,11,"03/08/2020, 11:30",Pre 13th Place,Final
bracket,15th Place
St. Thomas,Kansas State,8,13,"03/08/2020, 13:00",15th Place,Final
b,r,e,a,k
brackets,Consolation Play
bracket,Consolation Bracket
Wisconsin-Eau Claire,Wisconsin-B (B),6,4,"03/08/2020, 13:00",17th Place,Final
Grinnell,Wisconsin-Eau Claire,6,9,"03/08/2020, 11:30",Consolation Bracket Round 3,Final
Wisconsin-B (B),Michigan (B),8,7,"03/08/2020, 11:30",Consolation Bracket Round 3,Final
Grinnell,Northern Iowa,9,6,"03/08/2020, 10:00",Consolation Bracket Round 2,Final
Wisconsin-Eau Claire,Carleton College Karls,9,7,"03/08/2020, 10:00",Consolation Bracket Round 2,Final
Wisconsin-B (B),Illinois (B),8,3,"03/08/2020, 10:00",Consolation Bracket Round 2,Final
Michigan (B),Northwestern (B),7,6,"03/08/2020, 10:00",Consolation Bracket Round 2,Final
Grinnell,Iowa State (B),9,6,"03/07/2020, 15:10",Consolation Bracket Round 1,Final
Northern Iowa,Coe,13,0,"03/07/2020, 15:10",Consolation Bracket Round 1,Final
Wisconsin-Eau Claire,Wisconsin-Milwaukee (B),13,1,"03/07/2020, 15:10",Consolation Bracket Round 1,Final
Carleton College Karls,UW-Eau Claire (B),12,1,"03/07/2020, 15:10",Consolation Bracket Round 1,Final
Wisconsin-B (B),Illinois State,10,7,"03/08/2020, 08:30",Consolation Bracket Round 1,Final
Illinois (B),University of Missouri (B),1,0,"03/08/2020, 08:30",Consolation Bracket Round 1,Final
Michigan (B),Wisconsin-Oshkosh,13,3,"03/08/2020, 08:30",Consolation Bracket Round 1,Final
Northwestern (B),Knox,11,6,"03/08/2020, 08:30",Consolation Bracket Round 1,Final
bracket,19th Place
Grinnell,Michigan (B),7,8,"03/08/2020, 13:00",19th Place,Final
bracket,21st Place
Carleton College Karls,Northwestern (B),8,7,"03/08/2020, 13:00",21st Place,Final
Northern Iowa,Carleton College Karls,7,8,"03/08/2020, 11:30",Pre 21st Place,Final
Illinois (B),Northwestern (B),4,9,"03/08/2020, 11:30",Pre 21st Place,Final
bracket,23rd Place
Northern Iowa,Illinois (B),7,5,"03/08/2020, 14:30",23rd Place,Final
bracket,25th Place
Iowa State (B),Illinois State,8,6,"03/08/2020, 14:30",25th Place,Final
Iowa State (B),Wisconsin-Milwaukee (B),9,7,"03/08/2020, 11:30",Pre 25th Place,Final
Illinois State,Knox,9,7,"03/08/2020, 13:00",Pre 25th Place,Final
Iowa State (B),Coe,13,2,"03/08/2020, 10:00",Consolation Bracket Round 1 Defeat,Final
Wisconsin-Milwaukee (B),UW-Eau Claire (B),8,7,"03/08/2020, 10:00",Consolation Bracket Round 1 Defeat,Final
Illinois State,University of Missouri (B),1,0,"03/08/2020, 11:30",Consolation Bracket Round 1 Defeat,Final
Wisconsin-Oshkosh,Knox,8,9,"03/08/2020, 11:30",Consolation Bracket Round 1 Defeat,Final
bracket,27th Place
Wisconsin-Milwaukee (B),Knox,1,0,"03/08/2020, 14:30",27th Place,Final
bracket,29th Place
Coe,Wisconsin-Oshkosh,5,11,"03/08/2020, 14:30",29th Place,Final
University of Missouri (B),Wisconsin-Oshkosh,1,0,"03/08/2020, 13:00",Pre 29th Place,Final
Coe,UW-Eau Claire (B),7,6,"03/08/2020, 13:00",Pre 29th Place,Final
bracket,31st Place
UW-Eau Claire (B),University of Missouri (B),1,0,"03/08/2020, 14:30",31st Place,Final
b,r,e,a,k
