Presidents' Day Invite 2020,College - Women ,15,2,2020
La Jolla,CA,2020-02-15,2020-02-17
https://play.usaultimate.org/events/Presidents-Day-Invite-2020/schedule/Women/CollegeWomen/
California-San Diego,1
0,Lauren Voccio
0,Leighann Nguyen
0,Hannah Kruger
0,Jennifer Bugos
0,Jessie Dorff
0,Patricia Cole
0,Tess Johnson
2,Allison Pereira
3,Analise Castillo
3,Elana Sadok
9,Melissa Holguin 
13,Kat Brock
17,Leoni Foster
20,Liz Lim
21,Stella Wenczel
33,Bailey Thyne
74,Eva McDermott
77,Tess Cullaz
b,r,e,a,k
California-Santa Barbara,3
teamInfo,Burning Skirts,"Goleta, California",https://ucsbburningskirts.webstarts.com/,https://www.facebook.com/BSkirts/,https://twitter.com/BSkirts?lang=en
0,Jennifer Bardwell
0,Kaitlyn Weaver
0,Kana Suzuki
0,Kelsey Pennington
0,Kiera Plioplys
0,Kunzang Namgyal
0,Leah Forester
0,Lekha Haritsa
0,Mackenzie Miller
0,Makenna Gavcus
0,Marie Levisay
0,Mika Leslie
0,Nicki Yang
0,Sophie Miller
0,Terra Dressler
0,Amanda Zabriskie
0,Ellie Cullen
0,Emma Takeuchi
0,Emma Gallagher
0,Hannah Stepanek
0,Victoria Hausch
0,Yu Ishii
4,Elsa Winslow
5,Felicia Cruz
11,Jasmine Childress
34,Tessa Cortez
b,r,e,a,k
Chicago,14
teamInfo,Supersnatch,"Chicago, Illinois",,,@snatchsuper
04,Annie Yang
06,Makenna Meyer
08,Alicia Chu
09,Cassandra Brown
12,Sophia Kierstead
16,Daisy Barbanel
17,Nancy Cheng
19,Angelina Torre
20,Briana Morales
23,Caitlyn Tien
24,Bayle Smith-Salzberg
26,Isabella Xu
28,Sofia Collins
34,Kavita Parekh
35,Emily Pardo
37,Elizabeth Winkler
42,Emily Williams
82,Claire Schmitt
b,r,e,a,k
Colorado College,11
teamInfo,Lysistrata's Tools,"Colorado Springs, Colorado",,https://www.facebook.com/StrataUltimate/,https://twitter.com/STRATAultimate
03,Ellen Buford
05,Mary Andrews
06,Kathryn Omizo
07,Elle Hagler
08,Hallie  Conyers-Tucker
09,Sophia Hennessy
10,India Hilty
12,Kira Rain
16,Soumya Keefe
17,Ellie Rubinstein
19,Stella Biehl
21,Hannah Scott
32,Westly Joseph
33,Pardes Lyons-Warren
55,Liza Scher
64,Margo Keevil
70,Fiona Swope
88,Galileo Fries
99,Momo Dunn
b,r,e,a,k
Oregon,6
teamInfo,Fugue,"Eugene, Oregon",http://oregonfugue.weebly.com/,https://www.facebook.com/Fugueultimate/,https://twitter.com/OregonFugue
0,Takisha Tarvin
04,Grace Cromie
07,Kayla Walker
08,Ava Hearn
11,Ellen Ipsen
11,Evelyn Reding
12,Kaiyana Petrus
16,Claire Parton
19,Siri Chotechuang
21,Kimberly Muth
23,Aubrey Whitty
24,Payton Anthony
25,Carmen Resnick
26,Shaelynn Davis
27,Sylvie Fenderson
33,Maya Otsuki
36,Madeleine Boyle
46,Abigail Daffner
47,Lily McNabb
55,Ava Jones
95,Rachel Hess
b,r,e,a,k
Texas,4
teamInfo,Melee,"Austin, Texas",http://texaswomensultimate.github.io/home/,https://www.facebook.com/utexasultimate/,https://twitter.com/txmelee
coaches,Shereen Rabie
0,Cameron Bryan
7,Madison Hiu
02,Alysa Chiovatero
03,Lauren Gregorczyk
05,Lauren James
06,Ivy Harrison
09,Summer Wilson
11,Emma Berrigan
12,Caroline OConnell
13,Jasmine Anand
14,Abby Daly
15,Sarah Clifford
18,Mindy Radike
18,Carolina Bayon
21,Julia O'Connell
22,Tatiana Julien
23,MC Robbins
26,Briana Taylor
38,Mary Finch
42,Brianna Stedman
47,Anna Hutton
72,Hannah DeVault
b,r,e,a,k
Colorado,5
teamInfo,Quandary,"Boulder, Colorado",,https://www.facebook.com/ColoradoWomensUltimate,https://twitter.com/quandaryult
coaches,Claire Chastain,Christina Mickle
04,Mei Hecht
05,Rachel Wilmoth
06,Emma Capra
09,Mahalie Hill
10,Annie Geoghegan
11,Allison Liu
12,Skye Fernandez
14,Annie Scott
15,Nori Catalano
19,Bailey Shigley
21,Saioa Lostra
22,Jordan Stockdale
23,Elnaz Navid
24,Riley Swift
28,Tess Cartin
35,Britta Bergstrom
44,Stacy Gaskill
89,Camilla Hallin
94,Mikayla Seaward
99,Sarah Nadler
b,r,e,a,k
Utah,12
teamInfo,Spiral Jetty Ultimate,"Salt Lake City, Utah",spiraljettyultimate.weebly.com/,https://www.facebook.com/pages/Spiral-Jetty-Ultimate/113676238733086,@spiraljettyulti
coaches,Tania Reitz,Jessica Crowley
0,Aashna Shah
0,Anna Cassell
0,Camille van Ginkel
0,Chloe Quinn
0,Clara Dehlin
0,Logan Radke
0,Lucia Arambula
0,Sage Migon
2,Chanel van Ginkel
5,Laura Brannan
7,Cameron Stukel
8,Maddi Hundley
15,Lauren Burgess
17,Hannah Slind
19,Hannah Bruns
22,Ruby Rodriguez
23,Iszabella Kemp
24,Winter Warchol
27,Allison  Qualls
28,Jess Olsen
41,Kyra Khoroujnikova
73,Kara Galloway
85,Camilla Wintch
96,Ahreum Han
b,r,e,a,k
Whitman,13
teamInfo,Whitman Sweets,"Walla Walla, Washington",whitmancollegesweets.squarespace.com,https://www.facebook.com/pages/Whitman-College-Lady-Sweets/713665542065651,https://twitter.com/WWladysweets
0,Ani Pham
0,Clarissa Orton
0,Gemma Munck
0,Margaret Tookey
0,Olivia Myers
0,Reya Fore
05,Rainier Naylor
15,Sarah Bosworth
16,Jessica Zaslove
17,Kaia Roast
21,Hailey Woodworth
21,Ilona Wall
22,Carmen Tappero
23,Emily Traylor
51,Mira Anderberg
55,Ruthie Colburn
64,Chloe Carothers-Liske
74,Akane Kleinkopf
b,r,e,a,k
s,t,a,g,e,s
pools,Pool Play
pool,Pool A
California-San Diego,California,11,7,"02/15/2020, 09:00",Pool A,Final
Colorado,Whitman,13,2,"02/15/2020, 09:00",Pool A,Final
California-San Diego,Whitman,10,4,"02/15/2020, 10:30",Pool A,Final
Colorado,California,9,11,"02/15/2020, 10:30",Pool A,Final
California-San Diego,Colorado,12,4,"02/15/2020, 12:00",Pool A,Final
California,Whitman,9,8,"02/15/2020, 12:00",Pool A,Final
pool,Pool B
Western Washington,Colorado College,12,6,"02/15/2020, 09:00",Pool B,Final
UCLA,Chicago,10,9,"02/15/2020, 09:00",Pool B,Final
Western Washington,Chicago,13,4,"02/15/2020, 10:30",Pool B,Final
UCLA,Colorado College,9,8,"02/15/2020, 10:30",Pool B,Final
Western Washington,UCLA,8,9,"02/15/2020, 12:00",Pool B,Final
Colorado College,Chicago,9,7,"02/15/2020, 12:00",Pool B,Final
pool,Pool C
California-Santa Barbara,Cal Poly-SLO,12,5,"02/15/2020, 09:00",Pool C,Final
Oregon,Massachusetts,9,10,"02/15/2020, 09:00",Pool C,Final
California-Santa Barbara,Massachusetts,13,7,"02/15/2020, 10:30",Pool C,Final
Oregon,Cal Poly-SLO,7,8,"02/15/2020, 10:30",Pool C,Final
California-Santa Barbara,Oregon,14,4,"02/15/2020, 12:00",Pool C,Final
Cal Poly-SLO,Massachusetts,7,8,"02/15/2020, 12:00",Pool C,Final
pool,Pool D
Texas,Utah,9,5,"02/15/2020, 09:00",Pool D,Final
Stanford,Southern California,13,4,"02/15/2020, 09:00",Pool D,Final
Texas,Southern California,12,3,"02/15/2020, 10:30",Pool D,Final
Stanford,Utah,10,6,"02/15/2020, 10:30",Pool D,Final
Texas,Stanford,9,7,"02/15/2020, 12:00",Pool D,Final
Utah,Southern California,12,3,"02/15/2020, 12:00",Pool D,Final
b,r,e,a,k
pools,Power Pools
pool,Pool E
California-San Diego,Western Washington,9,10,"02/15/2020, 13:30",Pool E,Final
Texas,Massachusetts,13,7,"02/15/2020, 13:30",Pool E,Final
California-San Diego,Massachusetts,12,7,"02/16/2020, 08:00",Pool E,Final
Texas,Western Washington,7,8,"02/16/2020, 08:00",Pool E,Final
California-San Diego,Texas,8,4,"02/16/2020, 09:30",Pool E,Final
Western Washington,Massachusetts,11,2,"02/16/2020, 09:30",Pool E,Final
pool,Pool F
UCLA,California,9,8,"02/15/2020, 13:30",Pool F,Final
California-Santa Barbara,Stanford,9,8,"02/15/2020, 13:30",Pool F,Final
UCLA,Stanford,7,12,"02/16/2020, 08:00",Pool F,Final
California-Santa Barbara,California,13,7,"02/16/2020, 08:00",Pool F,Final
UCLA,California-Santa Barbara,5,10,"02/16/2020, 09:30",Pool F,Final
California,Stanford,7,12,"02/16/2020, 09:30",Pool F,Final
pool,Pool G
Colorado,Chicago,10,6,"02/15/2020, 13:30",Pool G,Final
Utah,Oregon,13,5,"02/15/2020, 13:30",Pool G,Final
Colorado,Oregon,12,3,"02/16/2020, 11:00",Pool G,Final
Utah,Chicago,8,9,"02/16/2020, 11:00",Pool G,Final
Colorado,Utah,13,4,"02/16/2020, 12:30",Pool G,Final
Chicago,Oregon,10,5,"02/16/2020, 12:30",Pool G,Final
pool,Pool H
Colorado College,Whitman,8,9,"02/15/2020, 13:30",Pool H,Final
Cal Poly-SLO,Southern California,10,7,"02/15/2020, 13:30",Pool H,Final
Colorado College,Southern California,13,7,"02/16/2020, 11:00",Pool H,Final
Cal Poly-SLO,Whitman,11,7,"02/16/2020, 11:00",Pool H,Final
Colorado College,Cal Poly-SLO,10,11,"02/16/2020, 12:30",Pool H,Final
Whitman,Southern California,10,2,"02/16/2020, 12:30",Pool H,Final
b,r,e,a,k
brackets,Bracket Play
bracket,3rd Place
Western Washington,California-San Diego,5,10,"02/17/2020, 12:30",3rd Place,Final
bracket,5th Place Bracket
California,UCLA,8,11,"02/17/2020, 11:00",5th Place Finals,Final
California,Chicago,9,8,"02/17/2020, 09:30",5th Place Semis,Final
UCLA,Cal Poly-SLO,9,7,"02/17/2020, 09:30",5th Place Semis,Final
bracket,7th Place
Chicago,Cal Poly-SLO,4,14,"02/17/2020, 11:00",7th Place Finals,Final
bracket,9th Place Bracket
Colorado,Whitman,10,6,"02/17/2020, 14:00",9th Place Finals,Final
Colorado,Texas,10,6,"02/17/2020, 12:30",9th Place Semis,Final
Whitman,Massachusetts,15,1,"02/17/2020, 12:30",9th Place Semis,Final
bracket,11th Place
Texas,Massachusetts,12,4,"02/17/2020, 14:00",11th Place,Final
bracket,13th Place Bracket
Utah,Colorado College,10,9,"02/17/2020, 09:30",13th Place,Final
Utah,Southern California,10,7,"02/17/2020, 08:00",13th Place Semis,Final
Oregon,Colorado College,9,10,"02/17/2020, 08:00",13th Place Semis,Final
bracket,15th Place
Southern California,Oregon,6,9,"02/17/2020, 09:30",15th Place,Final
bracket,Championship Bracket
Stanford,California-Santa Barbara,11,10,"02/17/2020, 12:30",Finals,Final
Western Washington,Stanford,6,11,"02/17/2020, 11:00",Semi-Finals,Final
California-San Diego,California-Santa Barbara,9,10,"02/17/2020, 11:00",Semi-Finals,Final
Western Washington,California,11,8,"02/17/2020, 08:00",Quarter-Finals,Final
Stanford,Chicago,12,8,"02/17/2020, 08:00",Quarter-Finals,Final
California-San Diego,UCLA,9,4,"02/17/2020, 08:00",Quarter-Finals,Final
California-Santa Barbara,Cal Poly-SLO,12,6,"02/17/2020, 08:00",Quarter-Finals,Final
California,Colorado,11,10,"02/16/2020, 14:00",Cross-Over,Final
Texas,Chicago,8,9,"02/16/2020, 14:00",Cross-Over,Final
UCLA,Whitman,10,4,"02/16/2020, 14:00",Cross-Over,Final
Massachusetts,Cal Poly-SLO,5,10,"02/16/2020, 14:00",Cross-Over,Final
b,r,e,a,k
