Florida Warm Up 2020 - Weekend 1,College - Men ,14,2,2020
Tampa,FL,2020-02-14,2020-02-16
https://play.usaultimate.org/events/Florida-Warm-Up-2020---Weekend-1/schedule/Men/CollegeMen/
Brigham Young,2
33,Micah Thompkins
88,Jason Paul
88,John Surprenant
96,George Irving
b,r,e,a,k
Cincinnati,6
teamInfo,Bearcats,"Cincinnati, Ohio",,,https://twitter.com/UCUltimate
coaches,Joel Houmes
01,Elliot Skindzier
02,Jacob McEachern
03,Nate Berman
05,Matthew Simpson
06,Jonathan Buck
07,Jacob Miller
09,Jake Blue
10,Calvin Caldwell
12,Mike Finke
14,Brenden Pulte
16,Matthew Furnas
19,Kaleb Koelsch
23,Jacob Miller
25,Nick Siegert
28,Nicholas Marinelli
29,Yuhao Wu
30,Jordan Bell
32,Benjamin Sherwood
42,Jacob Bonafede
45,Trey Dynes
48,Ryan Grabowski
69,Sam Moushey
82,David Brockhoff
b,r,e,a,k
Wisconsin,25
teamInfo,Hodags,"Madison, Wisconsin",https://www.hodags.org,https://www.facebook.com/Wisconsin-Hodags-118125241585256/,https://twitter.com/hodaglove
0,Noah Nicol
0,Oliver Walke
0,Oscar Felcan
0,Paul Mcallester
0,Pieran Robert
0,Thomas Walker
1,Kevin Tan
4,Luke  Youngdahl
6,Anders Shropshire
10,Logan Martin
11,Henry Goldenberg
12,Ben Pavelka
19,Nico Ranabhat
19,Simon Brooks
22,Rami Paust
25,Andrew Paulson
28,Harrison Bielski
29,Jack Mallmann
32,Daniel Garlock
42,Maddox Hill
51,Matthew Grinde
55,Ben Kishter
66,Ted Schewe
71,Jake Rubin-Miller
b,r,e,a,k
Minnesota,15
teamInfo,Grey Duck,"Minneapolis, Minnesota",http://mngreyduck.weebly.com/,https://www.facebook.com/MNGreyDuck,@1Duck1Love
coaches,James Nguyen,Anthony Poletto,Tristan Van De Moortele
0,Brandon Macho
0,Cash Barber
0,Dante Reminick
0,Erik Aadalen
0,George Muller
0,Joe Bosshardt
0,Joseph Pickens
0,Malakai Stern
0,Mats Hansen
0,Sam Jordan-Wood
0,Sebastian Brauer
0,Trevor Graham
0,Wystan Duhn
0,Noah Fogel
0,Oscar Leinbach
7,Cole Jurek
8,Reuben Gardos Reid
11,Ian Mccosky
12,A.J. Larson
13,Nicholas Hammer
14,Jackson Cade
15,Daniel Meiland
20,Matt Sweeney
25,Jonah Malenfant
88,Jonah Jossart
b,r,e,a,k
Florida,8
teamInfo,Florida,"Gainesville, Florida",www.ufultimate.com,https://www.facebook.com/floridaultimate,https://twitter.com/FloridaUltimate/
0,Derek Pfeffer
02,Noah Sullivan
03,Alexander Janelle
04,William  Field
05,Logan Storts
07,Jarett Cox
08,Munir Ben Jemaa
09,John Gonzalez
10,Michael Arbutine
11,Ross Lynam
12,Brandon Turnage
15,David Pincus
18,Cooper Whisnant
19,Enrico Bautista
23,Alec Hunziker
24,Logan Diehl
27,Michael Heym
33,Gabriel Cornejo
69,Ethan Hellinger
98,Will Marberry
b,r,e,a,k
Cornell,7
teamInfo,Buds,"Ithaca, New York",budsultimate.com,https://www.facebook.com/pages/Cornell-Buds/249069366500,https://twitter.com/BudsUltimate
0,Alex Lindsay
0,David Maniloff
0,Gabriel Curran
0,Maxwell Coleman
0,Nathaniel Chin
0,Neal Vasireddi
0,Nicholas Hudson
0,Noah Schulman
0,Leo Decter
0,Maximilian Kong
0,Rahul Dev
0,Samuel Hinson
0,Thomas Zhao
0,Roan Chadsey
2,Maxwell Tomsick
5,Peter Deckerman
7,Jack Waxman
11,James Mullmann
12,Aidan Mackenzie
13,Tomer Poole-Dayan
18,Vincent Calderon
23,Eric Ma
66,Benjamin Myers
69,Christopher Chan
69,Reed Lonsdale
72,Jason Russo
92,Sam Garncarz
96,Jack Waitz
b,r,e,a,k
LSU,12
teamInfo,Purple Haze,"Baton Rouge, Louisiana",,,https://twitter.com/LSUUltimateM
0,James Lindquist
0,Matthew St.Martin
0,Samuel Wagner
1,Johnny Sims
2,Luke Anseman
3,Christian Lacoste
4,Daniel Metzger
4,Jonah Hagstad
5,Joseph Bullard
6,Tyler Rogers-Himel
7,Michael Crick
9,Kenny Hingle
10,Marty McGreal
13,Adam Brunner
15,Brock Thibodeaux
16,Miles Polito
20,Matt Freeburgh
21,Eric Reviere
23,Dylan Reviere
25,Nicholas Major
28,Noah Balbon
32,Gabriel Hardy
45,Benjamin Mundt
b,r,e,a,k
Virginia Tech,24
teamInfo,Burn,"Blacksburg, Virginia",http://vtultimate.wix.com/virginiatechultimate,,https://twitter.com/VTBurn?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor
0,Brandon Ho
0,Christopher Hahn
0,David Slade
0,Elliot Limanek
0,Ian Dunkelberger
0,Parham Ghassemi
0,Spencer Paragas
0,Will Reider
1,Gunnar Biebighauser
5,Owen  Wright
8,Marc Lasorsa
9,Colin Dunn
10,Adam Manes
13,David van Pelt
16,Evan McLean
17,Colum Bergeron
18,Sam Winkeler
20,Ryan Rubenstein
23,Jon Tiernan
25,Matthew Beaudet
34,Phineas Ulmishek-Anderson
41,Kiran Devine
42,Adam Norrbom
51,Chris Mascis
71,Jared Cooper
90,Michael Snead
94,Matthew Malito
b,r,e,a,k
Texas A&M,21
teamInfo,Dozen,"COLLEGE STATION, Texas",https://maroonlink.tamu.edu/organization/ultimate,https://www.facebook.com/tamuultimate/,https://twitter.com/DozenUltimate/
coaches,Brett Gramann
0,Chandler Kramer
0,Robert Credeur
2,Ryan Smith
3,Erik Atwell
4,Kyle Sculley
5,Zachary Steffensmeier
9,Joseph  Moore
11,Asa Cable
13,Brennan Karr
15,Micah Craig
19,Jonathan Tran
20,Christopher Ault
21,Nicolas Lanas
21,Josh Deeman
22,Charlie Clark
23,Daxton Davidson
23,Nicholas Viggato
24,Shaun Seidenberger
27,Matthew Wilson
28,Parker Rzasnicki
33,Kyle Nguyen
68,Braden Winklepleck
b,r,e,a,k
Harvard,11
teamInfo,Red Line,"Cambridge, Massachusetts",http://www.hcs.harvard.edu/~disc/,https://www.facebook.com/HarvardUltimate,https://twitter.com/HarvardRedLine
0,Adam Park
0,Ashwin Krishna
0,Ben Altschuler
0,Christopher Ma
0,Daniel Koenig
0,Jackson Smith
0,James Conant
0,Jeffrey Ding
0,Matt Pauly
0,Mikel  Davies
0,Owen Bernstein
0,Ray Jiang
0,Shelly Tsirulik
0,Victor Qin
0,William Hartog
0,William Quan
0,Felix Perez Diener
5,Zadoc Gee
6,Zachary Dietz
22,Elijah Shell
27,Jordan Lee
42,Francisco Fernandez
b,r,e,a,k
Auburn,1
teamInfo,Aetos,"Auburn, Alabama",,https://www.facebook.com/auburnultimate,https://twitter.com/AuburnUltimate
00,Alex Simpson
00,Ashton  Scott
00,Benjamin Bartlett
00,Blaise Linehan
00,Blake Stratton
00,Brandon Beers
00,Clark Rice
00,Daniel Lawson
00,David Perry
00,Ethan Davis
00,Garrett Barr
00,Jackson Crouch
00,Jacob Cich
00,Jonathan Holladay
00,Jordan Christie
00,Marcus Evans
00,Mark Shannon
00,Matthew Green
00,Michael Strobel
00,Noah Runyan
00,Peyton Whiteside
00,Philip Samuels
00,Richard Snitzer
00,Riley Graham
00,Russell Turner
00,Trois White
00,William Bianca
00,Zack Murphy
b,r,e,a,k
Florida State,9
teamInfo,DUF,"Tallahassee, Florida",,https://www.facebook.com/FSUltimate,https://twitter.com/DUFtrainroll
0,Branham Channell
0,Chris Que
0,Clayton Partlow
0,Ethan Spinner
0,Gabriel Fernandez 
0,Grason Cain
0,Jayson Dickinson
0,Justin Chau
0,Kenny Hill
0,Nicholas LoPresti
0,Travis Ward
1,Nathaniel Wilson
2,Jack Powell
3,Peyton Brooks
4,Gabe Azarcon
10,Seth Hibel
11,Connor Howell
17,Garrett Coleman
18,Liam McConnell
25,Alexander Meadows
32,Jonathan Locke
94,Sean Kaiser
b,r,e,a,k
Central Florida,5
teamInfo,Dogs of War,"Orlando, Florida",http://centralfloridaultimate.com/,https://www.facebook.com/CentralFloridaUltimate,https://twitter.com/PupsofConflict
0,Matthew Smith
1,Austin Gaines
2,Carlin Bausch
3,Alex Nelson
4,Austin Fudge
5,Robert Matthew Hankin
8,Kunj Amin
10,Adrian Arreaza
11,Alexander McFerran
14,Roberto Navarro
15,Michael Kemp
16,Justin King
17,Diego Gomez
18,Andre Ramirez
20,Jordan DeWitt
21,Connor Dowd
22,Nicolas Herrera
23,Andrew Hess
24,Trevyr Massey
25,Reese Holiday
27,Kevin Fender
30,Ross Benway
39,Alex Warters
47,Corey Gustafson
55,Bradley  Paul
92,Adam Vinson
b,r,e,a,k
South Florida,19
teamInfo,Scallywags,"Tampa, Florida",,https://facebook.com/usfultimate,https://twitter.com/usfultimate
00,Crue Savage
00,Daniel McNamara
00,David Rivera-Clapp
00,Donovan Murphy
00,Garrett Knobel
00,Henry Trent
00,Jake Jackson
00,Jay Coble
00,Mitchell Blanchard
00,Patrick Maggio
00,Rafael Palacio
00,Barrett Strackbein
00,Ben Campanella
00,Brendan Camareno
00,Cameron Blevins
00,Charles Diamond
00,Robert Moore
00,Shane Chovnick
00,Stephen Smith
00,Timothy Chafin
00,Vonterio Duncan
00,Aaron McAdams
00,Andrew Klotz
21,Andrew  Cooley
25,Richard Miller
85,Cody Coates
b,r,e,a,k
s,t,a,g,e,s
pools,Match Play
pool,Pool A
Brigham Young,Wisconsin,13,10,"02/14/2020, 09:00",Pool A,Final
Cincinnati,Northwestern,9,12,"02/14/2020, 09:00",Pool A,Final
Virginia Tech,Texas-Dallas,7,10,"02/14/2020, 09:00",Pool A,Final
Florida State,LSU,7,12,"02/14/2020, 09:00",Pool A,Final
Auburn,Massachusetts,8,13,"02/14/2020, 09:00",Pool A,Final
Georgia Tech,Tufts,9,10,"02/14/2020, 09:00",Pool A,Final
Michigan,South Florida,13,4,"02/14/2020, 09:00",Pool A,Final
Harvard,Texas,8,13,"02/14/2020, 09:00",Pool A,Final
Georgia Tech,Harvard,13,4,"02/14/2020, 11:00",Pool A,Final
Virginia Tech,Northeastern,9,13,"02/14/2020, 11:00",Pool A,Final
Minnesota,Massachusetts,10,13,"02/14/2020, 11:00",Pool A,Final
Florida State,Cornell,8,13,"02/14/2020, 11:00",Pool A,Final
Michigan,Brigham Young,4,13,"02/14/2020, 11:00",Pool A,Final
LSU,Tufts,8,13,"02/14/2020, 11:00",Pool A,Final
Central Florida,Brown,6,13,"02/14/2020, 11:00",Pool A,Final
Florida,Wisconsin,12,13,"02/14/2020, 11:00",Pool A,Final
Cornell,Texas,8,13,"02/14/2020, 13:00",Pool A,Final
Florida,Northwestern,10,13,"02/14/2020, 13:00",Pool A,Final
Carleton College-CUT,Massachusetts,13,10,"02/14/2020, 13:00",Pool A,Final
Brown,LSU,11,10,"02/14/2020, 13:00",Pool A,Final
Texas-Dallas,Georgia Tech,10,7,"02/14/2020, 13:00",Pool A,Final
Michigan,Wisconsin,12,10,"02/14/2020, 13:00",Pool A,Final
Pittsburgh,Texas A&M,13,6,"02/14/2020, 13:00",Pool A,Final
Auburn,Brigham Young,8,13,"02/14/2020, 13:00",Pool A,Final
Auburn,Wisconsin,9,12,"02/14/2020, 15:00",Pool A,Final
Central Florida,Pittsburgh,5,13,"02/14/2020, 15:00",Pool A,Final
Michigan,LSU,13,6,"02/14/2020, 15:00",Pool A,Final
Tufts,Virginia Tech,12,8,"02/14/2020, 15:00",Pool A,Final
Harvard,Cornell,8,13,"02/14/2020, 15:00",Pool A,Final
Florida,Cincinnati,10,13,"02/14/2020, 15:00",Pool A,Final
Georgia Tech,Texas A&M,13,8,"02/14/2020, 15:00",Pool A,Final
Florida State,Texas,7,13,"02/14/2020, 15:00",Pool A,Final
Cincinnati,South Florida,11,9,"02/14/2020, 17:30",Pool A,Final
Brigham Young,Minnesota,11,9,"02/14/2020, 17:30",Pool A,Final
Texas-Dallas,Northeastern,9,12,"02/14/2020, 17:30",Pool A,Final
Brown,Carleton College-CUT,9,11,"02/14/2020, 17:30",Pool A,Final
Texas A&M,South Florida,13,5,"02/14/2020, 19:30",Pool A,Final
Carleton College-CUT,Central Florida,13,7,"02/14/2020, 19:30",Pool A,Final
Minnesota,Pittsburgh,11,12,"02/14/2020, 19:30",Pool A,Final
Northeastern,Northwestern,12,11,"02/14/2020, 19:30",Pool A,Final
Central Florida,Northeastern,8,11,"02/15/2020, 09:00",Pool A,Final
Cornell,Michigan,9,10,"02/15/2020, 09:00",Pool A,Final
Cincinnati,Massachusetts,3,13,"02/15/2020, 09:00",Pool A,Final
Texas A&M,Northwestern,10,12,"02/15/2020, 09:00",Pool A,Final
Virginia Tech,Wisconsin,6,13,"02/15/2020, 09:00",Pool A,Final
Texas,Tufts,9,11,"02/15/2020, 09:00",Pool A,Final
South Florida,Texas-Dallas,5,13,"02/15/2020, 09:00",Pool A,Final
Auburn,Brown,10,12,"02/15/2020, 09:00",Pool A,Final
Carleton College-CUT,Brigham Young,9,10,"02/15/2020, 09:00",Pool A,Final
Central Florida,Texas-Dallas,3,13,"02/15/2020, 11:00",Pool A,Final
Cincinnati,Harvard,10,6,"02/15/2020, 11:00",Pool A,Final
Cornell,Florida,9,13,"02/15/2020, 11:00",Pool A,Final
Texas A&M,Minnesota,5,13,"02/15/2020, 11:00",Pool A,Final
South Florida,Massachusetts,2,13,"02/15/2020, 11:00",Pool A,Final
Pittsburgh,Brigham Young,10,11,"02/15/2020, 11:00",Pool A,Final
Texas,Wisconsin,11,8,"02/15/2020, 11:00",Pool A,Final
Auburn,Carleton College-CUT,7,13,"02/15/2020, 11:00",Pool A,Final
Florida State,Virginia Tech,6,11,"02/15/2020, 11:00",Pool A,Final
Georgia Tech,Northwestern,13,7,"02/15/2020, 13:00",Pool A,Final
Florida State,Michigan,8,12,"02/15/2020, 13:00",Pool A,Final
Brown,Pittsburgh,10,9,"02/15/2020, 13:00",Pool A,Final
Brigham Young,Massachusetts,12,9,"02/15/2020, 13:00",Pool A,Final
Texas,LSU,11,8,"02/15/2020, 13:00",Pool A,Final
Minnesota,Harvard,13,3,"02/15/2020, 13:00",Pool A,Final
Northeastern,Carleton College-CUT,10,13,"02/15/2020, 13:00",Pool A,Final
Texas-Dallas,Tufts,7,9,"02/15/2020, 13:00",Pool A,Final
Florida,Texas A&M,13,11,"02/15/2020, 13:00",Pool A,Final
Florida State,Northeastern,6,11,"02/15/2020, 15:00",Pool A,Final
Cornell,Georgia Tech,5,13,"02/15/2020, 15:00",Pool A,Final
Auburn,Pittsburgh,6,12,"02/15/2020, 15:00",Pool A,Final
Virginia Tech,Florida,10,11,"02/15/2020, 15:00",Pool A,Final
South Florida,Harvard,6,12,"02/15/2020, 15:00",Pool A,Final
Brigham Young,Brown,10,11,"02/15/2020, 15:00",Pool A,Final
Minnesota,Central Florida,13,6,"02/15/2020, 15:00",Pool A,Final
Cincinnati,Tufts,4,13,"02/15/2020, 15:00",Pool A,Final
LSU,Northwestern,10,12,"02/15/2020, 15:00",Pool A,Final
b,r,e,a,k
brackets,1st-8th
bracket,1st Place
Texas,Michigan,11,14,"02/16/2020, 12:00",Finals,Final
Georgia Tech,Texas,10,11,"02/16/2020, 10:00",Semifinals,Final
Carleton College-CUT,Michigan,11,12,"02/16/2020, 10:00",Semifinals,Final
Tufts,Georgia Tech,7,14,"02/15/2020, 20:00",Quarterfinals,Final
Texas,Northeastern,14,12,"02/15/2020, 20:00",Quarterfinals,Final
Carleton College-CUT,Pittsburgh,15,10,"02/15/2020, 18:00",Quarterfinals,Final
Brown,Michigan,9,11,"02/15/2020, 18:00",Quarterfinals,Final
bracket,3rd Place
Georgia Tech,Carleton College-CUT,10,13,"02/16/2020, 12:00",3rd Place,Final
bracket,5th Place
Tufts,Pittsburgh,5,15,"02/16/2020, 12:00",5th Place,Final
Tufts,Northeastern,13,10,"02/16/2020, 10:00",5th Semifinals,Final
Pittsburgh,Brown,11,10,"02/16/2020, 10:00",5th Semifinals,Final
bracket,7th Place
Northeastern,Brown,11,13,"02/16/2020, 12:00",7th Place,Final
b,r,e,a,k
brackets,9th-16th
bracket,9th Place
Minnesota,Northwestern,15,12,"02/16/2020, 12:00",9th Place,Final
Massachusetts,Minnesota,10,13,"02/16/2020, 10:00",9th Semifinals,Final
Cincinnati,Northwestern,6,15,"02/16/2020, 10:00",9th Semifinals,Final
Massachusetts,Cornell,13,5,"02/15/2020, 20:00",9th Quarterfinals,Final
Minnesota,Wisconsin,15,10,"02/15/2020, 20:00",9th Quarterfinals,Final
Texas-Dallas,Cincinnati,12,13,"02/15/2020, 18:00",9th Quarterfinals,Final
Northwestern,Florida,14,11,"02/15/2020, 18:00",9th Quarterfinals,Final
bracket,11th Place
Massachusetts,Cincinnati,15,6,"02/16/2020, 12:00",11th Place,Final
bracket,13th Place
Wisconsin,Texas-Dallas,14,11,"02/16/2020, 12:00",13th Place,Final
Cornell,Wisconsin,6,15,"02/16/2020, 10:00",13th Semifinals,Final
Texas-Dallas,Florida,11,10,"02/16/2020, 10:00",13th Semifinals,Final
bracket,15th Place
Cornell,Florida,11,12,"02/16/2020, 12:00",15th Place,Final
b,r,e,a,k
brackets,17th-24th
bracket,17th Place
LSU,Central Florida,14,15,"02/16/2020, 12:00",17th Place,Final
LSU,Auburn,11,9,"02/16/2020, 10:00",17th Semifinals,Final
Harvard,Central Florida,10,15,"02/16/2020, 10:00",17th Semifinals,Final
LSU,South Florida,15,7,"02/15/2020, 18:00",17th Quarterfinals,Final
Auburn,Virginia Tech,13,11,"02/15/2020, 18:00",17th Quarterfinals,Final
Harvard,Florida State,13,12,"02/15/2020, 18:00",17th Quarterfinals,Final
Texas A&M,Central Florida,12,13,"02/15/2020, 18:00",17th Quarterfinals,Final
bracket,19th Place
Auburn,Harvard,15,6,"02/16/2020, 12:00",19th Place,Final
bracket,21st Place
Virginia Tech,Texas A&M,13,10,"02/16/2020, 12:00",21st Place,Final
South Florida,Virginia Tech,9,13,"02/16/2020, 10:00",21st Semifinals,Final
Florida State,Texas A&M,5,13,"02/16/2020, 10:00",21st Semifinals,Final
bracket,23rd Place
South Florida,Florida State,10,11,"02/16/2020, 12:00",23rd Place,Final
b,r,e,a,k
