2025 South Central Men's Regional Championship,Club - Men ,20,9,2025
Austin,TX,2025-09-20,2025-09-21
http://play.usaultimate.org/events/2025-South-Central-Mens-Regional-Championship/schedule/Men/Club-Men/
Johnny Bravo,1
10,Casey Seitz
11,Jason Davis
12,Evan Card
14,Keagan Gustin
17,Logan Krehbiel
22,Justin Arney
23,Clark Reimer
33,Samuel Mehan
60,Emmanuel Kameri
b,r,e,a,k
Doublewide,2
teamInfo,,"Austin, Texas",https://wellnasty.com/,https://www.facebook.com/DoublewideTX/,https://twitter.com/doublewidetx
coaches,Joshua Zdrodowski
0,Bodhi Weston
0,Evan Swiatek
0,Gavin Babbitt
0,George Gust
0,Hayden Stone
0,Jake Worthington
0,Matt Chambers
0,Noah Powell
0,Noriaki To
0,Rafael Cruz-Garcia
0,Saaketh Palchuru
1,Kolbe Bauer
2,Emmanuel Bilolo
2,Jacob Kaplan
3,Mark Henke
5,Jacob Radack
10,Alec Wilson Holliday
10,Xavier Fuzat
16,Timothy Mosher
18,Elliott Moore
23,Kyle Henke
33,Aaron Barcio
45,Kade Morris
50,Matthew Armour
69,Christopher Cassella
88,Duncan Fitzgerald
b,r,e,a,k
Dreadnought,7
teamInfo,,"Fayetteville, Arkansas",,,https://twitter.com/DreadnoughtUlti
0,Bret Vallun
0,Cole Peterson
0,David Belvardi
0,David Pojunas
0,Adam Donaldson
0,Gabriel Sanchez
0,Jake Nielesen
0,Jonathan Rothfus
0,Justin Li
0,Travis Duwe
1,Alex Fialon
5,Sheldon Shinn
6,Gavin Walker
7,Mason Keeling
9,Kai Tang
10,Ethan Tolley
11,Jake Mitchell
12,Drew Taylor
14,Matthew Ball
15,Abe Gambert
20,Sam Wilson
31,Dylan Custer
36,Justin MIlls
38,Nathaniel Moffatt
50,Jacob Wakefield
67,Spencer Patterson
b,r,e,a,k
Riverside,11
teamInfo,,"Austin, Texas",http://riversideultimate.org,https://www.facebook.com/RiversideUltimate/,https://twitter.com/riversideulti
0,Adam Bell
0,James Lund
0,Jason Li
0,John Woldum
0,Jonah Jimenez
0,Decker Padgett
0,Gerardo Martinez Flores
0,Josiah Padgett
0,Matthew Bianchi
0,Michael Clark
0,Nat Hsu
0,Robert Credeur
0,Thomas Hannie
4,Andres Rodriguez
6,Jacob Warmath
7,Troy Abbott
7,Marcelo Gonzalez
11,Gus Serff-Roberts
17,Sean Hall
23,Ben Thollander
44,Aidan Wilson
86,Jordan Richter
b,r,e,a,k
Sprawl,14
teamInfo,,"Dallas, Texas",https://www.instagram.com/dallassprawl/,,
0,Alan Chi
0,Cerdic Atwood
0,Harold Hubbard
0,Jake Brownfield
0,Trivett Jones
1,Kyle Kwezani
2,Gavin Davis
5,Joshua Fambro
7,Reid Pannell
10,George Neely
11,Joseph Fambro
12,Daniel Spillane
13,Thomas Abel
17,Joe Berni
22,Owen Talmadge
24,Nicholas Stambo
25,Alexander Skerbitz
34,Kristoff Boor
41,Ben Street
42,Tryston McGuyre
43,Nicholas Stipanovic
44,Riley Scanlan
48,Akul Kadyan
69,Lamar Seger
77,Ian Ambrose
b,r,e,a,k
Gamble,3
teamInfo,,"San Marcos, Texas",,,
0,Cole Chanler
00,Connor DeLuna
00,David Haeussler
00,Drew Law
00,Francisco Gomez
00,Garrett Wilson
00,Henry Charbeneau
00,Jake Reinhardt
00,Jordan Salazar
00,Jordan Taylor
00,Kyle Kolafa
00,Mitchell Blaha
00,Noah Furrh
00,Oakley Armstrong
00,Owen Johnson
00,Ryan Stomp
00,Samuel Heslep
00,Samuel Roberts
00,Scott Hearne
00,Spencer Keith
00,Trenton Hebert
00,Alexander Janelle
00,Anthony Shelton
00,Brock Thibodeaux
00,Caiden Burt
b,r,e,a,k
H.I.P,6
teamInfo,,"Texas City, Texas",,,https://twitter.com/hip_flatball/
0,Brendan Adams
0,Dosym Kunhardt
0,Johnny Frohlichstein
0,Matthew Bierschenk
0,Kolby Janzen
0,Peter Ngo
0,Robert Lewis
0,Ryan Reinhart
0,Steven Kelly
0,Talon Balcom
2,Matthew Bennett
6,Carson Wilder
10,Owen Smith
13,Nash Mock
14,Reid Bacon
15,Micah Craig
16,Michael Hays
18,Kevin Land
21,Mitchell Bennett
25,Sharief Moghazy
30,Mick Walter
33,Huy Nguyen
36,Bryan Downey
43,Peter Rangel
69,Sharan Sethi
69,Evan Parizot
b,r,e,a,k
Cowtown Cannons,10
teamInfo,,"Fort Worth, Texas",,,
0,Alex Wang
0,Andrew Maloney
0,Cody Chase
0,Cody Drolet
0,Eian Brent
0,Evan Garner
0,Frederick Christen
0,Geoffrey Cheng
0,Jared Rojas
0,Jordan Penn-White
0,Lawrence Uhl
0,Matthew Bunker
0,Micah Rehfuss
0,Nicholas Williams 
0,Preston McKee
0,Sam Johnson
0,Zachary Wenner
8,Isaac Fuller
8,Daniel Smith
9,Steve Harring
12,Isaiah Platt
26,Nathan Reynolds
28,Caleb Mills
32,Luke Sheppard
50,Jon DeAmicis
87,Joshua Rainey
b,r,e,a,k
Texas Duffy,15
teamInfo,,"College Station, Texas",,,
0,Peter Saudale
00,Sean Brooks
01,Erik Atwell
04,Kyle Sculley
07,Gino Fongaro
08,Ethan Horng
09,Gareth May
10,Christopher Ault
14,Myles Wagner
17,Todd Schrader
21,Andres Chesnut
22,Tony Cao
25,Justin Lyons
35,Mathias Weeks
37,Taylor Neigut
40,Greg Muth
44,Scott Cricks
69,Joshua Romani
73,Justin Petre
77,Edgar Alvarado
80,Jason Wehring
b,r,e,a,k
Fungi,5
teamInfo,,"Denver, Colorado",,,
01,Will Wallace
02,Shaan Narayan
03,John Miller
04,Morgan Scott
05,Sam Keller
06,Matthew Goetsch
07,Sam Ruiz Harding
10,Nick Banks
13,Rory Lenny
14,Alex Walsh
17,Colton Steiner
21,Spencer Hawkins
22,Daniel Sponaugle
23,Joshua Morris
24,Jorge Delgado
25,Jeremy Knopf
30,Sten Larson
31,Dexter Luecke
33,Adam Federbusch
39,Carter Hawkins
44,Vikrant Pendharkar
52,Oliver Cunningham
54,Matthew McLean
69,James Miller
72,Max Van Sickle
84,Seth Faris
b,r,e,a,k
Alamode,4
teamInfo,,"San Antonio, Texas",,,
0,Josh Banks
0,Joshua Gammon
0,Justin Shelby
0,Patrick Zertuche
0,Silas Paterka
0,Soren Watterson
0,Tat Whitley
1,Skye Knight
1,Ryan Smith
8,James Crosnoe
9,Kevin McGloin
00,Axel Anderson
00,Beau Fournet
00,Ben Stone
00,Brandon Chow
00,Chase Stegall
00,Christian Paterka
00,Drew Gullahorn
00,Gavin Hart
00,Jacob Rosen
11,Nicholas Ortiz
13,Jaedron Mueller
25,Paul Jackson
b,r,e,a,k
Brawl,9
teamInfo,,"Dallas, Texas",,,@dallasbrawl
0,Henry Wang
1,Eric VerPloeg
2,Luke Stipanovic
4,Kaveen Patel
5,Nand Patel
6,Ivan Yau
8,Mason Kelley
9,Lucas Morgan
10,Lennon Dycus
12,Andrew Dorf
16,Aaron Smith
18,Jacob Spillars
22,Scott Zachary
23,Andrew Sullivan
24,Asher Niedzwiedz
25,Ben Meister
29,Matthew Hudspith
32,Joseph Welkener
34,Fernando Lugo
34,Ryan Neumann
43,Brian Honea
44,David Higuchi
48,Christian Parker
77,Willy Goal
89,Jack Wooldridge
98,Luiz Astorga
b,r,e,a,k
Bonzaiiiii!!,16
teamInfo,,"Austin, Texas",,,
1,Johnny Chang
3,Chris Mihalyi
6,Graham Hazlewood
9,David Street
10,Jonathan Gardner
11,Guadalupe Garcia
12,Rick Artus
13,Jack Hornbuckle
14,Keith Larsen
16,Patrick Christmas
17,Jose Tamez Durandeau
18,Agustin Barajas
20,Chris Stone
28,Joseph (Joe) Stokes
36,Calvin Lin
38,Johnathan Roniger
39,Matt (Jonathan) Hull
48,Garrett Davis
83,Christopher Griego
99,Ronan Lin
b,r,e,a,k
s,t,a,g,e,s
pools,Pool Play
pool,Pool A
Johnny Bravo,Texas Tea,13,4,"09/20/2025, 08:00",Pool A,Final
ISO Atmo,BARNSTORM,13,7,"09/20/2025, 08:00",Pool A,Final
Johnny Bravo,BARNSTORM,13,1,"09/20/2025, 09:45",Pool A,Final
ISO Atmo,Texas Tea,13,12,"09/20/2025, 09:45",Pool A,Final
Johnny Bravo,ISO Atmo,13,2,"09/20/2025, 11:30",Pool A,Final
Texas Tea,BARNSTORM,13,7,"09/20/2025, 11:30",Pool A,Final
pool,Pool B
Doublewide,Riverside,13,6,"09/20/2025, 08:00",Pool B,Final
Dreadnought,Sprawl,13,5,"09/20/2025, 08:00",Pool B,Final
Doublewide,Sprawl,13,4,"09/20/2025, 09:45",Pool B,Final
Dreadnought,Riverside,11,10,"09/20/2025, 09:45",Pool B,Final
Doublewide,Dreadnought,12,7,"09/20/2025, 13:30",Pool B,Final
Riverside,Sprawl,13,7,"09/20/2025, 13:30",Pool B,Final
pool,Pool C
H.I.P,Texas Duffy,13,6,"09/20/2025, 08:00",Pool C,Final
Gamble,Cowtown Cannons,13,10,"09/20/2025, 09:45",Pool C,Final
Gamble,Texas Duffy,13,7,"09/20/2025, 11:30",Pool C,Final
H.I.P,Cowtown Cannons,11,10,"09/20/2025, 11:30",Pool C,Final
Gamble,H.I.P,13,5,"09/20/2025, 13:30",Pool C,Final
Cowtown Cannons,Texas Duffy,13,9,"09/20/2025, 13:30",Pool C,Final
pool,Pool D
Alamode,Brawl,13,5,"09/20/2025, 08:00",Pool D,Final
Fungi,Bonzaiiiii!!,13,5,"09/20/2025, 08:00",Pool D,Final
Alamode,Bonzaiiiii!!,13,7,"09/20/2025, 09:45",Pool D,Final
Fungi,Brawl,13,7,"09/20/2025, 09:45",Pool D,Final
Alamode,Fungi,9,11,"09/20/2025, 11:30",Pool D,Final
Brawl,Bonzaiiiii!!,13,6,"09/20/2025, 11:30",Pool D,Final
b,r,e,a,k
brackets,Top 8 Bracket
bracket,Championship Bracket
Johnny Bravo,Dreadnought,0,0,"09/21/2025, 08:00",Quarters,Scheduled
Fungi,H.I.P,0,0,"09/21/2025, 08:00",Quarters,Scheduled
Gamble,Alamode,0,0,"09/21/2025, 08:00",Quarters,Scheduled
Doublewide,Brawl,0,0,"09/21/2025, 08:00",Quarters,Scheduled
Dreadnought,Cowtown Cannons,12,11,"09/20/2025, 15:30",Pre-Quarters,Final
H.I.P,Riverside,15,9,"09/20/2025, 15:30",Pre-Quarters,Final
Texas Tea,Alamode,8,12,"09/20/2025, 15:30",Pre-Quarters,Final
Brawl,ISO Atmo,12,9,"09/20/2025, 15:30",Pre-Quarters,Final
bracket,3rd Place Game
bracket,5th Place Bracket
bracket,7th Place Game
b,r,e,a,k
brackets,9th-12th Place
bracket,9th Place
Texas Tea,ISO Atmo,0,0,"09/21/2025, 08:00",9th Semis,Scheduled
Cowtown Cannons,Riverside,0,0,"09/21/2025, 08:00",9th Semis,Scheduled
bracket,11th Place
b,r,e,a,k
brackets,13th-16th Place
bracket,13th Place
Bonzaiiiii!!,Texas Duffy,0,0,"09/21/2025, 10:00",13th,Scheduled
BARNSTORM,Bonzaiiiii!!,10,12,"09/20/2025, 13:30",13th Semis,Final
Texas Duffy,Sprawl,13,7,"09/20/2025, 15:30",13th Semis,Final
bracket,15th
BARNSTORM,Sprawl,0,0,"09/21/2025, 12:00",15th,Scheduled
b,r,e,a,k
