2025 USA Ultimate D-I College Championships,College - Men ,23,5,2025
Burlington,WA,2025-05-23,2025-05-26
https://play.usaultimate.org/events/2025-USA-Ultimate-College-Championships/schedule/Men/CollegeMen/
Massachusetts,1
teamInfo,Huskies,"Boston, Massachusetts",http://www.ultimate.neu.edu/men,https://www.facebook.com/NUMensUltimate,https://twitter.com/NUMensUltimate
coaches,Dan Goldstein,Dan Hourigan,Angela Zhu,Timothy Bobrowski,Benjamin Centracchio
01,Skyler Davidman
02,David Owyang
03,Benjamin Saterbak
04,Krish Vasisht
05,Matias Ng
06,Isaiah Jones
08,Sunay Patel
09,James (Jimmy) Beckman
10,Ben Chamis
11,Peter Boerth
12,Ramsey Elder
13,Jackson McGuinness
14,Sean Jaffe
15,David Pinto
17,Samuel Freedman
18,Ciaran Pratley
20,Nathaniel Cramer
21,Dallon Archibald
22,Jack Simmons
23,James McElheny
24,Michael Katz
31,Griffin Majer
32,Jackson biggs
47,Landon Schopp
91,Kalten Toone
b,r,e,a,k
California-Santa Cruz,7
teamInfo,Slugs,"Santa Cruz, California",https://www.instagram.com/slugultimate/,https://www.facebook.com/slugultimate,https://twitter.com/slugultimate
coaches,Johnny Ortberg
01,Charlie Jia
03,Finnegan Barr
05,William Snyder
07,Cyrus Isaacs
11,Weston Collard
12,Davin Sieu
13,Kien Warren
14,Gabriel Schwartz-Ketchner
15,Milan Moslehi
16,Ryan Weng
19,Jackson Friday
21,Cole Mires
28,Thai Villaluna
31,Toby Warren
36,Selim Jones
42,Benjamin Pratt
43,Declan Fee
44,Aidin Terris
45,Tyler Weng
50,Samuel Kaplan
69,Ethan Rogers
72,Sam Jo
74,Nirel Barthelom
75,Bodie Shargel
77,Mario Ambrose
88,Devin Acuna
92,Seamus Shogren
b,r,e,a,k
Western Washington,18
teamInfo,DIRT,"Bellingham, Washington",,,
coaches,Craig Harkey
02,Phoenix  Laliberte
03,Mason Herndon
04,Brian Fosmark
05,Eliot Lundt
07,Gideon Knox
09,Elijah Diamond
11,Byron Jordan
12,Hayden Zaske
15,Graham Peck
16,Cedar Hines
17,Thomas Simms
18,David Leahy
20,Calvin Dodge
21,Griffin Laliberte
22,Jadon Finkelor
26,Deacon Campbell
30,Jaimen Grove
32,Ben Hanson
33,Naren Fuller
42,Peter Eklund
47,Zoli Ishikawa-szabo
51,Gabriel Diamond
63,Andreas Schoop
72,Marcus Hibpshman
74,Ethan Kelley
95,Zach Sadow-Hasenberg
b,r,e,a,k
Colorado,3
teamInfo,Mamabird,"Boulder, Colorado",http://www.mamabird.com/,https://www.facebook.com/University-of-Colorado-Mamabird-361160030582581,https://twitter.com/CUMamabird
coaches,Jonathan Nethercutt,Akane Kleinkopf,Nathan Buchholz
00,Tobias Brooks
01,Zeke Thoreson
03,Thomas Tasker
04,Finn Dougherty
05,Daniel Bauman
06,Axel Hartzog
07,Gaurav Prasad
08,Levi Tapper
09,Rami Rifaat
10,Alex Yu
11,Ezra Thoreson
12,Benton Shevlin
13,Daniel Williams
14,Sam Kilgore
15,Geoffrey Tucker Kalmus
17,Curtis Pakgross
20,Will Barnouw
21,Zackary Bacon
22,Nicholas Kleinhelter
23,Elliot Hawkins
26,Omar  Semrin
27,Lukas Alexander
34,Ethan Burgess
42,Ryan Allenson
46,Nanda Min-Fink
58,John Baggenstoss
66,Ryan Shigley
72,Max Van Sickle
89,Juan Castillero
91,Joe Michaud
b,r,e,a,k
Cal Poly-SLO,6
teamInfo,SLOCORE,"San Luis Obispo, California",http://slocore.com,https://www.facebook.com/slocoreultimate/,https://twitter.com/CORE_ultimate
coaches,Caleb Merriam,Cody Mills
00,Joseph Thachet
04,Marley Sussman
05,Alex Yannelli
06,Keaton Orser
07,James Whealan
08,Max Gade
09,Dodger Middlebrook
10,Cody  Leveau 
11,Ari Pincus
12,Martin  Doherty
14,Rafael Castillo
15,Anton Orme
16,Dakota Chou
17,Nico Laurenson
22,Ian Spick
24,Jamieson Rear
25,Hayden King
26,Benson Cady
27,Wyatt Colburn
30,Oliver Faase
32,Kole Ketner
34,Owen Gresko
36,Malachi Merriam
45,Alex Nelson
50,Kyle Lew
64,Micah Fong
72,Ian Ang
b,r,e,a,k
California,10
teamInfo,Ursa Major,"Berkeley, California",https://www.youtube.com/@calmensultimate6634,https://www.facebook.com/CalMensUltimate/,https://twitter.com/calmensultimate
coaches,Joshua Yuan
03,Kainoa Hottendorf
05,Robert McCabe
08,Jack Dinsmore
09,Dylan Pearson
11,Bernard Wang
14,Dexter Clyburn
16,Jonah Gensler
17,Lukas Tien
18,Nathan Levy
21,Ridge Huang
23,Kyle Riley
24,Carter Lankford
25,Cameron Taleghani
26,Aditya  Vunnum
27,Mitchell Gibson
28,Nolan Emis
32,Anish Shrestha
35,Brayden Ye
41,Declan Bernal
42,Raymond Li
81,Drew Vetteth
87,Matthew Yang
97,Eric Johnson
b,r,e,a,k
British Columbia,15
teamInfo,Thunderbirds,"Vancouver, British Columbia CA",,,
coaches,Alexander Lam,Gagan Chatha,William Tang
0,Joshua Jang
01,Shahaan Oshidary
04,Ryan Chen
05,James Lehmann
06,Matthew Wood
08,Zachary Wong
09,Ian Holzman
10,Rex Yuen
11,Justin Podnar
13,Sunny Wong
14,Davis Toth
15,Duncan Nichols
16,Justin Luna
17,Ryan Graves
19,Jake Yuen
25,Bryn McColl
31,Graeme Hanks
32,Miles Wong
37,Eli Bryan
71,Edward Ross-Zhu
72,Wesley  Wong
73,Angus Chan
95,Colin Wu
b,r,e,a,k
Michigan,19
teamInfo,MagnUM,"Ann Arbor, Michigan",http://www.magnumultimate.com/,https://www.facebook.com/magnUMultimatefrisbee/,https://twitter.com/magnUMultimate
coaches,Michael Dagher-Margosian
00,Filip Icev
02,Enzhuo Yu
03,Jose Dasilva
04,Adam Wang
05,Trent Moon
06,Andrew Kim
08,Nicholas Alfonso
09,Jack Davis
10,Xavier Silva
11,Josh Solomon
12,Emmet Payette
13,Lincoln Boyd
14,Aaron Bartlett
19,Aidan Hale
21,Austin Ngan
23,Gabriel Dowd
24,Charlie Rosenfeld
25,Andrew Armstrong
27,David Braden
28,Gabriel Scheck
29,Samuel Teppo
33,James Hill
36,Charlie Huang
37,Julius Cohen
55,Joshua Wang
77,Ryan Barrett
88,Mekhi PhillipsRincher
89,Stanley Jian
92,Tobey Chang
99,Daniel Marlin
b,r,e,a,k
North Carolina,5
teamInfo,Darkside,"Chapel Hill, North Carolina",http://www.uncdarkside.com/,https://www.facebook.com/UNCDarkside,https://twitter.com/UNC_Darkside
coaches,David Allison,Matt Gouchoe-Hanas,Ben Snell,Andrew Li,Daniel Zhu
00,Thomas Harley
01,Andrew Fan
02,Elijah Danley
03,Aaron Wei
04,Samuel Redinbo
05,Arjun Deshmukh
06,Watkins Parker
07,Eli Fried
08,Hayden Naylor
09,Keller Fraley
10,Ben Dameron
11,Alex Fiordalisi
12,Max Goetz
13,Daniel Zhang
14,Bodhi Harmony
15,Seth Fried
16,Brian Trowbridge
17,Theodore Aspinwall
18,Jake Schwartz
19,Frederick Huang
20,Henry Holland
21,Josh Singleton
22,Addison Carnow
25,Min Lim
27,Jason Manning
28,Cohen Sears
34,Noah Bush
35,Matthew Barcellos
41,Jachym Zvelebil
42,William Spykerman
48,John  Sowinski 
51,Kevin Pignone
80,John Riley
87,Dov Bearman
88,Henry Chen
b,r,e,a,k
Washington University,9
teamInfo,Contra,"St. Louis, Missouri",contra.wustl.edu,,twitter.com/wucontra
coaches,Blake Larson,George Brell,Joshua Gabella
01,Noah Stovitz
02,Rohan Patel
03,Cameron Freeman
04,Jackson Freeman
05,Jacob Tindall
06,Bennett Schwartz
07,Campbell Tucker-Hill
08,Joel Brown
09,Nicholas Jeschke
11,Michael Coyne
12,Eddie Zhao
13,Mitchell O'Keefe
14,Jack Wellons
17,Isaac Trommer
23,Finn Hanson
24,Seth Fisher-Olvera
25,Dillon Lee
27,Nico Rose
28,Elie Weitzman
32,Jake Bender
33,Nicolas Sprague
35,Benjamin Reimler
44,Isaac Fenster
64,Ronak Agarwal
77,Cyrus Beauvais
96,Joe Hess
99,Oliver Every
b,r,e,a,k
Carleton College,4
teamInfo,CUT,"Northfield, Minnesota",https://www.carleton.edu/student/orgs/cut/,https://www.facebook.com/CUTrules,https://twitter.com/cutrules
coaches,Dillon Lanier,Timothy Schoch,Joe White,Noah Hanson,Solomon Yanuck
00,Cullen Baker
01,Ian Rock-Jones
02,Jonah Barry
03,Tiarnan Babcock O’Neill
05,Max Posner
06,Will Troop
07,Jasper Priest
10,Tej Murthy
11,Ryan duSaire
12,Thomas Shope
13,Nathan Parker
14,Fin Fuhrmann
15,Benjamin Scott-Lewis
17,Leo Cogan-Drew
22,Declan Miller
23,Bobby Eleveld
24,Sam Elliott
27,Adam Rothman
28,Axel Olson
29,Daniel Chen
31,Nathan De Morgan
33,Vivek Manchala
35,Nobi (Masao) Lorenz
39,Nathan Kallin
44,George Lefkowicz
45,Quinn Lander
50,Colin Brown
64,Leo Xiao
84,Charles Bitler
88,Alden Harcourt
95,Ellis Newhouse
99,Julian Walston
b,r,e,a,k
Ottawa,20
teamInfo,Gee-Gees,"Ottawa, Ontario CA",,https://www.facebook.com/GeeGeeMensFrisbee,
coaches,Habib Atallah,Luke Phelan,Desmond Staples
04,Ennio Ciambella
06,Vijuut Giritharan
08,Ryan Burns
09,Logan Keillor
10,Samuel Tremblay-Larochelle
12,Kaleb Schakelaar
13,Theo Gobeil
14,Charles-Etienne Merizzi
15,Mathis Turgeon-Roy
16,Noah Berube
17,Nicholas Gohar
22,Tristan Roy
28,Marc-Antoine Larouche
33,Kaeden Ireland
41,Roth Mohring
68,Shaun Owen-Usher
73,Jaden Fielding
83,Maxime Ayad
92,Terron Ross
b,r,e,a,k
Penn State,16
teamInfo,Spank,"University Park, Pennsylvania",http://clubs.psu.edu/up/ultimate/,,https://twitter.com/spank_ultimate
coaches,Morrison Smith,Benjamin Wiggins
00,Javier Gonzalez-Recober
01,Zander Sachs
02,Sean Brown
03,Nathaniel Hodges
04,Connor Matheson
05,Nicholas  Lutz
06,Enrique Montalvo
07,Evan Medrow
08,Aaron Crothers
09,Kyle Incollingo
10,Kelvin Lei
11,Jeremy Long
12,Aman Guruacharya
13,Evan Dagle
14,Ethan Pigeon
16,Jeremy Mack
17,Alexander (Zander) Lutz
18,Raffi Cannon
21,Evan Lutz
23,Michael  Maroon
24,Doug Hoyer
27,Logan Piercy
28,Dylan Connor
29,Andrew Kelly
47,Oliver Saunders
51,Ethan Landis
54,Alex Mullen
69,John Williams
75,Luke Gochis
81,Nicholas Marinelli
b,r,e,a,k
s,t,a,g,e,s
pools,Pool Play
pool,Pool A
Texas,Vermont,14,13,"05/23/2025, 10:30",Pool A,Scheduled
Massachusetts,Oregon State,14,12,"05/23/2025, 10:30",Pool A,Scheduled
Oregon State,Vermont,0,0,"05/23/2025, 15:00",Pool A,Scheduled
Texas,Utah,0,0,"05/23/2025, 15:00",Pool A,Scheduled
Massachusetts,Utah,0,0,"05/23/2025, 17:00",Pool A,Scheduled
Oregon State,Texas,0,0,"05/24/2025, 08:30",Pool A,Scheduled
Massachusetts,Vermont,0,0,"05/24/2025, 08:30",Pool A,Scheduled
Vermont,Utah,0,0,"05/24/2025, 10:30",Pool A,Scheduled
Massachusetts,Texas,0,0,"05/24/2025, 13:00",Pool A,Scheduled
Oregon State,Utah,0,0,"05/24/2025, 13:00",Pool A,Scheduled
pool,Pool B
Oregon,Western Washington,15,10,"05/23/2025, 08:30",Pool B,Final
California-Santa Cruz,Georgia,13,14,"05/23/2025, 08:30",Pool B,Final
Northeastern,Georgia,0,0,"05/23/2025, 13:00",Pool B,Scheduled
Oregon,California-Santa Cruz,0,0,"05/23/2025, 13:00",Pool B,Scheduled
Northeastern,Western Washington,0,0,"05/23/2025, 17:00",Pool B,Scheduled
Georgia,Western Washington,0,0,"05/24/2025, 08:30",Pool B,Scheduled
California-Santa Cruz,Northeastern,0,0,"05/24/2025, 10:30",Pool B,Scheduled
Oregon,Georgia,0,0,"05/24/2025, 10:30",Pool B,Scheduled
Oregon,Northeastern,0,0,"05/24/2025, 15:00",Pool B,Scheduled
California-Santa Cruz,Western Washington,0,0,"05/24/2025, 15:00",Pool B,Scheduled
pool,Pool C
Cal Poly-SLO,British Columbia,15,11,"05/23/2025, 10:30",Pool C,Scheduled
California,Michigan,10,14,"05/23/2025, 10:30",Pool C,Scheduled
California,British Columbia,0,0,"05/23/2025, 15:00",Pool C,Scheduled
Colorado,Cal Poly-SLO,0,0,"05/23/2025, 15:00",Pool C,Scheduled
Colorado,Michigan,0,0,"05/23/2025, 17:00",Pool C,Scheduled
Cal Poly-SLO,California,0,0,"05/24/2025, 10:30",Pool C,Scheduled
Colorado,British Columbia,0,0,"05/24/2025, 10:30",Pool C,Scheduled
British Columbia,Michigan,0,0,"05/24/2025, 13:00",Pool C,Scheduled
Colorado,California,0,0,"05/24/2025, 15:00",Pool C,Scheduled
Cal Poly-SLO,Michigan,0,0,"05/24/2025, 15:00",Pool C,Scheduled
pool,Pool D
North Carolina,Penn State,15,11,"05/23/2025, 08:30",Pool D,Final
Washington University,Ottawa,13,10,"05/23/2025, 08:30",Pool D,Final
Carleton College,Ottawa,0,0,"05/23/2025, 13:00",Pool D,Scheduled
Washington University,Penn State,0,0,"05/23/2025, 13:00",Pool D,Scheduled
Carleton College,North Carolina,0,0,"05/23/2025, 17:00",Pool D,Scheduled
North Carolina,Washington University,0,0,"05/24/2025, 08:30",Pool D,Scheduled
Carleton College,Penn State,0,0,"05/24/2025, 08:30",Pool D,Scheduled
Carleton College,Washington University,0,0,"05/24/2025, 13:00",Pool D,Scheduled
North Carolina,Ottawa,0,0,"05/24/2025, 13:00",Pool D,Scheduled
Penn State,Ottawa,0,0,"05/24/2025, 15:00",Pool D,Scheduled
b,r,e,a,k
brackets,Championship Bracket
bracket,1st Place
b,r,e,a,k
brackets,13th Place
bracket,13th Place (tie)
bracket,13th Place (tie)
b,r,e,a,k
brackets,17th Place
bracket,17th Place (final)
bracket,17th Place (tie)
b,r,e,a,k
