Lehigh Valley Invite,Club - Mixed ,2,8,2025
Allentown,PA,2025-08-02,2025-08-03
https://play.usaultimate.org/events/Lehigh-Valley-Invite/schedule/Mixed/Club-Mixed
UNION,1
19,Kate Chesnutt
25,Thomas Frazier
28,Alec Marks
36,Jonah Brenner
b,r,e,a,k
Goosebumps,12
teamInfo,,"Houston, Texas",,https://www.facebook.com/goosebumpsultimate/,
0,Johnathan Tran
1,Kameron Boren
2,Amanda Postolowski
5,Christian Hagan
6,Kailee Mann
7,Phillip Nguyen
8,Calvin Nguyen
10,Sam Scott
11,Jonathan Chiou
13,Kelly Graham
17,Logan Boren
18,Chris Conklin
20,Melody Nguyen
21,Kevin Cao
23,Ann Nguyen
26,Catalina Pinto
44,Matthew Reluzco
77,Reece Rose
95,Megan Mendieta
b,r,e,a,k
Obelisk,20
teamInfo,,"Washington, District of Columbia",https://www.instagram.com/obeliskulti/?igsh=c2t3Nmw1ZmVlcHkz#,,
2,Caroline Hill
3,Tessa Waidelich
4,Sulaiman Rashid
5,Josh Strauss
7,Ilana Herold
11,Evelyn Adams
16,Nathaniel Dickstein
18,Drew Weiss
19,Jennifer Wu
20,Charles Boulton
21,Tamir Hill-Marshall
22,Sophie Millar
24,Lauren Paul
28,John Dresen
30,Galen Fitzkee
34,Diran Adalian
36,Allison Lupatkin
41,Isabelle Reilly
42,Kira Krucoff
43,Timothy Wynia
45,James Morgan
65,Christopher Grenier
79,Grace Dho
b,r,e,a,k
Philly Twist,17
teamInfo,,"Philadelphia, Pennsylvania",,https://www.facebook.com/TwistUltimate/,https://twitter.com/philly_twist
0,Alex Kerensky
0,Anna Kasper
0,Barrett Doering
0,Charles Harrity
0,Ella Kesler
0,Emma Wennberg
0,Ethan Smith
0,Ethan Daum
0,Ivan Sanchez
0,Janelle Gerardi
0,Keira Schoffler
0,Rebecca Shustack
0,Zachary Jacobs
0,Zachary Oppler
4,Johnny Cruz
4,Brian  Murphy 
4,Emily Gallagher
7,Ben Fournier
27,Ella Rothermel
56,Lauren Feder
75,Abraham Schroeder
b,r,e,a,k
LORD,21
teamInfo,,"Fairfax, Virginia",,,
0,Christine Fanning
0,Christopher Barnett
0,Isabella Vergona
0,Jeffrey He
0,Katherine Yen
0,Sneha John
7,Brett Coulter
8,Isabella Chan
11,Paul Pham
13,Paulina (Syd) Kirk
13,Kevin Zhang
16,Ryan Heenan
20,Vikas Vannappagari
21,Samuel Fitzhugh
21,Daniel Son
24,Jessica Tow
27,Lorelei Dean
33,Justin Ledinh
37,Anna Xu
47,Bilva Sanaba
66,Phoebe Kirk
71,Grace Galen
78,Leo Pierson
88,Jack Chisenhall
b,r,e,a,k
Domino Effect,24
teamInfo,,"New York, New York",https://www.instagram.com/dominoeffect_ultimate,,
0,Jed Higdon
1,Gil Benhamou
2,Jonathan Walls
3,Emma Alatzas
4,Jeremy Moles
5,Joshua Zinger
6,Mariah Szabo
7,Sahil Hansalia
10,Aidan Gold
12,Albert Rosario-Pichardo
13,Marisol Martinez
15,Lissa Geida
17,Jason Valverde
19,Sophie Krichevsky
21,Martina Irurita
22,Amber Kline
