2025 Elite-Select Challenge,Club - Mixed ,16,8,2025
Indianapolis,IN,2025-08-16,2025-08-17
https://play.usaultimate.org/events/2025-Elite-Select-Challenge/schedule/Mixed/Club-Mixed
Rally,7
0,Nathaniel Wipfler
0,Patrick Brady
0,Roy Fang
0,Scott Glickman
0,Krysia Davis
0,Kyra Wortley
0,Sonya Morris
0,Wiona  Tan
0,Claudia Vasquez
0,Colin Pfister
0,Dharma Khalsa
0,Eric Zhu
1,Jessica Spaulding
3,Casey Brandon
9,Asuka Li
9,John Mattes
12,Leo Kitchell
14,Knox Borges
15,Benjamin Ostman
25,Spencer Land
57,Sola Truong
b,r,e,a,k
'Shine,4
teamInfo,,"Nashville, Tennessee",https://www.nashvilleultimate.com/nashville-shine-mixed,https://www.facebook.com/nashvilleshineultimate,https://twitter.com/nashvilleshine
0,Adam Carr
0,Avi Ghitterman
0,Elena Rubino
0,Katharine Gilbert
0,Kelsea LeBeau
0,Margaret Quinn
0,Mia Letterie
0,Nadine Rowen
0,Rachel Kramer
0,Rebecca Henley
0,Tori Taylor
0,Grace Castro
0,Leah Shorb
9,JohnThomas Atema
12,Nicholas Farren
12,Nicolas Lanas
12,Phillip Dougherty
17,Rachel Barr
17,Eli Motycka
18,Jacob Flowers
21,Christopher Calhoun
22,Paul Lally
44,Levi Branan
78,Grace Robinson
95,Trip Adams
98,Matt Ractliffe
b,r,e,a,k
AMP,6
teamInfo,,"Philadelphia, Pennsylvania",http://www.phillyamp.com,https://www.facebook.com/PhillyAMP,https://www.twitter.com/phillyamp
coaches,David Baer
0,Chris Zaleski
01,Robert Roos
02,Ryan Cornelius
03,Rachel Alfano
05,Lindsay McKenna
06,Thomas Nye
09,Erica Collin
10,Neena Kashyap
11,Leo Warren
13,Colin Jarvis
15,Marta Lynch
18,Emily Shields
21,Linda Morse
23,Allan Michel
24,Danielle Walsh
25,Sabrina Bonaci
27,Luke Greenley
33,Will Zamsky
34,Olivia Steinberg
45,Zoe Costanza
66,Nolan McCloskey
70,Jake Butrica
73,Chelsea Semper
73,Katie Stack
91,Ethan Sarles
99,Eric Nardelli
b,r,e,a,k
Polar Bears,11
teamInfo,,"San Francisco Bay Area, California",http://www.pbrawr.com,https://www.facebook.com/pbrawr/,https://twitter.com/pbrawr
coaches,Steve Sullivan
2,Ryan Hoffman
01,Matthew Crawford
02,Molly Munson
04,Gabriel Edwards
06,Courtney Greenley
07,Brooke Nishida
08,Emma Ressler
09,Amanda Giles
11,Carolyn Drewry
14,Carolynn Brooks
15,Marissa Lerner
17,Sawyer Thompson
22,Andrew Ouyang
23,Samantha Loop
24,Jesse Song
26,Eric Hytönen
32,Margo Donahue
36,Sara Nolan
47,Emmet Holton
61,Rosanna Vitiello
72,Devin Drewry
78,Juleon Robinson
88,Jack Dinsmore
90,Saul Wildavsky
92,Seamus Shogren
99,Markham Shofner
b,r,e,a,k
MOONDOG,13
teamInfo,,"Montana, Montana",,,https://twitter.com/MoondogUltimate
1,Caldwell Armstrong
2,Jake Ralston
3,Clarissa Orton
4,Abbey Hustis
5,Cooper Hubbard
6,Carolyn Lober
7,Artie Battaglin
8,Tyler Fritz
10,Davis Mossman
11,Kyla Crisp
12,Kari Shelkey
13,Jane Peabody
16,Hattie Ransom
20,Gracie Hietala
22,Jack Lokowich
24,Naomi Burkett
25,Andrew Shanafelt
26,Sam Hines
29,Zach Baumann
34,Tara Santi
37,Daniel Zakaria
42,Matt Jaffe
43,Ben Perkel
66,Chaz Harris
b,r,e,a,k
s,t,a,g,e,s
pools,Saturday Pool Play
pool,Pool A
Austin Disco Club,NOISE,15,10,"08/16/2025, 09:00",Pool A,Final
Rally,Chicago Parlay,14,10,"08/16/2025, 09:00",Pool A,Final
Austin Disco Club,Chicago Parlay,14,10,"08/16/2025, 10:50",Pool A,Final
Rally,NOISE,15,9,"08/16/2025, 10:50",Pool A,Final
Austin Disco Club,Rally,12,15,"08/16/2025, 12:40",Pool A,Final
NOISE,Chicago Parlay,11,10,"08/16/2025, 12:40",Pool A,Final
pool,Pool B
Toro,Seattle Mixtape,15,10,"08/16/2025, 10:50",Pool B,Final
Space Force,Revival,13,11,"08/16/2025, 10:50",Pool B,Final
Toro,Revival,14,7,"08/16/2025, 12:40",Pool B,Final
Space Force,Seattle Mixtape,13,9,"08/16/2025, 12:40",Pool B,Final
Toro,Space Force,8,10,"08/16/2025, 14:30",Pool B,Final
Seattle Mixtape,Revival,10,7,"08/16/2025, 14:30",Pool B,Final
pool,Pool C
Tower,Lights Out,14,10,"08/16/2025, 09:00",Pool C,Final
Mile High Trash,Townies,15,6,"08/16/2025, 09:00",Pool C,Final
Tower,Townies,11,9,"08/16/2025, 12:40",Pool C,Final
Mile High Trash,Lights Out,15,5,"08/16/2025, 12:40",Pool C,Final
Tower,Mile High Trash,11,10,"08/16/2025, 14:30",Pool C,Final
Lights Out,Townies,7,13,"08/16/2025, 14:30",Pool C,Final
pool,Pool D
'Shine,Polar Bears,15,8,"08/16/2025, 09:00",Pool D,Final
AMP,MOONDOG,14,6,"08/16/2025, 09:00",Pool D,Final
'Shine,MOONDOG,12,10,"08/16/2025, 10:50",Pool D,Final
AMP,Polar Bears,15,10,"08/16/2025, 10:50",Pool D,Final
'Shine,AMP,10,7,"08/16/2025, 14:30",Pool D,Final
Polar Bears,MOONDOG,12,11,"08/16/2025, 14:30",Pool D,Final
b,r,e,a,k
brackets,2025 Elite Select Challenge Championship
bracket,Championship
Toro,Austin Disco Club,8,5,"08/17/2025, 11:40",Final,Scheduled
Toro,Mile High Trash,15,7,"08/17/2025, 09:50",Semifinals,Final
AMP,Austin Disco Club,10,15,"08/17/2025, 09:50",Semifinals,Final
Rally,Toro,11,12,"08/17/2025, 08:00",Quarterfinals,Final
Mile High Trash,'Shine,15,12,"08/17/2025, 08:00",Quarterfinals,Final
Tower,AMP,7,13,"08/17/2025, 08:00",Quarterfinals,Final
Austin Disco Club,Space Force,15,9,"08/17/2025, 08:00",Quarterfinals,Final
b,r,e,a,k
brackets,Placement Brackets
bracket,Third Place
Mile High Trash,AMP,5,4,"08/17/2025, 11:40",Third Place,Scheduled
bracket,Fifth Place Bracket
Rally,Space Force,0,0,"08/17/2025, 13:30",Fifth Place,Scheduled
Rally,'Shine,13,12,"08/17/2025, 09:50",Fifth Place Semifinals,Final
Tower,Space Force,12,15,"08/17/2025, 09:50",Fifth Place Semifinals,Final
bracket,Seventh Place
'Shine,Tower,0,0,"08/17/2025, 13:30",Seventh Place,Scheduled
bracket,Ninth Place Bracket
Seattle Mixtape,Townies,4,7,"08/17/2025, 11:40",Ninth Place Semifinals,In Progress
Polar Bears,NOISE,7,4,"08/17/2025, 11:40",Ninth Place Semifinals,In Progress
Seattle Mixtape,Chicago Parlay,14,9,"08/17/2025, 08:00",Ninth Place Quarterfinals,Final
MOONDOG,Townies,11,13,"08/17/2025, 08:00",Ninth Place Quarterfinals,Final
Polar Bears,Lights Out,14,11,"08/17/2025, 08:00",Ninth Place Quarterfinals,Final
Revival,NOISE,9,14,"08/17/2025, 08:00",Ninth Place Quarterfinals,Final
bracket,Eleventh Place
bracket,Thirteenth Place Bracket
MOONDOG,Revival,2,2,"08/17/2025, 13:30",Thirteenth Place,In Progress
Chicago Parlay,MOONDOG,9,12,"08/17/2025, 09:50",Thirteenth Place Semifinal,Final
Lights Out,Revival,6,15,"08/17/2025, 09:50",Thirteenth Place Semifinal,Final
bracket,Fifteenth Place
Chicago Parlay,Lights Out,0,1,"08/17/2025, 13:30",Fifteenth Place,In Progress
b,r,e,a,k
