Jersey Devil 2025,College - Men ,22,3,2025
Princeton,NJ,2025-03-22,2025-03-23
https://play.usaultimate.org/events/Jersey-Devil-2025/schedule/Men/CollegeMen/
Northeastern (C),7
34,Peter Texter
39,Jack Tobin
42,Sean Reiner
45,Patrick Gill
47,Ryan Kryscnski
75,Ryan Apple
79,Stephen Collins
99,Benjamin Berlin
b,r,e,a,k
New Jersey Tech,3
teamInfo,Highlanders,"Newark, New Jersey",,,
0,Keith Anderson
4,Curtis Asral
7,Mina Akhnoukh
7,Nate Giordano
31,Matthew Hoffman
82,Nathanael Achenbach
88,Dylan Rajasingham 
b,r,e,a,k
Dartmouth (B),4
teamInfo,Discomfort Trolley,"Hanover, New Hampshire",,@DartyDiscoTroll,@Disco_Troll
0,Aadi Kaul
0,Erik Bok
1,Owen Gallagher
3,Brady McGawn
6,Sayan Bhattacharya
7,Atul Venkatesh
00,Victory Kumbula
04,Keller Bailey
19,Rory McDowell
22,Ryan Hill
27,Nathan Hill
b,r,e,a,k
West Chester (B),6
teamInfo,B,"West Chester, Pennsylvania",,,
0,Aidan Duffy
0,Griffin Wentzel
8,Eli Moore
9,Charlie Carlton
17,CJ Puia
20,Aidan Walsh
23,Luke Messina
25,Lucas Kluender
26,Erich Daringer
28,Kade Markussen
31,Joseph Montanaro
34,Charles DeWane
44,Cody Rosier
47,Kevin Pribadi
49,Tate Shortlidge
52,Chase Zemitis
62,Ben Hirshey 
81,Michael Colodonato
82,Benjamin Klosowsky
88,Michael Garcia
91,Thomas Burke
93,Drew Morrow
b,r,e,a,k
s,t,a,g,e,s
pools,Pool
pool,Pool A
Lehigh (B),West Chester (B),10,9,"03/22/2025, 09:00",Pool A,Final
Villanova,Northeastern (C),9,8,"03/22/2025, 09:00",Pool A,Final
New Jersey Tech,Dartmouth (B),13,8,"03/22/2025, 09:00",Pool A,Final
Villanova,Dartmouth (B),13,6,"03/22/2025, 10:30",Pool A,Final
Penn State (B),West Chester (B),W,L,"03/22/2025, 10:30",Pool A,Final
New Jersey Tech,Northeastern (C),7,10,"03/22/2025, 10:30",Pool A,Final
Villanova,Penn State (B),6,9,"03/22/2025, 12:00",Pool A,Final
Lehigh (B),Northeastern (C),4,8,"03/22/2025, 12:00",Pool A,Final
New Jersey Tech,West Chester (B),L,W,"03/22/2025, 12:00",Pool A,Final
Villanova,Lehigh (B),6,7,"03/22/2025, 13:30",Pool A,Final
Dartmouth (B),West Chester (B),8,2,"03/22/2025, 13:30",Pool A,Final
Penn State (B),Northeastern (C),9,8,"03/22/2025, 13:30",Pool A,Final
Penn State (B),New Jersey Tech,W,F,"03/22/2025, 15:00",Pool A,Final
Dartmouth (B),Lehigh (B),3,13,"03/22/2025, 15:00",Pool A,Final
West Chester (B),Northeastern (C),8,10,"03/22/2025, 15:00",Pool A,Final
Villanova,New Jersey Tech,0,0,"03/23/2025, 09:00",Pool A,Scheduled
Penn State (B),Lehigh (B),0,0,"03/23/2025, 09:00",Pool A,Scheduled
Dartmouth (B),Northeastern (C),3,8,"03/23/2025, 09:00",Pool A,Final
Villanova,West Chester (B),0,0,"03/23/2025, 10:30",Pool A,Scheduled
Penn State (B),Dartmouth (B),0,0,"03/23/2025, 10:30",Pool A,Scheduled
New Jersey Tech,Lehigh (B),0,0,"03/23/2025, 10:30",Pool A,Scheduled
b,r,e,a,k
brackets,Bracket
bracket,Championship
bracket,3rd
bracket,5th
b,r,e,a,k
