2025 Capital Men's Sectional Championship,Club - Men ,6,9,2025
Fredericksburg,VA,2025-09-06,2025-09-07
http://play.usaultimate.org/events/2025-Capital-Mens-Sectional-Championship/schedule/Men/Club-Men/
Vault,1
10,Travis Terrell
11,Mike Vignali
13,Nicholas Albright
16,Christopher Selwood
21,Rhys Bergeron
24,Matt Thomas
25,Ben Kuster
27,Raymond Tann
31,Kobe Oley
32,Andrew London
34,Casey Hepburn
52,Kamron Daftari
55,Hunter Lang
66,Joseph Evans
69,Couper Kerns
89,Sean Phippen
90,Charles Baird
99,Alex Pistolesi
b,r,e,a,k
L.U.T $ack,8
teamInfo,,"Lynchburg, Virginia",,,
0,Brandon Lison
0,Caleb Stow
0,Caleb Weldy
0,Andrew Brechner
0,Jackson Klingenberg
0,Jacob Byron
0,Jake Norman
0,Keegan McMenamin
0,Kevin Habermas
0,Samuel Stow
0,Stephen Sharp
1,Rupert Armentrout
2,Ethan Allison
3,Joshua Duke
8,Shawn Messick
14,Micah Maxwell
17,Jack Whitehead
21,Daniel Mills
34,Benjamin Barnett
34,Phillip Martin
58,Ian Rankin
b,r,e,a,k
Beef Depot,9
teamInfo,,"Washington, District of Columbia",https://forms.gle/tRpswR1Fi6ewLu1x8,,
2,Bradley Choy
3,Zach Jaromin
4,Jackson Meakins
6,Nolan Smith
7,Nathan Lapin
8,Dakota Green
9,Alexander Nordahl
11,Ben Hutchinson
13,John Wang
14,Jack Schmader
17,Jonah Sparling
19,Trevor Day
22,Evan Lindeman
23,Liam Black
26,Bryn Coldwell
32,Jorge Chavez
39,Samuel Fritz
42,Isaac Degenholtz
46,Noah Haefner
55,Ryan Godfrey
62,Ryan Kelly
81,David Paul
b,r,e,a,k
Jolly Roger,15
teamInfo,,"Newport News, Virginia",,,
0,Ari Siegel
0,Brian Pajarillo
0,Callahan Morris
0,Clyde Gray
0,Evan Neufeld
0,Joshua Pribe
0,Logan Pena-Bandalo
0,Stephen Kimmel
10,Stephen Harding
11,Mathew Martins
21,Alan Nguyen
42,Abhishek Komandur
49,Quinn Foley
95,Jake Carosi Primes
b,r,e,a,k
Town Hall Stars,3
teamInfo,,"College Park, Maryland",,,
0,Adel Al-Awadhi
0,Ethan Lay
0,Jack Hermann
0,Jeremy Allen
0,Joseph Burton
0,Koushik Thiyagarajan
0,Kyle Williamson
0,Max Cassell
0,Ryan Low
0,Theodore Kerr
4,Benjamin Andersen-Taylor
6,Jonathan Gong
7,Alexander Kerr
8,Joel Maiman
12,Jacob Schwartz
14,Blake Pahlavan
16,Thomas Maloney
17,Aaron Knishkowy
21,Kevin Jiang
22,Adam Reed
25,Aaron Lavitsky
28,Roger Zeng
28,Matthew Thornton
32,Austin Chau
44,Austin Paynter
99,John Walden
b,r,e,a,k
Crypt,5
teamInfo,,"Richmond, Virginia",https://linktr.ee/rvacrypt,https://www.instagram.com/rvacrypt/,https://twitter.com/rvacrypt
coaches,Andy Routzahn,Trent Tolley
01,Corey Vaccaro
09,Alexander Williamson
10,Mehmet Kutlug
12,Sam Bean
13,Caleb Riener
15,Thomas Edwards
17,Andrew Byers
18,Eric Harnisher
19,James Dangler
20,Dylan Hitt
21,Akram Abudheer
22,Matthew Taleghani
23,Ryan Reynolds
24,Trent Cooper
27,Jericho Payne
35,Clay Rosselot
41,Michael Chisholm
47,Alper Kutlug
56,Owen Donovan
57,Matias Pineiro
64,Kai Jensen
66,Nicholas Gigliotti
69,Joe Spaeth
77,Ben Doniger
81,Colin Doescher
95,Ryan Lowe
b,r,e,a,k
LA MAQUINA,12
teamInfo,,"Alexandria, Virginia",,,
0,Aaron  Magtoto
0,Andres Huenneke
0,Bilal Nizamani
0,Brett Marchant
0,Brooks Clifford
0,David Song
0,Ethan Harris
0,Everett Woo
0,Micah Craine
0,Michael Richards
0,Nikolai Seferian
0,Thomas Dillon
2,Michael Johnson
3,Archie Kranz
3,Mateo Schneider
3,Simon Mulrooney
9,George Liacouras
19,Piyush Komali
22,Patrick Vorathiankul
25,Ezra Tinsky
33,Kennon Arnold
34,Austin Do
39,Joshua Chilmaid
52,Maddox Kromash
83,Walt Johnson
b,r,e,a,k
Fort Reno Flatball Club,14
teamInfo,,"Washington, District of Columbia",,,
coaches,David Ohls
0,Finn Farrell
0,Gavin Fletcher
0,James (Jet) Turner
0,Lev Dienstfrey
0,Max Greene
0,Mitchell Lillie 
0,Niko Epstein
0,Daniel Kaye
0,David Ohls
0,Tai Eubanks
0,Tyler Johnson
0,Vincent Chen
0,William Jones
0,Zayn Mufti
2,Benson Ezeh
7,Samuel Torrecilla
9,Felix Ko
17,William Brady
39,Benjamin Holland
99,Vikram Deepak
b,r,e,a,k
John Doe,4
teamInfo,,"Washington, District of Columbia",,https://www.facebook.com/johndoeultimate,@JohnDoeUlti
0,Connor McCartney
03,Elijah Scherz
04,Jonah Golder
07,Ryan Kelly
08,Gunnar Biebighauser
09,William Caspino
10,Justin Fang
11,Erik Anaya
14,Devin Holland
15,Dylan Deshler
16,Christopher King
16,Evan McLean
17,Cooper Glavin
18,Evan Moss
20,Nicholas Roller
21,Ethan Moore
21,Patrick O'Brien
22,Chad Rahtz
24,Jonathan Phillips
34,Patrick  Walsh
40,Phillip Bader
42,Daniel Slesinski
51,Thomas Schmitt
80,Niko Paulson
88,Thomas Richards
99,Guy Cardwell
b,r,e,a,k
Bryce Whitney Fan Club,11
teamInfo,,"Williamsburg, Virginia",,,
0,Anders Carlson
0,Andrew Zichelli
0,Atticus Nafziger
0,Braxton Breed
0,Christopher Kornblum
0,Colin McKelvey
0,Gabriel Lloyd
0,Hayden Oyos
0,Marcelo Ruggiero
0,Samuel MacDonald
0,Tynan Englert
8,Nathan Wong
9,Brent Pham
10,Daylan Sears
24,Luke Rosentel
25,Benjamin O'Neill
63,Matt Nelson
87,William Basham
b,r,e,a,k
Winc City Fog,6
teamInfo,,"Winchester, Virginia",,,@TheRealWincCity
0,John Maxwell
0,Nathaniel Belk
0,Quinn Redick
0,Robert Hanna
0,Shawn Miller
0,Ty Buermeyer
0,Westerberg Bowers
0,William Anderson
0,Zachary Harrington
0,Kyle Derr
0,Kyle Twadelle
1,Benjamin Scott
3,Ryan Upton
4,Brendan Jarrell
6,Josh Bollinger
6,Joshua Alger
9,Daniel Hillgren
13,Joshua Carter
26,Hamilton  Wasnick
33,Christopher Patschak
43,Jacob Ham
43,Michael Servidio
77,Goutham Kommanaboyina
80,Conner Gillette
84,Dylan Wallace
b,r,e,a,k
Beef Depot (Development),13
teamInfo,Development,"Washington, District of Columbia",,,
0,Adam Pomeranz
0,Alonzo Mendoza
0,Brendan Chen
0,Daniel Revay
0,Elias Humes
0,Ferris Zhang
0,Griffin Campion
0,Henry Haley Goldman
0,Lorenzo Carter
0,Matthew Jazrawi
0,Nick Peeples
0,Vincent Hammer
27,Seth Williams
28,Larkin Steenstra
66,Shivansh Shah
70,Patrick Foreman
81,Rohin Balkundi
88,Oscar Meza-Escalante
b,r,e,a,k
s,t,a,g,e,s
pools,Pool Play
pool,Pool A
Vault,HB Woodlawn Flatball Club,15,1,"09/06/2025, 10:45",Pool A,Final
Puzzles,Yacht Club,13,14,"09/06/2025, 10:45",Pool A,Final
Vault,Yacht Club,15,5,"09/06/2025, 12:30",Pool A,Final
Puzzles,HB Woodlawn Flatball Club,15,11,"09/06/2025, 12:30",Pool A,Final
pool,Pool B
Oak Grove Boys,Jolly Roger,15,0,"09/06/2025, 10:45",Pool B,Final
L.U.T $ack,Beef Depot,12,10,"09/06/2025, 10:45",Pool B,Final
Oak Grove Boys,L.U.T $ack,15,2,"09/06/2025, 12:30",Pool B,Final
Beef Depot,Jolly Roger,12,8,"09/06/2025, 12:30",Pool B,Final
pool,Pool C
Town Hall Stars,Fort Reno Flatball Club,15,6,"09/06/2025, 10:45",Pool C,Final
Crypt,LA MAQUINA,14,10,"09/06/2025, 10:45",Pool C,Final
Town Hall Stars,Crypt,14,10,"09/06/2025, 12:30",Pool C,Final
LA MAQUINA,Fort Reno Flatball Club,12,11,"09/06/2025, 12:30",Pool C,Final
pool,Pool D
John Doe,Beef Depot (Development),15,6,"09/06/2025, 10:45",Pool D,Final
Winc City Fog,Bryce Whitney Fan Club,11,13,"09/06/2025, 10:45",Pool D,Final
John Doe,Bryce Whitney Fan Club,15,4,"09/06/2025, 12:30",Pool D,Final
Winc City Fog,Beef Depot (Development),15,7,"09/06/2025, 12:30",Pool D,Final
b,r,e,a,k
brackets,Bracket Play
bracket,1st Place 
Vault,Oak Grove Boys,0,0,"09/07/2025, 10:45",1st Place Finals,Scheduled
Vault,Crypt,15,5,"09/06/2025, 16:00",1st Place Semis,Final
Town Hall Stars,Oak Grove Boys,9,14,"09/06/2025, 16:00",1st Place Semis,Final
Vault,L.U.T $ack,15,7,"09/06/2025, 14:15",1st Place Quarters,Final
John Doe,Crypt,11,13,"09/06/2025, 14:15",1st Place Quarters,Final
Town Hall Stars,Bryce Whitney Fan Club,14,8,"09/06/2025, 14:15",1st Place Quarters,Final
Oak Grove Boys,Yacht Club,15,3,"09/06/2025, 14:15",1st Place Quarters,Final
bracket,2nd Place
John Doe,Crypt,0,0,"09/07/2025, 10:45",2nd Place Semis,Scheduled
Town Hall Stars,John Doe,9,15,"09/07/2025, 09:00",2nd Place Quarters,Final
Yacht Club,Crypt,1,15,"09/07/2025, 09:00",2nd Place Quarters,Final
L.U.T $ack,John Doe,3,15,"09/06/2025, 16:00",2nd Place PQ,Final
Bryce Whitney Fan Club,Yacht Club,12,13,"09/06/2025, 16:00",2nd Place PQ,Final
bracket,4th Place
Town Hall Stars,Yacht Club,0,0,"09/07/2025, 10:45",4th Place Semis,Scheduled
bracket,6th Place
L.U.T $ack,Beef Depot,0,0,"09/07/2025, 10:45",6th Place Semis,Scheduled
L.U.T $ack,Puzzles,15,8,"09/07/2025, 09:00",6th Place Quarters,Final
Beef Depot,Bryce Whitney Fan Club,1,0,"09/07/2025, 09:00",6th Place Quarters,Final
Puzzles,Winc City Fog,13,11,"09/06/2025, 16:00",6th Place PQ,Final
LA MAQUINA,Beef Depot,12,15,"09/06/2025, 16:00",6th Place PQ,Final
Puzzles,Jolly Roger,13,8,"09/06/2025, 14:15",6th Place R1,Final
Winc City Fog,Fort Reno Flatball Club,14,11,"09/06/2025, 14:15",6th Place R1,Final
LA MAQUINA,Beef Depot (Development),15,11,"09/06/2025, 14:15",6th Place R1,Final
Beef Depot,HB Woodlawn Flatball Club,13,12,"09/06/2025, 14:15",6th Place R1,Final
bracket,8th Place
bracket,10th Place
Winc City Fog,LA MAQUINA,0,0,"09/07/2025, 09:00",10th Place Finals,Cancelled
bracket,13th Place
Fort Reno Flatball Club,Beef Depot (Development),15,5,"09/07/2025, 09:00",13th Place Finals,Final
Jolly Roger,Fort Reno Flatball Club,3,15,"09/06/2025, 16:00",13th Place Semis,Final
Beef Depot (Development),HB Woodlawn Flatball Club,11,10,"09/06/2025, 16:00",13th Place Semis,Final
bracket,15th Place
Jolly Roger,HB Woodlawn Flatball Club,1,0,"09/07/2025, 09:00",15th Place Finals,Final
b,r,e,a,k
