2025 Capital Mixed Sectional Championship,Club - Mixed ,6,9,2025
Fredericksburg,VA,2025-09-06,2025-09-07
http://play.usaultimate.org/events/2025-Capital-Mixed-Sectional-Championship/schedule/Mixed/Club-Mixed
Revival,1
0,Evan Brown
0,Filipe Limao
0,Hana Kinnard
0,Ian Kilpatrick
0,Khai Matsudaira
0,Lucas Young
0,Penny Nussbaum
0,Sarah Minicozzi
0,Sarah Reich
0,Sean Stephens
0,Simon Hahs-Tenny
0,Thomas Thernstrom
0,Zachary Parente
0,Clara Doyle
0,Dahlia  Anderson 
8,Caden Mitchell
22,Eddy Drake
38,Georgia Murphy
b,r,e,a,k
Grounded,14
teamInfo,,"Arlington, Virginia",,,
0,Brian Hatchl
0,Carl Schifferle
0,Carly Hatchl
0,Charles Summers
0,Christopher Weathers
0,Dan Bjorkman
0,Isaac Weathers
0,Jennifer Evans
0,Jenny Miller
0,Anne Trieu
0,Katherine Butler
0,Kayla Schifferle
0,Leah Butler
0,Lisa Helvin
0,Lucy Miller
0,Phong  Trieu
0,Quinn Trieu
0,Sidney Wang
0,Steve Helvin
0,Tom Wang
10,Brian Butler
11,Laura Harrington
12,Lukas Bjorkman
22,Karen Masterson
42,Ellen Greytak
77,Anthony Drake
b,r,e,a,k
Spice,3
teamInfo,,"Charlottesville, Virginia",,,https://twitter.com/SpiceUltimateVA
0,Anarae howe-flint
0,Andrew Kennedy
0,Brian Walter
0,Chloe Schueman
0,Christopher Messmore
0,Elisabeth Doty
0,Emma Colavincenzo
0,Jaxon Boudreau
0,LeeAnn Dempsey
0,Lynn Mandeltort
0,Malia Gardner
0,Matthew Callen
0,Olivia Bearman
0,Parham Ghassemi
0,Phillip Johnson
0,Ray Varner
0,Josh Rosenberg
0,Ryann Boudreau
0,Sabrina Combs
0,Tristan Shafer
3,Franklin Ahrens
5,Rita Feder
7,Joseph Terrana
25,Katelyn Birchfield
40,Dyon Vega
47,Rhiannon Begley
b,r,e,a,k
Cville-ians,13
teamInfo,,"Charlottesville, Virginia",,,
0,Joseph Dokken
0,Katelyn Souza
0,Keegan Bohnenberger
0,Keisha Enriquez
0,Kelsey Bernal
0,Madeline Crowe
0,Megan Kennedy
0,Sammy Calhoun
0,Sloane Solley
0,Ava Foulk
0,Ben Curulla
0,Benjamin Tnaib
0,Francesco  Caruccio
0,Gregory Cho
0,Akiva Dienstfrey
8,Sydney Mannion
9,Atti Rattelman
25,Waddill Platt
27,Irene Chen
b,r,e,a,k
Fireball,6
teamInfo,,"Washington, District of Columbia",,,
0,Adam Hoehn
0,Aden Richards
0,Amy Bahr
0,Britney Lane
0,Caden Markle
0,Calvin Oung
0,Carolyn Ng
0,Christina Chang
0,Corrie Willson
0,Dana Egan
0,Daniela Reeve
0,Kelly Wallace
0,Mark Kresowik
0,Nicole Kresowik
0,Jacqueline Feil
0,Wei Lu
0,William Perry
1,Delrico Johnson
8,Jonathan McRae
9,Bradley Scott
13,Chris Muller
17,Stephen Ng
21,Andrew Allen
22,Robert Luhrs
38,Ariel Vogel
92,Alexandra Erwin
b,r,e,a,k
District Cocktails,9
teamInfo,,"Washington, District of Columbia",,https://www.facebook.com/CocktailsUltimate,https://twitter.com/DCCocktailsUlti
0,Ann Postolowski
0,Brianna Rider-Leiner
0,Bryce Wiedenbeck
0,Caleb Yu
0,Camila Cabanne
0,Colby Agar
0,Daley Burns
0,David Seo
0,Dru Dunn
0,Erik Larmore
0,Galen Reifsnider
0,Isaac Kinton
0,Jennifer Pridemore
0,John Giannini
0,Kane Gormley
0,Katherine Murray
0,Kelsey Schoeman
0,Luke Willis
0,Lycia Tran
0,Megan Humes Haber
0,Melissa Bierschenk
0,Tracy Kuper
19,Kate Chesnutt
25,Thomas Frazier
27,Steven Whelan
28,Alec Marks
b,r,e,a,k
Roanoke Rizzlers,18
teamInfo,,"Roanoke, Virginia",,,
0,Caeli Mardo
0,Faith Ramsey
0,Hector Montemayor
0,Wayne Swanson
01,Michael Smiley Glowczynski
02,Helen Burch
05,Jacob Dillard
06,Edward Kasper
07,Demetrius Irving
10,Eva Oleksy
11,Nick Robinson
15,Sarah Cohoon
17,Shaun McLaughlin
21,Ben Campbell
23,Amanda Reynolds
27,Sabrina Borneff
33,Rose Newell
34,Matthew Drescher
52,Em Poertner
55,Jacob McClain
71,Melanie Hempel
77,Matthew Sutherland
b,r,e,a,k
HVAC,2
teamInfo,,"Washington DC, District of Columbia",,https://www.facebook.com/hvacultimate,https://twitter.com/hvacultimate
0,Ayla Volante
0,Ben Frattini
0,Ellie Ngo
0,Erica Yee
0,Josh Levin
0,Karen Shim
0,Krista Woodward
0,Helen Turvene
0,Levi Crossan
0,Patrick Kenney
0,Rosemary Ventura
0,Malcom Fox
0,Maya Collins
0,William Strang
1,Christian Daniel
10,Lydia Schaar
11,Emily Andre
17,Landrum Beard 
18,Has Bhatti
20,Sean Mizoguchi
23,Jonathan Tiernan
27,Tyler Coleman
27,Wallis Grant
27,Nora Wagner
28,Kyle Duffy
29,David Leibert
b,r,e,a,k
Washington MyXtics,16
teamInfo,,"Rockville, Maryland",,,
0,Andrew Ryan
0,Cat Ramsey
0,Cecelia Templeton
0,Aliza Krasnopoler
0,Eric Yoon
0,Garrett Carswell
0,Jonathan  Beaubrun
0,Josias Beaubrun
0,LT Tucker
0,Rachel White
0,Rachel Katz
10,Phat Nguyen
13,Echo Presgraves
24,Simeon Lee
25,Ana Scoular
31,Christopher Cahoon
77,Christopher Scoular
89,Milan Ravenell
b,r,e,a,k
Legion,7
teamInfo,,"Lynchburg, Virginia",,https://www.facebook.com/VALegionUltimate/,
0,Kali Grayson
0,Walter Lee Lewis
03,Ashley Mast
04,Rachel Grant
07,Isaiah Bradner
08,Luke Overlie
11,Andrew Peters
12,Jonathan Mast
13,McKenzie Ross
14,Andrew Lewis
18,Krista Habermas
21,Harrison  Ohmsieder
22,Sarah Handel
23,Asha Gillette
25,Elizabeth Ware
29,Joshua Anderson
30,Mikayla Johnson
34,Katherine Clark
47,Billy Harmon
77,Matthew Glasgow
82,Hannah VerasAlba
95,Marina Abila
b,r,e,a,k
DISCoordination,12
teamInfo,,"Washington, District of Columbia",,,
0,Andrew Huddleston
0,Brandon Fleming
0,Claudia Flamm
0,Hannah Larkin
0,Jarod Kuether
0,Julian Delamaza
0,Kathleen Loscalzo
0,Katie Claggett
0,Noah Smith
0,Sarah Pride
0,Tess McGrew
0,Thomas Brown
1,Katelyn Miller
2,Jason Berchuck
5,Anna Malionek
11,Annie Thompson
16,Hope Lundberg
18,David Joubran
19,Mary Hermann
21,Adolfo Rojas
27,Tristan Stevens
84,Tram Nguyen
88,Zane Pennella
b,r,e,a,k
Jumbo Slice,4
teamInfo,,"Washington, District of Columbia",https://t.co/YsrsJQD7yb,,https://twitter.com/jumbosliceulti
coaches,Joe (Peanut) Dweck
0,Isabella Burns
0,John McGrath
0,Araba Tawiah-otoo
0,Charlotte Lin
0,Raizl Campbell
1,Shawna Zielstorff
5,Grant Kunkel
6,Luke Pascale
7,Joshua Simpson
9,Alice Emch
10,Conor Tidgewell
14,Joshua Bransford
15,Kylie Auble
18,Jade Salamey
21,Matt McGoogan
25,Grace Sisel
32,Sasha Frank-Stempel
33,Julianna Gohman
34,Lexi Robbins
42,Madalyn  Sica
45,Erin Kemp
63,Jon Pressimone
80,Alexander Daley
84,Daniel Friedman-Brown
87,Carl Johnson
94,Daniel Selwyn
b,r,e,a,k
Obelisk,8
teamInfo,,"Washington, District of Columbia",https://www.instagram.com/obeliskulti/?igsh=c2t3Nmw1ZmVlcHkz#,,
02,Caroline Hill
03,Tessa Waidelich
05,Josh Strauss
07,Ilana Herold
09,Evelyn Bizovi
11,Evelyn Adams
14,Daniel Arnold
16,Nathaniel Dickstein
17,Tyler Shaw
18,Drew Weiss
19,Jennifer Wu
20,Charles Boulton
21,Tamir Hill-Marshall
22,Sophie Millar
24,Lauren Paul
28,John Dresen
30,Galen Fitzkee
34,Diran Adalian
36,Allison Lupatkin
41,Isabelle Reilly
43,Timothy Wynia
45,James Morgan
65,Christopher Grenier
72,Andrew Rouse
79,Grace Dho
b,r,e,a,k
Brackish,11
teamInfo,,"Hampton, Virginia",,https://www.facebook.com/BrackishUlti/,@BrackishUlti
0,Margaret (Peggy) Whitney
0,Sam Brothers
0,Sara Mitchell
1,Griffin Must
2,Emily Ashcraft
3,Kent Grantz
07,Taylor Brooks
09,Ashley Hildreth
10,CK Esche
10,Ian Fletcher
11,Caleb Mathews
13,Delaney Ortiz
17,Morgan Living
20,Thomas Funka
25,Tatyana Pajarillo
25,Austin Kelleher
27,James White
31,Luke Sahli
42,Laura Beaudet
44,Sophia Pedroza
47,Christine Park
66,Cara Wu
72,Hannah Gilden
77,Thomas Hennen
80,William Hayes
96,Jonathan Estes
b,r,e,a,k
Virginia Vanguard,15
teamInfo,,"Falls church, Virginia",,,
0,Avery Abraham
0,Eric Miner
0,Pearl Mouzon
6,Nate Bergmann
03,Carter Anderson
05,Zane Mott
07,Anson Mouzon
08,Abigail Cockayne
10,Gael Hoben
11,Maple Cymrot
12,Avery Wright
15,Levi Morrow
16,Colleen Irwin
17,Matthew Hazlin
18,Eitan Miller
19,Abigail Glassman
22,Isaac Morrow
22,Jackson Snell
24,Thomas Pearson
25,Delaney Pfleghardt
68,Nicholas Young
89,Gretchen  Schmitt 
98,Sam Jaeckel
b,r,e,a,k
s,t,a,g,e,s
pools,Subsection A Pool Play
pool,Pool A
LORD,Grounded,13,7,"09/06/2025, 09:00",Pool A,Final
Revival,Ant Madness,13,7,"09/06/2025, 09:00",Pool A,Final
Revival,Grounded,13,3,"09/06/2025, 10:45",Pool A,Final
Ant Madness,Swing Vote,13,3,"09/06/2025, 10:45",Pool A,Final
Revival,LORD,13,6,"09/06/2025, 12:30",Pool A,Final
Grounded,Swing Vote,7,13,"09/06/2025, 12:30",Pool A,Final
Ant Madness,Grounded,13,3,"09/06/2025, 14:15",Pool A,Final
LORD,Swing Vote,13,6,"09/06/2025, 14:15",Pool A,Final
Revival,Swing Vote,13,3,"09/06/2025, 16:00",Pool A,Final
Ant Madness,LORD,13,12,"09/06/2025, 16:00",Pool A,Final
pool,Pool B
District Cocktails,Cville-ians,9,12,"09/06/2025, 09:00",Pool B,Final
Spice,Fireball,13,10,"09/06/2025, 09:00",Pool B,Final
Spice,Cville-ians,13,3,"09/06/2025, 10:45",Pool B,Final
Fireball,Roanoke Rizzlers,13,3,"09/06/2025, 10:45",Pool B,Final
Spice,District Cocktails,13,6,"09/06/2025, 12:30",Pool B,Final
Cville-ians,Roanoke Rizzlers,12,8,"09/06/2025, 12:30",Pool B,Final
Fireball,Cville-ians,13,7,"09/06/2025, 14:15",Pool B,Final
District Cocktails,Roanoke Rizzlers,13,3,"09/06/2025, 14:15",Pool B,Final
Spice,Roanoke Rizzlers,13,0,"09/06/2025, 16:00",Pool B,Final
Fireball,District Cocktails,10,11,"09/06/2025, 16:00",Pool B,Final
b,r,e,a,k
pools,Subsection B Pool Play
pool,Pool C
HVAC,DISCoordination,15,3,"09/06/2025, 10:45",Pool C,Final
Legion,Washington MyXtics,7,13,"09/06/2025, 10:45",Pool C,Final
HVAC,Washington MyXtics,12,10,"09/06/2025, 12:30",Pool C,Final
Legion,DISCoordination,13,7,"09/06/2025, 12:30",Pool C,Final
HVAC,Legion,14,5,"09/06/2025, 14:15",Pool C,Final
DISCoordination,Washington MyXtics,5,15,"09/06/2025, 14:15",Pool C,Final
pool,Pool D
Jumbo Slice,Brackish,15,5,"09/06/2025, 10:45",Pool D,Final
Obelisk,Virginia Vanguard,13,12,"09/06/2025, 10:45",Pool D,Final
Jumbo Slice,Virginia Vanguard,15,8,"09/06/2025, 12:30",Pool D,Final
Obelisk,Brackish,12,8,"09/06/2025, 12:30",Pool D,Final
Jumbo Slice,Obelisk,11,5,"09/06/2025, 14:15",Pool D,Final
Brackish,Virginia Vanguard,13,10,"09/06/2025, 14:15",Pool D,Final
b,r,e,a,k
brackets,Subsection A Bracket Play
bracket,1st Place 
Revival,Fireball,12,13,"09/07/2025, 09:00",1st Place Semis,Final
Spice,Ant Madness,0,0,"09/07/2025, 09:00",1st Place Semis,Scheduled
bracket,3rd Place
LORD,Cville-ians,0,0,"09/07/2025, 09:00",3rd Place Quarters,Scheduled
District Cocktails,Swing Vote,0,0,"09/07/2025, 09:00",3rd Place Quarters,Scheduled
bracket,5th Place
bracket,7th Place
bracket,9th Place
Grounded,Roanoke Rizzlers,0,0,"09/07/2025, 09:00",9th Place Finals,Scheduled
b,r,e,a,k
brackets,Subsection B Bracket Play
bracket,1st Place 
HVAC,Jumbo Slice,0,0,"09/07/2025, 10:45",1st Place Finals,Scheduled
HVAC,Obelisk,12,6,"09/06/2025, 16:00",1st Place Semis,Final
Jumbo Slice,Washington MyXtics,15,3,"09/06/2025, 16:00",1st Place Semis,Final
bracket,2nd Place
Obelisk,Brackish,0,0,"09/07/2025, 10:45",2nd Place Semis,Scheduled
Obelisk,Virginia Vanguard,15,6,"09/07/2025, 09:00",2nd Place Quarters,Final
Brackish,Washington MyXtics,11,10,"09/07/2025, 09:00",2nd Place Quarters,Final
Legion,Virginia Vanguard,9,12,"09/06/2025, 16:00",2nd Place PQ,Final
Brackish,DISCoordination,10,8,"09/06/2025, 16:00",2nd Place PQ,Final
bracket,5th Place
Virginia Vanguard,Washington MyXtics,0,0,"09/07/2025, 10:45",5th Place Finals,Scheduled
bracket,7th Place
Legion,DISCoordination,0,0,"09/07/2025, 09:00",7th Place Finals,Scheduled
b,r,e,a,k
brackets,Championship Crossover
bracket,Finals
b,r,e,a,k
