2025 Commonwealth Cup Weekend 2,College - Women ,22,2,2025
Axton/Martinsville,VA,2025-02-22,2025-02-23
https://play.usaultimate.org/events/2025-Commonwealth-Cup-Weekend-2/schedule/Women/CollegeWomen/
Vermont,1
21,Ilana Cooke
22,Zoe Kramer
24,Solomiya Plugator
25,Christina  Piparo
31,Lily Johnson
33,Katrina  Haws
42,Ryan Brennan
53,Emma Harbourne
58,Monet Kogure
69,Fiona Harris
78,Clara Watson
b,r,e,a,k
Pennsylvania,2
teamInfo,Venus,"Philadelphia, Pennsylvania",https://sites.google.com/view/venus-penn-ultimate/home?authuser=1,https://www.facebook.com/VenusUltimate,https://twitter.com/venusultimate
coaches,Ashika Mani
0,Anna Kasper
0,Lara Lancaster
0,Phoenix Hart
4,Sylvia Erdely
12,Sravya Dandamudi
14,Sukhmani Grover
18,Poppy Wagner
19,Grace Maroon
21,Laura Brodkey
24,Jianwei Li
25,Abigail Smith
32,Chaily Derecskey
33,McKenna Parker
34,Madeline Scott
45,Ava Barish
b,r,e,a,k
Virginia,7
teamInfo,Hydra,"Charlottesville, Virginia",https://sites.google.com/a/virginia.edu/womens-ultimate-frisbee-club-at-the-university-of-virginia/,https://www.facebook.com/HydraNFriends/,https://twitter.com/HydraNFriends
0,Ava Foulk
0,Ava Amato
0,Avery Leppo
0,Breanna  Donahue
0,Chloe Schueman
0,Elisabeth Doty
0,Ellie Ngo
0,Emily Huber
0,Ivy Watson
0,Katelyn Souza
0,Kelsey Bernal
0,Leila Troxell
0,Madeline Crowe
0,Megan Kennedy
0,Meredith Stilley
0,Rebecca Bang
0,Sloane Solley
0,Grace Yoo
0,Sydney Rohrbach
8,Sydney Mannion
9,Atti Rattelman
17,Gabriella  Everett
27,Irene Chen
33,Emma Cole
b,r,e,a,k
Notre Dame,3
teamInfo,Echo,"Notre Dame, Indiana",http://ndultimate.wordpress.com/,,https://twitter.com/ndultimate
0,Felicity Matthews
0,Isabella Weiner
0,Leah Kern
0,Liliana Hobday
0,Margaret  O’brien 
0,Mary Larson
0,Mary Menger
0,Catherine Heidenreich
0,Charlotte Tuohy
0,Courtney Croak
0,Elena Dansdill
0,Ella Burns
0,Ellie Oif
0,Monica Caponigro
0,Rory Barnawell
3,Emma Baran
4,Megan Klein
11,Cara Tinson
b,r,e,a,k
Brown,6
teamInfo,Shiver,"Providence, Rhode Island",,,
0,Bella Steedly
01,Emily Bao
05,Linnaea McGuinness
06,Marley Behin
07,Sunday Labrucherie
08,Julien Song
09,Alice Cannon
10,Devin Allard-Neptune
12,Olivia Cox
14,Phoebe Koehler
15,Olivia Rodriguez
18,Mia Oxer
20,Dana Richie
21,Sarah Thomas
22,Divya Narayanan
23,Ashley Xu
24,Natalie Thayer
25,Arianna Gerola
27,Ina Wolovitz
42,Anjali Shah
95,Aila Gutierrez
99,Kunzang Namgyal
b,r,e,a,k
Cornell,9
teamInfo,Wild Roses,"Ithaca, New York",,,
coaches,Sophia Hulbert,David Menard
0,Hayley Lorenz
0,Ireanne Cao
0,Laura Appleby
0,Lili Sprague
0,Liya  Mei
0,Maeve Seto
0,Mary  Connerton
0,Olivia  Dramer
0,Olivia Tarmina
0,Parker McLaughlin
0,Amanda Barnkow
0,Annabella Wardle
0,Claire Sleigh
0,Sarah Eagen
0,Sophia Reed
0,Viveka Plassmann
0,Yi (Jenna) Li
0,Elena Caplinger
3,Zoe Bishop
5,Ruby Li
13,Claudia Miner
15,Samantha Hass
16,Eve Lesburg
17,Celia Doherty
b,r,e,a,k
Duke,16
teamInfo,Swerve,"Durham, North Carolina",https://sites.duke.edu/wultimate/,https://www.facebook.com/DukeSwerve/,https://twitter.com/dukeswerve
coaches,Alan Hoyle,Lyra Olson
0,Carla Pollen
0,Charlotte Lin
0,Charlotte Nasiedlak
0,Elizabeth Werther
0,Ella Andonov
0,Hope Hanson
0,Isabella Panek
0,Janie Dubberke
0,Jingqing Liang
0,Katelyn Davis
0,Kaylee Matteis
0,Maria Lissovolik
0,Olivia Fu
0,Palpasha Karki
0,Piper Epstein
0,Rachel  Song
0,Siri Oehler
0,Sydney Neal
0,Tylie Friedland
0,Veronika Kostina
0,Wanyu Zhang
0,Amy Huang
0,Angelina Huang
6,Ashley Talwar
28,Maya Hunter
b,r,e,a,k
Chicago,17
teamInfo,Supernova,"Chicago, Illinois",,https://www.facebook.com/UChicagoUltimate/,https://twitter.com/uchi_supernova
0,Chimin Liu
0,Eliza  Kaplan
0,Emma Pavlicek
0,Eva Verner
0,Georgie Williams
0,Letitia Ho
0,Nina Lahet
0,Nora Levy
0,Sofia Brady
0,Urjita Kaishan
0,Wenxin Zou
0,Kacey Archer
15,Kriti Arunkundrum
94,Abigail Pavlicek
97,Gloria Adeola
b,r,e,a,k
Carnegie Mellon,24
teamInfo,Money Mellons,"Pittsburgh, Pennsylvania",https://www.andrew.cmu.edu/user/ultimate/mmellons/,,https://twitter.com/cmwultimate
coaches,Matthew Duffy
0,Angelina Yang
0,Angelita Marcelino
0,Dora Bowen-Glazeroff
0,Eliora Kwok
0,Emily Ma
0,Emma Bigler
0,Isabella Krisky
0,Maggie Chen
0,Mia Sanborn
0,Michelle Bank
0,Noemi Barbagli
0,Sanchitha Kuthethoor
0,Sarah Tillinger
0,Tzushan Chu
0,KJ Suggs
4,Kailey Rugani
09,Victoria Chen
13,Sam Leong
24,Ella Maxwell
35,Alyssa Yang
36,Lucy Gunther
88,Victoria Liu
b,r,e,a,k
Boston College,25
teamInfo,Boston College,"Chestnut Hill, Massachusetts",https://bcwomensultimate.com/,,@bcflixultimate
0,Abigail Kontely
0,Ainsley  Brady 
0,Anna Ricketts
0,Charlotte Kopelman
0,Claire  Nelson
0,Ella Kramer
0,Emma Schofield
0,Erin Doherty
0,Jadyn Mitchell
0,Madeleine Mulligan
0,Madeline Palmese
0,Margaret Patterson
0,Natalie Greiner
0,Rachael Grant
0,Susanna Ulrich
0,Sydney Prechtl
0,Sydney Dettmer
0,Victoria Griffith
69,Marilyn Perez
69,Kerry Perez
b,r,e,a,k
Ohio,15
teamInfo,Stacked Cats,"Athens, Ohio",https://sites.google.com/site/stackedou/home%20,,https://twitter.com/StackedOU
0,Ella Wise
00,Izzy Ferreira 
03,Nicole Powers
04,Rebecca Scholl
08,Rachel Grant
09,Ashleigh Harrison
12,Audrey Hale
13,Rosie Lipka
14,Aaliyah Edwards
17,Natalie Goewert
18,Anastasia Petroff
20,Lauren Eggleston
21,Rachel Hasseltine
22,Lindsey Rodgers
23,Clare Haddon
24,Kristen Caudill
25,Lily Branch
26,Avery Chialastri
28,Madi Moen
30,Jennie Koomar
35,anna Jones
36,Trinna Davis
42,Alanna Cunningham 
55,Helen Roche
60,Alyse Stefancin
69,Cat Turney
97,Shelby McVety
b,r,e,a,k
Columbia,18
teamInfo,Chimera,"New York , New York",,,https://twitter.com/cultimatewomen
coaches,Amy Elizabeth Leder,Kaylee Viets
0,Eva Supanc
0,Hughlyn Wong
0,Isabelle Puhl
0,Kyra Ramesh Krishna
0,Lyudmila Pitts
0,Mandy Meliker
0,Martina Irurita
0,Alexandra Koletsos
0,Alice Kadner
0,Alicia Yang
0,Annabelle Wechsler
0,Annie Dong
0,Sam Mezrich
0,Sareena Parikh
0,Talia Sachs
0,Tianyi(kikas) Guan
0,Yifan Li
0,Zoe Theriault
9,Emma Lian
26,Nina Debry
32,Ziyue Gao
33,Carolina Bolivar
39,Naomi Miller
b,r,e,a,k
Central Florida,10
teamInfo,Sirens,"Orlando, Florida",https://www.instagram.com/sirens_ultimate/,https://www.facebook.com/UCFWultimate/,https://twitter.com/UCFWUltimate
coaches,Joseph Tilley
0,Jasmine Nava
3,Meridean Duarte
5,Chloe Dubreuil
6,Angie Jiang
7,Salem Freya
8,Sarah Thomas
14,Ainsley Dalton
18,Abigail Kohan
23,Maia Mikulcik
30,Audrey Belson
b,r,e,a,k
Maryland,23
teamInfo,Helpful Corn,"College Park, Maryland",https://sites.google.com/site/umdwomensultimate/,https://www.instagram.com/umdwultimate/,https://twitter.com/UMD_HelpfulCorn
coaches,Juliet Bishop,Daniel Hartsoe
5,Alys Shah
8,Maya Dubensky
9,Liliana Daugherty
10,Vanessa Fan
11,Isabella Wahl
13,Charlotte Krisetya
14,Zoe Barbour
18,Avery DeOcampo
19,Whitney Orloff
22,Ellen Rauck
23,Charlotte Milner
24,Jeanette Meek
26,Christina Lee
31,Sabine May
33,Eva Shudt
35,Ella Kesler
36,Druscilla Darkwa
66,Sarah Joffrion
77,Erin Nicolson
b,r,e,a,k
Georgetown,11
teamInfo,Huckin' Foyas,"Washington, District of Columbia",,,https://twitter.com/huckinfoyas
0,Alika Peker
0,Danielle DeRoseau
0,Elisa Highton
0,Elle Russell
0,Julia Maurer
0,Holly Margulius
0,Olivia Tomaselli
0,Sofia Barr
2,Julia Swanson
3,Maya Moffat
5,Erika Wisby
8,Meenakshi Alagusundaram
9,Maggie Fan
11,Juliette Warga
18,Jane Beeler
19,Kate Chesnutt
20,Bridget Wyman
21,Eleanor Heller
22,Madeline Metz
25,Anna Isselhardt
35,Sophie Westen
41,Isabelle Reilly
61,Sara  Kronenberg 
73,Eileen Weisner
b,r,e,a,k
Connecticut,14
teamInfo,UConn Women's Ultimate,"Storrs, Connecticut",,,
0,Andrea Lamontagne
0,Angelina Grimes
0,Anna Abou-Francis
0,Brooke Lambert
0,Carley Parente
0,Elizabeth Doyle
0,Elizabeth Garten
0,Emily Bennett
0,Grace Wanderling
0,Aisling Hinchey
0,Amanda Sagers
0,Isabella Lau
0,Isabella Rubin
0,Kayla Pollman
0,Lola McMahon
0,Maria Woll
0,Riley D'Alessio
3,Sabine Lucas
3,Jahne Carrenard
5,Allyson Kaider
7,Jenna Gall
13,Amelia Colombo
22,Melissa Tian
46,Hyunah Boo
b,r,e,a,k
West Chester,22
teamInfo,West Chester,"West Chester, Pennsylvania",https://dubcultimate.wixsite.com/wcuwomensultimate,https://www.facebook.com/westchesterultimate/,@WcuWomens
0,Alaina Dangelo
0,Amelia Sheehy
0,Ava Holloway
0,Emilia  Fiore
0,Emily Weaner
0,Emily Fox
0,Emma Hamilton
0,Francesca Alcaraz
0,Gabrielle Febbo
0,Haley Bennett
0,Jenna Fulmer
0,Jules Wiseley
0,Lucy Ruppel
0,Ramey Bonass
0,Regan Oaks
0,Samantha  Hall
0,Sarah O'Niell
11,Grace Tollinger
29,Diana Vu
b,r,e,a,k
Harvard,19
teamInfo,Quasar,"Cambridge, Massachusetts",https://sites.google.com/view/harvard-womens-ultimate-team/home?pli=1,,
0,Amy Zhou
04,Meagan Walker
07,Kate Griem
12,Han Nguyen
14,Eliza Knapp
29,Kelly Ding
30,Sophie Goodman
33,Kidron Martin
34,Aidia Steen
48,Angelina Wong
79,Jocelyn Hsieh
b,r,e,a,k
James Madison,12
teamInfo,Bitchmonkeys,"Harrisonburg, Virginia",http://jmuwomensultimate.wordpress.com/,,https://twitter.com/Bitchmonkeys
0,Emily Weddle
0,Emma Sims
0,Hannah Gilden
0,Helen Roeder
0,Isabel Kinney
0,Karime Juarez
0,Kiley Byers
0,Madison Hesson
0,Nailah Nurse
0,Natalie Collins
0,Nicole Mack
0,Ryann Fisher
0,Sarah Handel
0,Tori Lowe
0,Xanthe Bergel
0,Carly Varela
0,Caroline Bloom-Heathcote
0,Elizabeth Pumphrey
0,Ella Bruinooge
0,Ella Grasmeder
2,Emily Ashcraft
20,Elliott Haney
b,r,e,a,k
MIT,13
teamInfo,sMITe,"Cambridge, Massachusetts",http://scripts.mit.edu/~womens-ult/,https://www.facebook.com/ultismite,https://twitter.com/ultismite
0,Dianna Ochoa Lynch
0,Elinor Poole-Dayan
0,Haya Bolotski
0,McKenzie Coleman
0,Suhaila Cotton
0,Vivian Ye
0,Xinran Wang
3,Jillian Stark
4,Kavya Anbarasu
5,Elizabeth Tupaj
9,Lilli Hirth
14,Deepta Gupta
15,Kristin He
16,Brooke Rethman
18,Lili Wilson
22,Kelton Aldridge
23,Lillian Yeazell
24,Jenny Li
30,Joules Provenzano
40,Caitlin Lian
66,Veronika Pister
81,Leala Nakagawa
b,r,e,a,k
Purdue,21
teamInfo,Xpress,"West Lafayette, Indiana",http://purduewomensultimate.weebly.com/,https://www.facebook.com/xpressultimate/,https://twitter.com/PurdueWomensUlt
0,Megan Cereno 
01,Madison Tsui
02,Lilly Kleinschmidt
04,Paulina Marengo
05,Skylar Johnson
08,Katherine Chouinard
10,Malyka Ram
11,Hazel Stephens
14,Alicia Ader
15,Abby  Wiedeman
16,Elizabeth Nobbe
17,Natalie Suopys
19,Kaitlyn Mackenzie Lee
23,Mia Martinez
33,Ashlynn Smith
41,Gillian Hanley
42,Merryn Arms
49,Irina Zhilinskaya
66,Ell Chiang
b,r,e,a,k
Temple,20
teamInfo,TUF,"Philadelphia, Pennsylvania",,,
0,Diana Henne
0,Emma Corso
03,Julia Kraynak
05,Linda Liu
06,Brianna DeShaw
07,Ellis Measley
08,Jasmine Phou
12,Samantha Thomas
14,Maddie Grande
24,Layla  Monte
30,Jasmine Elmore
33,Abigail Sullivan
34,Nyerah Talley
46,Tashikaa  Senthilkumar 
76,Angelina Ngo
77,Hollie Wolfenden
b,r,e,a,k
s,t,a,g,e,s
pools,W PP
pool,Pool A
Vermont,Georgia Tech,14,5,"02/22/2025, 10:45",Pool A,Final
Ohio State,American,13,8,"02/22/2025, 10:45",Pool A,Final
Vermont,American,15,4,"02/22/2025, 12:30",Pool A,Final
Ohio State,Georgia Tech,9,10,"02/22/2025, 12:30",Pool A,Final
Vermont,Ohio State,0,0,"02/22/2025, 14:15",Pool A,Scheduled
Georgia Tech,American,0,0,"02/22/2025, 14:15",Pool A,Scheduled
pool,Pool B
Pennsylvania,Brown,10,7,"02/22/2025, 10:45",Pool B,Final
Notre Dame,Virginia,8,10,"02/22/2025, 10:45",Pool B,Final
Pennsylvania,Virginia,9,6,"02/22/2025, 12:30",Pool B,Final
Notre Dame,Brown,10,5,"02/22/2025, 12:30",Pool B,Final
Pennsylvania,Notre Dame,0,0,"02/22/2025, 14:15",Pool B,Scheduled
Brown,Virginia,0,0,"02/22/2025, 14:15",Pool B,Scheduled
pool,Pool C
Cornell,Boston College,13,2,"02/22/2025, 10:00",Pool C,Final
Chicago,Carnegie Mellon,13,5,"02/22/2025, 10:00",Pool C,Final
Cornell,Chicago,10,5,"02/22/2025, 11:30",Pool C,Final
Duke,Carnegie Mellon,9,4,"02/22/2025, 11:30",Pool C,Final
Carnegie Mellon,Boston College,11,7,"02/22/2025, 13:00",Pool C,Final
Duke,Chicago,6,3,"02/22/2025, 13:00",Pool C,Final
Cornell,Carnegie Mellon,0,0,"02/22/2025, 14:30",Pool C,Scheduled
Duke,Boston College,0,0,"02/22/2025, 14:30",Pool C,Scheduled
Cornell,Duke,0,0,"02/22/2025, 16:00",Pool C,Scheduled
Chicago,Boston College,0,0,"02/22/2025, 16:00",Pool C,Scheduled
pool,Pool D
Central Florida,Columbia,7,8,"02/22/2025, 09:00",Pool D,Final
Ohio,Maryland,10,4,"02/22/2025, 09:00",Pool D,Final
Central Florida,Maryland,9,8,"02/22/2025, 10:45",Pool D,Final
Ohio,Columbia,11,4,"02/22/2025, 10:45",Pool D,Final
Central Florida,Ohio,4,11,"02/22/2025, 12:30",Pool D,Final
Columbia,Maryland,7,6,"02/22/2025, 12:30",Pool D,Final
pool,Pool E
Georgetown,Harvard,15,5,"02/22/2025, 09:00",Pool E,Final
Connecticut,West Chester,10,7,"02/22/2025, 09:00",Pool E,Final
Georgetown,West Chester,14,6,"02/22/2025, 10:45",Pool E,Final
Connecticut,Harvard,15,3,"02/22/2025, 10:45",Pool E,Final
Georgetown,Connecticut,0,0,"02/22/2025, 14:15",Pool E,Scheduled
Harvard,West Chester,0,0,"02/22/2025, 14:15",Pool E,Scheduled
pool,Pool F
James Madison,Temple,8,6,"02/22/2025, 12:30",Pool F,Final
MIT,Purdue,9,8,"02/22/2025, 12:30",Pool F,Final
James Madison,Purdue,0,0,"02/22/2025, 14:15",Pool F,Scheduled
MIT,Temple,0,0,"02/22/2025, 14:15",Pool F,Scheduled
James Madison,MIT,0,0,"02/22/2025, 16:00",Pool F,Scheduled
Temple,Purdue,0,0,"02/22/2025, 16:00",Pool F,Scheduled
b,r,e,a,k
brackets,W BP
bracket,W CHAMPIONSHIP BRACKET
bracket,W 3RD PLACE GAME
bracket,W 5TH PLACE BRACKET
bracket,W 7TH PLACE GAME
bracket,W 9TH PLACE BRACKET
bracket,W 11TH PLACE GAME
bracket,W 13TH PLACE BRACKET
bracket,W T-17TH GAME #1
bracket,W T-17TH GAME #2
b,r,e,a,k
clusters,W CONSOLATION GAMES
b,r,e,a,k
