2025 USA Ultimate D-III College Championships,College - Women ,17,5,2025
Burlington,WA,2025-05-17,2025-05-19
https://play.usaultimate.org/events/2025-USA-Ultimate-D3-College-Championships/schedule/Women/CollegeWomen/
Wesleyan,1
22,Ruby Wallach
23,Ellie Jellema-Harter
25,Sophie  Rosenstein
30,Lillyan Robertson
31,Jillian Eldridge
35,Genesis Meadows
b,r,e,a,k
Haverford-Bryn Mawr,2
teamInfo,Sneetches,"Haverford, Pennsylvania",sneetchultimate.wixsite.com/sneetches,facebook.com/sneetchultimate/,twitter.com/sneetchultimate
coaches,Linda Morse,Liz Hart,Yara El-Khatib
02,Olivia Davis
05,Camille MacKenzie
08,Avery Hyde
10,Ella Evans
13,Eleanor Wheeler
15,Grace King
17,Alexandra Lederman
18,Madeleine Kruckemeyer
19,Audrey Hinsdale
21,Malin Thomas
22,Aimee Crozat
23,Sonia Nicholson
24,Celia Nicholson
26,Anja Kottmann
29,Rebecca Flax
30,Anya Regaignon
31,Phoebe Hulbert
32,Leo Merleaux
33,Clara Morton
42,Anna Roth
43,Lila Chanas
45,Zoe Costanza
47,Anna Bingham
55,Ava Purser
58,Ashe Tanemura
64,Erica Collin
66,Rufus Helmreich
67,Emma Doty
b,r,e,a,k
St Olaf,7
teamInfo,Vortex,"Northfield, Minnesota",http://vortexultimate.weebly.com/,https://www.facebook.com/VortexWomensUltimate/,https://twitter.com/STOWomensUlti
coaches,Elise Gallup,Sylvie Mercil,Josh Yira
03,Sophia Stender
04,Kayla Wengelewski
05,Antigone Van Slooten
07,Olive Loewer
09,Sadie Smith
10,Grace Milhaupt
11,Leina Goto
13,Sarah Heinecke
16,Eliana  Idzikowski 
18,Kaisa Olson
19,Julia Mockert
20,Mary Polydorou
22,Sarah Lester
23,Maggie Walsh
25,Linnea Erickson
27,Alexia Swiglo
32,Emma Jansen
37,Char Batchelor
53,Weihsin Chuan
87,Rachel Katzovitz
b,r,e,a,k
Lewis & Clark,11
teamInfo,Artemis,"Portland, Oregon",https://www.instagram.com/artemisultimate/,https://www.facebook.com/artemisUlti/,https://twitter.com/artemisultimate
00,Izzy Quattrucci
02,Allison  Ryan 
04,Maria Lee
05,Georgia Corson
08,Zoe Lang
11,Mette Peluce
12,Nahlah Mkaouri
13,Katelyn Osborne
15,Emily Larabee
17,Mira Larrance
18,Calista Aragon
19,Hazel Morton
20,Suzie Myles
22,Scarlett Deveno
23,Estelle Campana
27,Tova Benson
28,Lilah Shapiro
29,Amelie Steer
30,Rosa Rudolph
31,Madeline Fealy
33,Greta Wilbur
34,Janie Gehrenbeck-Miller
36,Erin Ries-Juncker
38,Anika Alschuler
42,Lily Cahill
51,Ellie Crema
63,Kaia O’Neill
77,Mikah Keetch
80,Annika Shinoda
84,Maddie Furr
85,Rachel Abrahams
97,Presten Berg
b,r,e,a,k
Rice,14
teamInfo,Torque,"Houston, Texas",http://torqueultimate.wix.com/rice-womens-ultimate,,https://twitter.com/TorqueUltimate
coaches,Ashley Shelor,Emma Wine
02,Alice Owens
03,Sofie Rose Payne
06,Natalia Perey
07,Emma Rathgeber
14,Sophia Figueroa
17,Isabella Baker
18,Astrid Allen
19,Lily Qin
21,Radhiya Bharmal
22,Annika Bhananker
24,Dori Olson
27,Xintong Su
38,Emma Sjodin
76,Callista Baker
91,Ria Stevens
b,r,e,a,k
Middlebury,6
teamInfo,Middlebury Pranksters,"Middlebury, Vermont",http://sites.middlebury.edu/ultimate/,https://www.facebook.com/MiddleburyPranksters,https://www.twitter.com/Middpranksterz
00,Cece Rhyneer
02,Kaia Ganzell
03,Sasha Hanna
04,Lucy VanNewkirk
06,Liz Crawford
07,Ella Widmyer
11,Yijie Li
12,Sarah Capute
13,Agnes Heffner
14,Izzy Laramee
16,Molly Snow
18,Amelia Hayward
20,Nicoletta Coupe
21,Hazel Stringer
22,Ruby Salisbury
24,Freya  Rich
27,Tessa Marker
28,Celeste Alden
44,Lilia Klingler
64,Lily Weissman
69,Makenna Bachman
99,Molly Kaplan
b,r,e,a,k
Carleton College-Eclipse,3
teamInfo,Eclipse,"Northfield, Minnesota",http://carletoneclipse.weebly.com/,,https://twitter.com/eclipsethedisc
coaches,Cameron Barton,Emma Nicosia,Christopher O'Mara
01,Sadie Begtrup
02,Natalie Lang-Ree
03,Laura Boyd
04,Zaraya Jordan
06,Caroline Cooper
07,Lisa Li
08,Pilar Andruet
09,Elizabeth Swanson
10,Maddy Brown
11,Sadie Eskola
12,Zoe Marquis
15,Molly Horstman Olson
19,Eve Mullen
20,Grace Prince
22,Alyssa Alvarez
23,Kyla Christie
27,Sasha  Monks
29,Monarch Kelly
32,Amy McCormack
33,Frankie Saraniti
35,Rachel Poppleton
44,Rebecca Hazen
55,Charlotte Gingo
66,Alma Rucker
73,Minglu Zhang
b,r,e,a,k
Union (Tennessee),10
teamInfo,Tennessee) (Jillz,"Jackson, Tennessee",,,UnionJillz
coaches,Victoria Graves,Joshua Kersey
01,Olivia Mueth
03,Emily Gray
04,Sarah Skinner
06,Lindsey  Dismuke
07,Lindsey Norwood
08,Kelsi Jones
11,Averie Gundy
12,Deborah Lancaster
13,Caroline Lukasick
15,Rylie Feltner
16,Anna Forbes
17,Alana Kelley
18,Grace Dominguez
20,Bryn Norton
22,Anna Davidson
23,Hannah Chayse Watson
24,Sarah Trouwborst
26,Amelia Thomas
27,MollieKay Grubbs
33,Martha McCreary
35,Sarah Wood
55,Ava Floyd
b,r,e,a,k
Puget Sound,15
teamInfo,Clearcut,"Tacoma, Washington",https://www.upsultimate.com/,https://www.facebook.com/upsclearcut/,https://twitter.com/wutwutclearcut
coaches,Taylor Kanemori,Lauren Louderback
01,Emma Smith
04,Hayes Freeman
05,Lilia Yatskowitz
08,Elena Sjaastad
11,Naomi Wurtzel
13,Audrey Hamilton
16,Kendall Odell
20,Paprika Indresano
21,Amity Humphrey
23,Claire Bargman
24,Olivia Ash
25,Luna  Wagner
26,Savannah Cobb
30,Erin Hurley
b,r,e,a,k
Whitman,4
teamInfo,Whitman Sweets,"Walla Walla, Washington",whitmancollegesweets.squarespace.com,https://www.facebook.com/pages/Whitman-College-Lady-Sweets/713665542065651,https://twitter.com/WWladysweets
0,Olivia Napadensky
02,Anja Floisand
03,Dora Trinkle
04,Ollie Fox
06,Wyatt Albright
07,Julia Hanson
08,Ashley Hagen
09,Juliette Silvers
11,Katherine Campbell
12,Nadja Goldberg
13,Erin Magnuson
16,Isabel  DeBoer
17,Stella Vranes
18,Tatum Huegel
20,Ingrid Noren
21,Lucy Brown
22,Josephine Bygrave
23,Joanna (Joey) Biehl
27,Gabbie Campbell
28,Ella Johnson
34,Hahna Beaudoin
39,Sarah White
44,Caroline Gorham Siegler
49,Madeleina Shear
63,Leah Uhlman
77,Allee Garver
b,r,e,a,k
Kenyon,5
teamInfo,Blu-Ray,"Gambier, Ohio",https://www.instagram.com/kenyonblu_ray/,,
04,Caroline Sullivan
06,Mariah Szabo
08,Kaley Johnson
10,Sadie Clark
11,Evelyn Holzhall
13,Will Johnson
15,Cameron McCaleb
16,Eli Allan
19,Clementine Muir
21,Catelin Bromfield
26,Sabine Manske
28,Abigail Warshauer
30,Ella Salvino
33,Molly Hunt
34,Johanna Huelsman
35,Catie Selden
37,Margaret Anne Doran
38,Cecilia Oshins
42,Ellen Chadwick
43,Gwyn Kelley
45,Kate Tucker
73,Audrey Gibson
87,Maria Peacock
b,r,e,a,k
Rochester,9
teamInfo,EZ Women,"Rochester, New York",https://rochesterezs.wixsite.com/home,https://www.facebook.com/RochesterEZs,https://twitter.com/RochesterEZs
coaches,Chelsea Rybak
00,Elizabeth Voorhees
03,Jenna Kwak
04,Kaylie McGuckin
05,Flora Bradley
06,Chloe Milliman
07,Puck Moser
09,Marlena Berger
11,Raina Guay
12,Ivy Chang
13,Kaitlin Chung
20,Lexi Simard
21,Mary  MacAdam
27,Lauren MacIsaac
29,Tay Harvey
31,Jane Bonnevie-Rothrock
37,Penny Chen
44,Rosalyn Norman
45,April Loy
59,Juliana Cabarcos
72,Anna Spak
b,r,e,a,k
Claremont,16
teamInfo,Claremont Greenshirts,"Claremont, California",https://www.instagram.com/therealgreenshirts/,https://www.facebook.com/claremontgreenshirts,https://x.com/claremontgreens?lang=en
03,Rachel Ressmeyer
04,Sophie David
05,Araminta Dosh Galdames
07,Annika Dank
12,Laila Hannum
16,Madeleine (Mattie) Johnson
18,Maya Chow
21,Joelle Rudolf
22,Ava Eggener
23,Sylvie Kromer
26,Theresa Provasnik
32,Grace Flikke
35,Caroline Ambrose
37,Nora Verner
82,Elisabeth Lux
b,r,e,a,k
s,t,a,g,e,s
pools,Pool Play
pool,Pool A
Wesleyan,Mount Holyoke,10,6,"05/17/2025, 10:45",Pool A,Final
Davenport,Richmond,12,5,"05/17/2025, 10:45",Pool A,Final
Wesleyan,Richmond,15,5,"05/17/2025, 13:00",Pool A,Final
Davenport,Mount Holyoke,10,13,"05/17/2025, 13:00",Pool A,Final
Wesleyan,Davenport,11,10,"05/17/2025, 15:15",Pool A,Final
Mount Holyoke,Richmond,13,3,"05/17/2025, 15:15",Pool A,Final
pool,Pool B
Haverford-Bryn Mawr,Lewis & Clark,15,4,"05/17/2025, 08:30",Pool B,Final
St Olaf,Rice,10,6,"05/17/2025, 08:30",Pool B,Final
Haverford-Bryn Mawr,Rice,11,3,"05/17/2025, 13:00",Pool B,Final
St Olaf,Lewis & Clark,13,10,"05/17/2025, 13:00",Pool B,Final
Haverford-Bryn Mawr,St Olaf,13,7,"05/17/2025, 15:15",Pool B,Final
Lewis & Clark,Rice,10,6,"05/17/2025, 15:15",Pool B,Final
pool,Pool C
Carleton College-Eclipse,Union (Tennessee),15,5,"05/17/2025, 08:30",Pool C,Final
Middlebury,Puget Sound,15,3,"05/17/2025, 08:30",Pool C,Final
Carleton College-Eclipse,Puget Sound,15,5,"05/17/2025, 13:00",Pool C,Final
Middlebury,Union (Tennessee),15,0,"05/17/2025, 13:00",Pool C,Final
Carleton College-Eclipse,Middlebury,6,13,"05/17/2025, 15:15",Pool C,Final
Union (Tennessee),Puget Sound,13,7,"05/17/2025, 15:15",Pool C,Final
pool,Pool D
Whitman,Rochester,15,9,"05/17/2025, 10:45",Pool D,Final
Kenyon,Claremont,15,6,"05/17/2025, 10:45",Pool D,Final
Whitman,Claremont,15,4,"05/17/2025, 13:00",Pool D,Final
Kenyon,Rochester,11,8,"05/17/2025, 13:00",Pool D,Final
Whitman,Kenyon,13,4,"05/17/2025, 15:15",Pool D,Final
Rochester,Claremont,15,7,"05/17/2025, 15:15",Pool D,Final
b,r,e,a,k
brackets,Championship Bracket
bracket,1st Place
St Olaf,Union (Tennessee),10,8,"05/18/2025, 08:30",Prequarterfinal,In Progress
Carleton College-Eclipse,Lewis & Clark,6,11,"05/18/2025, 08:30",Prequarterfinal,In Progress
Kenyon,Davenport,0,10,"05/18/2025, 08:30",Prequarterfinal,In Progress
Mount Holyoke,Rochester,6,7,"05/18/2025, 08:30",Prequarterfinal,Scheduled
bracket,5th Place
bracket,5th Place
b,r,e,a,k
brackets,9th Place Bracket
bracket,9th Place
bracket,11th Place
b,r,e,a,k
pools,13th Place Round Robin Standings
pool,Pool E
Richmond,Puget Sound,8,2,"05/18/2025, 08:30",Pool E,Scheduled
Rice,Claremont,8,6,"05/18/2025, 08:30",Pool E,In Progress
Richmond,Claremont,0,0,"05/18/2025, 10:45",Pool E,Scheduled
Rice,Puget Sound,0,0,"05/18/2025, 10:45",Pool E,Scheduled
Richmond,Rice,0,0,"05/19/2025, 08:30",Pool E,Scheduled
Puget Sound,Claremont,0,0,"05/19/2025, 08:30",Pool E,Scheduled
b,r,e,a,k
