Ski Town Classic 2025,Club - Mixed ,16,8,2025
Salt Lake City,UT,2025-08-16,2025-08-17
https://play.usaultimate.org/events/Ski-Town-Classic-2025/schedule/Mixed/Club-Mixed
Sego,1
0,Zoe Zaorski
17,Helinna Leone
19,Edward Cao
69,Stephen Crowe
b,r,e,a,k
Pegasus,6
teamInfo,,"Seattle, Washington",https://www.instagram.com/pegasus.seaulti/,https://www.facebook.com/peggyultimate/,@PegasusUltimate
0,Aster Schmidt
0,Curtis Kinnaman
0,Daniel Scribner
0,Emma Ward
0,Erica Stamboulian
0,Erik Aadalen
0,Grace Stephens
0,Joseph Hess
0,Kira Kocherhans 
0,Nathan Narita
0,Nathan Yeazel
0,Paul DeGennaro
0,Ryan Scuderi
0,Siri Knudsen
1,Nicholas Poolman
3,Geoffrey Avila
8,Sarah Ciambrone
9,Alexander Lichtenstein
11,Jacqueline Chipkin
12,Veronica Tse
27,Jason Angell
36,Joanna Mullen
36,Ruoshi Gao
41,Kiran Devine
50,Lauren Pichard
b,r,e,a,k
Bozos,14
teamInfo,,"Bozeman, Montana",,,
0,Brenna McNamara
0,Chloe Nelson
0,Christopher  Chandler
0,Cole Buller
0,Eric Folsom
0,Genesea Meha
0,Jane Andrews
0,Jeff Mohl
0,john hofacre
0,Mia Wafer
0,Quinn Sweeney
0,Robin Ferrier
3,Andrew Bassett
13,Steven Kassebaum
17,Victoria Easton
20,Steve Shea
26,Pierce Teeuwen
42,Sean McAneney
b,r,e,a,k
Classy,4
teamInfo,,"San Francisco, California",,https://www.facebook.com/classyultimate/,
0,Brendan Willerford
0,Caitlin Ruppel
0,Caledonia Krieger
0,Cappy Pitts
0,Chris Wilen
0,Gabe Doble
0,Joseph Gu
0,Kayli Stowe
0,Lee Bashant
0,Lili Gu
0,Mitch Frauenheim
0,Molly Bingham
0,Monica Donegan
0,Nathaniel Henning
0,Malachi Wickman
0,Philip Chang
0,Savannah  Cary 
6,Jenna Ray
11,Joel Miller
13,Robert Barron
13,Miles Burnette
16,Sarah Kaufman
20,Owen Zuidema
21,Anthony Zasada
26,Mackenzie Smith
b,r,e,a,k
Cowpoke,5
teamInfo,,"Fort Collins, Colorado",,,
0,Alex Hasenkamp
0,Cassandra  Banuelos
0,Charlie Knott
0,Connor Nichols
0,Daniel Lucas
0,Evan Harris
0,Hunter Cunningham
0,Jackson Turner
0,Kiera Schreiber
0,Mason Cox
0,Maya Beck-Kjer
0,Meeghan Jakob
0,Stacey Parr
0,Tucker Martin
6,Campbell Darlington
12,Asa Mohammed
45,Glenn Parr
46,Axel Williams
55,Char Bokhof
66,Klaudia Poplawski
b,r,e,a,k
Cutthroat,13
teamInfo,,"Reno, Nevada",,,https://twitter.com/cutthroatulti
0,Donovan Davis
0,Emily Zedek
1,Marcus Fredrickson
2,R. Miguel Gonzales
2,John Whiting
4,Pete Marshall
9,Thomas Fiock
13,Donne Lenard Lomugdang
15,Ruth Seipel
15,Nicolas Olson
16,Zachary Wallpe
18,Lauren Edwards
20,Lindsey Wolterbeek 
24,Samantha  Embleton
28,Rodney Wolfgang
33,Jeremiah Haumeder
56,Mary Clingerman
69,Rebecca Mills
b,r,e,a,k
The Strangers,12
teamInfo,,"Westminster, Colorado",,https://www.facebook.com/TheStrangersUltimate,
0,April Kocherhans
0,Ariah Warner
0,Eden Ogren
0,Hannah Cussen
0,Tracy Peucker
00,Isabelle Harris
00,Joseph Delnero
00,Joseph Dal Santo
00,Max Wuesthoff
00,Michael Richard
00,Morgan Colacone
00,Scott Harris
00,Stephen Cholvat
00,Talia Enav
00,Taylor Stamps
00,Benjamin Godwin
00,Brenden Fischer-Femal
00,Catherine Smith
00,Colin Campbell
00,Craig Johnson
00,Desiree Gunnoe
00,Don Nguyen
31,Abby Hyde
b,r,e,a,k
s,t,a,g,e,s
pools,Pool Play
pool,Pool A
Sego,"All Jeeps, All Night.",13,5,"08/16/2025, 09:00",Pool A,Final
Karma,Sky-90,11,8,"08/16/2025, 09:00",Pool A,Final
Sego,Sky-90,13,0,"08/16/2025, 10:45",Pool A,Final
Karma,"All Jeeps, All Night.",8,7,"08/16/2025, 10:45",Pool A,Final
Sego,Karma,13,2,"08/16/2025, 12:30",Pool A,Final
"All Jeeps, All Night.",Sky-90,13,4,"08/16/2025, 12:30",Pool A,Final
pool,Pool B
Moontower,Mango,10,7,"08/16/2025, 09:00",Pool B,Final
Green Chiles,Phlagstaff Ultimate,13,8,"08/16/2025, 09:00",Pool B,Final
Moontower,Phlagstaff Ultimate,11,6,"08/16/2025, 10:45",Pool B,Final
Green Chiles,Mango,8,9,"08/16/2025, 10:45",Pool B,Final
Moontower,Green Chiles,0,0,"08/16/2025, 12:30",Pool B,Scheduled
Mango,Phlagstaff Ultimate,9,7,"08/16/2025, 12:30",Pool B,Final
pool,Pool C
Space Ghosts,Firefly,13,4,"08/16/2025, 09:00",Pool C,Final
Pegasus,Bozos,12,3,"08/16/2025, 09:00",Pool C,Final
Space Ghosts,Bozos,13,3,"08/16/2025, 10:45",Pool C,Final
Pegasus,Firefly,8,11,"08/16/2025, 10:45",Pool C,Final
Space Ghosts,Pegasus,10,9,"08/16/2025, 12:30",Pool C,Final
Firefly,Bozos,10,7,"08/16/2025, 12:30",Pool C,Final
pool,Pool D
Classy,The Strangers,12,8,"08/16/2025, 09:00",Pool D,Final
Cowpoke,Cutthroat,11,9,"08/16/2025, 09:00",Pool D,Final
Classy,Cutthroat,11,8,"08/16/2025, 10:45",Pool D,Final
Cowpoke,The Strangers,10,9,"08/16/2025, 10:45",Pool D,Final
Classy,Cowpoke,12,6,"08/16/2025, 12:30",Pool D,Final
The Strangers,Cutthroat,9,11,"08/16/2025, 12:30",Pool D,Final
b,r,e,a,k
brackets,Bracket Play
bracket,Championship Bracket
Classy,Firefly,0,0,"08/17/2025, 09:00",Quarter Finals,Scheduled
Space Ghosts,Cowpoke,0,0,"08/17/2025, 09:00",Quarter Finals,Scheduled
bracket,Ninals
Cutthroat,Bozos,0,0,"08/17/2025, 09:00",9th Quarters,Scheduled
Pegasus,The Strangers,0,0,"08/17/2025, 09:00",9th Quarters,Scheduled
bracket,3rd Place
bracket,5th Place
bracket,7th Place
bracket,11th Place
bracket,13th Place
bracket,15th Place
b,r,e,a,k
