Stanford Open-Women's,College - Women ,1,2,2025
Stanford,CA,2025-02-01,2025-02-02
https://play.usaultimate.org/events/Stanford-Open-Womens/schedule/Women/CollegeWomen/
British Columbia (B),13
37,Mrida Sadhu
42,Imogen Gatewood-Wolfe
47,Meirav Roisman
48,Lauryn Bailado
77,Hazel Henrikson
84,Noah Fong
88,Violet Yap
95,Josie Lucia
95,Carina Lucia
97,Eva Levenson
b,r,e,a,k
Stanford (B),11
teamInfo,Firefly,"Stanford, California",https://web.stanford.edu/group/superfly/cgi-bin/wordpress/,,
00,Anjali Surana
00,Claire Beamer
00,Edie Quinn
00,Mallika Parulekar
00,Muzi Wen
00,Sara Irvine
00,Sarah Chang
00,Sofia Perez-Lanza
00,Tia Geri
00,Xinyi Yang
00,Zadie Schaffer
81,Zinnia Cooperrider
b,r,e,a,k
Portland,2
teamInfo,UPRoar,"Portland, Oregon",https://www.instagram.com/uproarfrisbee/,https://www.facebook.com/upwomensultimate,https://twitter.com/uproar_ultimate
2,Katie Anderson
3,Hana  Elawady 
4,Morgan Bridges
5,Emma Giamello
6,Summers Filion
7,Maryanne Maxwell
9,Romy Holland
10,Isabel Contreras
11,Audrey Dewey
12,Hayden Ashley
14,Lizzie Ashford
21,Jianna Matundan
23,Lucia Neyra
24,Gaby Dominguez
25,Gabrielle Weaver
28,Kelsey Korbe
31,Camryn Hines
37,Audrey Stineman
40,Annalise Korch
42,Nellie Dargis
44,Jaclyn Murray
b,r,e,a,k
Southern California,3
teamInfo,Hellions of Troy,"Los Angeles, California",http://www.uscwomensultimate.com/,,https://twitter.com/USCHellions
01,Victoria Lawton
02,Tsz Ching Chen
03,Kelly Lukito
04,Jayne Bottarini
08,Paige Gonzales
09,Komal Kackar 
10,Allison Huang
12,Amelie Nah
13,Stella Dziedzic
17,Araiza Soto
18,Mary Muir
20,Preyashi Poddar
21,Raquelle Hendrix
22,Delilah Masket
26,Annamarie Ellazar
29,Mack Mallon
32,Shijia Liu
41,Natalie So
44,Makenna Harding-Davis
57,Amanda Wilson
64,Charlotte Dixon
73,Tanvi Shankar
88,Caroline Yim
99,Aiyanna Co
b,r,e,a,k
Dragon Roll,10
teamInfo,,"San Francisco, California",,,
coaches,Samantha Loop
 ,Jocelyn
 ,Lillie
 ,Lorin
0,Natalia Kass
0,Sophia De Medeiros
0,Sophia Koshland
0,Talia Garber
0,Tam Ly Mai-Clark
0,Taylor Weaver
0,Juliet McLaughlin
0,Kassandra Schidel
0,Leslie Medina
0,Abigail Lazovsky
0,Akhila Narayan
0,Eva Janson
0,Flora Hart
b,r,e,a,k
Nevada-Reno,4
teamInfo,Black Ice,"Reno, Nevada",,https://www.facebook.com/unrwomensult/,https://twitter.com/unrwomensult
1,Alicia Bodine-Woods
2,Lindsey Wolterbeek 
3,Katharine  DiPerna-Pavlich
8,LeAnn Clark
11,Jessica Kepschull
15,Ruth Seipel
22,Riley Smith
24,Samantha  Embleton
50,Marissa Perkins
55,Gabrielle Lendis
69,Catherine Grey
99,Emily Zedek
b,r,e,a,k
California (B),9
teamInfo,Cal Tarts,"Berkeley, California",http://www.piequeens.org,http://www.facebook.com/piequeensultimate,http://www.twitter.com/tartscal
0,Alisha Wadhwa
0,Angela Sheu
0,Audrey Tam
0,Brianna  Loza
0,Cassidy McCormick
0,Elizabeth Kasner
0,Jiayi Wang
0,Koharu Masuda
0,Linnea Moe
0,Nicole Musielak
0,Sophia Faaland
b,r,e,a,k
s,t,a,g,e,s
pools,Pool Play
pool,Pool A
Cal Poly-SLO (B),British Columbia (B),1,13,"02/01/2025, 08:00",Pool A,Final
Oregon State,Seven Hills Gx,8,11,"02/01/2025, 08:00",Pool A,Final
Carleton College,Oregon State,0,0,"02/01/2025, 09:30",Pool A,Scheduled
Seven Hills Gx,Cal Poly-SLO (B),0,0,"02/01/2025, 09:30",Pool A,Scheduled
Carleton College,British Columbia (B),0,0,"02/01/2025, 11:00",Pool A,Scheduled
Cal Poly-SLO (B),Oregon State,0,0,"02/01/2025, 11:00",Pool A,Scheduled
Carleton College,Cal Poly-SLO (B),0,0,"02/01/2025, 12:30",Pool A,Scheduled
Seven Hills Gx,British Columbia (B),0,0,"02/01/2025, 12:30",Pool A,Scheduled
Carleton College,Seven Hills Gx,0,0,"02/01/2025, 14:00",Pool A,Scheduled
Oregon State,British Columbia (B),0,0,"02/01/2025, 14:00",Pool A,Scheduled
pool,Pool B
Portland,Cali Roll,3,13,"02/01/2025, 08:00",Pool B,Final
Santa Clara,Stanford (B),13,3,"02/01/2025, 08:00",Pool B,Final
Santa Clara,Cali Roll,0,0,"02/01/2025, 09:30",Pool B,Scheduled
Portland,Stanford (B),0,0,"02/01/2025, 09:30",Pool B,Scheduled
Cali Roll,Stanford (B),0,0,"02/01/2025, 11:00",Pool B,Scheduled
Portland,Santa Clara,0,0,"02/01/2025, 11:00",Pool B,Scheduled
pool,Pool C
California (B),Southern California,2,13,"02/01/2025, 08:00",Pool C,Final
Nevada-Reno,Dragon Roll,3,8,"02/01/2025, 08:00",Pool C,Final
Southern California,Dragon Roll,0,0,"02/01/2025, 12:30",Pool C,Scheduled
Nevada-Reno,California (B),0,0,"02/01/2025, 12:30",Pool C,Scheduled
Southern California,Nevada-Reno,0,0,"02/01/2025, 14:00",Pool C,Scheduled
California (B),Dragon Roll,0,0,"02/01/2025, 14:00",Pool C,Scheduled
b,r,e,a,k
clusters,3rd/4th Crossover
b,r,e,a,k
brackets,Bracket
bracket,Championship
bracket,Third Place
bracket,Fifth Place
bracket,Seventh Place
bracket,Ninth Place
b,r,e,a,k
clusters,Sunday Youth Crossover
cluster,Sunday Youth Crossover
Seven Hills Gx,Dragon Roll,0,0,"02/02/2025, 08:00",,Scheduled
Seven Hills Gx,Cali Roll,0,0,"02/02/2025, 09:30",,Scheduled
Dragon Roll,Cali Roll,0,0,"02/02/2025, 11:00",,Scheduled
b,r,e,a,k
