Smoky Mountain Invite 2025,College - Men ,1,3,2025
Knoxville,TN,2025-03-01,2025-03-02
https://play.usaultimate.org/events/Smoky-Mountain-Invite-2025/schedule/Men/CollegeMen/
Carleton College,1
05,Ethan Bartlett
06,Will McAfee
07,Eugene Michael Campos
08,Zeke Plewniak
09,JohnThomas Atema
10,Will McGilvra
11,Marshall  Hodges 
13,Wolfgang Sulk
15,Drew Irons
22,Will Thompson
24,Jacob Guzi
25,Peter Wilson
27,Andrew Harmon
33,Conor Coakley
36,Dillon Carney
39,Elijah Greene
42,Kohen Kilburn
48,Jackson Lange
54,Lyle Clanton
b,r,e,a,k
North Carolina,7
teamInfo,Darkside,"Chapel Hill, North Carolina",http://www.uncdarkside.com/,https://www.facebook.com/UNCDarkside,https://twitter.com/UNC_Darkside
0,Arjun Deshmukh
0,Addison Carnow
0,Alex Fiordalisi
0,Cohen Sears
0,Jachym Zvelebil
0,John  Sowinski 
0,Matthew Barcellos
0,Theodore Aspinwall
0,Thomas Harley
0,William Spykerman
2,Elijah Danley
3,Aaron Wei
4,Samuel Redinbo
7,Eli Fried
8,Hayden Naylor
10,Ben Dameron
12,Max Goetz
14,Bodhi Harmony
16,Brian Trowbridge
17,Watkins Parker
18,Jake Schwartz
20,Henry Holland
21,Josh Singleton
23,Daniel Zhang
24,Andrew Fan
25,Min Lim
26,Seth Fried
27,Jason Manning
33,Frederick Huang
51,Kevin Pignone
80,John Riley
87,Dov Bearman
88,Henry Chen
95,Noah Bush
99,Keller Fraley
b,r,e,a,k
Oregon,2
teamInfo,Ego,"Eugene, Oregon",oregonego.com,https://www.facebook.com/OneBigEgo/,https://twitter.com/egotime
coaches,Braedon Petrus,Connor Matthews,Trevor Smith,Christopher Strub
4,Alex Hall-Witt
8,Adam Wulkan
9,Marcus Beidler
14,Nicholas Cao
15,Chander Boyd-Fliegel
17,Jason Gutstadt
18,Marco Muralles
21,Jonah Hammes
23,Julian Saunt
24,Mica Glass
26,Raekwon Adkins
27,Mason  Weybright
28,Max Massey
42,Emile Starkweather
45,Beckett Sessums
48,Ben Horrisberger
72,Aaron Kaplan
77,Jackson Heglie
81,Emmett Warner
89,Isaac Blumklotz
99,Marcus Lee
99,Bryce Jackson
99,Daniel Collier
99,Akash McMinnn
99,Nathan Williams
99,Theo Kojan
99,Will Dillender-Kinast
b,r,e,a,k
Northeastern,15
teamInfo,Huskies,"Boston, Massachusetts",http://www.ultimate.neu.edu/men,https://www.facebook.com/NUMensUltimate,https://twitter.com/NUMensUltimate
coaches,Dan Hourigan,Timothy Bobrowski
1,Skyler Davidman
2,David Owyang
3,Benjamin Saterbak
4,Krish Vasisht
5,Matias Ng
6,Isaiah Jones
8,Sunay Patel
9,James (Jimmy) Beckman
10,Ben Chamis
11,Peter Boerth
12,Ramsey Elder
13,Jackson McGuinness
14,Sean Jaffe
15,David Pinto
18,Ciaran Pratley
21,Dallon Archibald
22,Jack Simmons
23,James McElheny
24,Michael Katz
30,Nathaniel Cramer
31,Griffin Majer
32,Jackson biggs
47,Landon Schopp
83,Samuel Freedman
91,Kalten Toone
b,r,e,a,k
Pittsburgh,10
teamInfo,En Sabah Nur,"Pittsburgh, Pennsylvania",pittultimate.org,,@PittUltimateM
0,Alex  Lemoncelli
0,Michael Sun
0,Zachary Rachfal
4,Henry Everett
5,Peter Kotz
8,Nicky Troilo
9,Julius Clyburn
10,Reid Duncan
11,Declan Murphy
13,Timothy  Chango Gasset 
15,Thomas Mazur
20,Lucius Christie
21,Adam Ricci
23,Eliot Duncan
25,Morey Averill
28,Roger Zeng
30,Sean Mickel
43,Fletcher Hayden
46,Tristan Yarter
48,Max Cowie
64,William Litchholt
84,William McGlynn
85,David DeColli
88,Micah Davis
b,r,e,a,k
Colorado,3
teamInfo,Mamabird,"Boulder, Colorado",http://www.mamabird.com/,https://www.facebook.com/University-of-Colorado-Mamabird-361160030582581,https://twitter.com/CUMamabird
coaches,Akane Kleinkopf
1,Tobias Brooks
1,Zeke Thoreson
3,Thomas Tasker
4,Finn Dougherty
5,Daniel Bauman
6,Axel Hartzog
7,Gaurav Prasad
8,Levi Tapper
9,Rami Rifaat
10,Alex Yu
11,Ezra Thoreson
12,Benton Shevlin
13,Daniel Williams
14,Sam Kilgore
15,Geoffrey Tucker Kalmus
17,Curtis Pakgross
20,Will Barnouw
21,Zackary Bacon
22,Nicholas Kleinhelter
23,Elliot Hawkins
26,Omar  Semrin
27,Lukas Alexander
34,Ethan Burgess
42,Ryan Allenson
46,Nanda Min-Fink
58,John Baggenstoss
66,Ryan Shigley
72,Max Van Sickle
89,Juan Castillero
91,Joseph Michaud
b,r,e,a,k
Georgia,6
teamInfo,Jojah,"Athens, Georgia",https://jojahultimatefrisbee.wordpress.com/,https://www.facebook.com/JojahUltimate,https://twitter.com/JojahUltimate
coaches,Sam Batson,Ishaan Dave
0,Charles Guerrero
0,Matthew Davidorf
0,Patrick Reuland
2,Adam Goldstein
3,Morgan Hiers
4,Ernesto Clarke
6,Aidan Downey
8,Miguel McGuire
10,William Randall
12,Aniketh Muddala
15,Gaby Elkhoury
16,Gabriel Weber
18,Colin Kennedy
19,Jacob Croskey
20,Scott Whitley
21,Sam Rose
23,Jack Krugler
24,Jeremy Sanders
30,Cole Chanler
35,Drew Wentworth
73,Gabe Borda
88,Luke Cranor
96,Dane Lynch 
b,r,e,a,k
Brown,14
teamInfo,Brownian Motion,"Providence, Rhode Island",http://www.brown.edu/Athletics/Mens_Ultimate/,https://www.facebook.com/brownultimatefrisbee,https://twitter.com/BMoUltimate
coaches,James Smart,Jonathan Stout,Nate Taylor
0,Aayush Muthuswamy
0,Adrian Lin
0,Andy Burris
0,Camilo Tamayo-Rousseau
0,Chien-Yu Xiong
0,Devan Hernandez
0,Emmett Young
0,Eric Du
0,Isaac Holtz
0,Jack Conroy
0,Jeremiah Wiener
0,Karl Hokkanen
0,Luca Duclos-Orsello
0,Matias Lee
0,Noah Urrutia
0,Nolan McCloskey
0,Ryan Hsi
0,Siddharth Yende
0,Zach Bensky
9,Jason Tapper
10,Amrik Eadara
29,Oscar Low
30,Caleb Moran
32,Oliver Kahn
35,Patrick Connor
44,Teo Huson
66,Eli Chang
77,Alexander Drogin
b,r,e,a,k
Penn State,11
teamInfo,Spank,"University Park, Pennsylvania",http://clubs.psu.edu/up/ultimate/,,https://twitter.com/spank_ultimate
coaches,Morrison Smith
0,Aaron Crothers
0,Andrew Kelly
0,Charlie Hurwitz
0,Evan Dagle
0,Javier Gonzalez-Recober
0,Jeremy Mack
0,Oliver Saunders
1,Nicholas  Lutz
2,Sean Brown
3,Nathaniel Hodges
4,Zander Sachs
4,Connor Matheson
6,Enrique Montalvo
7,Evan Medrow
9,Kyle Incollingo
10,Kelvin Lei
11,Jeremy Long
12,Aman Guruacharya
12,Michael  Maroon
14,Ethan Pigeon
17,Alexander (Zander) Lutz
18,Raffi Cannon
20,Roberto Lombana
21,Evan Lutz
24,Doug Hoyer
27,Logan Piercy
28,Dylan Connor
30,Parker Steele
51,Ethan Landis
54,Alex Mullen
69,John Williams
75,Luke Gochis
81,Nicholas Marinelli
b,r,e,a,k
Massachusetts,4
teamInfo,Zoodisc,"Amherst, Massachusetts",,https://www.facebook.com/UMassUltimate/,https://twitter.com/UMassUltimateM
0,Ian Buchanan
0,Jonathan Coombs
0,Roan Dunkerley
1,Nima Lhamo
6,Ethan Lieman
7,Tomo Liou
9,Jae Lee
10,Charlie Leightheiser
10,Wyatt Kellman
11,Taylor Hanson
12,Wesley Killough-Hill
13,Charlie Norris
13,Calan Kirkpatrick
16,Nadav Berkman
18,Sam Green
21,Mason Stone
22,Arthur Aucoin
27,Caelan McSweeney
37,Gavin Abrahamsson
38,Leo Narbonne
39,Carter Hawkins
43,Ethan Schiff
88,Griffin Gee
95,Luca  Harwood
99,Tobias Paperno
b,r,e,a,k
Texas,5
teamInfo,TUFF,"Austin, Texas",https://texasultimatefrisbee.weebly.com/,https://www.facebook.com/TexasUltimate,https://twitter.com/texas__tuff/
0,Dillon Doubrava
0,Elliot Ylagan
0,Aidan Young
0,Joshua Cremer
0,Jules Langert
0,Mitchell Blaha
0,Pavel Kraus
0,Rohan Kotha
0,Ty Little
0,Zachary White
3,Aaron Barcio
5,Owen Smith
6,Kellen Watts
7,Saif Ansari
10,Xavier Fuzat
17,Henry Charbeneau
19,Ryan Reinhart
20,Andy Wang
21,Isaac Fuzat
22,Taylor Masterson
23,Ben Thollander
25,John Clyde
81,Jake Worthington
96,Talon Balcom
b,r,e,a,k
Georgia Tech,12
teamInfo,Tribe,"Atlanta, Georgia",https://gttribe.github.io/,https://www.instagram.com/gt_tribe/,https://twitter.com/gttribe
coaches,Francisco Fernandez,Adam Miller
0,Sam Granade
2,Grover Grendzinski
4,Matthew Greenberg
5,Neil Barry
8,Adithya Deepak
9,Nikos Verlenden
10,Nicholas Andrews
11,Ivan Sanchez
13,Sam Grossberg
17,Ganden Fung
22,Ephraim Connor
25,Matthew Wang
26,Keller Smith
28,Eric Shen
31,Juan Camilo Castrillon Davis 
33,Phillip Markovitz
37,Owen Hammond-Lee
39,Philip Emry
41,Neal Zeng
42,Adam Grossberg
69,Garrett Anderson
70,Elias Benghiat
72,Hari Sridhara
77,Flavius Penescu
81,Sean Jung
b,r,e,a,k
Minnesota,13
teamInfo,Minnesota A,"Minneapolis, Minnesota",http://mngreyduck.com/,https://www.facebook.com/umnmensulti,https://x.com/umnmensulti
coaches,Kevin Bruns
0,Alex Tsvetkov
0,Austin Gin
0,Benjamin Brauer
0,Caleb Griffiths
0,Charles Erny
0,Drew Bonnabeau
0,Gabriel Jagt
0,Johnny Haas
0,Kaiden Thiers
0,Leland Engelking
0,Levi Dohman
0,Matthew Gunter
0,Owen Cloutier
0,Parker Knudson
0,Sora Walker
0,Travis Tiller
4,Akos Konkoly
9,Patrick Wozniak
10,Wallace Jirele
13,Luke Bleers
15,Max  Dehlin
16,Joe McGurgan
16,Peter Helgeson
33,Jacob Markus
42,Evan Snyder
44,Ethan Ode
77,Jack Walters-Medaris
b,r,e,a,k
s,t,a,g,e,s
pools,Pool Play
pool,Pool A
Carleton College,Tennessee,13,6,"03/01/2025, 09:00",Pool A,Final
Oregon State,Vermont,10,9,"03/01/2025, 09:00",Pool A,Final
Carleton College,Vermont,13,12,"03/01/2025, 10:45",Pool A,Final
Oregon State,Tennessee,13,9,"03/01/2025, 10:45",Pool A,Final
Carleton College,Oregon State,11,9,"03/01/2025, 12:30",Pool A,Final
Vermont,Tennessee,13,7,"03/01/2025, 12:30",Pool A,Final
pool,Pool B
Oregon,Northeastern,12,9,"03/01/2025, 09:00",Pool B,Final
North Carolina,Pittsburgh,13,6,"03/01/2025, 09:00",Pool B,Final
Oregon,Pittsburgh,13,10,"03/01/2025, 10:45",Pool B,Final
North Carolina,Northeastern,13,7,"03/01/2025, 10:45",Pool B,Final
Oregon,North Carolina,10,13,"03/01/2025, 12:30",Pool B,Final
Pittsburgh,Northeastern,9,10,"03/01/2025, 12:30",Pool B,Final
pool,Pool C
Colorado,Brown,13,11,"03/01/2025, 09:00",Pool C,Final
Georgia,Penn State,13,12,"03/01/2025, 09:00",Pool C,Final
Colorado,Penn State,11,7,"03/01/2025, 10:45",Pool C,Final
Georgia,Brown,12,11,"03/01/2025, 10:45",Pool C,Final
Colorado,Georgia,11,10,"03/01/2025, 12:30",Pool C,Final
Penn State,Brown,11,13,"03/01/2025, 12:30",Pool C,Final
pool,Pool D
Massachusetts,Minnesota,13,4,"03/01/2025, 09:00",Pool D,Final
Texas,Georgia Tech,11,13,"03/01/2025, 09:00",Pool D,Final
Massachusetts,Georgia Tech,11,9,"03/01/2025, 10:45",Pool D,Final
Texas,Minnesota,13,5,"03/01/2025, 10:45",Pool D,Final
Massachusetts,Texas,13,12,"03/01/2025, 12:30",Pool D,Final
Georgia Tech,Minnesota,12,13,"03/01/2025, 12:30",Pool D,Final
b,r,e,a,k
brackets,Bracket Play
bracket,Championship
Massachusetts,North Carolina,14,15,"03/02/2025, 13:00",Championship,Final
Carleton College,Massachusetts,13,15,"03/02/2025, 11:00",Semi-Finals,Final
Colorado,North Carolina,14,15,"03/02/2025, 11:00",Semi-Finals,Final
Carleton College,Oregon,15,12,"03/02/2025, 09:00",Quarter-Finals,Final
Vermont,Massachusetts,10,15,"03/02/2025, 09:00",Quarter-Finals,Final
Colorado,Northeastern,15,9,"03/02/2025, 09:00",Quarter-Finals,Final
Oregon State,North Carolina,11,15,"03/02/2025, 09:00",Quarter-Finals,Final
Carleton College,Penn State,15,9,"03/01/2025, 14:30",Pre-Quarters,Final
Oregon,Georgia Tech,15,9,"03/01/2025, 14:30",Pre-Quarters,Final
Vermont,Georgia,15,8,"03/01/2025, 14:30",Pre-Quarters,Final
Massachusetts,Pittsburgh,15,8,"03/01/2025, 14:30",Pre-Quarters,Final
Colorado,Tennessee,15,5,"03/01/2025, 14:30",Pre-Quarters,Final
Texas,Northeastern,12,15,"03/01/2025, 14:30",Pre-Quarters,Final
Brown,Oregon State,13,15,"03/01/2025, 14:30",Pre-Quarters,Final
North Carolina,Minnesota,15,10,"03/01/2025, 14:30",Pre-Quarters,Final
bracket,3rd Place
Carleton College,Colorado,0,0,"03/02/2025, 13:00",3rd Place,Scheduled
bracket,5th Place
Oregon,Oregon State,15,12,"03/02/2025, 13:00",5th Place,Final
Oregon,Vermont,15,14,"03/02/2025, 11:00",Semis-5th,Final
Northeastern,Oregon State,14,15,"03/02/2025, 11:00",Semis-5th,Final
bracket,7th Place
Vermont,Northeastern,15,10,"03/02/2025, 13:00",7th Place,Final
b,r,e,a,k
brackets,9th Place
bracket,9th Place
Pittsburgh,Brown,0,1,"03/02/2025, 13:00",9th Place,Final
Penn State,Pittsburgh,14,15,"03/02/2025, 11:00",Semis-9th,Final
Texas,Brown,0,1,"03/02/2025, 11:00",Semis-9th,Final
Penn State,Georgia Tech,14,10,"03/02/2025, 09:00",Quarters-9th,Final
Georgia,Pittsburgh,10,15,"03/02/2025, 09:00",Quarters-9th,Final
Tennessee,Texas,9,15,"03/02/2025, 09:00",Quarters-9th,Final
Brown,Minnesota,15,11,"03/02/2025, 09:00",Quarters-9th,Final
bracket,11th Place
Penn State,Texas,12,15,"03/02/2025, 13:00",11th Place,Final
bracket,13th Place
Georgia Tech,Minnesota,15,13,"03/02/2025, 13:00",13th Place,Final
Georgia Tech,Georgia,14,13,"03/02/2025, 11:00",Semis-13th,Final
Tennessee,Minnesota,6,15,"03/02/2025, 11:00",Semis-13th,Final
bracket,15th Place
Georgia,Tennessee,0,0,"03/02/2025, 13:00",15th Place,Scheduled
b,r,e,a,k
