Cooler Classic 36,Club - Mixed ,16,8,2025
Milwaukee,WI,2025-08-16,2025-08-17
https://play.usaultimate.org/events/Cooler-Classic-36/schedule/Mixed/Club-Mixed
No Touching!,1
42,Lily Shu
51,Kevin Chung
88,Serena Xu
94,Benjamin Petersen
99,Grace Bao
b,r,e,a,k
Jabba,20
teamInfo,,"Chicago, Illinois",,https://www.facebook.com/JabbaULT,https://twitter.com/JabbaChi
0,Emily Cochiaro
0,Jared Gomez 
0,Tifanny Moreno Osorio
1,Joseph Wang
4,Aaron Del Real
6,Jules Daugherty
7,Nadeem Demian
10,Jorge Duarte
11,Marissa Leff
12,Danny Nguyen
13,Andie Tappenden
13,Rene Quintana
14,Hana Duncan
22,Abby Jones
23,Kathryn Kembitzky
24,Jessica Tennant
25,Leah Coene
27,Ryan Logan
31,Andrea Penrose
41,Benjamin Wallerstedt
42,Tanner Holtz
43,Anderson  Ortega 
57,Adrian Usman
73,Anishi Desai
87,David Castillo
b,r,e,a,k
s,t,a,g,e,s
clusters,Saturday Match Play
cluster,Match Play
No Touching!,Toast!,14,10,"08/16/2025, 08:30",,Final
Bird,Steamboat,8,15,"08/16/2025, 08:30",,Final
Fatal Attraction,Frostbite,15,8,"08/16/2025, 08:30",,Final
Northern Comfort,Columbus Chaos,11,10,"08/16/2025, 08:30",,Final
Stackcats,The Chad Larson Experience,10,12,"08/16/2025, 08:30",,Final
Arms Race,Dinosaur Fancy,15,3,"08/16/2025, 08:30",,Final
Lake Superior Disc,Mastodon,8,15,"08/16/2025, 08:30",,Final
The Midwest Goodbye,Pandamonium,10,15,"08/16/2025, 08:30",,Final
No Touching!,Zero Turn Lawnmower,15,12,"08/16/2025, 10:30",,Final
Bird,Frostbite,15,7,"08/16/2025, 10:30",,Final
Pushovers,Fatal Attraction,9,15,"08/16/2025, 10:30",,Final
Steamboat,Northern Comfort,15,6,"08/16/2025, 10:30",,Final
ConSTLation,Stackcats,0,0,"08/16/2025, 10:30",,Scheduled
Boomtown Pandas,Prion,0,0,"08/16/2025, 10:30",,Scheduled
Columbus Chaos,Point of No Return,15,14,"08/16/2025, 10:30",,Scheduled
Limbo,Mastodon,0,0,"08/16/2025, 10:30",,Scheduled
Risky Business,Lemonade Ultimate,0,0,"08/16/2025, 10:30",,Scheduled
The Chad Larson Experience,Lake Superior Disc,15,1,"08/16/2025, 10:30",,Final
The Midwest Goodbye,Great Minnesota Get Together,12,15,"08/16/2025, 10:30",,Final
Pandamonium,Dinosaur Fancy,0,0,"08/16/2025, 10:30",,Scheduled
Bird,Boomtown Pandas,0,0,"08/16/2025, 12:30",,Scheduled
Pushovers,Toast!,0,0,"08/16/2025, 12:30",,Scheduled
Steamboat,Mad Udderburn,0,0,"08/16/2025, 12:30",,Scheduled
Zero Turn Lawnmower,Madison United Mixed Ultimate,0,0,"08/16/2025, 12:30",,Scheduled
Fatal Attraction,RAMP,0,0,"08/16/2025, 12:30",,Scheduled
ConSTLation,Northern Comfort,0,0,"08/16/2025, 12:30",,Scheduled
Prion,Columbus Chaos,0,0,"08/16/2025, 12:30",,Scheduled
ELevate,Lake Superior Disc,0,0,"08/16/2025, 12:30",,Scheduled
Mousetrap,The Midwest Goodbye,0,0,"08/16/2025, 12:30",,Scheduled
Jabba,Risky Business,0,0,"08/16/2025, 12:30",,Scheduled
Limbo,Arms Race,0,0,"08/16/2025, 12:30",,Scheduled
Point of No Return,Great Minnesota Get Together,0,0,"08/16/2025, 12:30",,Scheduled
Lemonade Ultimate,Dinosaur Fancy,0,0,"08/16/2025, 12:30",,Scheduled
No Touching!,Stackcats,0,0,"08/16/2025, 14:30",,Scheduled
Pushovers,ConSTLation,0,0,"08/16/2025, 14:30",,Scheduled
Zero Turn Lawnmower,ELevate,0,0,"08/16/2025, 14:30",,Scheduled
Frostbite,Prion,0,0,"08/16/2025, 14:30",,Scheduled
Toast!,Mousetrap,0,0,"08/16/2025, 14:30",,Scheduled
Boomtown Pandas,Limbo,0,0,"08/16/2025, 14:30",,Scheduled
Madison United Mixed Ultimate,Risky Business,0,0,"08/16/2025, 14:30",,Scheduled
RAMP,The Chad Larson Experience,0,0,"08/16/2025, 14:30",,Scheduled
Mad Udderburn,Arms Race,0,0,"08/16/2025, 14:30",,Scheduled
Jabba,Pandamonium,0,0,"08/16/2025, 14:30",,Scheduled
Point of No Return,Lemonade Ultimate,0,0,"08/16/2025, 14:30",,Scheduled
Mastodon,Great Minnesota Get Together,0,0,"08/16/2025, 14:30",,Scheduled
Madison United Mixed Ultimate,RAMP,0,0,"08/16/2025, 16:30",,Scheduled
ELevate,Mousetrap,0,0,"08/16/2025, 16:30",,Scheduled
Mad Udderburn,Jabba,0,0,"08/16/2025, 16:30",,Scheduled
b,r,e,a,k
brackets,1st Place
bracket,1st
bracket,3rd
bracket,5th
bracket,7th
b,r,e,a,k
brackets,9th Place
bracket,9th
bracket,11th
bracket,13th
bracket,15th
b,r,e,a,k
brackets,17th Place
bracket,17th
bracket,19th
bracket,21st
bracket,23rd
b,r,e,a,k
brackets,25th Place
bracket,25th
bracket,27th
bracket,29th
bracket,31st
b,r,e,a,k
