HoDown Showdown 2025,Club - Mixed ,9,8,2025
Asheville; Waynesville,NC,2025-08-09,2025-08-10
https://play.usaultimate.org/events/HoDown-Showdown-2025/schedule/Mixed/Club-Mixed
Asheville Parliament,9
3,Grace McDaniel
6,Watkins Parker
7,Eli Fried
15,Martha Plaehn
16,Lucy Murray
19,Caroleen DeWolf
20,Henry Holland
22,Catherine Fradenburg
24,Sarah Kuller
28,Abigail Stevens
42,Leo Murray
b,r,e,a,k
MCO,14
teamInfo,,"Orlando, Florida",,,
0,Blake Yusk
0,Brenton Baxley
0,Christina Levy
0,Dylan Goldfarb
0,Eric Kieffer
0,Faith Gonzalez
0,Ainsley Dalton
0,Alexis Burgess
0,Joseph Fleury
0,Leanette Negron
0,Maia Mikulcik
0,Marielle Prihoda
0,Reese Holiday
0,Sarah Thomas
1,Xavier Muzquiz
3,Alex Nelson
11,Jacob Rich
25,Alyssa Niemaszek
47,Thomas Milana
74,John Fonte
b,r,e,a,k
Brackish,19
teamInfo,,"Hampton, Virginia",,https://www.facebook.com/BrackishUlti/,@BrackishUlti
1,Griffin Must
2,Amelia O'Brien
2,Emily Ashcraft
3,Kent Grantz
7,Taylor Brooks
8,Ryleigh  Tibbetts
9,Ashley Hildreth
10,CK Esche
10,Ian Fletcher
11,Caleb Mathews
19,Tallula Dunn
20,Thomas Funka
21,Delaney Ortiz
25,Austin Kelleher
25,Tatyana Pajarillo
31,Luke Sahli
42,Laura Beaudet
47,Christine Park
66,Cara Wu
72,Hannah Gilden
77,Thomas Hennen
80,William Hayes
96,Jonathan Estes
b,r,e,a,k
Catalyst,4
teamInfo,,"Charlotte, North Carolina",,,
0,Abby Woolington
0,Alora Reiff
0,Andrew Deuschle
0,Chloe Davis
0,David Maser
0,Elizabeth Fleming
0,Hailey Finlay
0,Karina Sheth
0,Kendall Reichbach
0,Kevin Escott
0,Jordan Harn
0,Mark Trompeter
0,Rachel Atkins
0,Will Heisner
0,Yusuf Young
7,Luke Groom
13,Daniel Dehlin
27,Lucy Endean
31,Sheridan Cleave
41,Charles Villano
42,John Ready
47,Ethan Rhodes
48,Erin  McDonough
63,Rithika Vatchavai
72,John Christiansen
77,Josh Matushak
b,r,e,a,k
Brunch Club,5
teamInfo,,"Durham, North Carolina",,,
0,Allan Laviolette
01,Alex Bienkowski
04,Josh Day
05,George Lampron
06,Qing (Jenny) Wei
07,Britt Mercadante
08,Heather Zimmerman
10,Matt Chun
12,Molly Arwood
13,Mason Gardner
16,Shane Donaher
17,Dylan Shields
18,Kelly Merhar
20,Brenna Murray
21,Kyra Catabay
27,Toni Gomes
30,Kevin Lee
52,Michael Pannone
72,Nick Longo
76,George Guthrie
87,Alyssa Irons
88,Christine Bookhout
93,Emily Vickery
b,r,e,a,k
Queen City Gambit,12
teamInfo,,"Cincinnati, Ohio",,,
0,Aislinn DeSieghardt
0,Amelicha Trinidad Gonzalez
0,Camilo Barrera
0,Aaron Ho
0,Cori LaMere
0,Maddie Clark
0,Mallory Clark
0,Ryan Hummel
0,Travis Lynch
0,Wesley  Sexton
3,Connor Shirley
4,Sam Moushey
9,Jake Blue
14,Adele McCune
18,Adam Tardio
18,Lydia Riddell
19,Nate Montgomery
20,Dave Richmond
21,Morgan Novean
25,Nick Siegert
27,Jacob Royster
32,Lexi Yearout
37,Grace Heldwein
63,Katherine Fry
80,Jason Haehl
b,r,e,a,k
Holler!,13
teamInfo,,"Knoxville, Tennessee",,,
0,Bryan Griffith
0,Colby Summers
1,Ellie Wilkins
2,Stefan Dopatka
4,Ashley West
5,Samantha Borchmann
6,Rebecca Fagan
7,Michelle Van Guilder
9,Sarah Hunter
10,Nathan Kenner
11,Logan McDavid
12,Baron West
14,Lauren Pennala
17,Hanna  McClain
19,Bethany Bailey
21,Teveraishe  Mushayamunda
22,Cait Hamilton
24,Matthew Sui
25,Caroline Helms
26,Samuel Swenson-Reinhold
29,Hayden Chappel
42,Caleb Wilkins
47,Allie Mills
69,Eric Shershen
85,Zane Ransburgh
88,Paul Summers
b,r,e,a,k
Verdant,20
teamInfo,,"Greenville, South Carolina",https://www.instagram.com/verdant.ultimate/,,
0,Cooper Strange
0,Daniel Gray
0,Disney Medeiros
0,Brandon Kwietniewski
0,Laura Williams
0,Matthew Abraham
0,Matthew Ellison
0,Melissa Seward
0,Mitchell Fanning
0,Philip Emry
0,Rachel Parrish
0,Ragan Broussard
0,Rylee Bouzek
0,Zachary Giovannini
3,Forrest Nottingham
4,Ryland Bristow
9,Eleanor Bolick
10,Noah Shearer
11,Jonah Childs
12,Asia Johnson
14,Jessica Francois
15,Hunter Hamvas
18,Arianna Edwards
20,Christopher Billman
21,Andrew Brownlow
44,Adam Pohl
b,r,e,a,k
Savannah Wild,21
teamInfo,,"Savannah, Georgia",,,
0,James Miller
01,Christopher Scalzi
02,Kayla Skimin
03,Briana Paxton
04,Sami Chambers 
05,Mackenzie  Carroll
08,Danielle Eiler
09,Chuck Jackson
10,Jasmin Strecker
11,Roxana Gonzalez
12,Gil Robinson
13,Alex Gronau
15,Travis Barber
17,Victoria Thompson
21,Luis Molina
25,Laura Cassetty
28,Gabrielle Murphey
32,James Dusenbury
34,Delaney McAleer
35,Richard Murphy
36,Thomas Kirk
44,Ryan Chubb
48,Sylvester Norris
91,Deonae Jones
b,r,e,a,k
s,t,a,g,e,s
pools,Pool Play
pool,Pool A
Minnesota Star Power,Greenville Hypnotic,13,5,"08/09/2025, 09:00",Pool A,Final
Asheville Parliament,Legion,12,7,"08/09/2025, 09:00",Pool A,Final
Minnesota Star Power,Asheville Parliament,12,13,"08/09/2025, 10:40",Pool A,Final
Murmur,Legion,13,3,"08/09/2025, 10:40",Pool A,Final
Legion,Greenville Hypnotic,11,9,"08/09/2025, 12:20",Pool A,Final
Murmur,Asheville Parliament,12,13,"08/09/2025, 12:20",Pool A,Final
Minnesota Star Power,Legion,0,0,"08/09/2025, 14:00",Pool A,Scheduled
Murmur,Greenville Hypnotic,7,3,"08/09/2025, 14:00",Pool A,In Progress
Minnesota Star Power,Murmur,0,0,"08/09/2025, 15:40",Pool A,Scheduled
Asheville Parliament,Greenville Hypnotic,0,0,"08/09/2025, 15:40",Pool A,Scheduled
pool,Pool B
Conspiracy,Magnanimouse,13,4,"08/09/2025, 09:00",Pool B,Final
Malice in Wonderland,MoonPi,13,4,"08/09/2025, 09:00",Pool B,Final
Conspiracy,Malice in Wonderland,12,11,"08/09/2025, 10:40",Pool B,Final
Roma Ultima,MoonPi,13,7,"08/09/2025, 10:40",Pool B,Final
MoonPi,Magnanimouse,12,11,"08/09/2025, 12:20",Pool B,Final
Roma Ultima,Malice in Wonderland,13,7,"08/09/2025, 12:20",Pool B,Final
Conspiracy,MoonPi,0,0,"08/09/2025, 14:00",Pool B,Scheduled
Roma Ultima,Magnanimouse,0,0,"08/09/2025, 14:00",Pool B,Scheduled
Conspiracy,Roma Ultima,0,0,"08/09/2025, 15:40",Pool B,Scheduled
Malice in Wonderland,Magnanimouse,0,0,"08/09/2025, 15:40",Pool B,Scheduled
pool,Pool C
FlyTrap,Brackish,13,4,"08/09/2025, 09:00",Pool C,Final
WingDings 2,MCO,13,9,"08/09/2025, 09:00",Pool C,Final
FlyTrap,WingDings 2,12,10,"08/09/2025, 10:40",Pool C,Final
Pyro,MCO,9,8,"08/09/2025, 10:40",Pool C,Final
MCO,Brackish,11,9,"08/09/2025, 12:20",Pool C,Final
Pyro,WingDings 2,12,11,"08/09/2025, 12:20",Pool C,Final
FlyTrap,MCO,0,0,"08/09/2025, 14:00",Pool C,Scheduled
Pyro,Brackish,0,0,"08/09/2025, 14:00",Pool C,Scheduled
FlyTrap,Pyro,0,0,"08/09/2025, 15:40",Pool C,Scheduled
WingDings 2,Brackish,0,0,"08/09/2025, 15:40",Pool C,Scheduled
pool,Pool D
Queen City Gambit,Holler!,13,7,"08/09/2025, 09:00",Pool D,Final
Brunch Club,Savannah Wild,13,8,"08/09/2025, 09:00",Pool D,Final
Catalyst,Verdant,12,9,"08/09/2025, 09:00",Pool D,Final
Catalyst,Queen City Gambit,13,5,"08/09/2025, 10:40",Pool D,Final
Verdant,Savannah Wild,12,11,"08/09/2025, 10:40",Pool D,Final
Brunch Club,Holler!,13,5,"08/09/2025, 10:40",Pool D,Final
Catalyst,Savannah Wild,13,4,"08/09/2025, 12:20",Pool D,Final
Brunch Club,Queen City Gambit,13,9,"08/09/2025, 12:20",Pool D,Final
Holler!,Verdant,13,5,"08/09/2025, 12:20",Pool D,Final
Holler!,Savannah Wild,0,0,"08/09/2025, 14:00",Pool D,Scheduled
Catalyst,Brunch Club,0,0,"08/09/2025, 14:00",Pool D,Scheduled
Queen City Gambit,Verdant,0,0,"08/09/2025, 14:00",Pool D,Scheduled
b,r,e,a,k
brackets,Championship
bracket,Championship
bracket,3rd place
bracket,5th Place
bracket,7th place
b,r,e,a,k
brackets,9th place
bracket,9th place
bracket,11th place
bracket,13th place
bracket,15th place
b,r,e,a,k
brackets,17th place
bracket,17th place
bracket,Game 1
bracket,Game 2
b,r,e,a,k
