Vacationland 2025,Club - Mixed ,2,8,2025
South Portland,ME,2025-08-02,2025-08-03
https://play.usaultimate.org/events/Vacationland-2025/schedule/Mixed/Club-Mixed
Zero Strategy,1
34,Ben Weintraub
37,Anna Shorb
39,Victoria Zhang
44,Eric Freitag
69,Man Nguyen
72,Joseph Sadok
81,Alexander Velberg
b,r,e,a,k
League of Shadows,6
teamInfo,,"Boston, Massachusetts",,,http://www.twitter.com/los_ultimate
0,Evan Hu
0,Irene Ren
0,Jack Deschler
0,Jonas von Milczewski
0,Julia Leung
0,Christina Stellwagen
0,Daniel Chen
0,Lila Nields-Duffy
0,Matthew Cote
0,Matthew Landis
0,Michelle Wu
0,Morgan Banta-Ryan
0,Sakina Cotton
0,Sam VanNoy
0,Sophie Bodine
0,Terren Moore
0,Zoe Honigberg
2,Theodore Bisdikian
5,David Huang
9,Kyle Huang-Liu
17,Lillian Huang
29,Tate Tabtieng
33,Sara Putnam
77,Matthew Fasano
96,Mina Bozeman
97,Adele Kong
b,r,e,a,k
Darkwing,4
teamInfo,,"Mansfield, Massachusetts",http://www.darkwingultimate.com,,https://twitter.com/Darkwing_Mixed
0,Adrian Staples
0,Alicia Chang
0,Clare Heine
0,Elle Burstein
0,Emet Schwartz
0,En Le Samborski
0,Grace Erlinger
0,Linnaea McGuinness
0,Melissa Tong
0,Rona Liu-Zhong
0,Sage Fuller
1,Bernard Wang
5,Conor Dowling
5,Andrew Pillsbury
17,Magdalene Pizzo
20,Prosser Friedman
20,David Friedman
24,Claire Slattery
27,Felipe Delgado
30,Ethan Iannicelli
33,Nick Jewell
35,Ashley Schlinger
36,Lilly Yang-Schmidt
99,Kunzang Namgyal
b,r,e,a,k
The Buoy Association,5
teamInfo,,"Portland, Maine",,,
0,Adelle Pitsas
0,Andrew Applegate
0,Devany Pitsas
0,Ella Leding
0,Frank Weng
0,Haley  Hemeon
0,Ian Engler
0,Jared Jandreau
0,Joe Newlin
0,Julian Erickson-Watson
0,Lauren Baecher
0,Olivia Phillips
0,Rachael Westgate
0,Robby Perkins-High
0,Robert Lewis-Nash
2,Ian McClelland
3,Kate Powers
4,Myles Maxson
5,Pearce Kelley
6,Liz Crawford
9,Samantha Munson
11,Paul Rees II
15,Layla  Wissink
20,Cameron Barth
27,Audrey Love
47,Alex Rowell
b,r,e,a,k
Big Rig,2
teamInfo,,"Burlington, Vermont",,,
0,Maximilian Fontana
00,Chase Drinkwater
01,Kuochuan Ponzio
02,Erik Arnold
03,Zoe Bishop
04,Grant Goodale
05,Kalei Foley-Rutherfurd
07,Scout Harper
09,True Hanson
11,Emma Lavigne
12,Anna Isselhardt
13,Cale Ellingson
14,Izzy Laramee
16,Meribel Collin
17,Maren Hennessy
18,Ella Polli
21,Kayla Tashiro
24,Seth Fisher-Olvera
25,Abby Bunting
30,Isabelle Alfano
34,Jovan Strange
44,Emily Pozzy
69,Innocent Ndikuriyo
72,Krane Davis
84,Wyatt Smith
89,Jack Rice
b,r,e,a,k
Scarecrow,10
teamInfo,,"Salem, New Hampshire",,www.facebook.com/ScarecrowUltimate/,www.twitter.com/ScarecrowMixed
0,Amana Vander-Heyden
0,Olivia Sarkis
0,Trent Linker
00,Hudson Carr
01,Ryan Creamer
02,Colby Jacques
05,Tyler Hall
06,Elizabeth Menard
07,Weston Bartlett
09,Jay Delani 
11,Alex Joseph
13,Teddy Campbell
14,Nancy Bush
15,Stephanie Esker
20,Isabel Peress
26,Michelle Merritt
28,Jenna Connolly
33,Mark Connolly
40,Jacee Cox
44,Chelsea Mower
48,Lauren Bevilacqua 
52,Anthony Bevilacqua
58,Tim Murphy
73,Sarah Dell'Amore
99,Ryan Benincase
b,r,e,a,k
Bench,7
teamInfo,,"albany, New York",,,
0,Chris Lavery
0,Joseph Byerly
0,Kaitlyn Clay
0,Megan Giamei
0,Moiz Steenhuis
0,Morgan Talbot
0,Rebecca Brown-Weinstock
0,Sherry Sebesta
0,Simon Phippen
6,Sam Phippen
15,Diane Dreifuss
24,Max Morse
36,Billy Daniels
74,Ian Daughton
76,Josiah Mace
87,Margaret Nelson
b,r,e,a,k
T Party,13
teamInfo,,"Boston, Massachusetts",www.instagram.com/tpartyultimate,,www.twitter.com/tpartyultimate
0,Candace Adelberg
0,Colby LaGrassa
0,Deanna DeLuca
0,Edmund Burr
0,Erica Salazar
0,Gabriella Fernando-McKinley
0,Ian Cutler
0,Ian Campbell
0,Isabel Cummings
0,Andy Yu
0,Kelton Aldridge
0,Marley Dickson
0,Nazahah Hasan
0,Safi Chalfin-Smith
0,Sam Hurley
0,Sean Fallon
0,Simret Semine
0,Sydney Weiner
6,Aidan Ahern
8,Piper Van Kerkhove
13,Sarah Antilla
20,Jacob Maynard
23,Samuel Wilk
26,Souichi Terada
37,Brennan Cain
99,Miles Cruice-Barnett
b,r,e,a,k
Quahogs,11
teamInfo,,"Providence, Rhode Island",,,
0,Brandon DiGiulio
0,Brian Walsh
0,Elizabeth Perry
0,Julien Song
0,Miranda Kramer
0,Samantha Bertherman
0,Sarah Heavren
3,Jeremy Maltz
20,Donnelly Roberts
20,Paul Warmington
26,Nick Love
35,Pierre-Yves Lavertu
b,r,e,a,k
UV Rays,18
teamInfo,,"West Lebanon, New Hampshire",,,
0,Felix Ackerman
0,Gregory Schwarz
0,Jacqueline Oakes
0,Jonas Cole
0,June Clark
0,Leah Twarog
0,Liv Erhard
0,Alexis  Jamba 
0,Benjamin Rosenfeld
0,Nora Knudsen
0,Peter Duggins
0,Pierce Clark
0,Sarah Booker
0,Sonia Howlett
0,Stefan Mack
0,Zachary Nolan
4,Caroline Wright
10,Aran Sheehan
11,Derek Williamson
14,Camaron Phillips
14,Matthew Christie
25,Cori Hirai
46,Michael Ferrante
b,r,e,a,k
Taproot,16
teamInfo,,"Northampton, Massachusetts",,,
02,Aidan McGovern
03,Jason Cooper
04,Sadie Bromberg
06,Sam Frieze
08,Derek Grimm
10,Reese Laviolette
11,Kyle Taylor
17,Adam Sussbauer
18,Madeleine Kruckemeyer
19,Sage Campbell
20,Dylan Hannaford
24,Elle Christakos
25,Jade Rousseau
26,Karleen Schaffer 
27,Lucas Verrastro
28,Edward (Teddy) Schaffer
29,Madison Hill
32,Leo Merleaux
40,Noam Perlmutter
41,Yotam Tubul
42,Kaleb Zuckerman
b,r,e,a,k
Aged Cheddar,12
teamInfo,,"Burlington, Vermont",,,
0,Allyson Fenton
0,Bex Marmor
0,Dominique Erly
0,Emily McDonald
0,Gregory Conway
0,Heng-Scheng Chuang
0,Bill Schrecker
0,Jess Mizzi
0,Kendra Smythe
0,Liza Boyle
0,Michael Fife
0,Molly Smith
0,Sarah Wittman
0,Stacy Huffstetler
2,Jonathan Davis
9,Arthur Chukhman
19,Kathleen Janosik
27,Alex Vorce
39,David Ross
44,Bhavatarini Carr
51,Syrus Amedore
52,Ian Erly
81,Shuang Wu
b,r,e,a,k
Rainbow,15
teamInfo,,"Somerville, Massachusetts",https://www.rainbowultimate.com,https://www.instagram.com/rainbowultimate/,
0,Grace Horne
00,Jason Park
00,Jay Turner
00,Jess Godes
00,Jonathan Cass
00,Justin Hudson
00,Lauren Murphy
00,Megan Connelly
00,Natalie Carter
00,Nick Close
00,Rachael Elliott
00,Sam Helderop
00,Timothy Whitworth
00,Walter Lenoir
00,William Maharry
00,Zhihan Xu
00,Alison Collins
00,Angelina Heyler
00,Anna Heavey
00,Cheni Chadowitz
00,Daniel Bellow
00,Emily Seto
00,Erin Barno
26,Lizzie Seibert
b,r,e,a,k
Lobster Disque,17
teamInfo,,"Portland, Maine",,,
0,Benjamin Watson
0,Dalton Burroughs
0,Josephine Bouchard
0,Justin Grimaldi
0,Kelly Matysik
0,Laddy DeLuca Lowell
0,Marc Flore
0,Pat Dalton
0,Sarah Capute
0,Theo Lemonnier
12,Rodrigo Arcibar
12,Owen Jacobsen
42,Anna Barron
b,r,e,a,k
Hartford Current,14
teamInfo,,"Hartford, Connecticut",,,
0,Anika Alschuler
0,Anna Abou-Francis
0,Brendan Slack
0,Darrell Gorneault
0,David Sands
0,Elizabeth Garten
0,Hyun Kyung Lee
0,Jessica Hart
0,Katherine Wright
0,Kayla Pollman
0,LaMar Anderson
0,Michael Cuan
0,Rufus Abraham
0,Sean LaFleur
0,Timothy Scalzi
0,Travis McClay
0,Amanda Sagers
7,Jessica Hatrick
13,Umang Gangwar
13,Amelia Colombo
14,Dominic D'Aurio
26,Joshua Kennedy
43,Joshua Kish
82,Andrew Fogil
b,r,e,a,k
s,t,a,g,e,s
pools,Elite Pool
pool,Pool A
League of Shadows,Young and the Restless,6,13,"08/02/2025, 09:00",Pool A,Final
Zero Strategy,Odyssée,13,11,"08/02/2025, 09:00",Pool A,Final
Zero Strategy,Young and the Restless,13,9,"08/02/2025, 10:50",Pool A,Final
Odyssée,Lampshade,13,4,"08/02/2025, 10:50",Pool A,Final
Zero Strategy,League of Shadows,13,8,"08/02/2025, 12:40",Pool A,Final
Young and the Restless,Lampshade,10,13,"08/02/2025, 12:40",Pool A,Final
Zero Strategy,Lampshade,13,5,"08/02/2025, 14:30",Pool A,Final
Odyssée,League of Shadows,13,6,"08/02/2025, 14:30",Pool A,Final
Odyssée,Young and the Restless,13,4,"08/02/2025, 16:20",Pool A,Final
League of Shadows,Lampshade,0,0,"08/02/2025, 16:20",Pool A,Scheduled
pool,Pool B
The Buoy Association,Bench,13,5,"08/02/2025, 09:00",Pool B,Final
Big Rig,Darkwing,13,10,"08/02/2025, 09:00",Pool B,Final
Big Rig,Bench,10,9,"08/02/2025, 10:50",Pool B,Final
Darkwing,Scarecrow,13,7,"08/02/2025, 10:50",Pool B,Final
Big Rig,The Buoy Association,10,13,"08/02/2025, 12:40",Pool B,Final
Bench,Scarecrow,10,12,"08/02/2025, 12:40",Pool B,Final
Darkwing,Bench,13,5,"08/02/2025, 14:30",Pool B,Final
The Buoy Association,Scarecrow,13,4,"08/02/2025, 14:30",Pool B,Final
Big Rig,Scarecrow,0,0,"08/02/2025, 16:20",Pool B,Scheduled
Darkwing,The Buoy Association,13,6,"08/02/2025, 16:20",Pool B,Final
b,r,e,a,k
pools,Classic Pool
pool,Pool C
Taproot,UV Rays,12,11,"08/02/2025, 09:00",Pool C,Final
Quahogs,T Party,11,13,"08/02/2025, 09:00",Pool C,Final
Quahogs,Taproot,13,7,"08/02/2025, 10:50",Pool C,Final
T Party,UV Rays,13,5,"08/02/2025, 10:50",Pool C,Final
T Party,Taproot,13,11,"08/02/2025, 12:40",Pool C,Final
Quahogs,UV Rays,10,12,"08/02/2025, 12:40",Pool C,Final
pool,Pool D
Aged Cheddar,Rainbow,13,4,"08/02/2025, 09:00",Pool D,Final
Hartford Current,Lobster Disque,8,11,"08/02/2025, 09:00",Pool D,Final
Hartford Current,Rainbow,8,12,"08/02/2025, 10:50",Pool D,Final
Aged Cheddar,Lobster Disque,13,3,"08/02/2025, 10:50",Pool D,Final
Rainbow,Lobster Disque,13,8,"08/02/2025, 12:40",Pool D,Final
Aged Cheddar,Hartford Current,13,2,"08/02/2025, 12:40",Pool D,Final
b,r,e,a,k
brackets,Elite Bracket
bracket,Elite Championship
bracket,3rd Place
bracket,5th Place
bracket,7th Place
b,r,e,a,k
pools,Sunday Pool
pool,Pool F
T Party,Aged Cheddar,0,0,"08/03/2025, 13:00",Pool F,Scheduled
b,r,e,a,k
clusters,Sunday Cross
cluster,Crossover
Quahogs,Lobster Disque,0,0,"08/03/2025, 09:00",,Scheduled
Rainbow,UV Rays,0,0,"08/03/2025, 09:00",,Scheduled
Taproot,Hartford Current,0,0,"08/03/2025, 09:00",,Scheduled
Quahogs,Rainbow,0,0,"08/03/2025, 11:00",,Scheduled
UV Rays,Hartford Current,0,0,"08/03/2025, 11:00",,Scheduled
Lobster Disque,Taproot,0,0,"08/03/2025, 11:00",,Scheduled
Quahogs,Hartford Current,0,0,"08/03/2025, 13:00",,Scheduled
UV Rays,Lobster Disque,0,0,"08/03/2025, 13:00",,Scheduled
Rainbow,Taproot,0,0,"08/03/2025, 13:00",,Scheduled
b,r,e,a,k
