Corny Classic College 2025,College - Men ,29,3,2025
Urbana,IL,2025-03-29,2025-03-30
https://play.usaultimate.org/events/Corny-Classic-College-2025/schedule/Men/CollegeMen/
Illinois,1
0,Chase Zeller
0,David Durrance
0,Dillon McCracken
0,Evan Bevill
0,Jackson Odom
0,Kadyn  Fleischmann 
0,Mason Baker
0,Matthew Hinkle
0,McCauley Baker
0,Nathan Wilding
44,Levi Branan
b,r,e,a,k
Michigan Tech,6
teamInfo,DiscoTech,"Houghton, Michigan",,,https://twitter.com/DiscoTechUlti
coaches,Michael Merwin
1,Donn Bacon
2,Ben Resar
3,Kelty Blastic
5,Aidan Sheppard
7,Alex Krawza
8,Rivers DeShano
9,Samuel Mayer
10,Liam Guenin
11,Ryan Schwartz
12,Nicholas Rudigier
13,Tom Powell
14,Hugh Hanlon
15,Tom Dolan
16,Joshua Duer
17,Hieu Theriault
19,Ben Perry
23,Isaac Hannewald
26,Isaiah Hilkemann
28,Joshua Kozlowski
32,Ethan Emerick
45,Matthew Oujiri
48,Michael Friese
60,Aristotle Pappajohn-Goldade
69,Morrison Arendall
77,Trace Wilke
85,Christian Conway
87,Ethan Gerds
99,Thomas McClelland
b,r,e,a,k
Vanderbilt,9
teamInfo,Armada,"Nashville, Tennessee",https://vanderbiltultimate.github.io/,,https://twitter.com/VUarmada
01,Brinnan Smith
02,Robert Schweikert
06,Stanley Zheng
08,Justin Kong
10,Nima Bahri
12,Travis Siebe
13,David McFarlane
15,Ethan Jones
16,Beema Rajan
18,Nahum Endale
19,Marius Schueller
23,Matthew Helou
27,Ben Curley
29,Kanu Shetkar
30,Aidan Ye
37,Wenrong Wu
37,Justin Yoo
48,Shueib  Khweis
50,James Cross
55,Isaac Schapiro
72,James Korin
77,Nicholas  Forster-Benson
85,Charlie Fairfax
95,Joseph  Bahk
98,YuXiang Lu
99,Andrew Overdeck
b,r,e,a,k
Purdue (B),12
teamInfo,CTRL-Z,"West Lafayette, Indiana",,,
0,Evan Washo
0,Jake Broy
0,Jason Yi
0,Jeremy Moon
0,Max Barish
0,Michael Martin
0,Miles Cohen
0,Nolan Matthews
0,Sam Singh
0,Benjamin  Whitehill
0,Chengen Tsan
0,Daniel Kelley
0,Tyler Schmitt
12,Samuel Yager
14,Diego Morales
b,r,e,a,k
Illinois (B),10
teamInfo,Boomland,"Champaign, Illinois",,,https://twitter.com/boomlandulti?lang=en
6,Matthew Conroy
7,Ronin Banerjee
8,Sujay Subramanian
10,Sam Dong
11,Ryan Hof
13,Jackson Kiedaisch
14,Shea Sturtevant
16,Michael Hu
19,Declan Delgado
21,Kevin Tanner
23,Erik Rothenberger
24,Rohil Saxena
25,Arnav Poddar
28,Zichao Lin
29,Jeff Gao
30,Gang Xu
36,Jeff Burda
38,Nick Owen
41,Abbey Mullen
51,Michael Iarrapino
67,Robert Skrentny
84,Ben Lareau
87,Elliot Weisfeld
88,Eric Ho
b,r,e,a,k
Loyola-Chicago,11
teamInfo,Darkwing,"Chicago, Illinois",http://loyolaultimate.wixsite.com/darkwing,,
0,Aidan Chapman
0,Aran Baphna
0,Diedrick Nikoi
0,Elliott Laibson-Brown
0,Brennan Perkins
0,James Warholy
0,Kelvin Nguyen
0,Matthew Kumar-Montei
0,Max Wuest
0,Nate Pascale
0,Otto Koops-Elson
0,Owen Cooper
0,Sameeh Shafi
0,Samuel Libis
0,William Gresh
2,Bjorn Anderson
3,Britton Cone
3,Will Betterman
6,Michael Quiroga
14,Maxwell Mercer
18,Anthoine  Godin 
22,George Gustafson
23,Sebastian Kirkpatrick
24,Anthony Scibelli
29,Jack Kuhlman
33,Jude Ratajczak
77,Leo Engelke
77,James Goodfriend
99,Nicholas Rottman
b,r,e,a,k
Toledo,13
teamInfo,Savage,"Toledo, Ohio",,,
0,Jack Hoffman
2,Isaac Plamondon
6,Jakob Nutter
16,Aaron Glass
23,Benjamin Brunswick
24,Caden Emmons
25,Kayden Eric Scott Strecker
30,Benjamin Jones
69,Noah Blanton
95,Colin Smith
b,r,e,a,k
Purdue (C),22
teamInfo,CTRL X,"West Lafayette, Indiana",,,
0,Atlas Lehoczky Escobar
0,Austin Roach
0,Caden Jarausch
0,Charles Behrman
0,Finley Bray
0,George Panagos
0,Nickolas Azanov
0,Owen  Hastings
0,Samuel Zipes
0,Ty Banks
0,Justin Tate
4,Milo Chrudimsky
7,Nathan Lee
21,Jake Altom
69,Joseph  McLoughlin
b,r,e,a,k
Missouri State,18
teamInfo,Missouri State Ultimate,"Springfield, Missouri",,,
0,Josh Lowe
0,Major Cardin
2,Ryan Alber
3,Andrew Trimble
7,Nicholas Giannotti
19,Leif Miller
21,Payton Jaggie
25,Ryan Rogers
26,Joe Cota
33,Zachary Norris
b,r,e,a,k
North Park,19
teamInfo,Lost Boys,"Chicago, Illinois",,https://www.facebook.com/nplostboys,https://twitter.com/NPLostBoys
0,Adrian  Martinez-Jones
0,Calum Draper
0,Chenghao Li
0,Daniel Baker
0,Kyama Webb
0,Markos Mamalakis
0,Matthew Crozier
0,Roswell Omandam
0,Seamus Smith
0,Ty Hawkinson
b,r,e,a,k
Wright State,14
teamInfo,Airstrike,"Dayton, Ohio",,https://www.instagram.com/wrightst_ulti/?hl=en,https://twitter.com/WrightStateUlti
0,Blake Colegrove
0,Daniel Blackburn
0,Gabriel Droesch
0,Isaac Lees
0,Jason Moore
0,Cade Mason
0,Kenny Kight
2,Carter Rockenbaugh
7,Coleman Fox
8,Blake  Eickholt
9,Austin Schutz
20,Nathan Ziemnik
23,David Steimle
24,David Lees
32,Baylee  Jost
45,Dawson Jenkins
52,Jeremiah  Carter
87,Pierce Hamilton
99,Bryant Smith
b,r,e,a,k
Illinois (C),23
teamInfo,Cornland,"Urbana, Illinois",,,
0,Eric Zheng
0,Patrick Huang
00,JT DeLongchamp
12,Cesar Espinoza
15,Samuel Wleklinski
17,Kent Kampa
22,Alexander Zielinski
32,Shovan Jagadev
40,Maxwell Hong
42,Jonathan Kang
54,John Smolen
77,Nicholas Burns
96,Kyle Goetting
b,r,e,a,k
Ohio (B),17
teamInfo,Bass,"Athens, Ohio",,,
0,Anthony Midkiff
0,Brogen Kapela
0,Colin Sauerbrunn
0,Jack Meermans
0,Jack Thompson
0,Jim Larkin
0,Justin Douglas
0,Justin Moeller
0,Landon Chrislip
0,Noah David
0,Owen Pastirik
0,Parker McColeman
9,Jack Thompson
19,Noah Mosack
34,Aidan Valentine
77,Casey Greenfield
b,r,e,a,k
Bradley,20
teamInfo,Angry Otters,"Peoria, Illinois",,,
1,Zachary Alt
5,Matas Mikuckas
9,Elliott Hohulin
9,Andrew Kurtz
10,Alex Svoboda
13,Jordan Schlueter
22,Alex Phan
27,Daniel Sikora
66,Oscar Wright
73,Nick Svoboda
b,r,e,a,k
Ball State,15
teamInfo,Wizardz,"Muncie, Indiana",,,
02,Alex Konz
03,Trey  Koch 
04,Sebastian Glass
05,Adam Boesen
06,Harper Dotas
07,Parker Smith
09,Ethan Elliott-Halinski
10,Deeleiloh Allie
11,Cody Adkins
14,Landon Weller
15,Charlotte Hollingshead
17,William Sullivan
21,Elijah Whitman
22,dylan barkey
24,Connor Russell
25,Conner Newby
27,Jarrett Puma
30,Nolan Stout
32,Tyler Robertson
33,Jack Eads
36,Trenton Southern
69,Matilyn Rhoades
72,Gavin Grossman
73,Liam Robertson
88,Jakob Orth
99,Steven Hankins
b,r,e,a,k
Knox,16
teamInfo,River Rats,"Galesburg, Illinois",,,
0,Finnegan Hautau
0,Jake Shelton
0,James Thompson
0,Luka Vorobyov
0,Max Hoffman
0,Richie Dix
0,Tioluwani Olubunmi
0,Vyaas Subramanian
0,Zach Shack
0,Zachary Benson
0,Christian Wallace
0,Divyesh Shrestha
46,Ethan Lundblad
78,Colton Degen
b,r,e,a,k
Notre Dame (B),21
teamInfo,Opus D's,"Notre Dame, Indiana",,,
0,Matthew Corsino
0,Paul Snyder
0,Ryan Williams
0,Ryan Hulla
0,Benjamin Walsh
0,George Xu
0,Will Stotz
19,Aidan Finn
69,Tre Lohre
73,Kevin Murawski
b,r,e,a,k
s,t,a,g,e,s
pools,Saturday Pool Play
pool,Pool A
Illinois,Dayton,12,11,"03/29/2025, 09:30",Pool A,Final
Butler,Grand Valley,12,11,"03/29/2025, 09:30",Pool A,Final
Illinois,Grand Valley,10,8,"03/29/2025, 11:00",Pool A,Final
Butler,Dayton,7,11,"03/29/2025, 11:00",Pool A,Final
Illinois,Butler,13,5,"03/29/2025, 12:30",Pool A,Final
Dayton,Grand Valley,9,10,"03/29/2025, 12:30",Pool A,Final
pool,Pool B
Asbury,Michigan Tech,13,8,"03/29/2025, 08:00",Pool B,Final
Lipscomb,Ohio,11,12,"03/29/2025, 08:00",Pool B,Final
Asbury,Ohio,12,5,"03/29/2025, 11:00",Pool B,Final
Lipscomb,Michigan Tech,10,9,"03/29/2025, 11:00",Pool B,Final
Asbury,Lipscomb,13,5,"03/29/2025, 12:30",Pool B,Final
Michigan Tech,Ohio,8,9,"03/29/2025, 12:30",Pool B,Final
b,r,e,a,k
clusters,Pool C Clipped
cluster,Pool C Clipped
Vanderbilt,Purdue (B),13,6,"03/29/2025, 11:00",,Final
Illinois (B),Loyola-Chicago,4,6,"03/29/2025, 11:00",,Final
Vanderbilt,Loyola-Chicago,10,6,"03/29/2025, 12:30",,Final
Purdue (B),Illinois (B),7,9,"03/29/2025, 12:30",,Final
b,r,e,a,k
clusters,Clipped Pool D
cluster,Clipped Pool D
Toledo,Purdue (C),12,8,"03/29/2025, 08:00",,Final
Missouri State,North Park,13,1,"03/29/2025, 08:00",,Final
Toledo,Missouri State,11,9,"03/29/2025, 09:30",,Final
Purdue (C),North Park,7,8,"03/29/2025, 09:30",,Final
b,r,e,a,k
clusters,Clipped Pool E
cluster,Clipped Pool E
Wright State,Illinois (C),13,3,"03/29/2025, 08:00",,Final
Ohio (B),Bradley,3,13,"03/29/2025, 08:00",,Final
Wright State,Bradley,10,6,"03/29/2025, 09:30",,Final
Illinois (C),Ohio (B),1,10,"03/29/2025, 09:30",,Final
b,r,e,a,k
pools,Pool F
pool,Pool F
Knox,Notre Dame (B),13,2,"03/29/2025, 08:00",Pool F,Final
Ball State,Notre Dame (B),13,6,"03/29/2025, 09:30",Pool F,Final
Ball State,Knox,10,7,"03/29/2025, 11:00",Pool F,Final
b,r,e,a,k
clusters,Consolation Pool 
cluster,Consolation 17-23
Notre Dame (B),Purdue (C),4,13,"03/29/2025, 12:30",,Final
Illinois (C),Purdue (C),3,13,"03/29/2025, 14:00",,Final
Notre Dame (B),Illinois (C),F,W,"03/29/2025, 15:30",,Final
Purdue (B),Notre Dame (B),5,6,"03/30/2025, 08:00",,Final
North Park,Bradley,6,5,"03/30/2025, 09:30",,Final
Wright State,Purdue (C),5,4,"03/30/2025, 11:00",,Final
North Park,Wright State,3,2,"03/30/2025, 12:30",,Final
Purdue (B),Illinois (C),7,6,"03/30/2025, 12:30",,Final
Bradley,Notre Dame (B),6,5,"03/30/2025, 12:30",,Final
North Park,Purdue (B),0,0,"03/30/2025, 14:00",,Cancelled
Wright State,Illinois (C),0,0,"03/30/2025, 14:00",,Cancelled
Bradley,Purdue (C),0,0,"03/30/2025, 14:00",,Cancelled
b,r,e,a,k
clusters,Power Crossover
cluster,Power Crossover
Illinois,Asbury,8,7,"03/30/2025, 08:00",,Final
Dayton,Ohio,8,11,"03/30/2025, 08:00",,Final
b,r,e,a,k
brackets,Sunday Bracket
bracket,Championship Bracket
Illinois,Asbury,7,6,"03/30/2025, 12:30",Championship,Final
Illinois,Grand Valley,13,8,"03/30/2025, 11:00",Semi,Final
Lipscomb,Asbury,7,8,"03/30/2025, 11:00",Semi,Final
Vanderbilt,Illinois,7,9,"03/30/2025, 09:30",Quarters,Final
Grand Valley,Dayton,10,7,"03/30/2025, 09:30",Quarters,Final
Lipscomb,Ohio,9,8,"03/30/2025, 09:30",Quarters,Final
Michigan Tech,Asbury,6,8,"03/30/2025, 09:30",Quarters,Final
Vanderbilt,Butler,13,10,"03/29/2025, 15:30",Pre Quarters,Final
Grand Valley,Toledo,13,7,"03/29/2025, 15:30",Pre Quarters,Final
Lipscomb,Illinois (B),13,4,"03/29/2025, 15:30",Pre Quarters,Final
Michigan Tech,Ball State,12,6,"03/29/2025, 15:30",Pre Quarters,Final
Purdue (B),Toledo,3,12,"03/29/2025, 14:00",Playins to Championship,Final
Illinois (B),Wright State,9,5,"03/29/2025, 14:00",Playins to Championship,Final
Loyola-Chicago,Ball State,9,10,"03/29/2025, 14:00",Playins to Championship,Final
bracket,3rd Place
Grand Valley,Lipscomb,8,7,"03/30/2025, 12:30",3rd place,Final
bracket,5th Place
Vanderbilt,Michigan Tech,6,5,"03/30/2025, 12:30",5th,Final
Vanderbilt,Dayton,10,9,"03/30/2025, 11:00",5th-8th,Final
Ohio,Michigan Tech,7,10,"03/30/2025, 11:00",5th-8th,Final
bracket,7th Place
Dayton,Ohio,7,6,"03/30/2025, 12:30",7th,Final
b,r,e,a,k
brackets,9-16 Bracket
bracket,9th place Bracket
Toledo,Illinois (B),6,7,"03/30/2025, 11:00",9th Place,Final
Loyola-Chicago,Toledo,4,11,"03/30/2025, 09:30",9th Semis,Final
Illinois (B),Missouri State,8,7,"03/30/2025, 09:30",9th Semis,Final
Butler,Loyola-Chicago,0,1,"03/30/2025, 08:00",9th Quarters,Final
Toledo,Knox,11,6,"03/30/2025, 08:00",9th Quarters,Final
Illinois (B),Ohio (B),9,4,"03/30/2025, 08:00",9th Quarters,Final
Ball State,Missouri State,3,12,"03/30/2025, 08:00",9th Quarters,Final
North Park,Loyola-Chicago,9,10,"03/29/2025, 15:30",Play-Ins 9-16,Final
Knox,Wright State,11,7,"03/29/2025, 15:30",Play-Ins 9-16,Final
Ohio (B),Purdue (B),1,0,"03/29/2025, 15:30",Play-Ins 9-16,Final
Missouri State,Bradley,1,0,"03/29/2025, 15:30",Play-Ins 9-16,Final
bracket,11th Place
Loyola-Chicago,Missouri State,4,8,"03/30/2025, 11:00",11th Place,Final
bracket,13th-16th Place
Knox,Ball State,0,0,"03/30/2025, 14:00",13th Place,Cancelled
Butler,Knox,0,1,"03/30/2025, 12:30",13-16,Final
Ohio (B),Ball State,4,5,"03/30/2025, 12:30",13-16,Final
bracket,15th Place
Butler,Ohio (B),0,1,"03/30/2025, 14:00",15th Place,Cancelled
b,r,e,a,k
