2025 Great Lakes Mixed Regional Championship,Club - Mixed ,20,9,2025
Indianapolis,IN,2025-09-20,2025-09-21
http://play.usaultimate.org/events/2025-Great-Lakes-Mixed-Regional-Championship/schedule/Mixed/Club-Mixed
Hybrid,1
04,Tyler ODonnell
10,Macey Malek
12,McKenna Mee
14,Tristan Bowerman
16,Sophie Stewart
18,Joyce Liang
19,Beth Quisenberry
22,Isaac Plamondon
24,Emma Sutton
26,Maaike Wielenga
29,Sydney Brew
30,Michael Parnas
32,Melissa Herta
35,Jon Gibson
36,Stephan Maxe
42,David Backus
44,Joshua Osinski
47,Jillianne  Engen
49,Nicholas Kraft
88,Trey Taliaferro
b,r,e,a,k
RAMP,5
teamInfo,,"Chicago, Illinois",http://rampultimate.com/,,https://twitter.com/RAMP_ultimate
0,Abigail Pavlicek
0,Alexandra Moxley
0,Anna Martinello
0,DeAngelo Barragan
0,Ellie Lind
0,Emily Molloy
0,Eric Wong
0,Ethan Jones
0,Gina Stees
0,Christopher Nowak
0,Conrad Nguyen
0,ManHua Zhu
0,Molly Cowley
0,Nathan King
0,Samuel DeVine
0,Seokhee Burningham
0,Tess Buchanan
8,Peter Walsh
20,Courtney Rachke
30,Caleb Moran
31,Justin Forman
32,Sean McSweeney
47,Penelope Wu
71,Matt Gubernick
94,Gloria Adeola
b,r,e,a,k
Melonheads,16
teamInfo,,"Byron Center, Michigan",,https://www.facebook.com/profile.php?id=61573638674323,
02,Juraj Hurny
03,Julia Jones
04,Corie Auger
05,Sharon Hecker
08,Joe Kowalkowski
11,Jacklyn Hallett
12,Lucie Roy
14,Megan  Huggett
15,Rebekah Van Zoest
18,Eric Kas
20,Avery Smith
22,Bridget Bevins
23,Tamara Kas
33,Justin Kragt
44,Megan Grygiel
46,Anthony Heath
47,Christopher O'Brien
51,Joseph Cubitt
66,Dora Henry
67,Aidan Williams 
69,Isaac Hagedorn
77,Zach Dix
84,Michael Weber
87,Chandler Carey
88,Jesse Otten
95,Kaciana Champlin
b,r,e,a,k
s,t,a,g,e,s
pools,Pool Play
pool,Pool A
Hybrid,Nothing's Great Again (aka Babymaker),15,4,"09/20/2025, 09:00",Pool A,Final
Queen City Gambit,Lightning,15,12,"09/20/2025, 09:00",Pool A,Final
Hybrid,Lightning,15,3,"09/20/2025, 11:00",Pool A,Final
Queen City Gambit,Nothing's Great Again (aka Babymaker),10,8,"09/20/2025, 11:00",Pool A,Final
Hybrid,Queen City Gambit,15,1,"09/20/2025, 13:00",Pool A,Final
Nothing's Great Again (aka Babymaker),Lightning,14,12,"09/20/2025, 13:00",Pool A,Final
pool,Pool B
UNION,Spectre,15,8,"09/20/2025, 09:00",Pool B,Final
Toast!,Trex Mix,14,15,"09/20/2025, 09:00",Pool B,Final
UNION,Trex Mix,15,7,"09/20/2025, 11:00",Pool B,Final
Toast!,Spectre,12,11,"09/20/2025, 11:00",Pool B,Final
UNION,Toast!,15,6,"09/20/2025, 13:00",Pool B,Final
Spectre,Trex Mix,15,9,"09/20/2025, 13:00",Pool B,Final
pool,Pool C
Steamboat,Skyhawks,15,5,"09/20/2025, 09:00",Pool C,Final
Prion,Indiana Pterodactyl Attack (IPA),14,10,"09/20/2025, 09:00",Pool C,Final
Steamboat,Indiana Pterodactyl Attack (IPA),15,6,"09/20/2025, 11:00",Pool C,Final
Prion,Skyhawks,15,8,"09/20/2025, 11:00",Pool C,Final
Steamboat,Prion,15,8,"09/20/2025, 13:00",Pool C,Final
Skyhawks,Indiana Pterodactyl Attack (IPA),13,12,"09/20/2025, 13:00",Pool C,Final
pool,Pool D
Chicago Parlay,Twist,15,9,"09/20/2025, 09:00",Pool D,Final
RAMP,Melonheads,15,6,"09/20/2025, 09:00",Pool D,Final
Chicago Parlay,Melonheads,15,3,"09/20/2025, 11:00",Pool D,Final
RAMP,Twist,11,12,"09/20/2025, 11:00",Pool D,Final
Chicago Parlay,RAMP,15,11,"09/20/2025, 13:00",Pool D,Final
Twist,Melonheads,15,6,"09/20/2025, 13:00",Pool D,Final
b,r,e,a,k
brackets,Championship
bracket,Championship
Hybrid,UNION,13,7,"09/21/2025, 13:00",1st Finals,In Progress
Hybrid,Chicago Parlay,15,5,"09/21/2025, 11:00",1st Semi Finals,Final
Steamboat,UNION,10,15,"09/21/2025, 11:00",1st Semi Finals,Final
Hybrid,Spectre,15,5,"09/21/2025, 09:00",1st Quarter Finals,Final
Chicago Parlay,Prion,13,11,"09/21/2025, 09:00",1st Quarter Finals,Final
Steamboat,Twist,15,11,"09/21/2025, 09:00",1st Quarter Finals,Final
UNION,RAMP,15,7,"09/21/2025, 09:00",1st Quarter Finals,Final
Spectre,Skyhawks,15,9,"09/20/2025, 15:00",1st Pre Quarters,Final
Prion,Toast!,15,10,"09/20/2025, 15:00",1st Pre Quarters,Final
Nothing's Great Again (aka Babymaker),Twist,7,15,"09/20/2025, 15:00",1st Pre Quarters,Final
RAMP,Queen City Gambit,13,9,"09/20/2025, 15:00",1st Pre Quarters,Final
b,r,e,a,k
brackets,Placement
bracket,3rd Place
Chicago Parlay,Steamboat,11,11,"09/21/2025, 13:00",3rd Finals,In Progress
bracket,5th Place
Spectre,RAMP,5,9,"09/21/2025, 13:00",5th Finals,In Progress
Spectre,Prion,15,10,"09/21/2025, 11:00",5th Semi Finals,Final
Twist,RAMP,12,15,"09/21/2025, 11:00",5th Semi Finals,Final
bracket,7th Place
Prion,Twist,4,7,"09/21/2025, 13:00",7th Finals,In Progress
bracket,9th Place
Skyhawks,Queen City Gambit,4,15,"09/21/2025, 13:00",9th Finals,Final
Skyhawks,Lightning,15,12,"09/21/2025, 11:00",9th Semi Finals,Final
Nothing's Great Again (aka Babymaker),Queen City Gambit,11,15,"09/21/2025, 11:00",9th Semi Finals,Final
Skyhawks,Melonheads,15,14,"09/21/2025, 09:00",9th Quarter Finals,Final
Toast!,Lightning,13,14,"09/21/2025, 09:00",9th Quarter Finals,Final
Nothing's Great Again (aka Babymaker),Trex Mix,15,14,"09/21/2025, 09:00",9th Quarter Finals,Final
Queen City Gambit,Indiana Pterodactyl Attack (IPA),12,11,"09/21/2025, 09:00",9th Quarter Finals,Final
bracket,11th Place
Lightning,Nothing's Great Again (aka Babymaker),0,0,"09/21/2025, 13:00",11th Finals,Scheduled
bracket,13th Place
Toast!,Trex Mix,8,7,"09/21/2025, 13:00",13th Finals,In Progress
Melonheads,Toast!,7,15,"09/21/2025, 11:00",13th Semi Finals,Final
Trex Mix,Indiana Pterodactyl Attack (IPA),15,8,"09/21/2025, 11:00",13th Semi Finals,Final
bracket,15th Place
Melonheads,Indiana Pterodactyl Attack (IPA),3,9,"09/21/2025, 13:00",15th Finals,In Progress
b,r,e,a,k
