Midwest Throwdown 2025,College - Men ,1,3,2025
"Warrenton, Wentzville, Saint Louis",MO,2025-03-01,2025-03-02
https://play.usaultimate.org/events/Midwest-Throwdown-2025/schedule/Men/CollegeMen/
St Olaf,1
s,t,a,g,e,s
pools,Pool Play
pool,Pool A
St Olaf,Wisconsin-La Crosse,12,5,"03/01/2025, 08:30",Pool A,Final
Wisconsin (B),Carleton College (C),9,6,"03/01/2025, 08:30",Pool A,Final
St Olaf,Wisconsin (B),10,3,"03/01/2025, 10:00",Pool A,Final
Wisconsin-La Crosse,Carleton College (C),12,6,"03/01/2025, 10:00",Pool A,Final
St Olaf,Carleton College (C),13,1,"03/01/2025, 11:30",Pool A,Final
Wisconsin-La Crosse,Wisconsin (B),13,10,"03/01/2025, 11:30",Pool A,Final
pool,Pool B
Missouri,St John's (Minnesota),13,3,"03/01/2025, 08:00",Pool B,Final
Minnesota (B),Purdue (B),13,2,"03/01/2025, 09:30",Pool B,Final
Missouri,Minnesota (B),12,7,"03/01/2025, 13:00",Pool B,Final
St John's (Minnesota),Purdue (B),10,6,"03/01/2025, 13:00",Pool B,Final
Missouri,Purdue (B),13,1,"03/01/2025, 14:30",Pool B,Final
Minnesota (B),St John's (Minnesota),11,7,"03/01/2025, 14:30",Pool B,Final
pool,Pool C
Iowa,Wisconsin-Eau Claire (B),13,2,"03/01/2025, 08:00",Pool C,Final
Southern Illinois-Edwardsville,Illinois State,9,5,"03/01/2025, 09:30",Pool C,Final
Iowa,Southern Illinois-Edwardsville,6,9,"03/01/2025, 11:00",Pool C,Final
Illinois State,Wisconsin-Eau Claire (B),10,3,"03/01/2025, 11:00",Pool C,Final
Iowa,Illinois State,13,4,"03/01/2025, 12:30",Pool C,Final
Southern Illinois-Edwardsville,Wisconsin-Eau Claire (B),13,1,"03/01/2025, 12:30",Pool C,Final
pool,Pool D
Wisconsin-Eau Claire,Marquette,7,8,"03/01/2025, 14:00",Pool D,Final
DePaul,Knox,12,9,"03/01/2025, 14:00",Pool D,Final
Wisconsin-Eau Claire,Knox,12,7,"03/01/2025, 15:30",Pool D,Final
Marquette,DePaul,13,4,"03/01/2025, 15:30",Pool D,Final
Wisconsin-Eau Claire,DePaul,10,5,"03/01/2025, 17:00",Pool D,Final
Marquette,Knox,13,4,"03/01/2025, 17:00",Pool D,Final
pool,Pool E
Iowa State,Macalester,13,10,"03/01/2025, 18:30",Pool E,Final
Illinois (B),Washington University (B),12,7,"03/01/2025, 18:30",Pool E,Final
Iowa State,Illinois (B),13,3,"03/01/2025, 20:00",Pool E,Final
Macalester,Washington University (B),13,6,"03/01/2025, 20:00",Pool E,Final
Iowa State,Washington University (B),13,2,"03/01/2025, 21:30",Pool E,Final
Macalester,Illinois (B),10,3,"03/01/2025, 21:30",Pool E,Final
b,r,e,a,k
brackets,Bracket Play
bracket,Championship
St Olaf,Iowa,0,0,"03/02/2025, 11:00",Quarterfinals,Scheduled
Marquette,Iowa State,0,0,"03/02/2025, 11:00",Quarterfinals,Scheduled
Missouri,Wisconsin-La Crosse,0,0,"03/02/2025, 11:00",Quarterfinals,Scheduled
St Olaf,Washington University (B),13,2,"03/02/2025, 09:30",Prequarterfinals,Final
Iowa,Minnesota (B),10,8,"03/02/2025, 09:30",Prequarterfinals,Final
Marquette,Illinois State,13,5,"03/02/2025, 09:30",Prequarterfinals,Final
