2025 Mid-Atlantic Mixed Regional Championship,Club - Mixed ,20,9,2025
Frederica,DE,2025-09-20,2025-09-21
http://play.usaultimate.org/events/2025-Mid-Atlantic-Mixed-Regional-Championship/schedule/Mixed/Club-Mixed
Rally,1
00,Jake Ritchey
04,Erica Biechy
06,Jordan Roof
07,Bradley Dussinger
08,Brittney Brown
09,Ashlynn Jimenez
10,Meg McCracken
13,Elizabeth Burke
15,Tylee Stauffer
16,Marissa Palumbo
19,Theresa Diffendal
22,Evan Novacek
24,Jeremy Mack
25,Ethan Krokonko
26,Angela Martin
28,Zachary Sizemore
29,Isaiah Herr
32,Zack Hunsberger
37,Zachary McIntire
43,Brianna Smith
50,Matt Burkhead
58,Gloria Boronow
77,Spencer Whitcomb
b,r,e,a,k
Skooks,14
teamInfo,,"Philadelphia, Pennsylvania",,https://www.facebook.com/SkooksUlti,https://www.instagram.com/skooksulti/
0,Janna Tighe
0,Lauren Sitlinger
0,Sylvia Erdely
3,Ivan Fransazov
4,Ryan Bukovsky
5,Will Murdock
6,Yi-Mei Liu
01,Ren Yagawara
11,Elizabeth Bugayev
12,Brandon Daniel-Morales
14,Cadence Kelly
18,Eli Steiker-Ginzberg
18,Libby Sweitzer
20,Peter Zaccardi
26,Olivia Fox
37,Violet Hart
41,Joseph Oswald
52,Abigail Obuchowski
55,Timothy Brubaker
66,Leo Rothenberg
77,August Eurich
87,Christian Obuchowski
b,r,e,a,k
Fireball,6
teamInfo,,"Washington, District of Columbia",,,
0,Adam Hoehn
0,Aden Richards
0,Amy Bahr
0,Britney Lane
0,Caden Markle
0,Calvin Oung
0,Carolyn Ng
0,Christina Chang
0,Corrie Willson
0,Dana Egan
0,Daniela Reeve
0,Kelly Wallace
0,Mark Kresowik
0,Nicole Kresowik
0,Jacqueline Feil
0,Wei Lu
0,William Perry
1,Delrico Johnson
8,Jonathan McRae
9,Bradley Scott
13,Chris Muller
17,Stephen Ng
21,Andrew Allen
22,Robert Luhrs
38,Ariel Vogel
92,Alexandra Erwin
b,r,e,a,k
Jumbo Slice,7
teamInfo,,"Washington, District of Columbia",https://t.co/YsrsJQD7yb,,https://twitter.com/jumbosliceulti
coaches,Joe (Peanut) Dweck
0,Araba Tawiah-otoo
0,Charlotte Lin
0,Isabella Burns
0,John McGrath
0,Raizl Campbell
1,Shawna Zielstorff
5,Grant Kunkel
6,Luke Pascale
7,Joshua Simpson
9,Alice Emch
10,Conor Tidgewell
14,Joshua Bransford
15,Kylie Auble
18,Jade Salamey
21,Matt McGoogan
25,Grace Sisel
32,Sasha Frank-Stempel
33,Julianna Gohman
34,Lexi Robbins
42,Madalyn  Sica
45,Erin Kemp
63,Jon Pressimone
80,Alexander Daley
84,Daniel Friedman-Brown
87,Carl Johnson
94,Daniel Selwyn
b,r,e,a,k
Axolotls,15
teamInfo,,"Hoboken, New Jersey",https://www.instagram.com/theaxolotlsultimate/,,
0,Eveline Shiao
01,Reed Rawhouser
02,Austin Uhl
03,Bridget Williams
05,Scott Harvey-Arnold
07,Kafre O'Connell
08,Kahchi Fong
10,Jocelyn Dacquel
12,Daniel Lee
13,Pete Isler
14,Katie Fazio
16,Sarah Bright
18,Jeremy Lonnman
24,Olivia Woodruff
25,Benjamin Nichols
26,Megan Ma
27,Tomoe Dew
28,Lisa Flanagan
31,William Hines
33,Russell Borenstein-Burd
35,Rae Conklin
37,Ann-Ping Shangguan
55,Brian Syverud
70,Robert Patten
88,Moi Li
98,Kyle Dew
b,r,e,a,k
s,t,a,g,e,s
brackets,1st-12th Brackets
bracket,1st Place
Rally,AMP,0,0,"09/21/2025, 12:00",Finals,Scheduled
Rally,Anthem,13,12,"09/20/2025, 14:45",Semis,Final
Spice,AMP,6,13,"09/20/2025, 14:45",Semis,Final
Rally,Cupcakes,13,6,"09/20/2025, 13:00",Quarters,Final
Revival,Anthem,11,12,"09/20/2025, 13:00",Quarters,Final
Pittsburgh Port Authority,Spice,10,13,"09/20/2025, 13:00",Quarters,Final
HVAC,AMP,2,13,"09/20/2025, 13:00",Quarters,Final
Rally,Philly Twist,13,2,"09/20/2025, 11:15",1st Round,Final
Delabear,Cupcakes,9,13,"09/20/2025, 11:15",1st Round,Final
Revival,Jughandle,13,5,"09/20/2025, 11:15",1st Round,Final
Farm Show,Anthem,2,13,"09/20/2025, 11:15",1st Round,Final
Pittsburgh Port Authority,Skooks,13,9,"09/20/2025, 09:30",1st Round,Final
Spice,Fireball,12,9,"09/20/2025, 09:30",1st Round,Final
Jumbo Slice,HVAC,10,13,"09/20/2025, 09:30",1st Round,Final
Axolotls,AMP,4,13,"09/20/2025, 09:30",1st Round,Final
bracket,2nd Place
Pittsburgh Port Authority,Cupcakes,0,0,"09/21/2025, 12:00",2nd Semis,Scheduled
Pittsburgh Port Authority,Anthem,15,13,"09/21/2025, 10:00",2nd Quarters,Final
Cupcakes,Spice,15,8,"09/21/2025, 10:00",2nd Quarters,Final
HVAC,Pittsburgh Port Authority,3,15,"09/20/2025, 16:30",2nd Pre-Quarters,Final
Revival,Cupcakes,12,14,"09/20/2025, 16:30",2nd Pre-Quarters,Final
HVAC,Delabear,12,11,"09/20/2025, 14:45",2nd - Second Round,Final
Pittsburgh Port Authority,Jughandle,13,6,"09/20/2025, 14:45",2nd - Second Round,Final
Revival,Fireball,13,12,"09/20/2025, 14:45",2nd - Second Round,Final
Cupcakes,Jumbo Slice,13,9,"09/20/2025, 14:45",2nd - Second Round,Final
Philly Twist,Delabear,8,13,"09/20/2025, 13:00",2nd - First Round,Final
Jughandle,Farm Show,13,8,"09/20/2025, 13:00",2nd - First Round,Final
Skooks,Fireball,6,13,"09/20/2025, 13:00",2nd - First Round,Final
Jumbo Slice,Axolotls,10,7,"09/20/2025, 13:00",2nd - First Round,Final
bracket,5th Place
Anthem,Spice,0,0,"09/21/2025, 12:00",5th Place,Scheduled
bracket,7th Place
HVAC,Revival,0,0,"09/21/2025, 10:00",7th Place,Scheduled
bracket,9th Place
Delabear,Jughandle,0,0,"09/21/2025, 10:00",9th Semis,Scheduled
Fireball,Jumbo Slice,0,0,"09/21/2025, 10:00",9th Semis,Scheduled
bracket,11th Place
b,r,e,a,k
pools,13th-16th Consolation Pool
pool,Pool A
Skooks,Axolotls,12,10,"09/20/2025, 16:30",Pool A,Final
Farm Show,Philly Twist,15,7,"09/20/2025, 16:30",Pool A,Final
Skooks,Philly Twist,0,0,"09/21/2025, 10:00",Pool A,Scheduled
Farm Show,Axolotls,12,13,"09/21/2025, 10:00",Pool A,Final
Skooks,Farm Show,0,0,"09/21/2025, 12:00",Pool A,Scheduled
Axolotls,Philly Twist,0,0,"09/21/2025, 12:00",Pool A,Scheduled
b,r,e,a,k
