Boston Invite 2025,Club - Mixed ,12,7,2025
Devens,MA,2025-07-12,2025-07-13
https://play.usaultimate.org/events/Boston-Invite-2025/schedule/Mixed/Club-Mixed
Big Rig,1
0,Corinna Rhum
0,Emily Wanzer
0,Abe Kielar
0,Jennifer Fiore
0,Molly Rockwood
0,Rachel Swindell
0,Robert Shapiro
0,Liz Anusauskas
0,Varun Shah
0,Walden Ng
6,Justinne Guarin
6,Abigail Skerker
13,Tomer Poole-Dayan
24,Sajani Clerk
33,Rossi Wang
39,Victoria Zhang
44,Eric Freitag
69,Man Nguyen
72,Joseph Sadok
81,Alexander Velberg
b,r,e,a,k
Scarecrow,17
teamInfo,,"Salem, New Hampshire",,www.facebook.com/ScarecrowUltimate/,www.twitter.com/ScarecrowMixed
0,Camron Currier
0,Alex Joseph
0,Amana Vander-Heyden
0,Hudson Carr
0,Isabel Peress
0,Lydia Cramer
0,Michelle Merritt
0,Tim Murphy
0,Trent Linker
1,Anthony Bevilacqua
2,Chelsea Mower
2,Colby Jacques
3,Thomas Stover
5,Tyler Hall
6,Elizabeth Menard
8,Jaryn Lafond
9,Jay Delani 
13,Teddy Campbell
28,Jenna Connolly
33,Mark Connolly
40,Jacee Cox
44,Lauren Bevilacqua 
72,Jason Russo
73,Sarah Dell'Amore
99,Ryan Benincase
b,r,e,a,k
Zero Strategy,2
teamInfo,,"Burlington, Vermont",,,
0,Maxwell Mirabile
1,Benjamin Weinstein
2,Akash Patel
3,Brenda Hoang
4,Sage Tanner
5,Quinn Ledak
7,Evan Hollar
9,Evan Maynard
11,Stephen Donahue
12,Allison Kingsley
13,Jack Conant
14,Jonah Boucher
16,Yuval Pearl
17,Madison Reagan
18,Moriya Gelfenbein
21,Jasper Pearcy-Kahn
22,Sophie Smith
23,Mariz Mangundayao
30,Anna Purtell
33,Jordan Kaufman
34,Sarah Rose
51,Benjamin Kelley
65,Grace Thompson
79,Keziah Wilde
b,r,e,a,k
League of Shadows,10
teamInfo,,"Boston, Massachusetts",,,http://www.twitter.com/los_ultimate
0,Evan Hu
0,Irene Ren
0,Jocelyn Hsieh
0,Jonas von Milczewski
0,Julia Leung
0,Kevin O'Brien
0,Alex Mitsopoulos
0,Lila Nields-Duffy
0,Matthew Cote
0,Matthew Landis
0,Morgan Banta-Ryan
0,Sam VanNoy
0,Sophie Bodine
0,Suhaila Cotton
0,Terren Moore
0,Zoe Honigberg
2,Theodore Bisdikian
4,Megan Klein
9,Kyle Huang-Liu
15,Casey Zhu
17,Lillian Huang
29,Tate Tabtieng
33,Sara Putnam
77,Walton (Yuito) Lee
96,Mina Bozeman
97,Adele Kong
b,r,e,a,k
Farm Show,7
teamInfo,,"Harrisburg, Pennsylvania",,https://www.facebook.com/farmshowulti,
0,Beth Johns
0,Kyle Larsen
00,Jake Ritchey
03,Patrick Joyce
04,Erica Biechy
05,Cassandra Boesenhofer
06,Jordan Roof
08,Brittney Brown
12,Rebecca Canetti
13,Elizabeth Burke
15,Tylee Stauffer
17,Spencer Whitcomb
19,Theresa Diffendal
22,Evan Novacek
24,Jeremy Mack
26,Angela Martin
27,Jeremy  Moore 
28,Zachary Sizemore
32,Zack Hunsberger
37,Zachary McIntire
38,Jacob Taylor
43,Brianna Smith
44,Aidan Clark
48,Maggie Conklin
50,Matt Burkhead
58,Gloria Boronow
b,r,e,a,k
T Party,18
teamInfo,,"Boston, Massachusetts",www.instagram.com/tpartyultimate,,www.twitter.com/tpartyultimate
0,Candace Adelberg
0,Colbryn Waggoner
0,Colby LaGrassa
0,Deanna DeLuca
0,Edmund Burr
0,Elinor Poole-Dayan
0,Hao Shen
0,Ian Cutler
0,Isabel Cummings
0,Kelton Aldridge
0,Marley Dickson
0,Nazahah Hasan
0,Nisha Nayak
0,Richard Atkins
0,Sam Hurley
0,Andy Yu
0,Sean Fallon
0,Simret Semine
0,Sydney Weiner
0,Tien-Tien Chan
6,Aidan Ahern
13,Sarah Antilla
20,Jacob Maynard
26,Souichi Terada
37,Brennan Cain
b,r,e,a,k
Heat Wave,13
teamInfo,,"Brooklyn, New York",,,
0,Alex Hu
0,Christina Secor
0,Eileen Connor
0,Eric Shen
0,Grace Schifilliti
0,Oliver Feder
0,Philip Liu
0,Quinn Hermann
0,Samuel Feder
0,Sawyer Norton
0,Shelly Tsirulik
0,Theo Trefonides
0,Tiffany Nguyen
0,Jane Frankel
0,Kalissa Feinberg
0,Willem Humes
0,Zoe Zhu
0,Zola Stevens
10,Devin Allard-Neptune
11,Lauren Miller
12,WillIam Altschul
13,Greg Kleinman
13,Henry Lin
14,Wes Chalfant
21,Brendan Chin
b,r,e,a,k
Grand Army,11
teamInfo,,"Brooklyn, New York",https://linktr.ee/grandarmyultimate,https://www.facebook.com/GrandArmyUltimate,https://www.twitter.com/grandarmymixed
1,Martin Bustamante
2,Antonio Brewer
3,Zella Sahar
6,Jae Lee
8,Benjamin Zhu
9,Yvonne Tang
10,Connor Chin
11,Mark Gazzerro
12,Thomas Wu
13,Dena Behar
14,Kayla Seeger
15,Ella Park-Chan
19,Pasta (Max) Weiler
20,Emily Harris
23,Ian Foley
24,Hannah Gmach
26,Sonia Amaya O
27,Geoffrey Zheng
28,John Watters
31,Eli Presberg
32,Kate Nelson
33,Lily Gould
41,Dylan Leitner
73,Alex Baroody
73,Gavin Zhao
87,Emma Chin
b,r,e,a,k
Darkwing,3
teamInfo,,"Mansfield, Massachusetts",http://www.darkwingultimate.com,,https://twitter.com/Darkwing_Mixed
0,Adrian Staples
0,Alicia Chang
0,Elle Burstein
0,Emet Schwartz
0,En Le Samborski
0,Bryce Whitney
0,Clare Heine
0,Grace Erlinger
0,Jacob Arwe
0,Linnaea McGuinness
0,Melissa Tong
0,Nikki Chang
0,Nilos Makino
0,Sage Fuller
1,Bernard Wang
5,Conor Dowling
5,Andrew Pillsbury
6,Lauren Bertino
10,Ryan Turner
25,Thomas Dougherty
27,Felipe Delgado
31,Alyssa Pelkey
33,Nick Jewell
35,Ashley Schlinger
36,Lilly Yang-Schmidt
99,Kunzang Namgyal
b,r,e,a,k
Obscure,6
teamInfo,,"Boston, Massachusetts",,,
0,Hanna Kim
0,Hannes Ludewig
0,Jacqueline Willwerth
0,Jeff Smith
0,Kate Stafford
0,Laurie Chen
0,Liam Henry
0,Luke Arnone
0,Michael Humbert
0,Nick DiOrio
0,Patrick Leavey
0,Ross Littauer
0,Sarah Hansen
0,Sarah Cook
0,Shellie Cohen
0,Alex Grintsvayg
0,Alex (Wei Yuh) Chang
0,Anna Shanedling
0,Ariella Korn
0,Benjamin Duffy
0,Brian Clarkson
0,Carl Frederik Brasz
0,Courtney Dougherty
7,Tom Bassett
14,Eli Inkelas
17,Cici Wang
b,r,e,a,k
JAWN,16
teamInfo,,"Philadelphia, Pennsylvania",,,
0,Abigail Sullivan
0,William Shutt
0,Ava Paulson
0,Zack Eskin
0,Jasmine Phou
0,Samantha Thomas
0,Sandeep Dilip
0,Colin Clapper
0,Faron Connelly
0,Andrew Barczak
0,John Currie
0,Julia Kraynak
0,Kelly Meinert
0,Maddie Grande
0,Miguel Romero-Stevenson
0,Jinuk Han
6,Kye Haniph
7,Angelina Ngo
10,Linda Liu
11,Levy Morrison
13,Sofia Spadotto
18,Adam Novak
45,Shamar Phifer
89,Joshua Heacock
96,Jacob Prunes
b,r,e,a,k
Rising Tide U20X,19
teamInfo,,"Portland, Maine",www.maineultimate.org,https://www.facebook.com/MaineUltimate?fref=ts,
0,Jocelyn Nelson
0,Liisi Kuhrt
1,Sully McFarland
2,Lora Smith
5,Charlotte Pelletier
6,Zachary Doane
7,Connor Hughes
8,Kooper Stinson
9,Alex Wall
10,Owen Blades
11,Laila Nelson
12,Jude Blackwell-Moore
16,Fiona Nichols
17,Laurel King
20,Oliver Wicks
22,Henry Morrison
23,Zora DeSilva
24,Audrey Winch
26,Gus Whited
28,Nell  Hebda 
33,Elizabeth Cope
b,r,e,a,k
Young and the Restless,12
teamInfo,,"Sturbridge Village, Massachusetts",,,
0,Bethany Kaplan
0,Bryan Bausinger
0,Celina Daigle
0,Dan Bush
0,Dwight Harris
0,Ethan Lavallee
0,Evan Patisteas
0,JEFF VINCENT
0,Abigail Baer
0,Anthony Havens
0,Ashley Wright
0,Julie Sussman
0,Justin Ondrof
0,Kayla Olson
0,Marissa Aldieri
0,Sarah Rumrill
0,Steven Stanish
3,Barb Banz
7,Jenna Gall
7,Ricky Lewandowski
7,Katherine England
18,Mae Tobin-Hochstadt
28,Katherine Overstrum
52,Ryan Strobel
80,Joseph Kane
81,Alex Morrone
b,r,e,a,k
FLI,4
teamInfo,,"Long Island, New York",https://discny.org/t/fli-1,https://www.facebook.com/FLIultimate,https://twitter.com/fliultimate
02,Aaron Damsky
04,Mira Sherif
05,May Patino
07,Grace Aderibigbe
08,Charlotte Pearlman
09,Laura Marrin
10,Marisa Triolo
12,Matthew Lemar
13,Ava Sirotkin
14,Nicole Luparello
16,Anna Jao
19,Toniann Guerreiro
21,Christopher Cabot
27,Tristan Morlock
28,Julia Mills
31,Collin Bartoldus
35,Jadyn Schoenberg
44,Katherine Romero
47,Peter Conelli
49,Eric Wilburn
53,Christopher Kizis
55,Thomas Graham
55,Joseph LaMacchia
71,Matthew Nieto
74,Dustin Wall
81,Daniel Stern
b,r,e,a,k
Garbage Plates,5
teamInfo,,"Rochester, New York",,,https://twitter.com/gplatesulti?s=17
0,Christine Purtell
0,Dan  McCune
0,Dana Dale
0,David Leder
0,Jack Kirby
0,Kathryn Toffolo
0,Ken (KJ) Dziak
0,Maggie Smith
0,Marala Perinpanayagam
0,Mary  MacAdam
0,Olivia  Dramer
0,Sarah Sheldon
0,Stephen Sampson
0,Will Stone
3,Matt Bandes
17,Michael Sheldon
23,Raleigh Haskins
24,Maggie MacAdam
28,Angela Dana
32,Timothy Loftus
39,Noelle Evans
47,Sopheakdey  Bov
b,r,e,a,k
PterodaCTyl,15
teamInfo,,"New Rochelle, New York",,,
0,Alguacil Maria
0,David Rothman
0,Elissa Picozzi
0,Elizabeth Nowlin
0,Ella Moran
0,Elle Marcus
0,Elle Paradis
0,Eric Niemeyer
0,Felicia Zheng
0,Hunter Sagendorph
0,James McIntyre
0,Kfir Shoham
0,Ryan Grabijas
0,Samuel Dinning
0,Sungshil Johnson
0,Nadine Tong
0,Ran Huo
5,Tianzhe Wang
7,Alexander DeLalla
12,Kathleen Brussell
14,Joseph Ouellette
16,Robert Hsu
17,Joshua (Slater) Levey
28,Matthew Bartell
29,Emilia Scheemaker
b,r,e,a,k
s,t,a,g,e,s
pools,Pool Play
pool,Pool A
Big Rig,Scarecrow,11,13,"07/12/2025, 09:00",Pool A,Final
Axolotls,Lampshade,12,10,"07/12/2025, 09:00",Pool A,Final
Big Rig,Axolotls,13,6,"07/12/2025, 10:30",Pool A,Final
The Buoy Association,Lampshade,11,9,"07/12/2025, 10:30",Pool A,Final
Lampshade,Scarecrow,12,8,"07/12/2025, 12:00",Pool A,Final
The Buoy Association,Axolotls,11,8,"07/12/2025, 12:00",Pool A,Final
Big Rig,Lampshade,12,10,"07/12/2025, 13:30",Pool A,Final
The Buoy Association,Scarecrow,10,6,"07/12/2025, 13:30",Pool A,Final
Big Rig,The Buoy Association,10,9,"07/12/2025, 15:00",Pool A,Final
Axolotls,Scarecrow,10,9,"07/12/2025, 15:00",Pool A,Final
pool,Pool B
Zero Strategy,T Party,13,7,"07/12/2025, 09:00",Pool B,Final
League of Shadows,Heat Wave,13,6,"07/12/2025, 09:00",Pool B,Final
Zero Strategy,League of Shadows,13,3,"07/12/2025, 10:30",Pool B,Final
Farm Show,Heat Wave,9,11,"07/12/2025, 10:30",Pool B,Final
Heat Wave,T Party,5,13,"07/12/2025, 12:00",Pool B,Final
Farm Show,League of Shadows,9,10,"07/12/2025, 12:00",Pool B,Final
Zero Strategy,Heat Wave,12,7,"07/12/2025, 13:30",Pool B,Final
Farm Show,T Party,10,5,"07/12/2025, 13:30",Pool B,Final
Zero Strategy,Farm Show,13,1,"07/12/2025, 15:00",Pool B,Final
League of Shadows,T Party,13,9,"07/12/2025, 15:00",Pool B,Final
pool,Pool C
Darkwing,Rising Tide U20X,13,6,"07/12/2025, 09:00",Pool C,Final
Grand Army,JAWN,13,2,"07/12/2025, 09:00",Pool C,Final
Darkwing,Grand Army,9,12,"07/12/2025, 10:30",Pool C,Final
Obscure,JAWN,13,1,"07/12/2025, 10:30",Pool C,Final
JAWN,Rising Tide U20X,11,9,"07/12/2025, 12:00",Pool C,Final
Obscure,Grand Army,7,13,"07/12/2025, 12:00",Pool C,Final
Darkwing,JAWN,13,0,"07/12/2025, 13:30",Pool C,Final
Obscure,Rising Tide U20X,13,4,"07/12/2025, 13:30",Pool C,Final
Darkwing,Obscure,13,6,"07/12/2025, 15:00",Pool C,Final
Grand Army,Rising Tide U20X,13,3,"07/12/2025, 15:00",Pool C,Final
pool,Pool D
Garbage Plates,Young and the Restless,8,11,"07/12/2025, 09:00",Pool D,Final
FLI,PterodaCTyl,12,9,"07/12/2025, 09:00",Pool D,Final
FLI,Young and the Restless,3,12,"07/12/2025, 10:30",Pool D,Final
Garbage Plates,PterodaCTyl,9,7,"07/12/2025, 10:30",Pool D,Final
Young and the Restless,PterodaCTyl,12,2,"07/12/2025, 12:00",Pool D,Final
FLI,Garbage Plates,12,11,"07/12/2025, 12:00",Pool D,Final
b,r,e,a,k
brackets,1st place
bracket,1st place
Big Rig,Zero Strategy,8,13,"07/13/2025, 13:00",Finals,Final
Big Rig,Darkwing,12,9,"07/13/2025, 11:00",Semis,Final
Grand Army,Zero Strategy,8,12,"07/13/2025, 11:00",Semis,Final
Big Rig,League of Shadows,15,12,"07/13/2025, 09:00",quarters,Final
Young and the Restless,Darkwing,7,15,"07/13/2025, 09:00",quarters,Final
Grand Army,FLI,15,7,"07/13/2025, 09:00",quarters,Final
Zero Strategy,The Buoy Association,15,8,"07/13/2025, 09:00",quarters,Final
bracket,3rd place
Darkwing,Grand Army,11,12,"07/13/2025, 13:00",3rd place,Final
bracket,5th place
FLI,The Buoy Association,13,15,"07/13/2025, 13:00",5th place,Final
League of Shadows,FLI,13,14,"07/13/2025, 11:00",semis,Final
Young and the Restless,The Buoy Association,9,14,"07/13/2025, 11:00",semis,Final
bracket,7th place 
League of Shadows,Young and the Restless,13,8,"07/13/2025, 13:00",7th place,Final
b,r,e,a,k
brackets,9th place
bracket,9nals
Garbage Plates,Obscure,9,15,"07/13/2025, 13:00",9nals,Final
T Party,Garbage Plates,7,15,"07/13/2025, 11:00",semis,Final
Obscure,Lampshade,15,10,"07/13/2025, 11:00",semis,Final
Axolotls,T Party,12,15,"07/13/2025, 09:00",quarters,Final
Garbage Plates,JAWN,15,8,"07/13/2025, 09:00",quarters,Final
Obscure,PterodaCTyl,14,11,"07/13/2025, 09:00",quarters,Final
Farm Show,Lampshade,9,13,"07/13/2025, 09:00",quarters,Final
bracket,11th Place
T Party,Lampshade,9,12,"07/13/2025, 13:00",11Place,Final
bracket,13th Place
PterodaCTyl,Farm Show,8,13,"07/13/2025, 13:00",13th Place,Final
Axolotls,PterodaCTyl,12,14,"07/13/2025, 11:00",Semis,Final
JAWN,Farm Show,5,15,"07/13/2025, 11:00",Semis,Final
bracket,15th
Axolotls,JAWN,12,11,"07/13/2025, 13:00",15th,Final
b,r,e,a,k
pools,consolation pool
pool,Pool E
Heat Wave,Rising Tide U20X,15,3,"07/13/2025, 09:00",Pool E,Final
Scarecrow,Rising Tide U20X,15,8,"07/13/2025, 11:00",Pool E,Final
Scarecrow,Heat Wave,12,10,"07/13/2025, 13:00",Pool E,Final
b,r,e,a,k
