Needle in a Ho-Stack 2025,College - Men ,29,3,2025
Charlotte,NC,2025-03-29,2025-03-30
https://play.usaultimate.org/events/Needle-in-a-Ho-Stack-2025/schedule/Men/CollegeMen/
Tennessee-Chattanooga,1
48,Charles Brooks
52,Thomas Baumler
62,Rhett Stevens
69,Bryson Bowen
70,Isaac Palmer
89,Jackson  Driver 
b,r,e,a,k
Appalachian State,3
teamInfo,Nomads,"Boone, North Carolina",,,https://twitter.com/Nomads_Ultimate
0,Andrew Patry
0,Andrew Hanson
0,Cohen Moody
0,Francisco Bonenberger
0,Ian Stone
0,Jack Nicholson
0,Jack Stephenson
0,James Russell
0,Johnny Campione
0,Kai Norris
0,Liam Raska
0,Matthew Holder
0,Miles Schramm
0,Nick Talone
0,Pete Cheatham
0,Samuel Crosbie
0,Shepherd Cowan
0,William Benditz
1,Cam Shook
8,Liam Eident
10,Joshua Pollard
24,Nate Sutherland
25,Daniel Huggins
28,Caleb Sizemore
33,Evan Miller
99,Zachary Abbott
b,r,e,a,k
Embry-Riddle,6
teamInfo,Dirty Birds,"Daytona Beach, Florida",,,
1,Josh Warner
4,Grant Michael Cashin Jr
7,Rumi Barsotti
8,Zach Shafer
11,Carl Dahlberg
13,Matthew Daly
15,Cassandra Patterson
19,Cooper Glasgow
28,Matthew Hein
40,Sean Nguyen
42,Seth Tracy
47,Eli Leonard
49,Gregory Callaghan
54,Jonny Rudolph
56,Courtney Szczap
77,Samuel Bock
b,r,e,a,k
Georgia (B),11
teamInfo,Chillydawgs,"Athens, Georgia",,https://www.facebook.com/Chillydwags,https://www.twitter.com/Chillydwags
0,Andrew Zelaya
0,Benjamin Brown
0,Braden Burns
0,Cole Womack
0,Colton Whaley
0,Daniel Orta
0,Dustin Trinh
0,Calin Trabue
0,Jamie Mock
0,Jeremiah Liu
0,Gibson Sparks
0,Michael Marola
0,Prathu Garg
0,Samuel Mauldin
0,Shaw Maguire
6,Henry Breiding
6,Andy Jiang
7,Ryan Nevis
9,Keegan Streett
11,Joseph  Freeman
16,Ron Jones
19,Joshua Calupca
22,Brayden Smith
24,Evan King
27,Zach Verner
30,Ethan Liu
47,Forest Dynes
69,AJ Dyer
99,Charles Navratil
b,r,e,a,k
Georgia College,14
teamInfo,Disconnected,"Milledgeville, Georgia",http://www.gcultimate.org/,https://www.facebook.com/GeorgiaCollegeDisconnected,https://twitter.com/gc_ultimate
03,Michael Ketelsen
07,Griffin Fox
09,Andrew Whitten
11,William Voyles
18,Neil Grove
19,Christian Chandler
21,Mason Wiley
23,Joshua Sipes
24,Caleb Lowe
25,Anthony Pastilha
26,Will Hatley
29,Jacob McCall
42,Dillon Shirley
50,Thomas Milam
99,Robert Manser
b,r,e,a,k
Charleston,4
teamInfo,Palmetto Bums,"Charleston, South Carolina",,,
0,Brodie Hill
0,Collin Voltz
0,Dominic  Voci
0,Elijah Honeycutt
0,Gabriel  Pires
0,Henry Hastings
0,Henry Langford
0,Levi Katriel
0,Max Besta
0,Michael Boyle
0,Noah Krischer
0,Jackson  Thomas
0,Jaxon McHan
0,Peter  Lorris
0,Rowan Johns
0,Sawyer Walker
0,Tanner Martin
0,Troy Shearin
0,Will McDonald
0,William  Spencer
7,Jett Kirshtein
11,Hunter Poe
13,Ryan Wartenberg
19,Noah Rourke
b,r,e,a,k
North Carolina (B),12
teamInfo,BatCH,"CHAPEL HILL, North Carolina",,https://www.facebook.com/uncbatch,https://www.twitter.com/unc_batch
0,Daniel Zhang
0,Dylan Edwards
0,Eli Broun
0,Matthew Bain
0,Nate Scofield
0,Neal Parekh
0,Owen Evans
0,Rishabh Singh
0,Samuel Fuh
0,Brian Chen
0,Caleb Promislow
0,Centurion Tzendzalian
0,Coleman Stephens
9,Daniel Rabinovich
24,Sebastian Radomski
b,r,e,a,k
East Tennessee State,5
teamInfo,Dry Bones,"Johnson City, Tennessee",,,
2,Joe Neglia
3,Mariyah Brodio
4,Reed Frederick
5,Amaya Yarid
7,Caleb Batchelder
8,Camden Eslick
9,Dylan Whitaker
11,Jackson Bushore
14,Ben Searcy
15,Jackson Sullivan
16,Carter Twiner
22,Ava Martin
24,Reagan McNeill
26,Alexander Simmons
28,Grace Braver
30,Rachael Rio Branco
54,Aden Handy
99,Elijah Bragg
b,r,e,a,k
Morehouse,13
teamInfo,Morehouse Ultimate,"Atlanta, Georgia",https://www.instagram.com/morehouse_ultimate/,,
01,Richard Chandler
02,Jalen Furqan
09,Ryan Norris
11,Gavin Chapman
14,Aasani Brown
16,Jaydon Moland
17,Samir Kalam Id-Din
18,Brock Caston
27,Keith Colder
44,Nathaniel Romine
69,Elijah Lusk
b,r,e,a,k
s,t,a,g,e,s
pools,Pool Play
pool,Pool A
Tennessee-Chattanooga,Wake Forest,13,5,"03/29/2025, 08:30",Pool A,Final
Cedarville,South Carolina (B),13,8,"03/29/2025, 08:30",Pool A,Final
Tennessee-Chattanooga,South Carolina (B),13,3,"03/29/2025, 10:05",Pool A,Final
Cedarville,Wake Forest,8,10,"03/29/2025, 10:05",Pool A,Final
Tennessee-Chattanooga,Cedarville,12,3,"03/29/2025, 11:40",Pool A,Final
Wake Forest,South Carolina (B),7,5,"03/29/2025, 11:40",Pool A,Final
pool,Pool B
Tennessee,Georgia Southern,13,3,"03/29/2025, 10:05",Pool B,Final
East Carolina,North Carolina State (B),8,7,"03/29/2025, 10:05",Pool B,Final
Tennessee,North Carolina State (B),11,3,"03/29/2025, 11:40",Pool B,Final
East Carolina,Georgia Southern,12,8,"03/29/2025, 11:40",Pool B,Final
Tennessee,East Carolina,13,7,"03/29/2025, 13:15",Pool B,Final
Georgia Southern,North Carolina State (B),10,9,"03/29/2025, 13:15",Pool B,Final
pool,Pool C
Appalachian State,Georgia (B),13,3,"03/29/2025, 08:30",Pool C,Final
Embry-Riddle,Georgia College,13,6,"03/29/2025, 08:30",Pool C,Final
Appalachian State,Georgia College,13,2,"03/29/2025, 11:40",Pool C,Final
Embry-Riddle,Georgia (B),11,6,"03/29/2025, 11:40",Pool C,Final
Appalachian State,Embry-Riddle,13,6,"03/29/2025, 13:15",Pool C,Final
Georgia (B),Georgia College,13,6,"03/29/2025, 13:15",Pool C,Final
pool,Pool D
Charleston,North Carolina (B),12,8,"03/29/2025, 08:30",Pool D,Final
East Tennessee State,Morehouse,13,4,"03/29/2025, 08:30",Pool D,Final
Charleston,Morehouse,13,2,"03/29/2025, 10:05",Pool D,Final
East Tennessee State,North Carolina (B),8,13,"03/29/2025, 10:05",Pool D,Final
Charleston,East Tennessee State,13,4,"03/29/2025, 13:15",Pool D,Final
North Carolina (B),Morehouse,13,0,"03/29/2025, 13:15",Pool D,Final
b,r,e,a,k
brackets,Bracket Play
bracket,Championship
Tennessee-Chattanooga,East Carolina,0,0,"03/30/2025, 10:15",Quarters,Scheduled
Georgia Southern,Charleston,0,0,"03/30/2025, 10:15",Quarters,Scheduled
Appalachian State,North Carolina (B),0,0,"03/30/2025, 10:15",Quarters,Scheduled
East Tennessee State,Tennessee,0,0,"03/30/2025, 10:15",Quarters,Scheduled
East Carolina,Georgia (B),10,4,"03/29/2025, 14:50",Pre-Quarters,Final
Embry-Riddle,Georgia Southern,7,10,"03/23/2025, 14:50",Pre-Quarters,Final
North Carolina (B),Cedarville,9,7,"03/29/2025, 14:50",Pre-Quarters,Final
Wake Forest,East Tennessee State,11,15,"03/29/2025, 14:50",Pre-Quarters,Final
bracket,3rd Place
bracket,5th Place
bracket,7th Place
bracket,9th Place
Georgia (B),Morehouse,0,0,"03/30/2025, 08:30",9th Quarters,Scheduled
Embry-Riddle,South Carolina (B),15,4,"03/30/2025, 08:30",9th Quarters,Final
North Carolina State (B),Cedarville,15,5,"03/30/2025, 08:30",9th Quarters,Final
Wake Forest,Georgia College,0,0,"03/30/2025, 08:30",9th Quarters,Scheduled
bracket,11th Place
bracket,13th Place
bracket,15th Place
b,r,e,a,k
