2025 North Central Mixed Regional Championship,Club - Mixed ,20,9,2025
Milwaukee,WI,2025-09-20,2025-09-21
http://play.usaultimate.org/events/2025-North-Central-Mixed-Regional-Championship/schedule/Mixed/Club-Mixed
Drag'n Thrust,1
42,David Valentine-Elam
44,Julianne Crockett
51,Isaac Entz
86,Amanda Johnson
99,Christian Simpson
b,r,e,a,k
Minnesota Star Power,3
teamInfo,,"Minneapolis/ St. Paul, Minnesota",http://minnesotastarpower.weebly.com/,http://www.facebook.com/MinnesotaStarPower/,https://twitter.com/mnstarpower
01,Cole Jensen
04,Zachary Bye
07,Allison Chien
11,Rachel Thompson
12,Erin McFadden
13,Danica Porter
14,Josh Hendrickson
14,Lucas Kempf
15,Peter Rogers
19,Tavis Leighton
20,Kajsa Beatty
21,Marissa McFadden
22,Luke  Youngdahl
27,Lily Monorom
29,Kelsey Peterson
35,Shaun LaFrance
37,Ming Cheng Chew
40,Thomas Walker
48,Joey Tillman
52,Izzy Anderson
56,Molly Schwartz
60,Claire Cech
62,Rebecca Kline
69,Tyler Mahony
72,Meg Lake
97,Steven Anderson
b,r,e,a,k
Pushovers,10
teamInfo,,"Lake Elmo, Minnesota",,,
0,Alexander Kucich
0,Tom Hobday
1,Derek Anderson
2,Sydney Mier
3,Carly Rasmussen
4,Hannah Hackenmueller
7,Michael Scharlau
8,Lilly Mendoza
8,Erin Marshall
9,Kendra Anderson
10,Kyra Anderson
12,Joseph Ling
24,Anna Benishek
29,Russell Smith
31,Ross Screaton
33,Erick Knudson
37,Elizabeth Curtiss
42,Sam Baker
43,Nathan Wang
57,Christopher O'Mara
62,Marcus Cannon
78,Sophia Vaccaro
86,Josie Fenske
95,Eric Volkmeier
95,Charlotte Gingo
b,r,e,a,k
Boomtown Pandas,15
teamInfo,,"Madison, Wisconsin",,https://www.facebook.com/BoomtownPandas/,https://twitter.com/boomtownpandas
0,Anna  Goforth
0,April Peterson
0,Daniel Seybold
0,Grant Hallan
0,Karin Wirth
0,Leah Wheatley
0,Megan Sokup
0,Ray Martin
0,Ryan Sokup
1,Caitlin Clevenger
2,Edward Kaul
3,Eli Melnick
12,Megan Lagerquist
13,Maxwell Underhill
16,Ada Lynn
17,Grant Dowling
18,Anna Jenstead
23,Lizabeth Held
24,Odette Herrand
25,Michael Van Haren
29,Yuhao Wu
29,Sarah Doege
33,Evan Ross
52,Harsh Zaver
53,Thomas Hotvedt
94,Derek Weisberg
b,r,e,a,k
Fatal Attraction,5
teamInfo,,"Omaha, Nebraska",,,
0,Austin Phinney
0,Dom Lincoln
0,Thomas Sitorius
1,Emily Anderson
2,Luke Walsdorf
3,Sean Rock
4,Richelle Rock
7,Isaiah  Moore
8,Grant Maynard
9,Ellie Stone
12,Christa Fisher
14,Shania Hass
16,Andy Woolard
17,Min Sze Ewe
18,Cassi Vallis
19,Stewart Buckley
23,David Forsyth
27,Cat  Henning 
28,Joseph Blecha
30,Aaron Bowles
31,Michaela Ott
32,Nicole Lenczowski
55,Derek Vallis
77,Kayla Anderson
87,Reid Sindelar
b,r,e,a,k
Bird,4
teamInfo,,"Minneapolis, Minnesota",http://www.birdultimate.com/,https://www.facebook.com/BirdUltimate,https://twitter.com/MNBirdUltimate
0,Rachel Katzovitz
1,Grace Milhaupt
4,Katherine Wilmes
5,Benjamin Fjetland-Souza
6,Lucas Bulger
9,Eva Clements
11,Nora Mitchell
12,Aidan Clements
13,Nolan Bessler
15,Ella Mullin
17,Katie Fan
18,Ryan Harvey
19,Eva Fischer
23,Molly Watson
24,Nathan Phillips
27,Isabel Clayter
27,Josh Yira
30,Leona DeRango
33,Jacob Markus
34,James Briscoe
38,Noah Johnson
39,Adelaide Mahler
40,Rebekah Reason
44,Jonathan Lovagnini
73,Jordan Wright
96,Max Hanscom
b,r,e,a,k
The Chad Larson Experience,9
teamInfo,,"Ames, Iowa",https://clx-ultimate.com,https://www.facebook.com/profile.php?id=100086386637873,https://twitter.com/clxbttp
0,Charlie Hubbard
0,David Dalton
0,Emily Wilson
0,Jayna Wanamaker
0,Kaitlyn Gehrels
0,Kate Blankenship
0,Lucy Leither
0,Mia Jones
0,Michael Stevens
0,Peter Rethwisch
2,Logan Grothus
6,Tara Lamb
00,Taylor Hanson
00,Anna Erickson
00,Ben Masterson
11,Jacob Badger
13,Evan Ford
14,Cole Davis
15,Marissa Lyon
20,Rebecca Crown
22,Nick Culver
28,Alex Gustafson
41,Brian Goode
69,Jacob Thomae
71,Dayton Wright
99,Kaira Carter
b,r,e,a,k
STL CELESTIAL,16
teamInfo,,"ST Louis , Missouri",,,
0,Anna Abegg
0,Breyon Johnson
0,Devon Quello
0,Eileen Finley
0,Hayley Morgan
0,Janice Ntimba
0,Madison Rost
0,Madison Middleton
0,Michael Preisack
0,Nico Rose
0,Olivia Drake
0,Tessa Johnson
1,Levon Muradyan
2,Jadin Johnson
3,Joseph Goessling
4,Luke Schultz
6,Blake Anderson
9,Lucas Hanson 
20,Samantha Blake
50,Colin Stevens
66,Kristen White
81,Nate Ackerman
87,Julia Bernat
88,Sam Dawson
92,John Dames
b,r,e,a,k
s,t,a,g,e,s
pools,Pool Play
pool,Pool A
Drag'n Thrust,ConSTLation,13,4,"09/20/2025, 08:30",Pool A,Final
Madison United Mixed Ultimate,Frostbite,13,9,"09/20/2025, 08:30",Pool A,Final
Drag'n Thrust,Frostbite,13,3,"09/20/2025, 10:15",Pool A,Final
Madison United Mixed Ultimate,ConSTLation,8,11,"09/20/2025, 10:15",Pool A,Final
Drag'n Thrust,Madison United Mixed Ultimate,13,2,"09/20/2025, 12:00",Pool A,Final
ConSTLation,Frostbite,13,10,"09/20/2025, 12:00",Pool A,Final
pool,Pool B
NOISE,No Touching!,13,12,"09/20/2025, 08:30",Pool B,Final
Northern Comfort,Mad Udderburn,13,11,"09/20/2025, 08:30",Pool B,Final
NOISE,Mad Udderburn,13,5,"09/20/2025, 10:15",Pool B,Final
Northern Comfort,No Touching!,10,11,"09/20/2025, 10:15",Pool B,Final
NOISE,Northern Comfort,13,11,"09/20/2025, 12:00",Pool B,Final
No Touching!,Mad Udderburn,13,7,"09/20/2025, 12:00",Pool B,Final
pool,Pool C
Minnesota Star Power,Pushovers,13,9,"09/20/2025, 08:30",Pool C,Final
Good Company,Boomtown Pandas,13,5,"09/20/2025, 08:30",Pool C,Final
Minnesota Star Power,Boomtown Pandas,13,5,"09/20/2025, 10:15",Pool C,Final
Good Company,Pushovers,13,6,"09/20/2025, 10:15",Pool C,Final
Minnesota Star Power,Good Company,10,13,"09/20/2025, 12:00",Pool C,Final
Pushovers,Boomtown Pandas,12,8,"09/20/2025, 12:00",Pool C,Final
pool,Pool D
Bird,The Chad Larson Experience,11,10,"09/20/2025, 08:30",Pool D,Final
Fatal Attraction,STL CELESTIAL,13,6,"09/20/2025, 08:30",Pool D,Final
Bird,STL CELESTIAL,13,3,"09/20/2025, 10:15",Pool D,Final
Fatal Attraction,The Chad Larson Experience,13,10,"09/20/2025, 10:15",Pool D,Final
Bird,Fatal Attraction,8,13,"09/20/2025, 12:00",Pool D,Final
The Chad Larson Experience,STL CELESTIAL,13,7,"09/20/2025, 12:00",Pool D,Final
b,r,e,a,k
brackets,Bracket Play
bracket,1st Place
Drag'n Thrust,Good Company,0,0,"09/21/2025, 12:30",Finals,Scheduled
Drag'n Thrust,Minnesota Star Power,15,6,"09/21/2025, 10:30",Semis,Final
Good Company,NOISE,15,11,"09/21/2025, 10:30",Semis,Final
Drag'n Thrust,No Touching!,15,9,"09/21/2025, 08:30",Quarters,Final
Fatal Attraction,Minnesota Star Power,14,15,"09/21/2025, 08:30",Quarters,Final
Good Company,Madison United Mixed Ultimate,15,8,"09/21/2025, 08:30",Quarters,Final
NOISE,The Chad Larson Experience,15,5,"09/21/2025, 08:30",Quarters,Final
No Touching!,Pushovers,15,7,"09/20/2025, 13:45",Pre-Quarters,Final
Minnesota Star Power,Northern Comfort,15,13,"09/20/2025, 13:45",Pre-Quarters,Final
Madison United Mixed Ultimate,Bird,14,11,"09/20/2025, 13:45",Pre-Quarters,Final
The Chad Larson Experience,ConSTLation,15,9,"09/20/2025, 13:45",Pre-Quarters,Final
bracket,3rd Place
Minnesota Star Power,NOISE,0,0,"09/21/2025, 12:30",3rd Place,Scheduled
bracket,5th Place
No Touching!,Fatal Attraction,11,15,"09/21/2025, 10:30",5th Semis,Final
Madison United Mixed Ultimate,The Chad Larson Experience,0,0,"09/21/2025, 10:30",5th Semis,Scheduled
bracket,7th Place
bracket,9th Place
ConSTLation,Bird,11,13,"09/21/2025, 10:30",9th Semis,Scheduled
Northern Comfort,Pushovers,15,12,"09/21/2025, 10:30",9th Semis,Final
ConSTLation,Boomtown Pandas,15,10,"09/21/2025, 08:30",9th Quarters,Final
Bird,Mad Udderburn,14,13,"09/21/2025, 08:30",9th Quarters,Final
Northern Comfort,Frostbite,15,9,"09/21/2025, 08:30",9th Quarters,Final
Pushovers,STL CELESTIAL,15,6,"09/21/2025, 08:30",9th Quarters,Final
bracket,11th Place
bracket,13th Place
Boomtown Pandas,Mad Udderburn,0,0,"09/21/2025, 10:30",13th Semis,Scheduled
Frostbite,STL CELESTIAL,0,0,"09/21/2025, 10:30",13th Semis,Scheduled
bracket,15th Place
b,r,e,a,k
