Presidents' Day Invite 2025,College - Women ,15,2,2025
La Jolla,CA,2025-02-15,2025-02-17
https://play.usaultimate.org/events/Presidents-Day-Invite-2025/schedule/Women/CollegeWomen/
British Columbia,1
pool,Pool E
British Columbia,Brigham Young,13,0,"02/16/2025, 08:00",Pool E,Final
Utah,UCLA,10,8,"02/16/2025, 08:00",Pool E,Final
British Columbia,UCLA,13,4,"02/16/2025, 09:30",Pool E,Final
Utah,Brigham Young,13,5,"02/16/2025, 09:30",Pool E,Final
British Columbia,Utah,13,1,"02/16/2025, 11:00",Pool E,Final
UCLA,Brigham Young,13,2,"02/16/2025, 11:00",Pool E,Final
pool,Pool F
California-Santa Cruz,Southern California,13,6,"02/16/2025, 08:00",Pool F,Final
California-Santa Barbara,California-Davis,9,12,"02/16/2025, 08:00",Pool F,Final
California-Santa Cruz,California-Davis,11,9,"02/16/2025, 09:30",Pool F,Final
California-Santa Barbara,Southern California,W,L,"02/16/2025, 09:30",Pool F,Final
California-Santa Cruz,California-Santa Barbara,8,3,"02/16/2025, 11:00",Pool F,Final
California-Davis,Southern California,13,2,"02/16/2025, 11:00",Pool F,Final
pool,Pool G
Colorado,Colorado State,12,9,"02/16/2025, 09:30",Pool G,Final
California-San Diego,Stanford,12,11,"02/16/2025, 09:30",Pool G,Final
Colorado,Stanford,9,6,"02/16/2025, 11:00",Pool G,Final
California-San Diego,Colorado State,12,8,"02/16/2025, 11:00",Pool G,Final
Colorado,California-San Diego,11,10,"02/16/2025, 12:30",Pool G,Final
Stanford,Colorado State,13,2,"02/16/2025, 12:30",Pool G,Final
pool,Pool H
Oregon,Texas,13,7,"02/16/2025, 09:30",Pool H,Final
Western Washington,Victoria,12,13,"02/16/2025, 09:30",Pool H,Final
Oregon,Victoria,10,6,"02/16/2025, 11:00",Pool H,Final
Western Washington,Texas,9,8,"02/16/2025, 11:00",Pool H,Final
Oregon,Western Washington,11,8,"02/16/2025, 12:30",Pool H,Final
Victoria,Texas,8,5,"02/16/2025, 12:30",Pool H,Final
b,r,e,a,k
brackets,Bracket Play
bracket,Championship Bracket
British Columbia,Oregon,13,10,"02/17/2025, 09:40",Final,Final
British Columbia,California-Santa Cruz,13,12,"02/17/2025, 08:00",Semi Finals,Final
Colorado,Oregon,12,13,"02/17/2025, 08:00",Semi Finals,Final
British Columbia,California-Davis,13,12,"02/17/2025, 06:20",Quarters,Final
Utah,California-Santa Cruz,10,11,"02/17/2025, 06:20",Quarters,Final
Colorado,Victoria,13,8,"02/17/2025, 06:20",Quarters,Final
Oregon,California-San Diego,13,9,"02/17/2025, 06:20",Quarters,Final
bracket,3rd Place
California-Santa Cruz,Colorado,0,0,"02/17/2025, 09:40",3rd Place,Scheduled
bracket,5th Place Bracket
Utah,California-San Diego,0,0,"02/17/2025, 09:40",5th Place,Scheduled
California-Davis,Utah,8,13,"02/17/2025, 08:00",5th Semis,Final
Victoria,California-San Diego,8,13,"02/17/2025, 08:00",5th Semis,Final
bracket,7th Place
California-Davis,Victoria,0,0,"02/17/2025, 09:40",7th Place,Scheduled
bracket,9th Place Bracket
UCLA,Stanford,4,13,"02/17/2025, 09:40",Ninals,Final
California-Santa Barbara,UCLA,6,9,"02/17/2025, 08:00",Semi Ninals,Final
Stanford,Western Washington,12,8,"02/17/2025, 08:00",Semi Ninals,Final
bracket,11th Place
California-Santa Barbara,Western Washington,0,0,"02/17/2025, 09:40",11th Place,Scheduled
bracket,13th Place Bracket
Southern California,Texas,0,0,"02/17/2025, 09:40",13th Place,Scheduled
Southern California,Colorado State,10,9,"02/17/2025, 08:00",13th Semis,Final
Brigham Young,Texas,10,12,"02/17/2025, 08:00",13th Semis,Final
bracket,15th Place
Colorado State,Brigham Young,0,0,"02/17/2025, 09:40",Fifteenals,Scheduled
b,r,e,a,k
