Eugene Summer Solstice 2019,Club - Women ,22,6,2019
Eugene,OR,2019-06-22,2019-06-23
https://play.usaultimate.org/events/Eugene-Summer-Solstice-2019/schedule/Women/Club-Women/
Fury,1
55,Kaitlyn Anderson
72,Ezra Weybright
99,Syris Linkfield
b,r,e,a,k
Trash.,20
0,Bella Brown
0,Kaitlyn Harris
0,Louise Ryan
5,Carol  Newton 
11,Audrey Cole
13,Holly Gibson
19,hannah Teagle
28,Brandy Turcotte
28,Shannon Dennehy
37,Bryna Cortes
b,r,e,a,k
Tempo,14
0,Boe Mendewala
0,Caylin Gentile
0,Jane Marie Gunn
0,Kate Schroeder
0,Mary Mraovich
0,Silvie Coheleach
0,Simone Saldanha
1,Olyvia Chinchilla
2,Nicole Yu
2,Jessica Smith
6,Sofia Luna Frank-Fischer
00,Gianna Vitallo
11,Olivia Rivett
14,Alicia Loebl
15,Kristine Blike-Morales
17,Megan Lee
31,Kaila Chan
b,r,e,a,k
s,t,a,g,e,s
pools,Saturday Pool Play
pool,Pool A
Fury,Colorado Small Batch,13,2,"06/22/2019, 09:00",Pool A,Final
Traffic,Elevate,12,9,"06/22/2019, 09:00",Pool A,Final
Fury,Traffic,10,7,"06/22/2019, 10:30",Pool A,Final
Nightlock,Elevate,13,4,"06/22/2019, 10:30",Pool A,Final
Elevate,Colorado Small Batch,7,10,"06/22/2019, 12:00",Pool A,Final
Nightlock,Traffic,10,11,"06/22/2019, 12:00",Pool A,Final
Fury,Elevate,13,1,"06/22/2019, 13:30",Pool A,Final
Nightlock,Colorado Small Batch,8,7,"06/22/2019, 13:30",Pool A,Final
Fury,Nightlock,13,6,"06/22/2019, 15:00",Pool A,Final
Traffic,Colorado Small Batch,12,6,"06/22/2019, 15:00",Pool A,Final
pool,Pool B
Seattle Riot,FAB,13,1,"06/22/2019, 09:00",Pool B,Final
Underground,Sneaky House Hippos,10,7,"06/22/2019, 09:00",Pool B,Final
Seattle Riot,Underground,10,8,"06/22/2019, 10:30",Pool B,Final
Schwa,Sneaky House Hippos,13,6,"06/22/2019, 10:30",Pool B,Final
Sneaky House Hippos,FAB,8,5,"06/22/2019, 12:00",Pool B,Final
Schwa,Underground,10,5,"06/22/2019, 12:00",Pool B,Final
Seattle Riot,Sneaky House Hippos,13,1,"06/22/2019, 13:30",Pool B,Final
Schwa,FAB,11,3,"06/22/2019, 13:30",Pool B,Final
Underground,FAB,8,6,"06/22/2019, 15:00",Pool B,Final
Seattle Riot,Schwa,13,6,"06/22/2019, 16:30",Pool B,Final
pool,Pool C
Venom,Seven Devils,8,6,"06/22/2019, 09:00",Pool C,Final
Throwback,Koi,7,9,"06/22/2019, 09:00",Pool C,Final
Venom,Throwback,9,7,"06/22/2019, 10:30",Pool C,Final
PDXtra,Koi,10,4,"06/22/2019, 10:30",Pool C,Final
Koi,Seven Devils,3,7,"06/22/2019, 12:00",Pool C,Final
PDXtra,Throwback,13,2,"06/22/2019, 12:00",Pool C,Final
Venom,Koi,8,6,"06/22/2019, 13:30",Pool C,Final
PDXtra,Seven Devils,13,2,"06/22/2019, 13:30",Pool C,Final
Venom,PDXtra,4,13,"06/22/2019, 15:00",Pool C,Final
Throwback,Seven Devils,8,13,"06/22/2019, 15:00",Pool C,Final
pool,Pool D
Seattle Soul,Trash.,13,4,"06/22/2019, 09:00",Pool D,Final
Korra,Portland Ivy,11,8,"06/22/2019, 09:00",Pool D,Final
Seattle Soul,Korra,8,9,"06/22/2019, 10:30",Pool D,Final
Tempo,Portland Ivy,3,13,"06/22/2019, 10:30",Pool D,Final
Portland Ivy,Trash.,13,3,"06/22/2019, 12:00",Pool D,Final
Tempo,Korra,3,9,"06/22/2019, 12:00",Pool D,Final
Seattle Soul,Portland Ivy,9,5,"06/22/2019, 13:30",Pool D,Final
Tempo,Trash.,3,13,"06/22/2019, 13:30",Pool D,Final
Seattle Soul,Tempo,13,1,"06/22/2019, 15:00",Pool D,Final
Korra,Trash.,11,10,"06/22/2019, 15:00",Pool D,Final
b,r,e,a,k
brackets,Sunday Bracket
bracket,Championship
Fury,Seattle Riot,7,12,"06/23/2019, 13:30",Finals,Final
Fury,Nightlock,13,4,"06/23/2019, 12:00",Semis,Final
Underground,Seattle Riot,4,13,"06/23/2019, 12:00",Semis,Final
Sneaky House Hippos,Fury,1,13,"06/23/2019, 10:30",Quarters,Final
Nightlock,Schwa,10,8,"06/23/2019, 10:30",Quarters,Final
Underground,Traffic,10,9,"06/23/2019, 10:30",Quarters,Final
Colorado Small Batch,Seattle Riot,4,13,"06/23/2019, 10:30",Quarters,Final
Sneaky House Hippos,Elevate,13,6,"06/23/2019, 09:00",Pre-Quarters,Final
Nightlock,PDXtra,13,3,"06/23/2019, 09:00",Pre-Quarters,Final
Underground,Korra,9,7,"06/23/2019, 09:00",Pre-Quarters,Final
Colorado Small Batch,FAB,10,7,"06/23/2019, 09:00",Pre-Quarters,Final
bracket,Third Place
Nightlock,Underground,9,5,"06/23/2019, 13:30",Final,Final
bracket,Fifth Place
Schwa,Traffic,9,7,"06/23/2019, 15:00",Finals,Final
Sneaky House Hippos,Schwa,7,13,"06/23/2019, 13:30",Semis,Final
Traffic,Colorado Small Batch,12,4,"06/23/2019, 13:30",Semis,Final
bracket,Seventh Place
Sneaky House Hippos,Colorado Small Batch,9,8,"06/23/2019, 15:00",Finals,Final
bracket,Ninals
Elevate,FAB,8,10,"06/23/2019, 13:30",Championship,Final
Elevate,PDXtra,13,11,"06/23/2019, 12:00",Semis,Final
Korra,FAB,6,10,"06/23/2019, 12:00",Semis,Final
bracket,Elevensies
PDXtra,Korra,12,7,"06/23/2019, 13:30",Championship,Final
b,r,e,a,k
brackets,Sunday Consolation Bracket
bracket,Glampionship
Portland Ivy,Seattle Soul,4,10,"06/23/2019, 12:00",Finals,Final
Venom,Portland Ivy,5,10,"06/23/2019, 10:30",Semis,Final
Trash.,Seattle Soul,5,13,"06/23/2019, 10:30",Semis,Final
Venom,Tempo,9,5,"06/23/2019, 09:00",Quarters,Final
Portland Ivy,Koi,13,9,"06/23/2019, 09:00",Quarters,Final
Seven Devils,Trash.,9,13,"06/23/2019, 09:00",Quarters,Final
Seattle Soul,Throwback,13,3,"06/23/2019, 09:00",Quarters,Final
bracket,Yass Queens
Koi,Throwback,9,11,"06/23/2019, 12:00",Final,Final
Tempo,Koi,6,11,"06/23/2019, 10:30",Get it,Final
Seven Devils,Throwback,8,9,"06/23/2019, 10:30",Get it,Final
bracket,Too Hot
Venom,Trash.,1,0,"06/23/2019, 12:00",Final,Final
bracket,Sheroes
Tempo,Seven Devils,5,7,"06/23/2019, 12:00",Final,Final
b,r,e,a,k
