Heavyweights 2019,Club - Mixed ,3,8,2019
Aurora,IL,2019-08-03,2019-08-04
https://play.usaultimate.org/events/Heavyweights-2019/schedule/Mixed/Club-Mixed
Toast,3
teamInfo,,"Evanston, Illinois",,,
0,Cindy Mei
0,Collin Klenke
0,Andrew Patel
0,Jacob Wham
0,Jordan Brooks
0,Kenneth Allen
0,Samantha Cohen
0,Talia Willmert
1,Sarah Johnson
12,Taylor  Pochetti
15,Max Moore
19,Anna Scarbrough
25,Hindeke Tewodros
41,Christian Rozolis
44,Grace Young
55,Grace Goulson
85,Hunter Latson
88,Catherine Chen
88,Jason Paul
99,Joe Harari
b,r,e,a,k
Mousetrap,16
teamInfo,,"Madison, Wisconsin",,https://www.facebook.com/mousetrapulti,https://twitter.com/MouseTrapUlti
0,Caroline Fallon
0,ELEANOR KNAUSS
0,Elizabeth Ebert
0,Henry Fremont
0,Jacob Calbaum
0,Jonathan Bauer
0,Katharine Lewer
0,Lily Mae Abels
0,Spencer Olsson
4,Margo Stanger
7,Zeke Witter
8,Samuel Erickson
8,Hans Kittleson
9,Peter Walker
11,Benjamin Liska
16,Mitchell Rose
18,Helen Koth
19,Jay Taves
29,Jack Mallmann
34,Ben Moody
36,Catherine Morita
41,Marit McQuaig
49,Cadence Sawyer
69,Kyle Cleary
b,r,e,a,k
Fox Valley Forge,23
teamInfo,,"Fox Valley, Wisconsin",,https://www.facebook.com/Fox-Valley-Forge-2323011284603973/?ref=aymt_homepage_panel&eid=ARC88q1Az1Wu6Oe8oiGawhrtYVdj8EXO7iPDoGW2XaadGQxGyAMlYildTMMup9boqGdRXTPWQAYDKlHb,
0,Allison Castellon
0,Andrew Yenter
0,Anthony Hecht
0,Cassandra Renforth
0,Cassidy Duciaume
0,Christopher Mills
0,John Blume
0,Katie Olson
0,Kelly Dirkman
0,Michelle Sandquist
0,Paul Drees
0,Tracy Turba
0,Zachary Coehoorn
0,Zackory Runke
b,r,e,a,k
Mad Udderburn,7
teamInfo,,"Madison, Wisconsin",http://madudderburn.com/,https://www.facebook.com/MadUdderburn,https://twitter.com/mad_udderburn
0,David Kurian
02,David Mohan
03,Jake Wilson
06,Anders Shropshire
07,Kasey Kenealy
08,Ben Schewe
09,Grant Hellestad
10,Matt Coogan
11,Spike Pike
13,Tessa Berry
14,Katherine Magruder
15,John Miller
16,Thomas Guerin
17,Thom Kenealy
20,Briana Morales
21,Bryan Brooks
22,Lauren Armstrong
25,Stephanie Smith
27,Clay Schelitzche
30,Helen Walz
31,Amber Heffernan
32,Amanda Hellestad
34,Chase O'Brien
41,Molly Schelitzche
44,Koby Seaborne
b,r,e,a,k
Los  Heros,12
teamInfo,,"Bloomington, Indiana",,,https://twitter.com/HerosUltimate
0,Gus Klofta
1,Madilynn Werbianskyj
2,Jeremy Davis
4,Ryan Opal
5,Connor Regan
6,Megan Peplinski
7,James Quill
9,Shannon Regan
10,Benjamin Gerroll
14,Alicia Freel
15,Audrey Williams
16,Jacqueline Lai
17,Forrest Jackson
19,Benjamin Adams
22,Emily Wyckoff
24,Claire Soisson
25,Raymundo Lopez
32,Mackenzie Alameda
34,Geri McInerney
40,Jacob Lucas
43,Caleb Ritchey
44,Kye Butler
69,Abigail Stark
72,Trevor Cook
84,Vaughn Vargo-Alevras
91,Eric Johnson
b,r,e,a,k
Midwestern Mediocrity,22
teamInfo,,"Grand Rapids, Michigan",,,
0,Patrick Roelofs
0,Stephan Scicluna
0,Zahra Franco
00,Steve Janda
00,Tim Jen
00,Zac Baker
00,Zachary Dal Pra
00,Rachel Danks
00,Christopher Dahm
00,Dan  Roelofs
00,Andrew Curtin
00,Andrew Piet
00,Brandon Woody
00,Evan Winer
00,Grace Kiel
00,Holly Vander Stel
00,Jason Litke
00,Kaciana Champlin
00,Katie Longoria
00,Mark Brown
00,Matthew Silverhart
00,Michelle Keohane
13,David Danks
18,Charles Blum
b,r,e,a,k
Boomtown Pandas,17
teamInfo,,"Madison, Wisconsin",,https://www.facebook.com/BoomtownPandas/,https://twitter.com/boomtownpandas
0,Alex Larsen
0,Anne Gardner
0,Chris Sykes
0,Emma Boehm
0,Heidi Umhoefer
0,Karly Yablonski
0,Kensey Katz
0,Matthew Wykle
0,Molly Snow
0,Reed Gardner
2,Edward Kaul
4,Lindsey Tushman
4,Jessie Hsu
6,Jessica Frommgen
7,Benjamin Hsu
7,Steven Whelan
11,Ben Hutchinson
13,Rachel Wilson
14,Michael Denruiter
21,John Schaefer
25,Michael Van Haren
29,Sarah Doege
51,Nathan Kleinhans
66,April Peterson
84,Vincent Hsu
94,Derek Weisberg
b,r,e,a,k
Melt,8
teamInfo,,"Saint Paul, Minnesota",,https://www.facebook.com/MeltUltimateMN/,https://twitter.com/MeltUltimateMN
0,Alex Kaplan
0,Allison Collins
0,Alyxandra Averkamp
0,Daniel Herrera
0,Danielle Stacey
0,Casey Hoffman
0,Erik Streufert
0,Frieda Manthei
0,John Anderson
0,Lydia Reiner
0,Mark Pennebecker
0,Maureen Donohue
0,Michael Hall
0,Nicholas Guo
0,Tiffany Lui
0,Vincent Vik
3,Mckenna Miller
10,Derek Klein
13,Evan Ford
13,Sam Eherenman
16,Sarah Christie
36,Donald Wood
42,Anna Ruehlow
64,Sophie Nadler
73,Charlie Enders
b,r,e,a,k
Stackcats,11
teamInfo,,"Chicago, Illinois",,https://www.facebook.com/stackcatsultimate/,@stackcatsultimate
0,Andrew Gubernick
0,Anthony Oplawski
0,Caden Canavan
0,Christopher Thomas
0,Jackson Todd
0,Mark Valzonis
0,Matt Tansley
0,Monica Oplawski
0,Ryan Kurnik
0,Samantha Swank
3,Samantha Thompson
6,Vincent Curkov
7,Michael Hyland
12,Ashley Betke
13,David Lindsey
17,Julian Huvaere
23,Elizabeth Thorsell
23,Ashley Wagner
24,Kyle Brooks
33,Sara Putnam
35,Nick Compton
36,Miranda Gallegos
42,Benton Fletcher
57,Jonathan Alton
72,Zaray Buenrostro
b,r,e,a,k
Mastodon,18
teamInfo,,"Madison, Wisconsin",,https://www.facebook.com/MastodonUltimate/?ref=aymt_homepage_panel,https://www.twitter.com/MastodonUlti
0,Amy Sullivan
0,Anh Bao Tran-Le
0,Courtney Botelho
0,Bethany Krasuski
0,Kendra Reams
0,Luke Bodnar
0,Magdalen Palzewicz
0,Marika Witt
0,Trevor Smith
1,Caitlin Clevenger
4,Caroline Bantug
9,Sarah Mancina
13,Daniel Huncosky
13,Annalise Ho
19,Aric Doak
20,Noah Webster
21,Jessica Liu
31,Thomas Jungbluth
33,Justin Chenevert
86,Matt LaFever
90,Samuel Perreth
99,Lauren Bradshaw
b,r,e,a,k
Mishigami,21
teamInfo,,"Lansing, Michigan",,,
69,Alex Carls
69,Alexis Sanders
69,Andrew Duquette
69,Ariel Stepniak
69,Aubrey Loftus
69,Catey Regis
69,Coral Muessig
69,Daniel Viggiani
69,Emily Dimperio
69,Ian Koskinen
69,Jennifer Knister
69,Kirsten Welborn
69,Kristen Brown
69,Logan McDonald
69,Lynette Gumbleton
69,Megan Isherwood
69,Nathan Frantz
69,Patrick Abeli
69,Phil Ewing
69,Rachel Martell
69,Reuben Glasser
69,Ryan Radawiec
69,Ryan Plumstead
b,r,e,a,k
ELevate,9
teamInfo,,"Chicago, Illinois",,https://www.facebook.com/ELevateUltimate,https://twitter.com/ElevateUltimate
4,William Horwitz
01,Will Hsieh
03,Bridget Doherty
05,Dennis Gisler
11,Lauren Miller
12,Pedrom Rejai
13,Samantha Sadlier
14,Kelly Hopps
18,Grace Feehan
21,Benjamin Macalalad
22,Giovi Kelly
26,Scott Anding
27,Molly O’Donnell
36,Talia Fishman-Strait
40,Alex Kowalczuk
42,Ryan Albright
43,Kyle Bayes
44,Meredith Sommars
47,Jeff Sommars
48,Alina Dain
71,Matt Gubernick
79,Tim Hopps
99,Samuel Fishman-Strait
b,r,e,a,k
Wildstyle,10
teamInfo,,"Austin, Texas",,,
0,Allison Wassel
0,Amberly Malone
0,Angela Vujosevic
0,Ashley Abrigo
0,Carley Garrett
0,Chago Espinosa
0,Fynn McPherson
0,Guadalupe Garcia
0,Mackenzie Magner
0,Sarah Piersall
0,Stacey Nava
0,Victoria Bellamy
0,Weston Wolf
2,Thomas Rapp
5,Joseph Feeney
6,Elliot Sonoqui
14,George Panga
17,Gregory Militello
17,Anthony Shelton
87,Josh Venter
87,Tim Tevdovich
b,r,e,a,k
Identity Theft,20
teamInfo,,"Minneapolis, Minnesota",,,
0,Madeline DeForge
01,Rebecca Henry
02,Taylor Krzmarcik
07,Joseph Sheehan
10,Tyler Berg
11,Collin Petersen
12,Luke Howard
13,Esther Gendler
14,Zoe Sblendoriogiebel
16,Christopher Anderson
17,Mimi Neeser
18,Daniel Erickson
20,Adam Riley
22,Boden Oelhafen
24,Nathan Phillips
26,Alex Anderson
31,Anna Gleason
34,Aidan Henry
62,Marcus Cannon
65,Abby Jacobson
82,Jeremy Schuetz
99,Isabelle Wolf
b,r,e,a,k
Taco Cat,19
teamInfo,,"Chicago, Illinois",,,
0,Brad MILLER
0,Brandon Williams
0,Charles Quigley
0,Maralee Capella
0,Rachel Fiore
0,Ron Wolfe
3,Keren Newby
8,Hung  Nguyen
11,Thomas Williams
13,Thara Nallamothu
16,WillIam Altschul
19,Adam Rubinberg
20,Blair  Hamilton
24,Trevor Deimel
66,Jack Laven
83,Daniel Kennard
84,Andi Trubiano
b,r,e,a,k
s,t,a,g,e,s
pools,X PP
pool,Pool A
Nothing's Great Again (aka Babymaker),Toast,11,13,"08/03/2019, 11:30",Pool A,Final
Northern Comfort,Shakedown,11,8,"08/03/2019, 11:30",Pool A,Final
Nothing's Great Again (aka Babymaker),Shakedown,13,12,"08/03/2019, 15:00",Pool A,Final
Northern Comfort,Toast,9,13,"08/03/2019, 15:00",Pool A,Final
Nothing's Great Again (aka Babymaker),Northern Comfort,7,13,"08/03/2019, 16:45",Pool A,Final
Toast,Shakedown,13,11,"08/03/2019, 16:45",Pool A,Final
pool,Pool B
Prion,Jabba,11,10,"08/03/2019, 09:45",Pool B,Final
Pandamonium,Jabba,13,8,"08/03/2019, 11:30",Pool B,Final
Pandamonium,Prion,9,11,"08/03/2019, 13:15",Pool B,Final
pool,Pool C
PanIC,Mousetrap,13,10,"08/03/2019, 08:00",Pool C,Final
EMU,Fox Valley Forge,13,1,"08/03/2019, 08:00",Pool C,Final
PanIC,Fox Valley Forge,13,2,"08/03/2019, 09:45",Pool C,Final
EMU,Mousetrap,13,10,"08/03/2019, 09:45",Pool C,Final
PanIC,EMU,13,5,"08/03/2019, 11:30",Pool C,Final
Mousetrap,Fox Valley Forge,13,0,"08/03/2019, 11:30",Pool C,Final
pool,Pool D
Mad Udderburn,Boomtown Pandas,13,6,"08/03/2019, 08:00",Pool D,Final
Los  Heros,Midwestern Mediocrity,13,7,"08/03/2019, 08:00",Pool D,Final
Mad Udderburn,Midwestern Mediocrity,13,8,"08/03/2019, 09:45",Pool D,Final
Los  Heros,Boomtown Pandas,13,7,"08/03/2019, 09:45",Pool D,Final
Mad Udderburn,Los  Heros,13,9,"08/03/2019, 11:30",Pool D,Final
Boomtown Pandas,Midwestern Mediocrity,12,13,"08/03/2019, 11:30",Pool D,Final
pool,Pool E
Melt,Mastodon,13,8,"08/03/2019, 08:00",Pool E,Final
Stackcats,Mishigami,11,9,"08/03/2019, 08:00",Pool E,Final
Melt,Mishigami,13,10,"08/03/2019, 09:45",Pool E,Final
Stackcats,Mastodon,13,7,"08/03/2019, 09:45",Pool E,Final
Melt,Stackcats,12,8,"08/03/2019, 11:30",Pool E,Final
Mastodon,Mishigami,9,8,"08/03/2019, 11:30",Pool E,Final
pool,Pool F
ELevate,Taco Cat,13,2,"08/03/2019, 08:00",Pool F,Final
Wildstyle,Identity Theft,13,5,"08/03/2019, 08:00",Pool F,Final
ELevate,Identity Theft,13,4,"08/03/2019, 09:45",Pool F,Final
Wildstyle,Taco Cat,13,2,"08/03/2019, 09:45",Pool F,Final
ELevate,Wildstyle,13,7,"08/03/2019, 11:30",Pool F,Final
Taco Cat,Identity Theft,8,13,"08/03/2019, 11:30",Pool F,Final
b,r,e,a,k
brackets,X SAT CONSOLATION CROSSOVERS
bracket,X CROSSOVER #1
EMU,Jabba,9,8,"08/03/2019, 15:00",X CROSSOVER #1,Final
bracket,X CROSSOVER #2
Pandamonium,Mousetrap,11,8,"08/03/2019, 15:00",X CROSSOVER #2,Final
b,r,e,a,k
brackets,X BP
bracket,X CHAMPIONSHIP
Toast,PanIC,13,14,"08/04/2019, 11:30",X FINALS,Final
Toast,Shakedown,13,9,"08/04/2019, 09:45",X SEMIS,Final
Northern Comfort,PanIC,11,13,"08/04/2019, 09:45",X SEMIS,Final
Toast,Melt,13,9,"08/04/2019, 08:00",X QUARTERS,Final
Shakedown,Los  Heros,12,8,"08/04/2019, 08:00",X QUARTERS,Final
Northern Comfort,Mad Udderburn,13,9,"08/04/2019, 08:00",X QUARTERS,Final
Nothing's Great Again (aka Babymaker),PanIC,6,13,"08/04/2019, 08:00",X QUARTERS,Final
Melt,ELevate,13,11,"08/03/2019, 15:00",X PLAY-IN,Final
Prion,Los  Heros,9,13,"08/03/2019, 15:00",X PLAY-IN,Final
Mad Udderburn,Wildstyle,13,6,"08/03/2019, 15:00",X PLAY-IN,Final
PanIC,Stackcats,13,3,"08/03/2019, 15:00",X PLAY-IN,Final
bracket,X 3RD PLACE
Shakedown,Northern Comfort,6,13,"08/04/2019, 11:30",X 3RD,Final
bracket,X 5TH PLACE
Melt,Nothing's Great Again (aka Babymaker),8,13,"08/04/2019, 13:15",X 5TH,Final
Melt,Los  Heros,1,0,"08/04/2019, 09:45",X 5TH SEMIS,Final
Mad Udderburn,Nothing's Great Again (aka Babymaker),11,13,"08/04/2019, 09:45",X 5TH SEMIS,Final
bracket,X 7TH PLACE
Los  Heros,Mad Udderburn,0,1,"08/04/2019, 13:15",X 7TH,Final
bracket,X 9TH PLACE
ELevate,Wildstyle,12,11,"08/04/2019, 13:15",X 9TH,Final
ELevate,Prion,13,8,"08/04/2019, 11:30",X 9TH SEMIS,Final
Wildstyle,Stackcats,13,8,"08/04/2019, 11:30",X 9TH SEMIS,Final
bracket,X 11TH PLACE
Prion,Stackcats,12,11,"08/04/2019, 13:15",X 11TH,Final
bracket,X 20/23
Taco Cat,Fox Valley Forge,13,10,"08/04/2019, 08:00",X 20/23,Final
bracket,X 22/23
Boomtown Pandas,Fox Valley Forge,13,2,"08/04/2019, 09:45",X 22/23,Final
bracket,X 20/22
Taco Cat,Boomtown Pandas,4,13,"08/04/2019, 11:30",X 20/22,Final
b,r,e,a,k
pools,X CONSOLATION PP
pool,Green Pool
Jabba,Identity Theft,13,7,"08/04/2019, 11:30",Green Pool,Final
Mousetrap,Mishigami,7,11,"08/04/2019, 11:30",Green Pool,Final
Jabba,Mishigami,9,13,"08/04/2019, 13:15",Green Pool,Final
Mousetrap,Identity Theft,13,4,"08/04/2019, 13:15",Green Pool,Final
Jabba,Mousetrap,8,13,"08/04/2019, 15:00",Green Pool,Final
Identity Theft,Mishigami,8,13,"08/04/2019, 15:00",Green Pool,Final
pool,Blue Pool 
EMU,Midwestern Mediocrity,13,5,"08/04/2019, 08:00",Blue Pool ,Final
Mastodon,Pandamonium,10,13,"08/04/2019, 08:00",Blue Pool ,Final
EMU,Mastodon,13,9,"08/04/2019, 09:45",Blue Pool ,Final
Pandamonium,Midwestern Mediocrity,13,10,"08/04/2019, 09:45",Blue Pool ,Final
EMU,Pandamonium,W,F,"08/04/2019, 13:15",Blue Pool ,Final
Mastodon,Midwestern Mediocrity,12,7,"08/04/2019, 13:15",Blue Pool ,Final
b,r,e,a,k
