Presidents' Day Invite 2019,College - Men ,16,2,2019
La Jolla,CA,2019-02-16,2019-02-18
https://play.usaultimate.org/events/Presidents-Day-Invite-2019/schedule/Men/CollegeMen/
Oregon,1
0,Charles Thudium
0,Everett Quock
0,Jacob Deppmeier
0,James Meskell
0,Devin Hom
0,Dylan Pyle
0,Keenan McKelvey
0,Spencer Sawyer
0,Tycho Yacub
0,Vishal Patel
1,John Nguyen
5,Julius Vo
13,Sean Hoffman
15,Nick Tolfa
31,Chetan Gomatam
37,Logan Dolim
62,Elliot Wilde
86,Daniel Speer
b,r,e,a,k
San Diego State,14
0,Aaron  Nepomuceno
0,Justen Hitchcock
0,Kyle Jones
03,Garrett Medina
10,Tazio Rosenberg
12,Michael Grisanti
13,Harrison Hayes
17,Brian Hayden-Brewer
17,Zachary Leon
18,Joshua Schroeder
21,Tyler Best
22,Jayden Ders
24,Robert Brodskiy
28,Nathan Machak
30,Hayden McAdoo
32,Marew Yousif
39,Noble Schlueter
42,Rodman Stuhlmuller
44,Francis Wright
50,Matthew Jensen
99,Luke Hume
b,r,e,a,k
Southern California,5
0,Camilo Barrera
0,Chris Doehring
0,Alexander Tovar
0,Evan Ostrowski
0,Jack Damiani
0,Jonathan Jalajas
0,Mitchell Maruyama
0,Randy Hoang
0,Rowan McEvoy
2,Sam Cook
3,Ricky Kirkpatrick
7,Washington Zhao
8,Diego Frankel
11,Cy Toriello
13,Kevin Stearns
14,Hill Balliet
18,Phillip Yang
29,David Sealand
44,Daniel Rabinovich
55,Drew Okenfuss
75,Benjamin Ma
b,r,e,a,k
British Columbia,4
0,Chris Small
0,Colin Herrington
0,Connor McFadyen
0,Daniel McGuire
0,Jack  Hou 
0,Jiaming (Alex) Wang
0,Jin Loong Lee
0,Alec Francis
0,Justin Chan
0,Levi Keay
0,Louie Weng
0,Nicolas Sanchez
0,Nicolas Choy
0,Shaun Tan
0,Ty Barbieri
1,Karim Jamal
7,Victor Cheng
17,Kyle Chan
21,Trevor McCann
42,Steve Farra
50,Jonah Lee-Ash
86,Yu Chi Lin
96,Ryan Hoy
97,Brian Miura-Wong
99,Vincent Bulloch
b,r,e,a,k
Illinois,12
0,Brandon Carrel
7,Alex Liu
8,Devin Kelly
01,Drake Hill
04,Asa Bowen
06,Jacob  Cuthbert
13,Reid Martin
14,Aidan Levin
19,Joey Kennedy
20,Ryan Kantor
22,Lucas Gough
24,Josh Deeman
28,Frank Dore
32,Daman Mulye
35,Cameron Hartman
38,John Kulikowski
40,Rishav Rout
74,Anthony Ruzzo
b,r,e,a,k
Santa Clara,13
0,Fredrik Siemund
0,Simon Senter
2,Andy Bredar
3,Robert Stallman
11,Sam Weinstein
12,Michael Fodor
13,James Kipper
14,Tyler Rudee
15,Nikolaus Elsaesser
16,Ian Watts
20,Devan Hollar
23,Ryan Messersmith
24,Nicholas Farren
27,Liam Scobey-Polacheck
28,Zachary Heffron
29,Travis Vickers
40,Jackson Tseng
42,Matt Kordonsky
43,Kevin Shea
44,Jonathan Bowers
55,Matthew Kamimura
76,Jack Carlson
b,r,e,a,k
s,t,a,g,e,s
pools,Pool Play Standings
pool,Rain Pool A
Oregon,California-Santa Cruz,13,3,"02/16/2019, 12:30",Rain Pool A,Final
Western Washington,UCLA,8,10,"02/16/2019, 12:30",Rain Pool A,Final
Oregon,UCLA,13,9,"02/16/2019, 13:45",Rain Pool A,Final
Western Washington,California-Santa Cruz,8,6,"02/16/2019, 13:45",Rain Pool A,Final
UCLA,California-Santa Cruz,12,1,"02/17/2019, 11:15",Rain Pool A,Final
Oregon,Western Washington,13,4,"02/17/2019, 11:15",Rain Pool A,Final
pool,Rain Pool B
Cal Poly-SLO,California-San Diego,10,9,"02/16/2019, 15:00",Rain Pool B,Final
Utah,California-Santa Barbara,9,6,"02/16/2019, 15:00",Rain Pool B,Final
Cal Poly-SLO,California-Santa Barbara,9,5,"02/16/2019, 16:15",Rain Pool B,Final
Utah,California-San Diego,7,8,"02/16/2019, 16:15",Rain Pool B,Final
Cal Poly-SLO,Utah,10,3,"02/17/2019, 12:30",Rain Pool B,Final
California-Santa Barbara,California-San Diego,5,8,"02/17/2019, 12:30",Rain Pool B,Final
pool,Rain Pool C
Colorado,San Diego State,13,2,"02/16/2019, 15:00",Rain Pool C,Final
California,California-Davis,11,6,"02/16/2019, 15:00",Rain Pool C,Final
Colorado,California-Davis,12,6,"02/16/2019, 16:15",Rain Pool C,Final
California,San Diego State,13,4,"02/16/2019, 16:15",Rain Pool C,Final
Colorado,California,6,7,"02/17/2019, 12:30",Rain Pool C,Final
California-Davis,San Diego State,9,4,"02/17/2019, 12:30",Rain Pool C,Final
pool,Rain Pool D
British Columbia,Santa Clara,12,5,"02/16/2019, 15:00",Rain Pool D,Final
Southern California,Illinois,10,1,"02/16/2019, 15:00",Rain Pool D,Final
British Columbia,Illinois,8,7,"02/16/2019, 16:15",Rain Pool D,Final
Southern California,Santa Clara,9,3,"02/16/2019, 16:15",Rain Pool D,Final
British Columbia,Southern California,3,13,"02/17/2019, 11:15",Rain Pool D,Final
Illinois,Santa Clara,9,6,"02/17/2019, 11:15",Rain Pool D,Final
b,r,e,a,k
brackets,Championship Bracket
bracket,Championship Bracket
Oregon,Cal Poly-SLO,9,10,"02/18/2019, 08:45",Championship Bracket,Final
Oregon,Southern California,10,8,"02/18/2019, 07:30",Semifinals,Final
California,Cal Poly-SLO,4,10,"02/18/2019, 07:30",Semifinals,Final
Oregon,California-San Diego,12,4,"02/17/2019, 13:45",Quarter Finals,Final
Colorado,Southern California,6,8,"02/17/2019, 13:45",Quarter Finals,Final
British Columbia,California,4,7,"02/17/2019, 13:45",Quarter Finals,Final
UCLA,Cal Poly-SLO,4,10,"02/17/2019, 13:45",Quarter Finals,Final
bracket,3rd Place
Southern California,California,10,4,"02/18/2019, 08:45",3rd Place Finals,Final
bracket,5th Place Bracket
Colorado,UCLA,8,9,"02/18/2019, 13:45",5th Place Finals,Final
California-San Diego,Colorado,4,11,"02/18/2019, 12:30",5th Place Semis,Final
British Columbia,UCLA,5,12,"02/18/2019, 12:30",5th Place Semis,Final
bracket,7th Place
California-San Diego,British Columbia,11,10,"02/18/2019, 13:45",7th Place Finals,Final
b,r,e,a,k
brackets,Consolation Bracket
bracket,Consolation Bracket
Illinois,Utah,9,10,"02/18/2019, 08:45",9th Place Finals,Final
California-Santa Barbara,Illinois,6,12,"02/18/2019, 07:30",9th Place Semis,Final
California-Davis,Utah,6,8,"02/18/2019, 07:30",9th Place Semis,Final
Western Washington,California-Santa Barbara,4,10,"02/17/2019, 15:00",9th Place Quarters,Final
San Diego State,Illinois,3,12,"02/17/2019, 15:00",9th Place Quarters,Final
California-Davis,Santa Clara,6,5,"02/17/2019, 15:00",9th Place Quarters,Final
California-Santa Cruz,Utah,7,8,"02/17/2019, 15:00",9th Place Quarters,Final
bracket,11th Place
California-Santa Barbara,California-Davis,8,7,"02/18/2019, 08:45",11th Place Finals,Final
bracket,13th Place Bracket
Western Washington,Santa Clara,9,6,"02/18/2019, 13:45",13th Place Finals,Final
Western Washington,San Diego State,11,4,"02/18/2019, 12:30",13th Place Semis,Final
Santa Clara,California-Santa Cruz,10,9,"02/18/2019, 12:30",13th Place Semis,Final
bracket,15th Place
San Diego State,California-Santa Cruz,5,11,"02/18/2019, 13:45",15th Place Finals,Final
b,r,e,a,k
