Philly Invite 2019,Club - Mixed ,13,7,2019
https://play.usaultimate.org/events/Philly-Invite-2019/schedule/Mixed/Club-Mixed
Loco,1
0,Chris Hayen
0,Colin Rex
0,Damon Luk
0,Dara Lipton 
0,Emily Polefka
0,Emily Eldien Zappulla
0,Fiona Nugent
0,Janet  Ro
0,Kaila Aguerre
0,Laine Cravotta
0,Laura VanArsdale
0,Lindsay Levin
0,Luke Laubscher
0,Matthew Foley
0,Matthew Mos
0,Maya Karl
0,Aaron Mos
0,Alexa Herzog
0,Brendan Huber
0,Tom Pribicko
0,Zachary Sizemore
1,Steven Parker
12,Antonio Brewer
23,Caleb Leaser
97,Kelly Skewis
99,Sean  Duffy
b,r,e,a,k
Eat Lightning,15
0,Alex Becker
0,Amanda Loh
0,Bohdi Cooper
0,Camille Victoria Delgado
0,Celeste Royo
0,Elizabeth (Cassie) Bradley
0,Ethan Jones
0,Hy Ha
0,Jan Vanous
0,Jessica Chen
0,Robert Devoogd
0,Sonia Bloom
2,Jean Colangelo
7,Zach Bark
9,Delaina Allegretti
15,Elizabeth Meiman
16,Kimberly Tan
20,Will Percival
22,Jordan Chow
39,David Chen
b,r,e,a,k
The Bandits,7
4,Robert Altieri
02,Eleanor Beckwith
04,Alyssa Willis
07,Raymond Burns
08,Alex Greene
09,Brett Bealer
10,Christopher Alaimo
11,Pete Isler
12,Kaitlyn Dermen
16,Camille Delacruz
17,Iris Kim
18,Raz Blau
22,Julie Ha
23,Niletta Burton
24,Steven Willis
25,Benjamin Nichols
27,Tomoe Bien
34,Adriana Tirado
35,Rae Conklin
41,Jan Iglesias
47,Kyle Isler
69,Ryan Mendoza
70,Robert Patten
74,Joseph Conway
89,Joshua Heacock
98,Kyle Dew
b,r,e,a,k
Chaotic Good,3
0,Andrew Applegate
0,Axis Sivitz
0,Benjamin Rosenfeld
0,Christopher Mark
0,Claire Rostov
0,Jaime Benites
0,Kathryn Haapala
0,Matthew NK Smith
0,Maya Stokes
0,Meghan O'Hearn
0,Meghan Gannon
0,Maddie Marx
1,Shawna Zielstorff
2,Matt Goldberg
5,Raymond Tetreault
6,Lauren Bertino
9,Lisa Liu
9,Andrew Yale
10,Olivia Player
11,Jacob Dummeldinger
26,Hannah Barnstone
40,Holden Cookson
99,Dan Huddell
b,r,e,a,k
Rat City,6
0,Alice Bauman
0,Britta Schaffmeyer
0,Dylan McDonough
0,Dylan Leighton
0,Edgar Kunz
0,Gabrielle Aufderheide
0,Kaitlyn Harper
0,Kelly Wallace
0,Kristen Mitsinikos
0,Lex Overholt
0,Tanner Marshall
0,Torrin Stokes
3,Matthew Maclay
4,Geoffrey Chan
5,Eva Fury
7,Daniel Paoletti
8,Bridget Gallagher
13,Echo Presgraves
13,Christopher Schulze
20,Sean Mizoguchi
31,Christopher Cahoon
33,Jesse Goldstein
38,Sophia Rosenfeld
41,Gabriel Kaptchuk
61,Carlos Lalimarmo
b,r,e,a,k
Stoke,11
0,Adora Zhang
0,Caroline Noone
0,Chris Schauble
0,Clerisse Lardieri
0,Ben Crescenzo
0,Eric Lachance
0,James Roop
0,Kaelyn  Cooper
0,Miriam Stein
0,Richard Barrett
0,Stephanie Coward
0,Tate Gugino
4,Joseph Corcoran
13,John Bocian
17,Nathaniel Hess
18,Sumi Onoe
19,Iris Wang
20,Austin Doucette
22,Ariana Bhatia
29,Calvin Green
35,Daniel Arnold
36,Alison Joyce
42,Edwin Finley
45,Emily Smulowitz
69,Melissa Baker
72,Justin Creighton
74,Andrew Creighton
b,r,e,a,k
Philly Twist,14
0,Caroline O'Brien
0,Christina Holgado
0,Christine Siebels-Lindquist
0,Aly Goldberg
0,Dean Manno
0,Elizabeth Cravens
0,Julian Galbraith-Paul 
0,Marissa Coolidge
0,Matt Ferreri
0,Melissa Frankil
0,Michael Grzybowski
0,Zachary Jacobs
2,Jamie McClintock
4,Emily Gallagher
7,Ben Fournier
22,Keith Zuckerman
28,Matthew Newman
33,Adam Federbusch
54,Robert Vander Meulen
55,Timothy Brubaker
56,Lauren Feder
72,Eli Block
80,Christopher Cruz
81,Troy Zirkel
b,r,e,a,k
Sparkle Ponies,5
0,Andrew Gravunder
0,Caroline Loh
03,Chris Muller
05,Keerti Goorah
08,Max Trifillis
09,Kelsey Hales
11,Maria Packard
12,Reagan Grabowski
13,Dan Jacobson
14,Lily Eisner
17,Isabella Cova
18,Calvin Tam
19,Christine Tomasic
20,Abigail Obuchowski
22,Michaela Gramzinski
24,Jack Reickel
28,Hanna Finigan
30,James McIntyre
34,Austin Do
35,Jack Carol
36,Lauren Edwards
40,Dan Grabowski
44,Gunnar Olgren
71,Donovan Hambley
82,Seth Buchsbaum
88,Corrie Willson
99,Jarnail Bajwa
b,r,e,a,k
Ant Madness,4
0,Aidan McLeod
0,Amy Wedmore
0,Anthony Bernard-Sasges
0,Bethany Turner
0,Cassandra Skapek
0,Delana Sobhani
0,Eliana Harnage
0,Emily Kreisel
0,James Robb
0,Katrien Hinderdael
0,Kevin Chiang
0,Meaghan McSorley
0,Nicholas Kwan
6,Jacob Smith
9,Alexander Lichtenstein
11,Alex Srisuwan
12,John Recchia
19,Bridgette Heine
20,Samuel Moller
24,Adam Shrager
27,Rebecca Meeker
29,Matthew Dennin
31,Andrew Ferraro
53,Jackson Gode
b,r,e,a,k
Farm Show,13
0,Josiah Gamble
0,Tjia Ern Lau
3,Derek Bigley
6,Jordan Roof
7,Bradley Dussinger
9,Kristin Thomas
01,Adam Callaghan
05,Corryn Vento
10,Matthew Stilley
11,Mitchell Lauer
13,Ashlynn Trimmer
15,Christopher Man
17,Kendra Smythe
18,Kerianne Durkin
19,Ruth Bigley
20,Timothy Holmes
22,Nicole Singiser
24,Taylor Howat
26,Angela Martin
37,Joanna Chen
49,Jordan Winey
49,Ian Preston
50,Matt Burkhead
55,Kyle Bradley
89,Benjamin Holmes
94,Nate Harnish
b,r,e,a,k
Unlimited Swipes,12
0,Alex Solomon
0,Angel Weng
0,Anthony Havens
0,Benjamin Raudabaugh
0,Greg Hulet
0,Helen Wu
0,Kelsey McDermott
0,Kimin Fox
0,Mazahidul Islam
0,Phillip Hou
0,Rosalind Black
3,Allie Hinsberg
10,Asher Woodbury
12,Terence To
13,Adam Wesley
13,Antonio Valentin
14,Anjile An
17,Kevin Lai
21,Benjamin Korman
24,Matt Norden
25,Patrick Sheil
26,Michole Vergeire
26,Arianna Munro
34,William Suitt
50,Caitlyn Horgan
73,Bohao Liu
95,Connor Dougherty
b,r,e,a,k
s,t,a,g,e,s
pools,Pool Play
pool,Pool A
Loco,Soft Boiled,15,7,"07/13/2019, 09:00",Pool A
Heavy Flow,Fleet,7,15,"07/13/2019, 09:00",Pool A
Loco,Fleet,15,3,"07/13/2019, 11:00",Pool A
Heavy Flow,Soft Boiled,8,12,"07/13/2019, 11:00",Pool A
Loco,Heavy Flow,15,4,"07/13/2019, 13:00",Pool A
Soft Boiled,Fleet,9,13,"07/13/2019, 13:00",Pool A
pool,Pool B
League of Shadows,Peep Show,15,5,"07/13/2019, 09:00",Pool B
The Bandits,Eat Lightning,11,12,"07/13/2019, 09:00",Pool B
League of Shadows,Eat Lightning,15,7,"07/13/2019, 11:00",Pool B
The Bandits,Peep Show,13,14,"07/13/2019, 11:00",Pool B
League of Shadows,The Bandits,14,10,"07/13/2019, 13:00",Pool B
Peep Show,Eat Lightning,13,10,"07/13/2019, 13:00",Pool B
pool,Pool C
Chaotic Good,Stoke,15,12,"07/13/2019, 09:00",Pool C
Rat City,Philly Twist,15,9,"07/13/2019, 09:00",Pool C
Chaotic Good,Philly Twist,15,2,"07/13/2019, 11:00",Pool C
Rat City,Stoke,11,10,"07/13/2019, 11:00",Pool C
Chaotic Good,Rat City,15,10,"07/13/2019, 13:00",Pool C
Stoke,Philly Twist,15,5,"07/13/2019, 13:00",Pool C
pool,Pool D
Ant Madness,Unlimited Swipes,14,8,"07/13/2019, 09:00",Pool D
Sparkle Ponies,Farm Show,13,7,"07/13/2019, 09:00",Pool D
Ant Madness,Farm Show,13,11,"07/13/2019, 11:00",Pool D
Sparkle Ponies,Unlimited Swipes,15,7,"07/13/2019, 11:00",Pool D
Ant Madness,Sparkle Ponies,9,14,"07/13/2019, 13:00",Pool D
Unlimited Swipes,Farm Show,7,15,"07/13/2019, 13:00",Pool D
b,r,e,a,k
brackets,Bracket Play
bracket,1st Place Bracket
Loco,League of Shadows,12,8,"07/14/2019, 13:00",Finals
Loco,Sparkle Ponies,11,8,"07/14/2019, 11:00",Semis
Ant Madness,League of Shadows,9,15,"07/14/2019, 11:00",Semis
Loco,Peep Show,15,7,"07/14/2019, 09:00",Quarters
Rat City,Sparkle Ponies,8,13,"07/14/2019, 09:00",Quarters
Chaotic Good,Ant Madness,10,11,"07/14/2019, 09:00",Quarters
Farm Show,League of Shadows,5,15,"07/14/2019, 09:00",Quarters
Loco,The Bandits,15,3,"07/13/2019, 15:00",Pre-Quarters
Peep Show,Stoke,11,8,"07/13/2019, 15:00",Pre-Quarters
Rat City,Eat Lightning,15,11,"07/13/2019, 15:00",Pre-Quarters
Sparkle Ponies,Philly Twist,15,7,"07/13/2019, 15:00",Pre-Quarters
Chaotic Good,Unlimited Swipes,15,4,"07/13/2019, 15:00",Pre-Quarters
Soft Boiled,Ant Madness,9,10,"07/13/2019, 15:00",Pre-Quarters
Farm Show,Fleet,10,9,"07/13/2019, 15:00",Pre-Quarters
League of Shadows,Heavy Flow,15,4,"07/13/2019, 15:00",Pre-Quarters
bracket,13th Place
The Bandits,Heavy Flow,14,10,"07/14/2019, 11:00",13th Finals
The Bandits,Philly Twist,13,8,"07/14/2019, 09:00",13th Semis
Unlimited Swipes,Heavy Flow,12,14,"07/14/2019, 09:00",13th Semis
bracket,9th Place
Stoke,Fleet,7,12,"07/14/2019, 11:00",9th Finals
Stoke,Eat Lightning,11,8,"07/14/2019, 09:00",9th Semis
Soft Boiled,Fleet,11,12,"07/14/2019, 09:00",9th Semis
bracket,15th Place
Philly Twist,Unlimited Swipes,13,6,"07/14/2019, 11:00",15th Finals
bracket,11th Place
Eat Lightning,Soft Boiled,11,8,"07/14/2019, 11:00",11th Finals
bracket,5th Place
Peep Show,Rat City,9,12,"07/14/2019, 13:00",5th Finals
Peep Show,Farm Show,11,9,"07/14/2019, 11:00",5th Semis
Rat City,Chaotic Good,12,11,"07/14/2019, 11:00",5th Semis
bracket,7th Place
Farm Show,Chaotic Good,7,11,"07/14/2019, 13:00",7th Finals
bracket,3rd Place
Sparkle Ponies,Ant Madness,10,6,"07/14/2019, 13:00",3rd Finals
b,r,e,a,k
