Northwest Plains Mixed Club Sectional Championship 2019,Club - Mixed ,7,9,2019
https://play.usaultimate.org/events/Northwest-Plains-Mixed-Club-Sectional-Championship-2019/schedule/Mixed/Club-Mixed
NOISE,1
15,Tim Larsen
16,Jacob Dreves
17,Jarrett Stanke
18,Lindsey Reach
21,Jacob Cass
31,Kyle Taylor
33,Katherine Ebensperger
34,Michelle McCarthy
44,Daniel Maatta
81,Olivia Schilcher
87,David Horgan
90,Trent Grair
b,r,e,a,k
Mousetrap,10
00,Elizabeth Ebert
00,Hans Kittleson
00,Helen Koth
00,Henry Fremont
00,Jack Mallmann
00,Jacob Calbaum
00,Jay Taves
00,Jonathan Bauer
00,Katharine Lewer
00,Katie Fan
00,Kyle Cleary
00,Lily Mae Abels
00,Benjamin Liska
00,Cadence Sawyer
00,Caroline Fallon
00,Marit McQuaig
00,Mitchell Rose
00,Peter Walker
00,Samuel Erickson
00,Spencer Olsson
00,Zeke Witter
04,Margo Stanger
34,Ben Moody
36,Catherine Morita
b,r,e,a,k
Madison United Mixed Ultimate,15
0,Lani Jensen
01,Kara Vogel
02,Theresa Olson
03,Jordan Speicher
06,Katie Horsley
08,Brian Bierman
10,James Rosenberger
11,Brittany Storhoff
16,Alec Li
17,Alex Bock
18,Craig Howering
23,Jayd Phelps
26,Elizabeth Milovets
28,Christopher Moetell
31,David Fabian
33,Kendell Gilmore
52,Rachel Taylor
79,Amanda Strickland
88,Paul Bolanowski
89,Patrick Kopp
94,Katie Pike
b,r,e,a,k
Identity Theft,18
0,Athena Bolton-Steiner
1,Rebecca Henry
2,Taylor Krzmarcik
3,Ryan Monorom
4,Olivia Dischinger
5,Spencer Hagen
6,Megan Wojtasiak
10,Tyler Berg
12,Luke Howard
13,Esther Gendler
14,Zoe Sblendoriogiebel
15,Chad Brinker
16,Christopher Anderson
17,Mimi Neeser
18,Daniel Erickson
20,Adam Riley
22,Boden Oelhafen
23,Matthew Thostenson
24,Nathan Phillips
26,Alex Anderson
27,Daniel Bates
31,Anna Gleason
35,Alexa Miller
60,Paige Murphy
62,Marcus Cannon
65,Abby Jacobson
82,Jeremy Schuetz
b,r,e,a,k
Pandamonium,6
0,Brandon Haus
0,Chuck  Dudek
0,Cloid Green
0,Amy Suek
0,Ashley Green
0,Erik Bredesen
0,Jesse Peterson-Brandt
0,Jonah Shaver
0,Julie Bender-Awalt
0,Julia Clare
0,Kaiya Sygulla
0,Katelin Goebel
0,Katherine Johnson
0,Kelsey Daly
0,Peter Schmitt
0,Stephanie O'Connor
2,Ben Finkelstein
3,Matt Theisen
4,Tanya Natwick
15,Eric Andersen
17,Raechell Nelson
22,Mikhail Golben
47,Ian Andre-Knudsen
89,Micah Peterson-Brandt
b,r,e,a,k
Northern Comfort,3
02,Oliver Rytman
03,Erika Watson
04,Kaleigh Wurster
05,Brittney Joy
07,Matthew Caballero
08,Heather Vilbrandt
10,Laura Nelson
11,Mackenzie Carpenter
12,Brian Benge
13,Jay Kinzel
14,Osvaldo Velez-Martinez
20,Justine Espisito
21,Jake Leutenegger
22,Max Carpenter
23,Paul Watson
24,Lauren Williams
27,Annalise Heuser
32,Annie Waniger
34,Sarah Garstecki
44,Hannah Frank
45,Matthew Branham
49,Tim Posl
77,Dan Margulis
84,Peter Guerin
88,Daphne Branham
96,William Mansfield
99,Wyatt Meyer
b,r,e,a,k
Pushovers,11
0,Erick Knudson
0,Weston Birnbaum
1,Derek Anderson
2,Carl Bohacek
2,Kenji Her
4,Austin Lee
5,Douache Yang
8,Kelly Mallon
9,Kendra Anderson
9,Katherine Frantz
10,Kyra Anderson
12,Michelle Christy
12,Joseph Ling
19,Meeghan McCay
20,Ryan Burger
23,Sabina Beck
25,Hardisha White
28,Christina Lacher
30,Adam Johnson
31,Ross Screaton
35,Anders Zetterlund
52,Ace Oubaha
52,Kai Knudson
61,Erin Moeller
81,Rick Gebhardt
b,r,e,a,k
Duloofda,14
0,Brenna Rantala
0,Brett Anderson
0,Alyssa Kleppe
0,Ann Farley
0,Edward LaFoy
0,Jennifer Degen
0,Kajsa Beatty
0,Karisa Mueller
0,Kathleen Burich
0,Kyle Anderson
0,Leah Budnik
0,Mackenzie Olson
0,Sam Munkeby
0,Sam Bates
0,Yiming Liu
0,Zach Wood
8,Ben Nicklay
14,Bryce Hebert
21,Cody Rondeau
23,Victor Pilon
30,Nick Budnik
34,James Kittlesen
35,Shaun LaFrance
55,Patrick Jones
b,r,e,a,k
Fox Valley Forge,19
0,Allison Castellon
0,Andrew Novak
0,Andrew Yenter
0,Anthony Hecht
0,Cassandra Renforth
0,Christopher Mills
0,David Nissen
0,John Blume
0,Katie Olson
0,Kelly Dirkman
0,Michelle Sandquist
0,Paul Drees
0,Zackory Runke
b,r,e,a,k
Mojo Jojo,4
0,Emily Dalhoff
1,Stephanie Pieper
3,Remy Eisendrath
3,Graham Sutherland
4,Andrew Lawrence
5,Daniel Schultz
8,Roberto Caballero
9,Joe Simonelli
10,Michael Jordan
11,Justin Wollin
12,Ryan Welch
14,Ben Valley
16,Brittany Faust
18,Ana Caballero
22,Tyler Latham
23,Clancy Ferris
24,Brendan Gessner
26,April Strzelczyk Haverstock
27,Grace Carlson
27,McKenna Hage
28,Meredith  Johnson
34,Luis Caballero
42,Malik Earle
45,Katherine Berglund
84,Nicole Havel
88,Jonah Giese
99,Amanda Huber
b,r,e,a,k
Bird,5
01,Adam Meckstroth
02,Brian Wilson
03,Greta Friedrichs
04,Katherine Wilmes
08,Patrick La Course
09,Samuel Hedrick
12,Aidan Clements
13,Michael Seffren
14,Jessica Hendrickson
15,Morgan Harris
16,Carly Siewert
17,Mikayla Yoder
18,Angelica Montanez
19,Kevin Harrow
23,David Stemper
24,Sumaya Mohamed
25,Jacob Salzman
27,Leslie Boey
28,Cole Stiegler
29,Brian Paulus
44,Jonathan Lovagnini
50,Jacob Raatz
52,Vivian Hett
79,Victoria  Snyder
81,Tyler Meyer
97,Steven Anderson
99,Donna Johnston
b,r,e,a,k
Mastodon,12
0,Amy Sullivan
0,Anh Bao Tran-Le
0,Bethany Krasuski
0,Courtney Botelho
0,Kendra Reams
0,Kristina Geiger
0,Kye Hanson
0,Luke Bodnar
0,Magdalen Palzewicz
0,Marika Witt
0,Peter Lin
0,Trevor Smith
0,Vikas Biliyar
1,Caitlin Clevenger
4,Caroline Bantug
4,Evan McNamara
9,Sarah Mancina
13,Daniel Huncosky
13,Annalise Ho
19,Aric Doak
20,Noah Webster
21,Jessica Liu
25,Chris Baker
31,Thomas Jungbluth
33,Justin Chenevert
90,Samuel Perreth
99,Lauren Bradshaw
b,r,e,a,k
Boomtown Pandas,13
0,Alex Larsen
0,Anne Gardner
0,Emma Boehm
0,Heidi Umhoefer
0,Karly Yablonski
0,Kensey Katz
0,Matthew Wykle
0,Molly Snow
0,Reed Gardner
2,Edward Kaul
4,Lindsey Tushman
4,Jessie Hsu
6,Jessica Frommgen
7,Benjamin Hsu
7,Steven Whelan
11,Ben Hutchinson
13,Rachel Wilson
14,Michael Denruiter
21,John Schaefer
25,Michael Van Haren
29,Sarah Doege
38,Sara Lazenby
51,Nathan Kleinhans
66,April Peterson
94,Derek Weisberg
b,r,e,a,k
Mufanauts,20
0,Rikke Louise Kjær Knudsen
4,Mackenzie Rosin
00,TouZaj Cha
02,Griffin Glassel
03,Graeme Alexander
07,Megan Timm
08,Anna Lane
16,Molly Berkholtz
22,Gwen Johnson
26,Saul Diaz
28,Ryan Waller
35,Leah Mickelson
44,Kale Johnson
55,Ben Baird
61,Erik Stewart
66,Natalie Gruben
86,Hannah Nygard
b,r,e,a,k
s,t,a,g,e,s
pools,Pool Play
pool,Pool A
Great Minnesota Get Together,Dinosaur Fancy,13,8,"09/07/2019, 09:00",Pool A
Melt,Mad Udderburn,13,12,"09/07/2019, 09:00",Pool A
NOISE,Mad Udderburn,13,2,"09/07/2019, 10:45",Pool A
Melt,Great Minnesota Get Together,13,10,"09/07/2019, 10:45",Pool A
NOISE,Dinosaur Fancy,13,1,"09/07/2019, 12:30",Pool A
Mad Udderburn,Great Minnesota Get Together,11,8,"09/07/2019, 12:30",Pool A
NOISE,Great Minnesota Get Together,13,1,"09/07/2019, 14:15",Pool A
Melt,Dinosaur Fancy,13,5,"09/07/2019, 14:15",Pool A
NOISE,Melt,13,7,"09/07/2019, 16:00",Pool A
Mad Udderburn,Dinosaur Fancy,13,8,"09/07/2019, 16:00",Pool A
pool,Pool B
Madison United Mixed Ultimate,Identity Theft,13,12,"09/07/2019, 09:00",Pool B
Point of No Return,Mousetrap,13,10,"09/07/2019, 09:00",Pool B
Minnesota Star Power,Mousetrap,13,8,"09/07/2019, 10:45",Pool B
Point of No Return,Madison United Mixed Ultimate,13,8,"09/07/2019, 10:45",Pool B
Minnesota Star Power,Identity Theft,13,2,"09/07/2019, 12:30",Pool B
Mousetrap,Madison United Mixed Ultimate,11,9,"09/07/2019, 12:30",Pool B
Minnesota Star Power,Madison United Mixed Ultimate,13,1,"09/07/2019, 14:15",Pool B
Point of No Return,Identity Theft,13,8,"09/07/2019, 14:15",Pool B
Minnesota Star Power,Point of No Return,13,8,"09/07/2019, 16:00",Pool B
Mousetrap,Identity Theft,13,4,"09/07/2019, 16:00",Pool B
pool,Pool C
Duloofda,Fox Valley Forge,13,6,"09/07/2019, 09:00",Pool C
Pandamonium,Pushovers,13,3,"09/07/2019, 09:00",Pool C
Northern Comfort,Pushovers,13,5,"09/07/2019, 10:45",Pool C
Pandamonium,Duloofda,13,3,"09/07/2019, 10:45",Pool C
Northern Comfort,Fox Valley Forge,13,0,"09/07/2019, 12:30",Pool C
Pushovers,Duloofda,13,12,"09/07/2019, 12:30",Pool C
Northern Comfort,Duloofda,13,3,"09/07/2019, 14:15",Pool C
Pandamonium,Fox Valley Forge,13,2,"09/07/2019, 14:15",Pool C
Northern Comfort,Pandamonium,10,13,"09/07/2019, 16:00",Pool C
Pushovers,Fox Valley Forge,13,3,"09/07/2019, 16:00",Pool C
pool,Pool D
Boomtown Pandas,Mufanauts,13,3,"09/07/2019, 09:00",Pool D
Bird,Mastodon,13,5,"09/07/2019, 09:00",Pool D
Mojo Jojo,Mastodon,13,4,"09/07/2019, 10:45",Pool D
Bird,Boomtown Pandas,12,7,"09/07/2019, 10:45",Pool D
Mojo Jojo,Mufanauts,13,2,"09/07/2019, 12:30",Pool D
Mastodon,Boomtown Pandas,11,10,"09/07/2019, 12:30",Pool D
Mojo Jojo,Boomtown Pandas,13,2,"09/07/2019, 14:15",Pool D
Bird,Mufanauts,13,2,"09/07/2019, 14:15",Pool D
Mojo Jojo,Bird,13,5,"09/07/2019, 16:00",Pool D
Mastodon,Mufanauts,11,7,"09/07/2019, 16:00",Pool D
b,r,e,a,k
brackets,Bracket Play
bracket,1st Place Bracket
NOISE,Minnesota Star Power,11,9,"09/08/2019, 12:30",1st Place
NOISE,Mojo Jojo,12,8,"09/08/2019, 09:00",1st Place Semis
Minnesota Star Power,Pandamonium,13,5,"09/08/2019, 09:00",1st Place Semis
bracket,2nd Place Bracket
Minnesota Star Power,Northern Comfort,12,7,"09/08/2019, 14:15",2nd Place
Pandamonium,Northern Comfort,6,12,"09/08/2019, 12:30",2nd Place Semis
Pandamonium,Bird,13,10,"09/08/2019, 10:45",2nd Place Quarters
Northern Comfort,Mojo Jojo,12,5,"09/08/2019, 10:45",2nd Place Quarters
Melt,Bird,8,13,"09/08/2019, 09:00",2nd Place Prequarters
Point of No Return,Northern Comfort,9,11,"09/08/2019, 09:00",2nd Place Prequarters
bracket,4th Place Bracket
Pandamonium,Mojo Jojo,11,10,"09/08/2019, 14:15",4th Place
Bird,Mojo Jojo,8,13,"09/08/2019, 12:30",4th Place Semis
bracket,6th Place Bracket
Bird,Mad Udderburn,13,10,"09/08/2019, 14:15",6th Place
Mad Udderburn,Mousetrap,13,3,"09/08/2019, 12:30",6th Place Semis
Point of No Return,Mad Udderburn,8,12,"09/08/2019, 10:45",6th Place Quarters
Mousetrap,Melt,10,9,"09/08/2019, 10:45",6th Place Quarters
Mad Udderburn,Mastodon,14,12,"09/08/2019, 09:00",6th Place Prequarters
Mousetrap,Pushovers,11,7,"09/08/2019, 09:00",6th Place Prequarters
bracket,8th Place Bracket
Mousetrap,Point of No Return,11,9,"09/08/2019, 14:15",8th Place
Point of No Return,Melt,12,10,"09/08/2019, 12:30",8th Place Semis
bracket,11th Place Bracket
Mastodon,Pushovers,12,11,"09/08/2019, 10:45",11th Place
bracket,13th Place Bracket
Great Minnesota Get Together,Madison United Mixed Ultimate,13,6,"09/08/2019, 10:45",13th Place
Great Minnesota Get Together,Boomtown Pandas,13,9,"09/08/2019, 09:00",13th Place Semis
Madison United Mixed Ultimate,Duloofda,11,10,"09/08/2019, 09:00",13th Place Semis
bracket,15th Place Bracket
Boomtown Pandas,Duloofda,13,11,"09/08/2019, 10:45",15th Place
bracket,17th Place Bracket
Dinosaur Fancy,Identity Theft,13,10,"09/08/2019, 12:30",17th Place
Dinosaur Fancy,Mufanauts,13,6,"09/08/2019, 10:45",17th Place Semis
Identity Theft,Fox Valley Forge,13,4,"09/08/2019, 10:45",17th Place Semis
bracket,19th Place Bracket
Mufanauts,Fox Valley Forge,13,5,"09/08/2019, 12:30",19th Place
b,r,e,a,k
