2019 USA Ultimate Masters Championships,Masters - Men ,19,7,2019
https://play.usaultimate.org/events/2019-USA-Ultimate-Masters-Championships/schedule/Men/Masters-Men/
Boneyard,1
02,Daniel Thai
03,Arthur Corbitt
04,Peter Doyle
05,Jonathan Daugherty
08,Johnny Chang
09,Brandon Harvill
10,Jonathan Gardner
11,Rob Doyle
13,Keith Larsen
14,William Dubose
17,Michael Berman
18,Darrell Zook
20,Javier Oliver
21,Rick Artus
29,Tyson Hart
34,David Ryan
41,John Martin
47,Johnathan Roniger
60,Louis Fausak
75,Kyle Boudreau
b,r,e,a,k
Pacemaker,7
00,Brandon Deihl
00,Brandon Thomas
00,Brenton Hard
00,Brian Jager
00,Brian Keefe
00,Chris Schroeder
00,Christopher Fuchs
00,Dan Kang
00,Daniel Williams
00,Daniel Benjamin
00,Greg Wycklendt
00,Isaac Jeffries
00,Jason Beffel
00,Josh Currey
00,Joshua Swanson
00,Keith Hernandez
00,Michael Egan
00,Michael Shiel
00,Misha Tseytlin
00,Richard Aycock
00,Rob Greenberg
00,Ryan Dudgeon
00,Ryan Watson
00,Zach Higgs
18,Mati Chessin
33,William Owens
b,r,e,a,k
Voltron 2020,6
01,Timothy Gehret
02,Jimmy Chu
03,Mario O'Brien
04,Henry Schneider
05,Alex Nord
06,Chris Rupp
07,Jacob Speidel
08,Morgan Hibbert
09,Tom Doi
11,Reid Koss
12,Riley Meinershagen
13,Matthew (Skip) Sewell
14,Sam Chatterton-Kirchmeier
16,Mark Burton
20,Michael Caldwell
21,David Bestock
22,Brian Stout
22,Spencer Wallis
23,Danny Karlinsky
24,Joe Sefton
25,Will Chen
26,Frank Devin Barich
27,Adam Simon
40,Adam Holt
73,Adrian King
85,Josh Markette
96,Chase Sparling-Beckley
99,Ray Illian
b,r,e,a,k
Johnny Encore,3
00,Andrew Thompson
00,Camden Kittredge
00,Dan Hunt
01,Joseph Anderson
02,C Ryan Morgan
03,Sean Keegan
04,Andrew Mangan
05,Gabe Goodhart
07,Michael (Mickey) Thompson
08,Austin Gregersen
09,Steven Rouisse
10,Brett Kolinek
11,Nic Whitescarver
12,Hugh Carey
13,Mitchell Schminke
15,Theodore Tripoli
17,John Dunlop
18,Bart Watson
19,Parker Krug
20,Joshua Ackley
25,Justin Salvia
26,Owen Westbrook
27,Michael Lun
28,Joel Crandall
30,Doug Stenclik
32,Andrew Stringer
33,Nate Hopp
53,Andrew Sheehan
81,Brandon Malecek
b,r,e,a,k
Royal Stag,10
0,Ari Davidson
00,Bradley Fedie
00,Brian Niver
00,Clay Schelitzche
00,Conor McGee
00,Dan Laurila
00,Daniel Kaul
00,Daniel Kelk
00,Darren Shultz
00,Jacob Knobloch
00,James Bauer
00,Joseph Misemer
00,Josh Davidson
00,Justin Simanson
00,Keith Garner
00,Kevin Reimer
00,Michael Leung
00,Michael Schon
00,Rodrigo Valdivia
00,Scott Sawinski
00,Thomas Roltgen
27,Michael Swain
b,r,e,a,k
10th Edition,15
00,Andrew Foldesi
00,Charles McMasters
00,Charlie Field
00,Colin Hinde
00,Benjamin Murphy
00,Bradley DeBlauw
00,David Gagnon
00,John Goodwin
00,Jonathan Saylor
00,Jorge Duarte
00,Steven Stanish
00,Toby Hartman
05,Benjamin Bashline
07,Mark Liu
08,David Benda
10,Aaron Fredendall
11,Daniel Korban
12,Zach Mohr
18,Alan Broering
21,Brendan Kremer
22,Mike L'Hommedieu
30,Patrick Reed
33,Shazad Mehta
42,Grant Dickinson
b,r,e,a,k
Surly,5
0,Adam Levine
0,Dan Monfre
0,Dustin Berglin
0,Jonah Shaver
0,Matthew Young
0,Matthew Bailey
0,Ryan Oesterreich
0,Sam Rapson
00,Sean Breaux
00,Seth Meyer
00,Marcus Ellson
00,Jacob Taylor
00,Cloid Green
00,Jim Foster
00,Peter Volkmar
00,Tom Herring
04,Geoffrey Beek
07,Jamison Beek
08,Thomas Murray
09,Andrew Brown
17,Tom Annen
55,Patrick Jones
b,r,e,a,k
Rest Stop,4
00,Richard Rudnicki
02,Sean McComb
03,Brandon Bates
04,Ben Banyas
06,Bobby Gordon
08,David Crane
09,Mathew Jahromi
10,Michael Lopresti
11,Joshua Mull
13,Christopher Schulze
14,Stephen Poulos
21,Ernesto Ricourt
22,Tom Pribicko
23,Matthew Foley
25,Matthew Gordon
33,Josh Stafford
35,Jacob Christian
38,Joseph Cuneo
40,David Vatz
44,Vivek Devaraj
48,Peter Anderson
63,Jon Pressimone
66,Kevin Walko
81,Alexander Crew
82,Kaiser Shen
85,Michael Stephen
86,Justin Solis
b,r,e,a,k
King Louie,9
00,John Henroid
01,Kevin McCarthy
03,John Weaver
06,Stan Parker
08,Patrick Austermann
09,George Brell
11,Chris Craig
13,Shaun McNett
16,Lucas Heberlie
19,Thomas Hoyt
22,Blake Larson
23,Kellen Key
24,Chung Lee
25,Ross Welch
26,Grant Eschmann
27,Ryan Butler
31,Doug Jacobs
34,Troy Woytek
54,David Storey
66,James McKenzie
73,Dustin Tierney
79,Henry Samson
84,Timothy Halfmann-Morris
96,Bryan Esmond
99,Chaz DeBord
b,r,e,a,k
Gravy Train,16
0,Brian Carey
0,Emre Ergin
0,Jason Arends
0,Joe Cater
0,Kevin Claus
0,Robert Bruggner
1,Alex Forman
2,Sam Messe
3,Andrew Lovejoy
00,Jacob Cornish
00,Jason Schissel
00,Rodney LaCour
00,Morgan Wescliff
00,Jesse Hunter
00,Sean Galagan
00,Stephen Schott
00,Steven Kwan
00,Timothy Robinson
17,Eric Vernon
19,Jack Aubin
23,Mark Bangcaya
27,Benjamin Demboski
43,Aldan Shank
b,r,e,a,k
s,t,a,g,e,s
pools,Pool Play
pool,Pool A
Viejo,Naptown,15,13,"07/19/2019, 08:30",Pool A
Boneyard,Beyondors,15,5,"07/19/2019, 08:30",Pool A
Viejo,Beyondors,15,12,"07/19/2019, 10:45",Pool A
Boneyard,Naptown,15,8,"07/19/2019, 10:45",Pool A
Beyondors,Naptown,15,12,"07/19/2019, 13:00",Pool A
Boneyard,Viejo,15,12,"07/19/2019, 13:00",Pool A
pool,Pool B
Pacemaker,"JOIN, or DIE.",14,11,"07/19/2019, 08:30",Pool B
All Bashed Out,Geronimo,15,11,"07/19/2019, 08:30",Pool B
All Bashed Out,"JOIN, or DIE.",15,9,"07/19/2019, 10:45",Pool B
Pacemaker,Geronimo,6,15,"07/19/2019, 10:45",Pool B
All Bashed Out,Pacemaker,13,10,"07/19/2019, 15:15",Pool B
Geronimo,"JOIN, or DIE.",8,15,"07/19/2019, 15:15",Pool B
pool,Pool C
Voltron 2020,10th Edition,15,3,"07/19/2019, 08:30",Pool C
Johnny Encore,Royal Stag,15,11,"07/19/2019, 08:30",Pool C
Voltron 2020,Royal Stag,15,5,"07/19/2019, 13:00",Pool C
Johnny Encore,10th Edition,15,8,"07/19/2019, 13:00",Pool C
Royal Stag,10th Edition,15,10,"07/19/2019, 15:15",Pool C
Johnny Encore,Voltron 2020,10,14,"07/19/2019, 15:15",Pool C
pool,Pool D
Surly,Gravy Train,15,7,"07/19/2019, 10:45",Pool D
Rest Stop,King Louie,14,12,"07/19/2019, 10:45",Pool D
Surly,King Louie,15,8,"07/19/2019, 15:15",Pool D
Rest Stop,Gravy Train,15,9,"07/19/2019, 15:15",Pool D
Rest Stop,Surly,12,15,"07/19/2019, 17:30",Pool D
King Louie,Gravy Train,15,7,"07/19/2019, 17:30",Pool D
b,r,e,a,k
brackets,Championship Brackets
bracket,1st Place
Boneyard,Voltron 2020,11,15,"07/21/2019, 12:15",1st/2nd Place
Boneyard,Johnny Encore,15,12,"07/21/2019, 09:00",1st Semifinals
Voltron 2020,All Bashed Out,15,9,"07/21/2019, 09:00",1st Semifinals
Boneyard,Royal Stag,15,1,"07/20/2019, 13:00",1st Quarters
Surly,Johnny Encore,8,15,"07/20/2019, 13:00",1st Quarters
Voltron 2020,Rest Stop,15,6,"07/20/2019, 13:00",1st Quarters
All Bashed Out,Viejo,15,13,"07/20/2019, 13:00",1st Quarters
"JOIN, or DIE.",Royal Stag,9,15,"07/20/2019, 08:30",1st Prequarters
Johnny Encore,Geronimo,15,9,"07/20/2019, 08:30",1st Prequarters
Beyondors,Rest Stop,10,15,"07/20/2019, 08:30",1st Prequarters
King Louie,Viejo,9,15,"07/20/2019, 08:30",1st Prequarters
bracket,3rd Place
Johnny Encore,All Bashed Out,15,10,"07/21/2019, 10:45",3rd/4th Place
b,r,e,a,k
brackets,5th Place
bracket,5th Place Tie Game 1
Royal Stag,Surly,15,17,"07/21/2019, 09:00",5th Place Tie Game 1
bracket,5th Place Tie Game 2
Rest Stop,Viejo,15,17,"07/21/2019, 09:00",5th Place Tie Game 2
b,r,e,a,k
brackets,9th Place
bracket,9th Place Tie games
Geronimo,Beyondors,0,0,"07/21/2019, 09:00",Cancelled
Naptown,Geronimo,11,15,"07/21/2019, 10:45",9th Tie Games
Beyondors,King Louie,15,8,"07/21/2019, 10:45",9th Tie Games
"JOIN, or DIE.",Naptown,12,14,"07/20/2019, 10:45",9th Quarters
Geronimo,Gravy Train,15,4,"07/20/2019, 10:45",9th Quarters
Beyondors,Pacemaker,13,12,"07/20/2019, 10:45",9th Quarters
King Louie,10th Edition,14,10,"07/20/2019, 10:45",9th Quarters
b,r,e,a,k
brackets,13th Place
bracket,13th Place Tie Games
"JOIN, or DIE.",Pacemaker,0,0,"07/21/2019, 10:45",Cancelled
"JOIN, or DIE.",Gravy Train,15,7,"07/21/2019, 10:45",13th Place Tie Games
Pacemaker,10th Edition,15,4,"07/21/2019, 10:45",13th Place Tie Games
b,r,e,a,k
