Garden State 9,College - Women ,30,3,2019
Vineland,NJ,2019-03-30,2019-03-31
https://play.usaultimate.org/events/Garden-State-9/schedule/Women/CollegeWomen/
New Hampshire,1
00,Maja Johnson
00,Maya Bulos
00,Petra Zuniga
00,Allison Tennant
00,Anne Marie Langan
25,Lily Hunter
38,Carly Drost
69,Sophia Doerr
88,Julia Pike
b,r,e,a,k
Northeastern (B),24
0,Alexis Kolar
0,Allison Leonard
0,Annie Wissmann
0,Ashley Wong
0,Briana Ross
0,Catherine Romanova
0,Danielle DiRaddo
0,Elisa Kodama
0,Erin Kenney
0,Grace Woodward
0,Hillary Hoyt
0,Jessica Lynch-Foust
0,Katie Emberley
0,Maura Radigan
0,Michelle Guerriero
0,Myraeka d'Leeuwen
0,Olivia Hoyt
0,Sophia Keins
0,Tamara Kahhale
0,Verda Bursal
14,Mei-An Nolan
98,Grainne Casey
b,r,e,a,k
Watchung Hills,17
00,Apurva Joshi
00,Chae Yoon Sim
00,Elizabeth Huang
00,Gabriella DeCastro
00,Hannah Miller
00,Ji Yoon Sim
00,Kaitlyn  Roth
00,Katherine Chang
00,Kat Liang
00,Kimberly  Dang 
00,Leah Lavender
00,Sydney Brewster
00,Tarana Ranjan
00,Vandita Soni
00,Yvonne Tang
00,Zoe Weng
b,r,e,a,k
Johns Hopkins University,16
0,Ann Marie Nolan
0,Ariel Pollack
0,Gretchen  Belotte
0,Margaret Meller
0,Rebecca Sosa
0,Smitha Mahesh
0,Sydney Sappenfield
2,Claudia Lee
5,Cecilia Bao
6,Becky Shade
07,Kai Inoki
18,Rebecca Nicacio
28,Emily Zeng
30,Chloe Frantz
38,Anne Batchelder
b,r,e,a,k
SUNY-Albany,10
0,Alicia Wattie
0,Anna Baumer
0,Bethany  Van Pelt
0,Ciara Cullen
0,Corinne Berchtold
0,Emily Li
0,Erica Palmer
0,Jenna Tarbell
0,Julia Lembach
0,Kailie McLear
0,Nikki Gilani
0,Rachel Freeman
3,sara ratowsky
4,Sarah Thomann
12,Courtney Cash
15,Diane Dreifuss
16,Katherine Hollinger
b,r,e,a,k
Dickinson,18
0,Brandi Riel
0,Cecilie Macpherson
0,Charlotte Butcher
0,Elizabeth Zink
0,Emily Melville
0,Fiona Somers
0,Jessica Huang
0,Joanna Maier
0,Jordyn Schwartz
0,Alison DiLello
0,Amanda Sorensen
0,Sally Madigan
0,Sarah Davis
0,Meghan Conway
0,Olivia Statile
14,Maddie Loduca
15,Shannon Nolan
17,Anna Kogut
22,Marja van Mierlo
25,Paige Baisley
27,Wallis Grant
28,Katherine Overstrum
36,Eryn Darcy
b,r,e,a,k
Columbia (B),23
0,Jenna Madden
0,Jessica Peng
0,Jessica Clark
0,Karen Reppy
0,Kyra Schindler
0,Lauren Williams
0,Madeleine Killough
0,Maria Alessandra Benitez
0,Mira Gordon
0,Molly  Ketterer
0,Nina Magid
0,Phoenix Collins
0,Rachel Bernstein
0,Rahma Elsiesy
0,Ruby Epler
0,Shulamit Weinstein
0,Zoe Dressner
0,Zoe Metcalfe
0,Anna Okounkova
0,Ariella Goldman
0,Ausra Pranevicius
0,Diana Lu
0,Elena Taeyaerts
0,Eliana York
0,Emma Buzbee
0,Gwyn Reutenauer
0,Ajita Bala
0,Amy Su
0,Andrea Kubas-Meyer
9,Angelina LaMastra
17,Hannah Ahn
b,r,e,a,k
College of New Jersey,15
03,Melanie Cohen
04,Mary Athan
05,Camille Delacruz
09,Anna Kellaher
10,Kristin Bell
11,Alexa Jones
12,dev cavallone
14,Julia Connelly
15,Samara Menard 
19,Kat Kazantsev
23,Hannah Doyle
25,Evey Le
26,Riley Osterlind
27,Laura Budryk
28,Julie Williams
37,Miruna Baciu
44,Karaline Rosen
57,Nandini Mehta
b,r,e,a,k
SUNY-Binghamton,11
00,Diana Weiss
00,Isabel Schneiderman
00,Julia Wirth
00,Kylie McClay
00,Leslie Huang
00,Rotem Alon
02,Jenna Shepard
04,Sarah Sheldon
05,Kathryn Fiddes
06,Brianna Galloway
07,Tanya Nasra
08,Piper Van Kerkhove
09,Anna Lynch
10,Danielle Dattler
11,Jamie Hong
12,Kelly O'Mara
14,Samantha Gonzalez
15,Hailey Henesh
16,Rebecca Brown-Weinstock
20,Ellen Murphy
21,Brooke Pagano
22,Alyssa Pelkey
23,Reilley Blue
34,Ava Champitto
36,Katherine Bulger
47,Sarah Bases
b,r,e,a,k
Ithaca,14
0,Alexandra Barrett
0,Caitlin McGowan
0,Emily Mildner
0,Erica Bouton
0,Hope Porrazzo
0,Kathryn Proia
0,Laura OBrien
0,Marlee Brooks
0,Nataliya Yalanzhi
9,Brigid Long
10,Cassandra Logedo
10,Tiara Borneman
14,Lydia Lepinski
17,Jaye Kayne
44,Madison Zaccagnino
b,r,e,a,k
Messiah,22
0,Alyssa Smoker
0,Amanda Filby
0,Amber Li
0,Carley Gambone
0,Carlie Adair
0,Claire Pendleton
0,Emily Allbee
0,Jordann Beach
0,Lindsay Ledder
0,Rebekah Tschopp
0,Sarah Hartman
0,Zhuang Lin Mok
22,Nicole Singiser
b,r,e,a,k
Muhlenberg,19
0,Ashley Harpster
0,Becca McCord
0,Briana Keegan
0,Casey  Elkin
0,Courtney McCarthy
0,Hannah Goldman
0,Johannah Wai
0,Michaela Hoenig
0,Michelle Balson
0,Renee Heller
0,Sara Kalet-Schwartz
0,Sarah Levine
8,Erin Friberg
57,Ara Ludwig
b,r,e,a,k
SUNY-Geneseo,13
0,Alexandria  Ferrentino
3,Grace Edmonds
5,Emily Shapiro
6,Nicole Horn
7,Kaitlyn West
8,Margaret Hall
9,Katelyn Church
10,Camille Montalbano
12,Elyse Brickner
13,Stephanie Mellin
14,Madeline Schwenker-Punnett
18,Liza Amirault
19,MaryKelly Hilton
20,Lauren Kueper
23,Grace Schaefer
24,Margaret Pigliacelli
26,Abigail O'Brien
27,Tess Robinson
30,Grace Marvin
33,Maria Papas
37,Isabelle Cirulli
77,Isabella Higgins
97,Talia Crisafulli
b,r,e,a,k
Rochester,12
2,Mimi Jung
3,Maggie Liu
4,Fayth Kim
5,Audrey Goldfarb
8,Qingyuan Jia
9,Maggie Straight
10,Laura Mendomo
11,Anna Zimmerman
13,Carolina Brager
16,Katie Phillips
17,Madeline White
20,Madison Lang
21,Jenni Zakarin
23,Stephanie Busch
24,Hannah Barnhart
25,Sophie Tilkin
29,Catherine Waye
34,Carly Staebell
44,Talia Salenger
66,Jiayun Yu
80,Molly Over
99,Claire MacCormick
b,r,e,a,k
Colgate,20
0,Emma Goldstein
0,Erin O'Connor
0,Erin Hendry
0,Laura Patak
0,Melissa Verbeek
3,Mey McLean
14,Jessica Zhao
15,Megan Nicholson
21,Carey Lyons
28,Sara Robinson
b,r,e,a,k
SUNY-Oneonta,21
0,Amanda McHale
0,Ashley Benz
0,Christina Schiavo
0,Courtney Meyerer
0,Hales Pink
0,Jessica  Arduino
0,Kathleen Craig
0,Kathryn Fernandez
0,Kayla Jefferson
0,Laurel Fox
0,Madelyn Markewich
0,Mia Reid-Espinal
0,Mya LaDieu
0,Olivia Flemmig
0,Paige Gannon
4,Carolyn Adams
8,McKaela Bunce
10,Haley Sanborn
14,Valerie Conforti
22,Sophie Millar
23,Ashley Germosen Rosa
27,Chloe Tarlen
36,Skylar Van Nostrand
69,Claire Curtin
b,r,e,a,k
s,t,a,g,e,s
pools,Pool
pool,Power A
New Hampshire,Brandeis,11,6,"03/30/2019, 09:00",Power A,Final
Skidmore,Princeton,8,6,"03/30/2019, 09:00",Power A,Final
New Hampshire,Princeton,12,5,"03/30/2019, 10:35",Power A,Final
Skidmore,Brandeis,9,10,"03/30/2019, 10:35",Power A,Final
New Hampshire,Skidmore,8,5,"03/30/2019, 12:10",Power A,Final
Brandeis,Princeton,3,9,"03/30/2019, 12:10",Power A,Final
pool,Power B
Mount Holyoke,Syracuse,13,6,"03/30/2019, 09:00",Power B,Final
Wesleyan,Lehigh,13,4,"03/30/2019, 09:00",Power B,Final
Mount Holyoke,Lehigh,8,7,"03/30/2019, 10:35",Power B,Final
Wesleyan,Syracuse,12,7,"03/30/2019, 10:35",Power B,Final
Mount Holyoke,Wesleyan,8,9,"03/30/2019, 12:10",Power B,Final
Syracuse,Lehigh,6,12,"03/30/2019, 12:10",Power B,Final
pool,Pool C
Amherst,Watchung Hills,10,9,"03/30/2019, 09:00",Pool C,Final
Johns Hopkins University,Northeastern (B),6,8,"03/30/2019, 09:00",Pool C,Final
Amherst,Johns Hopkins University,11,5,"03/30/2019, 12:10",Pool C,Final
Watchung Hills,Northeastern (B),6,9,"03/30/2019, 12:10",Pool C,Final
Amherst,Northeastern (B),8,3,"03/30/2019, 13:45",Pool C,Final
Johns Hopkins University,Watchung Hills,5,6,"03/30/2019, 13:45",Pool C,Final
pool,Pool D
SUNY-Albany,Dickinson,11,4,"03/30/2019, 09:00",Pool D,Final
College of New Jersey,Columbia (B),3,8,"03/30/2019, 09:00",Pool D,Final
SUNY-Albany,College of New Jersey,13,0,"03/30/2019, 12:10",Pool D,Final
Dickinson,Columbia (B),10,4,"03/30/2019, 12:10",Pool D,Final
SUNY-Albany,Columbia (B),10,6,"03/30/2019, 13:45",Pool D,Final
College of New Jersey,Dickinson,1,13,"03/30/2019, 13:45",Pool D,Final
pool,Pool E
SUNY-Binghamton,Messiah,10,4,"03/30/2019, 10:35",Pool E,Final
Ithaca,Muhlenberg,9,3,"03/30/2019, 10:35",Pool E,Final
SUNY-Binghamton,Muhlenberg,9,2,"03/30/2019, 13:45",Pool E,Final
Ithaca,Messiah,4,3,"03/30/2019, 13:45",Pool E,Final
SUNY-Binghamton,Ithaca,11,0,"03/30/2019, 15:20",Pool E,Final
Muhlenberg,Messiah,5,6,"03/30/2019, 15:20",Pool E,Final
pool,Pool F
Rochester,SUNY-Oneonta,7,5,"03/30/2019, 10:35",Pool F,Final
SUNY-Geneseo,Colgate,11,7,"03/30/2019, 10:35",Pool F,Final
Rochester,Colgate,7,6,"03/30/2019, 13:45",Pool F,Final
SUNY-Geneseo,SUNY-Oneonta,12,7,"03/30/2019, 13:45",Pool F,Final
Rochester,SUNY-Geneseo,3,10,"03/30/2019, 15:20",Pool F,Final
Colgate,SUNY-Oneonta,8,6,"03/30/2019, 15:20",Pool F,Final
b,r,e,a,k
brackets,Bracket
bracket,Championship
Mount Holyoke,Wesleyan,13,3,"03/31/2019, 14:30",Championship,Final
New Hampshire,Mount Holyoke,1,13,"03/31/2019, 12:40",Semis,Final
SUNY-Geneseo,Wesleyan,6,8,"03/31/2019, 12:40",Semis,Final
New Hampshire,Lehigh,10,9,"03/31/2019, 10:50",Quarters,Final
Skidmore,Mount Holyoke,8,11,"03/31/2019, 10:50",Quarters,Final
Princeton,SUNY-Geneseo,5,12,"03/31/2019, 10:50",Quarters,Final
Brandeis,Wesleyan,5,9,"03/31/2019, 10:50",Quarters,Final
New Hampshire,Northeastern (B),13,5,"03/31/2019, 09:00",Pre Quarters,Final
Lehigh,SUNY-Albany,11,5,"03/31/2019, 09:00",Pre Quarters,Final
Skidmore,SUNY-Binghamton,12,4,"03/31/2019, 09:00",Pre Quarters,Final
Mount Holyoke,Rochester,13,4,"03/31/2019, 09:00",Pre Quarters,Final
Princeton,Ithaca,10,5,"03/31/2019, 09:00",Pre Quarters,Final
Syracuse,SUNY-Geneseo,0,1,"03/31/2019, 09:00",Pre Quarters,Final
Brandeis,Amherst,1,0,"03/31/2019, 09:00",Pre Quarters,Final
Dickinson,Wesleyan,4,13,"03/31/2019, 09:00",Pre Quarters,Final
bracket,9th Place
Rochester,Dickinson,1,0,"03/31/2019, 16:15",9th Place,Final
Northeastern (B),Rochester,6,10,"03/31/2019, 14:30",9th - Semis,Final
Ithaca,Dickinson,0,1,"03/31/2019, 14:30",9th - Semis,Final
Northeastern (B),SUNY-Albany,7,6,"03/31/2019, 12:40",9th - Quarters,Final
SUNY-Binghamton,Rochester,0,1,"03/31/2019, 12:40",9th - Quarters,Final
Ithaca,Syracuse,1,0,"03/31/2019, 12:40",9th - Quarters,Final
Amherst,Dickinson,0,1,"03/31/2019, 12:40",9th - Quarters,Final
bracket,13th Place
SUNY-Binghamton,Syracuse,1,0,"03/31/2019, 16:15",13th Place,Final
SUNY-Albany,SUNY-Binghamton,0,1,"03/31/2019, 14:30",13th - Semis,Final
Syracuse,Amherst,0,0,"03/31/2019, 14:30",13th - Semis,Final
bracket,5th Place
Lehigh,Brandeis,0,1,"03/31/2019, 16:15",5th Place,Final
Lehigh,Skidmore,1,0,"03/31/2019, 14:30",5th - Semis,Final
Princeton,Brandeis,7,8,"03/31/2019, 14:30",5th - Semis,Final
bracket,3rd Place
New Hampshire,SUNY-Geneseo,8,7,"03/31/2019, 14:30",3rd Place,Final
bracket,17th Place Bracket
Watchung Hills,SUNY-Oneonta,1,0,"03/31/2019, 14:30",17th Place,Final
Watchung Hills,Colgate,8,7,"03/31/2019, 12:40",17th - Semis,Final
SUNY-Oneonta,Johns Hopkins University,9,3,"03/31/2019, 12:40",17th - Semis,Final
Watchung Hills,College of New Jersey,12,4,"03/31/2019, 10:50",17th - Quarters,Final
Colgate,Muhlenberg,13,2,"03/31/2019, 10:50",17th - Quarters,Final
Messiah,SUNY-Oneonta,1,13,"03/31/2019, 10:50",17th - Quarters,Final
Johns Hopkins University,Columbia (B),10,9,"03/31/2019, 10:50",17th - Quarters,Final
bracket,21st Place
College of New Jersey,Columbia (B),1,0,"03/31/2019, 16:15",21st Place,Final
College of New Jersey,Muhlenberg,4,3,"03/31/2019, 12:40",21st - Semis,Final
Messiah,Columbia (B),3,8,"03/31/2019, 14:30",21st - Semis,Final
bracket,23rd Place
Muhlenberg,Messiah,0,0,"03/31/2019, 16:15",23rd Place,Cancelled
b,r,e,a,k
clusters,Crossovers
cluster,Power COs
New Hampshire,Mount Holyoke,9,3,"03/30/2019, 15:15",,Final
Wesleyan,Skidmore,8,9,"03/30/2019, 15:15",,Final
Brandeis,Syracuse,W,F,"03/30/2019, 15:15",,Final
SUNY-Albany,Amherst,6,7,"03/30/2019, 15:15",,Final
b,r,e,a,k
