Boston Invite 2019,Club - Women ,22,6,2019
https://play.usaultimate.org/events/Boston-Invite-2019/schedule/Women/Club-Women/
Siege,1
47,Melissa Wheeler
52,Victoria MacKay
55,Rachael Fitkowski
73,Claire Moore-Gibbons
77,Alethea Guerra
b,r,e,a,k
Venus,7
0,Camille Couture
0,Catherine Demers-Rivard
0,Catherine Goulet
0,Celine Huang
0,Cloé Riel
0,Emmanuelle Veci
0,Émulie Chhor
0,Ines Petard
0,Isabelle Lupena
0,Julia Bisson
0,Laura Arbique
0,Lianne Campbell
0,Maeve Reimer
0,Maude Roy
0,Maude Laniel-Ducharme
0,Mélissa  Gougeon
0,Sarah Dabouz
0,Sasha Lemaire St-Gelais
0,Valerie Plante
0,Victoria Trahan
44,Eve Massé
99,Susanne Bechstedt
b,r,e,a,k
Hot Metal,6
0,Annette Guo
0,Kelly Rigsbee
0,Madeline Schwenker-Punnett
1,Makenzie Priest
3,Christine Rooney
4,Bridget McCoy
6,Celeste Picone
9,Hannah Lyness
12,Erin Curry
12,Sandrine Girard
13,Kendra Fang
17,Sarah Lynch
17,Danielle  Siebert
24,Anna VanDusen
28,Ashley Li
32,Shani Rosenthal
34,Lexi Robbins
74,Linn Bjanes
b,r,e,a,k
Agency,13
0,Adrienne Turner
0,Blaire Thomson
0,Cara Groden
0,Eileen Connor
0,Elizabeth Reeves
0,LT Tucker
0,Naomi Goldstein
0,Natalie Forman
0,Olivia Robinson
0,Savannah Pharr
4,Ashley Yao
6,Ryan Anderson
9,Samantha Kokjohn
13,Maya DeHart
24,Grace Stephan
33,Catherine Reeves
44,Samantha Clough
45,Mackenzie Smith
91,Valerie Leone
92,Alexandra Erwin
b,r,e,a,k
PLOW,17
0,Althea Barrett
0,Charissa Doerr
0,Charlotte Laseter
0,Ember Plummer
0,Emelyn Chiang
0,Emma Sass
0,Hannah Finn-Erb
0,Kelsey Wentling
0,Logan Deming
0,Madeline Mandel
0,Margaret  McAndrew
0,Maura McAndrew
0,Naila Moreira
0,Rose Dennis
0,Sofia Perrotto
0,Zoe Weizenbaum
25,Isabella Weston
b,r,e,a,k
Versa,16
0,Caroline Tessy
0,Emily Fariel
0,Georgia Nichols
0,Grace Berman
0,Imogen Nelson
0,Jenna Perna-Elias
0,Karen Ying
0,Laurie Chen
0,Mac Capwell
0,Meredith Corsi
0,Natalie Miliano
0,Sarah Rumrill
0,Stephanie Jones
0,Tracy Curtin
0,Katherine Laemmle
1,Katherine Landesman
00,Kathryn Hickey
14,Austen Crawford
17,Alizah Barker
26,Emily Wolfson
51,Mira Anderberg
88,Helen Hoyt
b,r,e,a,k
Valley Ultimate U20 Girls,20
0,Dilasa Karki
0,Lila Norton
0,Madison Soulia
0,Samantha Van Horn
0,Tove Schweitzer
7,Casey Shaw-Merrigan
11,Karta Khalsa
14,Xihu Arfa
17,Sydney Zobel
21,Stella Wenczel
24,Lily Harris-Hendry
81,Sarah Van Horn
b,r,e,a,k
HOPE,21
0,Elizabeth Paolella
0,Jaime Shinnamon
0,Jesse Remeis
0,Jessica Marini
0,Joy Best
0,Karen Babbitt
0,Lily Talerman
0,Alexandra Ly
0,Ana Alejandre-Lara
0,Audra Cornell
0,Brianna Resto
0,Casie Sabean 
0,Catherine Horwitz
0,Mia Palombo
0,Sara Schulwolf
0,Sydney Curran
0,Courtney Cooke
1,Margaret Howe
12,Dara Wais
16,Valerie Estela-Pro
20,Claire McEwen
b,r,e,a,k
Brooklyn Book Club,14
0,Agnes Lee
0,Alexis Sarabia
0,Amelia Farinas
0,Camryn Yurcisin
0,Chloe Rinehart
0,Diana DeLeo
0,Harper Gany-Beitler
0,Kristin Sprague
0,Leah Garber
0,Lily Dai
0,Molly Baraff
0,Shannon Haupt
0,Tiffany Tai
3,Sora Akiyoshi
3,Amy Elizabeth Leder
10,Michal Pearl
11,Hayley Manning
12,Clara Gottesman
19,Hallie Schaeffer
23,Jordan Dexter
23,Clara Nice
44,Talia Kula
73,Amanda Wach
b,r,e,a,k
Boston,15
0,Anne Lightbody
0,Christina Cianfrani
0,Courtney Kelly
0,Elizabeth Willetts
0,Emily Kallin
0,Heather Sheldon
0,Julie Shoemaker
0,Karen Grossberg
0,Katherine Aidala
0,Alyson Whitney Kakos
0,Kristen Graham
0,Matissa Hollister
0,Meg Nicoll
0,Megan Insco
0,Paula Kelsey
0,Susan Batchelder Kinsky
0,Yusi Turell
9,Kathleen Heyman
19,Jacqueline Bourgeois
22,Lisa Meeden
30,Amy Cooper
33,Jennifer Frederick
91,Mary Catherine Arbour
b,r,e,a,k
Ignite,22
0,Elizabeth Bjork
0,Emily Bonazelli
0,Iris Lam
0,Isabel Cummings
0,Jenny Bottiglieri
0,Kaely Quijano
0,Kayla Olson
0,Abigail Baer
0,Cameron Johnson
0,Lorien Body
0,Meghan Alves
7,Skyler Nupp
7,Lisa Silberkleit
12,Liana Lin
15,Caroline Eldridge
18,Sara Frieze
25,Annalisa Boerner
41,Anri Chomentowska
77,Maggie Emerick
99,Toby Sznaj
b,r,e,a,k
BUDA U20G,19
0,Adrena Seferian
0,Cecilia Lim
0,Elise Gaudette
0,Gigi Downey
0,Jessica Xiao
0,Rose Gordon
3,Elana Sadok
6,Jocelyn Sun
7,Heather Szczesniak
12,Helen Lim
12,Claire Zhang
16,Jessie Chan
39,Daisy Mandl
54,Alex Hecht
b,r,e,a,k
Roc Paper Scissors,18
0,Alexandria Hackford
0,Christina Bayley
0,Dana Dale
0,Emily Myers
0,Erica Mackey
0,Francesca Sorbello
0,Isabel Liston
0,Jenni Zakarin
0,Kaitlin Schneider
0,Meghan Sheehan
0,Molly Over
0,Sarah Fintel
10,Kristen Dombroski
17,Madeline White
51,Adrienne Dykeman
b,r,e,a,k
s,t,a,g,e,s
pools,Elite - Pool Play
pool,Pool A
Siege,Salty,15,6,"06/22/2019, 09:00",Pool A
Vintage,Pine Baroness,14,13,"06/22/2019, 09:00",Pool A
Frolic,TOX6ix,13,10,"06/22/2019, 09:00",Pool A
Siege,Vintage,15,3,"06/22/2019, 11:00",Pool A
Salty,Frolic,8,11,"06/22/2019, 11:00",Pool A
Pine Baroness,TOX6ix,13,6,"06/22/2019, 11:00",Pool A
Siege,Frolic,15,5,"06/22/2019, 13:00",Pool A
Vintage,TOX6ix,13,8,"06/22/2019, 13:00",Pool A
Salty,Pine Baroness,13,8,"06/22/2019, 13:00",Pool A
Siege,TOX6ix,13,2,"06/22/2019, 15:00",Pool A
Vintage,Salty,4,13,"06/22/2019, 15:00",Pool A
Frolic,Pine Baroness,12,10,"06/22/2019, 15:00",Pool A
Siege,Pine Baroness,15,5,"06/23/2019, 09:00",Pool A
Salty,TOX6ix,14,9,"06/23/2019, 09:00",Pool A
Vintage,Frolic,13,15,"06/23/2019, 09:00",Pool A
pool,Pool B
BENT,Hot Metal,15,6,"06/22/2019, 09:00",Pool B
Iris,Vice,15,4,"06/22/2019, 09:00",Pool B
Venus,Tempest,9,13,"06/22/2019, 09:00",Pool B
BENT,Iris,13,14,"06/22/2019, 11:00",Pool B
Hot Metal,Venus,8,12,"06/22/2019, 11:00",Pool B
Vice,Tempest,11,7,"06/22/2019, 11:00",Pool B
BENT,Venus,15,4,"06/22/2019, 15:00",Pool B
Iris,Tempest,13,4,"06/22/2019, 15:00",Pool B
Hot Metal,Vice,5,13,"06/22/2019, 15:00",Pool B
BENT,Tempest,13,3,"06/22/2019, 17:00",Pool B
Iris,Hot Metal,13,2,"06/22/2019, 17:00",Pool B
Venus,Vice,5,7,"06/22/2019, 17:00",Pool B
BENT,Vice,15,6,"06/23/2019, 09:00",Pool B
Hot Metal,Tempest,8,14,"06/23/2019, 09:00",Pool B
Iris,Venus,15,4,"06/23/2019, 09:00",Pool B
b,r,e,a,k
pools,Classic - Pool Play
pool,Pool C
Valley Ultimate U20 Girls,HOPE,15,9,"06/22/2019, 09:00",Pool C
Versa,PLOW,12,14,"06/22/2019, 09:00",Pool C
Agency,PLOW,14,8,"06/22/2019, 11:00",Pool C
Versa,Valley Ultimate U20 Girls,13,11,"06/22/2019, 11:00",Pool C
Agency,HOPE,15,2,"06/22/2019, 13:00",Pool C
PLOW,Valley Ultimate U20 Girls,12,7,"06/22/2019, 13:00",Pool C
Agency,Valley Ultimate U20 Girls,13,5,"06/22/2019, 15:00",Pool C
Versa,HOPE,15,6,"06/22/2019, 15:00",Pool C
Agency,Versa,15,9,"06/22/2019, 17:00",Pool C
PLOW,HOPE,15,6,"06/22/2019, 17:00",Pool C
pool,Pool D
BUDA U20G,Ignite,11,14,"06/22/2019, 09:00",Pool D
Boston,Roc Paper Scissors,15,3,"06/22/2019, 09:00",Pool D
Brooklyn Book Club,Roc Paper Scissors,15,0,"06/22/2019, 11:00",Pool D
Boston,BUDA U20G,12,5,"06/22/2019, 11:00",Pool D
Brooklyn Book Club,Ignite,15,7,"06/22/2019, 13:00",Pool D
Roc Paper Scissors,BUDA U20G,3,8,"06/22/2019, 13:00",Pool D
Brooklyn Book Club,BUDA U20G,10,1,"06/22/2019, 15:00",Pool D
Boston,Ignite,8,7,"06/22/2019, 15:00",Pool D
Brooklyn Book Club,Boston,10,6,"06/22/2019, 17:00",Pool D
Roc Paper Scissors,Ignite,2,13,"06/22/2019, 17:00",Pool D
b,r,e,a,k
brackets,Bracket
bracket,1st Place
Siege,Iris,14,12,"06/23/2019, 13:00",Finals (1st)
Siege,BENT,15,6,"06/23/2019, 11:00",Semis (1st)
Frolic,Iris,6,15,"06/23/2019, 11:00",Semis (1st)
bracket,3rd Place
BENT,Frolic,15,14,"06/23/2019, 13:00",Finals (3rd)
bracket,5th Place
Salty,Vintage,8,6,"06/23/2019, 15:00",Finals (5th)
Salty,Tempest,14,9,"06/23/2019, 13:00",Semis (5th)
Vintage,Vice,13,10,"06/23/2019, 13:00",Semis (5th)
bracket,7th Place
Tempest,Vice,10,8,"06/23/2019, 15:00",Finals (7th)
bracket,9th Place
Pine Baroness,TOX6ix,1,0,"06/23/2019, 15:00",Finals (9th)
Pine Baroness,Brooklyn Book Club,14,12,"06/23/2019, 13:00",Semis (9th)
TOX6ix,Venus,11,10,"06/23/2019, 13:00",Semis (9th)
Pine Baroness,Ignite,15,5,"06/23/2019, 11:00",Qtrs (9th)
Brooklyn Book Club,Hot Metal,13,8,"06/23/2019, 11:00",Qtrs (9th)
TOX6ix,Agency,10,8,"06/23/2019, 11:00",Qtrs (9th)
Versa,Venus,7,15,"06/23/2019, 11:00",Qtrs (9th)
bracket,11th Place
Brooklyn Book Club,Venus,11,7,"06/23/2019, 15:00",Finals (11th)
bracket,13th Place
Ignite,Agency,6,15,"06/23/2019, 15:00",Finals (13th)
Ignite,Hot Metal,10,7,"06/23/2019, 13:00",Semis (13th)
Agency,Versa,13,7,"06/23/2019, 13:00",Semis (13th)
bracket,15th Place
Hot Metal,Versa,13,6,"06/23/2019, 15:00",Finals (15th)
b,r,e,a,k
clusters,Classic - 2v3 Crossover
cluster,Classic - 2v3 Crossover
Boston,Versa,9,11,"06/23/2019, 09:00",
PLOW,Ignite,10,12,"06/23/2019, 09:00",
b,r,e,a,k
pools,Classic - Consolation
pool,Pool E
HOPE,Roc Paper Scissors,14,6,"06/23/2019, 09:00",Pool E
Boston,PLOW,12,3,"06/23/2019, 11:00",Pool E
BUDA U20G,Valley Ultimate U20 Girls,13,12,"06/23/2019, 11:00",Pool E
BUDA U20G,HOPE,13,4,"06/23/2019, 13:00",Pool E
Boston,Valley Ultimate U20 Girls,11,5,"06/23/2019, 13:00",Pool E
b,r,e,a,k
