Revolution 2019,Club - Mixed ,20,7,2019
San Francisco,CA,2019-07-20,2019-07-21
https://play.usaultimate.org/events/Revolution-2019/schedule/Mixed/Club-Mixed
Classy,1
Classy,Lotus,10,9,"07/20/2019, 13:10",Pool A,Final
Firefly,Absolute Zero,11,5,"07/20/2019, 13:10",Pool A,Final
pool,Pool B
Pivot,Donuts,10,7,"07/20/2019, 10:00",Pool B,Final
American Barbecue,Family Style,9,10,"07/20/2019, 10:00",Pool B,Final
Pivot,Family Style,11,10,"07/20/2019, 11:35",Pool B,Final
American Barbecue,Donuts,9,10,"07/20/2019, 11:35",Pool B,Final
Pivot,American Barbecue,11,8,"07/20/2019, 13:10",Pool B,Final
Family Style,Donuts,5,13,"07/20/2019, 13:10",Pool B,Final
pool,Pool C
Robot,Bulleit Train,11,7,"07/20/2019, 10:00",Pool C,Final
Argo,Sweet Action,11,6,"07/20/2019, 10:00",Pool C,Final
Robot,Sweet Action,13,2,"07/20/2019, 11:35",Pool C,Final
Argo,Bulleit Train,9,8,"07/20/2019, 11:35",Pool C,Final
Robot,Argo,9,10,"07/20/2019, 13:10",Pool C,Final
Sweet Action,Bulleit Train,4,8,"07/20/2019, 13:10",Pool C,Final
pool,Pool D
Long Beach Legacy,Superstition,10,11,"07/20/2019, 10:00",Pool D,Final
Alchemy,California Burrito,11,10,"07/20/2019, 10:00",Pool D,Final
Long Beach Legacy,California Burrito,8,11,"07/20/2019, 11:35",Pool D,Final
Alchemy,Superstition,11,6,"07/20/2019, 11:35",Pool D,Final
Long Beach Legacy,Alchemy,7,13,"07/20/2019, 13:10",Pool D,Final
California Burrito,Superstition,10,9,"07/20/2019, 13:10",Pool D,Final
pool,Pool E
Spoiler Alert,Happy Cows,8,7,"07/20/2019, 10:00",Pool E,Final
VU,Feral Cows,13,9,"07/20/2019, 10:00",Pool E,Final
Spoiler Alert,Feral Cows,7,8,"07/20/2019, 11:35",Pool E,Final
VU,Happy Cows,10,4,"07/20/2019, 11:35",Pool E,Final
Spoiler Alert,VU,7,8,"07/20/2019, 13:10",Pool E,Final
Feral Cows,Happy Cows,9,10,"07/20/2019, 13:10",Pool E,Final
pool,Pool F
Megalodon,Party Cats,11,6,"07/20/2019, 10:00",Pool F,Final
DR,Birds of Paradise,8,9,"07/20/2019, 10:00",Pool F,Final
Megalodon,Birds of Paradise,12,8,"07/20/2019, 11:35",Pool F,Final
DR,Party Cats,13,4,"07/20/2019, 11:35",Pool F,Final
Megalodon,DR,9,12,"07/20/2019, 13:10",Pool F,Final
Birds of Paradise,Party Cats,10,7,"07/20/2019, 13:10",Pool F,Final
b,r,e,a,k
clusters,Crossover Games
cluster,Crossover Games
Firefly,Robot,13,6,"07/20/2019, 14:55",,Final
Family Style,California Burrito,5,13,"07/20/2019, 14:55",,Final
American Barbecue,Alchemy,10,9,"07/20/2019, 14:55",,Final
Absolute Zero,Argo,9,5,"07/20/2019, 14:55",,Final
Bulleit Train,Spoiler Alert,13,8,"07/20/2019, 14:55",,Final
Superstition,Megalodon,13,11,"07/20/2019, 14:55",,Final
Long Beach Legacy,DR,8,7,"07/20/2019, 14:55",,Final
Sweet Action,VU,11,7,"07/20/2019, 14:55",,Final
b,r,e,a,k
brackets,Championship Bracket 
bracket,Championship Bracket 
Classy,Pivot,11,4,"07/21/2019, 13:30",Championship Bracket ,Final
Classy,Firefly,12,8,"07/21/2019, 11:45",Round Name,Final
Lotus,Pivot,8,11,"07/21/2019, 11:45",Round Name,Final
Classy,American Barbecue,12,11,"07/21/2019, 10:00",Round Name,Final
Firefly,Donuts,15,4,"07/21/2019, 10:00",Round Name,Final
